年	tahun	年	tahun	N	N;SG
線	benang	線	benang	N	N;SG
線	thread	線	thread	N	N
線	utas	線	utas	N	N;SG
第二	kedua	第二	kedua	NUM	NUM
山	gunung	山	gunung	N	N;SG
山	pegunungan	山	pegunungan	N	N;SG
山	gunung	山	gunung	N	N;SG
山	kait	山	kait	N	N;SG
山	gunung	山	gunung	N	N;SG
山	pegunungan	山	pegunungan	N	N;SG
太空	ruang	太空	ruang	N	N;SG
太空	spasi	太空	spasi	N	N
太空	angkasa	太空	angkasa	N	N;SG
內	batin	內	batin	N	N;SG
管理	mengelola	管理	menkelola	V	V;SG;ACT
管理	mengelola	管理	menkelola	V	V;SG;ACT
成	menjadi	成	menjadi	V	V;SG;ACT
建	membangun	建	menbangun	V	V;SG;ACT
建	membangun	建	menbangun	V	V;SG;ACT
建	dibangun	建	dibangun	V	V;SG;PASS
性	seksualitas	性	seksualitas	N	N
性	seks	性	seks	N	N;SG
成	dinyanyikan	成	dinyanyikan	V	V;SG;PASS
代表	perwakilan	代表	perwakilan	N	N;SG
代表	perwakilan	代表	perwakilan	N	N;SG
代表	delegasi	代表	delegasi	N	N;SG
公里	kilometer	公里	kilometer	N	N
公里	kilometer	公里	kilometer	N	N
公里	kms	公里	kms	N	N
公里	kilometer	公里	kilometer	N	N
海	laut	海	laut	N	N;SG
海	lautan	海	lautan	N	N;SG
海	laut	海	laut	N	N;SG
大學	kuliah	大學	kuliah	N	N;SG
版	edition	版	edition	N	N
版	edisi	版	edisi	N	N;SG
版	versi	版	versi	N	N;SG
從	dari	從	dari	ADP	ADP
工作	tugas	工作	tugas	N	N;SG
工作	pekerjaan	工作	pekerjaan	N	N;SG
工作	pekerjaan	工作	pekerjaan	N	N;SG
工作	kerja	工作	kerja	N	N;SG
工作	pekerjaan	工作	pekerjaan	N	N;SG
政治	politik	政治	politik	N	N;SG
政治	politik	政治	politik	N	N;SG
星	bintang	星	bintang	N	N;SG
星	bintang	星	bintang	N	N;SG
他	nya	他	nya	PRO;3	PRO
面	bakmi	面	bakmi	N	N
面	mie	面	mie	N	N
作品	karya	作品	karya	N	N;SG
文化	kultur	文化	kultur	N	N
文化	kebudayaan	文化	kebudayaan	N	N;SG
文化	budaya	文化	budaya	N	N;SG
文化	kultur	文化	kultur	N	N
條目	entri	條目	entri	N	N;SG
條目	masukan	條目	masukan	N	N;SG
馬	kuda	馬	kuda	N	N;SG
馬	kuda	馬	kuda	N	N;SG
氏	klan	氏	klan	N	N
更	lebih	更	lebih	ADV	ADV
更	lagi	更	lagi	ADV	ADV
電影	bioskop	電影	bioskop	N	N
電影	film	電影	film	N	N;SG
電影	bioskop	電影	bioskop	N	N
電影	sinema	電影	sinema	N	N;SG
電影	film	電影	film	N	N;SG
電影	bioskop	電影	bioskop	N	N
電影	film	電影	film	N	N;SG
季	musim	季	musim	N	N;SG
季	musimnya	季	musim	N	N;SG
季	musim	季	musim	N	N;SG
龍	naga	龍	naga	N	N
龍	naga	龍	naga	N	N
女	wanita	女	wanita	N	N;SG
女	perempuan	女	perempuan	N	N;SG
女	permpuan	女	permpuan	N	N;SG
女	betina	女	betina	N	N;SG
女	perempuan	女	perempuan	N	N;SG
字	kata	字	kata	N	N;SG
字	kata	字	kata	N	N;SG
不同	beda	不同	beda	ADJ	ADJ;SG
足球	sepakbola	足球	sepakbola	N	N;SG
足球	sepakbola	足球	sepakbola	N	N;SG
目前	arus	目前	arus	N	N;SG
所有	semua	所有	semua	DET	DET
部分	sebagian	部分	sebagian	N	N;SG
部分	sebagian	部分	sebagian	N	N;SG
中央	pusat	中央	pusat	N	N;SG
中央	sentral	中央	sentral	N	N;SG
郡	kabupaten	郡	kabupaten	N	N;SG
郡	daerah	郡	daerah	N	N;SG
郡	powiat	郡	powiat	N	N
國家	negara	國家	negara	N	N;SG
國家	negara	國家	negara	N	N;SG
國家	negara	國家	negara	N	N;SG
國家	keadaan	國家	keadaan	N	N;SG
國家	negara	國家	negara	N	N;SG
球	bola	球	bola	N	N;SG
街	jalanan	街	jalanan	N	N;SG
街	street	街	street	N	N
提供	disediakan	提供	disediakan	V	V;SG;PASS
提供	sediakan	提供	sediakan	V	V;SG;ACT
提供	menyediakan	提供	mensediakan	V	V;SG;ACT
城市	kota	城市	kota	N	N;SG
城市	kota	城市	kota	N	N;SG
水	air	水	air	N	N;SG
人物	tokoh	人物	tokoh	N	N;SG
人物	karakter	人物	karakter	N	N;SG
軍	tentara	軍	tentara	N	N;SG
加入	bergabung	加入	bergabung	V	V;SG;ACT
加入	gabung	加入	gabung	V	V;SG;ACT
加入	bergabunglah	加入	bergabung	V	V;SG;ACT
加入	bergabung	加入	bergabung	V	V;SG;ACT
第三	sepertiga	第三	sepertiga	NUM	NUM
第三	ketiga	第三	ketiga	NUM	NUM
屬	genus	屬	genus	N	N
魚	ikan	魚	ikan	N	N;SG
波	lambaian	波	lambaian	N	N;SG
你	anda	你	anda	PRO;2	PRO;SG;2;FORM
你	kau	你	kau	PRO;2	PRO;SG;2;INFM
你	kamu	你	kamu	PRO;2	PRO;SG;2;INFM
方	taring	方	taring	N	N;SG
話	dialek	話	dialek	N	N
東	timur	東	timur	N	N;SG
石	batu	石	batu	N	N;SG
事件	insiden	事件	insiden	N	N;SG
事件	kejadian	事件	kejadian	N	N;SG
事件	insiden	事件	insiden	N	N;SG
事件	peristiwa	事件	peristiwa	N	N;SG
事件	kegiatan	事件	kegiatan	N	N;SG
事件	event	事件	event	N	N
事件	acara	事件	acara	N	N;SG
事件	peristiwa	事件	peristiwa	N	N;SG
事件	acara	事件	acara	N	N;SG
建立	membangun	建立	menbangun	V	V;SG;ACT
教育	edukasi	教育	edukasi	N	N;SG
教育	pendidikan	教育	pendidikan	N	N;SG
教育	edukasi	教育	edukasi	N	N;SG
教育	pendidikan	教育	pendidikan	N	N;SG
車站	stasiun	車站	stasiun	N	N;SG
車站	station	車站	station	N	N
國際	international	國際	international	N	N
國際	mancanegara	國際	mancanegara	N	N
獎	penghargaan	獎	penhargaan	N	N;SG
獎	prize	獎	prize	N	N
獎	penghargaan	獎	penhargaan	N	N;SG
獎	award	獎	award	N	N
完成	selesaikan	完成	selesaikan	V	V;SG;ACT
完成	dilakukan	完成	dilakukan	V	V;SG;PASS
完成	melengkapi	完成	menlengkapi	V	V;SG;ACT
完成	lengkapi	完成	lengkapi	V	V;SG;ACT
完成	selesaikan	完成	selesaikan	V	V;SG;ACT
音樂	musik	音樂	musik	N	N;SG
音樂	musik	音樂	musik	N	N;SG
音樂	musikal	音樂	musikal	N	N
他們	mereka	他	mereka	PRO;PL;3	PRO;PL;3
可能	kemungkinan	可能	kemungkinan	N	N;SG
分布	didistribusikan	分布	didistribusikan	V	V;SG;PASS
地區	area	地區	area	N	N;SG
地區	distrik	地區	distrik	N	N;SG
地區	kecamatan	地區	kecamatan	N	N;SG
地區	raionul	地區	raionul	N	N
地區	kabupaten	地區	kabupaten	N	N;SG
地區	daerah	地區	daerah	N	N;SG
地區	daerah	地區	daerah	N	N;SG
地區	wilayah	地區	wilayah	N	N;SG
地區	luas	地區	luas	N	N;SG
地區	kawasan	地區	kawasan	N	N;SG
地區	area	地區	area	N	N;SG
車	mobil	車	mobil	N	N;SG
車	mobil	車	mobil	N	N;SG
官	opsir	官	opsir	N	N
官	petugas	官	petugas	N	N;SG
官	perwira	官	perwira	N	N;SG
中文	tionghoa	中文	tionghoa	N	N
自由	kebebasan	自由	kebebasan	N	N;SG
自由	peterpan	自由	peterpan	N	N
自由	kemerdekaan	自由	kemerdekaan	N	N;SG
自由	kebebasan	自由	kebebasan	N	N;SG
自由	gratis	自由	gratis	N	N;SG
獲得	dapatkan	獲得	dapatkan	V	V;SG;ACT
光	cahaya	光	cahaya	N	N;SG
光	lampu	光	lampu	N	N;SG
重要	penting	重要	penting	ADJ	ADJ;SG
工程	teknik	工程	teknik	N	N;SG
工程	rekayasa	工程	rekayasa	N	N;SG
工程	karya	工程	karya	N	N;SG
提交	kirim	提交	kirim	V	V;SG;ACT
提交	kirimkan	提交	kirimkan	V	V;SG;ACT
提交	dikirimkan	提交	dikirimkan	V	V;SG;PASS
提交	dikirim	提交	dikirim	V	V;SG;PASS
提交	diajukan	提交	diajukan	V	V;SG;PASS
提交	mengajukan	提交	menajukan	V	V;SG;ACT
一般	umumnya	一般	umumnya	ADV	ADV
需要	membutuhkan	需要	menbutuhkan	V	V;SG;ACT
需要	perlu	需要	perlu	V	V;SG;ACT
需要	butuh	需要	butuh	V	V;SG;ACT
需要	diperlukan	需要	diperlukan	V	V;SG;PASS
需要	dibutuhkan	需要	dibutuhkan	V	V;SG;PASS
最佳	optimal	最佳	optimal	ADJ	ADJ;SG
最佳	optimal	最佳	optimal	ADJ	ADJ;SG
這	ini	這	ini	DET	DET
地方	tempat	地方	tempat	N	N;SG
地方	tempat	地方	tempat	N	N;SG
系列	deret	系列	deret	N	N;SG
系列	seri	系列	seri	N	N;SG
電視	televisi	電視	televisi	N	N;SG
黑	kegelapan	黑	kegelapan	N	N;SG
花	bunganya	花	bunga	N	N;SG
花	bunga	花	bunga	N	N;SG
花	bunga	花	bunga	N	N;SG
神	tuhan	神	tuhan	N	N;SG
遊戲	permainan	遊戲	permainan	N	N;SG
遊戲	game	遊戲	game	N	N;SG
遊戲	permainan	遊戲	permainan	N	N;SG
遊戲	game	遊戲	game	N	N;SG
最高	top	最高	top	ADJ	ADJ;SG
最高	teratas	最高	teratas	ADJ	ADJ;RL;SG
最高	tertinggi	最高	tertinggi	ADJ	ADJ;RL;SG
最高	agung	最高	agung	ADJ	ADJ;SG
要求	minta	要求	minta	V	V;SG;ACT
要求	menuntut	要求	mentuntut	V	V;SG;ACT
版本	versi	版本	versi	N	N;SG
版本	edisi	版本	edisi	N	N;SG
版本	versi	版本	versi	N	N;SG
發現	menemukan	發現	mentemukan	V	V;SG;ACT
發現	mendapati	發現	mendapati	V	V;SG;ACT
發現	nemu	發現	ne	V	V
發現	ditemukan	發現	ditemukan	V	V;SG;PASS
發現	temukan	發現	temukan	V	V;SG;ACT
發現	menemukan	發現	mentemukan	V	V;SG;ACT
語	bahasa	語	bahasa	N	N;SG
內容	isi	內容	isi	N	N;SG
內容	konten	內容	konten	N	N;SG
最大	maksimal	最大	maksimal	ADJ	ADJ;SG
出生	lahir	出生	lahir	V	V;SG;ACT
出生	terlahir	出生	terlahir	V	V;SG;PASS
出生	dilahirkan	出生	dilahirkan	V	V;SG;PASS
出生	lahir	出生	lahir	V	V;SG;ACT
航空	penerbangan	航空	penterbangan	N	N;SG
航空	aviasi	航空	aviasi	N	N
航空	maskapai	航空	maskapai	N	N
航空	airlines	航空	airlines	N	N
航空	udara	航空	udara	N	N;SG
航空	air	航空	air	N	N;SG
數	menghitung	數	menhitung	N	N;SG;ACT
數	hitungan	數	hitungan	N	N;SG
數	menghitung	數	menhitung	N	N;SG;ACT
數	angka	數	angka	N	N;SG
數	nomor	數	nomor	N	N;SG
數	bilangan	數	bilangan	N	N;SG
出版	dipublikasikan	出版	dipublikasikan	V	V;SG;PASS
出版	diterbitkan	出版	diterbitkan	V	V;SG;PASS
出版	terbitkan	出版	terbitkan	V	V;SG;PASS
出版	menerbitkan	出版	menterbitkan	V	V;SG;ACT
成功	kesuksesan	成功	kesuksesan	N	N;SG
成功	keberhasilan	成功	keberhasilan	N	N;SG
面積	daerah	面積	daerah	N	N;SG
面積	wilayah	面積	wilayah	N	N;SG
面積	luas	面積	luas	N	N;SG
面積	kawasan	面積	kawasan	N	N;SG
面積	area	面積	area	N	N;SG
堡	benteng	堡	benteng	N	N
系統	sistem	系統	sistem	N	N;SG
系統	system	系統	system	N	N
系統	sistem	系統	sistem	N	N;SG
冠軍	juara	冠軍	juara	N	N;SG
冠軍	champion	冠軍	champion	N	N
冠軍	juara	冠軍	juara	N	N;SG
冠軍	champions	冠軍	champions	N	N
問題	masalah	問題	masalah	N	N;SG
問題	pertanyaan	問題	pertanyaan	N	N;SG
問題	pertanyaan	問題	pertanyaan	N	N;SG
海拔	ketinggian	海拔	ketinggian	N	N;SG
海拔	pengangkatan	海拔	penangkatan	N	N;SG
海拔	ketinggian	海拔	ketinggian	N	N;SG
方式	metoda	方式	metoda	N	N;SG
方式	metode	方式	metode	N	N;SG
率	tarif	率	tarif	N	N;SG
率	nilai	率	nilai	N	N;SG
率	kurs	率	kurs	N	N;SG
率	laju	率	laju	N	N;SG
率	tingkat	率	tingkat	N	N;SG
名稱	nama	名稱	nama	N	N;SG
名稱	nama	名稱	nama	N	N;SG
愛	cintai	愛	cintai	V	V;SG;ACT
得到	dapatkan	得到	dapatkan	V	V;SG;ACT
平	kempes	平	kempes		
街道	jalanan	街道	jalanan	N	N;SG
街道	street	街道	street	N	N
街道	jalanan	街道	jalanan	N	N;SG
刪除	terhapus	刪除	terhapus	V	V;SG;PASS
刪除	dihapus	刪除	dihapus	V	V;SG;PASS
刪除	menghapus	刪除	menhapus	V	V;SG;ACT
刪除	menghapus	刪除	menhapus	V	V;SG;ACT
刪除	hilangkan	刪除	hilangkan	V	V;SG;ACT
設計	merancang	設計	menrancang	V	V;SG;ACT
設計	mendesain	設計	mendesain	V	V;SG;ACT
群	group	群	group	N	N
群	grup	群	grup	N	N;SG
群	kelompok	群	kelompok	N	N;SG
負責	bertanggungjawab	負責	bertanggungjawab	V	V;SG;ACT
服務	sajikan	服務	sajikan	V	V;SG;ACT
服務	melayani	服務	menlayani	V	V;SG;ACT
服務	layani	服務	layani	V	V;SG;ACT
服務	melayani	服務	menlayani	V	V;SG;ACT
機	mesin	機	mesin	N	N;SG
任何	setiap	任何	setiap	DET	DET
頁	halaman	頁	halaman	N	N;SG
條	strip	條	strip	N	N
兩	dua	兩	dua	NUM	NUM
著名	terkenal	著名	terkenal	ADJ	ADJ;SG;PASS
已經	sudah	已經	sudah	ADV	ADV;SG;ACT
專輯	album	專輯	album	N	N;SG
專輯	album	專輯	album	N	N;SG
角色	tokoh	角色	tokoh	N	N;SG
角色	karakter	角色	karakter	N	N;SG
角色	peran	角色	peran	N	N;SG
角色	peranan	角色	peranan	N	N;SG
角色	aksara	角色	aksara	N	N;SG
角色	karakter	角色	karakter	N	N;SG
角色	peran	角色	peran	N	N;SG
成員	anggota	成員	anggota	N	N;SG
成員	anggota	成員	anggota	N	N;SG
新聞	berita	新聞	berita	N	N;SG
現在	kini	現在	kini	N	N
劇	drama	劇	drama	N	N;SG
女性	betina	女性	betina	N	N;SG
女性	perempuan	女性	perempuan	N	N;SG
女性	permpuan	女性	permpuan	N	N;SG
女性	betina	女性	betina	N	N;SG
女性	perempuan	女性	perempuan	N	N;SG
女性	wanita	女性	wanita	N	N;SG
女性	perempuan	女性	perempuan	N	N;SG
高度	ketinggian	高度	ketinggian	N	N;SG
說	katakan	說	katakan	V	V;SG;ACT
說	katakanlah	說	katakan	V	V;SG;ACT
男	jantan	男	jantan	N	N;SG
合作	bekerjasama	合作	bekerjasama	V	V;SG;ACT
門	gerbang	門	gerbang	N	N;SG
門	pintu	門	pintu	N	N;SG
門	pintu	門	pintu	N	N;SG
卷	gulung	卷	gulung	N	N;SG
卷	gulungan	卷	gulungan	N	N;SG
卷	gulung	卷	gulung	N	N;SG
位置	posisi	位置	posisi	N	N;SG
位置	jabatan	位置	jabatan	N	N;SG
位置	lokasi	位置	lokasi	N	N;SG
活動	kegiatan	活動	kegiatan	N	N;SG
活動	aktifitas	活動	aktifitas	N	N;SG
活動	peristiwa	活動	peristiwa	N	N;SG
活動	kegiatan	活動	kegiatan	N	N;SG
活動	event	活動	event	N	N
活動	acara	活動	acara	N	N;SG
活動	peristiwa	活動	peristiwa	N	N;SG
活動	acara	活動	acara	N	N;SG
活動	kegiatan	活動	kegiatan	N	N;SG
只	saja	只	saja	ADV	ADV
只	hanya	只	hanya	ADV	ADV
歷史	riwayat	歷史	riwayat	N	N
歷史	sejarah	歷史	sejarah	N	N;SG
歌曲	lagu	歌曲	lagu	N	N;SG
歌曲	lagu	歌曲	lagu	N	N;SG
點	noktah	點	noktah	N	N;SG
點	poin	點	poin	N	N;SG
點	titik	點	titik	N	N;SG
點	point	點	point	N	N
植物	tanaman	植物	tanaman	N	N;SG
植物	tumbuhan	植物	tumbuhan	N	N;SG
植物	tanaman	植物	tanaman	N	N;SG
植物	tumbuhan	植物	tumbuhan	N	N;SG
皮	kulit	皮	kulit	N	N;SG
非常	sangat	非常	sangat	ADV	ADV
通常	biasanya	通常	biasanya	ADV	ADV
通常	biasanya	通常	biasanya	ADV	ADV
形成	membentuk	形成	menbentuk	V	V;SG;ACT
比賽	permainan	比賽	permainan	N	N;SG
比賽	game	比賽	game	N	N;SG
比賽	balapan	比賽	balapan	N	N;SG
比賽	perlombaan	比賽	perlombaan	N	N;SG
比賽	ras	比賽	ras	N	N;SG
比賽	lomba	比賽	lomba	N	N;SG
比賽	kontes	比賽	kontes	N	N;SG
聯賽	liga	聯賽	liga	N	N;SG
學校	sekolah	學校	sekolah	N	N;SG
學校	sekolah	學校	sekolah	N	N;SG
完全	sepenuhnya	完全	sepenuhnya	ADV	ADV
信	huruf	信	huruf	N	N;SG
信	surat	信	surat	N	N;SG
信	huruf	信	huruf	N	N;SG
期間	periode	期間	periode	N	N;SG
接受	diterima	接受	diterima	V	V;SG;PASS
接受	menerima	接受	menterima	V	V;SG;ACT
接受	terimalah	接受	terimalah	V	V;SG
書	kitab	書	kitab	N	N;SG
書	buku	書	buku	N	N;SG
書	pembukuan	書	penbukuan	N	N;SG
書	buku	書	buku	N	N;SG
交通	transportasi	交通	transportasi	N	N;SG
交通	pengangkutan	交通	penangkutan	N	N;SG
交通	transportasi	交通	transportasi	N	N;SG
交通	transpor	交通	transpor	N	N;SG
交通	angkut	交通	angkut	N	N;SG;ACT
交通	pengangkutan	交通	penangkutan	N	N;SG
木	kayu	木	kayu	N	N;SG
討論	membahas	討論	menbahas	V	V;SG;ACT
討論	bahas	討論	bahas	V	V;SG;ACT
討論	diskusikan	討論	diskusikan	V	V;SG;PASS
討論	berdiskusi	討論	berdiskusi	V	V;SG;ACT
故事	cerita	故事	cerita	N	N;SG
故事	berita	故事	berita	N	N;SG
故事	kisah	故事	kisah	N	N;SG
故事	cerita	故事	cerita	N	N;SG
直接	langsung	直接	langsung	ADV	ADV
直接	langsung	直接	langsung	ADV	ADV
參與	berpartisipasi	參與	berpartisipasi	V	V;SG;ACT
湖	danau	湖	danau	N	N;SG
保留	dipesan	保留	dipesan	V	V;SG;PASS
手	tangan	手	tangan	N	N;SG
手	tangan	手	tangan	N	N;SG
心	hati	心	hati	N	N;SG
心	jantung	心	jantung	N	N;SG
心	hati	心	hati	N	N;SG
播放	siarkan	播放	siarkan	V	V;SG;ACT
播放	mainkan	播放	mainkan	V	V;SG;ACT
播放	bermain	播放	bermain	V	V;SG;ACT
播放	memutar	播放	menputar	V	V;SG;ACT
播放	memainkan	播放	menmainkan	V	V;SG;ACT
播放	bermain	播放	bermain	V	V;SG;ACT
播放	memainkan	播放	menmainkan	V	V;SG;ACT
播放	diputar	播放	diputar	V	V;SG;PASS
播放	bermain	播放	bermain	V	V;SG;ACT
音	konsonan	音	konsonan	N	N
音	nada	音	nada	N	N;SG
音	tone	音	tone	N	N
增加	naikkan	增加	naikkan	V	V;SG;ACT
增加	tingkatkan	增加	tingkatkan	V	V;SG;ACT
增加	meningkat	增加	mentingkat	V	V;SG;ACT
增加	meningkatkan	增加	mentingkatkan	V	V;SG;ACT
增加	meningkat	增加	mentingkat	V	V;SG;ACT
增加	meningkatkan	增加	mentingkatkan	V	V;SG;ACT
增加	meningkat	增加	mentingkat	V	V;SG;ACT
角	pojokan	角	pojokan	N	N;SG
角	sudut	角	sudut	N	N;SG
角	angle	角	angle	N	N
角	sudut	角	sudut	N	N;SG
角	poin	角	poin	N	N;SG
角	titik	角	titik	N	N;SG
角	point	角	point	N	N
耶	hore	耶	hore		
太	terlalu	太	terlalu	ADV	ADV
歌	lagu	歌	lagu	N	N;SG
歌	lagu	歌	lagu	N	N;SG
圖	diagram	圖	diagram	N	N;SG
圖	grafik	圖	grafik	N	N
圖	grafik	圖	grafik	N	N
圖	diagram	圖	diagram	N	N;SG
圖	bagan	圖	bagan	N	N;SG
圖	figur	圖	figur	N	N;SG
圖	tokoh	圖	tokoh	N	N;SG
圖	sosok	圖	sosok	N	N
灣	teluk	灣	teluk	N	N;SG
民主	demokrasi	民主	demokrasi	N	N;SG
寺	kuil	寺	kuil	N	N;SG
參加	menghadiri	參加	menhadiri	V	V;SG;ACT
參加	hadiri	參加	hadiri	V	V;SG;ACT
參加	dampingi	參加	dampingi	V	V;SG;ACT
參加	berpartisipasi	參加	berpartisipasi	V	V;SG;ACT
參加	menghadiri	參加	menhadiri	V	V;SG;ACT
控制	mengontrol	控制	menkontrol	V	V;SG;ACT
控制	kendalikan	控制	kendalikan	V	V;SG;ACT
控制	mengontrol	控制	menkontrol	V	V;SG;ACT
戰	pertempuran	戰	pertempuran	N	N;SG
戰	peperangan	戰	peperangan	N	N
戰	perang	戰	perang	N	N;SG
戰	peperangan	戰	peperangan	N	N
電視	televisi	電視	televisi	N	N;SG
七	tujuh	七	tujuh	NUM	NUM
口	mulut	口	mulut	N	N;SG
委員	komisi	委員	komisi	N	N;SG
編輯	sunting	編輯	sunting	N	N
編輯	editing	編輯	editing	N	N
編輯	penyuntingan	編輯	penyuntingan	N	N
編輯	mengedit	編輯	mengedit	N	N;SG
編輯	penyunting	編輯	penyunting	N	N
編輯	editor	編輯	editor	N	N
資料	data	資料	data	N	N;SG
播出	siarkan	播出	siarkan	V	V;SG;ACT
路線	rute	路線	rute	N	N;SG
路線	rute	路線	rute	N	N;SG
年度	tahun	年度	tahun	N	N;SG
歌手	penyanyi	歌手	pennyanyi	N	N;SG
歌手	penyanyi	歌手	pennyanyi	N	N;SG
店	ruko	店	ruko	N	N
店	toko	店	toko	N	N;SG
店	belanja	店	belanja	N	N;SG
店	simpan	店	simpan	N	N;SG;ACT
店	toko	店	toko	N	N;SG
二十	duapuluh	二十	duapuluh	NUM	NUM
組織	organisasi	組織	organisasi	N	N;SG
組織	organisasi	組織	organisasi	N	N;SG
組織	jaringan	組織	jaringan	N	N;SG
組織	divisi	組織	divisi	N	N;SG
組織	pembagian	組織	penbagian	N	N;SG
分類	klasifikasi	分類	klasifikasi	N	N;SG
分類	klasifikasi	分類	klasifikasi	N	N;SG
教授	profesor	教授	profesor	N	N;SG
教授	professor	教授	professor	N	N
盃	gelas	盃	gelas	N	N;SG
盃	piala	盃	piala	N	N;SG
盃	cangkir	盃	cangkir	N	N;SG
八	delapan	八	delapan	NUM	NUM
文字	teks	文字	teks	N	N;SG
民族	etnis	民族	etnis	N	N;SG
民族	etnik	民族	etnik	N	N;SG
民族	kewarganegaraan	民族	kewarganegaraan	N	N;SG
民族	kebangsaan	民族	kebangsaan	N	N;SG
主席	presiden	主席	presiden	N	N;SG
主席	ketua	主席	ketua	N	N;SG
