med	koos	med	koos	ADV	ADV
går	jalutades	gå	jalutama	V;IND;PRS;FIN;ACT	V;V.CVB
går	jalutamas	gå	jalutama	V;IND;PRS;FIN;ACT	V;IN+ESS;V.CVB;ACT
går	kõnnib	gå	kõndima	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
går	läheb	gå	minema	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
går	läheb	gå	minema	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
går	käib	gå	käima	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
går	kõnnib	gå	kõndima	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
fordi	kuna	fordi	kuna	CONJ	CONJ
fordi	sest	fordi	sest	CONJ	CONJ
syd	lõuna	syd	lõuna	N;INDF	N;NOM;SG
syd	lõunasse	syd	lõuna	N;INDF	N;IN+ALL;SG
syd	lõunas	syd	lõuna	N;INDF	N;IN+ESS;SG
syd	syd	syd	syd	N;INDF	N;NOM;SG
skrevet	kirjutatud	skrive	kirjutama	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;PASS
skrevet	kirjutanud	skrive	kirjutama	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;ACT
sverige	rootsi	sverig	rootsi	ADJ;PL	ADJ
frederik	frederik	frederik	frederik	N;INDF;MASC+FEM;SG	N;NOM;SG
frederik	friedrich	frederik	friedrich	N;INDF;MASC+FEM;SG	N;NOM;SG
frederik	frederick	frederik	frederick	N;INDF;MASC+FEM;SG	N;NOM;SG
ned	alla	ned	alla	ADV	ADV
ned	maha	ned	maha	ADV	ADV
ned	maas	ned	maas	ADV	ADV
form	kujund	form	kujund	N;INDF;MASC+FEM;SG	N;NOM;SG
form	kuju	form	kuju	N;INDF;MASC+FEM;SG	N;NOM;SG
form	kujuga	form	kuju	N;INDF;MASC+FEM;SG	N;COM;SG
form	vormi	form	vorm	N;INDF;MASC+FEM;SG	N;PRT;SG
form	vorm	form	vorm	N;INDF;MASC+FEM;SG	N;NOM;SG
gjorde	tegi	gøre	tegema	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
nogen	keegi	nogen	keegi	PRO;MASC+FEM;SG	PRO;NOM;SG
nogen	keegi	nogen	keegi	PRO;MASC+FEM;SG	PRO;NOM;SG
arbejde	tööd	arbejde	töö	N;INDF;NEUT;SG	N;PRT;SG
arbejde	töö	arbejde	töö	N;INDF;NEUT;SG	N;NOM;SG
arbejde	tööle	arbejde	töö	N;INDF;NEUT;SG	N;AT+ALL;SG
arbejde	töötamine	arbejde	töötamine	N;INDF;NEUT;SG	N;NOM;SG
land	riik	land	riik	N;INDF;NEUT;SG	N;NOM;SG
land	maa	land	maa	N;INDF;NEUT;SG	N;NOM;SG
land	maad	land	maa	N;INDF;NEUT;SG	N;PRT;SG
land	land	land	land	N;INDF;NEUT;SG	N;NOM;SG
landet	riik	land	riik	N;DEF;NEUT;SG	N;NOM;SG
børn	lapsed	barn	laps	N;INDF;NEUT;PL	N;NOM;PL
børn	lapsed	barn	laps	N;INDF;NEUT;PL	N;NOM;PL
http	http	http	http	N;INDF;MASC+FEM;SG	N;NOM
lidt	veidi	lidt	veidi	ADV	ADV
lidt	kergelt	lidt	kergelt	ADV	ADV
verden	maailma	verden	maa_ilm	N;INDF;MASC+FEM;SG	N;PRT;SG
verden	maailm	verden	maa_ilm	N;INDF;MASC+FEM;SG	N;NOM;SG
lang	pikka	lang	pikk	ADJ;INDF;MASC+FEM;SG	ADJ;PRT;SG
lang	pikk	lang	pikk	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;SG
plads	iste	plads	iste	N;INDF;MASC+FEM;SG	N;NOM;SG
plads	istet	plads	iste	N;INDF;MASC+FEM;SG	N;PRT;SG
plads	istekoht	plads	iste_koht	N;INDF;MASC+FEM;SG	N;NOM;SG
plads	koht	plads	koht	N;INDF;MASC+FEM;SG	N;NOM;SG
plads	kosmos	plads	kosmos	N;INDF;MASC+FEM;SG	N;NOM;SG
plads	ruum	plads	ruum	N;INDF;MASC+FEM;SG	N;NOM;SG
plads	ruumi	plads	ruum	N;INDF;MASC+FEM;SG	N;PRT;SG
samtidig	samaaegselt	samtidig	sama_aegselt	ADV	ADV
samtidig	üheaegselt	samtidig	ühe_aegselt	ADV	ADV
stort	suure	stor	suur	ADJ;INDF;NEUT;SG	ADJ;GEN;SG
stort	suur	stor	suur	ADJ;INDF;NEUT;SG	ADJ;NOM;SG
stort	suure	stor	suur	ADJ;INDF;NEUT;SG	ADJ;GEN;SG
stort	suur	stor	suur	ADJ;INDF;NEUT;SG	ADJ;NOM;SG
derefter	seejärel	derefter	see_järel	ADV	ADV
derefter	siis	derefter	siis	ADV	ADV
indeholder	sisaldab	indeholde	sisaldama	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
indeholder	sisaldavad	indeholde	sisaldama	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN;ACT
indeholder	sisaldab	indeholde	sisaldama	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
sprog	keel	sprog	keel	N;INDF;NEUT;SG	N;NOM;SG
sprog	keele	sprog	keel	N;INDF;NEUT;SG	N;GEN;SG
set	märgatud	se	märkama	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;PASS
set	nähtud	se	nägema	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;PASS
set	näinud	se	nägema	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;ACT
set	vaadatud	se	vaatama	V;INDF;SG;PST;V.PTCP	V;PST;V.PTCP;PASS
set	jälgiti	se	jälgiti	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
set	vaatasin	se	vaatama	V;INDF;SG;PST;V.PTCP	V;IND;SG;1;PST;FIN;ACT
set	vaatas	se	vaatama	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
kendte	teada	kende	teadma	V;IND;PST;FIN;ACT	V;NFIN
kendte	teadis	kende	teadma	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
kendte	teadsid	kende	teadma	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
kendte	teadsin	kende	teadma	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN;ACT
gav	andis	give	andma	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
kilder	allikad	kilde	allikas	N;INDF;MASC+FEM;PL	N;NOM;PL
mand	meessoost	mand	mees_sugu	N;INDF;MASC+FEM;SG	N;IN+ABL;SG
mand	abikaasa	mand	abi_kaasa	N;INDF;MASC+FEM;SG	N;NOM;SG
mand	mehel	mand	mees	N;INDF;MASC+FEM;SG	N;AT+ESS
;SG
mand	mees	mand	mees	N;INDF;MASC+FEM;SG	N;NOM;SG
mand	man	mand	man	N;INDF;MASC+FEM;SG	N;NOM;SG
vest	west	vest	west	N;INDF	N;NOM;SG
vest	lääs	vest	lääs	N;INDF	N;NOM;SG
vest	lääne	vest	lääs	N;INDF	N;NOM;SG
vest	vest	vest	vest	N;INDF	N;NOM;SG
vest	läänemaa	vest	lääne_maa	N;INDF	N;NOM;SG
vest	lääne	vest	lääs	N;INDF	N;NOM;SG
