من	dari	مِن	dari	ADP	ADP
قائمة	menu	قَائِمَة	menu	N;NOM;INDF;SG	N;SG
قائمة	daftar	قَائِمَة	daftar	N;NOM;INDF;SG	N;SG
قائمة	list	قَائِمَة	list	N;NOM;INDF;SG	N
مقاطعة	kabupaten	مُقَاطَعَة	kabupaten	N;NOM;INDF;SG	N;SG
مقاطعة	daerah	مُقَاطَعَة	daerah	N;NOM;INDF;SG	N;SG
مقاطعة	powiat	مُقَاطَعَة	powiat	N;NOM;INDF;SG	N
مقاطعة	propinsi	مُقَاطَعَة	propinsi	N;NOM;INDF;SG	N;SG
تقسيم	partisi	تَقسِيم	partisi	N;NOM;INDF;SG	N;SG
تقسيم	pisah	تَقسِيم	pisah	N;NOM;INDF;SG	N;SG;ACT
العالم	dunia	عَالَم	dunia	N;NOM;DEF;SG	N;SG
العالم	ilmuwan	عَالَم	ilmuwan	N;NOM;DEF;SG	N;MASC;SG
العالم	ilmuan	عَالَم	ilmuan	N;NOM;DEF;SG	N;SG
القرن	terompet	قَرن	terompet	N;NOM;DEF;SG	N;SG
القرن	klakson	قَرن	klakson	N;NOM;DEF;SG	N
القرن	tanduk	قَرن	tanduk	N;NOM;DEF;SG	N
القرن	abad	قَرن	abad	N;NOM;DEF;SG	N;SG
الموقع	lokasi	مَوقِع	lokasi	N;NOM;DEF;SG	N;SG
القدم	kaki	قَدَم	kaki	N;NOM;DEF;SG	N;SG
القدم	kaki	قَدَم	kaki	N;NOM;DEF;SG	N;SG
القدم	kaki	قَدَم	kaki	N;NOM;DEF;SG	N;SG
القدم	tungkai	قَدَم	tungkai	N;NOM;DEF;SG	N;SG
منطقة	daerah	مِنطَقَة	daerah	N;NOM;INDF;SG	N;SG
منطقة	wilayah	مِنطَقَة	wilayah	N;NOM;INDF;SG	N;SG
منطقة	region	مِنطَقَة	region	N;NOM;INDF;SG	N
منطقة	kawasan	مِنطَقَة	kawasan	N;NOM;INDF;SG	N;SG
منطقة	distrik	مِنطَقَة	distrik	N;NOM;INDF;SG	N;SG
منطقة	kecamatan	مِنطَقَة	kecamatan	N;NOM;INDF;SG	N;SG
منطقة	raionul	مِنطَقَة	raionul	N;NOM;INDF;SG	N
منطقة	kabupaten	مِنطَقَة	kabupaten	N;NOM;INDF;SG	N;SG
منطقة	daerah	مِنطَقَة	daerah	N;NOM;INDF;SG	N;SG
منطقة	zona	مِنطَقَة	zona	N;NOM;INDF;SG	N;SG
منطقة	daerah	مِنطَقَة	daerah	N;NOM;INDF;SG	N;SG
منطقة	wilayah	مِنطَقَة	wilayah	N;NOM;INDF;SG	N;SG
منطقة	luas	مِنطَقَة	luas	N;NOM;INDF;SG	N;SG
منطقة	kawasan	مِنطَقَة	kawasan	N;NOM;INDF;SG	N;SG
منطقة	area	مِنطَقَة	area	N;NOM;INDF;SG	N;SG
الرمز	simbol	رَمز	simbol	N;NOM;DEF;SG	N;SG
الرمز	kode	رَمز	kode	N;NOM;DEF;SG	N;SG
البلد	negara	بَلَد	negara	N;NOM;DEF;SG	N;SG
تعداد	enumerasi	تَعدَاد	enumerasi	N;NOM;INDF;SG	N
نتيجة	hasil	نَتِيجَة	hasil	N;ACC;INDF;SG	N;SG
الكلية	kuliah	كُلِّيَّة	kuliah	N;NOM;DEF;SG	N;SG
الكلية	ginjal	كُلِّيَّة	ginjal	N;NOM;DEF;SG	N;SG
الكلية	fakultas	كُلِّيَّة	fakultas	N;NOM;DEF;SG	N;SG
ولاية	negara	وِلَايَة	negara	N;NOM;INDF;SG	N;SG
ولاية	keadaan	وِلَايَة	keadaan	N;NOM;INDF;SG	N;SG
العرض	penawaran	عَرض	pentawaran	N;NOM;DEF;SG	N;SG
العرض	tawaran	عَرض	tawaran	N;NOM;DEF;SG	N;SG
العرض	pertunjukan	عَرض	pertunjukan	N;NOM;DEF;SG	N;SG
العرض	presentasi	عَرض	presentasi	N;NOM;DEF;SG	N;SG
العرض	tampilan	عَرض	tampilan	N;NOM;DEF;SG	N;SG
العرض	display	عَرض	display	N;NOM;DEF;SG	N
المساحة	daerah	مِسَاحَة	daerah	N;NOM;DEF;SG	N;SG
المساحة	wilayah	مِسَاحَة	wilayah	N;NOM;DEF;SG	N;SG
المساحة	luas	مِسَاحَة	luas	N;NOM;DEF;SG	N;SG
المساحة	kawasan	مِسَاحَة	kawasan	N;NOM;DEF;SG	N;SG
المساحة	area	مِسَاحَة	area	N;NOM;DEF;SG	N;SG
الحياة	kehidupan	حَيَاة	kehidupan	N;NOM;DEF;SG	N;SG
الحياة	hidup	حَيَاة	hidup	N;NOM;DEF;SG	N;SG
وصلات	link	وُصلَة	link	N;NOM;INDF;PL	N
المركز	pusat	مَركَز	pusat	N;NOM;DEF;SG	N;SG
المركز	pusat	مَركَز	pusat	N;NOM;DEF;SG	N;SG
مجموعة	group	مَجمُوعَة	group	N;NOM;INDF;SG	N
مجموعة	grup	مَجمُوعَة	grup	N;NOM;INDF;SG	N;SG
مجموعة	kelompok	مَجمُوعَة	kelompok	N;NOM;INDF;SG	N;SG
مجموعة	koleksi	مَجمُوعَة	koleksi	N;NOM;INDF;SG	N;SG
موقع	lokasi	مَوقِع	lokasi	N;NOM;INDF;SG	N;SG
مكان	tempat	مَكَان	tempat	N;NOM;INDF;SG	N;SG
نقاش	diskusi	نِقَاش	diskusi	N;NOM;INDF;SG	N;SG
نقاش	perdebatan	نِقَاش	perdebatan	N;NOM;INDF;SG	N;SG
نقاش	debat	نِقَاش	debat	N;NOM;INDF;SG	N;SG
تحت	dibawah	تَحتَ	dibawah	ADP;ACC	ADP;SG;PASS
تحت	dibawah	تَحتَ	dibawah	ADP;ACC	ADP;SG;PASS
منذ	semenjak	مُنذُ	semenjak	ADP	ADP
منذ	sejak	مُنذُ	sejak	ADP	ADP
حجم	volume	حَجم	volume	N;NOM;INDF;SG	N;SG
حجم	borongan	حَجم	borongan	N;NOM;INDF;SG	N
حجم	ukuran	حَجم	ukuran	N;NOM;INDF;SG	N;SG
المحافظة	propinsi	مُحَافَظَة	propinsi	N;NOM;DEF;SG	N;SG
المحافظة	konservasi	مُحَافَظَة	konservasi	N;NOM;DEF;SG	N;SG
المحافظة	pelestarian	مُحَافَظَة	pelestarian	N;NOM;DEF;SG	N;SG
الحرب	perang	حَرب	perang	N;NOM;DEF;SG	N;SG
الحرب	peperangan	حَرب	peperangan	N;NOM;DEF;SG	N
قرية	kampung	قَريَة	kampung	N;NOM;INDF;SG	N;SG
قرية	dusun	قَريَة	dusun	N;NOM;INDF;SG	N;SG
قرية	desa	قَريَة	desa	N;NOM;INDF;SG	N;SG
العام	tahun	عَام	tahun	N;NOM;DEF;SG	N;SG
رئيس	presiden	رَئِيس	presiden	N;NOM;INDF;SG	N;SG
رئيس	ketua	رَئِيس	ketua	N;NOM;INDF;SG	N;SG
رئيس	kepala	رَئِيس	kepala	N;NOM;INDF;SG	N;SG
الكثافة	intensitas	كَثَّافَة	intensitas	N;NOM;DEF;SG	N;SG
الكثافة	kepadatan	كَثَّافَة	kepadatan	N;NOM;DEF;SG	N;SG
الوفاة	kematian	وَفَاة	kematian	N;NOM;DEF;SG	N;SG
شعار	slogan	شِعَار	slogan	N;NOM;INDF;SG	N;SG
شعار	logo	شِعَار	logo	N;NOM;INDF;SG	N;SG
شعار	lambang	شِعَار	lambang	N;NOM;INDF;SG	N;SG
شعار	emblem	شِعَار	emblem	N;NOM;INDF;SG	N
عزلة	isolasi	عُزلَة	isolasi	N;NOM;INDF;SG	N;SG
عزلة	kesendirian	عُزلَة	kesendirian	N;NOM;INDF;SG	N;SG
كتاب	kitab	كِتَاب	kitab	N;NOM;INDF;SG	N;SG
كتاب	buku	كِتَاب	buku	N;NOM;INDF;SG	N;SG
مديرية	direktorat	مُدِيرِيَّة	direktorat	N;NOM;INDF;SG	N;SG
حول	tentang	حَولَ	tentang	ADP;ACC	ADP;SG;ACT
حول	sekitar	حَولَ	sekitar	ADP;ACC	ADP
العمل	tindakan	عَمَل	tindakan	N;NOM;DEF;SG	N;SG
العمل	aksi	عَمَل	aksi	N;NOM;DEF;SG	N;SG
العمل	pekerjaan	عَمَل	pekerjaan	N;NOM;DEF;SG	N;SG
العمل	kerja	عَمَل	kerja	N;NOM;DEF;SG	N;SG
العمل	bisnis	عَمَل	bisnis	N;NOM;DEF;SG	N;SG
الخريطة	peta	خَرِيطَة	peta	N;NOM;DEF;SG	N;SG
الرسمي	resmi	رَسمِيّ	resmi	ADJ;NOM;DEF;MASC;SG	ADJ;SG
الرسمي	formal	رَسمِيّ	formal	ADJ;NOM;DEF;MASC;SG	ADJ
عشر	sepuluh	عَشَرَة	sepuluh	NUM;MASC	NUM
يوم	siang	يَوم	siang	N;NOM;INDF;SG	N;SG
يوم	hari	يَوم	hari	N;NOM;INDF;SG	N;SG
كتابة	tulis	كِتَابَة	tulis	N;NOM;INDF;SG	N;SG;ACT
كتابة	penulisan	كِتَابَة	pentulisan	N;NOM;INDF;SG	N;SG
كتابة	tulisan	كِتَابَة	tulisan	N;NOM;INDF;SG	N;SG
طريق	jalan	طَرِيق	jalan	N;NOM;INDF;SG	N;SG;ACT
الدين	agama	دِين	agama	N;NOM;DEF;SG	N;SG
الدين	utang	دِين	utang	N;NOM;DEF;SG	N;SG
الدين	hutang	دِين	hutang	N;NOM;DEF;SG	N;SG
مركز	pusat	مَركَز	pusat	N;NOM;INDF;SG	N;SG
مركز	pusat	مَركَز	pusat	N;NOM;INDF;SG	N;SG
ملف	berkas	مِلَفّ	berkas	N;NOM;INDF;SG	N;SG
ملف	file	مِلَفّ	file	N;NOM;INDF;SG	N;SG
مجلس	majelis	مَجلِس	majelis	N;NOM;INDF;SG	N;SG
مجلس	dewan	مَجلِس	dewan	N;NOM;INDF;SG	N;SG
قيد	batasan	قَيد	batasan	N;NOM;INDF;SG	N;SG
قيد	kendala	قَيد	kendala	N;NOM;INDF;SG	N;SG
الدولة	negara	دَولَة	negara	N;NOM;DEF;SG	N;SG
الدولة	keadaan	دَولَة	keadaan	N;NOM;DEF;SG	N;SG
قال	berkata	قَال	berkata	V;PFV;MASC;SG;3;ACT	V;SG;ACT
قال	mengatakan	قَال	menkatakan	V;PFV;MASC;SG;3;ACT	V;SG;ACT
الاسم	nama	اِسم	nama	N;NOM;DEF;SG	N;SG
ولد	bocah	وَلَد	bocah	N;NOM;INDF;SG	N
البحر	laut	بَحر	laut	N;NOM;DEF;SG	N;SG
شركة	firma	شَرِكَة	firma	N;NOM;INDF;SG	N
شركة	perusahaan	شَرِكَة	perusahaan	N;NOM;INDF;SG	N;SG
فيلم	bioskop	فِيلم	bioskop	N;NOM;INDF;SG	N
فيلم	film	فِيلم	film	N;NOM;INDF;SG	N;SG
فيلم	film	فِيلم	film	N;NOM;INDF;SG	N;SG
صورة	gambar	صُورَة	gambar	N;NOM;INDF;SG	N;SG
صورة	image	صُورَة	image	N;NOM;INDF;SG	N
صورة	citra	صُورَة	citra	N;NOM;INDF;SG	N;SG
صورة	gambar	صُورَة	gambar	N;NOM;INDF;SG	N;SG
بطولة	championship	بُطُولَة	championship	N;NOM;INDF;SG	N
بطولة	kejuaraan	بُطُولَة	kejuaraan	N;NOM;INDF;SG	N;SG
بطولة	turnamen	بُطُولَة	turnamen	N;NOM;INDF;SG	N;SG
الولادة	persalinan	وِلَادَة	persalinan	N;NOM;DEF;SG	N;SG
الولادة	kelahiran	وِلَادَة	kelahiran	N;NOM;DEF;SG	N;SG
البريدي	pos	البريدي	pos	N;NOM;DEF;SG	N;SG;ACT
الدوري	liga	دَورِيّ	liga	N;NOM;DEF;SG	N;SG
خلفية	background	خَلفِيَّة	background	N;NOM;INDF;SG	N
خلفية	latar	خَلفِيَّة	latar	N;NOM;INDF;SG	N;SG
فقط	saja	فَقَط	saja	ADV	ADV
فقط	hanya	فَقَط	hanya	ADV	ADV
فقط	hanya	فَقَط	hanya	ADV	ADV
جائزة	prize	جَائِزَة	prize	N;NOM;INDF;SG	N
جائزة	penghargaan	جَائِزَة	penhargaan	N;NOM;INDF;SG	N;SG
جائزة	award	جَائِزَة	award	N;NOM;INDF;SG	N
نظام	sistem	نِظَام	sistem	N;NOM;INDF;SG	N;SG
نظام	system	نِظَام	system	N;NOM;INDF;SG	N
قسم	departemen	قِسم	departemen	N;NOM;INDF;SG	N;SG
قسم	daerah	قِسم	daerah	N;NOM;INDF;SG	N;SG
قسم	bagian	قِسم	bagian	N;NOM;INDF;SG	N;SG
قسم	seksi	قِسم	seksi	N;NOM;INDF;SG	N;SG
فترة	periode	فَترَة	periode	N;NOM;INDF;SG	N;SG
ضد	melawan	ضِدَّ	menlawan	ADP;ACC	ADP;SG;ACT
ضد	terhadap	ضِدَّ	terhadap	ADP;ACC	ADP
مارس	maret	مَارِس	maret	N;GEN;INDF;SG	N;SG
رقم	angka	رَقم	angka	N;NOM;INDF;SG	N;SG
رقم	nomor	رَقم	nomor	N;NOM;INDF;SG	N;SG
رقم	bilangan	رَقم	bilangan	N;NOM;INDF;SG	N;SG
اليوم	siang	يَوم	siang	N;ACC;DEF;SG	N;SG
اليوم	hari	يَوم	hari	N;ACC;DEF;SG	N;SG
يناير	januari	يَنَايِر	januari	N;GEN;INDF;SG	N;SG
اللغة	bahasa	لُغَة	bahasa	N;NOM;DEF;SG	N;SG
عمل	tugas	عَمَل	tugas	N;NOM;INDF;SG	N;SG
عمل	pekerjaan	عَمَل	pekerjaan	N;NOM;INDF;SG	N;SG
عمل	pekerjaan	عَمَل	pekerjaan	N;NOM;INDF;SG	N;SG
عمل	kerja	عَمَل	kerja	N;NOM;INDF;SG	N;SG
عمل	bisnis	عَمَل	bisnis	N;NOM;INDF;SG	N;SG
جنوب	selatan	جَنُوب	selatan	N;NOM;INDF;SG	N;SG
جنوب	selatan	جَنُوب	selatan	N;NOM;INDF;SG	N;SG
العالمية	universal	عَالَمِيّ	universal	ADJ;NOM;DEF;FEM;SG	ADJ
العالمية	global	عَالَمِيّ	global	ADJ;NOM;DEF;FEM;SG	ADJ
كبير	besar	كَبِير	besar	ADJ;NOM;INDF;MASC;SG	ADJ;SG
الوقت	kali	وَقت	kali	N;NOM;DEF;SG	N;SG
الوقت	waktu	وَقت	waktu	N;NOM;DEF;SG	N;SG
الوقت	waktunya	وَقت	waktu	N;NOM;DEF;SG	N;SG
عملية	proses	عَمَلِيَّة	proses	N;NOM;INDF;SG	N;SG
عملية	operasi	عَمَلِيَّة	operasi	N;NOM;INDF;SG	N;SG
فبراير	februari	فِبرَايِر	februari	N;GEN;INDF;SG	N;SG
فبراير	pebruari	فِبرَايِر	pebruari	N;GEN;INDF;SG	N;SG
يونيو	juni	يُونِيُو	juni	N;GEN;INDF;SG	N;SG
يوليو	juli	يُولِيُو	juli	N;GEN;INDF;SG	N;SG
الاتحاد	federasi	اِتِّحَاد	federasi	N;NOM;DEF;SG	N;SG
الاتحاد	konfederasi	اِتِّحَاد	konfederasi	N;NOM;DEF;SG	N
سبتمبر	september	سِبتَمبِر	september	N;GEN;INDF;SG	N;SG
عبر	melalui	عَبرَ	melalui	ADP;ACC	ADP
عبر	lewat	عَبرَ	lewat	ADP;ACC	ADP;SG;ACT
عبر	melalui	عَبرَ	melalui	ADP;ACC	ADP
استخدام	penggunaan	اِستِخدَام	pengunaan	N;NOM;INDF;SG	N;SG
فريق	tim	فَرِيق	tim	N;NOM;INDF;SG	N;SG
العامة	publik	عَامَّة	publik	N;NOM;DEF;SG	N
يقدر	dihargai	قَدَّر	dihargai	V;IPFV;MASC;IND;SG;3;FIN;PASS	V;SG;PASS
يقدر	disyukuri	قَدَّر	disyukuri	V;IPFV;MASC;IND;SG;3;FIN;PASS	V;SG;PASS
ديسمبر	desember	دِيسَمبِر	desember	N;GEN;INDF;SG	N;SG
ديسمبر	desember	دِيسَمبِر	desember	N;GEN;INDF;SG	N;SG
كبيرة	besar	كَبِير	besar	ADJ;NOM;INDF;FEM;SG	ADJ;SG
كبيرة	besar	كَبِير	besar	ADJ;NOM;INDF;FEM;SG	ADJ;SG
الجيش	kemiliteran	جَيش	kemiliteran	N;NOM;DEF;SG	N;SG
الجيش	tentara	جَيش	tentara	N;NOM;DEF;SG	N;SG
نوفمبر	nopember	نُوفِمبِر	nopember	N;GEN;INDF;SG	N
المديرية	direktorat	مُدِيرِيّ	direktorat	N;NOM;DEF;SG	N;SG
داخل	didalam	دَاخِلَ	didalam	ADP;ACC	ADP;SG;PASS
لاعب	player	لَاعِب	player	N;NOM;INDF;SG	N
لاعب	pemain	لَاعِب	penmain	N;NOM;INDF;SG	N;SG
لاعب	pemutar	لَاعِب	penputar	N;NOM;INDF;SG	N;SG
الفترة	periode	فَترَة	periode	N;NOM;DEF;SG	N;SG
دولة	negara	دَولَة	negara	N;NOM;INDF;SG	N;SG
دولة	keadaan	دَولَة	keadaan	N;NOM;INDF;SG	N;SG
الدولي	internasional	دُوَلِيّ	internasional	ADJ;NOM;DEF;MASC;SG	ADJ;SG
بلدة	kotamadya	بَلدَة	kotamadya	N;NOM;INDF;SG	N;SG
بلدة	kota	بَلدَة	kota	N;NOM;INDF;SG	N;SG
درجة	gelar	دَرَجَة	gelar	N;NOM;INDF;SG	N;SG;ACT
درجة	ijazah	دَرَجَة	ijazah	N;NOM;INDF;SG	N;SG
درجة	derajat	دَرَجَة	derajat	N;NOM;INDF;SG	N;SG
خاصة	swasta	خَاصّ	swasta	ADJ;ACC;INDF;FEM;SG	ADJ;SG
خاصة	pribadi	خَاصّ	pribadi	ADJ;ACC;INDF;FEM;SG	ADJ;SG
خاصة	istimewa	خَاصّ	istimewa	ADJ;ACC;INDF;FEM;SG	ADJ;SG
خاصة	spesial	خَاصّ	spesial	ADJ;ACC;INDF;FEM;SG	ADJ;SG
خاصة	khusus	خَاصّ	khusus	ADJ;ACC;INDF;FEM;SG	ADJ;SG
الحكومة	pemerintah	حُكُومَة	penperintah	N;NOM;DEF;SG	N;SG
الحكومة	pemerintahan	حُكُومَة	penperintahan	N;NOM;DEF;SG	N;SG
ملعب	stadion	مَلعَب	stadion	N;NOM;INDF;SG	N;SG
ملعب	stadium	مَلعَب	stadium	N;NOM;INDF;SG	N
متر	meter	مِتر	meter	N;NOM;INDF;SG	N;SG
متر	meter	مِتر	meter	N;NOM;INDF;SG	N;SG
متر	meter	مِتر	meter	N;NOM;INDF;SG	N;SG
متر	meteran	مِتر	meteran	N;NOM;INDF;SG	N;SG
متر	meter	مِتر	meter	N;NOM;INDF;SG	N;SG
حالة	status	حَالَة	status	N;NOM;INDF;SG	N;SG
حالة	kasus	حَالَة	kasus	N;NOM;INDF;SG	N;SG
حالة	syarat	حَالَة	syarat	N;NOM;INDF;SG	N;SG
حالة	kondisi	حَالَة	kondisi	N;NOM;INDF;SG	N;SG
الفيلم	bioskop	فِيلم	bioskop	N;NOM;DEF;SG	N
الفيلم	film	فِيلم	film	N;NOM;DEF;SG	N;SG
الفيلم	film	فِيلم	film	N;NOM;DEF;SG	N;SG
كلية	kuliah	كُلِّيَّة	kuliah	N;NOM;INDF;SG	N;SG
كلية	ginjal	كُلِّيَّة	ginjal	N;NOM;INDF;SG	N;SG
كلية	fakultas	كُلِّيَّة	fakultas	N;NOM;INDF;SG	N;SG
مليون	juta	مِليُون	juta	NUM;NOM;INDF;SG	NUM
مليون	sejuta	مِليُون	sejuta	NUM;NOM;INDF;SG	NUM
الدرجة	gelar	دَرَجَة	gelar	N;NOM;DEF;SG	N;SG;ACT
الدرجة	ijazah	دَرَجَة	ijazah	N;NOM;DEF;SG	N;SG
الدرجة	derajat	دَرَجَة	derajat	N;NOM;DEF;SG	N;SG
الخاصة	swasta	خَاصّ	swasta	ADJ;NOM;DEF;FEM;SG	ADJ;SG
الخاصة	pribadi	خَاصّ	pribadi	ADJ;NOM;DEF;FEM;SG	ADJ;SG
الرئيس	presiden	رَئِيس	presiden	N;NOM;DEF;SG	N;SG
الرئيس	ketua	رَئِيس	ketua	N;NOM;DEF;SG	N;SG
الرئيس	kepala	رَئِيس	kepala	N;NOM;DEF;SG	N;SG
الرئيس	ketua	رَئِيس	ketua	N;NOM;DEF;SG	N;SG
بداية	permulaan	بِدَايَة	permulaan	N;NOM;INDF;SG	N;SG
شرق	timur	شَرق	timur	N;NOM;INDF;SG	N;SG
شرق	timur	شَرق	timur	N;NOM;INDF;SG	N;SG
ويكيبيديا	wikipedia	ويكيبيديا	wikipedia	N;NOM;DEF;SG	N
نهاية	akhir	نِهَايَة	akhir	N;NOM;INDF;SG	N;SG
العزلة	isolasi	عُزلَة	isolasi	N;NOM;DEF;SG	N;SG
العزلة	kesendirian	عُزلَة	kesendirian	N;NOM;DEF;SG	N;SG
وسط	pusat	وَسط	pusat	N;NOM;INDF;SG	N;SG
وسط	sentral	وَسط	sentral	N;NOM;INDF;SG	N;SG
وسط	pertengahan	وَسط	pertengahan	N;NOM;INDF;SG	N;SG
دور	peran	دَور	peran	N;NOM;INDF;SG	N;SG
دور	peranan	دَور	peranan	N;NOM;INDF;SG	N;SG
القرية	kampung	قَريَة	kampung	N;NOM;DEF;SG	N;SG
القرية	dusun	قَريَة	dusun	N;NOM;DEF;SG	N;SG
