nie	لا	nie	لَا	PART;NEG	PART
kariera	المهنة	kariera	مُهَنِّئ	N;NOM;FEM;SG	N;NOM;DEF;SG
kariera	مهنة	kariera	مِهنَة	N;NOM;FEM;SG	N;NOM;INDF;SG
miejsca	اماكن	miejsce	إِمكَان	N;NOM;NEUT;PL	N;NOM;INDF;PL
miejsca	الاماكن	miejsce	مَكَان	N;NOM;NEUT;PL	N;NOM;DEF;PL
miejsca	مواقع	miejsce	مَوقِع	N;NOM;NEUT;PL	N;NOM;INDF;PL
miejsca	المواقع	miejsce	مَوقِع	N;NOM;NEUT;PL	N;NOM;DEF;PL
profil	التشكيلة	profil	تَشكِيلَة	N;NOM;MASC;SG	N;NOM;DEF;SG
jednostka	وحدة	jednostka	وَحدَة	N;NOM;FEM;SG	N;NOM;INDF;SG
jednostka	الوحدة	jednostka	وَحدَة	N;NOM;FEM;SG	N;NOM;DEF;SG
jednostka	كيان	jednostka	كِيَان	N;NOM;FEM;SG	N;NOM;INDF;SG
jednostka	الكيان	jednostka	كِيَان	N;NOM;FEM;SG	N;NOM;DEF;SG
nowy	جديد	nowy	جَدِيد	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
nowy	جديدة	nowy	جَدِيد	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
nowy	الجديد	nowy	جَدِيد	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
osoby	اشخاص	osoba	شَخص	N;NOM;FEM;PL	N;NOM;INDF;PL
osoby	اناس	osoba	اناس	N;NOM;FEM;PL	N;NOM;INDF;PL
osoby	الاشخاص	osoba	شَخص	N;NOM;FEM;PL	N;NOM;DEF;PL
osoby	الناس	osoba	إِنسَان	N;NOM;FEM;PL	N;NOM;DEF;PL
artykuł	مقالة	artykuł	مَقَالَة	N;NOM;MASC;SG	N;NOM;INDF;SG
artykuł	مقال	artykuł	مَقَال	N;NOM;MASC;SG	N;NOM;INDF;SG
artykuł	المقالة	artykuł	مُقَال	N;NOM;MASC;SG	N;NOM;DEF;SG
artykuł	المادة	artykuł	مَادَّة	N;NOM;MASC;SG	N;NOM;DEF;SG
grupa	مجموعة	grupa	مَجمُوعَة	N;NOM;FEM;SG	N;NOM;INDF;SG
grupa	المجموعة	grupa	مَجمُوعَة	N;NOM;FEM;SG	N;NOM;DEF;SG
sam	وحيدة	sam	وَحِيد	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
wojska	الجيش	wojsko	جَيش	N;NOM;NEUT;SG	N;NOM;DEF;SG
wojska	الجيش	wojsko	جَيش	N;NOM;NEUT;SG	N;NOM;DEF;SG
wojska	جيش	wojsko	جَيش	N;NOM;NEUT;SG	N;NOM;INDF;SG
ffe	ff	ff	مَثّ		
trener	مدرب	trener	مُدَرِّب	N;NOM;MASC;SG	N;NOM;INDF;SG
trener	المدرب	trener	مُدَرِّب	N;NOM;MASC;SG	N;NOM;DEF;SG
trener	مدرب	trener	مُدَرِّب	N;NOM;MASC;SG	N;NOM;INDF;SG
koniec	نهاية	koniec	نِهَايَة	N;NOM;MASC;SG	N;NOM;INDF;SG
koniec	النهاية	koniec	نِهَايَة	N;NOM;MASC;SG	N;NOM;DEF;SG
klub	النادي	klub	نَادِي	N;NOM;MASC;SG	N;NOM;DEF;SG
klub	ناد	klub	نَادِي	N;NOM;MASC;SG	N;NOM;INDF;SG
gatunek	النوع	gatunek	نَوع	N;NOM;MASC;SG	N;NOM;DEF;SG
stadion	استاد	stadion	استاد	N;NOM;MASC;SG	N;NOM;INDF;SG
stadion	ملعب	stadion	مَلعَب	N;NOM;MASC;SG	N;NOM;INDF;SG
stadion	الملعب	stadion	مَلعَب	N;NOM;MASC;SG	N;NOM;DEF;SG
dzieci	الاولاد	dziecko	وَلَد	N;NOM;NEUT;PL	N;NOM;DEF;PL
dzieci	الاطفال	dziecko	طِفل	N;NOM;NEUT;PL	N;NOM;DEF;PL
dzieci	الاطفال	dziecko	طِفل	N;NOM;NEUT;PL	N;NOM;DEF;PL
język	لسان	język	لِسَان	N;NOM;MASC;SG	N;NOM;INDF;SG
język	اللسان	język	لِسَان	N;NOM;MASC;SG	N;NOM;DEF;SG
język	لغة	język	لُغَة	N;NOM;MASC;SG	N;NOM;INDF;SG
język	اللغة	język	لُغَة	N;NOM;MASC;SG	N;NOM;DEF;SG
rodzaj	نوع	rodzaj	نَوع	N;NOM;MASC;SG	N;NOM;INDF;SG
rodzaj	النوع	rodzaj	نَوع	N;NOM;MASC;SG	N;NOM;DEF;SG
rodzaj	نوع	rodzaj	نَوع	N;NOM;MASC;SG	N;NOM;INDF;SG
historia	قصة	historia	قِصَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
historia	حكاية	historia	حِكَايَة	N;NOM;FEM;SG	N;NOM;INDF;SG
historia	القصة	historia	قِصَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
historia	التاريخ	historia	تَارِيخ	N;NOM;FEM;SG	N;NOM;DEF;SG
historia	تاريخ	historia	تَارِيخ	N;NOM;FEM;SG	N;NOM;INDF;SG
oficjalna	رسمي	oficjalny	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
oficjalna	الرسمي	oficjalny	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
oficjalna	رسمية	oficjalny	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
król	الملك	król	مَلِك	N;NOM;MASC;SG	N;NOM;DEF;SG
drugi	الثاني	drugi	ثَانِي	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
drugi	الثانية	drugi	ثَانِي	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
działalność	النشاط	działalność	نَشَاط	N;NOM;FEM;SG	N;NOM;DEF;SG
działalność	نشاط	działalność	نَشَاط	N;NOM;FEM;SG	N;NOM;INDF;SG
wydawnictwo	الناشر	wydawnictwo	نَاشِر	N;NOM;NEUT;SG	N;NOM;DEF;SG
wydawnictwo	نشر	wydawnictwo	نَشر	N;NOM;NEUT;SG	N;NOM;INDF;SG
wydawnictwo	النشر	wydawnictwo	نَشر	N;NOM;NEUT;SG	N;NOM;DEF;SG
sezon	موسم	sezon	مَوسِم	N;NOM;MASC;SG	N;NOM;INDF;SG
sezon	الموسم	sezon	مَوسِم	N;NOM;MASC;SG	N;NOM;DEF;SG
ona	هي	on	هُوَ	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
życie	الحياة	życie	حَيَاة	N;NOM;NEUT;SG	N;NOM;DEF;SG
życie	الحياه	życie	حِيَاه	N;NOM;NEUT;SG	N;NOM;DEF;SG
życie	حياة	życie	حَيَاة	N;NOM;NEUT;SG	N;NOM;INDF;SG
nowe	جديد	nowy	جَدِيد	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
nowe	جديدة	nowy	جَدِيد	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;FEM;SG
nowe	الجديد	nowy	جَدِيد	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
drużyna	الفريق	drużyna	فَرِيق	N;NOM;FEM;SG	N;NOM;DEF;SG
drużyna	فريق	drużyna	فَرِيق	N;NOM;FEM;SG	N;NOM;INDF;SG
niemiecki	الالمانية	niemiecki	أَلمَانِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
niemiecki	الالماني	niemiecki	أَلمَانِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
niemiecki	الماني	niemiecki	أَلمَانِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
niemiecki	المانية	niemiecki	أَلمَانِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
wtedy	اذن	wtedy	إِذَن	ADV	ADV
aktor	الممثل	aktor	مُمَثِّل	N;NOM;MASC;SG	N;NOM;DEF;SG
aktor	ممثل	aktor	مُمَثِّل	N;NOM;MASC;SG	N;NOM;INDF;SG
syn	الابن	syn	اِبن	N;NOM;MASC;SG	N;NOM;DEF;SG
studia	الدراسات	studia	دِرَاسَة	N;NOM;NEUT;PL	N;NOM;DEF;PL
studia	دراسات	studia	دِرَاسَة	N;NOM;NEUT;PL	N;NOM;INDF;PL
większość	معظم	większość	مُعظَم	N;NOM;FEM;SG	N;NOM;INDF;SG
większość	الاغلبية	większość	أَغلَبِيَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
większość	اغلبية	większość	أَغلَبِيَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
większość	الغالبية	większość	غَالِبِيَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
pierwsza	اول	pierwszy	أَوَّل	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
pierwsza	الاول	pierwszy	أَوَّل	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
pierwsza	الاولى	pierwszy	أَوَّل	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
gitara	الجيتار	gitar	جِيتَار	N;NOM;MASC;SG	N;NOM;DEF;SG
gitara	الغيتار	gitar	غِيتَار	N;NOM;MASC;SG	N;NOM;DEF;SG
stacja	المحطة	stacja	مَحَطَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
stacja	محطة	stacja	مَحَطَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
bar	الحانة	bar	حَانَة	N;NOM;MASC;SG	N;NOM;DEF;SG
bar	حانة	bar	حَانَة	N;NOM;MASC;SG	N;NOM;INDF;SG
bar	شريط	bar	شَرِيط	N;NOM;MASC;SG	N;NOM;INDF;SG
bar	البار	bar	بَار	N;NOM;MASC;SG	N;NOM;DEF;SG
numer	عدد	numer	عَدَد	N;NOM;MASC;SG	N;NOM;INDF;SG
numer	العدد	numer	عَدَد	N;NOM;MASC;SG	N;NOM;DEF;SG
numer	الرقم	numer	رَقم	N;NOM;MASC;SG	N;NOM;DEF;SG
numer	رقم	numer	رَقم	N;NOM;MASC;SG	N;NOM;INDF;SG
gra	يلعب	grać	لَعِب	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
nagrody	جوائز	nagroda	جَائِزَة	N;NOM;FEM;PL	N;NOM;INDF;PL
nagrody	الجوائز	nagroda	جَائِزَة	N;NOM;FEM;PL	N;NOM;DEF;PL
nagrody	جوائز	nagroda	جَائِزَة	N;NOM;FEM;PL	N;NOM;INDF;PL
nagrody	الجوائز	nagroda	جَائِزَة	N;NOM;FEM;PL	N;NOM;DEF;PL
posiada	يملك	posiadać	مَلَك	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
posiada	يمتلك	posiadać	اِمتَلَك	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
polskie	البولندية	polski	بُولَندِيّ	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
polskie	البولندي	polski	بُولَندِيّ	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
park	حديقة	park	حَدِيقَة	N;NOM;MASC;SG	N;NOM;INDF;SG
długość	طول	długość	طُول	N;NOM;FEM;SG	N;NOM;INDF;SG
długość	الطول	długość	طُول	N;NOM;FEM;SG	N;NOM;DEF;SG
członek	عضوة	członek	عُضوَة	N;NOM;MASC;SG	N;NOM;INDF;SG
członek	عضو	członek	عُضو	N;NOM;MASC;SG	N;NOM;INDF;SG
członek	العضو	członek	عُضو	N;NOM;MASC;SG	N;NOM;DEF;SG
stanowisko	موقف	stanowisko	مَوقِف	N;NOM;NEUT;SG	N;NOM;INDF;SG
stanowisko	المنصب	stanowisko	مَنصِب	N;NOM;NEUT;SG	N;NOM;DEF;SG
stanowisko	الموضع	stanowisko	مُوَضَّع	N;NOM;NEUT;SG	N;NOM;DEF;SG
stanowisko	الموقف	stanowisko	مَوقِف	N;NOM;NEUT;SG	N;NOM;DEF;SG
kluby	نوادي	klub	نوادي	N;NOM;MASC;PL	N;NOM;INDF;PL
kluby	اندية	klub	نَادِي	N;NOM;MASC;PL	N;NOM;INDF;PL
kluby	الاندية	klub	نَادِي	N;NOM;MASC;PL	N;NOM;DEF;PL
kluby	النوادي	klub	نَادِي	N;NOM;MASC;PL	N;NOM;DEF;PL
informacje	المعلومات	informacja	مَعلُومَة	N;NOM;FEM;PL	N;NOM;DEF;PL
informacje	معلومات	informacja	مَعلُومَة	N;NOM;FEM;PL	N;NOM;INDF;PL
informacje	المعلومات	informacja	مَعلُومَة	N;NOM;FEM;PL	N;NOM;DEF;PL
informacje	معلومات	informacja	مَعلُومَة	N;NOM;FEM;PL	N;NOM;INDF;PL
stan	الولاية	stan	وِلَايَة	N;NOM;MASC;SG	N;NOM;DEF;SG
stan	دولة	stan	دَولَة	N;NOM;MASC;SG	N;NOM;INDF;SG
stan	ولاية	stan	وِلَايَة	N;NOM;MASC;SG	N;NOM;INDF;SG
stan	الحالة	stan	حَالَة	N;NOM;MASC;SG	N;NOM;DEF;SG
stan	الدولة	stan	دَولَة	N;NOM;MASC;SG	N;NOM;DEF;SG
stan	حالة	stan	حَالَة	N;NOM;MASC;SG	N;NOM;INDF;SG
stan	شرط	stan	شَرط	N;NOM;MASC;SG	N;NOM;INDF;SG
stan	الحالة	stan	حَالَة	N;NOM;MASC;SG	N;NOM;DEF;SG
stan	الشرط	stan	شَرط	N;NOM;MASC;SG	N;NOM;DEF;SG
przeciwko	ضد	przeciwko	ضِدَّ	ADP	ADP;ACC
powierzchnia	السطح	powierzchnia	سَطح	N;NOM;FEM;SG	N;NOM;DEF;SG
powierzchnia	مساحة	powierzchnia	مِسَاحَة	N;NOM;FEM;SG	N;NOM;INDF;SG
powierzchnia	المساحة	powierzchnia	مِسَاحَة	N;NOM;FEM;SG	N;NOM;DEF;SG
powierzchnia	منطقة	powierzchnia	مِنطَقَة	N;NOM;FEM;SG	N;NOM;INDF;SG
powierzchnia	المنطقة	powierzchnia	مِنطَقَة	N;NOM;FEM;SG	N;NOM;DEF;SG
jedna	واحدة	jeden	وَاحِد	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
jedna	واحد	jeden	وَاحِد	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
wersja	النسخة	wersja	نُسخَة	N;NOM;FEM;SG	N;NOM;DEF;SG
wersja	اصدار	wersja	إِصدَار	N;NOM;FEM;SG	N;NOM;INDF;SG
wersja	الاصدار	wersja	إِصدَار	N;NOM;FEM;SG	N;NOM;DEF;SG
prawo	القانون	prawo	قَانُون	N;NOM;NEUT;SG	N;NOM;DEF;SG
prawo	قانون	prawo	قَانُون	N;NOM;NEUT;SG	N;NOM;INDF;SG
prawo	الحق	prawo	حَقّ	N;NOM;NEUT;SG	N;NOM;DEF;SG
prawo	حق	prawo	حَقّ	N;NOM;NEUT;SG	N;NOM;INDF;SG
źródła	مصادر	źródło	مَصدَر	N;NOM;NEUT;PL	N;NOM;INDF;PL
źródła	المصادر	źródło	مَصدَر	N;NOM;NEUT;PL	N;NOM;DEF;PL
okres	الفترة	okres	فَترَة	N;NOM;MASC;SG	N;NOM;DEF;SG
okres	فترة	okres	فَترَة	N;NOM;MASC;SG	N;NOM;INDF;SG
zachód	الغرب	zachód	غَرب	N;NOM;MASC;SG	N;NOM;DEF;SG
zachód	غرب	zachód	غَرب	N;NOM;MASC;SG	N;NOM;INDF;SG
wyniki	النتائج	wynik	نَتِيجَة	N;NOM;MASC;PL	N;NOM;DEF;PL
wyniki	نتائج	wynik	نَتِيجَة	N;NOM;MASC;PL	N;NOM;INDF;PL
jednostki	وحدات	jednostka	وَحدَة	N;NOM;FEM;PL	N;NOM;INDF;PL
jednostki	الوحدات	jednostka	وَحدَة	N;NOM;FEM;PL	N;NOM;DEF;PL
obszar	منطقة	obszar	مِنطَقَة	N;NOM;MASC;SG	N;NOM;INDF;SG
obszar	المنطقة	obszar	مِنطَقَة	N;NOM;MASC;SG	N;NOM;DEF;SG
obszar	مساحة	obszar	مِسَاحَة	N;NOM;MASC;SG	N;NOM;INDF;SG
obszar	المساحة	obszar	مِسَاحَة	N;NOM;MASC;SG	N;NOM;DEF;SG
obszar	منطقة	obszar	مِنطَقَة	N;NOM;MASC;SG	N;NOM;INDF;SG
obszar	المنطقة	obszar	مِنطَقَة	N;NOM;MASC;SG	N;NOM;DEF;SG
warunki	المصطلحات	warunki	مُصطَلَح	N;NOM;NEUT;PL	N;NOM;DEF;PL
warunki	الشروط	warunki	شَرط	N;NOM;NEUT;PL	N;NOM;DEF;PL
warunki	شروط	warunki	شَرط	N;NOM;NEUT;PL	N;NOM;INDF;PL
warunki	الاحوال	warunki	حَال	N;NOM;NEUT;PL	N;NOM;DEF;PL
