antropología	ανθρωπολογία	antropología	ανθρωπολογία	N;FEM;SG	N;NOM;FEM;SG
gold	χρυσά	gold	χρυσάς	N	N;NOM;NEUT;PL
procedimientos	διαδικασίες	procedimiento	διαδικασία	N;MASC;PL	N;NOM;FEM;PL
procedimientos	διαδικασίες	procedimiento	διαδικασία	N;MASC;PL	N;NOM;FEM;PL
dominante	δεσπόζουσα	dominante	δεσπόζων	ADJ;SG	ADJ;NOM;FEM;SG
chaco	τσάκο	chaco	τσάκο	N;MASC;SG	N
luchador	πυγμάχος	luchador	πυγμάχος	N;MASC;SG	N;NOM;MASC;SG
luchador	αγωνιστής	luchador	αγωνιστής	N;MASC;SG	N;NOM;MASC;SG
luchador	παλαιστής	luchador	παλαιστής	N;MASC;SG	N;NOM;MASC;SG
luchador	παλαιστή	luchador	παλιστής	N;MASC;SG	N;ACC;MASC;SG
ligera	ελαφριά	ligero	ελαφριά	ADJ;FEM;SG	ADJ;NOM;FEM;SG
ligera	ελαφριά	ligero	ελαφριά	ADJ;FEM;SG	ADJ;NOM;FEM;SG
facultades	σχολές	facultad	σχολή	N;FEM;PL	N;NOM;FEM;PL
tocando	παίζοντας	tocar	παίζω	V;V.MSDR	V;IPFV;V.CVB;ACT
tocando	παίζω	tocar	παίζω	V;V.MSDR	V;IPFV;IND;SG;1;PRS;FIN;ACT
tocando	παίζει	tocar	παίζω	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN;ACT
recuerdos	μνήμες	recuerdo	μνήμα	N;MASC;PL	N;NOM;FEM;PL
recuerdos	αναμνήσεις	recuerdo	ανάμνηση	N;MASC;PL	N;NOM;FEM;PL
recuerdos	σουβενίρ	recuerdo	σουβενίρ	N;MASC;PL	N;NOM;NEUT;PL
recuerdos	μνήμες	recuerdo	μνήμα	N;MASC;PL	N;NOM;FEM;PL
específicos	ειδικές	específico	ειδικός	ADJ;MASC;PL	ADJ;NOM;FEM;PL
falla	αποτυχία	fallar	αποτυχία	N;FEM;SG	N;ACC;FEM;SG
falla	αστοχία	fallar	αστοχία	N;FEM;SG	N;NOM;FEM;SG
falla	αποτυχία	fallar	αποτυχία	N;FEM;SG	N;ACC;FEM;SG
falla	ψεγάδι	fallar	ψεγάδι	N;FEM;SG	N;NOM;NEUT;SG
falla	ελάττωμα	fallar	ελάττωμα	N;FEM;SG	N;NOM;NEUT;SG
llano	απλό	llano	απλός	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
romper	σπάσε	romper	σπάω	V;NFIN	V;IPFV;IND;SG;1;PST;FIN;ACT
romper	σπάζοντας	romper	σπάζω	V;NFIN	V;IPFV;V.CVB;ACT
huerta	περιβόλι	huerta	περιβόλι	N;FEM;SG	N;NOM;NEUT;SG
septentrional	βόρειος	septentrional	βόρειος	ADJ;SG	ADJ;NOM;MASC;SG
septentrional	βόρειο	septentrional	βόρειο	ADJ;SG	ADJ;NOM;NEUT;SG
seguimiento	εντοπισμός	seguimiento	εντοπισμός	N;MASC;SG	N;NOM;MASC;SG
seguimiento	εντοπισμού	seguimiento	εντοπισμός	N;MASC;SG	N;GEN;MASC;SG
seguimiento	παρακολούθησης	seguimiento	παρακολούθηση	N;MASC;SG	N;GEN;FEM;SG
seguimiento	παρακολούθηση	seguimiento	παρακολούθηση	N;MASC;SG	N;ACC;FEM;SG
cerveza	μπύρα	cerveza	μπύρα	N;FEM;SG	N;NOM;FEM;SG
cerveza	μπίρα	cerveza	μπίρα	N;FEM;SG	N;NOM;FEM;SG
proyección	προβολή	proyección	προβολή	N;FEM;SG	N;NOM;FEM;SG
neerlandés	ντατς	neerlandés	ντατς	N;MASC;SG	N
compuestas	σύνθετα	compuesto	σύνθετος	ADJ;FEM;PL;V.PTCP	ADJ;NOM;NEUT;PL
maneras	τρόποι	manera	τρόπος	N;FEM;PL	N;NOM;MASC;PL
maneras	τρόπους	manera	τρόπος	N;FEM;PL	N;ACC;MASC;PL
tocó	συγκινημένος	tocar	συγκινημένος	V;IND;SG;3;PST;FIN	V;PFV;NOM;MASC;SG;V.PTCP;PASS
tocó	άγγιξε	tocar	αγγίζω	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
infierno	κόλαση	infierno	κόλαση	N;MASC;SG	N;ACC;FEM;SG
infierno	κόλαση	infierno	κόλαση	N;MASC;SG	N;ACC;FEM;SG
gastos	δαπάνες	gasto	δαπάνη	N;MASC;PL	N;NOM;FEM;PL
gastos	έξοδα	gasto	έξοδο	N;MASC;PL	N;NOM;NEUT;PL
africana	αφρικής	africano	αφρικός	ADJ;FEM;SG	ADJ;GEN;FEM;SG
africana	αφρικανική	africano	αφρικάνικος	ADJ;FEM;SG	ADJ;NOM;FEM;SG
depósito	κατάθεση	depósito	κατάθεση	N;MASC;SG	N;ACC;FEM;SG
depósito	προκαταβολή	depósito	προκαταβολή	N;MASC;SG	N;ACC;FEM;SG
avanzada	προηγμένη	avanzado	προηγμένος	ADJ;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG
avanzada	προηγμένο	avanzado	προηγμένος	ADJ;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG
emma	έμμα	emma	έμμα	N;FEM;SG	N;NOM;FEM;SG
emma	εμα	emma	εμα	N;FEM;SG	N
jornadas	ημέρες	jornada	ημέρα	N;FEM;PL	N;NOM;FEM;PL
jornadas	μέρες	jornada	μέρα	N;FEM;PL	N;NOM;FEM;PL
lobos	λύκους	lobo	λύκος	N;MASC;PL	N;ACC;MASC;PL
lobos	λύκοι	lobo	λύκος	N;MASC;PL	N;NOM;MASC;PL
realista	ρεαλιστής	realista	ρεαλιστής	ADJ;SG	ADJ;NOM;MASC;SG
realista	ρεαλιστική	realista	ρεαλιστικός	ADJ;SG	ADJ;NOM;FEM;SG
realista	ρεαλιστικό	realista	ρεαλιστικός	ADJ;SG	ADJ;NOM;NEUT;SG
definitivo	τελικός	definitivo	τελικός	ADJ;MASC;SG	ADJ;NOM;MASC;SG
definitivo	τελικό	definitivo	τελικός	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
definitivo	τελική	definitivo	τελικός	ADJ;MASC;SG	ADJ;NOM;FEM;SG
definitivo	οριστική	definitivo	οριστικός	ADJ;MASC;SG	ADJ;NOM;FEM;SG
definitivo	οριστικός	definitivo	οριστικός	ADJ;MASC;SG	ADJ;NOM;MASC;SG
definitivo	οριστικό	definitivo	οριστικός	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
recordar	θυμάσαι	recordar	θυμάμαι	V;NFIN	V;PFV;IND;SG;1;PST;FIN;ACT
recordar	θυμήσου	recordar	θύμησος	V;NFIN	V;PFV;IND;SG;1;PRS;FIN;ACT
recordar	θυμηθείτε	recordar	θυμώ	V;NFIN	V;PFV;IND;PL;2;FIN;PASS
comenzando	αρχίζοντας	comenzar	αρχίζω	V;V.MSDR	V;IPFV;V.CVB;ACT
comenzando	ξεκινώντας	comenzar	ξεκινώ	V;V.MSDR	V;IPFV;V.CVB;ACT
paraíso	παράδεισος	paraíso	παράδεισος	N;MASC;SG	N;NOM;MASC;SG
paraíso	παράδεισο	paraíso	παράδεισος	N;MASC;SG	N;ACC;MASC;SG
autora	συγγραφέας	autora	συγγραφέα	N;FEM;SG	N;NOM;MASC;SG
autora	συγγραφέα	autora	συγγραφέα	N;FEM;SG	N;VOC;MASC;SG
autora	συντάκτης	autora	συντάκτης	N;FEM;SG	N;NOM;MASC;SG
testimonio	μάρτυς	testimonio	μάρτυς	N;MASC;SG	N;NOM;MASC;SG
testimonio	μάρτυρας	testimonio	μάρτυρας	N;MASC;SG	N;NOM;MASC;SG
testimonio	μάρτυρα	testimonio	μάρτυρα	N;MASC;SG	N;ACC;MASC;SG
testimonio	μαρτυρία	testimonio	μαρτυρία	N;MASC;SG	N;NOM;FEM;SG
testimonio	κατάθεση	testimonio	κατάθεση	N;MASC;SG	N;ACC;FEM;SG
testimonio	μαρτυρία	testimonio	μαρτυρία	N;MASC;SG	N;NOM;FEM;SG
malta	βύνης	malta	βύνη	N;FEM;SG	N;GEN;FEM;SG
aerolíneas	αερογραμμές	aerolínea	αερογραμμή	N;FEM;PL	N;NOM;FEM;PL
positiva	θετικός	positivo	θετικός	ADJ;FEM;SG	ADJ;NOM;MASC;SG
positiva	θετικό	positivo	θετικός	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
positiva	θετική	positivo	θετικός	ADJ;FEM;SG	ADJ;NOM;FEM;SG
separa	χωρίζει	separar	χωρίζω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
polvo	σκόνη	polvo	σκόνη	N;MASC;SG	N;NOM;FEM;SG
polvo	σκόνη	polvo	σκόνη	N;MASC;SG	N;NOM;FEM;SG
balón	μπαλάκι	balón	μπαλάκι	N;MASC;SG	N;NOM;NEUT;SG
balón	μπάλα	balón	μπάλα	N;MASC;SG	N;NOM;FEM;SG
declara	κηρύξει	declarar	κηρύχνω	V;IND;SG;3;PRS;FIN	V;PFV;NFIN;ACT
declara	δηλώνει	declarar	δηλώνω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
alegría	χαρα	alegría	χαρα	N;FEM;SG	N;NOM;FEM;SG
alegría	χαρά	alegría	χαρά	N;FEM;SG	N;NOM;FEM;SG
alegría	κέφι	alegría	κέφι	N;FEM;SG	N;NOM;NEUT;SG
declaraciones	δηλώσεις	declaración	δήλωση	N;FEM;PL	N;NOM;FEM;PL
declaraciones	καταθέσεις	declaración	καταθέτω	N;FEM;PL	N;NOM;FEM;PL
declaraciones	δηλώσεις	declaración	δήλωση	N;FEM;PL	N;NOM;FEM;PL
reconoció	αναγνωρίστηκε	reconocer	αναγνωρίζω	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;PASS
reconoció	αναγνώρισε	reconocer	αναγνωρίζω	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
cronología	χρονολογία	cronología	χρονολογία	N;FEM;SG	N;NOM;FEM;SG
cronología	χρονολόγιο	cronología	χρονολόγιο	N;FEM;SG	N;NOM;NEUT;SG
cría	αναπαραγωγή	cría	αναπαραγωγή	N;FEM;SG	N;NOM;FEM;SG
cría	εκτροφή	cría	εκτροφή	N;FEM;SG	N;NOM;FEM;SG
ilustraciones	απεικονίσεις	ilustración	απεικόνιση	N;FEM;PL	N;NOM;FEM;PL
ilustraciones	εικονογραφήσεις	ilustración	εικονογράφηση	N;FEM;PL	N;NOM;FEM;PL
cross	σταυρός	cross	σταυρός	N	N;NOM;MASC;SG
cross	σταυρό	cross	σταυρό	N	N;NOM;NEUT;SG
ron	ρούμι	ron	ρούμι	N;MASC;SG	N;NOM;NEUT;SG
vital	ζωτική	vital	ζωτικός	ADJ;SG	ADJ;NOM;FEM;SG
vital	ζωτικό	vital	ζωτικός	ADJ;SG	ADJ;NOM;NEUT;SG
comenzado	ξεκίνησα	comenzar	ξεκινώ	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;ACT
comenzado	άρχισε	comenzar	αρχίζω	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
comenzado	ξεκίνησε	comenzar	ξεκινώ	V;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
varsovia	βαρσοβίας	varsovia	βαρσοβία	N;FEM;SG	N;GEN;FEM;SG
masacre	σφαγή	masacre	σφαγή	N;FEM;SG	N;ACC;FEM;SG
masacre	σφαγή	masacre	σφαγή	N;FEM;SG	N;ACC;FEM;SG
vinos	κρασιά	vino	κρασί	N;MASC;PL	N;NOM;NEUT;PL
vinos	κρασιά	vino	κρασί	N;MASC;PL	N;NOM;NEUT;PL
vinos	οίνοι	vino	οίνος	N;MASC;PL	N;NOM;MASC;PL
denuncia	έκθεση	denuncia	έκθεση	N;FEM;SG	N;ACC;FEM;SG
denuncia	εκθεση	denuncia	εκθεση	N;FEM;SG	N;ACC;FEM;SG
denuncia	αναφορα	denuncia	αναφορά	N;FEM;SG	N;ACC;FEM;SG
denuncia	αναφορά	denuncia	αναφορά	N;FEM;SG	N;NOM;FEM;SG
denuncia	παράπονο	denuncia	παράπονο	N;FEM;SG	N;NOM;NEUT;SG
denuncia	καταγγελία	denuncia	καταγγελία	N;FEM;SG	N;NOM;FEM;SG
decidir	αποφασίζοντας	decidir	αποφασίζω	V;NFIN	V;IPFV;V.CVB;ACT
decidir	αποφασίστε	decidir	αποφασίζω	V;NFIN	V;PFV;IMP;PL;2;FIN;ACT
decidir	αποφασίσει	decidir	αποφασίζω	V;NFIN	V;PFV;NFIN;ACT
decidir	αποφάσισε	decidir	αποφασίζω	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
frutas	καρποί	fruta	καρπός	N;FEM;PL	N;NOM;MASC;PL
frutas	φρούτα	fruta	φρούτα	N;FEM;PL	N;NOM;NEUT;PL
frutas	καρποί	fruta	καρπός	N;FEM;PL	N;NOM;MASC;PL
frutas	φρούτα	fruta	φρούτα	N;FEM;PL	N;NOM;NEUT;PL
periodos	περίοδοι	periodo	περίοδος	N;MASC;PL	N;NOM;FEM;PL
periodos	περιόδους	periodo	περίοδος	N;MASC;PL	N;NOM;FEM;PL
duquesa	δούκισσα	duquesa	δούκισσα	N;FEM;SG	N;NOM;FEM;SG
delito	κακούργημα	delito	κακούργημα	N;MASC;SG	N;NOM;NEUT;SG
delito	εγκλημα	delito	εγκλημα	N;MASC;SG	N;NOM;NEUT;SG
delito	έγκλημα	delito	έγκλημα	N;MASC;SG	N;NOM;NEUT;SG
delito	εγκληματικότητα	delito	εγκληματικότητα	N;MASC;SG	N;ACC;FEM;SG
delito	αδίκημα	delito	αδίκημα	N;MASC;SG	N;NOM;NEUT;SG
preocupación	ανησυχία	preocupación	ανησυχία	N;FEM;SG	N;NOM;FEM;SG
metales	μέταλλα	metal	μέταλλος	N;MASC;PL	N;NOM;NEUT;PL
metales	μέταλλα	metal	μέταλλος	N;MASC;PL	N;NOM;NEUT;PL
sufrir	υποφέρουν	sufrir	υποφέρω	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
sufrir	υποφέρω	sufrir	υποφέρω	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
golf	γκολφ	golf	γκολφ	N;MASC	N;NOM;NEUT;SG
creencias	πεποιθήσεις	creencia	πεποίθηση	N;FEM;PL	N;NOM;FEM;PL
stars	άστρα	star	άστρα	N	N;NOM;NEUT;PL
stars	αστέρια	star	αστέριος	N	N;NOM;NEUT;PL
stars	αστεράκια	star	αστεράκιο	N	N;NOM;NEUT;PL
reputación	φήμη	reputación	φήμη	N;FEM;SG	N;ACC;FEM;SG
reputación	υπόληψη	reputación	υπόληψη	N;FEM;SG	N;ACC;FEM;SG
party	πάρτυ	party	πάρτυ	N	N;NOM;NEUT;SG
party	κόμμα	party	κόμμα	N	N;NOM;NEUT;SG
party	πάρτι	party	πάρτι	N	N;NOM;NEUT;SG
conexiones	συνδέσεις	conexión	σύνδεση	N;FEM;PL	N;NOM;FEM;PL
conexiones	διασυνδέσεις	conexión	διασύνδεση	N;FEM;PL	N;NOM;FEM;PL
cumplimiento	συμμόρφωσης	cumplimiento	συμμόρφωση	N;MASC;SG	N;GEN;FEM;SG
cumplimiento	συμμόρφωση	cumplimiento	συμμόρφωση	N;MASC;SG	N;ACC;FEM;SG
cumplimiento	εκπλήρωση	cumplimiento	εκπλήρωση	N;MASC;SG	N;ACC;FEM;SG
quedarse	μένοντας	quedar	μένω	V;SBJV;SG;3;IPFV;FIN	V;IPFV;V.CVB;ACT
condujo	οδηγούσε	conducir	οδηγώ	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
australiana	αυστραλός	australiano	αυστραλός	ADJ;FEM;SG	ADJ;NOM;MASC;SG
ámsterdam	αμστερνταμ	ámsterdam	αμστέρνταμαι	N;MASC;SG	N
ilustración	φώτιση	ilustración	φώτιση	N;FEM;SG	N;ACC;FEM;SG
ilustración	διαφώτιση	ilustración	διαφώτιση	N;FEM;SG	N;ACC;FEM;SG
ilustración	απεικόνιση	ilustración	απεικόνιση	N;FEM;SG	N;NOM;FEM;SG
efectiva	αποτελεσματική	efectivo	αποτελεσματικός	ADJ;FEM;SG	ADJ;NOM;FEM;SG
efectiva	αποτελεσματικός	efectivo	αποτελεσματικός	ADJ;FEM;SG	ADJ;NOM;MASC;SG
efectiva	αποτελεσματικό	efectivo	αποτελεσματικός	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
llanura	σκέτο	llanura	σκέτο	N;FEM;SG	N;NOM;NEUT;SG
llanura	πεδιάδα	llanura	πεδιάδα	N;FEM;SG	N;NOM;FEM;SG
levantamiento	εξέγερση	levantamiento	εξέγερση	N;MASC;SG	N;NOM;FEM;SG
levantamiento	ανύψωση	levantamiento	ανύψωση	N;MASC;SG	N;ACC;FEM;SG
levantamiento	άρση	levantamiento	άρση	N;MASC;SG	N;ACC;FEM;SG
propaganda	προπαγάνδα	propaganda	προπαγάνδα	N;FEM;SG	N;NOM;FEM;SG
tributo	αφιέρωμα	tributo	αφιέρωμα	N;MASC;SG	N;ACC;NEUT;SG
placas	πλάκες	placa	πλάκη	N;FEM;PL	N;NOM;FEM;PL
placas	πινακίδες	placa	πινακίδα	N;FEM;PL	N;NOM;FEM;PL
placas	πιάτα	placa	πιάτα	N;FEM;PL	N;NOM;NEUT;PL
placas	σήματα	placa	σήμα	N;FEM;PL	N;NOM;NEUT;PL
culpa	ενοχή	culpa	ενοχή	N;FEM;SG	N;NOM;FEM;SG
causar	προκαλώντας	causar	προκαλώ	V;NFIN	V;IPFV;V.CVB;ACT
secreta	μυστικός	secreto	μυστικός	ADJ;FEM;SG	ADJ;NOM;MASC;SG
secreta	μυστική	secreto	μυστικός	ADJ;FEM;SG	ADJ;NOM;FEM;SG
comerciantes	εμπόρους	comerciante	έμπορος	N;PL	N;ACC;MASC;PL
comerciantes	έμποροι	comerciante	έμπορος	N;PL	N;NOM;MASC;PL
comerciantes	έμποροι	comerciante	έμπορος	N;PL	N;NOM;MASC;PL
comerciantes	εμπόρους	comerciante	έμπορος	N;PL	N;ACC;MASC;PL
comerciantes	έμποροι	comerciante	έμπορος	N;PL	N;NOM;MASC;PL
bank	τράπεζα	bank	τράπεζα	N	N;NOM;FEM;SG
meseta	οροπέδιο	meseta	οροπέδιο	N;FEM;SG	N;NOM;NEUT;SG
proporción	αναλογία	proporción	αναλογία	N;FEM;SG	N;ACC;FEM;SG
proporción	αναλογία	proporción	αναλογία	N;FEM;SG	N;ACC;FEM;SG
asociada	σχετιζόμενη	asociado	σχετιζόμενος	ADJ;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG
interfaz	διεπαφή	interfaz	διεπαφή	N;FEM;SG	N;NOM;FEM;SG
interfaz	διασύνδεση	interfaz	διασύνδεση	N;FEM;SG	N;ACC;FEM;SG
correa	λουρί	correa	λουρί	N;FEM;SG	N;NOM;NEUT;SG
correa	λουρί	correa	λουρί	N;FEM;SG	N;NOM;NEUT;SG
correa	ιμάντα	correa	ιμάντα	N;FEM;SG	N;NOM;NEUT;SG
correa	λουράκι	correa	λουράκι	N;FEM;SG	N;NOM;NEUT;SG
correa	ιμάντας	correa	ιμάντας	N;FEM;SG	N;NOM;MASC;SG
colaborar	συνεργαστείτε	colaborar	συνεργάζομαι	V;NFIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
arquidiócesis	αρχιεπισκοπή	arquidiócesis	αρχιεπισκοπή	N;FEM	N;NOM;FEM;SG
episcopal	επισκοπική	episcopal	επισκοπικός	ADJ;SG	ADJ;NOM;FEM;SG
secretaria	γραμματέας	secretaria	γραμματέας	N;FEM;SG	N;NOM;MASC;SG
secretaria	γραμματέα	secretaria	γραμματέας	N;FEM;SG	N;ACC;MASC;SG
circuitos	κυκλώματα	circuito	κύκλωμα	N;MASC;PL	N;NOM;NEUT;PL
circuitos	κυκλωμάτων	circuito	κύκλωμα	N;MASC;PL	N;GEN;NEUT;PL
distribuye	διανέμει	distribuir	διανέμω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
distribuye	κατανέμεται	distribuir	κατανέμω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
minería	εξόρυξης	minería	εξόρυξη	N;FEM;SG	N;GEN;FEM;SG
minería	εξόρυξη	minería	εξόρυξη	N;FEM;SG	N;NOM;FEM;SG
corteza	φλοιού	corteza	φλοιού	N;FEM;SG	N;GEN;NEUT;SG
corteza	φλοιός	corteza	φλοιός	N;FEM;SG	N;NOM;MASC;SG
corteza	φλοιό	corteza	φλοιός	N;FEM;SG	N;NOM;NEUT;SG
corteza	κρούστα	corteza	κρούστα	N;FEM;SG	N;NOM;FEM;SG
corteza	φλοιός	corteza	φλοιός	N;FEM;SG	N;NOM;MASC;SG
corteza	φλοιό	corteza	φλοιός	N;FEM;SG	N;NOM;NEUT;SG
verso	στίχος	verso	στίχος	N;MASC;SG	N;NOM;MASC;SG
verso	στίχο	verso	στίχος	N;MASC;SG	N;ACC;NEUT;SG
anónimo	ανώνυμη	anónimo	ανώνυμη	ADJ;MASC;SG	ADJ;NOM;FEM;SG
encargo	τάξη	encargo	τάξη	N;MASC;SG	N;NOM;FEM;SG
encargo	παραγγελία	encargo	παραγγελία	N;MASC;SG	N;NOM;FEM;SG
encargo	σειρά	encargo	σειρά	N;MASC;SG	N;ACC;FEM;SG
encargo	διαταγή	encargo	διαταγή	N;MASC;SG	N;ACC;FEM;SG
sensación	συναίσθημα	sensación	συναίσθημα	N;FEM;SG	N;NOM;NEUT;SG
sensación	αίσθηση	sensación	αίσθηση	N;FEM;SG	N;ACC;FEM;SG
sensación	αίσθημα	sensación	αίσθημα	N;FEM;SG	N;NOM;NEUT;SG
sensación	αίσθηση	sensación	αίσθηση	N;FEM;SG	N;ACC;FEM;SG
afluentes	παραπόταμοι	afluente	παράποταμος	N;PL	N;NOM;MASC;PL
suave	λείο	suave	λείο	ADJ;SG	ADJ;NOM;NEUT;SG
suave	ομαλή	suave	ομαλός	ADJ;SG	ADJ;NOM;FEM;SG
suave	μαλακός	suave	μαλακός	ADJ;SG	ADJ;NOM;MASC;SG
suave	μαλακό	suave	μαλακός	ADJ;SG	ADJ;NOM;NEUT;SG
suave	ήπια	suave	ήπιος	ADJ;SG	ADJ;NOM;FEM;SG
suave	ήπιο	suave	ήπιος	ADJ;SG	ADJ;NOM;NEUT;SG
suave	ευγενική	suave	ευγενικός	ADJ;SG	ADJ;NOM;FEM;SG
suave	ευγενικός	suave	ευγενικός	ADJ;SG	ADJ;NOM;MASC;SG
constantes	σταθερές	constante	σταθερός	ADJ;PL	ADJ;NOM;FEM;PL
viaja	ταξιδεύει	viajar	ταξιδεύω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
cbs	κτ	cbs	κτ	N;FEM;SG	N
jamaica	τζαμαϊκανή	jamaica	τζαμαϊκανός	N;FEM;SG	N;NOM;FEM;SG
sencilla	απλός	sencillo	απλός	ADJ;FEM;SG	ADJ;NOM;MASC;SG
sencilla	απλή	sencillo	απλός	ADJ;FEM;SG	ADJ;NOM;FEM;SG
sencilla	απλό	sencillo	απλός	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
sencilla	εύκολη	sencillo	εύκολος	ADJ;FEM;SG	ADJ;NOM;FEM;SG
