ve	oraz	ve	oraz	CONJ	CONJ
son	end	son	end		
dünya	world	dünya	world		
dünya	earth	dünya	earth		
abd	ameryka	abd	ameryka		
bulunan	położony	bulun	położyć		
eski	stare	eski	stary		
eski	old	eski	old		
eski	stara	eski	stary		
önemli	wazne	önemli	wazny		
önemli	znaczące	önemli	znaczący		
önemli	znacząca	önemli	znaczącać		
önemli	znaczący	önemli	znaczący		
madde	substancja	madde	substancja	N;NOM;SG;3	N;NOM;FEM;SG
madde	klauzula	madde	klauzula	N;NOM;SG;3	N;NOM;FEM;SG
madde	surowiec	madde	surowiec	N;NOM;SG;3	N;NOM;MASC;SG
madde	tworzywo	madde	tworzywo	N;NOM;SG;3	N;NOM;NEUT;SG
madde	materiał	madde	materiał	N;NOM;SG;3	N;NOM;MASC;SG
madde	materia	madde	materia	N;NOM;SG;3	N;NOM;FEM;SG
madde	artykuł	madde	artykuł	N;NOM;SG;3	N;NOM;MASC;SG
sağlık	zdrowie	sağlık	zdrowie	N;NOM;SG;3	N;NOM;NEUT;SG
genel	ogólny	genel	ogólny	ADJ	ADJ;NOM;MASC;SG
genel	ogólna	genel	ogólny	ADJ	ADJ;NOM;FEM;SG
genel	ogólne	genel	ogólny	ADJ	ADJ;NOM;NEUT;SG
genel	ogólnej	genel	ogólny	ADJ	ADJ;GEN;FEM;SG
genel	ogólny	genel	ogólny	ADJ	ADJ;NOM;MASC;SG
genel	ogólna	genel	ogólny	ADJ	ADJ;NOM;FEM;SG
genel	ogólne	genel	ogólny	ADJ	ADJ;NOM;NEUT;SG
mart	marzec	mart	marzec		
mart	marca	mart	marza		
adı	nazwisko	ad	nazwisko	N;NOM;SG;3	N;NOM;NEUT;SG
adı	imię	ad	imię	N;NOM;SG;3	N;NOM;NEUT;SG
adı	nazwa	ad	nazwa	N;NOM;SG;3	N;NOM;FEM;SG
haziran	june	haziran	juny		
haziran	czerwiec	haziran	czerwiec		
mayıs	maja	mayıs	mieć		
mayıs	maj	mayıs	maj		
ocak	styczeń	ocak	styczenie		
dan	dan	dan	dana		
kasım	listopad	kasım	listopad		
kasım	listopad	kasım	listopad		
avrupa	europa	avrupa	europa		
avrupa	european	avrupa	european		
ama	ale	ama	ale	CONJ	CONJ
karşı	przeciw	karşı	przeciw		
toplam	sum	toplam	suma		
toplam	sumy	toplam	suma		
jpg	jpg	jpg	jeść		
ikinci	druga	ikinci	drugi	ADJ	ADJ;NOM;FEM;SG
ikinci	drugi	ikinci	drugi	ADJ	ADJ;NOM;MASC;SG
ikinci	drugie	ikinci	drugi	ADJ	ADJ;NOM;NEUT;SG
eylül	wrzesień	eylül	wrzesień		
eylül	września	eylül	wrzesień		
ağustos	augusta	ağustos	augusta		
ağustos	sierpień	ağustos	sierpienie		
temmuz	lipca	temmuz	lipiec		
temmuz	lipiec	temmuz	lipiec		
den	den	None	den		
nisan	kwietnia	nisan	kwiecia		
nisan	april	nisan	april		
üniversitesi	uczelnia	üniversitesi	uczelniać	N;NOM;SG;3	N;NOM;FEM;SG
üniversitesi	uniwersytet	üniversitesi	uniwersytet	N;NOM;SG;3	N;NOM;MASC;SG
şehir	town	şehir	town		
şehir	city	şehir	city		
şehir	urban	şehir	urbany		
ptt	ptt	ptt	pten		
zaman	czas	zaman	czas	N;NOM;SG;3	N;NOM;MASC;SG
bazı	niektóre	bazı	niektóry	DET	DET;NOM;MASC;SG
bazı	niektórzy	bazı	niektóry	DET	DET;NOM;MASC;PL
aralık	grudzień	aralık	grudzienie	N;NOM;SG;3	N;NOM;MASC;SG
aralık	grudzień	aralık	grudzienie	N;NOM;SG;3	N;NOM;MASC;SG
aralık	odstęp	aralık	odstęp	N;NOM;SG;3	N;NOM;MASC;SG
aralık	przedział	aralık	przedział	N;NOM;SG;3	N;NOM;MASC;SG
yüksek	wyższe	yüksek	wysoki	ADJ	ADJ;NOM;CMPR;NEUT;SG
yüksek	wyższy	yüksek	wysoki	ADJ	ADJ;NOM;CMPR;MASC;SG
yüksek	wyższa	yüksek	wysoki	ADJ	ADJ;NOM;CMPR;FEM;SG
birçok	wielu	birçok	wiele	DET	DET;ACC;MASC;PL
birçok	wiele	birçok	wiele	DET	DET;ACC;MASC;PL
şubat	luty	şubat	luty		
şubat	lutego	şubat	luty		
şubat	luty	şubat	luty		
şubat	lutego	şubat	luty		
yol	way	yol	wy		
yol	drogi	yol	droga		
yol	road	yol	road		
grup	band	grup	band		
takım	team	takım	team		
tek	singles	tek	singles		
tek	single	tek	singło		
tek	jedynki	tek	jedynki		
tek	single	tek	singło		
bilgi	informacja	bilgi	informacja	N;NOM;SG;3	N;NOM;FEM;SG
bilgi	informacja	bilgi	informacja	N;NOM;SG;3	N;NOM;FEM;SG
bilgi	wiedza	bilgi	wiedza	N;NOM;SG;3	N;NOM;FEM;SG
bilgi	znajomość	bilgi	znajomość	N;NOM;SG;3	N;NOM;FEM;SG
devlet	stan	devlet	stan	N;NOM;SG;3	N;NOM;MASC;SG
devlet	państwo	devlet	państwo	N;NOM;SG;3	N;NOM;NEUT;SG
devlet	rząd	devlet	rząd	N;NOM;SG;3	N;NOM;MASC;SG
colspan	colspan	colspan	colspać		
üç	trzy	üç	trzy	NUM	NUM;ACC;MASC;PL
tarihi	data	tarih	datać		
başladı	zaczął	başla	zacząć	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
küçük	mały	küçük	mały	ADJ	ADJ;NOM;MASC;SG
küçük	niewielkie	küçük	niewielki	ADJ	ADJ;NOM;NEUT;SG
küçük	mały	küçük	mały	ADJ	ADJ;NOM;MASC;SG
müzik	music	müzik	musieć		
müzik	muzyki	müzik	muzyka		
kabul	zgoda	kabul	zgoda	N;NOM;SG;3	N;NOM;FEM;SG
kabul	akceptacja	kabul	akceptacja	N;NOM;SG;3	N;NOM;FEM;SG
kabul	przyjęcia	kabul	przyjęcie	N;NOM;SG;3	N;NOM;NEUT;SG
kupası	kubek	kupa	kubek	N;NOM;SG;3	N;NOM;MASC;SG
kupası	kielich	kupa	kielich	N;NOM;SG;3	N;NOM;MASC;SG
okulu	szkoła	okul	szkoła	N;NOM;SG;3	N;NOM;FEM;SG
aldı	zabrał	al	zabrać	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
aldı	wzięła	al	wziąć	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN;ACT
aldı	wziął	al	wziąć	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN;ACT
aldı	otrzymała	al	otrzymać	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN;ACT
sahip	sahib	sahip	sahib		
farklı	inna	farklı	inny	ADJ	ADJ;NOM;FEM;SG
farklı	różne	farklı	różny	ADJ	ADJ;NOM;NEUT;SG
farklı	inny	farklı	inny	ADJ	ADJ;NOM;MASC;SG
farklı	różnych	farklı	różny	ADJ	ADJ;GEN;MASC;PL
futbol	football	futbol	football		
futbol	futbol	futbol	futbol		
doğru	true	doğru	true		
on	dziesięć	on	dziesięć		
özel	ekskluzywne	özel	ekskluzywny	ADJ	ADJ;NOM;NEUT;SG
özel	ekskluzywny	özel	ekskluzywny	ADJ	ADJ;NOM;MASC;SG
özel	wyłączne	özel	wyłączny	ADJ	ADJ;NOM;NEUT;SG
özel	prywatne	özel	prywatny	ADJ	ADJ;NOM;NEUT;SG
özel	szeregowy	özel	szeregowy	ADJ	ADJ;NOM;MASC;SG
özel	prywatna	özel	prywatny	ADJ	ADJ;NOM;FEM;SG
özel	prywatny	özel	prywatny	ADJ	ADJ;NOM;MASC;SG
özel	specjalna	özel	specjalny	ADJ	ADJ;NOM;FEM;SG
özel	specjalny	özel	specjalny	ADJ	ADJ;NOM;MASC;SG
özel	specjalne	özel	specjalny	ADJ	ADJ;NOM;NEUT;SG
özel	wyjątkowy	özel	wyjątkowy	ADJ	ADJ;NOM;MASC;SG
özel	szczególne	özel	szczególny	ADJ	ADJ;NOM;NEUT;SG
özel	niestandardowych	özel	niestandardowy	ADJ	ADJ;GEN;MASC;PL
özel	niestandardowe	özel	upandardowy	ADJ	ADJ;NOM;NEUT;SG
özel	własny	özel	własny	ADJ	ADJ;NOM;MASC;SG
biri	ktoś	biri	ktoś	PRO;NOM;SG;3	PRO;NOM;MASC;SG
biri	ktoś	biri	ktoś	PRO;NOM;SG;3	PRO;NOM;MASC;SG
alanı	dziedzina	alan	dziedzina	N;NOM;SG;3	N;NOM;FEM;SG
alanı	pole	alan	pole	N;NOM;SG;3	N;NOM;NEUT;SG
alanı	boisko	alan	boisko	N;NOM;SG;3	N;NOM;NEUT;SG
alanı	teren	alan	teren	N;NOM;SG;3	N;NOM;MASC;SG
alanı	powierzchnia	alan	powierzchnia	N;NOM;SG;3	N;NOM;FEM;SG
alanı	obszar	alan	obszar	N;NOM;SG;3	N;NOM;MASC;SG
vikipedi	wikipedia	vikip	wikipediać		
uzun	rozszerzone	uzun	rozszerzyć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
uzun	rozszerzona	uzun	rozszerzyć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
uzun	rozszerzony	uzun	rozszerzyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
uzun	przedłużony	uzun	przedłużyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
uzun	wyższa	uzun	wysoki	ADJ	ADJ;NOM;CMPR;FEM;SG
uzun	wyższy	uzun	wysoki	ADJ	ADJ;NOM;CMPR;MASC;SG
uzun	długa	uzun	długi	ADJ	ADJ;NOM;FEM;SG
uzun	długie	uzun	długi	ADJ	ADJ;NOM;NEUT;SG
şarkı	pieśni	şarkı	pieśń		
şarkı	pieśń	şarkı	pieśń		
şarkı	song	şarkı	song		
lig	league	lig	leagu		
orta	średnio	orta	średnio		
orta	średnie	orta	średnie		
orta	center	orta	center		
orta	centre	orta	centry		
oyuncu	player	oyuncu	player		
geri	wstecz	geri	wstecz		
geri	back	geri	back		
geri	wstecz	geri	wstecz		
geri	powrót	geri	powrót		
geri	wstecz	geri	wstecz		
mesaj	text	mesaj	text		
elektrik	elektryczność	elektrik	elektryczność	N;NOM;SG;3	N;NOM;FEM;SG
merkezi	centrum	merkez	centrum	N;ACC;SG;3	N;ACC;NEUT;SG
merkezi	centrum	merkez	centrum	N;ACC;SG;3	N;ACC;NEUT;SG
kısa	krótki	kısa	krótki	ADJ	ADJ;NOM;MASC;SG
kısa	krótkie	kısa	krótki	ADJ	ADJ;NOM;NEUT;SG
kısa	krótka	kısa	krótki	ADJ	ADJ;NOM;FEM;SG
kısa	krótkie	kısa	krótki	ADJ	ADJ;NOM;NEUT;SG
kısa	krótki	kısa	krótki	ADJ	ADJ;NOM;MASC;SG
kısa	krótka	kısa	krótki	ADJ	ADJ;NOM;FEM;SG
kişi	osoba	kişi	osoba	N;NOM;SG;3	N;NOM;FEM;SG
kuzey	north	kuzey	north		
kuzey	północna	kuzey	północny		
çeşitli	rozmaite	çeşitli	rozmaity		
team	team	team	team		
amerika	ameryka	amerik	ameryka		
amerika	ameryka	amerik	ameryka		
el	dłoń	el	dłoń	N;NOM;SG;3	N;NOM;FEM;SG
gol	jezioro	gol	jezioro	N;NOM;SG;3	N;NOM;NEUT;SG
gol	bramka	gol	bramka	N;NOM;SG;3	N;NOM;FEM;SG
gol	gol	gol	gol	N;NOM;SG;3	N;NOM;MASC;SG
gol	cel	gol	cel	N;NOM;SG;3	N;NOM;MASC;SG
ana	główna	ana	główna		
ana	main	ana	main		
birleşik	united	birleşik	united		
ödülü	nagrodę	ödül	nagroda	N;ACC;SG;3	N;ACC;FEM;SG
ödülü	nagrodę	ödül	nagroda	N;ACC;SG;3	N;ACC;FEM;SG
ödülü	nagrodę	ödül	nagroda	N;ACC;SG;3	N;ACC;FEM;SG
gün	dzień	gün	dzień	N;NOM;SG;3	N;NOM;MASC;SG
geçen	mijania	geç	mijanie		
doğu	orient	doğu	orient		
süre	czas	süre	czas	N;NOM;SG;3	N;NOM;MASC;SG
eğitim	kształcenie	eğitim	kształcenie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	szkolenia	eğitim	szkolić	N;NOM;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
eğitim	trening	eğitim	trening	N;NOM;SG;3	N;NOM;MASC;SG
eğitim	szkolenie	eğitim	szkolenie	N;NOM;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
eğitim	kształcenie	eğitim	kształcenie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	wykształcenie	eğitim	wykształcenie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	edukacja	eğitim	edukacja	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	wykształcenie	eğitim	wykształcenie	N;NOM;SG;3	N;NOM;NEUT;SG
eğitim	edukacja	eğitim	edukacja	N;NOM;SG;3	N;NOM;FEM;SG
eğitim	tutorial	eğitim	tutorial	N;NOM;SG;3	N;NOM;MASC;SG
az	mało	az	mało	ADV	ADV
az	mniej	az	mało	ADV	ADV;CMPR
paşa	pasza	paşa	pasz		
ligi	league	ligi	leagu		
görev	obowiązek	görev	obowiązek	N;NOM;SG;3	N;NOM;MASC;SG
görev	zadanie	görev	zadanie	N;NOM;SG;3	N;NOM;NEUT;SG
görev	zadanie	görev	zadanie	N;NOM;SG;3	N;NOM;NEUT;SG
görev	misja	görev	misja	N;NOM;SG;3	N;NOM;FEM;SG
halk	public	halk	publica		
halk	people	halk	peopło		
tv	tv	tv	TV		
onun	jego	o	on	PRO;GEN;SG;3	PRO;GEN;MASC;SG;3
onun	jej	o	on	PRO;GEN;SG;3	PRO;GEN;FEM;SG;3
yine	ponownie	yine	ponownie	ADV	ADV
yine	znowu	yine	znowu	ADV	ADV
ekonomisi	gospodarka	ekonomi	gospodarka	N;NOM;SG;3	N;NOM;FEM;SG
ekonomisi	ekonomia	ekonomi	ekonomia	N;NOM;SG;3	N;NOM;FEM;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;MASC;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;MASC;SG
yeniden	ponownie	yeniden	ponownie	ADV	ADV
yeniden	znowu	yeniden	znowu	ADV	ADV
içme	piła	iç	pić		
john	johna	john	johny		
john	jana	john	jani		
albüm	albumu	albüm	album		
ingiliz	brit	ingiliz	brit		
puan	pkt	pu	punkt		
puan	point	pu	point		
puan	rating	pu	rating		
batı	zachodnia	batı	zachodni		
batı	west	batı	wysta		
batı	zachodnia	batı	zachodni		
batı	western	batı	western		
tür	typ	tür	typ		
amerikan	american	amerikan	american		
savaş	walka	savaş	walka	N;NOM;SG;3	N;NOM;FEM;SG
savaş	wojna	savaş	wojna	N;NOM;SG;3	N;NOM;FEM;SG
savaş	zwalczanie	savaş	zwalczać	N;NOM;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
savaş	walka	savaş	walka	N;NOM;SG;3	N;NOM;FEM;SG
anadolu	anadolu	anadolu	anadól		
anadolu	azja	anadolu	azja		
bgcolor	bgcolor	bgcolor	bgcolor		
https	https	https	https		
kadın	kobiet	kadın	kobieta		
wikipedia	wikipedia	wikipe	wikipediać		
kullanıcı	użytkownik	kullanıcı	użytkownik	N;NOM;SG;3	N;NOM;MASC;SG
tam	full	tam	full		
tam	pełne	tam	pełny		
birliği	związek	birlik	związek	N;NOM;SG;3	N;NOM;MASC;SG
maç	mecz	maç	mecz	N;NOM;SG;3	N;NOM;MASC;SG
maç	mecz	maç	mecz	N;NOM;SG;3	N;NOM;MASC;SG
maç	dopasowanie	maç	dopasować	N;NOM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
http	http	http	http		
at	horse	at	horse		
yazar	autora	yazar	autor		
sıra	rząd	sıra	rząd	N;NOM;SG;3	N;NOM;MASC;SG
sıra	wiersz	sıra	wiersz	N;NOM;SG;3	N;NOM;MASC;SG
teknik	techniczne	teknik	techniczny	ADJ	ADJ;NOM;NEUT;SG
teknik	techniczny	teknik	techniczny	ADJ	ADJ;NOM;MASC;SG
teknik	techniczna	teknik	techniczny	ADJ	ADJ;NOM;FEM;SG
deniz	marine	deniz	mariny		
deniz	deniz	deniz	deniz		
uygun	wygodna	uygun	wygodny	ADJ	ADJ;NOM;FEM;SG
uygun	wygodne	uygun	wygodny	ADJ	ADJ;NOM;NEUT;SG
uygun	wygodny	uygun	wygodny	ADJ	ADJ;NOM;MASC;SG
uygun	odpowiednia	uygun	odpowiedni	ADJ	ADJ;NOM;FEM;SG
uygun	odpowiedni	uygun	odpowiedni	ADJ	ADJ;NOM;MASC;SG
uygun	stosowne	uygun	stosowny	ADJ	ADJ;NOM;NEUT;SG
uygun	właściwe	uygun	właściwy	ADJ	ADJ;NOM;NEUT;SG
uygun	odpowiednia	uygun	odpowiedni	ADJ	ADJ;NOM;FEM;SG
uygun	odpowiedni	uygun	odpowiedni	ADJ	ADJ;NOM;MASC;SG
bütün	cały	bütün	cały	ADJ	ADJ;NOM;MASC;SG
bütün	cała	bütün	cały	ADJ	ADJ;NOM;FEM;SG
yakın	blisko	yakın	blisko		
yakın	niedaleko	yakın	niedaleko		
yakın	blisko	yakın	blisko		
yakın	niedaleko	yakın	niedaleko		
listesi	wykaz	liste	wykaz	N;NOM;SG;3	N;NOM;MASC;SG
listesi	lista	liste	list	N;NOM;SG;3	N;NOM;FEM;SG
listesi	spis	liste	spis	N;NOM;SG;3	N;NOM;MASC;SG
dört	czterech	dört	cztery	NUM	NUM;ACC;MASC;PL
dört	cztery	dört	cztery	NUM	NUM;ACC;MASC;PL
iç	wnętrz	iç	wnętrz		
club	club	club	club		
from	from	from	from		
alt	dolna	alt	dolny		
alt	sub	alt	sub		
alt	dno	alt	dno		
alt	dnie	alt	dzień		
alt	dolna	alt	dolny		
alt	beat	alt	beat		
alt	alt	alt	alt		
fransız	french	fransız	fren		
belediye	gmina	beledi	gmina		
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;MASC;SG
stadyumu	stadium	stadyum	stadium	N;NOM;SG;3	N;NOM;NEUT;SG
genellikle	przeważnie	genellikle	przeważnie		
genellikle	zazwyczaj	genellikle	zazwyczaj		
genellikle	zwykle	genellikle	zwykle		
genellikle	przeważnie	genellikle	przeważnie		
genellikle	zazwyczaj	genellikle	zazwyczaj		
genellikle	zwykle	genellikle	zwykle		
genellikle	typowo	genellikle	typowo		
space	kosmos	space	kosmos		
com	com	com	com		
com	kom	com	kom		
bar	bar	bar	bar	N;NOM;SG;3	N;NOM;MASC;SG
parti	imprezy	parti	impreza		
erkek	men	erkek	men		
erkek	męska	erkek	męski		
erkek	man	erkek	mana		
beyaz	biel	beyaz	biel		
beyaz	white	beyaz	whita		
beyaz	biały	beyaz	biały		
bölge	powiat	bölge	powiat		
bölge	zone	bölge	zon		
onu	go	o	on	PRO;ACC;SG;3	PRO;ACC;MASC;SG;3
onu	ją	o	on	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
hava	air	hava	air		
birkaç	kilka	birkaç	kilka	DET	DET;ACC;MASC;PL
birkaç	kilkanaście	birkaç	kilkanaście	DET	DET;ACC;MASC;PL
birkaç	kilka	birkaç	kilka	DET	DET;ACC;MASC;PL
birkaç	kilku	birkaç	kilka	DET	DET;ACC;MASC;PL
açık	otwarte	açık	otworzyć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
açık	otwarty	açık	otworzyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
insan	osoba	insan	osoba	N;NOM;SG;3	N;NOM;FEM;SG
insan	mężczyzna	insan	mężczyzna	N;NOM;SG;3	N;NOM;MASC;SG
insan	człowiek	insan	człowiek	N;NOM;SG;3	N;NOM;MASC;SG
insan	człowiek	insan	człowiek	N;NOM;SG;3	N;NOM;MASC;SG
merkez	central	merkez	centrala		
merkez	center	merkez	center		
merkez	centre	merkez	centry		
düşük	niska	düşük	niska		
düşük	low	düşük	low		
altın	złote	altın	złoty		
altın	golden	altın	golden		
altın	złoty	altın	złoty		
altın	złota	altın	złoty		
altın	złota	altın	złoty		
altın	złoto	altın	złoto		
altın	gold	altın	gold		
altın	złoty	altın	złoty		
bin	bin	bin	bin		
bin	tysiąc	bin	tysiąc		
bin	tys	bin	tys		
genç	teen	genç	teen		
genç	young	genç	young		
genç	młodzieży	genç	młodzież		
kır	break	kır	break		
kır	przerwa	kır	przerwa		
nowrap	nowrap	nowrap	nowrap		
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;MASC;SG
stadyum	stadium	stadyum	stadium	N;NOM;SG;3	N;NOM;NEUT;SG
an	moment	an	moment	N;NOM;SG;3	N;NOM;MASC;SG
an	chwila	an	chwila	N;NOM;SG;3	N;NOM;FEM;SG
iş	zlecenie	iş	zlecenie	N;NOM;SG;3	N;NOM;NEUT;SG
iş	praca	iş	praca	N;NOM;SG;3	N;NOM;FEM;SG
iş	praca	iş	praca	N;NOM;SG;3	N;NOM;FEM;SG
iş	biznes	iş	biznes	N;NOM;SG;3	N;NOM;MASC;SG
iş	interes	iş	interes	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	dział	bölüm	dziać	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	sekcja	bölüm	sekcja	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	wydział	bölüm	wydział	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	departament	bölüm	departament	N;NOM;SG;3	N;NOM;MASC;SG
bölümü	dział	bölüm	dziać	N;NOM;SG;3	N;NOM;MASC;SG
ili	gubernia	ili	gubernia		
sanat	sztuki	sanat	sztuka		
sanat	arts	sanat	arts		
sanat	sztuki	sanat	sztuka		
sanat	art	sanat	art		
üçüncü	trzecie	üçüncü	trzeci		
sonraki	następna	sonraki	następny		
güzel	piękne	güzel	piękny	ADJ	ADJ;NOM;NEUT;SG
güzel	piękna	güzel	piękny	ADJ	ADJ;NOM;FEM;SG
güzel	śliczna	güzel	śliczny	ADJ	ADJ;NOM;FEM;SG
güzel	fajny	güzel	fajny	ADJ	ADJ;NOM;MASC;SG
güzel	fajna	güzel	fajny	ADJ	ADJ;NOM;FEM;SG
güzel	fajne	güzel	fajny	ADJ	ADJ;NOM;NEUT;SG
güzel	ładne	güzel	ładny	ADJ	ADJ;NOM;NEUT;SG
güzel	ładny	güzel	ładny	ADJ	ADJ;NOM;MASC;SG
güzel	śliczna	güzel	śliczny	ADJ	ADJ;NOM;FEM;SG
güzel	ładna	güzel	ładny	ADJ	ADJ;NOM;FEM;SG
güzel	ładne	güzel	ładny	ADJ	ADJ;NOM;NEUT;SG
güzel	śliczna	güzel	śliczny	ADJ	ADJ;NOM;FEM;SG
güzel	śliczne	güzel	śliczny	ADJ	ADJ;NOM;NEUT;SG
web	web	web	web		
çocuk	chłopak	çocuk	chłopak	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	chłopiec	çocuk	chłopiec	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	dzieciak	çocuk	dzieciak	N;NOM;SG;3	N;NOM;MASC;SG
çocuk	dziecko	çocuk	dziecko	N;NOM;SG;3	N;NOM;NEUT;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;NOM;NEUT;SG
üst	upper	üst	upper		
üst	górny	üst	górny		
üst	top	üst	top		
üst	góra	üst	góra		
kara	karo	kara	karo		
kara	black	kara	black		
kara	czerń	kara	czerń		
kara	land	kara	land		
oyun	game	oyun	gam		
oyun	gry	oyun	gra		
oyun	gier	oyun	gier		
oyun	gry	oyun	gra		
oyun	play	oyun	pla		
milyon	milion	milyon	milion		
milyon	mln	milyon	mlna		
milyon	miliony	milyon	miliony		
milyon	miliony	milyon	miliony		
top	top	top	top		
top	góra	top	góra		
top	ball	top	ball		
top	kula	top	kula		
hakem	ref	hakem	ref		
ay	miesiąc	ay	miesiąc	N;NOM;SG;3	N;NOM;MASC;SG
ay	miesiące	ay	miesiąc	N;NOM;SG;3	N;NOM;MASC;SG
ay	księżyc	ay	księżyc	N;NOM;SG;3	N;NOM;MASC;SG
internet	sieć	internet	sieć	N;NOM;SG;3	N;NOM;FEM;SG
internet	internet	internet	internet	N;NOM;SG;3	N;NOM;MASC;SG
