dorme	sueño	dorme	sueño	N	N;MASC;SG
berres	don	berre	don	N	N;MASC;SG
dezasete	diecisiete	dezasete	diecisiete	NUM	NUM;PL
matado	mató	matado	matar	V	V;IND;SG;3;PST;FIN
victoria	victory	victoria	victory	N	N;MASC;SG
crees	piensen	cree	pensar	V	V;IMP;PL;3;FIN
crees	piensa	cree	pensar	V	V;IND;SG;3;PRS;FIN
crees	piense	cree	pensar	V	V;IMP;SG;3;FIN
crees	pensar	cree	pensar	V	V;NFIN
luvas	guantes	luva	guante	N	N;MASC;PL
decreto	decreto	decreto	decreto	N	N;MASC;SG
acusacións	acusaciones	acusación	acusación	N	N;FEM;PL
acusacións	cargos	acusación	cargo	N	N;MASC;PL
acusacións	cargas	acusación	carga	N	N;FEM;PL
acusacións	cobros	acusación	cobro	N	N;MASC;PL
acusacións	acusaciones	acusación	acusación	N	N;FEM;PL
césar	cesar	césar	cesar	V	V;NFIN
pasalo	fun	pasalo	fun	N	N
pasalo	diversión	pasalo	diversión	N	N;FEM;SG
vindo	viene	vir	venir	V	V;IND;SG;3;PRS;FIN
vindo	llegando	vir	llegar	V	V;V.MSDR
vindo	venir	vir	venir	V	V;NFIN
vindo	ven	vir	ver	V	V;IND;PL;3;PRS;FIN
vindo	venid	vir	venir	V	V;IND;PL;2;PRS;FIN
vindo	venga	vir	venir	V	V;SBJV;SG;3;PRS;FIN
vindo	vengan	vir	venir	V	V;IMP;PL;3;FIN
bagdad	bagdad	bagdar	bagdad	N	N;MASC;SG
cervo	ciervos	cervo	ciervo	N	N;MASC;PL
cervo	ciervo	cervo	ciervo	N	N;MASC;SG
cervo	ciervo	cervo	ciervo	N	N;MASC;SG
matarme	matar	matarme	matar	V	V;NFIN
matarme	mata	matarme	matar	V	V;IND;SG;3;PRS;FIN
atacaron	atacó	atacar	atacar	V	V;IND;SG;3;PST;FIN
quixeches	quería	quixeche	querer	V	V;IND;SG;3;IPFV;FIN
xenerosa	generoso	xeneroso	generoso	ADJ	ADJ;MASC;SG
xenerosa	generosos	xeneroso	generoso	ADJ	ADJ;MASC;PL
xenerosa	generosa	xeneroso	generoso	ADJ	ADJ;FEM;SG
culto	culto	culto	culto	N	N;MASC;SG
culto	secta	culto	secta	N	N;FEM;SG
irlandesa	irlandesa	irlandesa	irlandés	ADJ	ADJ;FEM;SG
déronme	dio	déronme	dar	V	V;IND;SG;3;PST;FIN
déronme	dió	déronme	dar	V	V;IND;SG;3;PST;FIN
lagoa	laguna	lagoa	laguna	N	N;FEM;SG
meniña	little	meniña	little	N	N
meniña	chica	meniña	chica	N	N;FEM;SG
meniña	niña	meniña	niña	N	N;FEM;SG
meniña	muchacha	meniña	muchacha	N	N;FEM;SG
católicos	católico	católico	católico	ADJ	ADJ;MASC;SG
católicos	católica	católico	católico	ADJ	ADJ;FEM;SG
pasear	caminar	pasear	caminar	V	V;NFIN
pasear	camina	pasear	camina	V	V;IND;SG;3;PRS;FIN
clans	clan	clan	clan	N	N;MASC;SG
clans	clanes	clan	clan	N	N;MASC;PL
pablo	pablo	pablo	pablo	N	N;MASC;SG
marquesa	marquesa	marquesa	marquesa	N	N;FEM;SG
nomura	nomura	nomura	nomura	N	N;SG
cuarteto	cuarteto	cuarteto	cuarteto	N	N;MASC;SG
estivesen	estaban	estar	estar	V	V;IND;PL;3;IPFV;FIN
corría	ejecutando	corría	ejecutar	V	V;V.MSDR
corría	corriendo	corría	correr	V	V;V.MSDR
corría	correr	corría	correr	V	V;NFIN
corría	estaba	corría	estar	V	V;IND;SG;3;IPFV;FIN
ensino	enseñas	ensino	enseña	N	N;FEM;PL
ensino	docencia	ensino	docencia	N	N;FEM;SG
ensino	enseñanza	ensino	enseñanza	N	N;FEM;SG
informática	computadora	informática	computador	N	N;FEM;SG
informática	ordenador	informática	ordenador	N	N;MASC;SG
informática	informática	informática	informática	N	N;FEM;SG
informática	computadoras	informática	computador	N	N;FEM;PL
informática	ordenadores	informática	ordenador	N	N;MASC;PL
técnicas	técnicas	técnica	técnica	N	N;FEM;PL
veterinarios	veterinarios	veterinario	veterinario	N	N;MASC;PL
confesión	confesión	confesión	confesión	N	N;FEM;SG
confesión	confesiones	confesión	confesión	N	N;FEM;PL
loitan	luchando	loitar	luchar	V	V;V.MSDR
loitan	están	loitar	estar	V	V;IND;PL;3;PRS;FIN
loitan	luchar	loitar	luchar	V	V;NFIN
medicinas	medicina	medicina	medicina	N	N;FEM;SG
medicinas	medicamento	medicina	medicamento	N	N;MASC;SG
medicinas	medicinas	medicina	medicina	N	N;FEM;PL
perden	perder	perder	perder	V	V;NFIN
perden	pierden	perder	perder	V	V;IND;PL;3;PRS;FIN
perden	pierda	perder	perder	V	V;IMP;SG;3;FIN
perden	pierdo	perder	perder	V	V;IND;SG;1;PRS;FIN
perden	pierde	perder	perder	V	V;IND;SG;3;PRS;FIN
culturas	cultivos	cultura	cultivo	N	N;MASC;PL
culturas	culturas	cultura	cultura	N	N;FEM;PL
interpretación	interpretación	interpretación	interpretación	N	N;FEM;SG
escoitan	escuchando	escoitar	escuchar	V	V;V.MSDR
escoitan	escucho	escoitar	escuchar	V	V;IND;SG;1;PRS;FIN
escoitan	escuchar	escoitar	escuchar	V	V;NFIN
dinámica	dinamismo	dinámica	dinamismo	N	N;MASC;SG
dinámica	dynamic	dinámica	dynamic	N	N
dinámica	dinámica	dinámica	dinámica	N	N;FEM;SG
dinámica	dinámica	dinámica	dinámica	N	N;FEM;SG
populares	popular	popular	popular	ADJ	ADJ;SG
aumenta	aumentar	aumentar	aumentar	V	V;NFIN
aumenta	aumenta	aumentar	aumentar	V	V;IND;SG;3;PRS;FIN
aumenta	aumentan	aumentar	aumentar	V	V;IND;PL;3;PRS;FIN
sida	sida	sida	sida	N	N;MASC;SG
sida	ayudas	sida	ayuda	N	N;FEM;PL
similar	parecido	similar	parecido	ADJ	ADJ;MASC;SG;V.PTCP
similar	similar	similar	similar	ADJ	ADJ;SG
similar	similares	similar	similar	ADJ	ADJ;PL
similar	parecidos	similar	parecido	ADJ	ADJ;MASC;PL;V.PTCP
espectadores	espectadores	espectador	espectador	N	N;MASC;PL
espectadores	televidentes	espectador	televidente	N	N;PL
saibas	conozca	saber	conocer	V	V;IMP;SG;3;FIN
saibas	saber	saber	saber	V	V;NFIN
saibas	sepa	saber	saber	V	V;IMP;SG;3;FIN
saibas	sé	saber	saber	V	V;IND;SG;1;PRS;FIN
garantía	garantía	garantía	garantía	N	N;FEM;SG
bambú	bambú	bambú	bambú	N	N;MASC;SG
falsos	falsa	falso	falso	ADJ	ADJ;FEM;SG
falsos	falso	falso	falso	ADJ	ADJ;MASC;SG
falsos	falsos	falso	falso	ADJ	ADJ;MASC;PL
falsos	falsas	falso	falso	ADJ	ADJ;FEM;PL
pensaban	pensó	pensabar	pensar	V	V;IND;SG;3;PST;FIN
pódense	lata	pódense	lata	N	N;FEM;SG
xulgado	tribunal	xulgado	tribunal	N	N;MASC;SG
xulgado	tribunales	xulgado	tribunal	N	N;MASC;PL
xulgado	court	xulgado	court	N	N;MASC;SG
extensión	ampliación	extensión	ampliación	N	N;FEM;SG
extensión	extensión	extensión	extensión	N	N;FEM;SG
extensión	prórroga	extensión	prórroga	N	N;FEM;SG
expansión	ampliación	expansión	ampliación	N	N;FEM;SG
expansión	expansión	expansión	expansión	N	N;FEM;SG
azar	casualidad	azar	casualidad	N	N;FEM;SG
azar	chance	azar	chance	N	N;FEM;SG
azar	oportunidad	azar	oportunidad	N	N;FEM;SG
necesitan	necesitar	necesitar	necesitar	V	V;NFIN
necesitan	necesito	necesitar	necesitar	V	V;IND;SG;1;PRS;FIN
necesitan	necesita	necesitar	necesitar	V	V;IND;SG;3;PRS;FIN
organizacións	organizaciones	organización	organización	N	N;FEM;PL
individual	individual	individual	individual	ADJ	ADJ;SG
individual	individuales	individual	individual	ADJ	ADJ;PL
web	website	web	website	N	N;MASC;SG
web	web	web	web	N	N;FEM;SG
web	sitio	web	sitio	N	N;MASC;SG
web	web	web	web	N	N;FEM;SG
web	telaraña	web	telaraña	N	N;FEM;SG
novamente	nuevamente	novamente	nuevamente	ADV	ADV
intres	moments	intres	moment	N	N
intres	momentos	intres	momento	N	N;MASC;PL
intres	instantes	intres	instante	N	N;MASC;PL
específico	específicas	específico	especifico	ADJ	ADJ;FEM;PL
específico	específicos	específico	específico	ADJ	ADJ;MASC;PL
específico	específica	específico	específico	ADJ	ADJ;FEM;SG
específico	especifico	específico	especifico	ADJ	ADJ;MASC;SG
específico	específico	específico	específico	ADJ	ADJ;MASC;SG
ordenadores	informática	ordenador	informática	N	N;FEM;SG
ordenadores	computadores	ordenador	computador	N	N;MASC;PL
ordenadores	computadoras	ordenador	computador	N	N;FEM;PL
ordenadores	ordenadores	ordenador	ordenador	N	N;MASC;PL
ordenadores	computadora	ordenador	computador	N	N;FEM;SG
ordenadores	ordenador	ordenador	ordenador	N	N;MASC;SG
ordenadores	informática	ordenador	informática	N	N;FEM;SG
ordenadores	computadoras	ordenador	computador	N	N;FEM;PL
ordenadores	ordenadores	ordenador	ordenador	N	N;MASC;PL
estatísticas	estadística	estatística	estadístico	N	N;FEM;SG
estatísticas	estadísticas	estatística	estadística	N	N;FEM;PL
fiel	fieles	fiel	fiel	N	N;PL
fiel	fidelidad	fiel	fidelidad	N	N;FEM;SG
trece	thirteen	trecer	thirtean	N	N;PL
características	características	característica	característica	N	N;FEM;PL
características	rasgos	característica	rasgo	N	N;MASC;PL
características	caracteristicas	característica	caracteristica	N	N;FEM;PL
características	funciones	característica	función	N	N;FEM;PL
características	características	característica	característica	N	N;FEM;PL
características	caracteristicas	característica	caracteristica	N	N;FEM;PL
residencia	residencia	residencia	residencia	N	N;FEM;SG
paran	pare	parar	parir	V	V;SBJV;SG;3;PRS;FIN
paran	detener	parar	detener	V	V;NFIN
paran	parar	parar	parar	V	V;NFIN
pensara	piensen	pensar	pensar	V	V;IMP;PL;3;FIN
pensara	piensa	pensar	pensar	V	V;IND;SG;3;PRS;FIN
pensara	piense	pensar	pensar	V	V;IMP;SG;3;FIN
pensara	pensar	pensar	pensar	V	V;NFIN
pensara	pensó	pensar	pensar	V	V;IND;SG;3;PST;FIN
calefacción	heat	calefacción	heat	N	N;MASC
calefacción	calor	calefacción	calor	N	N;MASC;SG
calefacción	calefacción	calefacción	calefacción	N	N;FEM;SG
calefacción	calentamiento	calefacción	calentamiento	N	N;MASC;SG
respondeu	respondió	responder	responder	V	V;IND;SG;3;PST;FIN
décadas	decenios	década	decenio	N	N;MASC;PL
décadas	décadas	década	década	N	N;FEM;PL
enfermos	enfermos	enfermo	enfermo	N	N;MASC;PL
compartimos	compartan	compartir	compartir	V	V;IMP;PL;3;FIN
compartimos	comparte	compartir	compartir	V	V;IND;SG;3;PRS;FIN
compartimos	compartir	compartir	compartir	V	V;NFIN
compartimos	comparta	compartir	compartir	V	V;IMP;SG;3;FIN
redución	reducción	redución	reducción	N	N;FEM;SG
arder	ardiendo	arder	arder	V	V;V.MSDR
arder	quema	arder	quema	V	V;IND;SG;3;PRS;FIN
arder	quemando	arder	quemar	V	V;V.MSDR
arder	quemar	arder	quemar	V	V;NFIN
arder	arde	arder	arder	V	V;IND;SG;3;PRS;FIN
arder	quema	arder	quema	V	V;IND;SG;3;PRS;FIN
arder	quemar	arder	quemar	V	V;NFIN
volcán	volcán	volcán	volcán	N	N;MASC;SG
kg	kilos	kg	kilo	N	N;MASC;PL
kg	libras	kg	libra	N	N;MASC;PL
oriental	orientales	oriental	oriental	ADJ	ADJ;PL
oriental	oriental	oriental	oriental	ADJ	ADJ;SG
oriental	orientales	oriental	oriental	ADJ	ADJ;PL
oriental	oriental	oriental	oriental	ADJ	ADJ;SG
violín	violín	violín	violín	N	N;MASC;SG
sufriu	sufrió	sufrir	sufrir	V	V;IND;SG;3;PST;FIN
sufriu	sufrieron	sufrir	sufrir	V	V;IND;PL;3;PST;FIN
explorar	explorar	explorar	explorar	V	V;NFIN
explorar	explore	explorar	explorar	V	V;IMP;SG;3;FIN
explorar	explora	explorar	explorar	V	V;IND;SG;3;PRS;FIN
explorar	explorar	explorar	explorar	V	V;NFIN
explorar	explorando	explorar	explorar	V	V;V.MSDR
xeralmente	generalmente	xeral	generalmente	ADV	ADV
teléfonos	smartphones	teléfono	smartphón	N	N;MASC;PL
teléfonos	teléfonos	teléfono	teléfono	N	N;MASC;PL
estruturas	estructuras	estrutura	estructura	N	N;FEM;PL
fusión	fusion	fusión	fusion	N	N;SG
fusión	fusión	fusión	fusión	N	N;FEM;SG
suma	sum	suma	sum	N	N
suma	suma	suma	suma	N	N;FEM;SG
tanque	tanques	tanque	tanque	N	N;MASC;PL
tanque	tanque	tanque	tanque	N	N;MASC;SG
tanque	cisterna	tanque	cisterna	N	N;FEM;SG
eventos	eventos	evento	evento	N	N;MASC;PL
eventos	acontecimientos	evento	acontecimiento	N	N;MASC;PL
axenda	temario	axenda	temario	N	N;MASC;SG
axenda	agenda	axenda	agenda	N	N;FEM;SG
bancos	banks	banco	bank	N	N
bancos	bancos	banco	banco	N	N;MASC;PL
pensaron	pensó	pensar	pensar	V	V;IND;SG;3;PST;FIN
instrucións	instrucciones	instrución	instrucción	N	N;FEM;PL
chamábase	estaba	chamábase	estar	V	V;IND;SG;3;IPFV;FIN
chamábase	llamé	chamábase	llamar	V	V;IND;SG;1;PST;FIN
pluma	bolígrafo	plumo	bolígrafo	N	N;MASC;SG
pluma	boli	plumo	boli	N	N;MASC;SG
pluma	pen	plumo	pen	N	N;MASC;SG
pluma	pluma	plumo	pluma	N	N;FEM;SG
pluma	pluma	plumo	pluma	N	N;FEM;SG
técnicos	técnicos	técnico	técnico	N	N;MASC;PL
técnicos	tecnica	técnico	tecnicar	N	N;FEM;SG
técnicos	técnicos	técnico	técnico	N	N;MASC;PL
técnicos	técnico	técnico	técnico	N	N;MASC;SG
técnicos	técnica	técnico	técnica	N	N;FEM;SG
verbas	palabras	verba	palabra	N	N;FEM;PL
conclusión	conclusión	conclusión	conclusión	N	N;FEM;SG
orgullosos	orgullosa	orgulloso	orgulloso	ADJ	ADJ;FEM;SG
orgullosos	orgulloso	orgulloso	orgulloso	ADJ	ADJ;MASC;SG
orgullosos	orgullosos	orgulloso	orgulloso	ADJ	ADJ;MASC;PL
músculos	músculos	músculo	músculo	N	N;MASC;PL
músculos	músculo	músculo	músculo	N	N;MASC;SG
demostración	demostración	demostración	demostración	N	N;FEM;SG
demostración	demostraciones	demostración	demostración	N	N;FEM;PL
demostración	manifestación	demostración	manifestación	N	N;FEM;SG
computador	computadora	computador	computador	N	N;FEM;SG
computador	ordenador	computador	ordenador	N	N;MASC;SG
computador	informática	computador	informática	N	N;FEM;SG
computador	computadoras	computador	computador	N	N;FEM;PL
