vorn	μπροστά	vorn	μπροστά	ADV	ADV
älterer	μεγαλύτερος	alt	μεγάλος	ADJ	ADJ;NOM;CMPR;MASC;SG
älterer	μεγαλύτερη	alt	μεγάλος	ADJ	ADJ;NOM;CMPR;FEM;SG
älterer	μεγαλύτερο	alt	μεγάλος	ADJ	ADJ;NOM;CMPR;NEUT;SG
älterer	παλαιότερη	alt	παλιός	ADJ	ADJ;NOM;CMPR;FEM;SG
erwachsenen	ενήλικοι	erwachsen	ενήλικος	ADJ	ADJ;NOM;MASC;PL
erwachsenen	ενήλικες	erwachsen	ενήλικος	ADJ	ADJ;NOM;FEM;PL
erwachsenen	ενήλικο	erwachsen	ενήλικος	ADJ	ADJ;NOM;NEUT;SG
erwachsenen	ενήλικας	erwachsen	ενήλικα	ADJ	ADJ;NOM;MASC;SG
erwachsenen	ενήλικος	erwachsen	ενήλικος	ADJ	ADJ;NOM;MASC;SG
erwachsenen	ενήλικες	erwachsen	ενήλικος	ADJ	ADJ;NOM;FEM;PL
zwingend	υποχρεωτικό	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;NEUT;SG
zwingend	υποχρεωτική	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;FEM;SG
zwingend	υποχρεωτικός	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;MASC;SG
zwingend	επιτακτική	zwingend	επιτακτικός	ADJ	ADJ;NOM;FEM;SG
zwingend	υποχρεωτικό	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;NEUT;SG
zwingend	υποχρεωτική	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;FEM;SG
zwingend	υποχρεωτικές	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;FEM;PL
zwingend	υποχρεωτικός	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;MASC;SG
zwingend	υποχρεωτικό	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;NEUT;SG
zwingend	υποχρεωτική	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;FEM;SG
zwingend	υποχρεωτικές	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;FEM;PL
zwingend	υποχρεωτικός	zwingend	υποχρεωτικός	ADJ	ADJ;NOM;MASC;SG
spezialisiert	εξειδικευμένες	spezialisieren	εξειδικεύω	V;V.PTCP	V;PFV;NOM;FEM;PL;V.PTCP;PASS
spezialisiert	εξειδικευμένο	spezialisieren	εκειδικεύω	V;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
spezialisiert	εξειδικευμένη	spezialisieren	εκειδικεύω	V;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
transportiert	μεταφέρονται	transportieren	μεταφέρω	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
transportiert	μεταφέρθηκαν	transportieren	μεταφέρθηκαν	V;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
benachbarte	γειτονικές	benachbart	γειτονικός	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
singen	τραγουδήστε	singen	τραγουδώ	V;NFIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
singen	τραγουδούν	singen	τραγούδαι	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
singen	φωνάζοντας	singen	φωνάζω	V;NFIN	V;IPFV;V.CVB;ACT
singen	τραγουδάει	singen	τραγούδαι	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
singen	τραγουδάμε	singen	τραγούδαι	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN;ACT
singen	τραγουδώντας	singen	τραγουδώ	V;NFIN	V;IPFV;V.CVB;ACT
singen	τραγουδούν	singen	τραγούδαι	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
woher	πώς	woher	πώς	ADV	ADV
überprüfung	αναθεώρηση	überprüfung	αναθεώρηση	N;NOM;FEM;SG	N;NOM;FEM;SG
überprüfung	ανασκόπηση	überprüfung	ανασκόπηση	N;NOM;FEM;SG	N;NOM;FEM;SG
überprüfung	επαλήθευση	überprüfung	επαλήθευση	N;NOM;FEM;SG	N;NOM;FEM;SG
ständigen	όρθιος	ständig	όρθιος	ADJ	ADJ;NOM;MASC;SG
ständigen	όρθιοι	ständig	όρθιος	ADJ	ADJ;NOM;MASC;PL
ständigen	μόνιμες	ständig	μόνιμος	ADJ	ADJ;NOM;FEM;PL
ständigen	μόνιμο	ständig	μόνιμο	ADJ	ADJ;NOM;NEUT;SG
ständigen	μόνιμος	ständig	μόνιμος	ADJ	ADJ;NOM;MASC;SG
ständigen	μόνιμη	ständig	μόνιμος	ADJ	ADJ;NOM;FEM;SG
bühnen	εξέδρες	bühnen	εξέδρος	N;NOM;PL	N;NOM;FEM;PL
bühnen	στάδια	bühnen	στάδιο	N;NOM;PL	N;NOM;NEUT;PL
bühnen	φάσεις	bühnen	φάση	N;NOM;PL	N;NOM;FEM;PL
japanisch	γιαπωνέζικο	japanisch	γιαπωνέζικος	ADJ	ADJ;NOM;NEUT;SG
sat	σαβ	sat	σαβ		
stoffe	υφάσματα	stoffen	ύφασμα	N;NOM;PL	N;NOM;NEUT;PL
stoffe	ουσίες	stoffen	ουσία	N;NOM;PL	N;NOM;FEM;PL
fraglich	αμφισβητήσιμη	fraglich	αμφισβητήσιμος	ADJ	ADJ;NOM;FEM;SG
fraglich	συζητήσιμη	fraglich	συζητήσιμος	ADJ	ADJ;NOM;FEM;SG
fraglich	αμφίβολο	fraglich	αμφίβολο	ADJ	ADJ;NOM;NEUT;SG
empfangen	λαμβάνουν	empfangen	λαμβάνω	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;ACT
empfangen	λάβετε	empfangen	λαμβάνω	V;V.PTCP	V;PFV;IMP;PL;2;FIN;ACT
empfangen	ελήφθη	empfangen	λαμβάνω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
empfangen	έλαβε	empfangen	λαμβάνω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
pflicht	υποχρεωτικό	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;NEUT;SG
pflicht	υποχρεωτική	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;FEM;SG
pflicht	υποχρεωτικός	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;MASC;SG
pflicht	υποχρεωτικό	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;NEUT;SG
pflicht	υποχρεωτική	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;FEM;SG
pflicht	υποχρεωτικές	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;FEM;PL
pflicht	υποχρεωτικός	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;MASC;SG
pflicht	υποχρεωτικό	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;NEUT;SG
pflicht	υποχρεωτική	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;FEM;SG
pflicht	υποχρεωτικές	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;FEM;PL
pflicht	υποχρεωτικός	pflicht	υποχρεωτικός	ADJ	ADJ;NOM;MASC;SG
türkisch	τουρκικό	türkisch	τουρκικός	ADJ	ADJ;NOM;NEUT;SG
türkisch	τουρκική	türkisch	τουρκικός	ADJ	ADJ;NOM;FEM;SG
nummern	αριθμοί	nummern	αριθμός	N	N;NOM;MASC;PL
nummern	αριθμούς	nummern	αριθμός	N	N;ACC;MASC;PL
schnellen	γρήγορη	schnell	γρήγορος	ADJ	ADJ;NOM;FEM;SG
wusste	ήξερε	wissen	θέρω	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
hinreichend	επαρκείς	hinreichend	επαρκής	ADJ	ADJ;NOM;FEM;PL
theoretisch	θεωρητικές	theoretisch	θεωρητικός	ADJ	ADJ;NOM;FEM;PL
theoretisch	θεωρητικό	theoretisch	θεωρητικός	ADJ	ADJ;NOM;NEUT;SG
theoretisch	θεωρητική	theoretisch	θεωρητικός	ADJ	ADJ;NOM;FEM;SG
persönlicher	προσωπική	persönlich	προσωπικός	ADJ	ADJ;NOM;FEM;SG
persönlicher	προσωπικός	persönlich	προσωπικός	ADJ	ADJ;NOM;MASC;SG
ernährung	διατροφή	Ernährung	διατροφή	N;NOM;FEM;SG	N;NOM;FEM;SG
ernährung	δίαιτα	Ernährung	δίαιτα	N;NOM;FEM;SG	N;NOM;FEM;SG
ernährung	διατροφή	Ernährung	διατροφή	N;NOM;FEM;SG	N;NOM;FEM;SG
vergleichen	συγκρίνετε	vergleichen	συγκρίνω	V;NFIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
vergleichen	συγκρίνουμε	vergleichen	συγκρίνω	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN;ACT
vergleichen	συγκρίνοντας	vergleichen	συγκρίνω	V;NFIN	V;IPFV;V.CVB;ACT
gestrichen	διαγραφεί	gestrechen	διαγραφώ	V;V.PTCP	V;PFV;NFIN;PASS
gestrichen	διαγράφεται	gestrechen	διαγράφω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
gestrichen	διαγράφηκε	gestrechen	διαγράφω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gestrichen	διαγράφονται	gestrechen	διαγράφω	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
gestrichen	ακυρώθηκε	gestrechen	ακυρώνω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gestrichen	ακυρώνεται	gestrechen	ακυρώνω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
gestrichen	βαμμένα	gestrechen	βαμμένα	V;V.PTCP	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
gestrichen	βαμμένη	gestrechen	βάμμενος	V;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
gestrichen	ζωγράφισε	gestrechen	ζωγραφίζω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
gestrichen	καταργείται	gestrechen	καταργώ	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
gestrichen	καταργήθηκε	gestrechen	καταργώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gestrichen	καταργηθεί	gestrechen	καταργώ	V;V.PTCP	V;PFV;NFIN;PASS
gestrichen	ακυρώθηκε	gestrechen	ακυρώνω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
gestrichen	ακυρώνεται	gestrechen	ακυρώνω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
verabschiedet	υιοθετήθηκε	verabschieden	υιοθετώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
verabschiedet	υιοθετημένος	verabschieden	υιοθετημένος	V;V.PTCP	V;PFV;NOM;MASC;SG;V.PTCP;PASS
verabschiedet	εγκρίθηκε	verabschieden	εγκρίνω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
verabschiedet	ενέκρινε	verabschieden	εγκρίνω	V;V.PTCP	V;IPFV;IND;SG;3;PST;FIN;ACT
verabschiedet	εγκρίνεται	verabschieden	εγκρίνω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
annehmen	δεχτώ	annehmen	δεχτώ	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
annehmen	δεχτείτε	annehmen	δέχομαι	V;NFIN	V;PFV;IMP;PL;2;FIN;ACT
gedruckt	τυπωμένο	drucken	τυπωμένος	V;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
gedruckt	τυπωμένα	drucken	τυπωμένος	V;V.PTCP	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
abteilungen	τμήματα	abteilingen	τμήμα	N;NOM;FEM;PL	N;NOM;NEUT;PL
abteilungen	μεραρχίες	abteilingen	μεραρχία	N;NOM;FEM;PL	N;NOM;FEM;PL
abteilungen	διαιρέσεις	abteilingen	διαίρεση	N;NOM;FEM;PL	N;NOM;FEM;PL
abteilungen	τμήματα	abteilingen	τμήμα	N;NOM;FEM;PL	N;NOM;NEUT;PL
erläutert	εξήγησαν	erläutern	εξηγώ	V;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
erläutert	εξηγήθηκε	erläutern	εξηγώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
erläutert	εξήγησε	erläutern	εξηγώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
erläutert	εξηγεί	erläutern	εξηγώ	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
erläutert	εξηγείται	erläutern	εξηγώ	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
nachweisbar	ανιχνεύσιμη	nachweisbar	ανιχνεύσιμος	ADJ	ADJ;NOM;FEM;SG
nachweisbar	ανιχνεύσιμο	nachweisbar	ανιχνεύσιμο	ADJ	ADJ;NOM;NEUT;SG
kritischen	κρίσιμη	kritisch	κρίσιμος	ADJ	ADJ;NOM;FEM;SG
kritischen	κρίσιμα	kritisch	κρίσιμα	ADJ	ADJ;NOM;NEUT;PL
kritischen	κρίσιμο	kritisch	κρίσιμο	ADJ	ADJ;NOM;NEUT;SG
kritischen	κρίσιμες	kritisch	κρίσιμος	ADJ	ADJ;NOM;FEM;PL
vorzeitig	πρώιμο	vorzeitig	πρώιμο	ADJ	ADJ;NOM;NEUT;SG
teilgenommen	παρευρέθηκαν	teilnehmen	παρεύρομαι	V;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
teilgenommen	συμμετείχε	teilnehmen	συμμετέχω	V;V.PTCP	V;IPFV;IND;SG;3;PST;FIN;ACT
teilgenommen	συμμετείχαν	teilnehmen	συμμετέχω	V;V.PTCP	V;IPFV;IND;PL;3;PST;FIN;ACT
teilgenommen	συμμετείχα	teilnehmen	συμμετέχω	V;V.PTCP	V;IPFV;IND;SG;1;PST;FIN;ACT
befestigt	οχυρωμένο	befestigen	οχυρώνω	V;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
befestigt	επισυνάπτεται	befestigen	επισυνάπτω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
administrative	διοικητικές	administrativ	διοικητικός	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
shakespeare	σαίξπηρ	shakespeare	σαίξπηρ	N;NOM;MASC;SG	N;NOM;FEM;SG
auseinander	χώρια	auseinander	χώριο	ADV	ADV
hang	πλαγιά	hang	πλαγιά	N	N;NOM;FEM;SG
hang	κλίση	hang	κλίση	N	N;NOM;FEM;SG
löscht	διαγράφει	löschen	διαγράφω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
beantwortet	απάντησαν	beantworten	απαντώ	V;V.PTCP	V;PFV;IND;PL;3;PST;FIN;ACT
oberste	υπέρτατη	ober	υπέρτατος	ADJ;NOM	ADJ;NOM;FEM;SG
oberste	ανώτατο	ober	ανώτερος	ADJ;NOM	ADJ;NOM;CMPR;NEUT;SG
oberste	ανώτατη	ober	ανώτερος	ADJ;NOM	ADJ;NOM;CMPR;FEM;SG
berühmt	διάσημη	berühmt	διάσημος	ADJ	ADJ;NOM;FEM;SG
restaurierung	ανακαίνιση	restaurierung	ανακαίνιση	N;NOM;FEM;SG	N;NOM;FEM;SG
umzug	μετεγκατάσταση	umzugen	μετεγκατάσταση	N;SG	N;NOM;FEM;SG
umzug	μετακόμιση	umzugen	μετακόμιση	N;SG	N;ACC;FEM;SG
umzug	μετακίνηση	umzugen	μετακίνηση	N;SG	N;ACC;FEM;SG
umzug	παρέλαση	umzugen	παρέλαση	N;SG	N;NOM;FEM;SG
umzug	αφαίρεση	umzugen	αφαίρεση	N;SG	N;ACC;FEM;SG
umzug	απομάκρυνση	umzugen	απομάκρυνση	N;SG	N;ACC;FEM;SG
niedrigen	χαμηλό	niedrig	χαμηλός	ADJ	ADJ;NOM;NEUT;SG
niedrigen	χαμηλή	niedrig	χαμηλός	ADJ	ADJ;NOM;FEM;SG
niedrigen	χαμηλός	niedrig	χαμηλός	ADJ	ADJ;NOM;MASC;SG
erhöhung	αύξηση	erhöhung	αύξηση	N;NOM;FEM;SG	N;NOM;FEM;SG
erhöhung	υψόμετρο	erhöhung	υψόμετρο	N;NOM;FEM;SG	N;NOM;NEUT;SG
polizisten	μπάτσοι	polizist	μπάτσος	N;PL	N;NOM;MASC;PL
polizisten	αστυφύλακες	polizist	αστυφύλακας	N;PL	N;NOM;MASC;PL
latein	λατινική	latein	λατινικός	ADJ	ADJ;NOM;FEM;SG
fortgesetzt	συνεχίζεται	fortsetzen	συνεχίζω	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
politisches	πολιτικό	politisch	πολιτικός	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
selbständige	ανεξάρτητοι	selbständig	ανεξάρτητος	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL
selbständige	ανεξάρτητες	selbständig	ανεξάρτητος	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;PL
selbständige	ανεξάρτητοι	selbständig	ανεξάρτητος	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;PL
alternativen	εναλλακτικό	alternativ	εναλλακτικός	ADJ	ADJ;NOM;NEUT;SG
alternativen	εναλλακτική	alternativ	εναλλακτικός	ADJ	ADJ;NOM;FEM;SG
alternativen	εναλλακτικές	alternativ	εναλλακτικός	ADJ	ADJ;NOM;FEM;PL
herrscht	βασιλεύει	herrschen	βασιλεύω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
schaffung	δημιουργία	schaffung	δημιουργία	N	N;ACC;FEM;SG
flachen	ρηχή	flach	ρηχή	ADJ	ADJ;NOM;FEM;SG
bestritten	αμφισβήτησε	bestreiten	αμφισβητώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
bestritten	αμφισβητήθηκε	bestreiten	αμφισβητώ	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
unverändert	αμετάβλητη	unverändert	αμετάβλητος	ADJ	ADJ;NOM;FEM;SG
unverändert	αμετάβλητο	unverändert	αμετάβλητος	ADJ	ADJ;NOM;NEUT;SG
ausserdem	επισης	ausserdem	επισης	ADV	ADV
ausserdem	επίσης	ausserdem	επίσης	ADV	ADV
schwanz	γράμματα	schwanzen	γράμμα	N	N;NOM;NEUT;PL
schwanz	ουρές	schwanzen	ουρός	N	N;NOM;FEM;PL
schwanz	ουράς	schwanzen	ουρός	N	N;GEN;FEM;SG
schwanz	ουρά	schwanzen	ουρώ	N	N;NOM;FEM;SG
schwanz	πουλί	schwanzen	πουλί	N	N;NOM;NEUT;SG
schwanz	κόκορας	schwanzen	κόκορα	N	N;NOM;MASC;SG
beteiligen	συμμετέχετε	beteiligen	συμμετέχω	V;NFIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
beteiligen	συμμετάσχετε	beteiligen	συμμετέχω	V;NFIN	V;PFV;IND;PL;2;FIN;ACT
beteiligen	συμμετέχουν	beteiligen	συμμετέχω	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
redundanz	απολύσεων	redundanz	απόλυση	N	N;GEN;FEM;PL
nachkriegszeit	μεταπολεμική	nachkriegszeit	μεταπολεμικός	ADJ	ADJ;NOM;FEM;SG
aufsätze	δοκίμια	aufsätzen	δοκίμιο	N;NOM;PL	N;NOM;NEUT;PL
bahnhöfe	σταθμοί	bahnhöfen	σταθμός	N;NOM;MASC;PL	N;NOM;MASC;PL
pionier	πρωτοποριακό	pionier	πρωτοποριακός	ADJ	ADJ;NOM;NEUT;SG
pionier	πρωτοπόρος	pionier	πρωτοπόρος	ADJ	ADJ;NOM;MASC;SG
pionier	πρωτοπόροι	pionier	πρωτοπόρος	ADJ	ADJ;NOM;MASC;PL
rumänischen	ρουμανικό	rumänisch	ρουμανικός	ADJ	ADJ;NOM;NEUT;SG
rumänischen	ρουμανική	rumänisch	ρουμανικός	ADJ	ADJ;NOM;FEM;SG
tests	τεστ	tests	τεστ	N	N;NOM;NEUT;SG
tests	εξετάσεις	tests	εξέταση	N	N;NOM;FEM;PL
tests	δοκιμασίες	tests	δοκιμασία	N	N;NOM;FEM;PL
tests	δοκιμές	tests	δοκιμή	N	N;NOM;FEM;PL
tests	δοκιμή	tests	δοκιμή	N	N;NOM;FEM;SG
tests	δοκιμές	tests	δοκιμή	N	N;NOM;FEM;PL
entfernten	απομακρυσμένα	entfernt	απομακρύσμενος	V;IND;PL;3;PST;FIN	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
sorgt	διασφαλίζει	sorgen	διασφαλίζω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
sorgt	εξασφαλίζει	sorgen	εξασφαλίζω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
sorgt	νοιάζεται	sorgen	νοιάζω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
läßt	παραδέχεται	lassen	παραδέχομαι	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
staffeln	εποχές	staffeln	εποχή	N;NOM;FEM;PL	N;NOM;FEM;PL
staffeln	μοίρες	staffeln	μοίρα	N;NOM;FEM;PL	N;NOM;FEM;PL
trasse	μονοπάτι	trassen	μονοπάτι	N	N;NOM;NEUT;SG
trasse	διαδρομή	trassen	διαδρομή	N	N;ACC;FEM;SG
bemerkenswert	αξιοσημείωτο	bemerkenswert	αξιοσημείωτος	ADJ	ADJ;NOM;NEUT;SG
bemerkenswert	αξιοσημείωτη	bemerkenswert	αξιοσημείωτος	ADJ	ADJ;NOM;FEM;SG
bemerkenswert	αξιοσημείωτο	bemerkenswert	αξιοσημείωτος	ADJ	ADJ;NOM;NEUT;SG
bemerkenswert	αξιοσημείωτη	bemerkenswert	αξιοσημείωτος	ADJ	ADJ;NOM;FEM;SG
bemerkenswert	αξιοσημείωτο	bemerkenswert	αξιοσημείωτος	ADJ	ADJ;NOM;NEUT;SG
deutlicher	σαφέστερη	deutlich	σαφής	ADJ	ADJ;NOM;CMPR;FEM;SG
produzieren	παράγουν	produzieren	παράγω	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
öffentlicher	δημόσιες	öffentlich	δημόσιος	ADJ	ADJ;NOM;FEM;PL
