弾道	trajektorii	弾道	trajektoria	N	N;GEN;FEM;SG
イルカ	delfinów	イルカ	delfin	N	N;GEN;MASC;PL
イルカ	delfinów	イルカ	delfin	N	N;GEN;MASC;PL
イルカ	delfiny	イルカ	delfin	N	N;ACC;MASC;PL
かご	koszyk	かご	koszyk	N	N;NOM;MASC;SG
かご	kosz	かご	kosz	N	N;NOM;MASC;SG
皮肉	ironiczne	皮肉	ironiczny	ADJ	ADJ;NOM;NEUT;SG
書記官	urzędnik	書記官	urzędnik	N	N;NOM;MASC;SG
蝦夷	ezo	蝦夷	ezo		
絞り	otwór	絞り	otwór	N	N;NOM;MASC;SG
拷問	tortury	拷問	tortura	N	N;NOM;FEM;PL
吸血	wampirów	吸血	wampir	N	N;ACC;MASC;PL
吸血	wampiry	吸血	wampira	N	N;NOM;MASC;PL
吸血	wampirem	吸血	wampir	N	N;INS;MASC;SG
吸血	wampir	吸血	wampir	N	N;NOM;MASC;SG
排水	drenaż	排水	drenaż	N	N;NOM;MASC;SG
プロトタイプ	prototyp	プロトタイプ	prototyp	N	N;ACC;MASC;SG
プロトタイプ	prototypy	プロトタイプ	prototyp	N	N;NOM;MASC;PL
ウリ	melon	ウリ	melon		
却下	odrzucić	却下	odrzucić	V	V;PFV;NFIN;ACT
却下	odrzucono	却下	odrzucić	V	V;PFV;IND;0;PST;FIN;ACT
スローガン	slogany	スローガン	slogać	N	N;NOM;MASC;PL
スローガン	slogan	スローガン	slogan	N	N;NOM;MASC;SG
負債	zobowiązania	負債	zobowiązanie	N	N;NOM;NEUT;PL
負債	zobowiązań	負債	zobowiązanie	N	N;GEN;NEUT;PL
時刻	harmonogram	時刻	harmonogram	N	N;NOM;MASC;SG
添付	dołącz	添付	dołączyć	V	V;PFV;IMP;SG;2;FIN;ACT
添付	dołączyć	添付	dołączyć	V	V;PFV;NFIN;ACT
克服	pokonać	克服	pokonać	V	V;PFV;NFIN;ACT
事由	podstawy	事由	podstawa	N	N;ACC;FEM;PL
サビ	rdza	サビ	rdza	N	N;NOM;FEM;SG
おもちゃ	zabawka	おもちゃ	zabawka	N	N;NOM;FEM;SG
おもちゃ	zabawki	おもちゃ	zabawka	N	N;NOM;FEM;PL
おもちゃ	zabawkę	おもちゃ	zabawka	N	N;ACC;FEM;SG
おもちゃ	zabawki	おもちゃ	zabawka	N	N;NOM;FEM;PL
おもちゃ	zabawek	おもちゃ	zabawek	N	N;GEN;FEM;PL
ポピュラー	popularny	ポピュラー	popularny	ADJ	ADJ;NOM;MASC;SG
ポピュラー	popularnych	ポピュラー	popularny	ADJ	ADJ;GEN;MASC;PL
ポピュラー	popularne	ポピュラー	popularny	ADJ	ADJ;NOM;NEUT;SG
ポピュラー	popularna	ポピュラー	popularny	ADJ	ADJ;NOM;FEM;SG
パンフレット	broszura	パンフレット	broszur	N	N;NOM;FEM;SG
パンフレット	ulotka	パンフレット	ulotka	N	N;NOM;FEM;SG
パンフレット	broszury	パンフレット	broszura	N	N;ACC;FEM;PL
パンフレット	broszura	パンフレット	broszur	N	N;NOM;FEM;SG
パンフレット	broszury	パンフレット	broszura	N	N;ACC;FEM;PL
メーター	metrów	メーター	metr	N	N;GEN;MASC;PL
メーター	licznik	メーター	licznik	N	N;NOM;MASC;SG
メーター	miernik	メーター	miernik	N	N;NOM;MASC;SG
メーター	metry	メーター	metr	N	N;ACC;MASC;SG
メーター	metrach	メーター	metr	N	N;GEN;MASC;PL
メーター	metrów	メーター	metr	N	N;GEN;MASC;PL
体積	objętości	体積	objętość	N	N;GEN;FEM;SG
体積	wielkość	体積	wielkość	N	N;ACC;FEM;SG
体積	objętość	体積	objętość	N	N;NOM;FEM;SG
体積	pojemność	体積	pojemność	N	N;ACC;FEM;SG
体積	objętości	体積	objętość	N	N;GEN;FEM;SG
基底	podstawa	基底	podstawa	N	N;NOM;FEM;SG
基底	podstawie	基底	podstawa	N	N;DAT;FEM;SG
基底	podstawy	基底	podstawa	N	N;ACC;FEM;PL
有名人	sława	有名人	sława	N	N;NOM;FEM;SG
有名人	gwiazda	有名人	gwiazda	N	N;NOM;FEM;SG
有名人	gwiazdy	有名人	gwiazda	N	N;ACC;FEM;PL
有名人	osobistości	有名人	osobistość	N	N;NOM;FEM;PL
消す	ugasić	消す	ugasić	V	V;PFV;NFIN;ACT
経費	wydatek	経費	wydatek	N	N;NOM;MASC;SG
経費	koszty	経費	koszt	N	N;NOM;MASC;PL
経費	wydatki	経費	wydatek	N	N;NOM;MASC;PL
超	nadmiar	超	nadmiar	N	N;NOM;MASC;SG
超	nadwyżka	超	nadwyżka	N	N;NOM;FEM;SG
ロク	rok	ロク	rok	N	N;NOM;MASC;SG
インテリア	wnętrze	インテリア	wnętrze	N	N;NOM;NEUT;SG
インテリア	wnętrza	インテリア	wnętrze	N	N;NOM;NEUT;SG
公使	ministrowie	公使	minister	N	N;NOM;MASC;PL
公使	minister	公使	minister	N	N;NOM;MASC;SG
公使	ministrowie	公使	minister	N	N;NOM;MASC;PL
公使	ministrów	公使	minister	N	N;ACC;MASC;PL
キリスト教徒	chrześcijanin	キリスト教徒	chrześcijanin	N	N;NOM;MASC;SG
キリスト教徒	christian	キリスト教徒	christianin	N	N;NOM;MASC;SG
キリスト教徒	chrześcijanie	キリスト教徒	chrześcijanin	N	N;NOM;MASC;PL
キリスト教徒	chrześcijanie	キリスト教徒	chrześcijanin	N	N;NOM;MASC;PL
スコープ	zakres	スコープ	zakres	N	N;NOM;MASC;SG
スコープ	celowniki	スコープ	celownik	N	N;NOM;MASC;PL
スコープ	zakresy	スコープ	zakres	N	N;NOM;MASC;PL
カメ	żółwia	カメ	żółwia	N	N;ACC;MASC;SG
カメ	żółwie	カメ	żółwa	N	N;NOM;MASC;SG
カメ	żółw	カメ	żółw	N	N;NOM;MASC;SG
カメ	żółwie	カメ	żółwa	N	N;NOM;MASC;SG
細い	szczupła	細い	szczupło	ADJ	ADJ;NOM;FEM;SG
細い	cienkie	細い	cienki	ADJ	ADJ;NOM;NEUT;SG
細い	cienka	細い	cienki	ADJ	ADJ;NOM;FEM;SG
細い	chudy	細い	chudy	ADJ	ADJ;NOM;MASC;SG
細い	cienki	細い	cienki	ADJ	ADJ;NOM;MASC;SG
エキス	ekstrakty	エキス	ekstrakt	N	N;NOM;MASC;PL
エキス	wyciągi	エキス	wyciąg	N	N;NOM;MASC;PL
エキス	ekstrakt	エキス	ekstrakt	N	N;NOM;MASC;SG
ねじ	śruby	ねじ	śrub	N	N;ACC;FEM;PL
警部	porucznik	警部	porucznik	N	N;NOM;MASC;SG
諸	władcy	諸	władka	N	N;NOM;MASC;SG
スキャンダル	afera	スキャンダル	afera	N	N;NOM;FEM;SG
スキャンダル	skandal	スキャンダル	skandal	N	N;NOM;MASC;SG
テラス	taras	テラス	taras	N	N;NOM;MASC;SG
マインド	umysłu	マインド	umysł	N	N;GEN;MASC;SG
マインド	umysł	マインド	umysł	N	N;NOM;MASC;SG
チューナー	tuner	チューナー	tuner	N	N;NOM;MASC;SG
銘柄	markę	銘柄	marka	N	N;ACC;FEM;SG
銘柄	marki	銘柄	marka	N	N;ACC;FEM;SG
表彰	podium	表彰	podium	N	N;ACC;NEUT;SG
見通し	perspektywa	見通し	perspektywa	N	N;NOM;FEM;SG
三角形	trójkąt	三角形	trójkąt	N	N;ACC;MASC;SG
クジラ	wieloryby	クジラ	wieloryb	N	N;NOM;MASC;PL
クジラ	wieloryb	クジラ	wieloryb	N	N;NOM;MASC;SG
クジラ	wieloryba	クジラ	wieloryb	N	N;ACC;MASC;SG
叫び	krzycząc	叫ぶ	krzyczeć	V	V;IPFV;PRS;V.CVB;ACT
叫び	krzyczeć	叫ぶ	krzyczeć	V	V;IPFV;NFIN;ACT
叫び	krzyczy	叫ぶ	krzyczeć	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
叫び	krzyczeć	叫ぶ	krzyczeć	V	V;IPFV;NFIN;ACT
叫び	krzycz	叫ぶ	krzycz	V	V;IPFV;IMP;SG;2;FIN;ACT
ハープ	harfie	ハープ	harf	N	N;DAT;FEM;SG
知人	znajomość	知人	znajomość	N	N;NOM;FEM;SG
パブリッシング	wydawnictwo	パブリッシング	wydawnictwo	N	N;NOM;NEUT;SG
パブリッシング	publikacja	パブリッシング	publikacja	N	N;NOM;FEM;SG
パブリッシング	wydawnictwa	パブリッシング	wydawnictwo	N	N;NOM;NEUT;SG
パブリッシング	publikacje	パブリッシング	publikacja	N	N;NOM;FEM;PL
パブリッシング	publikowania	パブリッシング	publikowanie	N	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
パブリッシング	publikowanie	パブリッシング	publikowanie	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
薬局	aptece	薬局	apteka	N	N;GEN;FEM;SG
薬局	apteki	薬局	apteka	N	N;ACC;FEM;SG
下町	centrum	下町	centrum	N	N;ACC;NEUT;SG
カラス	kruk	カラス	kruk	N	N;NOM;MASC;SG
序曲	uwertura	序曲	uwertura	N	N;NOM;FEM;SG
伯父	wujek	伯父	wujek	N	N;NOM;MASC;SG
伯父	wuju	伯父	wuj	N	N;VOC;MASC;SG
楽しい	fajne	楽しい	fajny	ADJ	ADJ;NOM;NEUT;SG
楽しい	przyjemne	楽しい	przyjemny	ADJ	ADJ;NOM;NEUT;SG
トマト	pomidory	トマト	pomidor	N	N;NOM;MASC;PL
トマト	pomidorów	トマト	pomidor	N	N;GEN;MASC;PL
トマト	pomidory	トマト	pomidor	N	N;NOM;MASC;PL
騒音	hałas	騒音	hałas	N	N;NOM;MASC;SG
騒音	hałasy	騒音	hałas	N	N;NOM;MASC;PL
騒音	hałasu	騒音	hałas	N	N;GEN;MASC;SG
騒音	szum	騒音	szum	N	N;NOM;MASC;SG
基質	substrat	基質	substrat	N	N;NOM;MASC;SG
基質	podłoże	基質	podłoże	N	N;NOM;NEUT;SG
流派	szkoły	流派	szkoła	N	N;GEN;FEM;SG
インタフェース	interfejs	インタフェース	interfejs	N	N;NOM;MASC;SG
インタフェース	interfejsu	インタフェース	interfejs	N	N;GEN;MASC;SG
インタフェース	interfejsy	インタフェース	interfejsa	N	N;NOM;MASC;PL
インタフェース	interfejsów	インタフェース	interfejs	N	N;GEN;MASC;PL
遺物	artefakt	遺物	artefakt	N	N;NOM;MASC;SG
遺物	relikwie	遺物	relikwia	N	N;NOM;FEM;PL
紡績	przędzenia	紡績	przędzenie	N	N;PFV;GEN;NEUT;SG;POS;V.MSDR
ディフェンダー	obrońca	ディフェンダー	obrońca	N	N;NOM;MASC;SG
ディフェンダー	obrońcę	ディフェンダー	obrońca	N	N;ACC;MASC;SG
ディフェンダー	obrońcy	ディフェンダー	obrońca	N	N;NOM;MASC;SG
ラード	smalec	ラード	smalec	N	N;ACC;MASC;SG
代理人	przedstawiciel	代理人	przedstawiciel	N	N;NOM;MASC;SG
代理人	przedstawiciela	代理人	przedstawiciel	N	N;ACC;MASC;SG
代理人	agentka	代理人	agentka	N	N;NOM;FEM;SG
代理人	agencie	代理人	agencie	N	N;VOC;MASC;SG
代理人	agent	代理人	agent	N	N;NOM;MASC;SG
売春	prostytucji	売春	prostytucja	N	N;GEN;FEM;SG
売春	prostytucja	売春	prostytucja	N	N;NOM;FEM;SG
不全	niewydolnością	不全	niewydolność	N	N;INS;FEM;SG
ドリル	wiertło	ドリル	wiertło	N	N;NOM;NEUT;SG
製造	wytwarzanie	製造	wytwarzać	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
製造	produkcja	製造	produkcja	N	N;NOM;FEM;SG
製造	wytwarzanie	製造	wytwarzać	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
製造	produkcja	製造	produkcja	N	N;NOM;FEM;SG
金髪	blondynki	金髪	blondynka	N	N;NOM;FEM;PL
金髪	blondynka	金髪	blondynka	N	N;NOM;FEM;SG
金髪	blondynka	金髪	blondynka	N	N;NOM;FEM;SG
不幸	nieszczęśliwe	不幸	nieszczęśliwy	ADJ	ADJ;NOM;NEUT;SG
不幸	nieszczęśliwa	不幸	nieszczęśliwy	ADJ	ADJ;NOM;FEM;SG
不幸	niezadowolony	不幸	niezadowolony	ADJ	ADJ;NOM;MASC;SG
不幸	nieszczęśliwy	不幸	nieszczęśliwy	ADJ	ADJ;NOM;MASC;SG
胞子	zarodniki	胞子	zarodnik	N	N;NOM;MASC;PL
溶接	spawania	溶接	spawać	N	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
近似	zbliżenie	近似	zbliżenie	N	N;NOM;NEUT;SG
手動	instrukcja	手動	instrukcja	N	N;NOM;FEM;SG
手動	podręcznik	手動	podręcznik	N	N;ACC;MASC;SG
パルス	impuls	パルス	impuls	N	N;NOM;MASC;SG
パルス	puls	パルス	puls	N	N;NOM;MASC;SG
パルス	tętno	パルス	tętno	N	N;NOM;NEUT;SG
マネージメント	zarządzanie	マネージメント	zarządzać	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
マネージメント	kierownictwo	マネージメント	kierownictwo	N	N;NOM;NEUT;SG
マネージメント	zarząd	マネージメント	zarząd	N	N;NOM;MASC;SG
マネージメント	zarządzania	マネージメント	zarządzanie	N	N;NOM;NEUT;SG
海岸	wybrzeże	海岸	wybrzeże	N	N;NOM;NEUT;SG
電線	kabel	電線	kabel	N	N;ACC;MASC;SG
電線	kable	電線	kabeł	N	N;NOM;MASC;PL
居酒屋	tawernie	居酒屋	tawernie	N	N;DAT;FEM;SG
モーター	motorsports	モーター	motorsports	N	N;NOM;MASC;SG
日数	dni	日数	dzień	N	N;ACC;MASC;PL
未遂	próby	未遂	próba		
クライアント	klienta	クライアント	klient	N	N;ACC;MASC;SG
クライアント	klient	クライアント	klient	N	N;NOM;MASC;SG
クライアント	klientka	クライアント	klientka	N	N;NOM;FEM;SG
クライアント	klienci	クライアント	klient	N	N;NOM;MASC;PL
クライアント	klientów	クライアント	klient	N	N;ACC;MASC;PL
微生物	mikroorganizmy	微生物	mikroorganizm	N	N;NOM;MASC;PL
微生物	mikroorganizmów	微生物	mikroorganizm	N	N;GEN;MASC;PL
ウシ	bydło	ウシ	bydło	N	N;NOM;NEUT;SG
穀物	zboże	穀物	zboże	N	N;NOM;NEUT;SG
保育園	szkółka	保育園	szkółka	N	N;NOM;FEM;SG
下線	podkreślenie	下線	podkreślenie	N	N;NOM;NEUT;SG
下線	podkreślenie	下線	podkreślenie	N	N;NOM;NEUT;SG
フラット	mieszkanie	フラット	mieszkanie	N	N;NOM;NEUT;SG
受け入れる	zaakceptować	受け入れる	zaakceptować	V	V;PFV;NFIN;ACT
受け入れる	akceptuje	受け入れる	akceptować	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
受け入れる	akceptuję	受け入れる	akceptować	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
受け入れる	przyjmij	受け入れる	przyjmie	V	V;PFV;IMP;SG;2;FIN;ACT
迫撃	moździerz	迫撃	moździerz	N	N;NOM;MASC;SG
補助	dopłaty	補助	dopłata	N	N;ACC;FEM;PL
補助	dotacji	補助	dotacja	N	N;GEN;FEM;SG
補助	dotacje	補助	dotacja	N	N;NOM;FEM;PL
シェフ	kucharz	シェフ	kucharz	N	N;NOM;MASC;SG
歯車	bieg	歯車	bieg	N	N;NOM;MASC;SG
パスワード	hasła	パスワード	hasło	N	N;NOM;NEUT;SG
パスワード	hasło	パスワード	hasło	N	N;NOM;NEUT;SG
パスワード	haseł	パスワード	haseł	N	N;GEN;FEM;PL
パスワード	hasła	パスワード	hasło	N	N;NOM;NEUT;SG
メカニック	mechanika	メカニック	mechanika	N	N;ACC;MASC;SG
メカニック	mechanik	メカニック	mechanik	N	N;NOM;MASC;SG
申告	oświadczam	申告	oświadczać	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
赤ちゃん	dziecko	赤ちゃん	dziecko	N	N;NOM;NEUT;SG
赤ちゃん	kochanie	赤ちゃん	kochanie	N	N;NOM;NEUT;SG
赤ちゃん	maluchy	赤ちゃん	maluch	N	N;NOM;MASC;PL
スクロール	przewijanie	スクロール	przewijać	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
スクロール	zwój	スクロール	zwój	N	N;NOM;MASC;SG
会う	poznać	会う	poznać	V	V;PFV;NFIN;ACT
会う	poznaj	会う	poznawać	V	V;PFV;IMP;SG;2;FIN;ACT
弾頭	głowica	弾頭	głowica	N	N;NOM;FEM;SG
セクター	sektor	セクター	sektor	N	N;NOM;MASC;SG
セクター	branża	セクター	branż	N	N;NOM;FEM;SG
セクター	sektory	セクター	sektor	N	N;NOM;MASC;PL
セクター	sektory	セクター	sektor	N	N;NOM;MASC;PL
濃い	silna	濃い	silny	ADJ	ADJ;NOM;FEM;SG
濃い	silny	濃い	silny	ADJ	ADJ;NOM;MASC;SG
濃い	mocne	濃い	mocny	ADJ	ADJ;NOM;NEUT;SG
濃い	silne	濃い	silny	ADJ	ADJ;NOM;NEUT;SG
減らす	zmniejszyć	減らす	zmniejszyć	V	V;PFV;NFIN;ACT
減らす	zmniejszyć	減らす	zmniejszyć	V	V;PFV;NFIN;ACT
減らす	zredukować	減らす	zredukować	V	V;PFV;NFIN;ACT
ネック	kark	ネック	karka	N	N;NOM;MASC;SG
ストライキ	strajk	ストライキ	strajk	N	N;NOM;MASC;SG
スクランブル	jajecznica	スクランブル	jajecznica	N	N;NOM;FEM;SG
スクランブル	jajecznica	スクランブル	jajecznica	N	N;NOM;FEM;SG
レター	list	レター	list	N	N;NOM;MASC;SG
レター	pismo	レター	pismo	N	N;NOM;NEUT;SG
レター	litera	レター	liter	N	N;NOM;FEM;SG
回廊	korytarz	回廊	korytarz	N	N;NOM;MASC;SG
回廊	korytarza	回廊	korytarz	N	N;GEN;MASC;SG
プレゼン	prezentacja	プレゼン	prezentacja	N	N;NOM;FEM;SG
プレゼン	prezentacji	プレゼン	prezentacja	N	N;GEN;FEM;SG
プレゼン	prezentacje	プレゼン	prezentacja	N	N;NOM;FEM;PL
プレゼン	prezentacji	プレゼン	prezentacja	N	N;GEN;FEM;SG
プレゼン	prezentacje	プレゼン	prezentacja	N	N;NOM;FEM;PL
プライド	dumę	プライド	duma	N	N;ACC;FEM;SG
プライド	dumy	プライド	duma	N	N;GEN;FEM;SG
プライド	duma	プライド	duma	N	N;NOM;FEM;SG
テロリスト	terroryści	テロリスト	terrorysta	N	N;NOM;MASC;PL
テロリスト	terrorysta	テロリスト	terrorysta	N	N;NOM;MASC;SG
テロリスト	terroryzm	テロリスト	terroryzm	N	N;NOM;MASC;SG
テロリスト	terrorystów	テロリスト	terrorysta	N	N;ACC;MASC;PL
テロリスト	terroryści	テロリスト	terrorysta	N	N;NOM;MASC;PL
管理人	administracja	管理人	administracja	N	N;NOM;FEM;SG
管理人	administrator	管理人	administrator	N	N;NOM;MASC;SG
管理人	administratora	管理人	administrator	N	N;ACC;MASC;SG
管理人	administratorem	管理人	administrator	N	N;INS;MASC;SG
管理人	administratorów	管理人	administrator	N	N;ACC;MASC;PL
管理人	administratorzy	管理人	administrator	N	N;NOM;MASC;PL
管理人	administratorów	管理人	administrator	N	N;ACC;MASC;PL
管理人	administratorzy	管理人	administrator	N	N;NOM;MASC;PL
管理人	administrator	管理人	administrator	N	N;NOM;MASC;SG
管理人	zarządca	管理人	zarządca	N	N;NOM;MASC;SG
管理人	administratora	管理人	administrator	N	N;ACC;MASC;SG
管理人	administratorem	管理人	administrator	N	N;INS;MASC;SG
持ち込み	nosić	持ち込み	nosić	V	V;IPFV;NFIN;ACT
持ち込み	nieść	持ち込み	nieść	V	V;IPFV;NFIN;ACT
持ち込み	przynieść	持ち込み	przynieść	V	V;PFV;NFIN;ACT
コスチューム	kostium	コスチューム	kostium	N	N;NOM;MASC;SG
コスチューム	kostiumy	コスチューム	kostium	N	N;ACC;MASC;PL
コスチューム	strój	コスチューム	strój	N	N;ACC;MASC;SG
コスチューム	kostiumy	コスチューム	kostium	N	N;ACC;MASC;PL
コスチューム	stroje	コスチューム	strać	N	N;NOM;FEM;PL
波動	fala	波動	fala	N	N;NOM;FEM;SG
波動	fali	波動	fala	N	N;GEN;FEM;SG
波動	fale	波動	fala	N	N;NOM;FEM;PL
スペック	specyfikacja	スペック	specyfikacja	N	N;NOM;FEM;SG
スペック	specyfikacje	スペック	specyfikacja	N	N;NOM;FEM;PL
スペック	specyfikacji	スペック	specyfikacja	N	N;GEN;FEM;SG
スペック	specyfikacja	スペック	specyfikacja	N	N;NOM;FEM;SG
原告	powód	原告	powód	N	N;NOM;MASC;SG
原告	wnioskodawca	原告	wnioskodawca	N	N;NOM;MASC;SG
地主	gospodarz	地主	gospodarz	N	N;NOM;MASC;SG
地主	właściciel	地主	właściciel	N	N;NOM;MASC;SG
チキン	tchórz	チキン	tchórz	N	N;NOM;MASC;SG
チキン	kurczaki	チキン	kurczak	N	N;NOM;MASC;PL
チキン	kurczaka	チキン	kurczak	N	N;GEN;MASC;SG
コールド	chłód	コールド	chłód	N	N;NOM;MASC;SG
プライス	ceny	プライス	cena	N	N;NOM;FEM;PL
待遇	traktowanie	待遇	traktować	N	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
待遇	leczenie	待遇	leczenie	N	N;NOM;NEUT;SG
待遇	kuracja	待遇	kuracja	N	N;NOM;FEM;SG
北極	arktyce	北極	arktyka	N	N;GEN;FEM;SG
すごい	niesamowite	すごい	niesamowity	ADJ	ADJ;NOM;NEUT;SG
すごい	niesamowity	すごい	niesamowity	ADJ	ADJ;NOM;MASC;SG
吹雪	zamieć	吹雪	zamieć	N	N;NOM;FEM;SG
ジュース	soku	ジュース	sok	N	N;GEN;MASC;SG
ジュース	soki	ジュース	sok	N	N;NOM;MASC;PL
ジュース	soki	ジュース	sok	N	N;NOM;MASC;PL
従兄弟	kuzyn	従兄弟	kuzyn	N	N;NOM;MASC;SG
従兄弟	kuzynka	従兄弟	kuzynek	N	N;NOM;FEM;SG
従兄弟	kuzynie	従兄弟	kuzynia	N	N;DAT;MASC;SG
用心	bramkarz	用心	bramkarz	N	N;NOM;MASC;SG
ギルド	gildii	ギルド	gildia	N	N;GEN;FEM;SG
ステッカー	naklejki	ステッカー	naklejka	N	N;NOM;FEM;PL
ステッカー	naklejki	ステッカー	naklejka	N	N;NOM;FEM;PL
浅い	płytkie	浅い	płytki	ADJ	ADJ;NOM;NEUT;SG
浅い	płytka	浅い	płytki	ADJ	ADJ;NOM;FEM;SG
故人	zmarłego	故人	zmarły	N	N;ACC;MASC;SG
エッグ	jaja	エッグ	jajo	N	N;NOM;NEUT;SG
エッグ	jajka	エッグ	jajko	N	N;NOM;NEUT;SG
エッグ	jajeczka	エッグ	jajeczka	N	N;NOM;NEUT;SG
エッグ	jajka	エッグ	jajko	N	N;NOM;NEUT;SG
スキン	skóry	スキン	skóra	N	N;GEN;FEM;SG
スキン	skórki	スキン	skórka	N	N;ACC;FEM;SG
スキン	skórek	スキン	skórka	N	N;GEN;FEM;PL
スキン	skóry	スキン	skóra	N	N;GEN;FEM;SG
スキン	skórę	スキン	skóra	N	N;ACC;FEM;SG
スキン	skóra	スキン	skóra	N	N;NOM;FEM;SG
ヌード	nagości	ヌード	nagość	N	N;GEN;FEM;SG
ヌード	nagość	ヌード	nagość	N	N;NOM;FEM;SG
ヌード	nagi	ヌード	nagi	N	N;NOM;MASC;SG
ヌード	nagość	ヌード	nagość	N	N;NOM;FEM;SG
ヌード	akty	ヌード	akt	N	N;NOM;MASC;PL
公害	zanieczyszczenia	公害	zanieczyszczyć	N	N;PFV;GEN;NEUT;SG;POS;V.MSDR
公害	zanieczyszczenie	公害	zanieczyszczenie	N	N;PFV;NOM;NEUT;SG;POS;V.MSDR
インフルエンザ	grypa	インフルエンザ	grypa	N	N;NOM;FEM;SG
インフルエンザ	grypę	インフルエンザ	grypa	N	N;ACC;FEM;SG
インフルエンザ	grypa	インフルエンザ	grypa	N	N;NOM;FEM;SG
インフルエンザ	grypę	インフルエンザ	grypa	N	N;ACC;FEM;SG
関税	taryfy	関税	taryfa	N	N;ACC;FEM;PL
関税	taryfa	関税	taryfa	N	N;NOM;FEM;SG
毒性	toksyczności	毒性	toksyczność	N	N;GEN;FEM;SG
毒性	toksyczność	毒性	toksyczność	N	N;NOM;FEM;SG
メカニズム	mechanizmy	メカニズム	mechanizm	N	N;NOM;MASC;PL
メカニズム	mechanizmów	メカニズム	mechanizm	N	N;GEN;MASC;PL
メカニズム	mechanizm	メカニズム	mechanizm	N	N;NOM;MASC;SG
メカニズム	mechanizmy	メカニズム	mechanizm	N	N;NOM;MASC;PL
メカニズム	mechanizmu	メカニズム	mechanizm	N	N;GEN;MASC;SG
ファンタジア	fantazji	ファンタジア	fantazja	N	N;GEN;FEM;SG
ファンタジア	fantazja	ファンタジア	fantazja	N	N;NOM;FEM;SG
燃える	pali	燃える	palić	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
