من	от	مِن	от	ADP	ADP
سطر	реплика	سِطر	реплика	N;NOM;INDF;SG	N;INDF;FEM;SG
سطر	линия	سِطر	линия	N;NOM;INDF;SG	N;INDF;FEM;SG
خط	реплика	خَطّ	реплика	N;NOM;INDF;SG	N;INDF;FEM;SG
خط	линия	خَطّ	линия	N;NOM;INDF;SG	N;INDF;FEM;SG
خط	шрифт	خَطّ	шрифт	N;NOM;INDF;SG	N;INDF;MASC;SG
التعداد	преброяването	تَعدَاد	преброяване	N;NOM;DEF;SG	N;DEF;NEUT;SG
مدينة	град	مَدِينَة	град	N;NOM;INDF;SG	N;INDF;MASC;SG
مدينة	сити	مَدِينَة	сит	N;NOM;INDF;SG	N;INDF;MASC;SG
المدينة	градът	مَدِينَة	град	N;NOM;DEF;SG	N;DEF;MASC;SG
المدينة	градът	مَدِينَة	град	N;NOM;DEF;SG	N;DEF;MASC;SG
قبل	преди	قَبلَ	преди	ADP;ACC	ADP
كرة	топка	كُرَة	топка	N;NOM;INDF;SG	N;INDF;FEM;SG
كرة	бал	كُرَة	бал	N;NOM;INDF;SG	N;INDF;MASC;SG
كرة	бол	كُرَة	бол	N;NOM;INDF;SG	N;INDF;MASC;SG
مساحة	зона	مِسَاحَة	зона	N;NOM;INDF;SG	N;INDF;FEM;SG
مساحة	площ	مِسَاحَة	площ	N;NOM;INDF;SG	N;INDF;FEM;SG
مساحة	област	مِسَاحَة	област	N;NOM;INDF;SG	N;INDF;FEM;SG
مساحة	район	مِسَاحَة	район	N;NOM;INDF;SG	N;INDF;MASC;SG
مساحة	пространство	مِسَاحَة	пространство	N;NOM;INDF;SG	N;INDF;NEUT;SG
مساحة	космос	مِسَاحَة	космос	N;NOM;INDF;SG	N;INDF;MASC;SG
محافظة	провинция	مُحَافَظَة	провинция	N;NOM;INDF;SG	N;INDF;FEM;SG
خلال	чрез	خِلَالَ	чрез	ADP;ACC	ADP
خلال	през	خِلَالَ	през	ADP;ACC	ADP
الولايات	мандатите	وِلَايَة	мандат	N;NOM;DEF;PL	N;DEF;MASC;PL
الصورة	снимката	صُورَة	снимка	N;NOM;DEF;SG	N;DEF;FEM;SG
خريطة	карта	خَرِيطَة	карта	N;NOM;INDF;SG	N;INDF;FEM;SG
فرق	отбори	فِرقَة	отбор	N;NOM;INDF;PL	N;INDF;MASC;PL
فرق	екипи	فِرقَة	екип	N;NOM;INDF;PL	N;INDF;MASC;PL
قائمة	меню	قَائِمَة	аз	N;NOM;INDF;SG	N;INDF;NEUT;SG
قائمة	списък	قَائِمَة	списък	N;NOM;INDF;SG	N;INDF;MASC;SG
مقاطعة	окръг	مُقَاطَعَة	окръг	N;NOM;INDF;SG	N;INDF;MASC;SG
مقاطعة	графство	مُقَاطَعَة	графство	N;NOM;INDF;SG	N;INDF;NEUT;SG
مقاطعة	провинция	مُقَاطَعَة	провинция	N;NOM;INDF;SG	N;INDF;FEM;SG
مقاطعة	бойкот	مُقَاطَعَة	бойкот	N;NOM;INDF;SG	N;INDF;MASC;SG
تقسيم	дял	تَقسِيم	дял	N;NOM;INDF;SG	N;INDF;MASC;SG
تقسيم	разделяне	تَقسِيم	разделяне	N;NOM;INDF;SG	N;INDF;NEUT;SG
تقسيم	сплит	تَقسِيم	сплит	N;NOM;INDF;SG	N;INDF;MASC;SG
تقسيم	разделяне	تَقسِيم	разделяне	N;NOM;INDF;SG	N;INDF;NEUT;SG
العالم	света	عَالَم	свят	N;NOM;DEF;SG	N;DEF;MASC;SG
القرن	века	قَرن	век	N;NOM;DEF;SG	N;DEF;MASC;SG
منطقة	район	مِنطَقَة	район	N;NOM;INDF;SG	N;INDF;MASC;SG
منطقة	регион	مِنطَقَة	регион	N;NOM;INDF;SG	N;INDF;MASC;SG
منطقة	област	مِنطَقَة	област	N;NOM;INDF;SG	N;INDF;FEM;SG
منطقة	окръг	مِنطَقَة	окръг	N;NOM;INDF;SG	N;INDF;MASC;SG
منطقة	област	مِنطَقَة	област	N;NOM;INDF;SG	N;INDF;FEM;SG
منطقة	район	مِنطَقَة	район	N;NOM;INDF;SG	N;INDF;MASC;SG
منطقة	зона	مِنطَقَة	зона	N;NOM;INDF;SG	N;INDF;FEM;SG
منطقة	зона	مِنطَقَة	зона	N;NOM;INDF;SG	N;INDF;FEM;SG
منطقة	площ	مِنطَقَة	площ	N;NOM;INDF;SG	N;INDF;FEM;SG
منطقة	област	مِنطَقَة	област	N;NOM;INDF;SG	N;INDF;FEM;SG
منطقة	район	مِنطَقَة	район	N;NOM;INDF;SG	N;INDF;MASC;SG
مدن	градове	مَدِينَة	град	N;NOM;INDF;PL	N;INDF;MASC;PL
مدن	градчета	مَدِينَة	градче	N;NOM;INDF;PL	N;INDF;NEUT;PL
مدن	градове	مَدِينَة	град	N;NOM;INDF;PL	N;INDF;MASC;PL
تعداد	изброяване	تَعدَاد	изброяване	N;NOM;INDF;SG	N;INDF;NEUT;SG
تعداد	преброяване	تَعدَاد	преброяване	N;NOM;INDF;SG	N;INDF;NEUT;SG
نتيجة	резултат	نَتِيجَة	резултат	N;ACC;INDF;SG	N;INDF;MASC;SG
الكلية	колежа	كُلِّيَّة	колеж	N;NOM;DEF;SG	N;DEF;MASC;SG
الكلية	колежът	كُلِّيَّة	колеж	N;NOM;DEF;SG	N;DEF;MASC;SG
الكلية	факултета	كُلِّيَّة	факултет	N;NOM;DEF;SG	N;DEF;MASC;SG
ولاية	щат	وِلَايَة	щат	N;NOM;INDF;SG	N;INDF;MASC;SG
ولاية	държава	وِلَايَة	държава	N;NOM;INDF;SG	N;INDF;FEM;SG
العرض	офертата	عَرض	оферта	N;NOM;DEF;SG	N;DEF;FEM;SG
جامعة	университет	جَامِعَة	университет	N;NOM;INDF;SG	N;INDF;MASC;SG
الحياة	живота	حَيَاة	живот	N;NOM;DEF;SG	N;DEF;MASC;SG
الحياة	животът	حَيَاة	живот	N;NOM;DEF;SG	N;DEF;MASC;SG
وصلات	връзки	وُصلَة	връзка	N;NOM;INDF;PL	N;INDF;FEM;PL
مجموعة	група	مَجمُوعَة	група	N;NOM;INDF;SG	N;INDF;FEM;SG
مجموعة	групиране	مَجمُوعَة	групиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
مجموعة	събиране	مَجمُوعَة	събиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
مجموعة	колекция	مَجمُوعَة	колекция	N;NOM;INDF;SG	N;INDF;FEM;SG
قرى	селища	قَريَة	селище	N;NOM;INDF;PL	N;INDF;NEUT;PL
قرى	села	قَريَة	село	N;NOM;INDF;PL	N;INDF;NEUT;PL
موقع	местоположение	مَوقِع	местоположение	N;NOM;INDF;SG	N;INDF;NEUT;SG
موقع	място	مَوقِع	място	N;NOM;INDF;SG	N;INDF;NEUT;SG
موقع	местонахождение	مَوقِع	местонахождение	N;NOM;INDF;SG	N;INDF;NEUT;SG
موقع	локация	مَوقِع	локация	N;NOM;INDF;SG	N;INDF;FEM;SG
مكان	място	مَكَان	място	N;NOM;INDF;SG	N;INDF;NEUT;SG
نقاش	дискусия	نِقَاش	дискусия	N;NOM;INDF;SG	N;INDF;FEM;SG
نقاش	обсъждане	نِقَاش	обсъждане	N;NOM;INDF;SG	N;INDF;NEUT;SG
نقاش	разискване	نِقَاش	разискване	N;NOM;INDF;SG	N;INDF;NEUT;SG
نقاش	дебат	نِقَاش	дебат	N;NOM;INDF;SG	N;INDF;MASC;SG
هناك	там	هُنَاكَ	там	ADV	ADV
تحت	под	تَحتَ	под	ADP;ACC	ADP
حجم	обем	حَجم	обем	N;NOM;INDF;SG	N;INDF;MASC;SG
حجم	големина	حَجم	големина	N;NOM;INDF;SG	N;INDF;FEM;SG
حجم	размер	حَجم	размер	N;NOM;INDF;SG	N;INDF;MASC;SG
المحافظة	провинцията	مُحَافَظَة	провинция	N;NOM;DEF;SG	N;DEF;FEM;SG
الحرب	войната	حَرب	война	N;NOM;DEF;SG	N;DEF;FEM;SG
قرية	село	قَريَة	село	N;NOM;INDF;SG	N;INDF;NEUT;SG
العام	годината	عَام	година	N;NOM;DEF;SG	N;DEF;FEM;SG
رئيس	президент	رَئِيس	президент	N;NOM;INDF;SG	N;INDF;MASC;SG
رئيس	председател	رَئِيس	председател	N;NOM;INDF;SG	N;INDF;MASC;SG
رئيس	началник	رَئِيس	началник	N;NOM;INDF;SG	N;INDF;MASC;SG
الوفاة	смъртта	وَفَاة	смърт	N;NOM;DEF;SG	N;DEF;FEM;SG
شعار	лозунг	شِعَار	лозунг	N;NOM;INDF;SG	N;INDF;MASC;SG
شعار	лого	شِعَار	лого	N;NOM;INDF;SG	N;INDF;NEUT;SG
شعار	девиз	شِعَار	девиз	N;NOM;INDF;SG	N;INDF;MASC;SG
شعار	мото	شِعَار	мото	N;NOM;INDF;SG	N;INDF;NEUT;SG
شعار	герб	شِعَار	герб	N;NOM;INDF;SG	N;INDF;MASC;SG
شعار	емблема	شِعَار	емблем	N;NOM;INDF;SG	N;INDF;FEM;SG
عزلة	изолиране	عُزلَة	изолиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
عزلة	изолация	عُزلَة	изолация	N;NOM;INDF;SG	N;INDF;FEM;SG
عزلة	усамотение	عُزلَة	усамотение	N;NOM;INDF;SG	N;INDF;NEUT;SG
عزلة	самота	عُزلَة	самота	N;NOM;INDF;SG	N;INDF;FEM;SG
عزلة	уединение	عُزلَة	уединение	N;NOM;INDF;SG	N;INDF;NEUT;SG
كتاب	тефтер	كِتَاب	тефтер	N;NOM;INDF;SG	N;INDF;MASC;SG
كتاب	книга	كِتَاب	книга	N;NOM;INDF;SG	N;INDF;FEM;SG
مديرية	дирекция	مُدِيرِيَّة	дирекция	N;NOM;INDF;SG	N;INDF;FEM;SG
حول	относно	حَولَ	относно	ADP;ACC	ADP
الخريطة	картата	خَرِيطَة	карта	N;NOM;DEF;SG	N;DEF;FEM;SG
عشر	десет	عَشَرَة	десет	NUM;MASC	NUM;INDF;PL
سنوات	години	سَنَة	година	N;NOM;INDF;PL	N;INDF;FEM;PL
يوم	ден	يَوم	ден	N;NOM;INDF;SG	N;INDF;MASC;SG
كتابة	писане	كِتَابَة	писане	N;NOM;INDF;SG	N;INDF;NEUT;SG
ولا	нито	وَلّ	нито	CONJ	CONJ
طريق	път	طَرِيق	път	N;NOM;INDF;SG	N;INDF;MASC;SG
طريق	road	طَرِيق	road	N;NOM;INDF;SG	N;INDF;MASC;SG
الدين	религията	دِين	религия	N;NOM;DEF;SG	N;DEF;FEM;SG
مركز	център	مَركَز	център	N;NOM;INDF;SG	N;INDF;MASC;SG
مركز	център	مَركَز	център	N;NOM;INDF;SG	N;INDF;MASC;SG
ملف	файл	مِلَفّ	файл	N;NOM;INDF;SG	N;INDF;MASC;SG
ملف	досие	مِلَفّ	досие	N;NOM;INDF;SG	N;INDF;NEUT;SG
مجلس	съвет	مَجلِس	съвет	N;NOM;INDF;SG	N;INDF;MASC;SG
قيد	принуда	قَيد	принуда	N;NOM;INDF;SG	N;INDF;FEM;SG
قال	каза	قَال	кажа	V;PFV;MASC;SG;3;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
الملك	кралят	مَلِك	крал	N;NOM;DEF;SG	N;DEF;MASC;SG
الملك	краля	مَلِك	крал	N;NOM;DEF;SG	N;DEF;MASC;SG
الاسم	името	اِسم	име	N;NOM;DEF;SG	N;DEF;NEUT;SG
ولد	момче	وَلَد	момче	N;NOM;INDF;SG	N;INDF;NEUT;SG
ولد	момченце	وَلَد	момченце	N;NOM;INDF;SG	N;INDF;NEUT;SG
البحر	морето	بَحر	море	N;NOM;DEF;SG	N;DEF;NEUT;SG
شركة	фирма	شَرِكَة	фирма	N;NOM;INDF;SG	N;INDF;FEM;SG
شركة	дружество	شَرِكَة	дружество	N;NOM;INDF;SG	N;INDF;NEUT;SG
شركة	компания	شَرِكَة	компания	N;NOM;INDF;SG	N;INDF;FEM;SG
شركة	рота	شَرِكَة	рота	N;NOM;INDF;SG	N;INDF;FEM;SG
شركة	фирма	شَرِكَة	фирма	N;NOM;INDF;SG	N;INDF;FEM;SG
فيلم	филм	فِيلم	филм	N;NOM;INDF;SG	N;INDF;MASC;SG
فيلم	филм	فِيلم	филм	N;NOM;INDF;SG	N;INDF;MASC;SG
فيلم	лента	فِيلم	лента	N;NOM;INDF;SG	N;INDF;FEM;SG
صورة	снимка	صُورَة	снимка	N;NOM;INDF;SG	N;INDF;FEM;SG
صورة	фото	صُورَة	фото	N;NOM;INDF;SG	N;INDF;MASC;SG
صورة	имидж	صُورَة	имидж	N;NOM;INDF;SG	N;INDF;MASC;SG
صورة	картинка	صُورَة	картинка	N;NOM;INDF;SG	N;INDF;FEM;SG
صورة	образ	صُورَة	образ	N;NOM;INDF;SG	N;INDF;MASC;SG
صورة	изображение	صُورَة	изображение	N;NOM;INDF;SG	N;INDF;NEUT;SG
صورة	снимка	صُورَة	снимка	N;NOM;INDF;SG	N;INDF;FEM;SG
صورة	картинка	صُورَة	картинка	N;NOM;INDF;SG	N;INDF;FEM;SG
بطولة	първенство	بُطُولَة	първенство	N;NOM;INDF;SG	N;INDF;NEUT;SG
بطولة	шампионат	بُطُولَة	шампионат	N;NOM;INDF;SG	N;INDF;MASC;SG
بطولة	турнир	بُطُولَة	турнир	N;NOM;INDF;SG	N;INDF;MASC;SG
نباتات	растения	نَبَات	растение	N;NOM;INDF;PL	N;INDF;NEUT;PL
نباتات	заводи	نَبَات	завод	N;NOM;INDF;PL	N;INDF;MASC;PL
نباتات	инсталации	نَبَات	инсталация	N;NOM;INDF;PL	N;INDF;FEM;PL
الولادة	раждането	وِلَادَة	раждане	N;NOM;DEF;SG	N;DEF;NEUT;SG
الدوري	лигата	دَورِيّ	лига	N;NOM;DEF;SG	N;DEF;FEM;SG
خلفية	фон	خَلفِيَّة	фон	N;NOM;INDF;SG	N;INDF;MASC;SG
خلفية	контекст	خَلفِيَّة	контекст	N;NOM;INDF;SG	N;INDF;MASC;SG
فقط	само	فَقَط	само	ADV	ADV
فقط	единствено	فَقَط	единствено	ADV	ADV
فقط	просто	فَقَط	просто	ADV	ADV
فقط	само	فَقَط	само	ADV	ADV
جائزة	награда	جَائِزَة	награда	N;NOM;INDF;SG	N;INDF;FEM;SG
جائزة	възлагане	جَائِزَة	възлагане	N;NOM;INDF;SG	N;INDF;NEUT;SG
جائزة	награда	جَائِزَة	награда	N;NOM;INDF;SG	N;INDF;FEM;SG
نظام	система	نِظَام	система	N;NOM;INDF;SG	N;INDF;FEM;SG
قسم	отдел	قِسم	отдел	N;NOM;INDF;SG	N;INDF;MASC;SG
قسم	департамент	قِسم	департамент	N;NOM;INDF;SG	N;INDF;MASC;SG
قسم	сечение	قِسم	сечение	N;NOM;INDF;SG	N;INDF;NEUT;SG
قسم	секция	قِسم	секция	N;NOM;INDF;SG	N;INDF;FEM;SG
قسم	раздел	قِسم	раздел	N;NOM;INDF;SG	N;INDF;MASC;SG
فترة	период	فَترَة	период	N;NOM;INDF;SG	N;INDF;MASC;SG
ضد	срещу	ضِدَّ	срещу	ADP;ACC	ADP
ضد	против	ضِدَّ	против	ADP;ACC	ADP
مارس	март	مَارِس	март	N;GEN;INDF;SG	N;INDF;MASC;SG
رقم	брой	رَقم	брой	N;NOM;INDF;SG	N;INDF;MASC;SG
رقم	число	رَقم	число	N;NOM;INDF;SG	N;INDF;NEUT;SG
رقم	номер	رَقم	номер	N;NOM;INDF;SG	N;INDF;MASC;SG
اليوم	денят	يَوم	ден	N;ACC;DEF;SG	N;DEF;MASC;SG
يناير	януари	يَنَايِر	януари	N;GEN;INDF;SG	N;INDF;MASC;SG
اللغة	езикът	لُغَة	език	N;NOM;DEF;SG	N;DEF;MASC;SG
اللغة	езика	لُغَة	език	N;NOM;DEF;SG	N;DEF;MASC;SG
عمل	работа	عَمَل	работа	N;NOM;INDF;SG	N;INDF;FEM;SG
عمل	йов	عَمَل	йов	N;NOM;INDF;SG	N;INDF;MASC;SG
عمل	работа	عَمَل	работа	N;NOM;INDF;SG	N;INDF;FEM;SG
عمل	труд	عَمَل	труд	N;NOM;INDF;SG	N;INDF;MASC;SG
عمل	бизнес	عَمَل	бизнес	N;NOM;INDF;SG	N;INDF;MASC;SG
جنوب	южен	جَنُوب	южен	N;NOM;INDF;SG	N;INDF;MASC;SG
جنوب	южен	جَنُوب	южен	N;NOM;INDF;SG	N;INDF;MASC;SG
جنوب	юг	جَنُوب	юг	N;NOM;INDF;SG	N;INDF;MASC;SG
كبير	голям	كَبِير	голям	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
كبير	голяма	كَبِير	голям	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
الوقت	времето	وَقت	време	N;NOM;DEF;SG	N;DEF;NEUT;SG
عملية	процес	عَمَلِيَّة	процес	N;NOM;INDF;SG	N;INDF;MASC;SG
عملية	експлоатация	عَمَلِيَّة	експлоатация	N;NOM;INDF;SG	N;INDF;FEM;SG
عملية	функциониране	عَمَلِيَّة	функциониране	N;NOM;INDF;SG	N;INDF;NEUT;SG
عملية	операция	عَمَلِيَّة	операция	N;NOM;INDF;SG	N;INDF;FEM;SG
فبراير	февруари	فِبرَايِر	февруари	N;GEN;INDF;SG	N;INDF;MASC;SG
فبراير	февруари	فِبرَايِر	февруари	N;GEN;INDF;SG	N;INDF;MASC;SG
يونيو	джун	يُونِيُو	джун	N;GEN;INDF;SG	N;INDF;MASC;SG
يونيو	юни	يُونِيُو	юни	N;GEN;INDF;SG	N;INDF;MASC;SG
يوليو	юли	يُولِيُو	юли	N;GEN;INDF;SG	N;INDF;MASC;SG
شمال	север	شَمَال	север	N;NOM;INDF;SG	N;INDF;MASC;SG
شمال	северен	شَمَال	северен	N;NOM;INDF;SG	N;INDF;MASC;SG
مراجع	препратки	مَرجَع	препратка	N;NOM;INDF;PL	N;INDF;FEM;PL
مراجع	препоръки	مَرجَع	препоръка	N;NOM;INDF;PL	N;INDF;FEM;PL
مراجع	позовавания	مَرجَع	позовавам-(се)	N;NOM;INDF;PL	N;INDF;NEUT;PL
الاتحاد	съюза	اِتِّحَاد	съюз	N;NOM;DEF;SG	N;DEF;MASC;SG
الاتحاد	федерацията	اِتِّحَاد	федерация	N;NOM;DEF;SG	N;DEF;FEM;SG
الاتحاد	конфедерацията	اِتِّحَاد	конфедерация	N;NOM;DEF;SG	N;DEF;FEM;SG
سبتمبر	септември	سِبتَمبِر	септември	N;GEN;INDF;SG	N;INDF;MASC;SG
عبر	чрез	عَبرَ	чрез	ADP;ACC	ADP
عبر	чрез	عَبرَ	чрез	ADP;ACC	ADP
عبر	през	عَبرَ	през	ADP;ACC	ADP
استخدام	използване	اِستِخدَام	използване	N;NOM;INDF;SG	N;INDF;NEUT;SG
استخدام	употреба	اِستِخدَام	употреба	N;NOM;INDF;SG	N;INDF;FEM;SG
فريق	отбор	فَرِيق	отбор	N;NOM;INDF;SG	N;INDF;MASC;SG
فريق	екип	فَرِيق	екип	N;NOM;INDF;SG	N;INDF;MASC;SG
ديسمبر	декември	دِيسَمبِر	декември	N;GEN;INDF;SG	N;INDF;MASC;SG
ديسمبر	декември	دِيسَمبِر	декември	N;GEN;INDF;SG	N;INDF;MASC;SG
ديسمبر	дек	دِيسَمبِر	дек	N;GEN;INDF;SG	N;INDF;FEM;SG
كبيرة	голям	كَبِير	голям	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
كبيرة	голяма	كَبِير	голям	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
كبيرة	голям	كَبِير	голям	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
كبيرة	голяма	كَبِير	голям	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
الجيش	армията	جَيش	армия	N;NOM;DEF;SG	N;DEF;FEM;SG
نوفمبر	ноември	نُوفِمبِر	ноември	N;GEN;INDF;SG	N;INDF;MASC;SG
نوفمبر	ноември	نُوفِمبِر	ноември	N;GEN;INDF;SG	N;INDF;MASC;SG
المديرية	дирекцията	مُدِيرِيّ	дирекция	N;NOM;DEF;SG	N;DEF;FEM;SG
لاعب	плеър	لَاعِب	плеър	N;NOM;INDF;SG	N;INDF;MASC;SG
لاعب	играч	لَاعِب	играч	N;NOM;INDF;SG	N;INDF;MASC;SG
دولة	щат	دَولَة	щат	N;NOM;INDF;SG	N;INDF;MASC;SG
دولة	държава	دَولَة	държава	N;NOM;INDF;SG	N;INDF;FEM;SG
بلدة	град	بَلدَة	град	N;NOM;INDF;SG	N;INDF;MASC;SG
بلدة	градче	بَلدَة	градче	N;NOM;INDF;SG	N;INDF;NEUT;SG
درجة	градус	دَرَجَة	градус	N;NOM;INDF;SG	N;INDF;MASC;SG
درجة	степен	دَرَجَة	степен	N;NOM;INDF;SG	N;INDF;FEM;SG
خاصة	частна	خَاصّ	частен	ADJ;ACC;INDF;FEM;SG	ADJ;INDF;FEM;SG
خاصة	личен	خَاصّ	личен	ADJ;ACC;INDF;FEM;SG	ADJ;INDF;MASC;SG
خاصة	частен	خَاصّ	частен	ADJ;ACC;INDF;FEM;SG	ADJ;INDF;MASC;SG
خاصة	специална	خَاصّ	специален	ADJ;ACC;INDF;FEM;SG	ADJ;INDF;FEM;SG
خاصة	специален	خَاصّ	специален	ADJ;ACC;INDF;FEM;SG	ADJ;INDF;MASC;SG
ملعب	естадио	مَلعَب	естадио	N;NOM;INDF;SG	N;INDF;MASC;SG
ملعب	площадка	مَلعَب	площадка	N;NOM;INDF;SG	N;INDF;FEM;SG
ملعب	игрище	مَلعَب	игрище	N;NOM;INDF;SG	N;INDF;NEUT;SG
ملعب	стадион	مَلعَب	стадион	N;NOM;INDF;SG	N;INDF;MASC;SG
متر	метър	مِتر	метър	N;NOM;INDF;SG	N;INDF;MASC;SG
متر	метър	مِتر	метър	N;NOM;INDF;SG	N;INDF;MASC;SG
حالة	статус	حَالَة	статус	N;NOM;INDF;SG	N;INDF;MASC;SG
حالة	състояние	حَالَة	състояние	N;NOM;INDF;SG	N;INDF;NEUT;SG
حالة	положение	حَالَة	положение	N;NOM;INDF;SG	N;INDF;NEUT;SG
حالة	статут	حَالَة	статут	N;NOM;INDF;SG	N;INDF;MASC;SG
حالة	случай	حَالَة	случай	N;NOM;INDF;SG	N;INDF;MASC;SG
حالة	дело	حَالَة	дело	N;NOM;INDF;SG	N;INDF;NEUT;SG
حالة	кейс	حَالَة	кейс	N;NOM;INDF;SG	N;INDF;MASC;SG
حالة	каса	حَالَة	каса	N;NOM;INDF;SG	N;INDF;FEM;SG
حالة	състояние	حَالَة	състояние	N;NOM;INDF;SG	N;INDF;NEUT;SG
حالة	условие	حَالَة	условие	N;NOM;INDF;SG	N;INDF;NEUT;SG
كلية	колеж	كُلِّيَّة	колеж	N;NOM;INDF;SG	N;INDF;MASC;SG
كلية	бъбрек	كُلِّيَّة	бъбрек	N;NOM;INDF;SG	N;INDF;MASC;SG
كلية	факултет	كُلِّيَّة	факултет	N;NOM;INDF;SG	N;INDF;MASC;SG
الرئيس	президентът	رَئِيس	президент	N;NOM;DEF;SG	N;DEF;MASC;SG
الرئيس	председателят	رَئِيس	председател	N;NOM;DEF;SG	N;DEF;MASC;SG
بداية	начало	بِدَايَة	начало	N;NOM;INDF;SG	N;INDF;NEUT;SG
بداية	старт	بِدَايَة	старт	N;NOM;INDF;SG	N;INDF;MASC;SG
بداية	стартиране	بِدَايَة	стартиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
بداية	начало	بِدَايَة	начало	N;NOM;INDF;SG	N;INDF;NEUT;SG
شرق	изток	شَرق	изток	N;NOM;INDF;SG	N;INDF;MASC;SG
شرق	изток	شَرق	изток	N;NOM;INDF;SG	N;INDF;MASC;SG
قوالب	шаблони	قَالَب	шаблон	N;NOM;INDF;PL	N;INDF;MASC;PL
قوالب	образци	قَالَب	образец	N;NOM;INDF;PL	N;INDF;MASC;PL
العزلة	самотата	عُزلَة	самота	N;NOM;DEF;SG	N;DEF;FEM;SG
وسط	централа	وَسط	централа	N;NOM;INDF;SG	N;INDF;FEM;SG
دور	роля	دَور	роля	N;NOM;INDF;SG	N;INDF;FEM;SG
السنة	годината	سَنَة	година	N;NOM;DEF;SG	N;DEF;FEM;SG
حكم	рефер	حُكم	рефер	N;NOM;INDF;SG	N;INDF;MASC;SG
حكم	съдия	حُكم	съдия	N;NOM;INDF;SG	N;INDF;MASC;SG
حكم	арбитър	حُكم	арбитър	N;NOM;INDF;SG	N;INDF;MASC;SG
شكل	форма	شَكل	форма	N;NOM;INDF;SG	N;INDF;FEM;SG
شكل	формуляр	شَكل	формуляр	N;NOM;INDF;SG	N;INDF;MASC;SG
شكل	форма	شَكل	форма	N;NOM;INDF;SG	N;INDF;FEM;SG
نسبة	съотношение	نِسبَة	съотношение	N;NOM;INDF;SG	N;INDF;NEUT;SG
نسبة	коефициент	نِسبَة	коефициент	N;NOM;INDF;SG	N;INDF;MASC;SG
نسبة	съотношение	نِسبَة	съотношение	N;NOM;INDF;SG	N;INDF;NEUT;SG
حرب	война	حَرب	война	N;NOM;INDF;SG	N;INDF;FEM;SG
الجهاز	устройството	جِهَاز	устройство	N;NOM;DEF;SG	N;DEF;NEUT;SG
دار	дар	دَار	дар	N;NOM;INDF;SG	N;INDF;MASC;SG
ثلاثة	три	ثَلَاثَة	три	NUM;NOM;INDF;MASC	NUM;INDF;PL
ثلاثة	трима	ثَلَاثَة	трима	NUM;NOM;INDF;MASC	NUM;INDF;PL
صفحة	страница	صَفحَة	страница	N;NOM;INDF;SG	N;INDF;FEM;SG
