この	هذا	この	هٰذَا	DET	DET;NOM;MASC;SG
社会	الجمعيات	社会	جَمعِيَّة	N	N;NOM;DEF;PL
開催	عقدت	開催	عَقَد	V	V;PFV;FEM;SG;3;PASS
シングル	عزباء	シングル	عَزِيب	N	N;NOM;INDF;SG
センター	المركز	センター	مَركَز	N	N;NOM;DEF;SG
センター	المنتصف	センター	مُنتَصَف	N	N;NOM;DEF;SG
センター	الوسط	センター	وَسط	N	N;NOM;DEF;SG
センター	مركز	センター	مَركَز	N	N;NOM;INDF;SG
センター	المركز	センター	مَركَز	N	N;NOM;DEF;SG
センター	مركز	センター	مَركَز	N	N;NOM;INDF;SG
終了	استقال	終了	اِستَقَال	V	V;PFV;MASC;SG;3;ACT
終了	انتهيت	終了	اِنتَهَى	V	V;PFV;FEM;SG;3;ACT
終了	انتهت	終了	اِنتَهَى	V	V;PFV;FEM;SG;3;ACT
終了	انتهى	終了	اِنتَهَى	V	V;PFV;MASC;SG;3;ACT
中心	المركز	中心	مَركَز	N	N;NOM;DEF;SG
中心	المنتصف	中心	مُنتَصَف	N	N;NOM;DEF;SG
中心	الوسط	中心	وَسط	N	N;NOM;DEF;SG
中心	مركز	中心	مَركَز	N	N;NOM;INDF;SG
中心	المركز	中心	مَركَز	N	N;NOM;DEF;SG
中心	مركز	中心	مَركَز	N	N;NOM;INDF;SG
内容	محتوى	内容	مُحتَوَى	N	N;NOM;INDF;SG
内容	المحتوى	内容	المحتوى	N	N;NOM;DEF;SG
内容	محتويات	内容	مُحتَوَى	N	N;NOM;INDF;PL
内容	المضمون	内容	المضمون	N	N;NOM;DEF;SG
内容	محتويات	内容	مُحتَوَى	N	N;NOM;INDF;PL
文化	الثقافة	文化	ثَقَافَة	N	N;NOM;DEF;SG
文化	ثقافة	文化	ثَقَافَة	N	N;NOM;INDF;SG
ドラマ	دراما	ドラマ	دِرَامَا	N	N;NOM;INDF;PL
ドラマ	الدراما	ドラマ	دِرَامَا	N	N;NOM;DEF;PL
選手権	البطولات	選手権	البطولات	N	N;NOM;DEF;PL
選手権	بطولات	選手権	بُطُولَة	N	N;NOM;INDF;PL
選手権	البطولة	選手権	بُطُولَة	N	N;NOM;DEF;SG
選手権	بطولة	選手権	بُطُولَة	N	N;NOM;INDF;SG
野球	البيسبول	野球	بِيسبُول	N	N;NOM;DEF;SG
指定	حدد	指定	حَدَّد	V	V;PFV;MASC;SG;3;ACT
以下	ادناه	以下	ادناه	N	N;NOM;INDF;SG
卒業	تخرجت	卒業	تَخَرَّج	V	V;PFV;FEM;SG;3;ACT
卒業	تخرج	卒業	خَرَج	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
卒業	تخرج	卒業	خَرَج	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
人物	شخص	人物	شَخص	N	N;NOM;INDF;SG
人物	الشخص	人物	شَخص	N	N;NOM;DEF;SG
最終	نهائي	最終	نِهَائِيّ	N	N;NOM;INDF;SG
アニメ	الانمي	アニメ	أَنمِيّ	N	N;NOM;DEF;SG
確認	اكد	確認	أَكَّد	V	V;PFV;MASC;SG;3;ACT
一般	عام	一般	عَام	N	N;NOM;INDF;SG
一般	لواء	一般	لِوَاء	N	N;NOM;INDF;SG
一般	اللواء	一般	لِوَاء	N	N;NOM;DEF;SG
一般	الجنرال	一般	جِنِرَال	N	N;NOM;DEF;SG
歴史	التاريخ	歴史	تَارِيخ	N	N;NOM;DEF;SG
歴史	تاريخ	歴史	تَارِيخ	N	N;NOM;INDF;SG
選挙	انتخاب	選挙	اِنتِخَاب	N	N;NOM;INDF;SG
選挙	الانتخابات	選挙	اِنتِخَاب	N	N;NOM;DEF;PL
選挙	الانتخاب	選挙	اِنتِخَاب	N	N;NOM;DEF;SG
選挙	انتخابات	選挙	اِنتِخَاب	N	N;NOM;INDF;PL
選挙	الانتخابات	選挙	اِنتِخَاب	N	N;NOM;DEF;PL
選挙	انتخابات	選挙	اِنتِخَاب	N	N;NOM;INDF;PL
計画	المخطط	計画	مُخَطَّط	N	N;NOM;DEF;SG
計画	التخطيط	計画	تَخطِيط	N	N;NOM;DEF;SG
計画	تخطيط	計画	تَخطِيط	N	N;NOM;INDF;SG
計画	الخطة	計画	خُطَّة	N	N;NOM;DEF;SG
計画	خطة	計画	خُطَّة	N	N;NOM;INDF;SG
計画	الخطط	計画	خُطَّة	N	N;NOM;DEF;PL
経済	الاقتصادات	経済	اِقتِصَاد	N	N;NOM;DEF;PL
経済	اقتصاد	経済	اِقتِصَاد	N	N;NOM;INDF;SG
経済	الاقتصاد	経済	اِقتِصَاد	N	N;NOM;DEF;SG
ページ	صفحة	ページ	صَفحَة	N	N;NOM;INDF;SG
ページ	الصفحة	ページ	صَفحَة	N	N;NOM;DEF;SG
ページ	صفحات	ページ	صَفحَة	N	N;NOM;INDF;PL
ページ	الصفحات	ページ	صَفحَة	N	N;NOM;DEF;PL
教授	استاذ	教授	استاذ	N	N;NOM;INDF;SG
教授	استاذة	教授	استاذة	N	N;NOM;INDF;SG
ラジオ	المذياع	ラジオ	مِذيَاع	N	N;NOM;DEF;SG
ラジオ	الراديو	ラジオ	رَادِيُو	N	N;NOM;DEF;SG
ラジオ	الاذاعة	ラジオ	إِذَاعَة	N	N;NOM;DEF;SG
ラジオ	اذاعة	ラジオ	إِذَاعَة	N	N;NOM;INDF;SG
劇場	المسرح	劇場	مَسرَح	N	N;NOM;DEF;SG
劇場	مسرح	劇場	مَسرَح	N	N;NOM;INDF;SG
劇場	المسرح	劇場	مَسرَح	N	N;NOM;DEF;SG
劇場	مسرح	劇場	مَسرَح	N	N;NOM;INDF;SG
グループ	مجموعة	グループ	مَجمُوعَة	N	N;NOM;INDF;SG
グループ	المجموعة	グループ	مَجمُوعَة	N	N;NOM;DEF;SG
グループ	الجماعات	グループ	جَمَاعَة	N	N;NOM;DEF;PL
グループ	المجموعات	グループ	مَجمُوعَة	N	N;NOM;DEF;PL
グループ	مجموعات	グループ	مَجمُوعَة	N	N;NOM;INDF;PL
英語	الانجليزية	英語	إِنجلِيزِيَّة	N	N;NOM;DEF;SG
女性	امراة	女性	إِمرَاة	N	N;NOM;INDF;SG
女性	المراة	女性	مَرَاة	N	N;NOM;DEF;SG
女性	الانثى	女性	أَنثِيّ	N	N;NOM;DEF;SG
女性	انثى	女性	أَنثَى	N	N;NOM;INDF;SG
女性	اناث	女性	أَنَاث	N	N;NOM;INDF;SG
女性	الاناث	女性	أَنَاث	N	N;NOM;DEF;PL
女性	نساء	女性	نِسَاء	N	N;NOM;INDF;SG
女性	المراة	女性	مَرَاة	N	N;NOM;DEF;SG
女性	النساء	女性	نِسَاء	N	N;NOM;DEF;SG
地区	المنطقة	地区	مِنطَقَة	N	N;NOM;DEF;SG
地区	المقاطعة	地区	مُقَاطَعَة	N	N;NOM;DEF;SG
地区	منطقة	地区	مِنطَقَة	N	N;NOM;INDF;SG
獲得	تكسب	獲得	كَسَب	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
獲得	كسب	獲得	كَسب	V	V;PFV;MASC;SG;3;ACT
得点	النتيجة	得点	نَتِيجَة	N	N;NOM;DEF;SG
コメント	التعليق	コメント	تَعلِيق	N	N;NOM;DEF;SG
コメント	تعليق	コメント	تَعلِيق	N	N;NOM;INDF;SG
コメント	تعليقات	コメント	تَعلِيق	N	N;NOM;INDF;PL
コメント	التعليقات	コメント	تَعلِيق	N	N;NOM;DEF;PL
他の	اخرون	他の	آخَر	ADJ	ADJ;NOM;INDF;MASC;PL
他の	اخرين	他の	آخَر	ADJ	ADJ;ACC;INDF;MASC;PL
他の	الاخرون	他の	آخَر	ADJ	ADJ;NOM;DEF;MASC;PL
販売	يبيع	販売	بَاع	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
協会	جمعية	協会	جَمعِيَّة	N	N;NOM;INDF;SG
協会	الرابطة	協会	رَابِطَة	N	N;NOM;DEF;SG
協会	رابطة	協会	رَابِطَة	N	N;NOM;INDF;SG
協会	الجمعية	協会	جَمعِيَّة	N	N;NOM;DEF;SG
路線	دروب	路線	دَرب	N	N;NOM;INDF;PL
路線	طرق	路線	طَرِيقَة	N	N;NOM;INDF;PL
戦争	حرب	戦争	حَرب	N	N;NOM;INDF;SG
戦争	الحرب	戦争	حَرب	N	N;NOM;DEF;SG
戦争	حروب	戦争	حَرب	N	N;NOM;INDF;PL
戦争	الحروب	戦争	حَرب	N	N;NOM;DEF;PL
部分	جزء	部分	جُزء	N	N;NOM;INDF;SG
部分	الجزء	部分	جُزء	N	N;NOM;DEF;SG
番号	عدد	番号	عَدَد	N	N;NOM;INDF;SG
番号	العدد	番号	عَدَد	N	N;NOM;DEF;SG
番号	الرقم	番号	رَقم	N	N;NOM;DEF;SG
番号	رقم	番号	رَقم	N	N;NOM;INDF;SG
期間	مدة	期間	مُدَّة	N	N;NOM;INDF;SG
期間	المدة	期間	مُدَّة	N	N;NOM;DEF;SG
期間	الفترة	期間	فَترَة	N	N;NOM;DEF;SG
期間	فترة	期間	فَترَة	N	N;NOM;INDF;SG
場所	مكان	場所	مَكَان	N	N;NOM;INDF;SG
場所	المكان	場所	مَكَان	N	N;NOM;DEF;SG
場所	موقع	場所	مَوقِع	N	N;NOM;INDF;SG
場所	الموقع	場所	مَوقِع	N	N;NOM;DEF;SG
場所	المكان	場所	مَكَان	N	N;NOM;DEF;SG
場所	اماكن	場所	إِمكَان	N	N;NOM;INDF;PL
場所	الاماكن	場所	مَكَان	N	N;NOM;DEF;PL
技術	تقنية	技術	تَقنِيَّة	N	N;NOM;INDF;SG
技術	التقنية	技術	تَقنِيَّة	N	N;NOM;DEF;SG
技術	التكنولوجيا	技術	تِكنُولُوجِيَا	N	N;NOM;DEF;SG
技術	تكنولوجيا	技術	تِكنُولُوجِيَا	N	N;NOM;INDF;SG
海軍	البحرية	海軍	بَحرِيَّة	N	N;NOM;DEF;SG
道路	الطرق	道路	طَرِيقَة	N	N;NOM;DEF;PL
道路	طرق	道路	طَرِيقَة	N	N;NOM;INDF;PL
道路	الطرقات	道路	طَرِيق	N	N;NOM;DEF;PL
道路	الطريق	道路	طَرِيق	N	N;NOM;DEF;SG
道路	طريق	道路	طَرِيق	N	N;NOM;INDF;SG
意味	يعنى	意味	عَنَى	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
意味	يعني	意味	عَنَى	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
システム	نظام	システム	نِظَام	N	N;NOM;INDF;SG
システム	النظام	システム	نِظَام	N	N;NOM;DEF;SG
システム	المنظومة	システム	مَنظُومَة	N	N;NOM;DEF;SG
システム	الانظمة	システム	نِظَام	N	N;NOM;DEF;PL
システム	النظم	システム	نِظَام	N	N;NOM;DEF;PL
システム	انظمة	システム	نِظَام	N	N;NOM;INDF;PL
モデル	النماذج	モデル	نَمَاذَة	N	N;NOM;DEF;PL
モデル	نماذج	モデル	نَمُوذَج	N	N;NOM;INDF;PL
モデル	الموديلات	モデル	مُودِيلَات	N	N;NOM;DEF;PL
モデル	نموذج	モデル	نَمُوذَج	N	N;NOM;INDF;SG
モデル	النموذج	モデル	نَمُوذَج	N	N;NOM;DEF;SG
対応	مراسلات	対応	مُرَاسِل	N	N;NOM;INDF;PL
対応	المراسلة	対応	مُرَاسَلَة	N	N;NOM;DEF;SG
対応	المراسلات	対応	مُرَاسَلَة	N	N;NOM;DEF;PL
対応	مراسلة	対応	مُرَاسَلَة	N	N;NOM;INDF;SG
列車	قطار	列車	قِطَار	N	N;NOM;INDF;SG
列車	القطار	列車	قِطَار	N	N;NOM;DEF;SG
列車	قطارات	列車	قِطَار	N	N;NOM;INDF;PL
列車	القطارات	列車	قِطَار	N	N;NOM;DEF;PL
科学	العلوم	科学	عِلم	N	N;NOM;DEF;PL
科学	علوم	科学	عِلم	N	N;NOM;INDF;PL
科学	العلم	科学	عِلم	N	N;NOM;DEF;SG
理由	دواعي	理由	دَاعِي	N	N;NOM;INDF;PL
理由	اسباب	理由	سَبَب	N	N;NOM;INDF;SG
理由	الاسباب	理由	سَبَب	N	N;NOM;DEF;PL
理由	سبب	理由	سَبَب	N	N;NOM;INDF;SG
理由	السبب	理由	سَبَب	N	N;NOM;DEF;SG
ブロック	كتل	ブロック	كتل	N	N;NOM;INDF;PL
ブロック	الكتل	ブロック	كَتل	N	N;NOM;DEF;PL
ブロック	كتلة	ブロック	كُتلَة	N	N;NOM;INDF;SG
ブロック	حظر	ブロック	حَظر	N	N;NOM;INDF;SG
車両	مركبات	車両	مُرَكَّب	N	N;NOM;INDF;PL
車両	عربات	車両	عَرَبَة	N	N;NOM;INDF;PL
