raskrižje	تقاطع	raskrižje	تقاطع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ravnateljica	سرمایہ	ravnateljica	سرمایہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ravnateljica	سربراہ	ravnateljica	سربراہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ravnateljica	سرمایہ	ravnateljica	سرمایہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ljuta	فاترالعقل.	ljut	فاترالعقل.	N;NOM;FEM;SG	N;SG
ljuta	فدا	ljut	فدا	N;NOM;FEM;SG	N;NOM;MASC;SG;3
revizija	محاسبہ	revizija	محاسبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
revizija	تنقیح	revizija	تنقیح	N;NOM;FEM;SG	N;NOM;MASC;SG;3
revizija	اعادہ	revizija	اعادہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
terminator	مختتم	terminator	مختتم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
terminator	ختم	terminator	ختم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
naknada	معاوضہ	naknada	معاوضہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
naknada	محصول	naknada	محصول	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dobrotvorne	خیراتی	dobrotvoran	خیراتی	ADJ;NOM;DEF;FEM;PL	ADJ
pritvor	تحویل	pritvor	تحویل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jubilej	سالگرہ	jubilej	سالگرہ	N;NOM;MASC;SG	N;NOM;FEM;SG;3
jubilej	جشن	jubilej	جشن	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jubilej	سالگرہ	jubilej	سالگرہ	N;NOM;MASC;SG	N;NOM;FEM;SG;3
istraživačka	تفتیشی	istraživački	تفتیشی	ADJ;NOM;DEF;FEM;SG	ADJ
istraživačka	معلوماتی	istraživački	معلوماتی	ADJ;NOM;DEF;FEM;SG	ADJ
istraživačka	تحقیقی	istraživački	تحقیقی	ADJ;NOM;DEF;FEM;SG	ADJ
crtica	تیزی	crtica	تیزی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
crtica	زور	crtica	زور	N;NOM;FEM;SG	N;NOM;MASC;SG;3
opsežna	حاوی	opsežan	حاوی	ADJ;NOM;DEF;FEM;SG	ADJ
opsežna	جامع	opsežan	جامع	ADJ;NOM;DEF;FEM;SG	ADJ
opsežna	محیط	opsežan	محیط	ADJ;NOM;DEF;FEM;SG	ADJ
opsežna	حاوی	opsežan	حاوی	ADJ;NOM;DEF;FEM;SG	ADJ
opsežna	جامع	opsežan	جامع	ADJ;NOM;DEF;FEM;SG	ADJ
opsežna	وسیع	opsežan	وسیع	ADJ;NOM;DEF;FEM;SG	ADJ
opsežna	محیط	opsežan	محیط	ADJ;NOM;DEF;FEM;SG	ADJ
odlaganje	تنظیم	odlaganje	تنظیم	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
odlaganje	ترتیب	odlaganje	ترتیب	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
konvencionalne	روایتی	konvencionalan	روایتی	ADJ;NOM;DEF;FEM;PL	ADJ
konvencionalne	پُرخلوص	konvencionalan	پُرخلوص	ADJ;NOM;DEF;FEM;PL	ADJ
konvencionalne	رسمی	konvencionalan	رسمی	ADJ;NOM;DEF;FEM;PL	ADJ
skroman	معتدل	skroman	معتدل	ADJ;NOM;INDF;MASC;SG	ADJ
skroman	معتدل	skroman	معتدل	ADJ;NOM;INDF;MASC;SG	ADJ
skroman	فروتنی	skroman	فروتنی	ADJ;NOM;INDF;MASC;SG	ADJ
skroman	معمولی	skroman	معمولی	ADJ;NOM;INDF;MASC;SG	ADJ
otapalo	محلل	otapati	محلل	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
tanak	کمزور	tanak	کمزور	ADJ;NOM;INDF;MASC;SG	ADJ
tanak	ہلکے	tanak	ہلکا	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
tanak	کمزور	tanak	کمزور	ADJ;NOM;INDF;MASC;SG	ADJ
tanak	ہلکے	tanak	ہلکا	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
ponosni	مفتخر.	ponosan	مفتخر.	ADJ;NOM;DEF;MASC;PL	ADJ
ponosni	شاندار	ponosan	شاندار	ADJ;NOM;DEF;MASC;PL	ADJ
tužna	شرمناک	tužan	شرمناک	ADJ;NOM;DEF;FEM;SG	ADJ
tužna	رنجیدہ	tužan	رنجیدہ	ADJ;NOM;DEF;FEM;SG	ADJ
tužna	شرمناک	tužan	شرمناک	ADJ;NOM;DEF;FEM;SG	ADJ
peer	ہمسر	peer	ہمسر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
scar	خراش	scar	خراش	N;NOM;MASC;SG	N;NOM;MASC;SG;3
scar	دھاری	scar	دھاری	N;NOM;MASC;SG	N;NOM;FEM;SG;3
scar	داغ	scar	داغ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
scar	خراش	scar	خراش	N;NOM;MASC;SG	N;NOM;MASC;SG;3
scar	دھاری	scar	دھاری	N;NOM;MASC;SG	N;NOM;FEM;SG;3
zapreka	رکاوٹ.	zapreka	رکاوٹ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zapreka	رکاوٹ	zapreka	رکاوٹ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
misterij	رازداری	misterij	رازداری	N;NOM;MASC;SG	N;NOM;MASC;SG;3
misterij	خفیہ	misterij	خفیہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
misterij	رمزیت	misterij	رمزیت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
misterij	رازداری	misterij	رازداری	N;NOM;MASC;SG	N;NOM;MASC;SG;3
misterij	خفیہ	misterij	خفیہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
misterij	راز	misterij	راز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
misterij	رمزیت	misterij	رمزیت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
tetiva	نسیج	tetiv	نسیج	N;NOM;FEM;SG	N;NOM;MASC;SG;3
analogni	وزن	analogni	وزن	N;NOM;MASC;SG	N;NOM;MASC;SG;3
nezgoda	اتفاق	nezgoda	اتفاق	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nezgoda	حادثہ	nezgoda	حادثہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
jato	جماعت	jato	جماعت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
jato	اون	jato	اون	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
zelen	ہلکا	zelen	ہلکا	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
zelen	نیا	zelen	نیا	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
zelen	ہلکا	zelen	ہلکا	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
zelen	نیا	zelen	نیا	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
zelen	تازہ	zelen	تازہ	ADJ;NOM;INDF;MASC;SG	ADJ
ginger	جوش	ginger	جوش	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trik	دھوکا	trik	دھوکا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trik	فریب	trik	فریب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
neophodna	جبری	neophodan	جبری	ADJ;NOM;DEF;FEM;SG	ADJ
neophodna	لازمی	neophodan	لازمی	ADJ;NOM;DEF;FEM;SG	ADJ
maskota	شخص	maskot	شخص	N;NOM;FEM;SG	N;NOM;MASC;SG;3
brežuljak	تودہ	brežuljak	تودہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trauma	مصیبت	trauma	مصیبت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
nepovoljnim	مخاصمانہ	nepovoljan	مخاصمانہ	ADJ;INS;DEF;MASC;SG	ADJ
nepovoljnim	مخالفانہ.	nepovoljan	مخالفانہ.	ADJ;INS;DEF;MASC;SG	ADJ
nepovoljnim	ناموافق	nepovoljan	ناموافق	ADJ;INS;DEF;MASC;SG	ADJ
pametan	ہنرمند	pametan	ہنرمند	ADJ;NOM;INDF;MASC;SG	ADJ
pametan	تیز	pametan	تیز	ADJ;NOM;INDF;MASC;SG	ADJ
pametan	چالاک	pametan	چالاک	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
pametan	ہنرمند	pametan	ہنرمند	ADJ;NOM;INDF;MASC;SG	ADJ
pametan	ممتاز.	pametan	ممتاز.	ADJ;NOM;INDF;MASC;SG	ADJ
pametan	درست	pametan	درست	ADJ;NOM;INDF;MASC;SG	ADJ
pametan	پھرتی	pametan	پھرتی	ADJ;NOM;INDF;MASC;SG	ADJ;FEM
pametan	تیز	pametan	تیز	ADJ;NOM;INDF;MASC;SG	ADJ
plovilo	کاریگری	ploviti	کاریگری	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
plovilo	مہارت	ploviti	مہارت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
pobožni	متقی	pobožan	متقی	ADJ;NOM;DEF;MASC;SG	ADJ
buba	لگن	bub	لگن	N;NOM;FEM;SG	N;NOM;MASC;SG;3
buba	شوق	bub	شوق	N;NOM;FEM;SG	N;NOM;MASC;SG;3
novinarski	اخباری	novinarski	اخباری	ADJ;NOM;DEF;MASC;SG	ADJ
novinarski	صحافتی	novinarski	صحافتی	ADJ;NOM;DEF;MASC;SG	ADJ;NOM
novinarski	اخباری	novinarski	اخباری	ADJ;NOM;DEF;MASC;SG	ADJ
tetka	خالہ	tetak	خالہ	N;NOM;FEM;SG	N;NOM;FEM;SG;3
tetka	پھوپھی	tetak	پھوپھی	N;NOM;FEM;SG	N;NOM;FEM;SG;3
runda	حدود	rund	حد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
runda	گول	rund	گول	N;NOM;FEM;SG	N;NOM;MASC;SG;3
runda	حدود	rund	حد	N;NOM;FEM;SG	N;NOM;MASC;SG;3
raznolik	متعدد.	raznolik	متعدد.	ADJ;NOM;INDF;MASC;SG	ADJ
raznolik	متنوع	raznolik	متنوع	ADJ;NOM;INDF;MASC;SG	ADJ
raznolik	مختلف	raznolik	مختلف	ADJ;NOM;INDF;MASC;SG	ADJ
pratnja	رفاقت	pratnja	رفاقت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
cenzura	احتساب	cenzur	احتساب	N;NOM;FEM;SG	N;NOM;MASC;SG;3
interna	اندرونی	interan	اندرونی	ADJ;NOM;DEF;FEM;SG	ADJ
nepotpuna	نامکمل	nepotpun	نامکمل	ADJ;NOM;DEF;FEM;SG	ADJ
holt	قبضہ	holt	قبضہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
holt	گرفت	holt	گرفت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
knjižica	کتابچہ	knjižica	کتابچہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
inventar	فرد	inventar	فرد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
zakonodavne	قانونی	zakonodavan	قانونی	ADJ;NOM;FEM;PL	ADJ
čistoća	صفائی	čistoća	صفائی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
čistoća	پاکیزگی	čistoća	پاکیزگی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
smrtni	شدید	smrtan	شدید	ADJ;NOM;DEF;MASC;SG	ADJ
smrtni	ممکن	smrtan	ممکن	ADJ;NOM;DEF;MASC;SG	ADJ
smrtni	سخت	smrtan	سخت	ADJ;NOM;DEF;MASC;SG	ADJ
smrtni	شدید	smrtan	شدید	ADJ;NOM;DEF;MASC;SG	ADJ
smrtni	ممکن	smrtan	ممکن	ADJ;NOM;DEF;MASC;SG	ADJ
smrtni	سخت	smrtan	سخت	ADJ;NOM;DEF;MASC;SG	ADJ
pustolovina	خطرے	pustolovina	خطرہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
postignuće	کارنامہ	postignuće	کارنامہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
postignuće	اہلیت	postignuće	اہلیت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
postignuće	تکمیل	postignuće	تکمیل	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
postignuće	کارنامہ	postignuće	کارنامہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
postignuće	بجاآوری	postignuće	بجاآوری	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
postignuće	اہلیت	postignuće	اہلیت	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
postignuće	تکمیل	postignuće	تکمیل	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
veselje	تسلی	veselja	تسلی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
veselje	تسلی	veselja	تسلی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
veselje	داد	veselja	داد	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
plivati	تیرنا	plivati	تیرنا	V;NFIN	V;SG;ACT
prebaci	مارنا	prebac	مار	V;IND;SG;3;PRS;FIN	V;MASC;SG;NFIN;ACT
prijevara	چکمہ	prijevarati	چکمہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prijevara	جعل	prijevarati	جعل	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prijevara	دھوکا	prijevarati	دھوکا	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prijevara	افواہ	prijevarati	افواہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prijevara	چکمہ	prijevarati	چکمہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
jastreb	جنگجو	jastreb	جنگجو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kaznena	سخت	kaznen	سخت	ADJ;NOM;DEF;FEM;SG	ADJ
kaznena	سخت	kaznen	سخت	ADJ;NOM;DEF;FEM;SG	ADJ
kaznena	تعزیری	kaznen	تعزیری	ADJ;NOM;DEF;FEM;SG	ADJ
debata	بحث	debati	بحث	N;NOM;FEM;SG	N;NOM;MASC;SG;3
mafija	ہجوم	mafija	ہجوم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kašalj	کھانسی	kašalj	کھانسی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
instalirati	لگانا	instalirati	لگا	V;NFIN	V;MASC;SG;NFIN;ACT
hub	مرکز	hub	مرکز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
hub	محور	hub	محور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
hub	دلچسپی	hub	دلچسپی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
derivat	مشتق	derivati	مشتق	N;NOM;MASC;SG	N;NOM;MASC;SG;3
zagonetka	واقعہ	zagonetak	واقعہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prihvatljivo	کافی	prihvatljiv	کافی	ADJ;NOM;DEF;NEUT;SG	ADJ
srdačan	مفرح	srdačan	مفرح	ADJ;NOM;INDF;MASC;SG	ADJ
srdačan	دوستانہ	srdačan	دوستانہ	ADJ;NOM;INDF;MASC;SG	ADJ
nesposobnost	معذوری	nesposobnost	معذوری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
utisak	چھاپہ	utisak	چھاپہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
utisak	رائے	utisak	رائے	N;NOM;MASC;SG	N;NOM;MASC;SG;3
