من	od	مِن	od	ADP	ADP;GEN
منطقة	pásmo	مِنطَقَة	pásmo	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
منطقة	zóna	مِنطَقَة	zóna	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
منطقة	oblast	مِنطَقَة	oblast	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
منطقة	plocha	مِنطَقَة	plocha	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
الرمز	symbol	رَمز	symbol	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
الرمز	kód	رَمز	kód	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
البلد	země	بَلَد	země	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
مدن	města	مَدِينَة	město	N;NOM;INDF;PL	N;NOM;NEUT;PL;POS
مدن	velkoměsta	مَدِينَة	velkoměsto	N;NOM;INDF;PL	N;NOM;NEUT;PL;POS
مدن	města	مَدِينَة	město	N;NOM;INDF;PL	N;NOM;NEUT;PL;POS
يمكن	mohl	أَمكَن	moci	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
يمكن	může	أَمكَن	moci	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;POS;PRS;FIN;ACT
تعداد	výčet	تَعدَاد	výčet	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
الكلية	ledvina	كُلِّيَّة	ledvina	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الكلية	fakulta	كُلِّيَّة	fakulta	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
ولاية	stát	وِلَايَة	stát	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
العرض	nabídka	عَرض	nabídka	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
العرض	představení	عَرض	představení	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
العرض	show	عَرض	show	N;NOM;DEF;SG	N;FEM;POS
العرض	šířka	عَرض	šířka	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
العرض	prezentace	عَرض	prezentace	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
العرض	zobrazení	عَرض	zobrazení	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
العرض	displej	عَرض	displej	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
جامعة	univerzita	جَامِعَة	univerzita	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
المساحة	oblast	مِسَاحَة	oblast	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
المساحة	plocha	مِسَاحَة	plocha	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الطول	délka	طُول	délka	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الطول	délky	طُول	délka	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الطول	výška	طُول	výška	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الحياة	zivot	حَيَاة	zivot	N;NOM;DEF;SG	N;NOM;MASC;SG;POS
الحياة	život	حَيَاة	život	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
وصلات	odkazy	وُصلَة	odkaz	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL;POS
المركز	centrum	مَركَز	centrum	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المركز	střed	مَركَز	střed	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
المركز	centrum	مَركَز	centrum	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المركز	středisko	مَركَز	středisko	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المركز	střed	مَركَز	střed	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
المياه	vody	مَاء	voda	N;NOM;DEF;PL	N;NOM;FEM;PL;POS
مجموعة	skupina	مَجمُوعَة	skupina	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مجموعة	sběr	مَجمُوعَة	sběr	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
مجموعة	kolekce	مَجمُوعَة	kolekce	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مجموعة	sbírka	مَجمُوعَة	sbírka	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مجموعة	shromažďování	مَجمُوعَة	shromažďování	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
موقع	místo	مَوقِع	místo	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
موقع	poloha	مَوقِع	poloha	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
موقع	umístění	مَوقِع	umístění	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
موقع	lokalita	مَوقِع	lokalita	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مكان	místo	مَكَان	místo	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
مكان	misto	مَكَان	misto	N;NOM;INDF;SG	N;NOM;MASC;SG;POS
نقاش	diskuse	نِقَاش	diskuse	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
نقاش	diskuze	نِقَاش	diskuse	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
نقاش	debata	نِقَاش	debata	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
نقاش	diskuse	نِقَاش	diskuse	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
نقاش	rozprava	نِقَاش	rozprava	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
الثالث	třetí	ثَالِث	třetí	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
هناك	tam	هُنَاكَ	tam	ADV	ADV
تحت	pod	تَحتَ	pod	ADP;ACC	ADP;ACC
حجم	objem	حَجم	objem	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
حجم	svazek	حَجم	svazek	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
حجم	hlasitost	حَجم	hlasitost	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
حجم	velikost	حَجم	velikost	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
الشيخ	šejk	شَيخ	šejk	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG;POS
المحافظة	provincie	مُحَافَظَة	provincie	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
المحافظة	zachování	مُحَافَظَة	zachování	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المحافظة	zachování	مُحَافَظَة	zachování	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المحافظة	uchování	مُحَافَظَة	uchování	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
المحافظة	uchovávání	مُحَافَظَة	uchovávání	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الحرب	válka	حَرب	válka	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
قرية	village	قَريَة	villaga	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
قرية	vesnice	قَريَة	vesnice	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
العام	rok	عَام	rok	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
العام	ročník	عَام	ročník	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
رئيس	prezident	رَئِيس	prezident	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG;POS
رئيس	předseda	رَئِيس	předseda	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG;POS
رئيس	president	رَئِيس	prezident	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG;POS
رئيس	prezidentka	رَئِيس	prezidentka	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
رئيس	náčelník	رَئِيس	náčelník	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG;POS
رئيس	šéfe	رَئِيس	šéf	N;NOM;INDF;SG	N;NOM;MASC;SG;POS
رئيس	šéf	رَئِيس	šéf	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG;POS
الكثافة	intenzita	كَثَّافَة	intenzita	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الكثافة	hustota	كَثَّافَة	hustota	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الوفاة	smrt	وَفَاة	smrt	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الوفاة	death	وَفَاة	death	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
الوفاة	úmrtí	وَفَاة	úmrtí	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
شعار	slogan	شِعَار	slogan	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
شعار	logo	شِعَار	logo	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
شعار	motto	شِعَار	motto	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
شعار	znak	شِعَار	znak	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
عزلة	izolace	عُزلَة	izolace	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
عزلة	samota	عُزلَة	samota	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
كتاب	kniha	كِتَاب	kniha	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
كتاب	knížka	كِتَاب	knížka	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
مديرية	ředitelství	مُدِيرِيَّة	ředitelství	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
العمل	akce	عَمَل	akce	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
العمل	práce	عَمَل	práce	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
العمل	prace	عَمَل	prace	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
العمل	obchod	عَمَل	obchod	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
العمل	podnikání	عَمَل	podnikání	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
العمل	byznys	عَمَل	byznys	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
الخريطة	mapě	خَرِيطَة	mapa	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الخريطة	mapa	خَرِيطَة	mapa	N;NOM;DEF;SG	N;NOM;FEM;SG;POS
الرسمي	slavnostní	رَسمِيّ	slavnostní	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG;POS
الرسمي	oficiální	رَسمِيّ	oficiální	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG;POS
الرسمي	úřední	رَسمِيّ	úřední	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG;POS
الرسمي	formální	رَسمِيّ	formální	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG;POS
عشر	deset	عَشَرَة	deset	NUM;MASC	NUM;NOM;SG
سنوات	léta	سَنَة	rok	N;NOM;INDF;PL	N;NOM;NEUT;PL;POS
سنوات	roky	سَنَة	rok	N;NOM;INDF;PL	N;INAN;NOM;MASC;PL;POS
يوم	den	يَوم	den	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
كتابة	psaní	كِتَابَة	psaní	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
ولا	ani	وَلّ	ani	CONJ	CONJ
طريق	silnice	طَرِيق	silnice	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
طريق	cesta	طَرِيق	cesta	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
الدين	vyznání	دِين	vyznání	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الدين	náboženství	دِين	náboženství	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الدين	dluh	دِين	dluh	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
الدين	zadlužení	دِين	zadlužení	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
مركز	centrum	مَركَز	centrum	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
مركز	střed	مَركَز	střed	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
مركز	centrum	مَركَز	centrum	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
مركز	středisko	مَركَز	středisko	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
مركز	střed	مَركَز	střed	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
ملف	spis	مِلَفّ	spis	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
ملف	soubor	مِلَفّ	soubor	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
جميع	vse	جَمِيع	vse	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
العربي	arabský	عَرَبِيّ	arabský	ADJ;NOM;DEF;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
مجلس	rada	مَجلِس	rada	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
الثانية	druhé	ثَانِي	druhý	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
الثانية	druhá	ثَانِي	druhý	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
الثانية	druhý	ثَانِي	druhý	ADJ;NOM;DEF;FEM;SG	ADJ;ANIM;NOM;MASC;SG
السكان	obyvatelé	سَاكِن	obyvatel	N;NOM;DEF;PL	N;ANIM;NOM;MASC;PL;POS
الدولة	stát	دَولَة	stát	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
قال	řekl	قَال	říci	V;PFV;MASC;SG;3;ACT	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
الملك	král	مَلِك	král	N;NOM;DEF;SG	N;ANIM;NOM;MASC;SG;POS
الاسم	jméno	اِسم	jméno	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
الاسم	jmeno	اِسم	jmeno	N;NOM;DEF;SG	N;NOM;MASC;SG;POS
الاسم	name	اِسم	můj	N;NOM;DEF;SG	N;NOM;MASC;SG;POS
الاسم	název	اِسم	název	N;NOM;DEF;SG	N;INAN;NOM;MASC;SG;POS
ولد	kluk	وَلَد	kluk	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG;POS
ولد	chlapec	وَلَد	chlapec	N;NOM;INDF;SG	N;ANIM;NOM;MASC;SG;POS
البحر	moře	بَحر	moře	N;NOM;DEF;SG	N;NOM;NEUT;SG;POS
شركة	firma	شَرِكَة	firma	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
شركة	firma	شَرِكَة	firma	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
شركة	společnost	شَرِكَة	společnost	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
فيلم	film	فِيلم	film	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
فيلم	film	فِيلم	film	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
صورة	fotografie	صُورَة	fotografie	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
صورة	foto	صُورَة	foto	N;NOM;INDF;SG	N;NOM;NEUT;SG;POS
صورة	fotka	صُورَة	fotka	N;NOM;INDF;SG	N;NOM;FEM;SG;POS
صورة	obrázek	صُورَة	obrázek	N;NOM;INDF;SG	N;INAN;NOM;MASC;SG;POS
