din	從	din	從	ADP;ACC	ADP
biserica	教堂	biserică	教堂	N;DEF;FEM;SG	N
fișier	文件	fișier	文件	N;INDF;MASC;SG	N
fișier	檔案	fișier	檔案	N;INDF;MASC;SG	N
adresă	地址	adresa	地址	N;INDF;FEM;SG	N
adresă	住址	adresa	住址	N;INDF;FEM;SG	N
imagine	照片	imagine	照片	N;INDF;FEM;SG	N
imagine	圖片	imagine	圖片	N;INDF;FEM;SG	N
imagine	影象	imagine	影象	N;INDF;FEM;SG	N
imagine	影像	imagine	影像	N;INDF;FEM;SG	N
imagine	圖片	imagine	圖片	N;INDF;FEM;SG	N
statul	國家	stat	國家	N;DEF;MASC;SG	N
statul	州	stat	州	N;DEF;MASC;SG	N
familia	家人	familie	家人	N;DEF;FEM;SG	N
familia	家屬	familie	家屬	N;DEF;FEM;SG	N
familia	家庭	familie	家庭	N;DEF;FEM;SG	N
numele	名字	nume	名字	N;DEF;MASC;SG	N
numele	名稱	nume	名稱	N;DEF;MASC;SG	N
numele	姓名	nume	姓名	N;DEF;MASC;SG	N
timpul	時光	timp	時光	N;DEF;MASC;SG	N
timpul	時間	timp	時間	N;DEF;MASC;SG	N
nord	北方	nord	北方	N;INDF;MASC;SG	N
nord	北	nord	北	N;INDF;MASC;SG	N
nord	北部	nord	北部	N;INDF;MASC;SG	N
sud	南	sud	南	N;INDF;MASC;SG	N
sud	南部	sud	南部	N;INDF;MASC;SG	N
loc	地方	loc	地方	N;INDF;MASC;SG	N
loc	地點	loc	地點	N;INDF;MASC;SG	N
doar	只	doar	只	ADV	ADV
doar	只	doar	只	ADV	ADV
recensământului	人口	recensământ	人口	N;DEF;MASC;SG	N
recensământului	普查	recensământ	普查	N;DEF;MASC;SG	N
listă	名單	listă	名單	N;INDF;FEM;SG	N
listă	清單	listă	清單	N;INDF;FEM;SG	N
trei	三	trei	三	NUM;PL	NUM
trei	三	trei	三	NUM;PL	NUM
limba	舌頭	limbă	舌頭	N;DEF;FEM;SG	N
limba	舌	limbă	舌	N;DEF;FEM;SG	N
limba	語言	limbă	語言	N;DEF;FEM;SG	N
limba	語	limbă	語	N;DEF;FEM;SG	N
limba	語文	limbă	語文	N;DEF;FEM;SG	N
departamentul	部門	departament	部門	N;DEF;MASC;SG	N
foarte	非常	foarte	非常	ADV	ADV
raionul	走道	raion	走道	N;DEF;MASC;SG	N
data	日期	dată	日期	N;DEF;FEM;SG	N
data	約會	dată	約會	N;DEF;FEM;SG	N
data	資料	dată	資料	N;DEF;FEM;SG	N
departament	部門	departament	部門	N;INDF;MASC;SG	N
apoi	然後	apoi	然後	ADV	ADV
apoi	那麼	apoi	那麼	ADV	ADV
grup	群組	grup	群組	N;INDF;MASC;SG	N
grup	群	grup	群	N;INDF;MASC;SG	N
locul	地方	loc	地方	N;DEF;MASC;SG	N
locul	地點	loc	地點	N;DEF;MASC;SG	N
oraș	城鎮	oraș	城鎮	N;INDF;MASC;SG	N
oraș	鎮	oraș	鎮	N;INDF;MASC;SG	N
oraș	城市	oraș	城市	N;INDF;MASC;SG	N
oraș	市	oraș	市	N;INDF;MASC;SG	N
oraș	城	oraș	城	N;INDF;MASC;SG	N
camp	難民	camp	難民	N;INDF;MASC;SG	N
camp	營	camp	營	N;INDF;MASC;SG	N
camp	營地	camp	營地	N;INDF;MASC;SG	N
satul	村	sat	村	N;DEF;MASC;SG	N
satul	鄉村	sat	鄉村	N;DEF;MASC;SG	N
satul	村	sat	村	N;DEF;MASC;SG	N
satul	村落	sat	村落	N;DEF;MASC;SG	N
satul	村子	sat	村子	N;DEF;MASC;SG	N
perioada	期間	perioadă	期間	N;DEF;FEM;SG	N
cadrul	框架	cadru	框架	N;DEF;MASC;SG	N
război	戰	război	戰	N;INDF;MASC;SG	N
război	戰爭	război	戰爭	N;INDF;MASC;SG	N
află	學習	afla	學習	V;IND;SG;3;PST;FIN	V
provincia	省	provincie	省	N;DEF;FEM;SG	N
provincia	省省	provincie	省省	N;DEF;FEM;SG	N
provincia	省份	provincie	省份	N;DEF;FEM;SG	N
existând	現存	exista	現存	V;V.MSDR	V
existând	現有	exista	現有	V;V.MSDR	V
specie	魚種	specie	魚種	N;INDF;FEM;SG	N
specie	物種	specie	物種	N;INDF;FEM;SG	N
punct	點	punct	點	N;INDF;MASC;SG	N
punct	角	punct	角	N;INDF;MASC;SG	N
punct	點	punct	點	N;INDF;MASC;SG	N
stat	國家	stat	國家	N;INDF;MASC;SG	N
stat	州	stat	州	N;INDF;MASC;SG	N
atunci	然後	atunci	然後	ADV	ADV
atunci	那麼	atunci	那麼	ADV	ADV
aceste	這些	acest	這些	DET;FEM;PL;3	DET
secolul	世紀	secol	世紀	N;DEF;MASC;SG	N
aceasta	這	acesta	這	PRO;FEM;SG;3	PRO
reședință	住宅	reședință	住宅	N;INDF;FEM;SG	N
reședință	居所	reședință	居所	N;INDF;FEM;SG	N
orașul	城市	oraș	城市	N;DEF;MASC;SG	N
orașul	市	oraș	市	N;DEF;MASC;SG	N
orașul	城	oraș	城	N;DEF;MASC;SG	N
chiar	甚至	chiar	甚至	ADV	ADV
film	電影	film	電影	N;INDF;MASC;SG	N
film	影片	film	影片	N;INDF;MASC;SG	N
film	電影	film	電影	N;INDF;MASC;SG	N
film	膠片	film	膠片	N;INDF;MASC;SG	N
film	影片	film	影片	N;INDF;MASC;SG	N
perioadă	期間	perioadă	期間	N;INDF;FEM;SG	N
date	日期	dată	日期	N;INDF;FEM;PL	N
date	資料	dată	資料	N;INDF;FEM;PL	N
zile	日子	zi	日子	N;INDF;FEM;PL	N
zile	天數	zi	天數	N;INDF;FEM;PL	N
față	前面	față	前面	N;INDF;FEM;SG	N
față	陣線	față	陣線	N;INDF;FEM;SG	N
față	臉	față	臉	N;INDF;FEM;SG	N
față	臉部	față	臉部	N;INDF;FEM;SG	N
club	幫會	club	幫會	N;INDF;MASC;SG	N
club	俱樂部	club	俱樂部	N;INDF;MASC;SG	N
componente	元件	componentă	元件	N;INDF;FEM;PL	N
est	東	est	東	N;INDF;MASC;SG	N
est	東部	est	東部	N;INDF;MASC;SG	N
est	東方	est	東方	N;INDF;MASC;SG	N
est	東區	est	東區	N;INDF;MASC;SG	N
nou	新	nou	新	ADJ;INDF;MASC;SG	ADJ
numai	只	numai	只	ADV	ADV
ion	離子	ion	離子	N;INDF;MASC;SG	N
populația	人口	populație	人口	N;DEF;FEM;SG	N
doi	兩	doi	兩	NUM;MASC;PL	NUM
doi	兩	doi	兩	NUM;MASC;PL	NUM
doi	二	doi	二	NUM;MASC;PL	NUM
membru	會員	membru	會員	N;INDF;MASC;SG	N
membru	成員	membru	成員	N;INDF;MASC;SG	N
dată	日期	dată	日期	N;INDF;FEM;SG	N
dată	約會	dată	約會	N;INDF;FEM;SG	N
saint	聖人	saint	聖人	N;INDF;MASC;SG	N
specia	魚種	specie	魚種	N;DEF;FEM;SG	N
specia	物種	specie	物種	N;DEF;FEM;SG	N
vest	西邊	vest	西邊	N;INDF;MASC;SG	N
vest	西	vest	西	N;INDF;MASC;SG	N
vest	西部	vest	西部	N;INDF;MASC;SG	N
vest	西部	vest	西部	N;INDF;MASC;SG	N
încă	仍然	încă	仍然	ADV	ADV
încă	依然	încă	依然	ADV	ADV
lemn	木	lemn	木	N;INDF;MASC;SG	N
lemn	木材	lemn	木材	N;INDF;MASC;SG	N
lemn	木頭	lemn	木頭	N;INDF;MASC;SG	N
statele	國家	stat	國家	N;DEF;FEM;PL	N
roman	小說	roman	小說	N;INDF;MASC;SG	N
drept	直	drept	直		
mod	模式	mod	模式	N;INDF;MASC;SG	N
prezent	現任	prezent	現任	N;INDF;MASC;SG	N
casa	屋	casă	屋	N;DEF;FEM;SG	N
casa	房屋	casă	房屋	N;DEF;FEM;SG	N
casa	房子	casă	房子	N;DEF;FEM;SG	N
categorie	類別	categorie	類別	N;INDF;FEM;SG	N
text	文字	text	文字	N;INDF;MASC;SG	N
text	案文	text	案文	N;INDF;MASC;SG	N
site	網站	sită	網站	N;INDF;FEM;PL	N
site	工地	sită	工地	N;INDF;FEM;PL	N
articole	文章	articol	文章	N;INDF;FEM;PL	N
articole	項目	articol	項目	N;INDF;FEM;PL	N
milioane	百萬	milion	百萬	NUM;INDF;FEM;PL	NUM
milioane	百萬	milion	百萬	NUM;INDF;FEM;PL	NUM
apă	水	apă	水	N;INDF;FEM;SG	N
țară	國家	țară	國家	N;INDF;FEM;SG	N
sate	鄉村	sat	鄉村	N;INDF;FEM;PL	N
sate	村	sat	村	N;INDF;FEM;PL	N
târziu	遲	târziu	遲	ADV	ADV
istoria	歷史	istorie	歷史	N;DEF;FEM;SG	N
patru	四	patru	四	NUM;PL	NUM
patru	四	patru	四	NUM;PL	NUM
patru	四	patru	四	NUM;PL	NUM
republica	共和	republică	共和	N;DEF;FEM;SG	N
republica	共和	republică	共和	N;DEF;FEM;SG	N
râul	河	râu	河	N;DEF;MASC;SG	N
râul	江河	râu	江河	N;DEF;MASC;SG	N
râul	河流	râu	河流	N;DEF;MASC;SG	N
tip	型態	tip	型態	N;INDF;MASC;SG	N
tip	類型	tip	類型	N;INDF;MASC;SG	N
premiul	獎品	premiu	獎品	N;DEF;MASC;SG	N
premiul	獎賞	premiu	獎賞	N;DEF;MASC;SG	N
premiul	獎	premiu	獎	N;DEF;MASC;SG	N
premiul	獎	premiu	獎	N;DEF;MASC;SG	N
persoane	人	persoană	人	N;INDF;FEM;PL	N
persoane	人們	persoană	人	N;INDF;FEM;PL	N;PL
persoane	人民	persoană	人民	N;INDF;FEM;PL	N
exemplu	範例	exemplu	範例	N;INDF;MASC;SG	N
descriere	標題	descriere	標題	N;INDF;FEM;SG	N
numărul	數字	număr	數字	N;DEF;MASC;SG	N
numărul	數	număr	數	N;DEF;MASC;SG	N
numărul	號碼	număr	號碼	N;DEF;MASC;SG	N
numărul	編號	număr	編號	N;DEF;MASC;SG	N
comitatul	郡	comitat	郡	N;DEF;MASC;SG	N
comitatul	縣	comitat	縣	N;DEF;MASC;SG	N
harta	地圖	hartă	地圖	N;DEF;FEM;SG	N
marea	大海	mare	大海	N;DEF;FEM;SG	N
marea	海上	mare	海上	N;DEF;FEM;SG	N
marea	海	mare	海	N;DEF;FEM;SG	N
aproape	幾乎	aproape	幾乎	ADV	ADV
raport	報告	raport	報告	N;INDF;MASC;SG	N
echipa	班長	echipă	班長	N;DEF;FEM;SG	N
echipa	小隊	echipă	小隊	N;DEF;FEM;SG	N
echipa	團隊	echipă	團隊	N;DEF;FEM;SG	N
echipa	球隊	echipă	球隊	N;DEF;FEM;SG	N
echipa	隊伍	echipă	隊伍	N;DEF;FEM;SG	N
diferite	不同	diferit	不同	ADJ;INDF;FEM;PL	ADJ
baza	基地	bază	基地	N;DEF;FEM;SG	N
baza	基礎	bază	基礎	N;DEF;FEM;SG	N
baza	基數	bază	基數	N;DEF;FEM;SG	N
special	特別	special	特別	ADV	ADV
valea	河谷	vale	河谷	N;DEF;FEM;SG	N
valea	谷	vale	谷	N;DEF;FEM;SG	N
valea	山谷	vale	山谷	N;DEF;FEM;SG	N
valea	谷地	vale	谷地	N;DEF;FEM;SG	N
ele	她們	el	她	PRO;FEM;PL;3	PRO;PL;3
ele	他們	el	他	PRO;FEM;PL;3	PRO;PL;3
ele	它們	el	它	PRO;FEM;PL;3	PRO;PL;3
zona	區	zonă	區	N;DEF;FEM;SG	N
zona	區域	zonă	區域	N;DEF;FEM;SG	N
zona	面積	zonă	面積	N;DEF;FEM;SG	N
zona	地區	zonă	地區	N;DEF;FEM;SG	N
zona	區域	zonă	區域	N;DEF;FEM;SG	N
zona	區	zonă	區	N;DEF;FEM;SG	N
satului	村	sat	村	N;DEF;MASC;SG	N
satului	鄉村	sat	鄉村	N;DEF;MASC;SG	N
satului	村	sat	村	N;DEF;MASC;SG	N
satului	村落	sat	村落	N;DEF;MASC;SG	N
satului	村子	sat	村子	N;DEF;MASC;SG	N
împărat	皇帝	împărat	皇帝	N;INDF;MASC;SG	N
împărat	天皇	împărat	天皇	N;INDF;MASC;SG	N
resedinta	住宅	resedinta	住宅	N;DEF;FEM;SG	N
resedinta	居所	resedinta	居所	N;DEF;FEM;SG	N
viața	生命	viață	生命	N;DEF;FEM;SG	N
viața	人生	viață	人生	N;DEF;FEM;SG	N
format	格式	format	格式	N;INDF;MASC;SG	N
format	形式	format	形式	N;INDF;MASC;SG	N
format	格式	format	格式	N;INDF;MASC;SG	N
președinte	總統	președinte	總統	N;INDF;MASC;SG	N
președinte	主席	președinte	主席	N;INDF;MASC;SG	N
președinte	主席	președinte	主席	N;INDF;MASC;SG	N
oameni	人	om	人	N;INDF;MASC;PL	N
oameni	人們	om	人	N;INDF;MASC;PL	N;PL
oameni	人民	om	人民	N;INDF;MASC;PL	N
suprafață	表面	suprafață	表面	N;INDF;FEM;SG	N
suprafață	地面	suprafață	地面	N;INDF;FEM;SG	N
suprafață	地表	suprafață	地表	N;INDF;FEM;SG	N
suprafață	面積	suprafață	面積	N;INDF;FEM;SG	N
suprafață	地區	suprafață	地區	N;INDF;FEM;SG	N
suprafață	區域	suprafață	區域	N;INDF;FEM;SG	N
suprafață	區	suprafață	區	N;INDF;FEM;SG	N
universitatea	大學	universitate	大學	N;DEF;FEM;SG	N
team	團隊	team	團隊	N;INDF;MASC;SG	N
team	球隊	team	球隊	N;INDF;MASC;SG	N
team	隊伍	team	隊伍	N;INDF;MASC;SG	N
copii	小孩	copil	小孩	N;INDF;MASC;PL	N
copii	兒童	copil	兒童	N;INDF;MASC;PL	N
lucru	工作	lucru	工作	N;INDF;MASC;SG	N
cazul	案例	caz	案例	N;DEF;MASC;SG	N
cazul	個案	caz	個案	N;DEF;MASC;SG	N
cazul	案件	caz	案件	N;DEF;MASC;SG	N
recensământul	人口	recensământ	人口	N;DEF;MASC;SG	N
recensământul	普查	recensământ	普查	N;DEF;MASC;SG	N
centrul	中心	centru	中心	N;DEF;MASC;SG	N
centrul	中心	centru	中心	N;DEF;MASC;SG	N
teritoriul	領地	teritoriu	領地	N;DEF;MASC;SG	N
teritoriul	領土	teritoriu	領土	N;DEF;MASC;SG	N
număr	數字	număr	數字	N;INDF;MASC;SG	N
număr	數	număr	數	N;INDF;MASC;SG	N
număr	號碼	număr	號碼	N;INDF;MASC;SG	N
număr	編號	număr	編號	N;INDF;MASC;SG	N
cauza	原因	cauză	原因	N;DEF;FEM;SG	N
serie	系列	serie	系列	N;INDF;FEM;SG	N
vechi	舊	vechi	舊	ADJ;INDF;MASC;SG	ADJ
reședința	住宅	reședință	住宅	N;DEF;FEM;SG	N
reședința	居所	reședință	居所	N;DEF;FEM;SG	N
munții	山	munte	山	N;INDF;MASC;PL	N
munții	山脈	munte	山脈	N;INDF;MASC;PL	N
munții	山區	munte	山區	N;INDF;MASC;PL	N
limbi	語言	limbă	語言	N;INDF;FEM;PL	N
limbi	語文	limbă	語文	N;INDF;FEM;PL	N
fel	善良	fel	善良	N;INDF;MASC;SG	N
apelor	水域	apă	水域	N;DEF;FEM;PL	N
fotbal	足球	fotbal	足球	N;INDF;MASC;SG	N
fotbal	足球	fotbal	足球	N;INDF;MASC;SG	N
fotbal	美式	fotbal	美式	N;INDF;MASC;SG	N
fotbal	橄欖	fotbal	橄欖	N;INDF;MASC;SG	N
regele	國王	rege	國王	N;DEF;MASC;SG	N
fiul	兒子	fiu	兒子	N;DEF;MASC;SG	N
viteză	速度	viteză	速度	N;INDF;FEM;SG	N
viteză	速	viteză	速	N;INDF;FEM;SG	N
orașe	城市	oraș	城市	N;INDF;FEM;PL	N
satele	鄉村	sat	鄉村	N;DEF;FEM;PL	N
satele	村	sat	村	N;DEF;FEM;PL	N
viață	生命	viață	生命	N;INDF;FEM;SG	N
viață	人生	viață	人生	N;INDF;FEM;SG	N
informații	資訊	informație	資訊	N;INDF;FEM;PL	N
titlu	頭條	titlu	頭條	N;INDF;MASC;SG	N
titlu	標題	titlu	標題	N;INDF;MASC;SG	N
goluri	目標	gol	目標	N;INDF;FEM;PL	N
titlul	標題	titlu	標題	N;DEF;MASC;SG	N
album	相簿	album	相簿	N;INDF;MASC;SG	N
album	專輯	album	專輯	N;INDF;MASC;SG	N
imperiul	帝國	imperiu	帝國	N;DEF;MASC;SG	N
moartea	死神	moarte	死神	N;DEF;FEM;SG	N
fața	臉	față	臉	N;DEF;FEM;SG	N
fața	臉部	față	臉部	N;DEF;FEM;SG	N
armata	集團	armată	集團	N;DEF;FEM;SG	N
armata	軍隊	armată	軍隊	N;DEF;FEM;SG	N
armata	軍	armată	軍	N;DEF;FEM;SG	N
armata	陸軍	armată	陸軍	N;DEF;FEM;SG	N
formă	形狀	formă	形狀	N;INDF;FEM;SG	N
formă	形式	formă	形式	N;INDF;FEM;SG	N
formă	表格	formă	表格	N;INDF;FEM;SG	N
rolul	作用	rol	作用	N;DEF;MASC;SG	N
rolul	角色	rol	角色	N;DEF;MASC;SG	N
des	時常	des	時常	ADV	ADV
des	常常	des	常常	ADV	ADV
des	經常	des	經常	ADV	ADV
epocă	復古	epocă	復古	N;INDF;FEM;SG	N
principal	校長	principal	校長	N;INDF;MASC;SG	N
forma	形狀	formă	形狀	N;DEF;FEM;SG	N
forma	形式	formă	形式	N;DEF;FEM;SG	N
forma	表格	formă	表格	N;DEF;FEM;SG	N
gen	性別	gen	性別	N;INDF;MASC;SG	N
gen	類型	gen	類型	N;INDF;MASC;SG	N
gen	流派	gen	流派	N;INDF;MASC;SG	N
gen	屬	gen	屬	N;INDF;MASC;SG	N
importante	重要	important	重要	ADJ;INDF;FEM;PL	ADJ
aur	黃金	aur	黃金	N;INDF;MASC;SG	N
aur	金色	aur	金色	N;INDF;MASC;SG	N
orbită	軌道	orbită	軌道	N;INDF;FEM;SG	N
rotație	輪值	rotație	輪值	N;INDF;FEM;SG	N
pol	竿	pol	竿	N;INDF;MASC;SG	N
pol	鋼管	pol	鋼管	N;INDF;MASC;SG	N
lume	世界	lume	世界	N;INDF;FEM;SG	N
revista	雜誌	revistă	雜誌	N;DEF;FEM;SG	N
asta	這	acesta	這	PRO;FEM;SG;3	PRO
profesor	教授	profesor	教授	N;INDF;MASC;SG	N
profesor	老師	profesor	老師	N;INDF;MASC;SG	N
profesor	教師	profesor	教師	N;INDF;MASC;SG	N
planetelor	行星	planetă	行星	N;DEF;FEM;PL	N
cinci	五	cinci	五	NUM;PL	NUM
cinci	五	cinci	五	NUM;PL	NUM
lumea	世界	lume	世界	N;DEF;FEM;SG	N
muzică	音樂	muzică	音樂	N;INDF;FEM;SG	N
țara	國家	țară	國家	N;DEF;FEM;SG	N
centru	中心	centru	中心	N;INDF;MASC;SG	N
centru	中心	centru	中心	N;INDF;MASC;SG	N
istorie	歷史	istorie	歷史	N;INDF;FEM;SG	N
districtul	區	district	區	N;DEF;MASC;SG	N
districtul	地區	district	地區	N;DEF;MASC;SG	N
altitudine	海拔	altitudine	海拔	N;INDF;FEM;SG	N
altitudine	高度	altitudine	高度	N;INDF;FEM;SG	N
regatul	王國	regat	王國	N;DEF;MASC;SG	N
regatul	國度	regat	國度	N;DEF;MASC;SG	N
conține	含有	conține	含有	V;IND;SG;3;PRS;FIN	V
conține	包含	conține	包含	V;IND;SG;3;PRS;FIN	V
activitatea	動態	activitate	動態	N;DEF;FEM;SG	N
activitatea	活動	activitate	活動	N;DEF;FEM;SG	N
inițial	原本	inițial	原本	ADV	ADV
artă	美術	artă	美術	N;INDF;FEM;SG	N
artă	藝術	artă	藝術	N;INDF;FEM;SG	N
artă	藝術	artă	藝術	N;INDF;FEM;SG	N
body	屍體	body	屍體	N;INDF;MASC;SG	N
body	體	body	體	N;INDF;MASC;SG	N
body	身體	body	身體	N;INDF;MASC;SG	N
imagini	影像	imagine	影像	N;INDF;FEM;PL	N
imagini	圖片	imagine	圖片	N;INDF;FEM;PL	N
imagini	圖片	imagine	圖片	N;INDF;FEM;PL	N
imagini	像片	imagine	像片	N;INDF;FEM;PL	N
imagini	圖畫	imagine	圖畫	N;INDF;FEM;PL	N
imagini	照片	imagine	照片	N;INDF;FEM;PL	N
spune	說	spune	說	V;IND;SG;3;PRS;FIN	V
domeniul	網域	domeniu	網域	N;DEF;MASC;SG	N
domeniul	域	domeniu	域	N;DEF;MASC;SG	N
școala	學校	școală	學校	N;DEF;FEM;SG	N
succes	成功	succes	成功	N;INDF;MASC;SG	N
provincie	省	provincie	省	N;INDF;FEM;SG	N
provincie	省省	provincie	省省	N;INDF;FEM;SG	N
provincie	省份	provincie	省份	N;INDF;FEM;SG	N
primar	市長	primar	市長	N;INDF;MASC;SG	N
primar	鎮長	primar	鎮長	N;INDF;MASC;SG	N
primar	初級	primar	初級	N;INDF;MASC;SG	N
scriitor	作家	scriitor	作家	N;INDF;MASC;SG	N
scriitor	作者	scriitor	作者	N;INDF;MASC;SG	N
scriitor	編劇	scriitor	編劇	N;INDF;MASC;SG	N
sistemul	系統	sistem	系統	N;DEF;MASC;SG	N
ziua	白天	zi	白天	N;DEF;FEM;SG	N
single	單人	single	單人	N;INDF;MASC;SG	N
single	單身	single	單身	N;INDF;MASC;SG	N
războiul	戰	război	戰	N;DEF;MASC;SG	N
războiul	戰爭	război	戰爭	N;DEF;MASC;SG	N
ministru	大臣	ministru	大臣	N;INDF;MASC;SG	N
ministru	部長	ministru	部長	N;INDF;MASC;SG	N
familie	家人	familie	家人	N;INDF;FEM;SG	N
familie	家屬	familie	家屬	N;INDF;FEM;SG	N
familie	家庭	familie	家庭	N;INDF;FEM;SG	N
țări	國家	țară	國家	N;INDF;FEM;PL	N
țări	各國	țară	各國	N;INDF;FEM;PL	N
funcția	功能	funcție	功能	N;DEF;FEM;SG	N
funcția	職能	funcție	職能	N;DEF;FEM;SG	N
funcția	函數	funcție	函數	N;DEF;FEM;SG	N
lucrări	工程	lucrare	工程	N;INDF;FEM;PL	N
lucrări	作品	lucrare	作品	N;INDF;FEM;PL	N
curs	課程	curs	課程	N;INDF;MASC;SG	N
sistem	系統	sistem	系統	N;INDF;MASC;SG	N
sudul	南部	sud	南部	N;DEF;MASC;SG	N
sudul	南	sud	南	N;DEF;MASC;SG	N
sudul	南部	sud	南部	N;DEF;MASC;SG	N
vreme	天氣	vreme	天氣	N;INDF;FEM;SG	N
vreme	氣象	vreme	氣象	N;INDF;FEM;SG	N
autor	作者	autor	作者	N;INDF;MASC;SG	N
mediu	平均	mediu	平均	ADJ;INDF;MASC;SG	ADJ
prea	太	prea	太	ADV	ADV
funcție	功能	funcție	功能	N;INDF;FEM;SG	N
funcție	職能	funcție	職能	N;INDF;FEM;SG	N
funcție	函數	funcție	函數	N;INDF;FEM;SG	N
categoria	類別	categorie	類別	N;DEF;FEM;SG	N
nivel	層次	nivel	層次	N;INDF;MASC;SG	N
nivel	級別	nivel	級別	N;INDF;MASC;SG	N
nivel	等級	nivel	等級	N;INDF;MASC;SG	N
nivel	關卡	nivel	關卡	N;INDF;MASC;SG	N
top	頂	top	頂	N;INDF;MASC;SG	N
top	頂端	top	頂端	N;INDF;MASC;SG	N
top	熱門	top	熱門	N;INDF;MASC;SG	N
biserică	教會	biserică	教會	N;INDF;FEM;SG	N
biserică	教堂	biserică	教堂	N;INDF;FEM;SG	N
cartea	圖書	carte	圖書	N;DEF;FEM;SG	N
cartea	書	carte	書	N;DEF;FEM;SG	N
cartea	書籍	carte	書籍	N;DEF;FEM;SG	N
filme	影片	film	影片	N;INDF;FEM;PL	N
filme	電影	film	電影	N;INDF;FEM;PL	N
noua	新	nou	新	ADJ;DEF;FEM;SG	ADJ
muzeul	博物	muzeu	博物	N;DEF;MASC;SG	N
city	城市	city	城市	N;INDF;MASC;SG	N
city	市	city	市	N;INDF;MASC;SG	N
city	城	city	城	N;INDF;MASC;SG	N
luptă	戰	luptă	戰	N;INDF;FEM;SG	N
luptă	戰役	luptă	戰役	N;INDF;FEM;SG	N
luptă	戰鬥	luptă	戰鬥	N;INDF;FEM;SG	N
luptă	打架	luptă	打架	N;INDF;FEM;SG	N
luptă	戰鬥	luptă	戰鬥	N;INDF;FEM;SG	N
luni	月	lună	月	N;INDF;FEM;PL	N
luni	月份	lună	月份	N;INDF;FEM;PL	N
luni	週	lună	週	N;INDF;FEM;PL	N
luni	星期	lună	星期	N;INDF;FEM;PL	N
zone	地區	zonă	地區	N;INDF;FEM;PL	N
radio	電台	radio	電台	N;INDF;MASC;SG	N
radio	廣播	radio	廣播	N;INDF;MASC;SG	N
radio	廣播	radio	廣播	N;INDF;MASC;SG	N
deja	已經	deja	已經	ADV	ADV
monument	碑	monument	碑	N;INDF;MASC;SG	N
