for	für	for	für	ADP	ADP
amerikansk	amerikanisch	amerikansk	amerikanisch	ADJ;INDF;SG	ADJ
lille	kleines	lille	klein	ADJ;SG	ADJ;NOM;NEUT;SG
lille	kleiner	lille	klein	ADJ;SG	ADJ
lille	klein	lille	klein	ADJ;SG	ADJ
lille	kleiner	lille	klein	ADJ;SG	ADJ
lille	klein	lille	klein	ADJ;SG	ADJ
hendes	ihres	hendes	ihr	DET;3	DET;GEN;MASC;SG
hendes	ihre	hendes	ihr	DET;3	DET;NOM;FEM;SG
således	somit	således	somit	ADV	ADV
således	daher	således	daher	ADV	ADV
kort	landkarte	kort	landkart	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kort	kurzer	kort	kurz	ADJ;INDF;SG	ADJ
kort	kurz	kort	kurz	ADJ;INDF;SG	ADJ
kort	kurzen	kort	kurz	ADJ;INDF;SG	ADJ;ACC;MASC;SG
kort	landkarte	kort	landkart	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kort	kreditkarten	kort	kreditkarten	ADJ;INDF;SG	ADJ
kort	kartenspiel	kort	kartenspiel	ADJ;INDF;SG	ADJ
kort	visitenkarte	kort	visitenkarte	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kort	kreditkarte	kort	kreditkarte	ADJ;INDF;SG	ADJ;NOM;FEM;SG
artikler	satzung	artikel	satzung	N;INDF;MASC+FEM;PL	N
begyndte	begonnen	begynde	beginnen	V;IND;PST;FIN;ACT	V;V.PTCP
begyndte	angefangen	begynde	anfangen	V;IND;PST;FIN;ACT	V;V.PTCP
begyndte	begann	begynde	beginnen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
begyndte	gestartet	begynde	starten	V;IND;PST;FIN;ACT	V;V.PTCP
begyndte	begonnen	begynde	beginnen	V;IND;PST;FIN;ACT	V;V.PTCP
begyndte	begannen	begynde	beginnen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
begyndte	begann	begynde	beginnen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
udgivet	freigelassen	udgive	freilassen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udgivet	erschienen	udgive	erscheinen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udgivet	freigegeben	udgive	freigeben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udgivet	veröffentlicht	udgive	veröffentlichen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udgivet	veröffentlichte	udgive	veröffentlichen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
udgivet	publiziert	udgive	publizieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udgivet	veröffentlichte	udgive	veröffentlichen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
udgivet	erschienen	udgive	erscheinen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udgivet	veröffentlicht	udgive	veröffentlichen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
gamle	alten	gammel	alt	ADJ;PL	ADJ;NOM;MASC;PL
gamle	alte	gammel	alt	ADJ;PL	ADJ;NOM;FEM;PL
gamle	altstadt	gammel	altstadt	ADJ;PL	ADJ
gamle	alter	gammel	alt	ADJ;PL	ADJ
gamle	alt	gammel	alt	ADJ;PL	ADJ
bedste	besten	god	gut	ADJ;DEF;RL	ADJ
bedste	schönste	god	schön	ADJ;DEF;RL	ADJ;NOM;FEM;SG
bedste	bestes	god	gut	ADJ;DEF;RL	ADJ;NOM;NEUT;SG
bedste	beste	god	gut	ADJ;DEF;RL	ADJ;NOM;FEM;PL
døde	tot	død	tot	ADJ;PL	ADJ
amerikanske	amerikanische	amerikansk	amerikanisch	ADJ;PL	ADJ;NOM;FEM;PL
amerikanske	amerikaner	amerikansk	amerikaner	ADJ;PL	ADJ
amerikanske	amerikanischen	amerikansk	amerikanisch	ADJ;PL	ADJ;NOM;PL
amerikanske	amerikanisch	amerikansk	amerikanisch	ADJ;PL	ADJ
tysk	deutschen	tysk	deutsch	ADJ;INDF;SG	ADJ
tysk	deutscher	tysk	deutsch	ADJ;INDF;SG	ADJ
tysk	deutsch	tysk	deutsch	ADJ;INDF;SG	ADJ
meter	messgeräte	meter	meßgerät	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
gruppe	gruppe	gruppe	grappe	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
gruppe	gruppierung	gruppe	gruppierung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
gruppe	unternehmensgruppe	gruppe	unternehmensgruppe	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
stedet	ort	sted	ort	N;DEF;NEUT;SG	N;NOM;MASC;SG
lige	gerade	lige	gerade	ADV	ADV
lige	gleich	lige	gleich	ADV	ADV
spillet	spielte	spille	spielen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
spillet	gespielt	spille	spielen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
spillet	abgespielt	spille	abspielen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
hver	jedes	hver	jed	PRO;MASC+FEM;SG	PRO;NOM;INDF;NEUT;SG
hver	jeder	hver	jed	PRO;MASC+FEM;SG	PRO;NOM;INDF;MASC;SG
hver	jeden	hver	jed	PRO;MASC+FEM;SG	PRO;ACC;INDF;MASC;SG
hver	jede	hver	jed	PRO;MASC+FEM;SG	PRO;NOM;INDF;FEM;SG
hver	jedes	hver	jed	PRO;MASC+FEM;SG	PRO;NOM;INDF;NEUT;SG
hver	jeder	hver	jed	PRO;MASC+FEM;SG	PRO;NOM;INDF;MASC;SG
hver	jedem	hver	jed	PRO;MASC+FEM;SG	PRO;DAT;INDF;MASC;SG
hver	jeden	hver	jed	PRO;MASC+FEM;SG	PRO;ACC;INDF;MASC;SG
hver	jede	hver	jed	PRO;MASC+FEM;SG	PRO;NOM;INDF;FEM;SG
allerede	schon	allerede	schon	ADV	ADV
allerede	bereits	allerede	bereits	ADV	ADV
ingen	niemand	ingen	niemand	PRO;MASC+FEM;SG	PRO;NOM;INDF;SG
ingen	niemandem	ingen	niemand	PRO;MASC+FEM;SG	PRO;DAT;INDF;NEUT;SG
historie	erzählung	historie	erzählung	N;INDF;MASC+FEM;SG	N;FEM;SG
engelsk	englisch	engelsk	englisch	ADJ;INDF;SG	ADJ
engelsk	deutsch	engelsk	deutsch	ADJ;INDF;SG	ADJ
stadig	noch	stadig	noch	ADV	ADV
stadig	trotzdem	stadig	trotzdem	ADV	ADV
sted	ort	sted	ort	N;INDF;NEUT;SG	N;NOM;MASC;SG
sted	ort	sted	ort	N;INDF;NEUT;SG	N;NOM;MASC;SG
sted	standorte	sted	standort	N;INDF;NEUT;SG	N;NOM
gift	verheiratet	gift	verheiraten	ADJ;INDF;SG	ADJ;V.PTCP
forhold	beziehung	forhold	Beziehung	N;INDF;NEUT;SG	N;SG
forhold	beziehung	forhold	Beziehung	N;INDF;NEUT;SG	N;SG
spiller	spielt	spille	spielen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
spiller	abspielen	spille	abspielen	V;IND;PRS;FIN;ACT	V;NFIN
spiller	spielen	spille	spielen	V;IND;PRS;FIN;ACT	V;NFIN
kommer	kommt	komme	kommen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kommer	komme	komme	kommen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kommer	kommt	komme	kommen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kommer	kommen	komme	kommen	V;IND;PRS;FIN;ACT	V;NFIN
især	besonders	især	besonders	ADV	ADV
især	insbesondere	især	insbesondere	ADV	ADV
især	besonders	især	besonders	ADV	ADV
især	vorallem	især	vorallem	ADV	ADV
især	insbesondere	især	insbesondere	ADV	ADV
kampe	übereinstimmungen	kamp	übereinstimmung	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	spiele	kamp	spiel	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
kampe	kampfhandlungen	kamp	kampfhandlungen	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
kampe	spiele	kamp	spiel	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
dermed	somit	dermed	somit	ADV	ADV
dermed	daher	dermed	daher	ADV	ADV
går	spazieren	gå	spazieren	V;IND;PRS;FIN;ACT	V;NFIN
går	wanderungen	gå	wanderung	V;IND;PRS;FIN;ACT	V;NFIN
går	wandern	gå	wandern	V;IND;PRS;FIN;ACT	V;NFIN
går	gehe	gå	gehen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
går	gehen	gå	gehen	V;IND;PRS;FIN;ACT	V;NFIN
går	geht	gå	gehen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
går	wanderungen	gå	wanderung	V;IND;PRS;FIN;ACT	V;NFIN
fordi	weil	fordi	weil	CONJ	CONJ
syd	süd	syd	süd	N;INDF	N;NOM;NEUT;SG
skrevet	geschrieben	skrive	schreiben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
består	besteht	bestå	bestehen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ned	hinunter	ned	hinunter	ADV	ADV
ned	abwärts	ned	abwärts	ADV	ADV
ned	unten	ned	unten	ADV	ADV
form	form	form	form	N;INDF;MASC+FEM;SG	N;SG
form	form	form	form	N;INDF;MASC+FEM;SG	N;SG
gjorde	tat	gøre	tun	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
nogen	jemand	nogen	jemand	PRO;MASC+FEM;SG	PRO;NOM;INDF;SG
nogen	jeder	nogen	jed	PRO;MASC+FEM;SG	PRO;NOM;INDF;MASC;SG
nogen	jemand	nogen	jemand	PRO;MASC+FEM;SG	PRO;NOM;INDF;SG
nogen	jemand	nogen	jemand	PRO;MASC+FEM;SG	PRO;NOM;INDF;SG
arbejde	werk	arbejde	werk	N;INDF;NEUT;SG	N;NOM;NEUT;SG
arbejde	arbeit	arbejde	arbeit	N;INDF;NEUT;SG	N;NOM;FEM;SG
børn	kinder	barn	kinder	N;INDF;NEUT;PL	N;NOM;NEUT;PL
børn	kindern	barn	kindern	N;INDF;NEUT;PL	N;NOM;NEUT;PL
børn	kinder	barn	kinder	N;INDF;NEUT;PL	N;NOM;NEUT;PL
børn	kindern	barn	kindern	N;INDF;NEUT;PL	N;NOM;NEUT;PL
lidt	etwas	lidt	etwas	ADV	ADV
verden	welt	verden	welt	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	ADJ
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	ADJ
lang	langen	lang	lang	ADJ;INDF;MASC+FEM;SG	ADJ
lang	langer	lang	lang	ADJ;INDF;MASC+FEM;SG	ADJ
plads	sitz	plads	sitz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plads	ort	plads	ort	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
får	schafen	få	schafen	V;IND;PRS;FIN;ACT	V;NFIN
får	bekommen	få	bekommen	V;IND;PRS;FIN;ACT	V;NFIN
samtidig	zugleich	samtidig	zugleich	ADV	ADV
stort	groß	stor	groß	ADJ;INDF;NEUT;SG	ADJ
stort	großer	stor	groß	ADJ;INDF;NEUT;SG	ADJ
stort	groß	stor	groß	ADJ;INDF;NEUT;SG	ADJ
stort	großes	stor	groß	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
derefter	dann	derefter	dann	ADV	ADV
derefter	damals	derefter	damals	ADV	ADV
derefter	danach	derefter	danach	ADV	ADV
indeholder	enthält	indeholde	enthalten	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
indeholder	beinhaltet	indeholde	beinhalten	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
indeholder	enthalten	indeholde	enthalten	V;IND;PRS;FIN;ACT	V;NFIN
indeholder	enthält	indeholde	enthalten	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
