for	pre	for	pre	ADP	ADP;ACC
hadde	mal	ha	mať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
hadde	mala	ha	mať	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
over	nad	over	nad	ADP	ADP;INS
første	prvý	første	prvý	ADJ;DEF;SG	ADJ;ANIM;NOM;MASC;SG
første	prvy	første	prva	ADJ;DEF;SG	ADJ;INAN;NOM;MASC;SG
første	prvé	første	prvý	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
første	prvá	første	prvý	ADJ;DEF;SG	ADJ;NOM;FEM;SG
sin	jej	sin	ona	PRO;MASC;SG	PRO;DAT;FEM;SG;3
født	narodená	føde	narodený	ADJ;INDF;SG;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
født	narodené	føde	narodený	ADJ;INDF;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
født	narodený	føde	narodený	ADJ;INDF;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
mot	proti	mot	proti	ADP	ADP;DAT
der	tam	der	tam	ADV	ADV
mellom	medzi	mellom	medzi	ADP	ADP;INS
fikk	dostala	fikk	dostať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
fikk	dostali	fikk	dostať	V;IND;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
fikk	dostal	fikk	dostať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
blir	zostať	bli	zostať	V;IND;PRS;FIN	V;PFV;POS;NFIN
kom	poď	kome	ísť	V;IMP;PST;FIN	V;IPFV;IMP;SG;2;POS;FIN
mange	mnohí	mange	mnoho	ADJ;PL	ADJ;ANIM;NOM;MASC;PL
cest	selč	cra	selč	N	N;INAN;NOM;MASC;SG
før	pred	før	pred	ADP	ADP;INS
død	smrt	død	smrt	N;INDF;MASC;SG	N;NOM;FEM;SG
død	smrť	død	smrť	N;INDF;MASC;SG	N;NOM;FEM;SG
død	úmrtie	død	úmrtie	N;INDF;MASC;SG	N;NOM;NEUT;SG
død	mŕtve	død	mŕtvy	N;INDF;MASC;SG	N;NOM;NEUT;SG
del	zdieľať	dele	zdieľať	V;IMP;FIN	V;IPFV;POS;NFIN
tre	tri	tre	tri	NUM;PL	NUM;INAN;NOM;MASC;PL
tre	troch	tre	tri	NUM;PL	NUM;GEN;MASC;PL
tre	traja	tre	tri	NUM;PL	NUM;ANIM;NOM;MASC;PL
vil	chcieť	vilje	chcieť	V;IND;PRS;FIN	V;IPFV;POS;NFIN
vil	chceš	vilje	chcieť	V;IND;PRS;FIN	V;IPFV;IND;SG;2;POS;PRS;FIN
vil	chcem	vilje	chcieť	V;IND;PRS;FIN	V;IPFV;IND;SG;1;POS;PRS;FIN
skal	ideme	skulle	ísť	V;IND;PRS;FIN	V;IPFV;IND;PL;1;POS;PRS;FIN
skal	ide	skulle	ísť	V;IND;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
skal	ideš	skulle	ísť	V;IND;PRS;FIN	V;IPFV;IND;SG;2;POS;PRS;FIN
vært	bola	vært	byť	V;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
vært	bol	vært	byť	V;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
kjent	známe	kjent	známy	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
kjent	známa	kjent	známy	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
kjent	známym	kjent	známy	ADJ;INDF;NEUT;SG	ADJ;INS;MASC;SG
kjent	známy	kjent	známy	ADJ;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
kjent	známe	kjent	známy	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
mai	mája	mai	máj	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
bare	jedine	bare	jedine	ADV	ADV
bare	práve	bare	práve	ADV	ADV
kommune	farnosti	kommune	farnosť	N;INDF;MASC;SG	N;DAT;FEM;SG
kommune	samospráva	kommune	samosprávať	N;INDF;MASC;SG	N;NOM;FEM;SG
kommune	obec	kommune	obec	N;INDF;MASC;SG	N;NOM;FEM;SG
kunne	mohla	kunne	môcť	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
kunne	mohol	kunne	môcť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
kunne	mohli	kunne	môcť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
kunne	mohlo	kunne	môcť	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
gjennom	prostredníctvom	gjennom	prostredníctvom	ADP	ADP;GEN
gjennom	cez	gjennom	cez	ADP	ADP;ACC
ord	slova	ord	slovo	N;INDF;NEUT;PL	N;NOM;NEUT;PL
ord	slov	ord	slovo	N;INDF;NEUT;PL	N;GEN;NEUT;PL
ord	slová	ord	slovo	N;INDF;NEUT;PL	N;NOM;NEUT;PL
mens	kým	mens	kým	CONJ	CONJ
rundt	okolo	rundt	okolo	ADP	ADP;GEN
sine	ich	sin	on	PRO;PL	PRO;NOM;MASC;PL;3
her	sem	her	sem	ADV	ADV
her	tu	her	tu	ADV	ADV
når	kedy	når	kedy	ADV	ADV
byen	mesto	by	mesto	N;DEF;MASC;SG	N;NOM;NEUT;SG
byen	mesta	by	mesto	N;DEF;MASC;SG	N;NOM;NEUT;SG
byen	mestečko	by	mestečko	N;DEF;MASC;SG	N;NOM;NEUT;SG
byen	mesto	by	mesto	N;DEF;MASC;SG	N;NOM;NEUT;SG
byen	mesta	by	mesto	N;DEF;MASC;SG	N;NOM;NEUT;SG
gikk	išiel	gå	ísť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gikk	išla	gå	ísť	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
gikk	šiel	gå	ísť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gikk	kráčal	gå	kráčať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gikk	vošiel	gå	vojsť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
januar	januára	januar	január	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
januar	január	januar	január	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
januar	januári	januar	január	N;INDF;MASC;SG	N;INAN;ESS;MASC;SG
skulle	malo	skulle	mať	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
august	auguste	august	augusta	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
august	august	august	august	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
august	augusta	august	augusta	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
navn	názov	navn	názov	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
navn	meno	navn	meno	N;INDF;NEUT;SG	N;NOM;NEUT;SG
meter	metrov	meter	meter	N;INDF;MASC;PL	N;INAN;GEN;MASC;PL
meter	metre	meter	meter	N;INDF;MASC;PL	N;INAN;NOM;MASC;PL
meter	metrov	meter	meter	N;INDF;MASC;PL	N;INAN;GEN;MASC;PL
meter	metre	meter	meter	N;INDF;MASC;PL	N;INAN;NOM;MASC;PL
dag	deň	dag	deň	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
dag	dňa	dag	deň	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
navnet	názov	navn	názov	N;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
navnet	meno	navn	meno	N;DEF;NEUT;SG	N;NOM;NEUT;SG
mars	marec	mars	marec	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
mars	marci	mars	marec	N;INDF;MASC;SG	N;INAN;ESS;MASC;SG
mars	marca	mars	marec	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
mars	marcu	mars	marec	N;INDF;MASC;SG	N;INAN;DAT;MASC;SG
mars	pochod	mars	pochod	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
mars	marse	mars	marsa	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
plass	priestor	plass	priestor	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
plass	priestoru	plass	priestor	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
bli	zostať	bli	zostať	V;IMP;FIN	V;PFV;POS;NFIN
bli	ostať	bli	ostať	V;IMP;FIN	V;PFV;POS;NFIN
tid	dobe	tid	dobe	N;INDF;FEM;SG	N;DAT;FEM;SG
tid	čas	tid	čas	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
tid	doba	tid	doba	N;INDF;FEM;SG	N;NOM;FEM;SG
gang	dobe	gang	dobe	N;INDF;MASC;SG	N;DAT;FEM;SG
gang	čas	gang	čas	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
gang	doba	gang	doba	N;INDF;MASC;SG	N;NOM;FEM;SG
stor	veľké	stor	veľký	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
stor	veľká	stor	veľký	ADJ;INDF;SG	ADJ;NOM;FEM;SG
stor	veľký	stor	veľký	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
stor	veľký	stor	veľký	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
stor	veľké	stor	veľký	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
stor	veľká	stor	veľký	ADJ;INDF;SG	ADJ;NOM;FEM;SG
stor	obrovský	stor	obrovský	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
stor	obrovská	stor	obrovský	ADJ;INDF;SG	ADJ;NOM;FEM;SG
stor	obrovské	stor	obrovský	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
siste	posledným	sist	posledný	ADJ;DEF;SG	ADJ;INS;NEUT;SG
siste	posledný	sist	posledný	ADJ;DEF;SG	ADJ;INAN;NOM;MASC;SG
siste	posledné	sist	posledný	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
siste	konečné	sist	konečný	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
siste	konečná	sist	konečný	ADJ;DEF;SG	ADJ;NOM;FEM;SG
siste	záverečná	sist	záverečná	ADJ;DEF;SG	ADJ;NOM;FEM;SG
siste	konečný	sist	konečný	ADJ;DEF;SG	ADJ;ANIM;NOM;MASC;SG
siste	záverečné	sist	záverečný	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
siste	posledné	sist	posledný	ADJ;DEF;SG	ADJ;NOM;NEUT;SG
september	september	september	september	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
september	septembra	september	september	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
september	septembri	september	september	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
juni	júni	juni	jún	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
juni	júna	juni	jún	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
tok	zobrala	ta	zobrať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
tok	vzal	ta	vziať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
tok	bral	ta	brať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
oktober	októbra	oktober	október	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
oktober	október	oktober	október	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
april	apríl	april	aprila	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
april	apríla	april	apríl	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
juli	júl	juli	júl	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
juli	júla	juli	júla	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
går	kráčať	gå	kráčať	V;IND;PRS;FIN	V;IPFV;POS;NFIN
går	ideme	gå	ísť	V;IND;PRS;FIN	V;IPFV;IND;PL;1;POS;PRS;FIN
går	ide	gå	ísť	V;IND;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
går	ideš	gå	ísť	V;IND;PRS;FIN	V;IPFV;IND;SG;2;POS;PRS;FIN
går	pôjde	gå	ísť	V;IND;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
går	ide	gå	ísť	V;IND;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
går	kráča	gå	kráč	V;IND;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
totalt	celkový	total	celkový	ADJ;INDF;NEUT;SG	ADJ;INAN;NOM;MASC;SG
totalt	celkový	total	celkový	ADJ;INDF;NEUT;SG	ADJ;INAN;NOM;MASC;SG
totalt	celková	total	celkový	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
totalt	celkové	total	celkový	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
februar	februára	februar	február	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
februar	február	februar	február	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
november	novembri	november	november	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
november	november	november	november	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
november	novembra	november	november	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
desember	december	desember	december	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
desember	decembra	desember	december	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
desember	decembri	desember	december	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
desember	decembru	desember	december	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
fire	štyroch	fire	štyri	NUM;PL	NUM;ANIM;ACC;MASC;PL
fire	štyria	fire	štyri	NUM;PL	NUM;ANIM;NOM;MASC;PL
fire	štyri	fire	štyri	NUM;PL	NUM;INAN;NOM;MASC;PL
største	najväčšia	stor	veľký	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
største	najväčší	stor	veľký	ADJ;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
største	najväčší	stor	veľký	ADJ;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
største	najväčšia	stor	veľký	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
gruppen	skupinu	grupp	skupina	N;DEF;MASC;SG	N;ACC;FEM;SG
gruppen	skupina	grupp	skupina	N;DEF;MASC;SG	N;NOM;FEM;SG
new	novinka	new	novinka	N;INDF;SG	N;NOM;FEM;SG
deltok	zúčastnil	delta	zúčastniť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
deltok	zúčastnila	delta	zúčastniť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
deltok	zúčastnili	delta	zúčastniť	V;IND;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
deltok	navštevoval	delta	navštevovať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
deltok	zúčastnili	delta	zúčastniť	V;IND;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
deltok	zúčastnila	delta	zúčastniť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
igjen	znovu	igjen	znovu	ADV	ADV
igjen	znova	igjen	znova	ADV	ADV
igjen	opäť	igjen	opäť	ADV	ADV
laget	made	lag	made	N;DEF;NEUT;SG	N;NOM;FEM;SG
laget	mužstvo	lag	mužstvo	N;DEF;NEUT;SG	N;NOM;NEUT;SG
laget	tím	lag	tím	N;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
utgitt	publikované	utgitt	publikovaný	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
utgitt	zverejnená	utgitt	zverejnený	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
utgitt	zverejnené	utgitt	zverejnený	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
utgitt	uverejnené	utgitt	uverejnený	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
engelsk	angličtina	engelsk	angličtina	N;INDF;MASC;SG	N;NOM;FEM;SG
engelsk	angličtine	engelsk	angličtina	N;INDF;MASC;SG	N;DAT;FEM;SG
engelsk	slovenčina	engelsk	slovenčina	N;INDF;MASC;SG	N;NOM;FEM;SG
engelsk	slovak	engelsk	slovak	N;INDF;MASC;SG	N;NOM;NEUT;SG
brukt	použité	bruke	použitý	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
brukt	používané	bruke	používaný	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
brukt	použitý	bruke	použitý	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
brukt	použitá	bruke	použitý	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
først	najprv	først	najprv	ADV	ADV
land	krajine	land	krajina	N;INDF;NEUT;SG	N;DAT;FEM;SG
land	štát	land	štát	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
land	krajina	land	krajina	N;INDF;NEUT;SG	N;NOM;FEM;SG
land	pozemok	land	pozemok	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
land	pôda	land	pôda	N;INDF;NEUT;SG	N;NOM;FEM;SG
sommer	leto	sommer	leto	N;INDF;MASC;SG	N;NOM;NEUT;SG
liste	zoznam	liste	zoznam	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
liste	zoznamu	liste	zoznam	N;INDF;FEM;SG	N;INAN;GEN;MASC;SG
side	strana	side	strana	N;INDF;FEM;SG	N;NOM;FEM;SG
side	stránke	side	stránka	N;INDF;FEM;SG	N;DAT;FEM;SG
side	strana	side	strana	N;INDF;FEM;SG	N;NOM;FEM;SG
side	stránka	side	stránka	N;INDF;FEM;SG	N;NOM;FEM;SG
side	stránku	side	stránka	N;INDF;FEM;SG	N;ACC;FEM;SG
helt	hrdinom	helt	hrdina	N;INDF;MASC;SG	N;ANIM;INS;MASC;SG
helt	hrdinu	helt	hrdina	N;INDF;MASC;SG	N;ANIM;ACC;MASC;SG
helt	hrdina	helt	hrdina	N;INDF;MASC;SG	N;ANIM;NOM;MASC;SG
beste	najlepší	god	dobrý	ADJ;DEF;RL	ADJ;ANIM;NOM;RL;MASC;SG
beste	najlepšia	god	dobrý	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
amerikansk	americké	amerikansk	americký	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
amerikansk	americká	amerikansk	americký	ADJ;INDF;SG	ADJ;NOM;FEM;SG
amerikansk	americký	amerikansk	americký	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;SG
spilte	nehral	spilte	hrať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
spilte	hralo	spilte	hrať	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
spilte	hrala	spilte	hrať	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
spilte	hral	spilte	hrať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
spilte	hrali	spilte	hrať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
grunn	rozum	grunn	rozum	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
grunn	príčina	grunn	príčina	N;INDF;MASC;SG	N;NOM;FEM;SG
grunn	dôvod	grunn	dôvod	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
grunn	dovod	grunn	dovod	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
artikkelen	článku	artikkel	článok	N;DEF;MASC;SG	N;INAN;GEN;MASC;SG
artikkelen	článok	artikkel	článok	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
mindre	menšia	liten	malý	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	menší	liten	malý	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
mindre	menším	liten	malý	ADJ;CMPR	ADJ;INS;CMPR;NEUT;SG
mindre	menšiu	liten	malý	ADJ;CMPR	ADJ;ACC;CMPR;FEM;SG
mindre	menšia	liten	malý	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	menšia	liten	malý	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
rekke	séria	rekke	séria	N;INDF;FEM;SG	N;NOM;FEM;SG
rekke	rad	rekke	rad	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
rekke	sériu	rekke	séria	N;INDF;FEM;SG	N;ACC;FEM;SG
tillegg	doplnenie	tillegg	doplnenie	N;INDF;NEUT;SG	N;NOM;NEUT;SG
tillegg	pridávanie	tillegg	pridávanie	N;INDF;NEUT;SG	N;NOM;NEUT;SG
tillegg	pridanie	tillegg	pridanie	N;INDF;NEUT;SG	N;NOM;NEUT;SG
landet	krajine	land	krajina	N;DEF;NEUT;SG	N;DAT;FEM;SG
landet	štát	land	štát	N;DEF;NEUT;SG	N;INAN;NOM;MASC;SG
landet	krajina	land	krajina	N;DEF;NEUT;SG	N;NOM;FEM;SG
arter	druhov	arter	druh	N;INDF;FEM;PL	N;INAN;GEN;MASC;PL
arter	druhy	arter	druh	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
området	oblasť	område	oblasť	N;DEF;NEUT;SG	N;NOM;FEM;SG
området	plocha	område	plocha	N;DEF;NEUT;SG	N;NOM;FEM;SG
lag	mužstvo	lag	mužstvo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
lag	tím	lag	tím	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
årene	veslá	år	veslo	N;DEF;FEM;PL	N;NOM;NEUT;PL
tatt	prevzaté	ta	prevziať	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tatt	prijaté	ta	prijatý	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tatt	chytený	ta	chytený	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
tatt	rozbité	ta	rozbitý	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tatt	chytený	ta	chytený	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
bruk	používanie	bruk	používanie	N;INDF;MASC;SG	N;NOM;NEUT;SG
bruk	použitie	bruk	použitie	N;INDF;MASC;SG	N;NOM;NEUT;SG
øst	východ	øs	východ	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
døde	mŕtvi	død	mŕtvy	ADJ;PL	ADJ;ANIM;NOM;MASC;PL
county	county	county	count	N;INDF;SG	N;NOM;MASC;SG
tysk	nemčina	tysk	nemčina	N;INDF;MASC;SG	N;NOM;FEM;SG
større	väčšia	stor	veľký	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	väčší	stor	veľký	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
større	väčšiu	stor	veľký	ADJ;CMPR	ADJ;ACC;CMPR;FEM;SG
større	väčšia	stor	veľký	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	väčší	stor	veľký	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
større	väčšia	stor	veľký	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
større	väčší	stor	veľký	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
begynte	začali	begynne	začať	V;IND;PST;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
begynte	začalo	begynne	začať	V;IND;PST;FIN	V;PFV;NEUT;SG;POS;PST;V.PTCP
begynte	začal	begynne	začať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
begynte	začala	begynne	začať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
begynte	začal	begynne	začať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
begynte	začalo	begynne	začať	V;IND;PST;FIN	V;PFV;NEUT;SG;POS;PST;V.PTCP
begynte	začali	begynne	začať	V;IND;PST;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
begynte	začala	begynne	začať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
derfor	preto	derfor	preto	ADV	ADV
kirke	kostola	kirke	kostol	N;INDF;MASC;SG	N;INAN;GEN;MASC;SG
kirke	kostol	kirke	kostol	N;INDF;MASC;SG	N;INAN;NOM;MASC;SG
kirke	cirkev	kirke	cirkev	N;INDF;MASC;SG	N;NOM;FEM;SG
frem	povzbudenie	frem	povzbudenie	N;INDF;MASC;SG	N;NOM;NEUT;SG
frem	propagácia	frem	propagácia	N;INDF;MASC;SG	N;NOM;FEM;SG
artikler	články	artikke	článok	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
artikler	článkov	artikke	článok	N;INDF;FEM;PL	N;INAN;GEN;MASC;PL
artikler	predmety	artikke	predmet	N;INDF;FEM;PL	N;INAN;NOM;MASC;PL
