arsenal	οπλοστάσιο	arsenal	οπλοστάσιο	N;NOM;SG	N;NOM;NEUT;SG
ilmainen	ελεύθερη	ilmainen	ελεύθερος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
säätää	προσαρμόζει	säätää	προσαρμόζω	V;SG;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
hiili	άνθρακας	hiili	άνθρακα	N;NOM;SG	N;NOM;MASC;SG
hiili	άνθρακα	hiili	άνθρακο	N;NOM;SG	N;NOM;NEUT;SG
hiili	άνθρακας	hiili	άνθρακα	N;NOM;SG	N;NOM;MASC;SG
hiili	άνθρακα	hiili	άνθρακο	N;NOM;SG	N;NOM;NEUT;SG
viite	διαιτητής	viite	διαιτητής	N;NOM;SG	N;NOM;MASC;SG
viite	παραπομπή	viite	παραπομπή	N;NOM;SG	N;NOM;FEM;SG
viite	αναφορά	viite	αναφορά	N;NOM;SG	N;NOM;FEM;SG
huumeiden	ναρκωτικών	huume	ναρκωτικός	N;GEN;PL	N;GEN;NEUT;PL
saavutettu	επετεύχθη	saavuttaa	επιτυγχάνω	V;NOM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
saavutettu	επιτευχθεί	saavuttaa	επιτυγχάνω	V;NOM;SG;V.PTCP;PASS	V;PFV;3;NFIN;PASS
saavutettu	επιτεύχθηκε	saavuttaa	επιτυγχάνω	V;NOM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
hevoset	άλογα	hevonen	άλογος	N;NOM;PL	N;NOM;NEUT;PL
sävellykset	συνθέσεις	sävellys	σύνθεση	N;NOM;PL	N;NOM;FEM;PL
tuotettu	παράγεται	tuottaa	παράγω	V;NOM;SG;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
tuotettu	παράγεται	tuottaa	παράγω	V;NOM;SG;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
pelko	φόβος	pelko	φόβος	N;NOM;SG	N;NOM;MASC;SG
horn	κόρνα	horn	κόρνα	N;NOM;SG	N;NOM;FEM;SG
horn	κέρατο	horn	κέρατος	N;NOM;SG	N;NOM;NEUT;SG
ilmoitus	ειδοποίηση	ilmoitus	ειδοποίηση	N;NOM;SG	N;NOM;FEM;SG
ilmoitus	ανακοίνωση	ilmoitus	ανακοίνωση	N;NOM;SG	N;NOM;FEM;SG
ilmoitus	ειδοποίηση	ilmoitus	ειδοποίηση	N;NOM;SG	N;NOM;FEM;SG
ilmoitus	κοινοποίηση	ilmoitus	κοινοποίηση	N;NOM;SG	N;NOM;FEM;SG
sankarit	ήρωες	sankari	ήρωο	N;NOM;PL	N;NOM;MASC;PL
piiritys	πολιορκία	piiritys	πολιορκία	N;NOM;SG	N;NOM;FEM;SG
omistajat	ιδιοκτήτες	omistaja	ιδιοκτήτης	N;NOM;PL	N;NOM;MASC;PL
omistajat	κάτοχοι	omistaja	κάτοχος	N;NOM;PL	N;NOM;MASC;PL
donner	ντόνερ	donner	ντόνερ	N;NOM;SG	N;NOM;NEUT;SG
keskeyttää	αναστείλει	keskeyttää	αναστέλλω	V;IND;SG;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
keskeyttää	διακόπτει	keskeyttää	διακόπτω	V;IND;SG;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
hiljaa	αθόρυβα	hiljaa	αθόρυβα	ADV	ADV
hiljaa	ήσυχα	hiljaa	ησύχα	ADV	ADV
ohjauksen	διεύθυνσης	ohjaus	διεύθυνση	N;GEN;SG	N;GEN;FEM;SG
kunnia	δοξα	kunnia	δοξα	N;NOM;SG	N
työllistää	απασχολεί	työllistää	απασχολώ	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
linjat	ατάκες	linja	ατάκα	N;NOM;PL	N;NOM;FEM;PL
linjat	γραμμές	linja	γραμμή	N;NOM;PL	N;NOM;FEM;PL
veri	αίμα	veri	αίμα	N;NOM;SG	N;NOM;NEUT;SG
esineet	αντικείμενα	esine	αντικείμενο	N;NOM;PL	N;NOM;NEUT;PL
nimitetty	διορίζεται	nimittää	διορίζω	V;NOM;SG;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
nimitetty	διορίστηκε	nimittää	διορίζω	V;NOM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
tehtaat	εργοστάσια	tehdas	εργοστάσιο	N;NOM;PL	N;NOM;NEUT;PL
rajattu	περιορισμένη	rajata	περιορίζω	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
rajattu	περιορισμένο	rajata	περιορίζω	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
rajattu	περιορισμένος	rajata	περιορισμένος	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
rajattu	οριοθετημένη	rajata	οριοθετώ	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
rajattu	περιορισμένη	rajata	περιορίζω	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
rajattu	περιορισμένος	rajata	περιορισμένος	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
rajattu	περιορισμένο	rajata	περιορίζω	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
julkaistut	δημοσιευθεί	julkaista	δημοσιεύω	V;NOM;PL;V.PTCP;PASS	V;PFV;NFIN;PASS
matkustaja	επιβάτης	matkustaja	επιβάτης	N;NOM;SG	N;NOM;MASC;SG
matkustaja	ταξιδιώτης	matkustaja	ταξιδιώτης	N;NOM;SG	N;NOM;MASC;SG
matkustaja	ταξιδιώτη	matkustaja	ταξιδιώτης	N;NOM;SG	N;SG
matkustaja	ταξιδιώτης	matkustaja	ταξιδιώτης	N;NOM;SG	N;NOM;MASC;SG
matkustaja	ταξιδιώτη	matkustaja	ταξιδιώτης	N;NOM;SG	N;SG
romanttinen	ρομαντικό	romanttinen	ρομαντικός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
romanttinen	ρομαντική	romanttinen	ρομαντικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
romanttinen	ρομαντικός	romanttinen	ρομαντικός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
tulevaisuus	μέλλον	tulevaisuus	μέλλον	N;NOM;SG	N;NOM;NEUT;SG
tulevaisuus	μελλον	tulevaisuus	μελλον	N;NOM;SG	N;NOM;NEUT;SG
pyyntö	αίτηση	pyyntö	αίτηση	N;NOM;SG	N;NOM;FEM;SG
pyyntö	αίτημα	pyyntö	αίτημα	N;NOM;SG	N;NOM;NEUT;SG
rinta	σεντούκι	rinta	σεντούκι	N;NOM;SG	N;NOM;NEUT;SG
rinta	μπαούλο	rinta	μπαούλος	N;NOM;SG	N;NOM;NEUT;SG
rinta	στήθος	rinta	στήθος	N;NOM;SG	N;NOM;NEUT;SG
rinta	στήθος	rinta	στήθος	N;NOM;SG	N;NOM;NEUT;SG
näkökulma	προοπτική	näkö#kulma	προοπτική	N;NOM;SG	N;NOM;FEM;SG
sieni	μύκητα	sieni	μύκητος	N;NOM;SG	N;NOM;NEUT;SG
sieni	σφουγγάρι	sieni	σφουγγάρι	N;NOM;SG	N;NOM;NEUT;SG
sieni	μανιτάρι	sieni	μανιτάρι	N;NOM;SG	N;NOM;NEUT;SG
wwf	wwf	wwf	wwf	N;NOM;SG	N
omega	ωμέγα	omega	ωμέγα	N;NOM;SG	N;NOM;NEUT;SG
kuuli	ακούσει	kuulla	ακούω	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;FIN;ACT
näkymä	θεα	näkymä	θεα	N;NOM;SG	N;NOM;FEM;SG
näkymä	θέα	näkymä	θέα	N;NOM;SG	N;NOM;FEM;SG
näkymä	όψη	näkymä	όψο	N;NOM;SG	N;NOM;FEM;SG
näkymä	προβολή	näkymä	προβολή	N;NOM;SG	N;NOM;FEM;SG
mahdoton	αδύνατο	mahdoton	άδυνατος	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
mahdoton	αδύνατη	mahdoton	αδύνατος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
lohikäärme	δράκο	lohi#käärme	δράκο	N;NOM;SG	N;NOM;NEUT;SG
lohikäärme	δράκος	lohi#käärme	δράκος	N;NOM;SG	N;NOM;MASC;SG
videoita	βιντεο	video	βιντεο	N;PRT;PL	N
rannikko	ακτογραμμή	rannikko	ακτογραμμή	N;NOM;SG	N;NOM;FEM;SG
rannikko	ακτή	rannikko	ακτός	N;NOM;SG	N;NOM;FEM;SG
kysyy	ρωτώντας	kysyä	ρωτώ	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;V.CVB;ACT
kysyy	ζητώντας	kysyä	ζητώ	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;V.CVB;ACT
kysyy	ρωτά	kysyä	ρωτά	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kysyy	ρωτάει	kysyä	ρωτώ	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
trans	τρανς	trans	τρανς	N;NOM;SG	N
tunnustaa	αναγνωρίζει	tunnustaa	αναγνωρίζω	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
tunnustaa	αναγνωρίζει	tunnustaa	αναγνωρίζω	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
tunnustaa	ομολογεί	tunnustaa	ομολογώ	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
ruusu	ροζ	ruusu	ροζ	N;NOM;SG	N;NOM;FEM;SG
ruusu	τριαντάφυλλο	ruusu	τριαντάφυλλο	N;NOM;SG	N;NOM;NEUT;SG
vatsa	στομάχι	vatsa	στομάχι	N;NOM;SG	N;NOM;NEUT;SG
vatsa	κοιλιά	vatsa	κοιλιός	N;NOM;SG	N;NOM;FEM;SG
vatsa	κοιλία	vatsa	κοιλία	N;NOM;SG	N;NOM;FEM;SG
vatsa	κοιλιά	vatsa	κοιλιός	N;NOM;SG	N;NOM;FEM;SG
vatsa	μπέλι	vatsa	μπέλι	N;NOM;SG	N
aukko	διάφραγμα	aukko	διάφραγμα	N;NOM;SG	N;NOM;NEUT;SG
aukko	οπή	aukko	οπή	N;NOM;SG	N;NOM;FEM;SG
aukko	τρύπα	aukko	τρύπα	N;NOM;SG	N;NOM;FEM;SG
aukko	χάσμα	aukko	χάσμα	N;NOM;SG	N;NOM;NEUT;SG
aukko	κενό	aukko	κενό	N;NOM;SG	N;NOM;NEUT;SG
kurki	γερανός	kurki	γερανός	N;NOM;SG	N;NOM;MASC;SG
tasainen	σταθερό	tasainen	σταθερός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
tasainen	σταθερή	tasainen	σταθερός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
tasainen	σταθερός	tasainen	σταθερός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
tykit	κανόνια	tykki	κανόνι	N;NOM;PL	N;NOM;NEUT;PL
tykit	όπλα	tykki	όπλο	N;NOM;PL	N;NOM;NEUT;PL
tykit	οπλα	tykki	οπλά	N;NOM;PL	N;NOM;NEUT;PL
tykit	κανόνια	tykki	κανόνι	N;NOM;PL	N;NOM;NEUT;PL
islamilainen	ισλαμική	islamilainen	ισλαμικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
islamilainen	ισλαμικό	islamilainen	ισλαμικός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
puuttuminen	έλλειψη	puuttuminen	έλλειψη	N;NOM;SG	N;NOM;FEM;SG
huomautus	νότα	huomautus	νότος	N;NOM;SG	N;NOM;FEM;SG
huomautus	σημείωμα	huomautus	σημείωμα	N;NOM;SG	N;NOM;NEUT;SG
huomautus	σημείωση	huomautus	σημείωση	N;NOM;SG	N;NOM;FEM;SG
circuit	κύκλωμα	circuit	κύκλωμα	N;NOM;SG	N;NOM;NEUT;SG
vuosikymmenten	δεκαετιών	vuosi#kymmen	δεκαετία	N;GEN;PL	N;GEN;FEM;PL
ulkoasu	διαρρύθμιση	ulko#asu	διαρρύθμιση	N;NOM;SG	N;NOM;FEM;SG
tunneli	στοά	tunnella	στοά	N;NOM;SG	N;NOM;FEM;SG
tunneli	σήραγγα	tunnella	σήραγγα	N;NOM;SG	N;NOM;FEM;SG
norjalaiset	νορβηγοί	norjalainen	νορβηγός	N;NOM;PL	N;NOM;MASC;PL
tuodaan	εισαγόμενο	tuoda	εισαγόμενο	V;IND;PRS;FIN;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
tuodaan	εισάγονται	tuoda	εισάγω	V;IND;PRS;FIN;PASS	V;IPFV;IND;PL;3;PRS;FIN;PASS
luoja	δημιουργός	luoja	δημιουργός	N;NOM;SG	N;NOM;MASC;SG
mongolian	μογγολίας	mongolia	μογγολία	N;GEN;SG	N;GEN;FEM;SG
toukokuu	μάιος	toukokuu	μάιος	N;NOM;SG	N;NOM;MASC;SG
toukokuu	μάης	toukokuu	μάος	N;NOM;SG	N;NOM;MASC;SG
lukko	κλείδωμα	lukko	κλείδωμα	N;NOM;SG	N;NOM;NEUT;SG
lukko	κλειδαριά	lukko	κλειδαριά	N;NOM;SG	N;NOM;FEM;SG
jumalatar	θεά	jumalatar	θεά	N;NOM;SG	N;NOM;FEM;SG
jumalatar	θεα	jumalatar	θεα	N;NOM;SG	N;NOM;FEM;SG
syyttää	κατηγορεί	syyttää	κατηγορώ	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kuula	μπαλάκι	kuula	μπαλάκι	N;NOM;SG	N;NOM;NEUT;SG
kuula	μπάλα	kuula	μπάλα	N;NOM;SG	N;NOM;FEM;SG
vahvistettu	επιβεβαιώθηκε	vahvistaa	επιβεβαιώνω	V;NOM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
vahvistettu	επιβεβαιώνεται	vahvistaa	επιβεβαιώνω	V;NOM;SG;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
vahvistettu	επαληθεύεται	vahvistaa	επαληθεύω	V;NOM;SG;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
vahvistettu	ενισχυμένη	vahvistaa	ενισχύω	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
vahvistettu	ενισχυμένο	vahvistaa	ενισχύω	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
vahvistettu	ενισχυθεί	vahvistaa	ενισχύω	V;NOM;SG;V.PTCP;PASS	V;PFV;NFIN;PASS
muslimien	μουσουλμάνων	muslimi	μουσουλμάνος	N;GEN;PL	N;GEN;MASC;PL
joulukuu	δεκέμβριο	joulukuu	δεκέμβριος	N;NOM;SG	N
joulukuu	δεκέμβριος	joulukuu	δεκέμβριος	N;NOM;SG	N;NOM;MASC;SG
joulukuu	απόφ	joulukuu	απόφ	N;NOM;SG	N
petra	πέτρα	petra	πέτρο	N;NOM;SG	N;NOM;FEM;SG
fin	πτερύγιο	fin	πτερύγιο	N;NOM;SG	N;NOM;NEUT;SG
fyysinen	σωματική	fyysinen	σωματικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
fyysinen	φυσική	fyysinen	φυσικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
fyysinen	σωματικό	fyysinen	σωματικός	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
koreografi	χορογράφος	koreografi	χορογράφος	N;NOM;SG	N;NOM;MASC;SG
sotilaallinen	στρατιωτικός	sotilaallinen	στρατιωτικός	ADJ;NOM;SG	ADJ;NOM;MASC;SG
sotilaallinen	στρατιωτική	sotilaallinen	στρατιωτικός	ADJ;NOM;SG	ADJ;NOM;FEM;SG
kokonainen	ολόκληρη	kokonainen	ολόκληρος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
kokonainen	ολόκληρο	kokonainen	ολόκληρος	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
kuninkaat	βασιλιάδες	kuningas	βασιλιάδα	N;NOM;PL	N;NOM;MASC;PL
kuninkaat	βασιλείς	kuningas	βασίλης	N;NOM;PL	N;NOM;MASC;PL
kuori	κέλυφος	kuori	κέλυφος	N;NOM;SG	N;NOM;NEUT;SG
kuori	φλούδα	kuori	φλούδα	N;NOM;SG	N;NOM;FEM;SG
muokattu	επεξεργάστηκε	muokata	επεξεργώ	V;NOM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
muokattu	τροποποιημένο	muokata	τροποποιώ	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
muokattu	τροποποιήθηκε	muokata	τροποποιώ	V;NOM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
muokattu	τροποποιημένη	muokata	τροποποιώ	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
muokattu	τροποποιημένος	muokata	τροποποιημένος	V;NOM;SG;V.PTCP;PASS	V;PFV;NOM;MASC;SG;V.PTCP;PASS
tammikuu	ιανουάριο	tammikuu	ιανουάριο	N;NOM;SG	N
tammikuu	ιανουάριος	tammikuu	ιανουάριος	N;NOM;SG	N;NOM;MASC;SG
suoja	ασπιδα	suoja	ασπιδα	N;NOM;SG	N
suoja	ασπίδα	suoja	ασπίδα	N;NOM;SG	N;NOM;FEM;SG
arkkitehdit	αρχιτέκτονες	arkkitehti	αρχιτέκτονας	N;NOM;PL	N;NOM;MASC;PL
maalaukset	πίνακες	maalaus	πίνακα	N;NOM;PL	N;NOM;MASC;PL
yhtäkkiä	ξαφνικά	yhtäkkiä	ξαφνικά	ADV	ADV
osapuoli	πάρτυ	osa#puoli	πάρτυ	N;NOM;SG	N;NOM;NEUT;SG
osapuoli	κόμμα	osa#puoli	κόμμα	N;NOM;SG	N;NOM;NEUT;SG
osapuoli	πάρτι	osa#puoli	πάρτι	N;NOM;SG	N;NOM;NEUT;SG
velho	μάγος	velho	μάγος	N;NOM;SG	N;NOM;MASC;SG
velho	μάγος	velho	μάγος	N;NOM;SG	N;NOM;MASC;SG
asukas	κάτοικος	asukas	κάτοικος	N;NOM;SG	N;NOM;MASC;SG
kaivos	εξόρυξη	kaivos	εξόρυξη	N;NOM;SG	N;NOM;FEM;SG
kaivos	ορυχείο	kaivos	ορυχείο	N;NOM;SG	N;NOM;NEUT;SG
isompi	μεγαλύτερος	iso	μεγάλος	ADJ;NOM;CMPR;SG	ADJ;NOM;CMPR;MASC;SG
isompi	μεγαλύτερο	iso	μεγάλος	ADJ;NOM;CMPR;SG	ADJ;NOM;CMPR;NEUT;SG
isompi	μεγαλύτερη	iso	μεγάλος	ADJ;NOM;CMPR;SG	ADJ;NOM;CMPR;FEM;SG
isompi	μεγαλύτερος	iso	μεγάλος	ADJ;NOM;CMPR;SG	ADJ;NOM;CMPR;MASC;SG
isompi	μεγαλύτερο	iso	μεγάλος	ADJ;NOM;CMPR;SG	ADJ;NOM;CMPR;NEUT;SG
isompi	μεγαλύτερη	iso	μεγάλος	ADJ;NOM;CMPR;SG	ADJ;NOM;CMPR;FEM;SG
virheellinen	άκυρη	virheellinen	άκυρος	ADJ;NOM;SG	ADJ;NOM;FEM;SG
hiiri	ποντικάκι	hiiri	ποντικάκι	N;NOM;SG	N;NOM;NEUT;SG
hiiri	μάους	hiiri	μάος	N;NOM;SG	N;NOM;NEUT;SG
hiiri	ποντίκι	hiiri	ποντίκι	N;NOM;SG	N;NOM;NEUT;SG
työntekijä	εργαζόμενος	työ#tekijä	εργαζόμενος	N;NOM;SG	N;NOM;MASC;SG
työntekijä	εργαζόμενος	työ#tekijä	εργαζόμενος	N;NOM;SG	N;NOM;MASC;SG
työntekijä	εργάτη	työ#tekijä	εργάτος	N;NOM;SG	N;NOM;MASC;SG
työntekijä	εργάτης	työ#tekijä	εργάτης	N;NOM;SG	N;NOM;MASC;SG
julkiset	δημόσιες	julkinen	δημόσιος	ADJ;NOM;PL	ADJ;NOM;FEM;PL
tsaari	τσάρος	tsaari	τσάρος	N;NOM;SG	N;NOM;MASC;SG
verkkosivusto	ιστοσελίδα	verkko#sivusto	ιστοσελίδα	N;NOM;SG	N;NOM;FEM;SG
verkkosivusto	ιστότοπος	verkko#sivusto	ιστότοπος	N;NOM;SG	N;NOM;MASC;SG
perintö	κληρονομιά	perintö	κληρονομιά	N;NOM;SG	N;NOM;FEM;SG
perintö	κληρονομιά	perintö	κληρονομιά	N;NOM;SG	N;NOM;FEM;SG
perintö	κληρονομιά	perintö	κληρονομιά	N;NOM;SG	N;NOM;FEM;SG
häät	γάμους	häät	γάμος	N;NOM;PL	N;NOM;MASC;PL
häät	γάμοι	häät	γάμος	N;NOM;PL	N;NOM;MASC;PL
virus	ιός	virus	ιός	N;NOM;SG	N;NOM;MASC;SG
ehdokkaat	υποψηφιότητες	ehdokas	υποψηφιότητα	N;NOM;PL	N;NOM;FEM;PL
arvostelut	κριτικές	arvostelu	κριτικός	N;NOM;PL	N;NOM;FEM;PL
esitelty	παρουσιάζεται	esitellä	παρουσιάζω	V;NOM;SG;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
esitelty	παρουσιάστηκε	esitellä	παρουσιάζω	V;NOM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
iskut	επιθέσεις	isku	επίθεση	N;NOM;PL	N;NOM;FEM;PL
iskut	γροθιές	isku	γροθιός	N;NOM;PL	N;NOM;FEM;PL
kruunu	στέμμα	kruunu	στέμμα	N;NOM;SG	N;NOM;NEUT;SG
kruunu	κορόνα	kruunu	κορόνας	N;NOM;SG	N;NOM;NEUT;SG
kuviot	μοτίβα	kuvio	μοτίβα	N;NOM;PL	N;NOM;NEUT;PL
