اتھاہ	깊게	اتھاہ	깊+게		
اِختتام	마무리	اِختتام	마무리		
اِختتام	닫기	اِختتام	닫+기		
اِختتام	닫습니다	اِختتام	닫+습니다		
اِختراع	발명	اِختراع	발명	N;NOM;MASC;SG;3	N
اِختراع	혁신	اِختراع	혁신	N;NOM;MASC;SG;3	N
اِختراع	생성	اِختراع	생성	N;NOM;MASC;SG;3	N
اِختراع	창조	اِختراع	창조	N;NOM;MASC;SG;3	N
اِختصار	요약	اِختصار	요약	N;NOM;MASC;SG;3	N
اِختلاط	혼합물	اِختلاط	혼합물	N;NOM;MASC;SG;3	N
اِختلاط	반죽	اِختلاط	반죽	N;NOM;MASC;SG;3	N
اِختلاط	우정	اِختلاط	우정	N;NOM;MASC;SG;3	N
اِختلال	장애물	اِختلال	장애물	N;NOM;MASC;SG;3	N
اِختلال	장애	اِختلال	장애	N;NOM;MASC;SG;3	N
اِختلال	혼란	اِختلال	혼란	N;NOM;MASC;SG;3	N
اِختلال	혼돈	اِختلال	혼돈	N;NOM;MASC;SG;3	N
اِختیار	선택	اِختیار	선택	N;NOM;MASC;SG;3	N
اِختیار	전력	اِختیار	전력	N;NOM;MASC;SG;3	N
اِختیار	권력	اِختیار	권력	N;NOM;MASC;SG;3	N
اِختیار	선거	اِختیار	선거	N;NOM;MASC;SG;3	N
اِختیار	관할권	اِختیار	관할권	N;NOM;MASC;SG;3	N
اِختیار	통제	اِختیار	통제	N;NOM;MASC;SG;3	N
اِختیار	제어	اِختیار	제어	N;NOM;MASC;SG;3	N
اِختیار	권위	اِختیار	권위	N;NOM;MASC;SG;3	N
اخذ	추리	اخذ	추리	N;NOM;MASC;SG;3	N
اخذ	추리	اخذ	추리	N;NOM;MASC;SG;3	N
اخروٹ	호두	اخروٹ	호두	N;NOM;MASC;SG;3	N
اخضر	녹색	اخضر	녹색		
اخضر	그린	اخضر	그리+ㄴ		
اخضر	초록색	اخضر	초록색		
اخضر	초록	اخضر	초록		
اِخفات	비밀	اِخفہ	비밀	N;NOM;MASC;PL;3	N
اخلاط	가래	اخلاط	가래	N;NOM;MASC;SG;3	N
اخلاف	후예	اخلاف	후예		
اخلاق	윤리학	اخلاق	윤리학	N;NOM;MASC;SG;3	N
اخلاق	윤리	اخلاق	윤리	N;NOM;MASC;SG;3	N
اخلاق	예의	اخلاق	예의	N;NOM;MASC;SG;3	N
اخلاق	예의	اخلاق	예의	N;NOM;MASC;SG;3	N
اخلاق	예의	اخلاق	예의	N;NOM;MASC;SG;3	N
اخلاق	도덕	اخلاق	도덕	N;NOM;MASC;SG;3	N
اخلاق	기질	اخلاق	기질	N;NOM;MASC;SG;3	N
اخلاقیات	도덕성	اخلاقیات	도덕성	N;NOM;MASC;PL;3	N
اخلاقیات	도덕	اخلاقیات	도덕	N;NOM;MASC;PL;3	N
اخلاقیات	윤리학	اخلاقیات	윤리학	N;NOM;MASC;PL;3	N
اخلاقیات	윤리	اخلاقیات	윤리	N;NOM;MASC;PL;3	N
اخلاقیات	도덕성	اخلاقیات	도덕성	N;NOM;MASC;PL;3	N
اخلاقیات	도덕	اخلاقیات	도덕	N;NOM;MASC;PL;3	N
اخو	오빠	اخو	오빠		
اخو	아우	اخو	아우		
اخی	오빠	اخی	오빠		
اخی	아우	اخی	아우		
اخیر	피날레	اخیر	피날레		
اخیر	라스트	اخیر	라스트		
اخیر	피날레	اخیر	피날레		
اخیر	파이널	اخیر	파이널		
ادا	자세	ادا	자세	N;NOM;MASC;SG;3	N
ادا	송금	ادا	송금	N;NOM;MASC;SG;3	N
ادا	결제	ادا	결제	N;NOM;MASC;SG;3	N
ادات	악기	ادات	악기	N;NOM;MASC;SG;3	N
ادات	인스트루먼트	ادات	인스트프랑트	N;NOM;MASC;SG;3	N
ادات	도구	ادات	도구	N;NOM;MASC;SG;3	N
ادات	기사	ادات	기사	N;NOM;MASC;SG;3	N
ادات	알파벳	ادات	알파벳	N;NOM;MASC;SG;3	N
ادات	문자	ادات	문자	N;NOM;MASC;SG;3	N
ادات	구현	ادات	구현	N;NOM;MASC;SG;3	N
ادات	편지	ادات	편지	N;NOM;MASC;SG;3	N
اُدار	관대	اُدار	관대		
اُدار	노블	اُدار	노블		
اِدارت	컴필레이션	اِدارت	컴필레이션	N;NOM;MASC;SG;3	N
اِدارہ	기관	اِدارہ	기관	N;NOM;MASC;SG;3	N
اُداسی	우울	اُداسی	우울	N;NOM;MASC;SG;3	N
اُداسی	슬픔	اُداسی	슬픔	N;NOM;MASC;SG;3	N
اداکار	배우	اداکار	배우	N;NOM;MASC;SG;3	N
اداکارہ	배우	اداکارہ	배우	N;NOM;MASC;SG;3	N
اداکارہ	여배우	اداکارہ	여배우	N;NOM;MASC;SG;3	N
ادائیگی	송금	ادائیگی	송금	N;NOM;FEM;SG;3	N
ادائیگی	결제	ادائیگی	결제	N;NOM;FEM;SG;3	N
ادب	문학	ادب	문학	N;NOM;MASC;SG;3	N
ادب	예의	ادب	예의	N;NOM;MASC;SG;3	N
ادب	존경	ادب	존경	N;NOM;MASC;SG;3	N
ادب	존중	ادب	존중	N;NOM;MASC;SG;3	N
ادب	문학	ادب	문학	N;NOM;MASC;SG;3	N
ادب	예의	ادب	예의	N;NOM;MASC;SG;3	N
ادب	예의	ادب	예의	N;NOM;MASC;SG;3	N
ادب	존경	ادب	존경	N;NOM;MASC;SG;3	N
ادب	존중	ادب	존중	N;NOM;MASC;SG;3	N
ادرک	생강	ادرک	생강	N;NOM;MASC;SG;3	N
ادوات	악기	ادوات	악기	N;NOM;MASC;PL;3	N
ادوات	인스트루먼트	ادوات	인스트프랑트	N;NOM;MASC;PL;3	N
ادوات	도구	ادوات	도구	N;NOM;MASC;PL;3	N
ادوات	무기	ادوات	무기	N;NOM;MASC;PL;3	N
ادوار	연령	ادوار	연령	N;NOM;MASC;SG;3	N
ادوار	생리	ادوار	생리	N;NOM;MASC;SG;3	N
ادویات	약물	دوای	약물	N;NOM;MASC;PL;3	N
ادویات	의약품	دوای	의약품	N;NOM;MASC;PL;3	N
ادویات	약품	دوای	약품	N;NOM;MASC;PL;3	N
ادویات	마약	دوای	마약	N;NOM;MASC;PL;3	N
ادویات	의약품	دوای	의약품	N;NOM;MASC;PL;3	N
اُدے	이스트	اُدا	이스트		
اُدے	동쪽	اُدا	동+쪽		
ادیان	종교	ادیان	종교	N;NOM;MASC;PL;3	N
ادیب	작가	ادیب	작가	N;NOM;MASC;SG;3	N
ادیب	저자	ادیب	저자	N;NOM;MASC;SG;3	N
ادیب	제작자	ادیب	제작자	N;NOM;MASC;SG;3	N
ادیب	작성자	ادیب	작성자	N;NOM;MASC;SG;3	N
ادیب	작가	ادیب	작가	N;NOM;MASC;SG;3	N
ادیب	저자	ادیب	저자	N;NOM;MASC;SG;3	N
ادیب	제작자	ادیب	제작자	N;NOM;MASC;SG;3	N
ادیب	작성자	ادیب	작성자	N;NOM;MASC;SG;3	N
ادیب	작가	ادیب	작가	N;NOM;MASC;SG;3	N
اُدھار	부채	اُدھار	부채		
ادھر	분리	ادھر	분리		
ادھر	따로따로	ادھر	따로따로		
ادھر	무기력	ادھر	무기력		
اِدھر	닫아	اِدھر	닫+아	V;SG;V.PTCP;ACT	V
ادِھکاری	권위	ادِھکاری	권위	N;NOM;MASC;SG;3	N
اُدھم	소란	اُدھم	소란		
اُدھم	명성	اُدھم	명성		
اُدھم	페임	اُدھم	페임		
اُڈّو	방랑자	اُڈّو	방랑자		
اذکار	스토리	اذکار	스토리	N;NOM;MASC;SG;3	N
اذکار	소식	اذکار	소식	N;NOM;MASC;SG;3	N
اِذن	권한	اِذن	권+하+ㄴ		
اِذن	허락	اِذن	허락		
اراضی	플롯	اراضی	플롯	N;NOM;FEM;SG;3	N
اراضی	부동산	اراضی	부동산	N;NOM;FEM;SG;3	N
اراکین	구성원	رکن	구성원	N;NOM;MASC;PL;3	N
اراکین	멤버들	رکن	멤버+들	N;NOM;MASC;PL;3	N
اِرتحال	출발	اِرتحال	출발	N;NOM;MASC;SG;3	N
اِرتحال	출국	اِرتحال	출국	N;NOM;MASC;SG;3	N
اِرتحال	죽음	اِرتحال	죽음	N;NOM;MASC;SG;3	N
اِرتحال	사망	اِرتحال	사망	N;NOM;MASC;SG;3	N
اردب	고정	اردب	고정		
ارز	비용	ارز	비용		
ارز	비용	ارز	비용		
ارش	미세먼지	ارش	미세지+ㄴ지		
اِرشادات	명령	اِرشاد	명령	N;NOM;MASC;PL;3	N
اِرشادات	명령어	اِرشاد	명령+어	N;NOM;MASC;PL;3	N
ارض	나라	ارض	나라	N;NOM;MASC;SG;3	N
ارض	국가	ارض	국가	N;NOM;MASC;SG;3	N
ارضیات	지질학	ارضیات	지질학	N;NOM;MASC;PL;3	N
ارقام	피규어	ارقام	피규+어		
ارکان	구성요소	رکن	구성+요소	N;NOM;MASC;PL;3	N
ارکان	부품	رکن	부품	N;NOM;MASC;PL;3	N
ارکان	성분	رکن	성분	N;NOM;MASC;PL;3	N
ارکان	구성원	رکن	구성원	N;NOM;MASC;PL;3	N
ارکان	멤버들	رکن	멤버+들	N;NOM;MASC;PL;3	N
ارکان	귀족	رکن	귀족	N;NOM;MASC;PL;3	N
ارکان	재료	رکن	재료	N;NOM;MASC;PL;3	N
ارکان	성분	رکن	성분	N;NOM;MASC;PL;3	N
ارکان	원수	رکن	원수	N;NOM;MASC;PL;3	N
اِرم	파라다이스	اِرم	파라다이스		
اِرم	천국	اِرم	천국		
اِرم	낙원	اِرم	낙원		
ارنب	산토끼	ارنب	산토끼		
ارے	서프라이즈	ار	서프라이즈		
اڑا	어려움	اڑ	어렵+ㅁ	V;PFV;MASC;SG;V.PTCP;ACT	V
اُڑن	플라잉	اُڑن	플라잉		
اُڑن	날아라	اُڑن	날+아라		
اڑنا	멈추기	اڑنا	멈추+기	V;MASC;SG;NFIN;ACT	V
اُڑنا	사라져	اُڑنا	사라지+어	V;MASC;SG;NFIN;ACT	V
اُزبک	우즈베크어	اُزبک	우즈베크어		
ازل	영원	ازل	영원		
ازواج	아내	ازواج	아내	N;NOM;MASC;PL;3	N
ازواج	남편	ازواج	남편	N;NOM;MASC;PL;3	N
اِس	이거	یہ	이거		
اساتذہ	마스터즈	اساتذہ	마스터즈	N;NOM;MASC;SG;3	N
اساتذہ	마스터스	اساتذہ	마스터스	N;NOM;MASC;SG;3	N
اساتذہ	교사들	اساتذہ	교사+들	N;NOM;MASC;SG;3	N
اساتذہ	교사	اساتذہ	교사	N;NOM;MASC;SG;3	N
اساس	파운데이션	اساس	파운데이션	N;NOM;MASC;SG;3	N
اساس	기지	اساس	기지	N;NOM;MASC;SG;3	N
اساطِین	게시물	اساطِین	게시물	N;NOM;MASC;PL;3	N
اسالیب	방법	اسالیب	방법	N;NOM;MASC;SG;3	N
اسالیب	모드	اسالیب	모드	N;NOM;MASC;SG;3	N
اسالیب	예의	اسالیب	예의	N;NOM;MASC;SG;3	N
اسباب	상품	اسباب	상품	N;NOM;MASC;PL;3	N
اسباب	물품	اسباب	물품	N;NOM;MASC;PL;3	N
اسباب	동기	اسباب	동기	N;NOM;MASC;PL;3	N
اسباب	것들	اسباب	것+들	N;NOM;MASC;PL;3	N
اسباب	사물	اسباب	사물	N;NOM;MASC;PL;3	N
اسباب	이유	اسباب	이유	N;NOM;MASC;PL;3	N
اسباب	기사	اسباب	기사	N;NOM;MASC;PL;3	N
اسباب	가구	اسباب	가구	N;NOM;MASC;PL;3	N
اسباب	자원	اسباب	자원	N;NOM;MASC;PL;3	N
اسباب	리소스	اسباب	리소스	N;NOM;MASC;PL;3	N
اسباب	수하물	اسباب	수하물	N;NOM;MASC;PL;3	N
اسباب	구현	اسباب	구현	N;NOM;MASC;PL;3	N
اسباب	원인	اسباب	원인	N;NOM;MASC;PL;3	N
اسباق	강습	اسباق	강습	N;NOM;MASC;PL;3	N
اسباق	레슨	اسباق	레슨	N;NOM;MASC;PL;3	N
اسباق	수업	اسباق	수업	N;NOM;MASC;PL;3	N
اسپتال	병원	اسپتال	병원	N;NOM;MASC;SG;3	N
اُستاد	가정교사	اُستاد	가정교사	N;NOM;MASC;SG;3	N
اُستاد	교사	اُستاد	교사	N;NOM;MASC;SG;3	N
اُستاد	스승	اُستاد	스승	N;NOM;MASC;SG;3	N
اُستاد	강사	اُستاد	강사	N;NOM;MASC;SG;3	N
اِستبدادیت	권위주의	اِستبدادیت	권위주의	N;NOM;MASC;SG;3	N
اِستجابت	합격	اِستجابت	합격	N;NOM;MASC;SG;3	N
اِستجابت	요청	اِستجابت	요청	N;NOM;MASC;SG;3	N
اِستحکام	안정성	اِستحکام	안정성	N;NOM;MASC;SG;3	N
اِستحکام	체력	اِستحکام	체력	N;NOM;MASC;SG;3	N
اُستخوانی	강한	اُستخوانی	강하+ㄴ	ADJ;NOM	ADJ
اِستدارت	순환	اِستدارت	순환	N;NOM;MASC;SG;3	N
استرکاری	코팅	استرکاری	코팅	N;NOM;MASC;SG;3	N
اِستشارہ	협의	اِستشارہ	협의	N;NOM;MASC;SG;3	N
اِستشارہ	상담	اِستشارہ	상담	N;NOM;MASC;SG;3	N
اِستصلاح	보정	اِستصلاح	보정	N;NOM;MASC;SG;3	N
اِستصلاح	교정	اِستصلاح	교정	N;NOM;MASC;SG;3	N
اِستعمال	활용	اِستعمال	활용	N;NOM;MASC;SG;3	N
اِستعمال	작동	اِستعمال	작동	N;NOM;MASC;SG;3	N
اِستعمال	작전	اِستعمال	작전	N;NOM;MASC;SG;3	N
اِستعمال	프로그램	اِستعمال	프로그램	N;NOM;MASC;SG;3	N
اِستعمال	사용법	اِستعمال	사용법	N;NOM;MASC;SG;3	N
اِستعمال	사용량	اِستعمال	사용량	N;NOM;MASC;SG;3	N
اِستعمال	사용	اِستعمال	사용	N;NOM;MASC;SG;3	N
اِستعمال	고용	اِستعمال	고용	N;NOM;MASC;SG;3	N
اِستعمال	사용	اِستعمال	사용	N;NOM;MASC;SG;3	N
اِستعمال	이용	اِستعمال	이용	N;NOM;MASC;SG;3	N
اِستقرار	확인	اِستقرار	확인	N;NOM;MASC;SG;3	N
اِستقرار	인식	اِستقرار	인식	N;NOM;MASC;SG;3	N
اِستقرار	휴식	اِستقرار	휴식	N;NOM;MASC;SG;3	N
اِستقرائی	귀납적	اِستقرائی	귀납+적	N;NOM;MASC;SG;3	N
اُستُواری	체력	اُستُواری	체력	N;NOM;MASC;SG;3	N
اُستُواری	안정성	اُستُواری	안정성	N;NOM;MASC;SG;3	N
اسرار	신비	اسرار	신비	N;NOM;MASC;SG;3	N
اسرار	비밀	اسرار	비밀	N;NOM;MASC;SG;3	N
اِسرار	유령	اِسرار	유령	N;NOM;MASC;SG;3	N
اسفار	볼륨	اسفار	볼륨	N;NOM;MASC;SG;3	N
اسفار	레지스터	اسفار	레지스터	N;NOM;MASC;SG;3	N
اُسقُف	주교	اُسقُف	주교	N;NOM;MASC;SG;3	N
اسلاف	선조	اسلاف	선조	N;NOM;MASC;SG;3	N
اسلحہ	무기	اسلحہ	무기	N;NOM;MASC;SG;3	N
اسلحہ	기갑	اسلحہ	기갑	N;NOM;MASC;SG;3	N
اسلحہ	무기	اسلحہ	무기	N;NOM;MASC;SG;3	N
اسناد	인증서	سند	인증서	N;NOM;MASC;PL;3	N
اسناد	이유	سند	이유	N;NOM;MASC;PL;3	N
اِشارات	기호	اِشار	기호	N;NOM;MASC;PL;3	N
اِشارات	상징	اِشار	상징	N;NOM;MASC;PL;3	N
اِشارات	힌트	اِشار	힌트	N;NOM;MASC;PL;3	N
اِشارہ	순서	اِشارہ	순서	N;NOM;MASC;SG;3	N
اِشارہ	주문	اِشارہ	주문	N;NOM;MASC;SG;3	N
اِشارہ	기호	اِشارہ	기호	N;NOM;MASC;SG;3	N
اِشارہ	서명	اِشارہ	서명	N;NOM;MASC;SG;3	N
اِشارہ	제안	اِشارہ	제안	N;NOM;MASC;SG;3	N
اِشارہ	명령	اِشارہ	명령	N;NOM;MASC;SG;3	N
اِشارہ	명령어	اِشارہ	명령+어	N;NOM;MASC;SG;3	N
اِشارہ	사령부	اِشارہ	사령부	N;NOM;MASC;SG;3	N
اِشارہ	몸짓	اِشارہ	몸짓	N;NOM;MASC;SG;3	N
اِشارہ	제스처	اِشارہ	제스처	N;NOM;MASC;SG;3	N
اِشارہ	신호	اِشارہ	신호	N;NOM;MASC;SG;3	N
اِشارہ	시그널	اِشارہ	시그널	N;NOM;MASC;SG;3	N
اِشارہ	기호	اِشارہ	기호	N;NOM;MASC;SG;3	N
اِشارہ	상징	اِشارہ	상징	N;NOM;MASC;SG;3	N
اِشتراکیت	사회주의	اِشتراکیت	사회주의	N;NOM;MASC;SG;3	N
اِشتمالیت	공산주의	اِشتمالیت	공산주의	N;NOM;MASC;SG;3	N
اشجار	트리	اشجار	트리		
اشخاص	국민	اشخاص	국민	N;NOM;MASC;SG;3	N
اشخاص	사람	اشخاص	사람	N;NOM;MASC;SG;3	N
اشخاص	사람들	اشخاص	사람+들	N;NOM;MASC;SG;3	N
اشخاص	멘트	اشخاص	멘트	N;NOM;MASC;SG;3	N
اشخاص	남성	اشخاص	남성	N;NOM;MASC;SG;3	N
اشخاص	남자	اشخاص	남자	N;NOM;MASC;SG;3	N
اشراف	신사	اشراف	신사	N;NOM;MASC;SG;3	N
اشراف	귀족	اشراف	귀족	N;NOM;MASC;SG;3	N
اشعار	머리카락	اشعار	머리카락	N;NOM;MASC;PL;3	N
اشعار	머리	اشعار	머리	N;NOM;MASC;PL;3	N
اشعار	머리카락이	اشعار	머리카락+이	N;NOM;MASC;PL;3	N
اشکال	아이돌	اشکال	아이돌	N;NOM;MASC;SG;3	N
اشکال	모양	اشکال	모양	N;NOM;MASC;SG;3	N
اشکال	외모	اشکال	외모	N;NOM;MASC;SG;3	N
اشکال	출연	اشکال	출연	N;NOM;MASC;SG;3	N
اشکال	얼굴	اشکال	얼굴	N;NOM;MASC;SG;3	N
اشکال	얼굴들	اشکال	얼굴+들	N;NOM;MASC;SG;3	N
اشکال	동상	اشکال	동상	N;NOM;MASC;SG;3	N
اشکال	조각상	اشکال	조각상	N;NOM;MASC;SG;3	N
اُشن	덥다	وشن	덥+다		
اُشن	hot	وشن	hot		
اُشن	뜨겁다	وشن	뜨겁+다		
اشنان	씻기	اشنان	씻+기	V;MASC;SG;V.PTCP;ACT	V
اشہب	그레이	اشہب	그레이		
اشیا	상품	شےء	상품	N;NOM;MASC;PL;3	N
اشیا	물품	شےء	물품	N;NOM;MASC;PL;3	N
اشیا	것들	شےء	것+들	N;NOM;MASC;PL;3	N
اشیا	사물	شےء	사물	N;NOM;MASC;PL;3	N
اشیا	기사	شےء	기사	N;NOM;MASC;PL;3	N
اشیا	영향	شےء	영향	N;NOM;MASC;PL;3	N
اشیا	효과	شےء	효과	N;NOM;MASC;PL;3	N
اصالتاً	기본적으로	اصالتاً	기본+적+으로	ADV	ADV
