この	cette	この	ce	DET	DET;FEM;SG
映画	cinémas	映画	cinémas	N	N;MASC;PL
映画	cinéma	映画	cinéma	N	N;MASC;SG
映画	ciné	映画	ciné	N	N;MASC;SG
映画	film	映画	film	N	N;MASC;SG
映画	films	映画	film	N	N;MASC;PL
映画	cinéma	映画	cinéma	N	N;MASC;SG
映画	ciné	映画	ciné	N	N;MASC;SG
監督	directeur	監督	directeur	N	N;MASC;SG
監督	directrice	監督	directrice	N	N;FEM;SG
監督	réalisateur	監督	réalisateur	N	N;MASC;SG
監督	supervision	監督	supervision	N	N;FEM;SG
監督	surveillance	監督	surveillance	N	N;FEM;SG
使用	utiliser	使用	utiliser	V	V;NFIN
使用	utilise	使用	utiliser	V	V;IND;SG;3;PRS;FIN
使用	utilisez	使用	utiliser	V	V;IMP;PL;2;PRS;FIN
出演	jeté	出演	jeter	V	V;MASC;SG;PST;V.PTCP
出演	coulée	出演	coulée	V	V;FEM;SG;PST;V.PTCP
出演	coulé	出演	coulé	V	V;MASC;SG;PST;V.PTCP
時間	horaires	時間	horaire	N	N;MASC;PL
時間	heures	時間	heure	N	N;FEM;PL
時間	heure	時間	heure	N	N;FEM;SG
時間	temps	時間	temps	N	N;MASC;SG
時間	heure	時間	heure	N	N;FEM;SG
開始	commencez	開始	commencer	V	V;IMP;PL;2;PRS;FIN
開始	commencer	開始	commencer	V	V;NFIN
開始	démarrer	開始	démarrer	V	V;NFIN
開始	commencer	開始	commencer	V	V;NFIN
シリーズ	série	シリーズ	série	N	N;FEM;SG
シリーズ	séries	シリーズ	série	N	N;FEM;PL
記事	article	記事	article	N	N;MASC;SG
記事	récit	記事	récit	N	N;MASC;SG
記事	histoires	記事	histoire	N	N;FEM;PL
記事	articles	記事	article	N	N;MASC;PL
選手	joueurs	選手	joueur	N	N;MASC;PL
選手	athlètes	選手	athlète	N	N;MASC;PL
しかし	mais	しかし	mais	CONJ	CONJ
大会	convention	大会	convention	N	N;FEM;SG
チーム	équipes	チーム	équipe	N	N;FEM;PL
チーム	equipes	チーム	equipe	N	N;MASC;PL
チーム	équipe	チーム	équipe	N	N;FEM;SG
チーム	equipe	チーム	equipe	N	N;FEM;SG
優勝	gagner	優勝	gagner	V	V;NFIN
優勝	gagnant	優勝	gagner	V	V;PRS;V.PTCP
作詞	paroles	作詞	parole	N	N;FEM;PL
所属	appartiennent	所属	appartenir	V	V;IND;PL;3;PRS;FIN
所属	appartenir	所属	appartenir	V	V;NFIN
結果	résultat	結果	résultat	N	N;MASC;SG
結果	résultats	結果	résultat	N	N;MASC;PL
アルバム	album	アルバム	album	N	N;MASC;SG
アルバム	albums	アルバム	album	N	N;MASC;PL
ゲーム	jeux	ゲーム	jeu	N	N;MASC;PL
ゲーム	jeu	ゲーム	jeu	N	N;MASC;SG
ゲーム	gibier	ゲーム	gibier	N	N;MASC;SG
ゲーム	match	ゲーム	match	N	N;MASC;SG
ゲーム	jeu	ゲーム	jeu	N	N;MASC;SG
ゲーム	jeux	ゲーム	jeu	N	N;MASC;PL
問題	problème	問題	problème	N	N;MASC;SG
問題	problèmes	問題	problème	N	N;MASC;PL
問題	problèmes	問題	problème	N	N;MASC;PL
リーグ	league	リーグ	league	N	N;MASC;SG
リーグ	ligue	リーグ	ligue	N	N;FEM;SG
リーグ	ligues	リーグ	ligue	N	N;FEM;PL
リーグ	lieues	リーグ	lieue	N	N;FEM;PL
利用	racheter	利用	racheter	V	V;NFIN
利用	échanger	利用	échanger	V	V;NFIN
事業	affaires	事業	affaire	N	N;FEM;PL
事業	entreprises	事業	entreprise	N	N;FEM;PL
音楽	musiques	音楽	musique	N	N;FEM;PL
音楽	musique	音楽	musique	N	N;FEM;SG
転送	transférer	転送	transférer	V	V;NFIN
転送	transmettre	転送	transmettre	V	V;NFIN
情報	info	情報	info	N	N;MASC;SG
情報	infos	情報	info	N	N;FEM;PL
情報	informations	情報	information	N	N;FEM;PL
情報	infos	情報	info	N	N;FEM;PL
情報	renseignements	情報	renseignement	N	N;MASC;PL
情報	information	情報	information	N	N;FEM;SG
公式	officielles	公式	officiel	ADJ	ADJ;FEM;PL
公式	officiels	公式	officiel	ADJ	ADJ;MASC;PL
公式	officielle	公式	officiel	ADJ	ADJ;FEM;SG
公式	officiel	公式	officiel	ADJ	ADJ;MASC;SG
参加	joindre	参加	joindre	V	V;NFIN
参加	rejoignez	参加	rejoindre	V	V;IMP;PL;2;PRS;FIN
参加	adhérer	参加	adhérer	V	V;NFIN
参加	rejoindre	参加	rejoindre	V	V;NFIN
地域	régions	地域	région	N	N;FEM;PL
地域	région	地域	région	N	N;FEM;SG
変更	modifiez	変更	modifier	V	V;IMP;PL;2;PRS;FIN
変更	modifier	変更	modifier	V	V;NFIN
変更	modifier	変更	modifier	V	V;NFIN
変更	changer	変更	changer	V	V;NFIN
編曲	arrangeur	編曲	arrangeur	N	N;MASC;SG
編曲	arrangement	編曲	arrangement	N	N;MASC;SG
サイト	site	サイト	site	N	N;MASC;SG
サイト	sites	サイト	site	N	N;MASC;PL
記録	enregistre	記録	enregistrer	V	V;IND;SG;3;PRS;FIN
記録	enregistrer	記録	enregistrer	V	V;NFIN
関係	relation	関係	relation	N	N;FEM;SG
関係	relations	関係	relation	N	N;FEM;PL
クラブ	club	クラブ	club	N	N;MASC;SG
クラブ	discothèques	クラブ	discothèque	N	N;FEM;PL
クラブ	clubs	クラブ	club	N	N;MASC;PL
中央	center	中央	center	N	N;MASC;SG
中央	centre	中央	centre	N	N;MASC;SG
中央	centre	中央	centre	N	N;MASC;SG
同じ	identique	同じ	identique	ADJ	ADJ;MASC;SG
同じ	mêmes	同じ	même	ADJ	ADJ;MASC;PL
設立	établies	設立	établir	V	V;FEM;PL;PST;V.PTCP
設立	établie	設立	établir	V	V;FEM;SG;PST;V.PTCP
設立	établi	設立	établir	V	V;MASC;SG;PST;V.PTCP
設立	établis	設立	établir	V	V;MASC;PL;PST;V.PTCP
考え	réfléchir	考える	réfléchir	V	V;NFIN
考え	pensant	考える	penser	V	V;PRS;V.PTCP
考え	penser	考える	penser	V	V;NFIN
考え	pensées	考える	penser	V	V;FEM;PL;PST;V.PTCP
教育	enseignement	教育	enseignement	N	N;MASC;SG
教育	éducation	教育	éducation	N	N;FEM;SG
プロ	pro	プロ	pro	N	N;MASC;SG
編集	modifier	編集	modifier	V	V;NFIN
編集	éditer	編集	éditer	V	V;NFIN
編集	éditer	編集	éditer	V	V;NFIN
編集	modifiez	編集	modifier	V	V;IMP;PL;2;PRS;FIN
編集	modifier	編集	modifier	V	V;NFIN
シーズン	saison	シーズン	saison	N	N;FEM;SG
シーズン	saisons	シーズン	saison	N	N;FEM;PL
シーズン	saisons	シーズン	saison	N	N;FEM;PL
ファイル	fichiers	ファイル	fichier	N	N;MASC;PL
ファイル	dossiers	ファイル	dossier	N	N;MASC;PL
ファイル	dossier	ファイル	dossier	N	N;MASC;SG
ファイル	fichier	ファイル	fichier	N	N;MASC;SG
都市	ville	都市	ville	N	N;FEM;SG
都市	villes	都市	ville	N	N;FEM;PL
都市	villes	都市	ville	N	N;FEM;PL
出版	publier	出版	publier	V	V;NFIN
会社	compagnie	会社	compagnie	N	N;FEM;SG
会社	société	会社	société	N	N;FEM;SG
会社	compagnies	会社	compagnie	N	N;FEM;PL
会社	entreprises	会社	entreprise	N	N;FEM;PL
会社	sociétés	会社	société	N	N;FEM;PL
世紀	siècles	世紀	siècle	N	N;MASC;PL
世紀	siecle	世紀	siecle	N	N;MASC;SG
世紀	siècle	世紀	siècle	N	N;MASC;SG
世紀	century	世紀	century	N	N;MASC;SG
ノート	remarque	ノート	remarque	N	N;FEM;SG
ノート	note	ノート	note	N	N;FEM;SG
ノート	cahiers	ノート	cahier	N	N;MASC;PL
ノート	carnets	ノート	carnet	N	N;MASC;PL
ノート	remarques	ノート	remarque	N	N;FEM;PL
ノート	notes	ノート	note	N	N;FEM;PL
ノート	carnet	ノート	carnet	N	N;MASC;SG
ノート	cahier	ノート	cahier	N	N;MASC;SG
社会	société	社会	société	N	N;FEM;SG
開催	tenu	開催	tenir	V	V;MASC;SG;PST;V.PTCP
シングル	single	シングル	single	N	N;MASC;SG
センター	center	センター	center	N	N;MASC;SG
センター	centre	センター	centre	N	N;MASC;SG
センター	centre	センター	centre	N	N;MASC;SG
終了	quitter	終了	quitter	V	V;NFIN
終了	abandonner	終了	abandonner	V	V;NFIN
終了	arrêter	終了	arrêter	V	V;NFIN
終了	finir	終了	finir	V	V;NFIN
終了	terminer	終了	terminer	V	V;NFIN
終了	termine	終了	terminer	V	V;IND;SG;3;PRS;FIN
終了	fini	終了	finir	V	V;MASC;SG;PST;V.PTCP
終了	terminée	終了	terminer	V	V;FEM;SG;PST;V.PTCP
終了	terminé	終了	terminer	V	V;MASC;SG;PST;V.PTCP
終了	quitter	終了	quitter	V	V;NFIN
終了	sortir	終了	sortir	V	V;NFIN
終了	sortie	終了	sortir	V	V;FEM;SG;PST;V.PTCP
中心	center	中心	center	N	N;MASC;SG
中心	centre	中心	centre	N	N;MASC;SG
中心	centre	中心	centre	N	N;MASC;SG
文化	culture	文化	culture	N	N;FEM;SG
ドラマ	drame	ドラマ	drame	N	N;MASC;SG
ドラマ	drames	ドラマ	drame	N	N;MASC;PL
撮影	filmer	撮影	filmer	V	V;NFIN
選手権	championnats	選手権	championnat	N	N;MASC;PL
選手権	championnat	選手権	championnat	N	N;MASC;SG
野球	baseball	野球	baseball	N	N;MASC;SG
指定	précisez	指定	préciser	V	V;IMP;PL;2;PRS;FIN
指定	préciser	指定	préciser	V	V;NFIN
指定	spécifier	指定	spécifier	V	V;NFIN
以下	dessous	以下	dessous	N	N;MASC;SG
卒業	diplômée	卒業	diplômer	V	V;FEM;SG;PST;V.PTCP
人物	personne	人物	personne	N	N;FEM;SG
公開	publier	公開	publier	V	V;NFIN
公開	publie	公開	publier	V	V;SG;PRS;V.PTCP
公開	publiez	公開	publier	V	V;IMP;PL;2;PRS;FIN
最終	finale	最終	finale	N	N;FEM;SG
アニメ	anime	アニメ	anime	N	N;FEM;SG
確認	confirmez	確認	confirmer	V	V;IMP;PL;2;PRS;FIN
確認	confirmer	確認	confirmer	V	V;NFIN
一般	généralités	一般	généralité	N	N;FEM;PL
一般	général	一般	général	N	N;MASC;SG
歴史	histoire	歴史	histoire	N	N;FEM;SG
選挙	élection	選挙	élection	N	N;FEM;SG
選挙	election	選挙	election	N	N;FEM;SG
選挙	élections	選挙	élection	N	N;FEM;PL
選挙	élections	選挙	élection	N	N;FEM;PL
選挙	elections	選挙	election	N	N;FEM;PL
計画	planification	計画	planification	N	N;FEM;SG
計画	plan	計画	plan	N	N;MASC;SG
計画	plans	計画	plan	N	N;MASC;PL
経済	économie	経済	économie	N	N;FEM;SG
経済	economie	経済	économie	N	N;FEM;SG
ページ	pages	ページ	page	N	N;FEM;PL
ページ	page	ページ	page	N	N;FEM;SG
ページ	pages	ページ	page	N	N;FEM;PL
教授	professeur	教授	professeur	N	N;MASC;SG
教授	professeure	教授	professeur	N	N;FEM;SG
ラジオ	radio	ラジオ	radio	N	N;FEM;SG
劇場	théatre	劇場	théatre	N	N;MASC;SG
劇場	théâtre	劇場	théâtre	N	N;MASC;SG
劇場	théatre	劇場	théatre	N	N;MASC;SG
劇場	théâtre	劇場	théâtre	N	N;MASC;SG
劇場	théâtres	劇場	théâtre	N	N;MASC;PL
グループ	groupe	グループ	groupe	N	N;MASC;SG
グループ	groupes	グループ	groupe	N	N;MASC;PL
英語	anglais	英語	anglais	N	N;MASC;SG
女性	femme	女性	femme	N	N;FEM;SG
女性	femelles	女性	femelle	N	N;FEM;PL
女性	femmes	女性	femme	N	N;FEM;PL
女性	femme	女性	femme	N	N;FEM;SG
女性	femmes	女性	femme	N	N;FEM;PL
女性	femme	女性	femme	N	N;FEM;SG
地区	district	地区	district	N	N;MASC;SG
獲得	gagnez	獲得	gagner	V	V;IMP;PL;2;PRS;FIN
獲得	gagner	獲得	gagner	V	V;NFIN
獲得	mériter	獲得	mériter	V	V;NFIN
得点	score	得点	score	N	N;MASC;SG
得点	partition	得点	partition	N	N;FEM;SG
コメント	commentaire	コメント	commentaire	N	N;MASC;SG
コメント	commentaires	コメント	commentaire	N	N;MASC;PL
コメント	remarques	コメント	remarque	N	N;FEM;PL
コメント	observations	コメント	observation	N	N;FEM;PL
漫画	comics	漫画	comics	N	N;MASC;SG
漫画	bd	漫画	bde	N	N;FEM;SG
漫画	manga	漫画	manga	N	N;MASC;SG
漫画	mangas	漫画	manga	N	N;MASC;PL
廃止	abolis	廃止	aboli	V	V;MASC;PL;PST;V.PTCP
廃止	abolie	廃止	abolie	V	V;FEM;SG;PST;V.PTCP
廃止	aboli	廃止	abolir	V	V;MASC;SG;PST;V.PTCP
廃止	abolie	廃止	abolie	V	V;FEM;SG;PST;V.PTCP
廃止	abolir	廃止	abolir	V	V;NFIN
販売	vendre	販売	vendre	V	V;NFIN
攻撃	attaquez	攻撃	attaquer	V	V;IMP;PL;2;PRS;FIN
攻撃	attaquer	攻撃	attaquer	V	V;NFIN
サッカー	football	サッカー	football	N	N;MASC;SG
サッカー	foot	サッカー	foot	N	N;MASC;SG
サッカー	soccer	サッカー	soccer	N	N;MASC;SG
議員	sénateur	議員	sénateur	N	N;MASC;SG
議員	sénatrice	議員	sénatrice	N	N;FEM;SG
協会	association	協会	association	N	N;FEM;SG
路線	routes	路線	route	N	N;FEM;PL
路線	itinéraires	路線	itinéraire	N	N;MASC;PL
戦争	guerre	戦争	guerre	N	N;FEM;SG
戦争	war	戦争	war	N	N;SG
戦争	guerres	戦争	guerre	N	N;FEM;PL
部分	partie	部分	partie	N	N;FEM;SG
番号	nombre	番号	nombre	N	N;MASC;SG
番号	numéro	番号	numéro	N	N;MASC;SG
期間	duree	期間	duree	N	N;FEM;SG
期間	durée	期間	durée	N	N;FEM;SG
期間	période	期間	période	N	N;FEM;SG
場所	place	場所	place	N	N;FEM;SG
場所	endroit	場所	endroit	N	N;MASC;SG
場所	lieu	場所	lieu	N	N;MASC;SG
場所	localisation	場所	localisation	N	N;FEM;SG
場所	emplacement	場所	emplacement	N	N;MASC;SG
場所	localité	場所	localité	N	N;FEM;SG
場所	lieu	場所	lieu	N	N;MASC;SG
場所	endroits	場所	endroit	N	N;MASC;PL
場所	lieux	場所	lieu	N	N;MASC;PL
技術	technologies	技術	technologie	N	N;FEM;PL
技術	technologie	技術	technologie	N	N;FEM;SG
海軍	navy	海軍	navy	N	N;FEM;SG
海軍	marine	海軍	marine	N	N;FEM;SG
道路	routes	道路	route	N	N;FEM;PL
道路	chemins	道路	chemin	N	N;MASC;PL
道路	routier	道路	routier	N	N;MASC;SG
道路	route	道路	route	N	N;FEM;SG
道路	chemin	道路	chemin	N	N;MASC;SG
意味	signifiant	意味	signifier	V	V;PRS;V.PTCP
システム	système	システム	système	N	N;MASC;SG
システム	systèmes	システム	système	N	N;MASC;PL
モデル	maquettes	モデル	maquette	N	N;FEM;PL
モデル	modèles	モデル	modèle	N	N;MASC;PL
モデル	modele	モデル	modele	N	N;MASC;SG
モデル	modèle	モデル	modèle	N	N;MASC;SG
モデル	mannequin	モデル	mannequin	N	N;MASC;SG
モデル	maquette	モデル	maquette	N	N;FEM;SG
対応	correspondances	対応	correspondance	N	N;FEM;PL
対応	correspondance	対応	correspondance	N	N;FEM;SG
列車	train	列車	train	N	N;MASC;SG
列車	trains	列車	train	N	N;MASC;PL
科学	science	科学	science	N	N;FEM;SG
科学	sciences	科学	science	N	N;FEM;PL
理由	raisons	理由	raison	N	N;FEM;PL
理由	raisons	理由	raison	N	N;FEM;PL
理由	raison	理由	raison	N	N;FEM;SG
そして	et	そして	et	CONJ	CONJ
ブロック	blocages	ブロック	blocage	N	N;MASC;PL
ブロック	blocs	ブロック	bloc	N	N;MASC;PL
ブロック	bloc	ブロック	bloc	N	N;MASC;SG
ブロック	blocage	ブロック	blocage	N	N;MASC;SG
車両	véhicules	車両	véhicule	N	N;MASC;PL
車両	véhicule	車両	véhicule	N	N;MASC;SG
自動車	voitures	自動車	voiture	N	N;FEM;PL
自動車	voiture	自動車	voiture	N	N;FEM;SG
人口	populations	人口	population	N	N;FEM;PL
人口	populations	人口	population	N	N;FEM;PL
人口	population	人口	population	N	N;FEM;SG
特に	particulièrement	特に	particulièrement	ADV	ADV
特に	particulièrement	特に	particulièrement	ADV	ADV
特に	surtout	特に	surtout	ADV	ADV
特に	spécialement	特に	spécialement	ADV	ADV
営業	affaires	営業	affaire	N	N;FEM;PL
営業	entreprises	営業	entreprise	N	N;FEM;PL
新聞	journal	新聞	journal	N	N;MASC;SG
新聞	journaux	新聞	journal	N	N;MASC;PL
連続	continue	連続	continu	ADJ	ADJ;FEM;SG
連続	continu	連続	continu	ADJ	ADJ;MASC;SG
連続	continus	連続	continu	ADJ	ADJ;MASC;PL
政府	gouvernement	政府	gouvernement	N	N;MASC;SG
政府	gouvernements	政府	gouvernement	N	N;MASC;PL
キャラクター	caractère	キャラクター	caractère	N	N;MASC;SG
キャラクター	personnage	キャラクター	personnage	N	N;MASC;SG
キャラクター	personnages	キャラクター	personnage	N	N;MASC;PL
キャラクター	caractères	キャラクター	caractère	N	N;MASC;PL
小説	romans	小説	roman	N	N;MASC;PL
機関	organes	機関	organe	N	N;MASC;PL
機関	institution	機関	institution	N	N;FEM;SG
機関	institutions	機関	institution	N	N;FEM;PL
メンバー	membres	メンバー	membre	N	N;MASC;PL
メンバー	membre	メンバー	membre	N	N;MASC;SG
メンバー	membres	メンバー	membre	N	N;MASC;PL
メンバー	adhérents	メンバー	adhérent	N	N;MASC;PL
発行	délivrance	発行	délivrance	N	N;FEM;SG
発行	délivrance	発行	délivrance	N	N;FEM;SG
画像	images	画像	image	N	N;FEM;PL
画像	photo	画像	photo	N	N;FEM;SG
画像	image	画像	image	N	N;FEM;SG
画像	image	画像	image	N	N;FEM;SG
状態	etat	状態	etat	N	N;MASC;SG
状態	état	状態	état	N	N;MASC;SG
状態	état	状態	état	N	N;MASC;SG
状態	condition	状態	condition	N	N;FEM;SG
名称	dénomination	名称	dénomination	N	N;FEM;SG
名称	nom	名称	nom	N	N;MASC;SG
名称	dénomination	名称	dénomination	N	N;FEM;SG
名称	noms	名称	nom	N	N;MASC;PL
名称	noms	名称	nom	N	N;MASC;PL
ダム	dam	ダム	dam	N	N;MASC;SG
ダム	barrage	ダム	barrage	N	N;MASC;SG
ダム	digue	ダム	digue	N	N;FEM;SG
ホーム	maison	ホーム	maison	N	N;FEM;SG
ホーム	domicile	ホーム	domicile	N	N;MASC;SG
ホーム	accueil	ホーム	accueil	N	N;MASC;SG
投稿	publier	投稿	publier	V	V;NFIN
投稿	poster	投稿	poster	V	V;NFIN
名前	nom	名前	nom	N	N;MASC;SG
名前	dénomination	名前	dénomination	N	N;FEM;SG
名前	noms	名前	nom	N	N;MASC;PL
名前	noms	名前	nom	N	N;MASC;PL
施設	équipements	施設	équipement	N	N;MASC;PL
施設	installations	施設	installation	N	N;FEM;PL
施設	institution	施設	institution	N	N;FEM;SG
製造	fabriqués	製造	fabriquer	V	V;MASC;PL;PST;V.PTCP
製造	fabriqué	製造	fabriquer	V	V;MASC;SG;PST;V.PTCP
独立	indépendant	独立	indépendant	ADJ	ADJ;MASC;SG
独立	indépendante	独立	indépendant	ADJ	ADJ;FEM;SG
独立	indépendantes	独立	indépendant	ADJ	ADJ;FEM;PL
独立	indépendants	独立	indépendant	ADJ	ADJ;MASC;PL
物語	récit	物語	récit	N	N;MASC;SG
物語	récit	物語	récit	N	N;MASC;SG
神社	sanctuaires	神社	sanctuaire	N	N;MASC;PL
神社	sanctuaire	神社	sanctuaire	N	N;MASC;SG
神社	autel	神社	autel	N	N;MASC;SG
企画	planification	企画	planification	N	N;FEM;SG
企業	enterprise	企業	enterprise	N	N;FEM;SG
航空	aviation	航空	aviation	N	N;FEM;SG
航空	air	航空	air	N	N;MASC;SG
帝国	empire	帝国	empire	N	N;MASC;SG
トン	tonne	トン	tonne	N	N;FEM;SG
トン	tonnes	トン	tonne	N	N;FEM;PL
トン	tonne	トン	tonne	N	N;FEM;SG
トン	tonnes	トン	tonne	N	N;FEM;PL
トン	tonnes	トン	tonne	N	N;FEM;PL
影響	influencer	影響	influencer	V	V;NFIN
勝利	gagnez	勝利	gagner	V	V;IMP;PL;2;PRS;FIN
勝利	gagner	勝利	gagner	V	V;NFIN
勝利	gagnant	勝利	gagner	V	V;PRS;V.PTCP
勝利	gagne	勝利	gagner	V	V;IND;SG;3;PRS;FIN
勝利	gagner	勝利	gagner	V	V;NFIN
勝利	gagnant	勝利	gagner	V	V;PRS;V.PTCP
デザイン	dessins	デザイン	dessin	N	N;MASC;PL
デザイン	dessin	デザイン	dessin	N	N;MASC;SG
デザイン	design	デザイン	design	N	N;MASC;SG
デザイン	conception	デザイン	conception	N	N;FEM;SG
本社	siège	本社	siège	N	N;MASC;SG
交通	trafic	交通	trafic	N	N;MASC;SG
交通	circulation	交通	circulation	N	N;FEM;SG
交通	transports	交通	transport	N	N;MASC;PL
交通	transport	交通	transport	N	N;MASC;SG
交通	transports	交通	transport	N	N;MASC;PL
交通	transport	交通	transport	N	N;MASC;SG
組織	organisation	組織	organisation	N	N;FEM;SG
組織	organisation	組織	organisation	N	N;FEM;SG
構造	structures	構造	structure	N	N;FEM;PL
構造	structure	構造	structure	N	N;FEM;SG
サービス	services	サービス	service	N	N;MASC;PL
サービス	service	サービス	service	N	N;MASC;SG
統合	consolider	統合	consolider	V	V;NFIN
統合	intégrée	統合	intégrer	V	V;FEM;SG;PST;V.PTCP
統合	intégrées	統合	intégrer	V	V;FEM;PL;PST;V.PTCP
統合	intégré	統合	intégrer	V	V;MASC;SG;PST;V.PTCP
統合	intégrés	統合	intégrer	V	V;MASC;PL;PST;V.PTCP
統合	fusionner	統合	fusionner	V	V;NFIN
統合	fusionne	統合	fusionner	V	V;IND;SG;3;PRS;FIN
テーマ	thèmes	テーマ	thème	N	N;MASC;PL
テーマ	thème	テーマ	thème	N	N;MASC;SG
面積	région	面積	région	N	N;FEM;SG
面積	zone	面積	zone	N	N;FEM;SG
面積	domaine	面積	domaine	N	N;MASC;SG
エンジン	moteur	エンジン	moteur	N	N;MASC;SG
エンジン	moteurs	エンジン	moteur	N	N;MASC;PL
ビル	facture	ビル	facture	N	N;FEM;SG
設定	configurer	設定	configurer	V	V;NFIN
設定	configurer	設定	configurer	V	V;NFIN
含む	contient	含む	contenir	V	V;IND;SG;3;PRS;FIN
含む	inclut	含む	inclure	V	V;IND;SG;3;PRS;FIN
含む	comprend	含む	comprendre	V	V;IND;SG;3;PRS;FIN
含む	incluant	含む	inclure	V	V;PRS;V.PTCP
含む	comprenant	含む	comprendre	V	V;PRS;V.PTCP
専門	compétences	専門	compétence	N	N;FEM;PL
専門	expertise	専門	expertise	N	N;FEM;SG
専門	expertises	専門	expertise	N	N;FEM;PL
機能	fonctions	機能	fonction	N	N;FEM;PL
機能	fonction	機能	fonction	N	N;FEM;SG
機能	fonctions	機能	fonction	N	N;FEM;PL
機能	fonctionnalités	機能	fonctionnalité	N	N;FEM;PL
機能	fonctionnalité	機能	fonctionnalité	N	N;FEM;SG
機能	fonctionnalités	機能	fonctionnalité	N	N;FEM;PL
機能	fonctionnalité	機能	fonctionnalité	N	N;FEM;SG
身長	taille	身長	taille	N	N;FEM;SG
身長	hauteur	身長	hauteur	N	N;FEM;SG
所在	localisations	所在	localisation	N	N;FEM;PL
所在	lieux	所在	lieu	N	N;MASC;PL
所在	localisation	所在	localisation	N	N;FEM;SG
所在	emplacement	所在	emplacement	N	N;MASC;SG
所在	localité	所在	localité	N	N;FEM;SG
所在	lieu	所在	lieu	N	N;MASC;SG
運転	conduire	運転	conduire	V	V;NFIN
運転	conduite	運転	conduire	V	V;FEM;SG;PST;V.PTCP
写真	photo	写真	photo	N	N;FEM;SG
写真	photographie	写真	photographie	N	N;FEM;SG
写真	photographie	写真	photographie	N	N;FEM;SG
写真	photo	写真	photo	N	N;FEM;SG
写真	image	写真	image	N	N;FEM;SG
関連	lié	関連	lier	V	V;MASC;SG;PST;V.PTCP
関連	liés	関連	lier	V	V;MASC;PL;PST;V.PTCP
書店	librairie	書店	librairie	N	N;FEM;SG
高い	hautes	高い	haut	ADJ	ADJ;FEM;PL
高い	haut	高い	haut	ADJ	ADJ;MASC;SG
高い	haute	高い	haut	ADJ	ADJ;FEM;SG
高い	élevé	高い	élevé	ADJ	ADJ;MASC;SG
高い	coûteux	高い	coûteux	ADJ	ADJ;MASC;SG
高い	chères	高い	cher	ADJ	ADJ;FEM;PL
宇宙	univers	宇宙	univers	N	N;MASC;SG
管理	gérer	管理	gérer	V	V;NFIN
バー	bars	バー	bar	N	N;MASC;PL
バー	barres	バー	barre	N	N;FEM;PL
バー	barreau	バー	barreau	N	N;MASC;SG
バー	bar	バー	bar	N	N;MASC;SG
バー	barre	バー	barre	N	N;FEM;SG
部隊	troupe	部隊	troupe	N	N;FEM;SG
公園	parc	公園	parc	N	N;MASC;SG
公園	parcs	公園	parc	N	N;MASC;PL
スポーツ	sport	スポーツ	sport	N	N;MASC;SG
スポーツ	sport	スポーツ	sport	N	N;MASC;SG
スポーツ	sports	スポーツ	sport	N	N;MASC;PL
