css	css	css	css	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
indslag	odsek	indslag	odsek	N;INDF;NEUT;SG	N;NOM;MASC;SG
indslag	segment	indslag	segment	N;INDF;NEUT;SG	N;NOM;MASC;SG
autoritet	organ	autoritet	organ	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
autoritet	avtoriteta	autoritet	avtoriteta	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
måneden	mesec	måned	mesec	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
måneden	meseca	måned	mesec	N;DEF;MASC+FEM;SG	N;ACC;MASC;SG
elskede	ljubil	elske	ljubiti	V;DEF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
dramatiske	dramatične	dramatisk	dramatičen	ADJ;PL	ADJ;NOM;FEM;PL
farlig	nevarno	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
farlig	nevaren	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
farlig	nevarna	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
farlig	nevarna	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
kontroversielle	sporne	kontroversiel	sporen	ADJ;PL	ADJ;NOM;FEM;PL
kvæg	govedo	kvæg	goveda	N;INDF;NEUT;SG	N;ACC;FEM;SG
kvæg	goveja	kvæg	govejati	N;INDF;NEUT;SG	N;NOM;FEM;SG
kvæg	govedo	kvæg	goveda	N;INDF;NEUT;SG	N;ACC;FEM;SG
kvæg	živina	kvæg	živina	N;INDF;NEUT;SG	N;NOM;FEM;SG
kvæg	goveda	kvæg	govedati	N;INDF;NEUT;SG	N;NOM;MASC;SG
catherine	katarina	catherin	katarina	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
revolutionære	revolucionarne	revolutionær	revolucionaren	ADJ;PL	ADJ;NOM;FEM;PL
bedt	molila	bede	moliti	V;INDF;SG;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
bedt	molil	bede	moliti	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
redigering	urejanje	redigering	urejanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
redigering	urednik	redigering	urednik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
redigering	urejevalnik	redigering	urejevalnik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fugl	ptica	fugl	ptica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
fugl	ptiček	fugl	ptiček	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fugl	ptič	fugl	ptič	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
udenlandsk	tuja	udenlandsk	tuj	ADJ;INDF;SG	ADJ;NOM;FEM;SG
celle	celico	celle	celica	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
celle	celica	celle	celica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
anliggender	afere	anliggende	afera	N;INDF;NEUT;PL	N;NOM;FEM;PL
anliggender	zadeve	anliggende	zadeva	N;INDF;NEUT;PL	N;NOM;FEM;PL
vidnesbyrd	pričevanje	vidnesbyrd	pričevanje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
vidnesbyrd	pričanje	vidnesbyrd	pričanje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
sammenstød	trčenje	sammenstød	trčenje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
sammenstød	trk	sammenstød	trk	N;INDF;NEUT;SG	N;NOM;MASC;SG
sammenstød	clash	sammenstød	clas	N;INDF;NEUT;SG	N;NOM;MASC;SG
sammenstød	spopad	sammenstød	spopad	N;INDF;NEUT;SG	N;NOM;MASC;SG
sammenstød	trčenja	sammenstød	trčenje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
montgomery	montgomery	montgomery	montgomery	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gearkasse	menjalnik	gearkasse	menjalnik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gearkasse	posredovanje	gearkasse	posredovanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
gearkasse	prenos	gearkasse	prenos	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gearkasse	pošiljanje	gearkasse	pošiljanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
gearkasse	menjalnik	gearkasse	menjalnik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
edmund	edmund	edmund	edmund	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
moses	moses	moses	moses	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
moses	mojzes	moses	mojzes	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
jagerfly	borca	jagerfly	borec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
borger	državljan	borger	državljan	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
borger	meščan	borger	meščan	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
engel	angelček	engel	angelček	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
engel	angel	engel	angel	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
myter	mitov	myte	mit	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
myter	miti	myte	miti	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
frivillig	neobvezna	frivillig	neobvezen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
frivillig	prostovoljni	frivillig	prostovoljen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
frivillig	prostovoljna	frivillig	prostovoljen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
frivillig	prostovoljno	frivillig	prostovoljen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
frost	pozeba	frost	pozeba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
frost	frost	frost	frost	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sting	šiv	sting	šiv	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sting	šive	sting	šiva	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
asiatiske	azijske	asiatisk	azijski	ADJ;PL	ADJ;NOM;FEM;PL
asiatiske	azijskih	asiatisk	azijski	ADJ;PL	ADJ;GEN;MASC;PL
ler	smeha	le	smeha	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
ler	smeh	le	smeh	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ler	glino	le	glino	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
fotografi	fotografijo	fotografi	fotografija	N;INDF;NEUT;SG	N;ACC;FEM;SG
fotografi	fotografija	fotografi	fotografija	N;INDF;NEUT;SG	N;NOM;FEM;SG
fotografi	fotografiranje	fotografi	fotografiranje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
fotografi	photography	fotografi	photography	N;INDF;NEUT;SG	N;NOM;MASC;SG
fotografi	fotografijo	fotografi	fotografija	N;INDF;NEUT;SG	N;ACC;FEM;SG
fotografi	fotografija	fotografi	fotografija	N;INDF;NEUT;SG	N;NOM;FEM;SG
jagten	lov	jagt	lov	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
jagten	lov	jagt	lov	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
jagten	lovljenje	jagt	lovljenje	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
coupé	coupe	coupé	coup	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bevidsthed	zavest	bevidsthed	zavest	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bevidsthed	ozaveščenost	bevidsthed	ozaveščenost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bevidsthed	zavedanje	bevidsthed	zavedanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
bevidsthed	zavest	bevidsthed	zavest	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
retssag	sojenje	retssag	sojenje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
kurser	tečaje	kursus	tečaj	N;INDF;NEUT;PL	N;ACC;MASC;PL
kurser	tečaji	kursus	tečaj	N;INDF;NEUT;PL	N;NOM;MASC;PL
udkæmpet	boril	udkæmpe	boriti	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
undtagelser	izjeme	undtagelse	izjema	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
undtagelser	oprostitve	undtagelse	oprostitev	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
undtagelser	izjeme	undtagelse	izjema	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
spændende	zanimiv	spændende	zanimiv	ADJ	ADJ;NOM;INDF;MASC;SG
spændende	zanimivo	spændende	zanimiv	ADJ	ADJ;NOM;NEUT;SG
spændende	zanimiva	spændende	zanimiv	ADJ	ADJ;NOM;FEM;SG
spændende	zanimivo	spændende	zanimiv	ADJ	ADJ;NOM;NEUT;SG
spændende	razburljivo	spændende	razburljiv	ADJ	ADJ;NOM;NEUT;SG
spændende	razburljivo	spændende	razburljiv	ADJ	ADJ;NOM;NEUT;SG
bombe	bombo	bombe	bomba	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
bombe	bomba	bombe	bomba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bombe	bombardiranje	bombe	bombardiranje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
anmodning	prošnja	anmodning	prošnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
anmodning	zahtevek	anmodning	zahtevek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
hænderne	roke	hånd	roka	N;DEF;MASC+FEM;PL	N;NOM;FEM;PL
tank	rezervoar	tank	rezervoar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tank	tank	tank	tanka	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
borussia	borussia	borussia	borussi	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
antaget	predvideval	antage	predvidevati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
kaserne	barake	kase	baraka	N;DEF;MASC+FEM;PL	N;NOM;FEM;PL
patent	patent	patent	patent	N;INDF;NEUT;SG	N;NOM;MASC;SG
filippinerne	filipini	filippin	filipina	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
kæden	verigo	kæde	veriga	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
kæden	veriga	kæde	veriga	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
konvention	konvencija	konvention	konvencija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
konvention	konvencijo	konvention	konvencija	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
ravn	krokar	ravn	krokar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ravn	raven	ravn	raven	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
usædvanlig	nenavaden	usædvanlig	nenavaden	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
usædvanlig	nenavadna	usædvanlig	nenavaden	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
usædvanlig	nenavadno	usædvanlig	nenavaden	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
væbnede	oboroženi	væbne	oborožen	ADJ;PL	ADJ;NOM;MASC;PL;V.PTCP
væbnede	oborožene	væbne	oborožen	ADJ;PL	ADJ;NOM;FEM;PL;V.PTCP
undersøgt	študiral	undersøge	študirati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
undersøgt	preučila	undersøge	preučiti	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
signatur	podpis	signatur	podpis	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sammenlignes	primerja	sammenligne	primerjati	V;IND;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN
romantisk	romantično	romantisk	romantičen	ADV	ADV
blind	slep	blind	slep	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
blind	slepa	blind	slep	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
kavaleri	konjenica	kavaleri	konjenica	N;INDF;NEUT;SG	N;NOM;FEM;SG
mel	moko	mel	moka	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
mel	moka	mel	moka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opvarmning	gretje	opvarmning	gretje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
opvarmning	segrevanje	opvarmning	segrevanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
opvarmning	ogrevanje	opvarmning	ogrevanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
opvarmning	segrevanje	opvarmning	segrevanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
header	glavo	heade	glava	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
header	glava	heade	glava	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
køb	nakup	køb	nakup	N;INDF;NEUT;SG	N;NOM;MASC;SG
køb	nakup	køb	nakup	N;INDF;NEUT;SG	N;NOM;MASC;SG
køb	kupovanje	køb	kupovanje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
køb	odkup	køb	odkup	N;INDF;NEUT;SG	N;NOM;MASC;SG
køb	nakup	køb	nakup	N;INDF;NEUT;SG	N;NOM;MASC;SG
walker	walker	walke	walker	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
walker	walkerja	walke	walker	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
statistisk	statistično	statistisk	statistično	ADV	ADV
afslørede	razkril	afsløre	razkriti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
afslørede	pokazala	afsløre	pokazati	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
afslørede	razkrili	afsløre	razkriti	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
afslørede	razkrila	afsløre	razkriti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
trio	trio	trio	trio	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sporten	šport	sport	šport	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
sporten	sport	sport	sport	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
domstol	sodišče	domstol	sodišče	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
domstol	dvor	domstol	dvor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
leverer	zagotavlja	levere	zagotavljati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
grænserne	mejami	grænse	meja	N;DEF;MASC+FEM;PL	N;DAT;FEM;PL
grænserne	mejah	grænse	meja	N;DEF;MASC+FEM;PL	N;ESS;FEM;PL
grænserne	meje	grænse	meja	N;DEF;MASC+FEM;PL	N;NOM;FEM;PL
komponenter	komponente	komponent	komponent	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
skulptur	kip	skulptur	kip	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
pearl	biser	pearl	biser	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ordfører	poročevalec	ordfører	poročevalec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ordfører	poročevalka	ordfører	poročevalka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
faciliteter	objekti	facilitet	objekt	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
winston	winston	winston	winston	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fisker	ribič	fisker	ribič	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fisker	ribolov	fisker	ribolov	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fisker	ribarjenje	fisker	ribarjenje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
