پُف	puff	پُف	puff		
پکڑنا	schwytać	پکڑ	schwytać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پکڑنا	uchwycić	پکڑ	uchwycić	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پکش	pióro	پکش	pióro		
پکش	piórko	پکش	piórko		
پکش	wing	پکش	wing		
پکش	side	پکش	sidy		
پکنا	gotować	پک	gotować	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پکنا	dojrzał	پک	dojrzeć	V;MASC;SG;NFIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پکنا	dojrzała	پک	dojrzały	V;MASC;SG;NFIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
پکنا	gotować	پک	gotować	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پکنا	dojrzał	پک	dojrzeć	V;MASC;SG;NFIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پکنا	dojrzała	پک	dojrzały	V;MASC;SG;NFIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
پکھ	wing	پکھ	wing		
پکھارنا	umyć	پکھار	umyć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پگ	stopa	پگ	stopa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پگ	turban	پگ	turban	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پگ	krok	پگ	krok	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پگا	potomstwa	پگا	potomstwo		
پگاہ	dawn	پگاہ	dawny		
پگڑی	osoba	پگڑی	osoba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
پگڑی	osoba	پگڑی	osoba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
پگڑی	turban	پگڑی	turban	N;NOM;FEM;SG;3	N;NOM;MASC;SG
پگّل	mad	پگّل	mad		
پگوڈا	pagoda	پگوڈا	pagoda		
پگھارنا	umyć	پگھار	umyć	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پلٹانا	wróć	پلٹانا	wróć	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پلٹانا	odeprzeć	پلٹانا	odeprzeć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پلٹن	mafii	پلٹن	mafia		
پلٹن	mafia	پلٹن	mafia		
پلٹنا	wróć	پلٹ	wróć	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پلٹنا	odwrót	پلٹ	odwrót	V;MASC;SG;NFIN;ACT	V;IPFV;IND;SG;PRS;FIN;ACT
پلستر	plaster	پلستر	plaster	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پلستر	gips	پلستر	gips	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پِن	pin	پِن	pin		
پُن	man	پُن	mana		
پُن	męska	پُن	męski		
پناہ	azyl	پناہ	azyl	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پناہ	schronienie	پناہ	schronienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پناہ	ochrona	پناہ	ochrona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پناہ	azyl	پناہ	azyl	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پناہ	schronienie	پناہ	schronienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پناہ	schronienie	پناہ	schronienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پناہ	schron	پناہ	schron	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پناہ	ochrona	پناہ	ochrona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پِنجنا	dołącz	پِنج	dołączyć	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پنجہ	moc	پنجہ	moc		
پنجہ	power	پنجہ	power		
پنجہ	control	پنجہ	control		
پنجہ	pazur	پنجہ	pazur		
پنچ	judge	پنچ	judga		
پنچایت	braterstwo	پنچایت	braterstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پنچایت	bractwo	پنچایت	bractwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پنچایت	nonsens	پنچایت	nonsens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پنچایت	społeczność	پنچایت	społeczność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پنچایت	wspólnota	پنچایت	wspólnota	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پنچھی	bird	پنچھی	bird	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;PRS;FIN;ACT
پِنڈ	osady	پِنڈ	osada		
پِنڈ	body	پِنڈ	bód		
پِنڈ	nadwozia	پِنڈ	nadwóziać		
پنڈک	eunuch	پنڈک	eunuch		
پنکھ	skrzydło	پنکھ	skrzydło	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پُننا	nadużycie	پُن	nadużyty	V;SG;NFIN;ACT	V;PFV;IND;SG;FIN;ACT
پَو	as	پَو	as		
پَو	asa	پَو	asa		
پَو	ace	پَو	acen		
پَو	dawn	پَو	dawny		
پوٹ	bale	پوٹ	bale		
پوٹ	sterty	پوٹ	stert		
پوچ	wredne	پوچ	wredny		
پُوچھنا	zapraszać	پُوچھ	zapraszać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پُوچھنا	zaprosić	پُوچھ	zaprosić	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پُوچھنا	pytaj	پُوچھ	pytać	V;MASC;SG;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
پُوچھنا	zapytaj	پُوچھ	zapytać	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پُوچھنا	poproś	پُوچھ	poproś	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پوست	powłoki	پوست	powłoki		
پوست	shell	پوست	shell		
پوست	bark	پوست	bark		
پوست	kory	پوست	kora		
پوست	kora	پوست	kora		
پوست	poppy	پوست	popp		
پوست	mak	پوست	mak		
پوست	powłoki	پوست	powłoki		
پوست	shell	پوست	shell		
پوست	bark	پوست	bark		
پوست	kory	پوست	kora		
پوست	kora	پوست	kora		
پوست	poppy	پوست	popp		
پوست	mak	پوست	mak		
پوشیدہ	objętych	پوشیدہ	objąć	ADJ	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
پوشیدہ	pokryta	پوشیدہ	pokryć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
پوشیدہ	pokryte	پوشیدہ	pokryć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پوشیدہ	ukryty	پوشیدہ	ukryć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
پوشیدہ	ukryta	پوشیدہ	ukryć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
پوشیدہ	schowane	پوشیدہ	schować	ADJ	ADJ;NOM;NEUT;SG
پوشیدہ	ukryte	پوشیدہ	ukryć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پوشیدہ	objętych	پوشیدہ	objąć	ADJ	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
پوشیدہ	pokryta	پوشیدہ	pokryć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
پوشیدہ	pokryte	پوشیدہ	pokryć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پوشیدہ	ukryty	پوشیدہ	ukryć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
پوشیدہ	ukryta	پوشیدہ	ukryć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
پوشیدہ	schowane	پوشیدہ	schować	ADJ	ADJ;NOM;NEUT;SG
پوشیدہ	ukryte	پوشیدہ	ukryć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پول	pustka	پول	pustka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پول	sekret	پول	sekret	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پول	tajemnica	پول	tajemnica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پَون	wdzięk	پَون	wdzięk		
پَون	uroku	پَون	urok		
پہ	acz	پہ	acz		
پہپٹ	oszustwo	پہپٹ	oszustwo		
پہپٹ	oszustwa	پہپٹ	oszustwo		
پہپٹ	oszustwo	پہپٹ	oszustwo		
پہپٹ	oszustwa	پہپٹ	oszustwo		
پہچان	rozróżnienie	پہچان	rozróżnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پہچان	wyróżnienie	پہچان	wyróżnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پہچان	identyfikacja	پہچان	identyfikacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پہچان	uznanie	پہچان	uznanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پہچان	rozpoznanie	پہچان	rozpoznać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
پہچان	rozpoznawanie	پہچان	rozpoznawać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
پہچان	uznawanie	پہچان	uznawać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
پہچان	znajomość	پہچان	znajomość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پہچان	znajomość	پہچان	znajomość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پہچاننا	poznaje	پہچان	poznawać	V;SG;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
پہچاننا	rozpoznaje	پہچان	rozpoznawać	V;SG;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
پہچاننا	rozpoznać	پہچان	rozpoznać	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہچاننا	odróżnić	پہچان	odróżnić	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہچاننا	zrozumieć	پہچان	zrozumieć	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہچاننا	zrozum	پہچان	zrozum	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پہچاننا	poznaje	پہچان	poznawać	V;SG;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
پہچاننا	rozpoznaje	پہچان	rozpoznawać	V;SG;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
پہچاننا	rozpoznać	پہچان	rozpoznać	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہچاننا	odróżnić	پہچان	odróżnić	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہچاننا	zrozumieć	پہچان	zrozumieć	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہچاننا	zrozum	پہچان	zrozum	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پہچاننا	zidentyfikować	پہچان	zidentyfikować	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہچنا	przybyć	پہچ	przybyć	V;MASC;SG;V.PTCP;ACT	V;PFV;NFIN;ACT
پہَل	wing	پہَل	wing		
پہَل	side	پہَل	sidy		
پہلا	główne	پہلا	główny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پہلا	główny	پہلا	główny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پہلا	poprzedni	پہلا	poprzedni	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پہلا	wcześniejsze	پہلا	wczesny	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
پہلا	oryginalna	پہلا	oryginalny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
پہلا	oryginalny	پہلا	oryginalny	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پہلا	oryginalne	پہلا	oryginalny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پہلا	podstawowy	پہلا	podstawowy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پہلا	pierwotne	پہلا	pierwotny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پہلا	podstawowe	پہلا	podstawowy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پہلا	poprzedni	پہلا	poprzedni	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پہلا	dawne	پہلا	dawny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پہلا	pierwszy	پہلا	pierwszy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پہلا	pierwsze	پہلا	pierwszy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پہلا	pierwsza	پہلا	pierwszy	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
پہلومارنا	konkurować	پہلومارنا	konkurować	V;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہلومارنا	rywalizować	پہلومارنا	rywalizować	V;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہلومارنا	naśladować	پہلومارنا	naśladować	V;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہنچا	przyszedł	پہنچ	przyjść	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پہنچا	przyszło	پہنچ	przyjść	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
پہنچا	przybyła	پہنچ	przybyły	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
پہنچا	przybył	پہنچ	przybyć	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پہنچا	osiągnął	پہنچ	osiągnąć	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پہنچا	osiągnięto	پہنچ	osiągnąć	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;0;PST;FIN;ACT
پہنچانا	nosić	پہنچ	nosić	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہنچانا	nieść	پہنچ	nieść	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہنچنا	rozwinąć	پہنچ	rozwinąć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہنچنا	zrozumieć	پہنچ	zrozumieć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہنچنا	zrozum	پہنچ	zrozum	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پہنچنا	otrzymywać	پہنچ	otrzymywać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہنچنا	odbierać	پہنچ	odbierać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہنچنا	otrzymać	پہنچ	otrzymać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہنچنا	chodź	پہنچ	chodzić	V;MASC;SG;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
پہنچنا	przybyć	پہنچ	przybyć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہنچنا	rozwinąć	پہنچ	rozwinąć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہنچنا	zrozumieć	پہنچ	zrozumieć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہنچنا	zrozum	پہنچ	zrozum	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پہنچنا	otrzymywać	پہنچ	otrzymywać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہنچنا	odbierać	پہنچ	odbierać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پہنچنا	otrzymać	پہنچ	otrzymać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہنچنا	chodź	پہنچ	chodzić	V;MASC;SG;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
پہنچنا	przybyć	پہنچ	przybyć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پہننا	załóż	پہن	założyć	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پہننا	nosić	پہن	nosić	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پَے	marka	پَہ	marka		
پَے	wina	پَہ	wino		
پَے	nerwy	پَہ	nerwy		
پَے	nerwów	پَہ	nerw		
پَے	after	پَہ	after		
پَے	stopy	پَہ	stopa		
پیار	miłość	پیار	miłość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیار	pocałunek	پیار	pocałunek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیار	znajomość	پیار	znajomość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیار	przyjaźń	پیار	przyjaźń	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیار	przywiązanie	پیار	przywiązanie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
پیارا	ukochana	پیارا	ukochać	ADJ;NOM;MASC;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
پیارا	ukochany	پیارا	ukochany	ADJ;NOM;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
پیارا	kochany	پیارا	kochany	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پیارا	ulubione	پیارا	ulubiony	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پیارا	ulubiony	پیارا	ulubić	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پیارا	ulubiona	پیارا	ulubiony	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
پیارا	przyjemne	پیارا	przyjemny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پیارا	ukochana	پیارا	ukochać	ADJ;NOM;MASC;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
پیارا	ukochany	پیارا	ukochany	ADJ;NOM;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
پیارا	kochany	پیارا	kochany	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پیارا	kochana	پیارا	kochać	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
پیارا	kochany	پیارا	kochany	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پیارا	ulubione	پیارا	ulubiony	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پیارا	ulubiony	پیارا	ulubić	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پیارا	ulubiona	پیارا	ulubiony	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
پیارا	kochany	پیارا	kochany	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
پیارا	kochana	پیارا	kochać	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
پیارا	przyjemne	پیارا	przyjemny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
پِیٹنا	pokonać	پِیٹ	pokonać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پِیٹنا	ukarać	پِیٹ	ukarać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پِیٹنا	karać	پِیٹ	karać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پِیٹنا	zarabiać	پِیٹ	zarabiać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پِیٹنا	zarobić	پِیٹ	zarobić	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پیچ	złóż	پیچ	złożyć	V;SG;V.PTCP;ACT	V;PFV;IMP;SG;2;FIN;ACT
پیچاک	twist	پیچاک	twist		
پیچاک	curl	پیچاک	curl		
پیچیدگی	złożoność	پیچیدگی	złożoność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیچیدہ	niejednoznaczne	پیچیدہ	niejednoznaczny	ADJ	ADJ;NOM;NEUT;SG
پیچیدہ	zaangażowane	پیچیدہ	zaangażowany	ADJ	ADJ;NOM;NEUT;SG
پیچیدہ	zaangażowana	پیچیدہ	zaangażować	ADJ	ADJ;NOM;FEM;SG
پیچیدہ	zaangażowany	پیچیدہ	zaangażować	ADJ	ADJ;NOM;MASC;SG
پیچیدہ	zakręcony	پیچیدہ	zakręcić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
پیچیدہ	trudna	پیچیدہ	trudny	ADJ	ADJ;NOM;FEM;SG
پیچیدہ	trudny	پیچیدہ	trudny	ADJ	ADJ;NOM;MASC;SG
پیچیدہ	skomplikowany	پیچیدہ	skomplikować	ADJ	ADJ;NOM;MASC;SG
پیچیدہ	skomplikowana	پیچیدہ	skomplikowany	ADJ	ADJ;NOM;FEM;SG
پیچیدہ	skomplikowane	پیچیدہ	skomplikować	ADJ	ADJ;NOM;NEUT;SG
پیچیدہ	niejednoznaczne	پیچیدہ	niejednoznaczny	ADJ	ADJ;NOM;NEUT;SG
پیچیدہ	zaangażowane	پیچیدہ	zaangażowany	ADJ	ADJ;NOM;NEUT;SG
پیچیدہ	zaangażowana	پیچیدہ	zaangażować	ADJ	ADJ;NOM;FEM;SG
پیچیدہ	zaangażowany	پیچیدہ	zaangażować	ADJ	ADJ;NOM;MASC;SG
پیچیدہ	złożone	پیچیدہ	złożyć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پیچیدہ	złożona	پیچیدہ	złożyć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
پیچیدہ	złożony	پیچیدہ	złożyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
پیچیدہ	skomplikowane	پیچیدہ	skomplikować	ADJ	ADJ;NOM;NEUT;SG
پیچیدہ	zakręcony	پیچیدہ	zakręcić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
پیچیدہ	trudna	پیچیدہ	trudny	ADJ	ADJ;NOM;FEM;SG
پیچیدہ	trudny	پیچیدہ	trudny	ADJ	ADJ;NOM;MASC;SG
پیچیدہ	skomplikowany	پیچیدہ	skomplikować	ADJ	ADJ;NOM;MASC;SG
پیچیدہ	skomplikowana	پیچیدہ	skomplikowany	ADJ	ADJ;NOM;FEM;SG
پیچیدہ	skomplikowane	پیچیدہ	skomplikować	ADJ	ADJ;NOM;NEUT;SG
پیش	wcześniej	پیش	wcześnie	ADV;MASC;SG;3	ADV;CMPR
پیشانی	kierunek	پیشانی	kierunek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشانی	los	پیشانی	los	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشانی	przeznaczenie	پیشانی	przeznaczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشانی	kierunek	پیشانی	kierunek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشانی	front	پیشانی	front	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشانی	los	پیشانی	los	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشانی	przeznaczenie	پیشانی	przeznaczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشانی	czoło	پیشانی	czoło	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشکاری	agencja	پیشکاری	agencja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشکش	prezentacja	پیشکش	prezentacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشکش	hołd	پیشکش	hołd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشکش	wniosek	پیشکش	wniosek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشکش	propozycja	پیشکش	propozycja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشکش	prezentacja	پیشکش	prezentacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشکش	hołd	پیشکش	hołd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشکش	oferta	پیشکش	oferty	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشکش	wniosek	پیشکش	wniosek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشکش	propozycja	پیشکش	propozycja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشوا	wzór	پیشوا	wzór	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	model	پیشوا	model	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	modelka	پیشوا	modelka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشوا	poradnik	پیشوا	poradnik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	przewodnik	پیشوا	przewodnik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	dowódca	پیشوا	dowódca	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	lider	پیشوا	lider	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	przywódca	پیشوا	przywódca	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	ksiądz	پیشوا	ksiądz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوا	kapłan	پیشوا	kapłan	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوائی	priorytet	پیشوائی	priorytet	N;NOM;MASC;SG;3	N;NOM;MASC;SG
