ve	ja	ve	ja	CONJ	CONJ
sadece	vain	sadece	vain	ADV	ADV
sadece	vain	sadece	vain	ADV	ADV
bilgi	tiedotus	bilgi	tiedotus	N;NOM;SG;3	N;NOM;SG
bilgi	tiedottaminen	bilgi	tiedottaminen	N;NOM;SG;3	N;NOM;SG
bilgi	osaaminen	bilgi	osaaminen	N;NOM;SG;3	N;NOM;SG
bilgi	tieto	bilgi	tieto	N;NOM;SG;3	N;NOM;SG
bilgi	tietämys	bilgi	tietämys	N;NOM;SG;3	N;NOM;SG
devlet	osavaltio	devlet	osa#valtio	N;NOM;SG;3	N;NOM;SG
devlet	valtio	devlet	valtio	N;NOM;SG;3	N;NOM;SG
devlet	valtio	devlet	valtio	N;NOM;SG;3	N;NOM;SG
devlet	hallitus	devlet	hallitus	N;NOM;SG;3	N;NOM;SG
üç	kolme	üç	kolme	NUM	NUM;NOM;SG
başladı	alkanut	başla	alkaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
başladı	alkoi	başla	alkaa	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
başladı	aloitti	başla	aloittaa	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
başladı	aloitettu	başla	aloittaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
başladı	alkanut	başla	alkaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
küçük	pieni	küçük	pieni	ADJ	ADJ;NOM;SG
küçük	pienet	küçük	pieni	ADJ	ADJ;NOM;PL
küçük	pieni	küçük	pieni	ADJ	ADJ;NOM;SG
küçük	pikku	küçük	pikku	ADJ	ADJ
gelen	saapuva	gel	saapua	V;PFV;IND;POS;PRS;V.PTCP	V;NOM;SG;V.PTCP;ACT
gelen	saapuvat	gel	saapua	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PL;3;PRS;FIN;ACT
kabul	hyväksyminen	kabul	hyväksyminen	N;NOM;SG;3	N;NOM;SG
kabul	hyväksyntä	kabul	hyväksyntä	N;NOM;SG;3	N;NOM;SG
kupası	kuppi	kupa	kuppi	N;NOM;SG;3	N;NOM;SG
kupası	muki	kupa	muki	N;NOM;SG;3	N;NOM;SG
kupası	cup	kupa	cup	N;NOM;SG;3	N;NOM;SG
okulu	koulu	okul	koulu	N;NOM;SG;3	N;NOM;SG
okulu	school	okul	school	N;NOM;SG;3	N;NOM;SG
aldı	vietiin	al	viedä	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;PASS
aldı	viety	al	viedä	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
aldı	otettu	al	ottaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
aldı	otti	al	ottaa	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
aldı	vei	al	viedä	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
aldı	vastaanotettu	al	vastaanottaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
aldı	saanut	al	saada	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
aldı	saatu	al	saada	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
farklı	erilaiset	farklı	erilainen	ADJ	ADJ;NOM;PL
farklı	erilainen	farklı	erilainen	ADJ	ADJ;NOM;SG
farklı	eri	farklı	eri	ADJ	ADJ
farklı	erilaista	farklı	erilainen	ADJ	ADJ;PRT;SG
özel	yksinomainen	özel	yksin#omainen	ADJ	ADJ;NOM;SG
özel	yksityisiä	özel	yksityinen	ADJ	ADJ;PRT;PL
özel	yksityiset	özel	yksityinen	ADJ	ADJ;NOM;PL
özel	yksityisen	özel	yksityinen	ADJ	ADJ;GEN;SG
özel	yksityinen	özel	yksityinen	ADJ	ADJ;NOM;SG
özel	erityiset	özel	erityinen	ADJ	ADJ;NOM;PL
özel	erityinen	özel	erityinen	ADJ	ADJ;NOM;SG
özel	erityistä	özel	erityinen	ADJ	ADJ;PRT;SG
özel	erikoinen	özel	erikoinen	ADJ	ADJ;NOM;SG
biri	joku	biri	joku	PRO;NOM;SG;3	PRO;NOM;SG
biri	joku	biri	joku	PRO;NOM;SG;3	PRO;NOM;SG
alanı	kenttä	alan	kenttä	N;NOM;SG;3	N;NOM;SG
alanı	alue	alan	alue	N;NOM;SG;3	N;NOM;SG
uzun	pitkä	uzun	pitkä	ADJ	ADJ;NOM;SG
uzun	pidemmän	uzun	pitkä	ADJ	ADJ;GEN;CMPR;SG
uzun	pidempi	uzun	pitkä	ADJ	ADJ;NOM;CMPR;SG
uzun	pitempi	uzun	pitkä	ADJ	ADJ;NOM;CMPR;SG
uzun	pitkät	uzun	pitkä	ADJ	ADJ;NOM;PL
uzun	pitkä	uzun	pitkä	ADJ	ADJ;NOM;SG
elektrik	sähkö	elektrik	sähkö	N;NOM;SG;3	N;NOM;SG
elektrik	sähkö	elektrik	sähkö	N;NOM;SG;3	N;NOM;SG
elektrik	sähkö	elektrik	sähkö	N;NOM;SG;3	N;NOM;SG
ardından	jälkeen	ardından	jälkeen	ADV	ADV
kısa	lyhyemmän	kısa	lyhyt	ADJ	ADJ;GEN;CMPR;SG
kısa	lyhyempi	kısa	lyhyt	ADJ	ADJ;NOM;CMPR;SG
kısa	lyhyet	kısa	lyhyt	ADJ	ADJ;NOM;PL
kısa	lyhyt	kısa	lyhyt	ADJ	ADJ;NOM;SG
kısa	lyhyt	kısa	lyhyt	ADJ	ADJ;NOM;SG
kişi	ihminen	kişi	ihminen	N;NOM;SG;3	N;NOM;SG
kişi	henkilö	kişi	henkilö	N;NOM;SG;3	N;NOM;SG
el	käsi	el	käsi	N;NOM;SG;3	N;NOM;SG
gol	järvi	gol	järvi	N;NOM;SG;3	N;NOM;SG
gol	maali	gol	maali	N;NOM;SG;3	N;NOM;SG
gol	tavoite	gol	tavoite	N;NOM;SG;3	N;NOM;SG
gol	päämäärä	gol	pää#määrä	N;NOM;SG;3	N;NOM;SG
gün	päivä	gün	päivä	N;NOM;SG;3	N;NOM;SG
süre	aika	süre	aika	N;NOM;SG;3	N;NOM;SG
süre	voimassaoloaika	süre	voimassaolo#aika	N;NOM;SG;3	N;NOM;SG
süre	kesto	süre	kesto	N;NOM;SG;3	N;NOM;SG
eğitim	koulutus	eğitim	koulutus	N;NOM;SG;3	N;NOM;SG
eğitim	koulutus	eğitim	koulutus	N;NOM;SG;3	N;NOM;SG
az	vähä	az	vähän	ADV	ADV
az	vähemmän	az	vähemmän	ADV	ADV
kullanılan	käytetyt	kullan	käyttää	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
kullanılan	käytetty	kullan	käyttää	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
kullanılan	käytettyjä	kullan	käyttää	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PRT;PL;V.PTCP;PASS
görev	velvollisuus	görev	velvollisuus	N;NOM;SG;3	N;NOM;SG
görev	tulli	görev	tulli	N;NOM;SG;3	N;NOM;SG
görev	tehtävä	görev	tehtävä	N;NOM;SG;3	N;NOM;SG
görev	toimeksianto	görev	toimeksia	N;NOM;SG;3	N;NOM;SG
görev	tehtävä	görev	tehtävä	N;NOM;SG;3	N;NOM;SG
görev	mission	görev	missio	N;NOM;SG;3	N;NOM;SG
görev	tehtävä	görev	tehtävä	N;NOM;SG;3	N;NOM;SG
onun	hänen	o	hän	PRO;GEN;SG;3	PRO;GEN;SG;3
onun	hänen	o	hän	PRO;GEN;SG;3	PRO;GEN;SG;3
yine	uudestaan	yine	uudestaan	ADV	ADV
yine	uudelleen	yine	uudelleen	ADV	ADV
yine	taas	yine	taas	ADV	ADV
yine	jälleen	yine	jälleen	ADV	ADV
ekonomisi	talous	ekonomi	talous	N;NOM;SG;3	N;NOM;SG
telefon	puhelin	telefon	puhelin	N;NOM;SG;3	N;NOM;SG
telefon	puhelin	telefon	puhelin	N;NOM;SG;3	N;NOM;SG
yeniden	uudestaan	yeniden	uudestaan	ADV	ADV
yeniden	uudelleen	yeniden	uudelleen	ADV	ADV
yeniden	taas	yeniden	taas	ADV	ADV
yeniden	jälleen	yeniden	jälleen	ADV	ADV
savaş	taistelu	savaş	taistelu	N;NOM;SG;3	N;NOM;SG
savaş	taisto	savaş	taisto	N;NOM;SG;3	N;NOM;SG
savaş	sota	savaş	sota	N;NOM;SG;3	N;NOM;SG
savaş	ottelu	savaş	ottelu	N;NOM;SG;3	N;NOM;SG
savaş	taistelu	savaş	taistelu	N;NOM;SG;3	N;NOM;SG
rağmen	huolimatta	rağmen	huolimatta	ADP	ADP
kullanıcı	käyttäjä	kullanıcı	käyttäjä	N;NOM;SG;3	N;NOM;SG
birliği	unioni	birlik	unioni	N;NOM;SG;3	N;NOM;SG
kanalizasyon	viemäri	kanalizasyon	viemäri	N;NOM;SG;3	N;NOM;SG
kanalizasyon	viemäri	kanalizasyon	viemäri	N;NOM;SG;3	N;NOM;SG
kanalizasyon	viemäröinti	kanalizasyon	viemäröinti	N;NOM;SG;3	N;NOM;SG
kanalizasyon	viemäri	kanalizasyon	viemäri	N;NOM;SG;3	N;NOM;SG
maç	peli	maç	peli	N;NOM;SG;3	N;NOM;SG
maç	vastaavuus	maç	vastaavuus	N;NOM;SG;3	N;NOM;SG
maç	ottelu	maç	ottelu	N;NOM;SG;3	N;NOM;SG
sıra	rivi	sıra	rivi	N;NOM;SG;3	N;NOM;SG
teknik	tekninen	teknik	tekninen	ADJ	ADJ;NOM;SG
uygun	hyväkuntoinen	uygun	hyväkuntoinen	ADJ	ADJ;NOM;SG
uygun	kätevä	uygun	kätevä	ADJ	ADJ;NOM;SG
uygun	kätevää	uygun	kätevä	ADJ	ADJ;PRT;SG
uygun	tarkoituksenmukainen	uygun	tarkoitus#mukainen	ADJ	ADJ;NOM;SG
uygun	asianmukaiset	uygun	asian#mukainen	ADJ	ADJ;NOM;PL
uygun	asianmukainen	uygun	asian#mukainen	ADJ	ADJ;NOM;SG
uygun	sopivaa	uygun	sopiva	ADJ	ADJ;PRT;SG
uygun	sopiva	uygun	sopiva	ADJ	ADJ;NOM;SG
uygun	sopivat	uygun	sopiva	ADJ	ADJ;NOM;PL
uygun	sopiva	uygun	sopiva	ADJ	ADJ;NOM;SG
bütün	koko	bütün	koko	ADJ	ADJ
bütün	kokonaisena	bütün	kokonainen	ADJ	ADJ;FRML;SG
bütün	kokonainen	bütün	kokonainen	ADJ	ADJ;NOM;SG
bütün	kokonaiset	bütün	kokonainen	ADJ	ADJ;NOM;PL
listesi	lista	liste	lista	N;NOM;SG;3	N;NOM;SG
listesi	luettelo	liste	luettelo	N;NOM;SG;3	N;NOM;SG
dört	neljä	dört	neljä	NUM	NUM;NOM;SG
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;SG
stadyumu	stadium	stadyum	stadium	N;NOM;SG;3	N;NOM;SG
bar	baari	bar	baari	N;NOM;SG;3	N;NOM;SG
bar	pub	bar	pub	N;NOM;SG;3	N;NOM;SG
sonunda	vihdoinkin	sonunda	vihdoin	ADV	ADV
sonunda	vihdoin	sonunda	vihdoin	ADV	ADV
onu	hänet	o	hän	PRO;ACC;SG;3	PRO;ACC;SG;3
verilen	annettu	ver	antaa	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
verilen	annetut	ver	antaa	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
açık	selvää	açık	selvä	ADJ	ADJ;PRT;SG
açık	kirkas	açık	kirkas	ADJ	ADJ;NOM;SG
insan	ihminen	insan	ihminen	N;NOM;SG;3	N;NOM;SG
insan	henkilö	insan	henkilö	N;NOM;SG;3	N;NOM;SG
insan	mies	insan	mies	N;NOM;SG;3	N;NOM;SG
insan	äijä	insan	äijä	N;NOM;SG;3	N;NOM;SG
insan	ihminen	insan	ihminen	N;NOM;SG;3	N;NOM;SG
bilinen	tunnetaan	bil	tuntea	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;PRS;FIN;PASS
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;SG
stadyum	stadium	stadyum	stadium	N;NOM;SG;3	N;NOM;SG
an	hetki	an	hetki	N;NOM;SG;3	N;NOM;SG
iş	työpaikka	iş	työ#paikka	N;NOM;SG;3	N;NOM;SG
iş	työ	iş	työ	N;NOM;SG;3	N;NOM;SG
iş	työ	iş	työ	N;NOM;SG;3	N;NOM;SG
iş	yritys	iş	yritys	N;NOM;SG;3	N;NOM;SG
iş	liiketoiminta	iş	liike#toimi	N;NOM;SG;3	N;NOM;SG
iş	liike	iş	liike	N;NOM;SG;3	N;NOM;SG
iş	business	iş	business	N;NOM;SG;3	N;NOM;SG
bölümü	jakso	bölüm	jaksaa	N;NOM;SG;3	N;NOM;SG
bölümü	pääluokka	bölüm	pää#luokka	N;NOM;SG;3	N;NOM;SG
bölümü	osasto	bölüm	osasto	N;NOM;SG;3	N;NOM;SG
güzel	kaunista	güzel	kaunis	ADJ	ADJ;PRT;SG
güzel	kaunis	güzel	kaunis	ADJ	ADJ;NOM;SG
güzel	kauniit	güzel	kaunis	ADJ	ADJ;NOM;PL
güzel	hyvää	güzel	hyvä	ADJ	ADJ;PRT;SG
güzel	hyvä	güzel	hyvä	ADJ	ADJ;NOM;SG
güzel	mukavaa	güzel	mukava	ADJ	ADJ;PRT;SG
güzel	hienot	güzel	hieno	ADJ	ADJ;NOM;PL
güzel	hieno	güzel	hieno	ADJ	ADJ;NOM;SG
güzel	kiva	güzel	kiva	ADJ	ADJ;NOM;SG
güzel	nätti	güzel	nätti	ADJ	ADJ;NOM;SG
güzel	ihanat	güzel	ihana	ADJ	ADJ;NOM;PL
güzel	ihana	güzel	ihana	ADJ	ADJ;NOM;SG
çocuk	poika	çocuk	poika	N;NOM;SG;3	N;NOM;SG
çocuk	poika	çocuk	poika	N;NOM;SG;3	N;NOM;SG
çocuk	pentu	çocuk	pentu	N;NOM;SG;3	N;NOM;SG
çocuk	kid	çocuk	kidossa	N;NOM;SG;3	N;NOM;SG
çocuk	lapsi	çocuk	lapsi	N;NOM;SG;3	N;NOM;SG
sinema	elokuva	sine	elo#kuva	N;NOM;SG;3	N;NOM;SG
sinema	leffa	sine	leffa	N;NOM;SG;3	N;NOM;SG
sinema	elokuva	sine	elo#kuva	N;NOM;SG;3	N;NOM;SG
ay	kuukausi	ay	kuu#kausi	N;NOM;SG;3	N;NOM;SG
ay	kuu	ay	kuu	N;NOM;SG;3	N;NOM;SG
imparatorluğu	valtakunta	imparatorluk	valta#kunta	N;NOM;SG;3	N;NOM;SG
imparatorluğu	imperiumi	imparatorluk	imperiumi	N;NOM;SG;3	N;NOM;SG
internet	web	internet	web	N;NOM;SG;3	N;NOM;SG
internet	internet	internet	internet	N;NOM;SG;3	N;NOM;SG
tiyatro	draama	tiyatro	draama	N;NOM;SG;3	N;NOM;SG
tiyatro	teatteri	tiyatro	teatteri	N;NOM;SG;3	N;NOM;SG
tiyatro	teatteri	tiyatro	teatteri	N;NOM;SG;3	N;NOM;SG
oldukça	melko	oldukça	melko	ADV	ADV
kazandı	voitti	kazan	voittaa	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
kazandı	voittanut	kazan	voittaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
karar	päätös	karar	päätös	N;NOM;SG;3	N;NOM;SG
tarih	päivämäärä	tarih	päivä#määrä	N;NOM;SG;3	N;NOM;SG
tarih	päiväys	tarih	päiväys	N;NOM;SG;3	N;NOM;SG
tarih	historia	tarih	historia	N;NOM;SG;3	N;NOM;SG
ünlü	kuuluisa	ünlü	kuuluisa	ADJ	ADJ;NOM;SG
ünlü	kuuluisia	ünlü	kuuluisa	ADJ	ADJ;PRT;PL
ünlü	kuuluisat	ünlü	kuuluisa	ADJ	ADJ;NOM;PL
ünlü	tunnettu	ünlü	tunnettu	ADJ	ADJ;NOM;SG
bile	edes	bile	edes	ADV	ADV
bile	jopa	bile	jopa	ADV	ADV
sosyal	seurallinen	sosyal	seurallinen	ADJ	ADJ;NOM;SG
sosyal	sosiaaliset	sosyal	sosiaalinen	ADJ	ADJ;NOM;PL
sosyal	sosiaalisen	sosyal	sosiaalinen	ADJ	ADJ;GEN;SG
sosyal	sosiaalinen	sosyal	sosiaalinen	ADJ	ADJ;NOM;SG
sosyal	yhteiskunnallinen	sosyal	yhteis#kunnallinen	ADJ	ADJ;NOM;SG
geldi	saapui	gel	saapua	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
geldi	saapunut	gel	saapua	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
böylece	siten	böylece	siten	ADV	ADV
böylece	täten	böylece	täten	ADV	ADV
oy	äänestys	oy	äänestys	N;NOM;SG;3	N;NOM;SG
oy	äänioikeus	oy	ääni#oikeus	N;NOM;SG;3	N;NOM;SG
oy	äänestys	oy	äänestys	N;NOM;SG;3	N;NOM;SG
oy	äänestäminen	oy	äänestäminen	N;NOM;SG;3	N;NOM;SG
geniş	laaja	geniş	laaja	ADJ	ADJ;NOM;SG
geniş	leveä	geniş	leveä	ADJ	ADJ;NOM;SG
geniş	laaja	geniş	laaja	ADJ	ADJ;NOM;SG
geniş	suuret	geniş	suuri	ADJ	ADJ;NOM;PL
geniş	suuria	geniş	suuri	ADJ	ADJ;PRT;PL
geniş	iso	geniş	iso	ADJ	ADJ;NOM;SG
geniş	suuri	geniş	suuri	ADJ	ADJ;NOM;SG
ev	koti	ev	koti	N;NOM;SG;3	N;NOM;SG
ev	house	ev	house	N;NOM;SG;3	N;NOM;SG
ev	talo	ev	talo	N;NOM;SG;3	N;NOM;SG
hareket	liike	hareket	liike	N;NOM;SG;3	N;NOM;SG
hareket	esitys	hareket	esitys	N;NOM;SG;3	N;NOM;SG
hareket	liikkuminen	hareket	liikkuminen	N;NOM;SG;3	N;NOM;SG
hareket	liike	hareket	liike	N;NOM;SG;3	N;NOM;SG
hareket	liikkuvuus	hareket	liikkuvuus	N;NOM;SG;3	N;NOM;SG
bölgesi	alue	bölge	alue	N;NOM;SG;3	N;NOM;SG
sahibi	omistaja	sahip	omistaja	N;NOM;SG;3	N;NOM;SG
bilim	tiede	bilim	tiede	N;NOM;SG;3	N;NOM;SG
verdi	antanut	ver	antaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
verdi	antoi	ver	antaa	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
yaşayan	elää	yaşa	elää	V;PFV;IND;POS;PRS;V.PTCP	V;IND;SG;3;PRS;FIN;ACT
yaşayan	elävät	yaşa	elää	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PL;3;PRS;FIN;ACT
hiç	ikinä	hiç	ikinä	ADV	ADV
hiç	koskaan	hiç	koskaan	ADV	ADV
ifade	express	ifade	express	N;NOM;SG;3	N;NOM;SG
ifade	julkilausuma	ifade	julki#lausuma	N;NOM;SG;3	N;NOM;SG
ifade	lausunto	ifade	lausunto	N;NOM;SG;3	N;NOM;SG
ifade	lausuma	ifade	lausuma	N;NOM;SG;3	N;NOM;SG
ifade	lauseke	ifade	lauseke	N;NOM;SG;3	N;NOM;SG
ifade	ilmaisu	ifade	ilmaisu	N;NOM;SG;3	N;NOM;SG
rapor	kertomus	rapor	kertomus	N;NOM;SG;3	N;NOM;SG
rapor	raportti	rapor	raportti	N;NOM;SG;3	N;NOM;SG
kullanılır	käytetty	kullan	käyttää	V;IPFV;IND;SG;3;POS;PASS	V;NOM;SG;V.PTCP;PASS
kurulan	perustettu	kur	perustaa	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
kurulan	perustettu	kur	perustaa	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
altı	kuusi	altı	kuusi	NUM	NUM;NOM;SG
dizi	sarja	dizi	sarja	N;NOM;SG;3	N;NOM;SG
dizi	array	dizi	array	N;NOM;SG;3	N;NOM;SG
dizi	sarja	dizi	sarja	N;NOM;SG;3	N;NOM;SG
ayrı	erilliset	ayrı	erillinen	ADJ	ADJ;NOM;PL
ayrı	erillinen	ayrı	erillinen	ADJ	ADJ;NOM;SG
şampiyonası	mestaruus	şampiyon	mestaruus	N;NOM;SG;3	N;NOM;SG
göz	katse	göz	katse	N;NOM;SG;3	N;NOM;SG
göz	silmä	göz	silmä	N;NOM;SG;3	N;NOM;SG
televizyon	tv	televizyon	tv	N;NOM;SG;3	N;NOM;SG
televizyon	televisio	televizyon	televisio	N;NOM;SG;3	N;NOM;SG
galatasaray	galatasaray	galatasarayay	galata#saray	N;NOM;SG;3	N;NOM;SG
galatasaray	liverpool	galatasarayay	liver#pool	N;NOM;SG;3	N;NOM;SG
karasal	maanpäällisen	karasal	maan#päällinen	ADJ	ADJ;GEN;SG
durum	status	durum	status	N;NOM;SG;3	N;NOM;SG
durum	asema	durum	asema	N;NOM;SG;3	N;NOM;SG
durum	tila	durum	tila	N;NOM;SG;3	N;NOM;SG
durum	tilanne	durum	tilanne	N;NOM;SG;3	N;NOM;SG
durum	tilanne	durum	tilanne	N;NOM;SG;3	N;NOM;SG
durum	ehto	durum	ehto	N;NOM;SG;3	N;NOM;SG
durum	edellytys	durum	edellytys	N;NOM;SG;3	N;NOM;SG
durum	kunto	durum	kunto	N;NOM;SG;3	N;NOM;SG
gelenek	perinne	gelenek	perinne	N;NOM;SG;3	N;NOM;SG
bunlar	nämä	bu	tämä	PRO;NOM;PL;3	PRO;NOM;PL
bunlar	nuo	bu	tuo	PRO;NOM;PL;3	PRO;NOM;PL
bunlar	noi	bu	tuo	PRO;NOM;PL;3	PRO;NOM;PL
yanlış	virheelliset	yanlış	virheellinen	ADJ	ADJ;NOM;PL
yanlış	väärä	yanlış	väärä	ADJ	ADJ;NOM;SG
yanlış	virheellinen	yanlış	virheellinen	ADJ	ADJ;NOM;SG
yanlış	väärä	yanlış	väärä	ADJ	ADJ;NOM;SG
yanlış	väärä	yanlış	väärä	ADJ	ADJ;NOM;SG
yanlış	väärät	yanlış	väärä	ADJ	ADJ;NOM;PL
al	ota	al	ottaa	V;PFV;IMP;SG;2;POS;PRS	V;IMP;SG;2;FIN;ACT
al	hanki	al	hankkia	V;PFV;IMP;SG;2;POS;PRS	V;IMP;SG;2;FIN;ACT
al	saada	al	saada	V;PFV;IMP;SG;2;POS;PRS	V;SG;NFIN;ACT
al	hae	al	hakea	V;PFV;IMP;SG;2;POS;PRS	V;IMP;SG;2;FIN;ACT
ses	ääni	ses	ääni	N;NOM;SG;3	N;NOM;SG
ses	ääni	ses	ääni	N;NOM;SG;3	N;NOM;SG
ses	ääni	ses	ääni	N;NOM;SG;3	N;NOM;SG
ses	meteli	ses	medellä	N;NOM;SG;3	N;NOM;SG
ses	melu	ses	melu	N;NOM;SG;3	N;NOM;SG
ses	tilavuus	ses	tilavuus	N;NOM;SG;3	N;NOM;SG
ses	määrä	ses	määrä	N;NOM;SG;3	N;NOM;SG
milli	kansallinen	milli	kansallinen	ADJ	ADJ;NOM;SG
milli	kansalliset	milli	kansallinen	ADJ	ADJ;NOM;PL
milli	kansallisten	milli	kansallinen	ADJ	ADJ;GEN;PL
kitap	kirja	kitap	kirja	N;NOM;SG;3	N;NOM;SG
ödülleri	palkkiot	ödül	palkkio	N;NOM;PL;3	N;NOM;PL
