से	vom	से	vom		
था	war	था	sein	V;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
राज्य	staat	राज्य	staaen	N;NOM;MASC;SG;3	N
बाहरी	außenbereich	बाहरी	außenbereich	ADJ;NOM	ADJ
बाहरी	äußere	बाहरी	äußer	ADJ;NOM	ADJ;NOM;FEM;PL
बाहरी	äußeren	बाहरी	äußer	ADJ;NOM	ADJ
बाहरी	außenseite	बाहरी	außenseite	ADJ;NOM	ADJ
बाहरी	externen	बाहरी	extern	ADJ;NOM	ADJ
बाहरी	außenbereich	बाहरी	außenbereich	ADJ;NOM	ADJ
सरकार	staat	सरकार	staaen	N;NOM;FEM;SG;3	N
दिया	gegeben	दे	geben	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
दिया	gab	दे	geben	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
वर्ष	jahr	वर्ष	Jahr	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
वर्ष	jahres	वर्ष	jahres	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
समय	timing	समय	timing	N;NOM;MASC;SG;3	N;NOM;SG
नाम	name	नाम	Name	N;NOM;MASC;SG;3	N;NOM;SG
वे	sie	वह	sie	PRO;NOM;SG;3	PRO;NOM;FEM;SG;3
प्रकार	art	प्रकार	art	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रकार	art	प्रकार	art	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षेत्र	fläche	क्षेत्र	fläche	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्थित	gelegen	स्थित	liegen	ADJ	ADJ;V.PTCP
आधिकारिक	beamter	आधिकारिक	beamt	ADJ	ADJ
आधिकारिक	offizielles	आधिकारिक	offiziell	ADJ	ADJ;NOM;NEUT;SG
आधिकारिक	offizielle	आधिकारिक	offiziell	ADJ	ADJ;NOM;FEM;PL
आधिकारिक	offizieller	आधिकारिक	offiziell	ADJ	ADJ
आधिकारिक	offiziellen	आधिकारिक	offiziell	ADJ	ADJ
सबसे	meisten	सबसे	meist	ADJ;NOM	ADJ;NOM;INDF;PL
पहले	zuvor	पहले	zuvor	ADV;NOM;MASC;SG;3	ADV
पहले	davor	पहले	davor	ADV;NOM;MASC;SG;3	ADV
पहले	vorher	पहले	vorher	ADV;NOM;MASC;SG;3	ADV
पहले	zuvor	पहले	zuvor	ADV;NOM;MASC;SG;3	ADV
पहले	zuerst	पहले	zuerst	ADV;NOM;MASC;SG;3	ADV
दो	zwei	दो	zwei	NUM	NUM
जिला	landkreis	जिला	landkreis	N;NOM;MASC;SG;3	N
जन्म	geburt	जन्म	geburen	N;NOM;MASC;SG;3	N;SG
लेकिन	aber	लेकिन	aber	CONJ	CONJ
कहा	sagte	कह	sagen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
कहा	meinte	कह	meinen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
कहा	sagt	कह	sagen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
कहा	gesagt	कह	sagen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
लोग	leute	लोग	leute	N;NOM;MASC;PL;3	N;NOM;PL
लोग	menschen	लोग	menschen	N;NOM;MASC;PL;3	N;NOM;PL
लोग	personen	लोग	Person	N;NOM;MASC;PL;3	N;NOM;FEM;PL
प्राचीन	primitiv	प्राचीन	primitiv	ADJ;NOM	ADJ
प्राचीन	primitive	प्राचीन	primitiv	ADJ;NOM	ADJ;NOM;FEM;PL
प्राचीन	primitiven	प्राचीन	primitiv	ADJ;NOM	ADJ
प्राचीन	alte	प्राचीन	alt	ADJ;NOM	ADJ;NOM;FEM;PL
प्राचीन	alten	प्राचीन	alt	ADJ;NOM	ADJ;NOM;MASC;PL
प्राचीन	antike	प्राचीन	antik	ADJ;NOM	ADJ;NOM;FEM;SG
प्राचीन	antiken	प्राचीन	antik	ADJ;NOM	ADJ;NOM
देखें	beobachten	देख	beobachten	V;SBJV;PL;FIN;ACT	V;NFIN
देखें	ansehen	देख	ansehen	V;SBJV;PL;FIN;ACT	V;NFIN
देखें	anschauen	देख	anschauen	V;SBJV;PL;FIN;ACT	V;NFIN
देखें	sehen	देख	sehen	V;SBJV;PL;FIN;ACT	V;NFIN
देखें	ansehen	देख	ansehen	V;SBJV;PL;FIN;ACT	V;NFIN
देखें	anzeigen	देख	anzeigen	V;SBJV;PL;FIN;ACT	V;NFIN
भाषा	sprache	भाषा	sprechen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भाषा	sprache	भाषा	sprechen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्राप्त	erhaltene	प्राप्त	erhalten	ADJ	ADJ;NOM;FEM;PL
प्राप्त	erhalten	प्राप्त	erhalten	ADJ	ADJ;V.PTCP
प्राप्त	erhalten	प्राप्त	erhalten	ADJ	ADJ;V.PTCP
प्रयोग	versuche	प्रयोग	versuchen	N;NOM;MASC;SG;3	N;NOM;SG
प्रयोग	verwendung	प्रयोग	verwendung	N;NOM;MASC;SG;3	N;SG
प्रयोग	nutzung	प्रयोग	nutzung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रयोग	einsatz	प्रयोग	einsatz	N;NOM;MASC;SG;3	N
प्रयोग	benutzung	प्रयोग	Benutzung	N;NOM;MASC;SG;3	N;FEM;SG
शामिल	involviert	शामिल	involvieren	ADJ	ADJ;V.PTCP
शामिल	beteiligt	शामिल	beteiligen	ADJ	ADJ;V.PTCP
शामिल	inbegriffen	शामिल	inbegreifen	ADJ	ADJ
स्थान	ort	स्थान	ort	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्थान	standorte	स्थान	standort	N;NOM;MASC;SG;3	N;NOM
स्थान	ort	स्थान	ort	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्थान	ort	स्थान	ort	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्थान	standorte	स्थान	standort	N;NOM;MASC;SG;3	N;NOM
प्रमुख	chef	प्रमुख	chef	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बीच	mitte	बीच	mitte	ADV;NOM;MASC;SG;3	ADV
गए	gegangen	जा	gehen	V;PFV;MASC;PL;V.PTCP;ACT	V;V.PTCP
गए	verschwunden	जा	verschwinden	V;PFV;MASC;PL;V.PTCP;ACT	V;V.PTCP
गए	gingen	जा	gehen	V;PFV;MASC;PL;V.PTCP;ACT	V;IND;PL;3;PST;FIN
गए	gegangen	जा	gehen	V;PFV;MASC;PL;V.PTCP;ACT	V;V.PTCP
थी	war	था	sein	V;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
कार्य	aufgabenstellung	कार्य	aufgabenstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्य	werk	कार्य	werk	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कार्य	arbeit	कार्य	arbeit	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्य	aufgabe	कार्य	aufgaben	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपयोग	verwendung	उपयोग	verwendung	N;NOM;MASC;SG;3	N;SG
उपयोग	nutzung	उपयोग	nutzung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपयोग	einsatz	उपयोग	einsatz	N;NOM;MASC;SG;3	N
उपयोग	benutzung	उपयोग	Benutzung	N;NOM;MASC;SG;3	N;FEM;SG
उपयोग	verwendung	उपयोग	verwendung	N;NOM;MASC;SG;3	N;SG
उपयोग	nutzung	उपयोग	nutzung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपयोग	verwendung	उपयोग	verwendung	N;NOM;MASC;SG;3	N;SG
काम	werk	काम	werk	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
काम	arbeit	काम	arbeit	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्व	welt	विश्व	welt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भाग	abschnitte	भाग	abschneiden		
निर्माण	schaffung	निर्माण	schaffung	N;NOM;MASC;SG;3	N
निर्माण	konstruktion	निर्माण	konstruktion	N;NOM;MASC;SG;3	N;SG
निर्माण	bau	निर्माण	bau	N;NOM;MASC;SG;3	N;SG
निर्माण	fertigung	निर्माण	Fertigung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्माण	herstellung	निर्माण	herstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गई	gegangen	जा	gehen	V;PFV;FEM;SG;V.PTCP;ACT	V;V.PTCP
गई	ging	जा	gehen	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बार	stäbe	बार	staben	N;NOM;FEM;SG;3	N;NOM
फिल्म	kino	फिल्म	kino	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
प्रसिद्ध	berühmter	प्रसिद्ध	berühmt	ADJ	ADJ
प्रसिद्ध	berühmte	प्रसिद्ध	berühmt	ADJ	ADJ;NOM;PL
प्रसिद्ध	berühmt	प्रसिद्ध	berühmt	ADJ	ADJ
प्रसिद्ध	berühmten	प्रसिद्ध	berühmt	ADJ	ADJ;PL
प्रसिद्ध	berühmt	प्रसिद्ध	berühmt	ADJ	ADJ
विकास	entwicklung	विकास	entwicklung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विकास	zunahme	विकास	zunahme	N;NOM;MASC;SG;3	N;SG
विकास	wachstum	विकास	wachstum	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
वेबसाइट	website	वेबसाइट	websit	N;NOM;FEM;SG;3	N;SG
अलग	getrennte	अलग	getrennt	ADJ	ADJ;NOM;FEM;PL
अलग	verschieden	अलग	verschieden	ADJ	ADJ
अलग	verschiedenen	अलग	verschieden	ADJ	ADJ;NOM;PL
अलग	unterschiedliche	अलग	unterschiedlich	ADJ	ADJ;NOM;FEM;PL
अलग	unterschiedlich	अलग	unterschiedlich	ADJ	ADJ
अलग	verschiedene	अलग	verschieden	ADJ	ADJ;NOM;FEM;PL
अलग	getrennte	अलग	getrennt	ADJ	ADJ;NOM;FEM;PL
विशेष	exklusiver	विशेष	exklusiv	ADJ;NOM	ADJ
विशेष	exklusive	विशेष	exklusive	ADJ;NOM	ADJ;NOM;FEM;PL
विशेष	exklusiven	विशेष	exklusiv	ADJ;NOM	ADJ
विशेष	exklusives	विशेष	exklusives	ADJ;NOM	ADJ;NOM;NEUT;SG
विशेष	exklusiv	विशेष	exklusiv	ADJ;NOM	ADJ
विशेष	besonderes	विशेष	besonder	ADJ;NOM	ADJ;NOM;NEUT;SG
विशेष	spezielle	विशेष	speziell	ADJ;NOM	ADJ;NOM;FEM;PL
विशेष	spezielles	विशेष	speziell	ADJ;NOM	ADJ;NOM;NEUT;SG
विशेष	besondere	विशेष	besonder	ADJ;NOM	ADJ;NOM;FEM;PL
दी	gegeben	दे	geben	V;PFV;FEM;SG;V.PTCP;ACT	V;V.PTCP
दी	gab	दे	geben	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
पृष्ठ	seite	पृष्ठ	seit	N;NOM;MASC;SG;3	N
माना	berücksichtigt	मान	berücksichtigen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
माना	betrachtet	मान	betrachten	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
माना	erwogen	मान	erwägen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
शब्द	wortes	शब्द	wort	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
शब्द	wort	शब्द	wort	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
फिर	dann	फिर	dann	ADV	ADV
फिर	damals	फिर	damals	ADV	ADV
फिर	danach	फिर	danach	ADV	ADV
तीन	drei	तीन	drei	NUM	NUM
पुरस्कार	prämien	पुरस्कार	prämien	N;NOM;MASC;SG;3	N;NOM
पुरस्कार	auszeichnung	पुरस्कार	auszeichnung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुरस्कार	prämien	पुरस्कार	prämien	N;NOM;MASC;SG;3	N;NOM
लेख	satzung	लेख	satzung	N;NOM;MASC;SG;3	N
लेख	these	लेख	these	N;NOM;MASC;SG;3	N;NOM
अलावा	außer	अलावा	außer	ADP	ADP
स्थल	ort	स्थल	ort	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विभिन्न	verschieden	विभिन्न	verschieden	ADJ	ADJ
विभिन्न	verschiedenen	विभिन्न	verschieden	ADJ	ADJ;NOM;PL
विभिन्न	verschiedene	विभिन्न	verschieden	ADJ	ADJ;NOM;FEM;PL
विभिन्न	sonstiges	विभिन्न	sonstig	ADJ	ADJ;NOM;NEUT;SG
विभिन्न	verschiedenes	विभिन्न	verschieden	ADJ	ADJ;NOM;NEUT;SG
विभिन्न	sonstige	विभिन्न	sonstig	ADJ	ADJ;NOM;FEM;PL
विभिन्न	verschiedene	विभिन्न	verschieden	ADJ	ADJ;NOM;FEM;PL
लिया	getroffen	ले	treffen|triefen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
लिया	genommen	ले	nehmen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
लिया	mitgenommen	ले	mitnehmen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
लिया	aufgenommen	ले	aufnehmen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
फ़िल्म	kino	फ़िल्म	kino	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
क्योंकि	weil	क्योंकि	weil	CONJ	CONJ
विस्तृत	detaillierte	विस्तृत	detaillieren	ADJ	ADJ;SG
विस्तृत	ausführliche	विस्तृत	ausführlich	ADJ	ADJ;NOM;FEM;PL
विस्तृत	detailliert	विस्तृत	detaillieren	ADJ	ADJ;V.PTCP
विस्तृत	detaillierter	विस्तृत	detaillierter	ADJ	ADJ
विस्तृत	ausführlich	विस्तृत	ausführlich	ADJ	ADJ
विस्तृत	aufwendig	विस्तृत	aufwendig	ADJ	ADJ
विस्तृत	umfassend	विस्तृत	umfassend	ADJ	ADJ
विस्तृत	erschöpfend	विस्तृत	erschöpfend	ADJ	ADJ
विस्तृत	fortgeschrittene	विस्तृत	fortgeschritten	ADJ	ADJ;NOM;FEM;PL
दिन	tag	दिन	tagen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दिन	tages	दिन	tagen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
व्यक्ति	individuum	व्यक्ति	individuum	N;NOM;MASC;SG;3	N;SG
सदस्य	mitglieder	सदस्य	mitglied	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
सदस्य	mitgliedern	सदस्य	mitgliedern	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
सदस्य	mitglieder	सदस्य	mitglied	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
हालांकि	obwohl	हालांकि	obwohl	CONJ	CONJ
हालांकि	obwohl	हालांकि	obwohl	CONJ	CONJ
संख्या	anzahl	संख्या	anzahl	N;NOM;FEM;SG;3	N;SG
संख्या	zahl	संख्या	zahl	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संख्या	nummern	संख्या	nummern	N;NOM;FEM;SG;3	N
अपना	ihr	अपना	ihr	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
अपना	dein	अपना	dein	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
अपना	deine	अपना	dein	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
बात	vortrag	बात	vortragen	N;NOM;FEM;SG;3	N;SG
बात	gespräch	बात	gespräch	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
शिक्षा	ausbildung	शिक्षा	ausbildung	N;NOM;FEM;SG;3	N;FEM;SG
शिक्षा	erziehung	शिक्षा	erziehung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मूल	herkunft	मूल	herkunft	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बना	mache	बन	machen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
बना	machen	बन	machen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
बना	hergestellt	बन	herstellen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बना	machte	बन	machen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बना	gemacht	बन	machen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बना	geschafft	बन	schaffen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
कोड	kodex	कोड	kodex		
कोड	code	कोड	code		
कोड	codes	कोड	code		
युद्ध	kampf	युद्ध	kampfen	N;NOM;MASC;SG;3	N;SG
युद्ध	schlacht	युद्ध	schlacht	N;NOM;MASC;SG;3	N;NOM;FEM;SG
युद्ध	krieg	युद्ध	kriegen	N;NOM;MASC;SG;3	N
नदी	fluss	नदी	flassen	N;NOM;FEM;SG;3	N;NOM;MASC;SG
काल	aufruf	काल	aufruf	N;NOM;MASC;SG;3	N;SG
काल	anruf	काल	anruf	N;NOM;MASC;SG;3	N
काल	periode	काल	periode	N;NOM;MASC;SG;3	N;SG
स्टेशन	bahnhof	स्टेशन	bahnhof	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बड़े	großen	बडा	groß	ADJ;NOM;MASC;PL	ADJ;PL
बड़े	große	बडा	groß	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
बड़े	groß	बडा	groß	ADJ;NOM;MASC;PL	ADJ
बड़े	großer	बडा	groß	ADJ;NOM;MASC;PL	ADJ
बड़े	großen	बडा	groß	ADJ;NOM;MASC;PL	ADJ;PL
बड़े	große	बडा	groß	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
बड़े	groß	बडा	groß	ADJ;NOM;MASC;PL	ADJ
मध्य	median	मध्य	median		
मध्य	mittelwert	मध्य	mittelwern		
राजा	könig	राजा	könig	N;NOM;MASC;SG;3	N;NOM;SG
प्रथम	erste	प्रथम	erst	ADJ	ADJ;NOM;FEM;PL
प्रथम	erster	प्रथम	erst	ADJ	ADJ;NOM;MASC;SG
प्रथम	ersten	प्रथम	erst	ADJ	ADJ;NOM;PL
विश्वविद्यालय	hochschule	विश्वविद्यालय	hochschule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्वविद्यालय	hochschule	विश्वविद्यालय	hochschule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बन	brötchen	बन	brötchen	V;ACT	V;NFIN
बनी	häschen	बन	häschen	V;PFV;FEM;SG;V.PTCP;ACT	V;NFIN
अर्थ	sinn	अर्थ	sein		
महत्वपूर्ण	wichtig	महत्वपूर्ण	wichtig	ADJ	ADJ
महत्वपूर्ण	wichtige	महत्वपूर्ण	wichtig	ADJ	ADJ;NOM;FEM;PL
महत्वपूर्ण	wichtiges	महत्वपूर्ण	wichtig	ADJ	ADJ;NOM;NEUT;SG
महत्वपूर्ण	wichtiger	महत्वपूर्ण	wichtig	ADJ	ADJ
महत्वपूर्ण	wichtigen	महत्वपूर्ण	wichtig	ADJ	ADJ
महत्वपूर्ण	kritischen	महत्वपूर्ण	kritisch	ADJ	ADJ
महत्वपूर्ण	kritische	महत्वपूर्ण	kritisch	ADJ	ADJ;NOM;FEM;PL
महत्वपूर्ण	kritisch	महत्वपूर्ण	kritisch	ADJ	ADJ
महत्वपूर्ण	kritischer	महत्वपूर्ण	kritisch	ADJ	ADJ
महत्वपूर्ण	kritisches	महत्वपूर्ण	kritisch	ADJ	ADJ;NOM;NEUT;SG
महत्वपूर्ण	bedeutsam	महत्वपूर्ण	bedeutsam	ADJ	ADJ
महत्वपूर्ण	bedeutsamen	महत्वपूर्ण	bedeutsam	ADJ	ADJ
प्रामाणिक	authentischen	प्रामाणिक	authentisch	ADJ;NOM	ADJ
प्रामाणिक	verbindlich	प्रामाणिक	verbindlich	ADJ;NOM	ADJ
प्रामाणिक	authentische	प्रामाणिक	authentisch	ADJ;NOM	ADJ;NOM;FEM;PL
प्रामाणिक	authentisch	प्रामाणिक	authentisch	ADJ;NOM	ADJ
आप	ihr	आप	ihr	PRO;NOM;SG;2;FORM	PRO;NOM;MASC;SG
आप	du	आप	du	PRO;NOM;SG;2;FORM	PRO;NOM;SG;2
समूह	gruppe	समूह	grappe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समूह	gruppierung	समूह	gruppierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समूह	unternehmensgruppe	समूह	unternehmensgruppe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अध्ययन	studium	अध्ययन	studium	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
अध्ययन	studie	अध्ययन	studie	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अध्ययन	studium	अध्ययन	studium	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विभाग	departements	विभाग	departements	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आम	gemeinsamen	आम	gemeinsam	ADJ	ADJ;SG
आम	häufig	आम	häufig	ADJ	ADJ
आम	allgemein	आम	allgemein	ADJ	ADJ
आम	gemeinsames	आम	gemeinsam	ADJ	ADJ;NOM;NEUT;SG
आम	gemeinsame	आम	gemeinsam	ADJ	ADJ;NOM;FEM;PL
स्थिति	status	स्थिति	status	N;NOM;FEM;SG;3	N
स्थिति	staat	स्थिति	staaen	N;NOM;FEM;SG;3	N
प्रभाव	auswirkung	प्रभाव	auswirkung	N;NOM;MASC;SG;3	N;SG
प्रभाव	wirkung	प्रभाव	wirkung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रभाव	wirkung	प्रभाव	wirkung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रभाव	effekt	प्रभाव	effekt	N;NOM;MASC;SG;3	N
प्रभाव	einfluß	प्रभाव	einfluß	N;NOM;MASC;SG;3	N
प्रभाव	auswirkung	प्रभाव	auswirkung	N;NOM;MASC;SG;3	N;SG
प्रभाव	wirkung	प्रभाव	wirkung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रभाव	effekt	प्रभाव	effekt	N;NOM;MASC;SG;3	N
साल	jahr	साल	Jahr	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
साल	jahres	साल	jahres	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
पहली	erster	पहला	erst	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
संगीत	musik	संगीत	musik	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सेवा	dienstleistung	सेवा	dienstleistung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बनाने	erstellen	बना	erstellen	V;MASC;NFIN;ACT	V;NFIN
बनाने	erschaffen	बना	erschaffen	V;MASC;NFIN;ACT	V;V.PTCP
बनाने	schaffen	बना	schaffen	V;MASC;NFIN;ACT	V;NFIN
बनाने	erzeugen	बना	erzeugen	V;MASC;NFIN;ACT	V;NFIN
बनाने	machen	बना	machen	V;MASC;NFIN;ACT	V;NFIN
देता	gibt	दे	geben	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
देता	schenkt	दे	schenken	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
देता	verleiht	दे	verleihen	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
उपलब्ध	vorhanden	उपलब्ध	vorhanden	ADJ	ADJ
उपलब्ध	verfügbare	उपलब्ध	verfügbar	ADJ	ADJ;NOM;FEM;PL
उपलब्ध	verfügbar	उपलब्ध	verfügbar	ADJ	ADJ
उपलब्ध	erhältlich	उपलब्ध	erhältlich	ADJ	ADJ
बड़ी	groß	बडा	groß	ADJ;NOM;FEM;SG	ADJ
बड़ी	großer	बडा	groß	ADJ;NOM;FEM;SG	ADJ
बड़ी	groß	बडा	groß	ADJ;NOM;FEM;SG	ADJ
बड़ी	großes	बडा	groß	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
चार	vier	चार	vier	NUM	NUM
उदाहरण	darstellung	उदाहरण	darstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ले	nehmen	ले	nehmen	V;ACT	V;NFIN
ले	übernehmen	ले	übernehmen	V;ACT	V;NFIN
ले	nimm	ले	nehmen	V;ACT	V;IND;SG;2;PRS;FIN
ले	nehme	ले	nehmen	V;ACT	V;IND;SG;3;PRS;FIN
स्थापना	einbau	स्थापना	einbau	N;NOM;FEM;SG;3	N;SG
स्थापना	installation	स्थापना	installation	N;NOM;FEM;SG;3	N;SG
स्थापना	anlage	स्थापना	anlage	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थापना	installation	स्थापना	installation	N;NOM;FEM;SG;3	N;SG
कंपनी	firma	कंपनी	firma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बड़ा	groß	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ
बड़ा	großer	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ
बड़ा	groß	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ
बड़ा	großes	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
बड़ा	toll	बड़ा	toll	ADJ;NOM;MASC;SG	ADJ
बड़ा	großartig	बड़ा	großartig	ADJ;NOM;MASC;SG	ADJ
बड़ा	groß	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ
बड़ा	größer	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ
बड़ा	größer	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ
