que	你	que	你	PRO	PRO;2
pai	父	pai	父	N	N
ese	那	ese	那	DET	DET
ese	這	ese	這	DET	DET
esa	那	ese	那	DET	DET
esa	這	ese	這	DET	DET
verdade	右	verdade	右	N	N
verdade	真理	verdade	真理	N	N
verdade	事實	verdade	事實	N	N
verdade	真相	verdade	真相	N	N
entón	然後	entón	然後	ADV	ADV
entón	那麼	entón	那麼	ADV	ADV
despois	後	despois	後	ADV	ADV
despois	然後	despois	然後	ADV	ADV
despois	那麼	despois	那麼	ADV	ADV
imos	讓	ir	讓	V	V;CAUS
falar	聊	falar	聊	V	V
cada	每個	cada	每個	DET	DET
cada	每	cada	每	DET	DET
cada	每個	cada	每個	DET	DET
eles	她們	el	她	PRO	PRO;PL;3
eles	他們	el	他	PRO	PRO;PL;3
eles	它們	el	它	PRO	PRO;PL;3
logo	然後	logo	然後	ADV	ADV
logo	那麼	logo	那麼	ADV	ADV
logo	後	logo	後	ADV	ADV
nai	母后	nai	母后	N	N
nai	母親	nai	母親	N	N
dixo	說	dicir	說	V	V
fillo	兒子	fillo	兒子	N	N
fillo	兒童	fillo	兒童	N	N
fillo	孩子	fillo	孩子	N	N
alguén	誰	alguén	誰	PRO	PRO
ata	直到	ata	直到	ADP	ADP
outro	其他	outro	其他	DET	DET
muller	女人	muller	女人	N	N
muller	女	muller	女	N	N
muller	女子	muller	女子	N	N
muller	妻子	muller	妻子	N	N
homes	男性	home	男性	N	N
homes	男人	home	男人	N	N
homes	男子	home	男子	N	N
cara	臉	cara	臉	N	N
cara	臉部	cara	臉部	N	N
novo	新	novo	新	ADJ	ADJ
novo	年輕	novo	年輕	ADJ	ADJ
todas	全部	todo	全部	DET	DET
todas	所有	todo	所有	DET	DET
todas	每個	todo	每個	DET	DET
todas	每	todo	每	DET	DET
di	說	dicir	說	V	V
lugar	地方	lugar	地方	N	N
lugar	地點	lugar	地點	N	N
días	白天	día	白天	N	N
días	日子	día	日子	N	N
días	天數	día	天數	N	N
días	早晨	día	早晨	N	N
días	早上	día	早上	N	N
días	上午	día	上午	N	N
dende	從	dende	從	ADP	ADP
guerra	戰	guerra	戰	N	N
guerra	戰爭	guerra	戰爭	N	N
veces	時代	vez	時代	N	N
veces	時報	vez	時報	N	N
deus	神	daus	神	N	N
boa	很好	bo	很好	ADJ	ADJ
toda	全部	todo	全部	DET	DET
toda	所有	todo	所有	DET	DET
tarde	下午	tarde	下午	N	N
tarde	午	tarde	午	N	N
tarde	晚間	tarde	晚間	N	N
tarde	晚上	tarde	晚上	N	N
tarde	傍晚	tarde	傍晚	N	N
tarde	後來	tarde	後來	N	N
tarde	稍後	tarde	稍後	N	N
tarde	以後	tarde	以後	N	N
tarde	晚	tarde	晚	N	N
vas	將	ir	將	V	V;CAUS
momento	時光	momento	時光	N	N
momento	時間	momento	時間	N	N
momento	時刻	momento	時刻	N	N
momento	分鐘	momento	分鐘	N	N
persoas	人	persoa	人	N	N
persoas	人們	persoa	人	N	N;PL
persoas	人民	persoa	人民	N	N
calquera	任何	calquera	任何	DET	DET
calquera	任何	calquera	任何	DET	DET
outros	其他	outro	其他	DET	DET
outros	其他	outro	其他	DET	DET
nome	名字	nome	名字	N	N
nome	名稱	nome	名稱	N	N
nome	姓名	nome	姓名	N	N
parece	看	parecer	看	V	V
parece	喜歡	parecer	喜歡	V	V
quería	通緝	querer	通緝	V	V
estes	這些	este	這些	DET	DET
estes	這	este	這	DET	DET
estes	那些	este	那些	DET	DET
será	將	ser	將	V	V;CAUS
señora	太太	señor	太太	N	N
feito	實際	feito	實際	N	N
vamos	讓	varo	讓	V	V;CAUS
tipo	善良	tipo	善良	N	N
tipo	型態	tipo	型態	N	N
tipo	類型	tipo	類型	N	N
cartos	金錢	carto	金錢	N	N
cartos	錢	carto	錢	N	N
mira	見	miro	見	V	V
historia	動態	historia	動態	N	N
historia	故事	historia	故事	N	N
historia	歷史	historia	歷史	N	N
cidade	城市	cidade	城市	N	N
cidade	市	cidade	市	N	N
cidade	城	cidade	城	N	N
cidade	城鎮	cidade	城鎮	N	N
cidade	鎮	cidade	鎮	N	N
lles	她們	lle	她	PRO	PRO;PL;3
lles	他們	lle	他	PRO	PRO;PL;3
lles	它們	lle	它	PRO	PRO;PL;3
daquela	然後	daquela	然後	ADV	ADV
daquela	那麼	daquela	那麼	ADV	ADV
mulleres	婦女	muller	婦女	N	N
mulleres	女性	muller	女性	N	N
uns	每個	un	每個	DET	DET
estas	這些	este	這些	DET	DET
estas	那些	este	那些	DET	DET
estas	這	este	這	DET	DET
gran	偉大	gran	偉大	ADJ	ADJ
até	甚至	até	甚至	ADV	ADV
tal	那	tal	那	DET	DET
ano	年度	ano	年度	N	N
ano	年份	ano	年份	N	N
ano	年	ano	年	N	N
seguro	安全	seguro	安全	N	N
auga	水	auga	水	N	N
problema	問題	problema	問題	N	N
problema	麻煩	problema	麻煩	N	N
vin	見	ver	見	V	V
medo	恐懼	medo	恐懼	N	N
amor	戀愛	amor	戀愛	N	N
amor	愛情	amor	愛情	N	N
dixen	說	dixir	說	V	V
grande	偉大	grande	偉大	ADJ	ADJ
nova	年輕	novo	年輕	ADJ	ADJ
nova	新	novo	新	ADJ	ADJ
ven	見	ver	見	V	V
eh	嘿	eh	嘿		
familia	家人	familia	家人	N	N
familia	家屬	familia	家屬	N	N
familia	家庭	familia	家庭	N	N
man	手	man	手	N	N
nenos	兒童	neno	兒童	N	N
nenos	小孩	neno	小孩	N	N
forma	形式	forma	形式	N	N
forma	表格	forma	表格	N	N
forma	形狀	forma	形狀	N	N
morte	死神	morte	死神	N	N
cabeza	頭	cabeza	頭	N	N
cabeza	頭部	cabeza	頭部	N	N
van	將	ir	將	V	V;CAUS
fixo	完成	facer	完成	V	V
país	國家	país	國家	N	N
vós	你	vós	你	PRO	PRO;2
razón	理由	razón	理由	N	N
razón	理性	razón	理性	N	N
razón	原因	razón	原因	N	N
razón	右	razón	右	N	N
ollos	眼神	ollo	眼神	N	N
ollos	眼睛	ollo	眼睛	N	N
ollos	眼	ollo	眼	N	N
ningún	任何	ningún	任何	DET	DET
eses	這些	ese	這些	DET	DET
eses	那	ese	那	DET	DET
eses	那些	ese	那些	DET	DET
desde	從	desde	從	ADP	ADP
fillos	小孩	fillo	小孩	N	N
fillos	兒童	fillo	兒童	N	N
irmán	弟弟	irmán	弟弟	N	N
irmán	師兄	irmán	師兄	N	N
irmán	哥哥	irmán	哥哥	N	N
irmán	兄弟	irmán	兄弟	N	N
vos	你	vos	你	PRO	PRO;2
importante	重要	importante	重要	ADJ	ADJ
case	幾乎	case	幾乎	ADV	ADV
acordo	右	acordo	右	N	N
pasar	花費	pasar	花費	V	V
fin	終	fin	終	N	N
fin	結尾	fin	結尾	N	N
fin	週末	fin	週末	N	N
fin	上次	fin	上次	N	N
fin	最後	fin	最後	N	N
amigo	朋友	amigo	朋友	N	N
amigo	好友	amigo	好友	N	N
policía	警方	policía	警方	N	N
policía	警務	policía	警務	N	N
policía	警察	policía	警察	N	N
amigos	朋友	amigo	朋友	N	N
amigos	好友	amigo	好友	N	N
terra	陸地	terra	陸地	N	N
terra	土地	terra	土地	N	N
terra	大地	terra	大地	N	N
terra	地面	terra	地面	N	N
problemas	麻煩	problema	麻煩	N	N
algunha	任何	algún	任何	DET	DET
algún	任何	algún	任何	DET	DET
rapaz	男孩	rapaz	男孩	N	N
rapaz	人	rapaz	人	N	N
rapaz	男人	rapaz	男人	N	N
vén	來	vir	來	V	V
hora	時辰	hora	時辰	N	N
hora	小時	hora	小時	N	N
hora	時光	hora	時光	N	N
hora	時間	hora	時間	N	N
lado	側	lado	側	N	N
caso	案例	caso	案例	N	N
caso	個案	caso	個案	N	N
caso	案件	caso	案件	N	N
volver	獲取	volver	獲取	V	V
volver	獲得	volver	獲得	V	V
volver	得到	volver	得到	V	V
volver	返回	volver	返回	V	V
volver	回歸	volver	回歸	V	V
mamá	母后	mamá	母后	N	N
mamá	母親	mamá	母親	N	N
clase	階級	clase	階級	N	N
clase	類	clase	類	N	N
clase	類別	clase	類別	N	N
clase	課堂	clase	課堂	N	N
clase	班級	clase	班級	N	N
clase	善良	clase	善良	N	N
mans	手	man	手	N	N
mans	手	man	手	N	N
volta	周圍	volta	周圍	N	N
coche	車	coche	車	N	N
coche	汽車	coche	汽車	N	N
demasiado	太	demasiado	太	ADV	ADV
pobo	人	pobo	人	N	N
pobo	人們	pobo	人	N	N;PL
pobo	人民	pobo	人民	N	N
pobo	城鎮	pobo	城鎮	N	N
pobo	鎮	pobo	鎮	N	N
pobo	村	pobo	村	N	N
pobo	鄉村	pobo	鄉村	N	N
pobo	村	pobo	村	N	N
pobo	村落	pobo	村落	N	N
pobo	村子	pobo	村子	N	N
vivir	直播	vivir	直播	V	V
vivir	生活	vivir	生活	V	V
medio	中間	medio	中間	N	N
medio	半數	medio	半數	N	N
medio	環境	medio	環境	N	N
camiño	公路	camiño	公路	N	N
camiño	道路	camiño	道路	N	N
camiño	路	camiño	路	N	N
camiño	路徑	camiño	路徑	N	N
esas	這些	ese	這些	DET	DET
esas	那些	ese	那些	DET	DET
esas	那	ese	那	DET	DET
vexo	見	vexo	見	V	V
fixen	完成	facer	完成	V	V
suposto	課程	suposto	課程	N	N
neno	兒童	neno	兒童	N	N
neno	孩子	neno	孩子	N	N
neno	男孩	neno	男孩	N	N
neno	小孩	neno	小孩	N	N
morrer	死亡	morrer	死亡	V	V
morrer	垂死	morrer	垂死	V	V
saír	出局	saír	出局	V	V
saír	獲取	saír	獲取	V	V
saír	獲得	saír	獲得	V	V
saír	得到	saír	得到	V	V
realidade	實際	realidade	實際	N	N
realidade	現實	realidade	現實	N	N
meses	月	mes	月	N	N
meses	月份	mes	月份	N	N
ningunha	任何	ningún	任何	DET	DET
axiña	很快	axiña	很快	ADV	ADV
vello	老了	vello	老了	N	N
vello	人	vello	人	N	N
vello	男人	vello	男人	N	N
filla	女兒	fillo	女兒	N	N
deixa	休假	deixar	休假	V	V
deixa	離開	deixar	離開	V	V
deixa	讓	deixar	讓	V	V;CAUS
deixa	停止	deixar	停止	V	V
exército	集團	exército	集團	N	N
exército	軍隊	exército	軍隊	N	N
exército	軍	exército	軍	N	N
exército	陸軍	exército	陸軍	N	N
animais	動物	animal	動物	N	N
animais	動物	animal	動物	N	N
corazón	心	corazón	心	N	N
corazón	心臟	corazón	心臟	N	N
chegar	獲取	chegar	獲取	V	V
chegar	獲得	chegar	獲得	V	V
chegar	得到	chegar	得到	V	V
único	獨特	único	獨特	ADJ	ADJ
único	獨一	único	獨一	ADJ	ADJ
gusta	喜歡	gusto	喜歡	V	V
semana	星期	semanar	星期	N	N
semana	週	semanar	週	N	N
semana	週末	semanar	週末	N	N
matar	被	matar	被	V	V;PASS
matar	殺	matar	殺	V	V
matar	殺害	matar	殺害	V	V
outras	其他	outro	其他	DET	DET
outras	其他	outro	其他	DET	DET
comer	吃	comer	吃	V	V
comer	吃	comer	吃	V	V
comer	吃	comer	吃	V	V
comer	飲食	comer	飲食	V	V
comer	進食	comer	進食	V	V
deixar	休假	deixar	休假	V	V
deixar	離開	deixar	離開	V	V
deixar	停止	deixar	停止	V	V
deixar	讓	deixar	讓	V	V;CAUS
cres	你	cres	你	PRO	PRO;2
sangue	血液	sangue	血液	N	N
sangue	血	sangue	血	N	N
sangue	血跡	sangue	血跡	N	N
sangue	鮮血	sangue	鮮血	N	N
igual	只	igual	只	ADV	ADV
igual	就	igual	就	ADV	ADV
rúa	街頭	rúa	街頭	N	N
rúa	街道	rúa	街道	N	N
rúa	街	rúa	街	N	N
corpo	屍體	corpo	屍體	N	N
corpo	體	corpo	體	N	N
corpo	身體	corpo	身體	N	N
estado	國家	estado	國家	N	N
estado	州	estado	州	N	N
sistema	系統	sistema	系統	N	N
porta	門	porta	門	N	N
levar	帶	levar	帶	V	V
levar	攜	levar	攜	V	V
maior	最多	maior	最多	ADJ	ADJ
maior	多數	maior	多數	ADJ	ADJ
quizais	或	quizais	或	ADV	ADV
quizais	也	quizais	也	ADV	ADV
quizais	或	quizais	或	ADV	ADV
grandes	偉大	grande	偉大	ADJ	ADJ
feliz	開心	feliz	開心	N	N
feliz	快樂	feliz	快樂	N	N
feliz	幸福	feliz	幸福	N	N
sorte	運氣	sorte	運氣	N	N
sorte	幸運	sorte	幸運	N	N
filme	電影	filme	電影	N	N
filme	影片	filme	影片	N	N
filme	電影	filme	電影	N	N
filme	膠片	filme	膠片	N	N
filme	影片	filme	影片	N	N
filme	照片	filme	照片	N	N
filme	圖片	filme	圖片	N	N
forte	強壯	forte	強壯	ADJ	ADJ
forte	強烈	forte	強烈	ADJ	ADJ
forte	堅強	forte	堅強	ADJ	ADJ
serio	認真	serio	認真	N	N
serio	認真	serio	認真	N	N
irmá	妹妹	irmán	妹妹	N	N
irmá	姐姐	irmán	姐姐	N	N
irmá	姐妹	irmán	姐妹	N	N
irmá	姊妹	irmán	姊妹	N	N
irmá	姊姊	irmán	姊姊	N	N
queda	留	quedar	留	V	V
queda	留下	quedar	留下	V	V
queda	留下	quedar	留下	V	V
campo	難民	campo	難民	N	N
campo	營	campo	營	N	N
campo	營地	campo	營地	N	N
campo	欄位	campo	欄位	N	N
campo	國家	campo	國家	N	N
campo	鄉村	campo	鄉村	N	N
campo	鄉下	campo	鄉下	N	N
campo	鄉間	campo	鄉間	N	N
campo	農村	campo	農村	N	N
horas	小時	hora	小時	N	N
demais	其他	demais	其他	DET	DET
demais	其他	demais	其他	DET	DET
paz	和平	paz	和平	N	N
rapaza	女生	rapaza	女生	N	N
rapaza	姑娘	rapaza	姑娘	N	N
rapaza	女孩	rapaza	女孩	N	N
palabra	詞	palabra	詞	N	N
palabra	單詞	palabra	單詞	N	N
palabra	字	palabra	字	N	N
palabra	單字	palabra	單字	N	N
ves	見	ver	見	V	V
mozo	人	mozo	人	N	N
mozo	男人	mozo	男人	N	N
mozo	男孩	mozo	男孩	N	N
mozo	小孩	mozo	小孩	N	N
mozo	男	mozo	男	N	N
mozo	男友	mozo	男友	N	N
xefe	老大	xefar	老大	N	N
xefe	老闆	xefar	老闆	N	N
xefe	首席	xefar	首席	N	N
xefe	科長	xefar	科長	N	N
xefe	先生	xefar	先生	N	N
goberno	政府	goberno	政府	N	N
marchar	休假	marchar	休假	V	V
marchar	離開	marchar	離開	V	V
comida	糧食	comida	糧食	N	N
comida	食品	comida	食品	N	N
comida	食物	comida	食物	N	N
risas	笑聲	risa	笑聲	N	N
risas	大笑	risa	大笑	N	N
música	音樂	música	音樂	N	N
futuro	今後	futuro	今後	N	N
futuro	將來	futuro	將來	N	N
futuro	未來	futuro	未來	N	N
20	二十	20	二十	NUM	NUM
minutos	分鐘	minuto	分鐘	N	N
axuda	援助	axuda	援助	N	N
final	決賽	final	決賽	N	N
final	終	final	終	N	N
final	結尾	final	結尾	N	N
morto	死	morto	死	N	N
número	數字	número	數字	N	N
número	數	número	數	N	N
número	號碼	número	號碼	N	N
número	編號	número	編號	N	N
diñeiro	金錢	diñeiro	金錢	N	N
diñeiro	錢	diñeiro	錢	N	N
escola	學校	escola	學校	N	N
din	說	din	說	V	V
fala	聊	falar	聊	V	V
atopar	找到	atopar	找到	V	V
atopar	尋找	atopar	尋找	V	V
xusto	只	xusto	只	ADV	ADV
voso	你	voso	你	PRO	PRO;2
tío	舅舅	tío	舅舅	N	N
tío	伯父	tío	伯父	N	N
tío	叔叔	tío	叔叔	N	N
tío	人	tío	人	N	N
tío	男人	tío	男人	N	N
moza	女生	mozo	女生	N	N
moza	姑娘	mozo	姑娘	N	N
moza	女孩	mozo	女孩	N	N
moza	女友	mozo	女友	N	N
moza	女	mozo	女	N	N
10	十	10	十	NUM	NUM
10	十	10	十	NUM	NUM
luz	光線	luz	光線	N	N
luz	光	luz	光	N	N
luz	燈光	luz	燈光	N	N
luz	光明	luz	光明	N	N
norte	北方	norte	北方	N	N
norte	北	norte	北	N	N
norte	北部	norte	北部	N	N
norte	北方	norte	北方	N	N
norte	北部	norte	北部	N	N
pregunta	問題	pregunta	問題	N	N
tolo	瘋狂	tolo	瘋狂	N	N
sinto	感受	sinto	感受	V	V
sitio	地方	sitio	地方	N	N
sitio	地點	sitio	地點	N	N
sitio	某處	sitio	某處	N	N
sitio	房間	sitio	房間	N	N
sitio	房	sitio	房	N	N
pais	父母	pai	父母	N	N
pais	父母	pai	父母	N	N
pais	家長	pai	家長	N	N
dereito	右	dereito	右	N	N
dereito	權利	dereito	權利	N	N
dis	說	dis	說	V	V
preto	更	preto	更	ADV	ADV
punto	角	punto	角	N	N
punto	點	punto	點	N	N
exemplo	範例	exemplo	範例	N	N
garda	衛兵	garda	衛兵	N	N
garda	警衛	garda	警衛	N	N
garda	守護	garda	守護	N	N
garda	夜晚	garda	夜晚	N	N
garda	晚上	garda	晚上	N	N
garda	夜	garda	夜	N	N
cadra	或	cadra	或	ADV	ADV
cadra	也	cadra	也	ADV	ADV
cadra	或	cadra	或	ADV	ADV
liberdade	自由	liberdade	自由	N	N
liberdade	自由	liberdade	自由	N	N
tomar	喝	tomar	喝	V	V
tomar	喝酒	tomar	喝酒	V	V
nena	兒童	nena	兒童	N	N
nena	孩子	nena	孩子	N	N
nena	女生	nena	女生	N	N
nena	姑娘	nena	姑娘	N	N
nena	女孩	nena	女孩	N	N
nena	小孩	nena	小孩	N	N
nena	嬰兒	nena	嬰兒	N	N
nena	寶貝	nena	寶貝	N	N
nena	寶寶	nena	寶寶	N	N
gustaríame	喜歡	gustaríame	喜歡	V	V
gustaríame	祝願	gustaríame	祝願	V	V
aplausos	掌聲	aplauso	掌聲	N	N
aplausos	鼓掌	aplauso	鼓掌	N	N
chegou	抵達	chegar	抵達	V	V
chegou	到	chegar	到	V	V
coidado	護理	coidado	護理	N	N
coidado	關心	coidado	關心	N	N
coidado	手錶	coidado	手錶	N	N
carta	信	carta	信	N	N
carta	字母	carta	字母	N	N
carta	信函	carta	信函	N	N
carta	信件	carta	信件	N	N
palabras	詞語	palabra	詞語	N	N
palabras	字	palabra	字	N	N
palabras	詞	palabra	詞	N	N
alto	高大	alto	高大	ADJ	ADJ
espero	希望	espero	希望	V	V
rapaces	小孩	rapaz	小孩	N	N
rapaces	男生	rapaz	男生	N	N
rapaces	男孩	rapaz	男孩	N	N
rapaces	兒童	rapaz	兒童	N	N
pé	常備	pé	常備	N	N
pé	站	pé	站	N	N
pé	腳	pé	腳	N	N
pé	英尺	pé	英尺	N	N
pé	英尺	pé	英尺	N	N
pé	腳	pé	腳	N	N
escoita	聽著	escoita	聽著	V	V
cama	床	cama	床	N	N
cama	床上	cama	床上	N	N
déixame	讓	déixame	讓	V	V;CAUS
déixame	休假	déixame	休假	V	V
déixame	離開	déixame	離開	V	V
novas	新	novo	新	ADJ	ADJ
seguir	跟	seguir	跟	V	V
seguir	留	seguir	留	V	V
seguir	留下	seguir	留下	V	V
seguir	留下	seguir	留下	V	V
cerebro	腦子	cerebro	腦子	N	N
cerebro	大腦	cerebro	大腦	N	N
cerebro	腦	cerebro	腦	N	N
cerebro	腦	cerebro	腦	N	N
cerebro	腦子	cerebro	腦子	N	N
cerebro	頭腦	cerebro	頭腦	N	N
cerebro	腦	cerebro	腦	N	N
cerebro	大腦	cerebro	大腦	N	N
cerebro	腦	cerebro	腦	N	N
bos	早晨	bo	早晨	N	N
bos	早上	bo	早上	N	N
bos	上午	bo	上午	N	N
durmir	睡	durmir	睡	V	V
durmir	睡覺	durmir	睡覺	V	V
durmir	睡	durmir	睡	V	V
durmir	睡覺	durmir	睡覺	V	V
orde	秩序	orde	秩序	N	N
orde	順序	orde	順序	N	N
digo	說	dicir	說	V	V
fixeches	完成	fixeche	完成	V	V
chama	致電	chamar	致電	V	V
chama	打電	chamar	打電	V	V
chama	呼叫	chamar	呼叫	V	V
sol	太陽	sol	太陽	N	N
sol	陽光	sol	陽光	N	N
real	真實	real	真實	ADJ	ADJ
forza	武力	forza	武力	N	N
forza	力氣	forza	力氣	N	N
forza	強度	forza	強度	N	N
forza	實力	forza	實力	N	N
forza	力量	forza	力量	N	N
forza	體力	forza	體力	N	N
5	五	5	五	NUM	NUM
5	五	5	五	NUM	NUM
sequera	甚至	sequera	甚至	ADV	ADV
mozos	男生	mozo	男生	N	N
mozos	男孩	mozo	男孩	N	N
mozos	青年	mozo	青年	N	N
mozos	青春	mozo	青春	N	N
mozos	青少	mozo	青少	N	N
mozos	人	mozo	人	N	N
mozos	人們	mozo	人	N	N;PL
mozos	人民	mozo	人民	N	N
mozos	小孩	mozo	小孩	N	N
entendo	獲取	enter	獲取	V	V
entendo	獲得	enter	獲得	V	V
entendo	得到	enter	得到	V	V
entendo	見	enter	見	V	V
culpa	斷層	culpa	斷層	N	N
culpa	罪惡	culpa	罪惡	N	N
culpa	內疚	culpa	內疚	N	N
sentido	感	sentido	感	N	N
sentido	含義	sentido	含義	N	N
sentido	角	sentido	角	N	N
sentido	點	sentido	點	N	N
50	五十	50	五十	NUM	NUM
situación	情況	situación	情況	N	N
3	三	3	三	NUM	NUM
3	三	3	三	NUM	NUM
comuna	公社	comunar	公社	N	N
2	兩	2	兩	NUM	NUM
2	兩	2	兩	NUM	NUM
2	二	2	二	NUM	NUM
axudar	幫助	axudar	幫助	V	V
axudar	幫忙	axudar	幫忙	V	V
fronte	前面	fronte	前面	N	N
fronte	陣線	fronte	陣線	N	N
grupo	群組	grupo	群組	N	N
grupo	群	grupo	群	N	N
grupo	樂團	grupo	樂團	N	N
grupo	樂隊	grupo	樂隊	N	N
sur	南部	sur	南部	N	N
sur	南	sur	南	N	N
sur	南部	sur	南部	N	N
colle	獲取	coller	獲取	V	V
colle	獲得	coller	獲得	V	V
colle	得到	coller	得到	V	V
lume	消防	lume	消防	N	N
lume	火	lume	火	N	N
lume	火災	lume	火災	N	N
lume	光線	lume	光線	N	N
lume	光	lume	光	N	N
lume	燈光	lume	燈光	N	N
lume	光明	lume	光明	N	N
perder	輸	perder	輸	V	V
perder	失	perder	失	V	V
perder	輸	perder	輸	V	V
perder	輸	perder	輸	V	V
perder	遺失	perder	遺失	V	V
perder	迷失	perder	迷失	V	V
perder	廢	perder	廢	V	V
perder	浪費	perder	浪費	V	V
fixeron	完成	facer	完成	V	V
xogo	彈	xogo	彈	N	N
xogo	比賽	xogo	比賽	N	N
xogo	遊戲	xogo	遊戲	N	N
xogar	玩	xogar	玩	V	V
xogar	播放	xogar	播放	V	V
xogar	玩	xogar	玩	V	V
xogar	播放	xogar	播放	V	V
xogar	博弈	xogar	博弈	V	V
velo	見	velar	見	V	V
simplemente	只	simple	只	ADV	ADV
ha	將	haber	將	V	V;CAUS
detrás	後	detrás	後	ADV	ADV
mes	月	mes	月	N	N
mes	個	mes	個	N	N
mes	月份	mes	月份	N	N
partes	部件	parte	部件	N	N
buscar	尋找	buscar	尋找	V	V
buscar	獲取	buscar	獲取	V	V
buscar	獲得	buscar	獲得	V	V
buscar	得到	buscar	得到	V	V
buscar	找到	buscar	找到	V	V
buscar	尋找	buscar	尋找	V	V
fame	飢餓	fame	飢餓	N	N
fame	飢餓	fame	飢餓	N	N
noites	夜晚	noite	夜晚	N	N
noites	夜	noite	夜	N	N
noites	夜晚	noite	夜晚	N	N
noites	晚上	noite	晚上	N	N
noites	夜	noite	夜	N	N
noites	晚間	noite	晚間	N	N
noites	晚上	noite	晚上	N	N
noites	傍晚	noite	傍晚	N	N
soño	夢	soño	夢	N	N
soño	夢境	soño	夢境	N	N
soño	夢想	soño	夢想	N	N
ve	見	ver	見	V	V
quedar	留	quedar	留	V	V
quedar	留下	quedar	留下	V	V
quedar	留下	quedar	留下	V	V
boca	嘴	boca	嘴	N	N
boca	口	boca	口	N	N
boca	嘴	boca	嘴	N	N
boca	口腔	boca	口腔	N	N
falta	需求	falta	需求	N	N
negro	黑	negro	黑	N	N
negro	黑色	negro	黑色	N	N
negro	黑人	negro	黑人	N	N
sociedade	社會	sociedade	社會	N	N
mar	大海	mar	大海	N	N
mar	海上	mar	海上	N	N
mar	海	mar	海	N	N
mar	大洋	mar	大洋	N	N
mar	洋	mar	洋	N	N
mar	海洋	mar	海洋	N	N
mar	海	mar	海	N	N
entrar	獲取	entrar	獲取	V	V
entrar	獲得	entrar	獲得	V	V
entrar	得到	entrar	得到	V	V
entrar	輸入	entrar	輸入	V	V
entrar	讓	entrar	讓	V	V;CAUS
aprender	學習	aprender	學習	V	V
aprender	學習	aprender	學習	V	V
teléfono	電話	teléfono	電話	N	N
teléfono	手機	teléfono	手機	N	N
teléfono	電話	teléfono	電話	N	N
cantos	老了	canto	老了	N	N
