村	마을	村	마을	N	N
內容	콘텐츠	內容	콘텐츠	N	N
內容	컨텐츠	內容	컨텐츠	N	N
內容	내용	內容	내용	N	N
航空	항공	航空	항공	N	N
航空	항공	航空	항공	N	N
航空	항공사	航空	항공사	N	N
航空	항공	航空	항공	N	N
航空	항공사	航空	항공사	N	N
航空	항공	航空	항공	N	N
航空	공기	航空	공기	N	N
數	숫자	數	숫자	N	N
數	번호	數	번호	N	N
出版	출판됨	出版	출판+되+ㄴ	V	V
成功	성공적	成功	성공+적	N	N
成功	성공	成功	성공	N	N
成功	성공적	成功	성공+적	N	N
成功	성공	成功	성공	N	N
面積	구역	面積	구역	N	N
面積	영역	面積	영역	N	N
面積	지역	面積	지역	N	N
系統	체계	系統	체계	N	N
系統	시스템	系統	시스템	N	N
系統	체계	系統	체계	N	N
系統	시스템	系統	시스템	N	N
冠軍	챔피언	冠軍	챔피언	N	N
冠軍	챔피언	冠軍	챔피언	N	N
冠軍	챔피언	冠軍	챔피언	N	N
問題	문제	問題	문제	N	N
問題	질문	問題	질문	N	N
問題	질문	問題	질문	N	N
方式	수단	方式	수단	N	N
方式	메서드	方式	메서드	N	N
方式	방법	方式	방법	N	N
方式	메소드	方式	메소드	N	N
率	평가	率	평가	N	N
率	비율	率	비율	N	N
名稱	이름	名稱	이름	N	N
名稱	이름	名稱	이름	N	N
得到	받기	得到	받+기	V	V
平	플랫	平	플랫		
街道	거리가	街道	거리+가	N	N
街道	거리	街道	거리	N	N
街道	거리	街道	거리	N	N
刪除	삭제됨	刪除	삭제되+ㄴ	V	V
刪除	삭제함	刪除	삭제+하+ㅁ	V	V
刪除	삭제되었습니다	刪除	삭제+되+었+습니다	V	V
刪除	지우기	刪除	지우+기	V	V
刪除	삭제하기	刪除	삭제+하+기	V	V
刪除	지우기	刪除	지우+기	V	V
刪除	삭제하기	刪除	삭제+하+기	V	V
群	집단	群	집단	N	N
機	머신	機	머신	N	N
機	기계	機	기계	N	N
列表	리스트	列表	리스트		
已經	이미	已經	이미	ADV	ADV
已經	벌써	已經	벌써	ADV	ADV
專輯	앨범	專輯	앨범	N	N
專輯	음반	專輯	음반	N	N
專輯	앨범	專輯	앨범	N	N
專輯	음반	專輯	음반	N	N
角色	성격	角色	성격	N	N
角色	문자	角色	문자	N	N
角色	인물	角色	인물	N	N
角色	역할	角色	역할	N	N
角色	문자	角色	문자	N	N
角色	등장인물	角色	등장+인물	N	N
角色	역할	角色	역할	N	N
成員	회원	成員	회원	N	N
成員	구성원	成員	구성원	N	N
成員	멤버들	成員	멤버+들	N	N
新聞	뉴스	新聞	뉴스	N	N
新聞	소식	新聞	소식	N	N
現在	지금	現在	지금	N	N
女性	여성	女性	여성	N	N
女性	여성	女性	여성	N	N
女性	여자들	女性	여자+들	N	N
女性	여자	女性	여자	N	N
女性	여성	女性	여성	N	N
高度	키는	高度	키+는	N	N
男	남성	男	남성	N	N
之前	이전	之前	이전	N	N
位置	직위	位置	직위	N	N
位置	포지션	位置	포지션	N	N
活動	활동	活動	활동	N	N
活動	이벤트	活動	이벤트	N	N
活動	행사	活動	행사	N	N
活動	이벤트	活動	이벤트	N	N
活動	활동	活動	활동	N	N
只	오직	只	오직	ADV	ADV
歷史	역사	歷史	역사	N	N
歷史	내역	歷史	내역	N	N
歷史	기록	歷史	기록	N	N
歌曲	노래	歌曲	노래	N	N
歌曲	노래	歌曲	노래	N	N
植物	식물	植物	식물	N	N
植物	식물학	植物	식물학	N	N
植物	식물	植物	식물	N	N
植物	식물학	植物	식물학	N	N
非常	아주	非常	아주	ADV	ADV
非常	매우	非常	매우	ADV	ADV
通常	일반적으로	通常	일반+적+으로	ADV	ADV
比賽	게임	比賽	게임	N	N
比賽	경기	比賽	경기	N	N
比賽	인종	比賽	인종	N	N
比賽	경쟁	比賽	경쟁	N	N
比賽	대회	比賽	대회	N	N
聯賽	동맹	聯賽	동맹	N	N
聯賽	리그	聯賽	리그	N	N
學校	학교	學校	학교	N	N
學校	학교	學校	학교	N	N
學校	학교는	學校	학교+는	N	N
完全	완전히	完全	완전+히	ADV	ADV
完全	완전히	完全	완전+히	ADV	ADV
信	편지	信	편지	N	N
信	편지	信	편지	N	N
期間	기간	期間	기간	N	N
期間	시대	期間	시대	N	N
交通	교통수단	交通	교통+수단	N	N
交通	운송	交通	운송	N	N
交通	교통	交通	교통	N	N
交通	교통량	交通	교통량	N	N
交通	트래픽	交通	트래픽	N	N
交通	교통	交通	교통	N	N
交通	교통수단	交通	교통+수단	N	N
交通	운송	交通	운송	N	N
交通	수송	交通	수송	N	N
交通	교통	交通	교통	N	N
木	나무	木	나무	N	N
木	목재	木	목재	N	N
討論	토론하기	討論	토론+하+기	V	V
故事	이야기	故事	이야기	N	N
故事	스토리	故事	스토리	N	N
故事	소식	故事	소식	N	N
故事	스토리	故事	스토리	N	N
故事	소식	故事	소식	N	N
湖	호수	湖	호수	N	N
手	핸드	手	핸드	N	N
心	심장	心	심장	N	N
心	마음	心	마음	N	N
角	각도	角	각도	N	N
天文	천문대	天文	천문대	N	N
歌	노래	歌	노래	N	N
歌	노래	歌	노래	N	N
圖	도표	圖	도표	N	N
圖	차트	圖	차트	N	N
圖	그림	圖	그림	N	N
民主	민주주의	民主	민주주의	N	N
民主	민주화	民主	민주화	N	N
寺	신전	寺	신전	N	N
寺	사원	寺	사원	N	N
參加	참석하기	參加	참석+하+기	V	V
參加	참석합니다	參加	참석+하+ㅂ니다	V	V
控制	제어하기	控制	제어+하+기	V	V
戰	전투	戰	전투	N	N
戰	전쟁	戰	전쟁	N	N
電視	텔레비전	電視	텔레비전	N	N
然而	아직	然而	아직	ADV	ADV
委員	위원회	委員	위원회	N	N
編輯	편집	編輯	편집	N	N
編輯	수정	編輯	수정	N	N
編輯	편집	編輯	편집	N	N
編輯	수정	編輯	수정	N	N
編輯	편집기	編輯	편집기	N	N
編輯	편집자	編輯	편집자	N	N
資料	자료	資料	자료	N	N
資料	데이터	資料	데이터	N	N
路線	노선	路線	노선	N	N
路線	노선	路線	노선	N	N
歌手	가수	歌手	가수	N	N
店	상점	店	상점	N	N
店	쇼핑	店	쇼핑	N	N
店	매장	店	매장	N	N
店	상점	店	상점	N	N
組織	조직	組織	조직	N	N
組織	기구	組織	기구	N	N
組織	단체	組織	단체	N	N
組織	조직	組織	조직	N	N
組織	기구	組織	기구	N	N
組織	조직	組織	조직	N	N
組織	사단	組織	사단	N	N
組織	디비전	組織	디비전	N	N
分類	분류법	分類	분류법	N	N
分類	분류	分類	분류	N	N
教授	교수	教授	교수	N	N
教授	교수님	教授	교수+님	N	N
源	소스	源	소스		
源	원본	源	원본		
文字	텍스트	文字	텍스트	N	N
文字	문자	文字	문자	N	N
文字	문구	文字	문구	N	N
民族	국적	民族	국적	N	N
主席	회장	主席	회장	N	N
主席	대통령	主席	대통령	N	N
主席	회장님	主席	회장님	N	N
主席	회장	主席	회장	N	N
文物	고고학	文物	고고학	N	N
女子	여자	女子	여자	N	N
女子	여성	女子	여성	N	N
世紀	세기	世紀	세기	N	N
票	티켓	票	티켓	N	N
票	티켓	票	티켓	N	N
票	항공권	票	항공권	N	N
打	싸우기	打	싸우+기	V	V
關係	연애	關係	연애	N	N
關係	관계	關係	관계	N	N
關係	관계	關係	관계	N	N
關係	관계	關係	관계	N	N
關係	연애	關係	연애	N	N
關係	관계	關係	관계	N	N
能力	용량	能力	용량	N	N
能力	능력	能力	능력	N	N
能力	능력자	能力	능력자	N	N
能力	능력	能力	능력	N	N
模板	템플릿	模板	템플릿	N	N
模板	템플릿	模板	템플릿	N	N
頭	머리	頭	머리	N	N
個人	개인적	個人	개인+적	N	N
學生	학생	學生	학생	N	N
學生	학생들	學生	학생+들	N	N
學生	유학생	學生	유학생	N	N
學生	학생	學生	학생	N	N
鎮	시내	鎮	시내	N	N
鎮	도시	鎮	도시	N	N
鎮	마을	鎮	마을	N	N
語言	언어	語言	언어	N	N
語言	언어	語言	언어	N	N
模式	모드	模式	모드	N	N
模式	패턴	模式	패턴	N	N
模式	패턴	模式	패턴	N	N
模式	모드	模式	모드	N	N
方向	방향	方向	방향	N	N
方向	방향	方向	방향	N	N
方向	방향	方向	방향	N	N
方向	지향	方向	지향	N	N
方法	방법론	方法	방법론	N	N
方法	수단	方法	수단	N	N
方法	메서드	方法	메서드	N	N
方法	방법	方法	방법	N	N
方法	메소드	方法	메소드	N	N
方法	수단	方法	수단	N	N
方法	메서드	方法	메서드	N	N
方法	방법	方法	방법	N	N
第四	넷째	第四	넷째	NUM	NUM
死	사망	死	사망	N	N
甚至	심지어	甚至	심지어	ADV	ADV
開	오픈	開	오프+ㄴ		
開	열기	開	열+기		
只	단지	只	단지	ADV	ADV
只	그냥	只	그냥	ADV	ADV
結束	끝내기	結束	끝내+기	V	V
保護	보호하기	保護	보호+하+기	V	V
保護	보호하기	保護	보호+하+기	V	V
加上	추가하기	加上	추가+하+기	V	V
獨立	독립	獨立	독립	N	N
獨立	독립적	獨立	독립+적	N	N
獨立	독립	獨立	독립	N	N
獨立	독립운동	獨立	독립+운동	N	N
包含	포함함	包含	포함+하+ㅁ	V	V
包含	포함됨	包含	포함+되+ㄴ	V	V
社會	사회	社會	사회	N	N
社會	사회주의	社會	사회주의	N	N
社會	사회	社會	사회	N	N
社會	사회적	社會	사회+적	N	N
鐵路	레일	鐵路	레일	N	N
居民	주민들	居民	주민+들	N	N
功能	함수	功能	함수	N	N
功能	특징	功能	특징	N	N
功能	기능	功能	기능	N	N
功能	함수형	功能	함수형	N	N
功能	기능	功能	기능	N	N
功能	기능	功能	기능	N	N
聯盟	동맹	聯盟	동맹	N	N
聯盟	연맹	聯盟	연맹	N	N
聯盟	연합	聯盟	연합	N	N
聯盟	동맹	聯盟	동맹	N	N
聯盟	리그	聯盟	리그	N	N
聯盟	동맹	聯盟	동맹	N	N
聯盟	동맹	聯盟	동맹	N	N
利用	이용하기	利用	이용+하+기	V	V
利用	사용하기	利用	사용+하+기	V	V
再次	다시	再次	다시	ADV	ADV
再次	또다시	再次	또다시	ADV	ADV
量	수량	量	수량	N	N
演員	캐스팅	演員	캐스팅	N	N
演員	배우	演員	배우	N	N
演員	배우	演員	배우	N	N
演員	여배우	演員	여배우	N	N
演員	배우	演員	배우	N	N
全球	전역	全球	전역	N	N
北部	북부	北部	북부	N	N
北部	북쪽	北部	북+쪽	N	N
北部	북부	北部	북부	N	N
運動	스포츠	運動	스포츠	N	N
運動	모션	運動	모션	N	N
運動	스포츠	運動	스포츠	N	N
運動	운동	運動	운동	N	N
草	잔디	草	잔디	N	N
名字	이름	名字	이름	N	N
戰爭	전쟁	戰爭	전쟁	N	N
戰爭	전쟁	戰爭	전쟁	N	N
作曲	작성	作曲	작성	N	N
唱片	레코드	唱片	레코드	N	N
唱片	녹음	唱片	녹음	N	N
唱片	녹화	唱片	녹화	N	N
唱片	기록	唱片	기록	N	N
安全	안전	安全	안전	N	N
安全	보안	安全	보안	N	N
學院	대학교	學院	대학교	N	N
學院	대학	學院	대학	N	N
學院	대학교	學院	대학교	N	N
學院	대학	學院	대학	N	N
原因	이유	原因	이유	N	N
原因	이유	原因	이유	N	N
原因	원인	原因	원인	N	N
管	파이프	管	파이프		
法律	법칙	法律	법칙	N	N
法律	법률	法律	법률	N	N
法律	법학	法律	법학	N	N
法律	법률	法律	법률	N	N
革命	혁명	革命	혁명	N	N
革命	혁명	革命	혁명	N	N
男性	남성	男性	남성	N	N
男性	남성	男性	남성	N	N
男性	멘트	男性	멘트	N	N
男性	남성	男性	남성	N	N
男性	남자	男性	남자	N	N
目的	목적	目的	목적	N	N
目的	목표	目的	목표	N	N
形式	형태	形式	형태	N	N
形式	양식	形式	양식	N	N
形式	포맷	形式	포맷	N	N
基本	기본	基本	기본	N	N
基本	기초	基本	기초	N	N
單位	단위계	單位	단위계	N	N
修	고쳐	修	고치+어	V	V
科技	기술	科技	기술	N	N
科技	기술	科技	기술	N	N
青年	청소년	青年	청소년	N	N
流	스트림	流	스트림	N	N
流	스트림	流	스트림	N	N
結果	결과	結果	결과	N	N
結果	결과	結果	결과	N	N
結果	결과	結果	결과	N	N
教	교육	教	교육	N	N
教	교사	教	교사	N	N
體	시체	體	시체	N	N
體	몸매	體	몸매	N	N
體	몸매가	體	몸매+가	N	N
左	좌파	左	좌파	N	N
戴	착용	戴	착용	N	N
自然	자연	自然	자연	N	N
自然	천연	自然	천연	N	N
自然	자연	自然	자연	N	N
經濟	경제학	經濟	경제학	N	N
經濟	경제	經濟	경제	N	N
經濟	경제	經濟	경제	N	N
學	학습	學	학습	N	N
職業	경력	職業	경력	N	N
職業	직업	職業	직업	N	N
職業	직업	職業	직업	N	N
職業	점령	職業	점령	N	N
團	연대	團	연대	N	N
相同	같은	相同	같+ㄴ	ADJ	ADJ
類	학급	類	학급	N	N
類	계급	類	계급	N	N
類	클래스	類	클래스	N	N
類	수업	類	수업	N	N
兵	군인	兵	군인	N	N
兵	병사	兵	병사	N	N
發	머리카락	發	머리카락	N	N
發	머리	發	머리	N	N
發	머리카락이	發	머리카락+이	N	N
政策	정책	政策	정책	N	N
政策	방침	政策	방침	N	N
政策	정책	政策	정책	N	N
日期	데이트	日期	데이트	N	N
日期	데이트	日期	데이트	N	N
男子	멘트	男子	멘트	N	N
男子	남성	男子	남성	N	N
男子	남자	男子	남자	N	N
共和	공화국	共和	공화국	N	N
理由	이유	理由	이유	N	N
理由	이유	理由	이유	N	N
交流	교환	交流	교환	N	N
總統	회장	總統	회장	N	N
總統	대통령	總統	대통령	N	N
標準	기준	標準	기준	N	N
標準	기준	標準	기준	N	N
表	탁자	表	탁자		
表	식탁	表	식탁		
表	테이블	表	테이블		
行動	행동	行動	행동	N	N
行動	활동	行動	활동	N	N
行動	작업	行動	작업	N	N
行動	동작	行動	동작	N	N
行動	액션	行動	액션	N	N
行動	작동	行動	작동	N	N
行動	작전	行動	작전	N	N
行動	행동	行動	행동	N	N
行動	활동	行動	활동	N	N
行動	동작	行動	동작	N	N
行動	액션	行動	액션	N	N
尾	꼬리	尾	꼬리	N	N
尾	꼬리	尾	꼬리	N	N
議員	상원	議員	상원	N	N
議員	상원의원	議員	상원의원	N	N
漫畫	코믹스	漫畫	코믹스	N	N
漫畫	만화	漫畫	만화	N	N
漫畫	만화가	漫畫	만화+가	N	N
漫畫	만화	漫畫	만화	N	N
漫畫	만화가	漫畫	만화+가	N	N
漫畫	만화	漫畫	만화	N	N
漫畫	만화가	漫畫	만화+가	N	N
漫畫	만화	漫畫	만화	N	N
大型	대형	大型	대형	N	N
生物	생물학	生物	생물학	N	N
生物	생물학	生物	생물학	N	N
生物	미생물	生物	미생물	N	N
生物	생명체	生物	생명체	N	N
生物	생물	生物	생물	N	N
城鎮	시내	城鎮	시내	N	N
城鎮	도시	城鎮	도시	N	N
城鎮	마을	城鎮	마을	N	N
海軍	해군	海軍	해군	N	N
作家	작가	作家	작가	N	N
作家	작가	作家	작가	N	N
牛	가축	牛	가축	N	N
火	화재	火	화재	N	N
火	불화	火	불화	N	N
值	가치관	值	가치관	N	N
值	가치	值	가치	N	N
值	가치	值	가치	N	N
西部	서양	西部	서양	N	N
土	먼지	土	먼지	N	N
土	토양	土	토양	N	N
早期	초기	早期	초기	N	N
速度	속력	速度	속력	N	N
速度	스피드	速度	스피드	N	N
建築	건물	建築	건물	N	N
建築	건축	建築	건축	N	N
建築	빌딩	建築	빌딩	N	N
建築	건물	建築	건물	N	N
建築	건축물	建築	건축물	N	N
建築	건물들	建築	건물+들	N	N
建築	빌딩	建築	빌딩	N	N
建築	공사	建築	공사	N	N
建築	건설	建築	건설	N	N
建築	건축	建築	건축	N	N
建築	건축학	建築	건축학	N	N
建築	건축	建築	건축	N	N
發表	출판됨	發表	출판+되+ㄴ	V	V
仍然	아직도	仍然	아직도	ADV	ADV
仍然	여전히	仍然	여전+히	ADV	ADV
技術	기술	技術	기술	N	N
技術	기술적	技術	기술+적	N	N
技術	기법	技術	기법	N	N
技術	기술	技術	기술	N	N
技術	테크닉	技術	테크닉	N	N
技術	기법	技術	기법	N	N
主任	감독	主任	감독	N	N
機場	공항	機場	공항	N	N
機場	국제공항	機場	국제공항	N	N
機場	공항	機場	공항	N	N
富	부자	富	부자		
她	그녀의	她	그녀+의	PRO;3	PRO
費	요금	費	요금	N	N
費	수수료	費	수수료	N	N
情況	상황	情況	상황	N	N
情況	상황이	情況	상황+이	N	N
來源	출처	來源	출처	N	N
來源	출처	來源	출처	N	N
首都	자본	首都	자본	N	N
首都	자본주의	首都	자본주의	N	N
牌	카드	牌	카드	N	N
廣告	광고	廣告	광고	N	N
廣告	광고	廣告	광고	N	N
廣告	광고	廣告	광고	N	N
廣告	광고	廣告	광고	N	N
描述	설명하기	描述	설명+하+기	V	V
皇帝	황제	皇帝	황제	N	N
皇帝	천황	皇帝	천황	N	N
域	도메인	域	도메인	N	N
域	영역	域	영역	N	N
域	도메인	域	도메인	N	N
計畫	계획	計畫	계획	N	N
列車	열차	列車	열차	N	N
列車	열차	列車	열차	N	N
環	반지	環	반지	N	N
環	소환	環	소환	N	N
環	반지	環	반지	N	N
環	반복	環	반복	N	N
父	아버지	父	아버지	N	N
取代	바꾸기	取代	바꾸+기	V	V
物理	물리학	物理	물리학	N	N
物理	물리	物理	물리	N	N
物理	물리적	物理	물리+적	N	N
物理	물리	物理	물리	N	N
底	아래쪽	底	아래+쪽	N	N
底	아래	底	아래	N	N
右	오른쪽	右	오른쪽	N	N
武器	무기	武器	무기	N	N
武器	무기	武器	무기	N	N
顯示	표시하기	顯示	표시+하+기	V	V
顯示	보이기	顯示	보이+기	V	V
秒	두번째	秒	두번+째	N	N
雲	구름	雲	구름	N	N
雲	구름	雲	구름	N	N
小說	소설	小說	소설	N	N
小說	소설	小說	소설	N	N
小說	소설	小說	소설	N	N
小說	픽션	小說	픽션	N	N
程度	학위	程度	학위	N	N
父親	아버지	父親	아버지	N	N
和平	평화	和平	평화	N	N
西北	북서쪽	西北	북서쪽	N	N
直	똑바로	直	똑바로		
直	스트레이트	直	스트레이트		
宗教	종교	宗教	종교	N	N
宗教	종교	宗教	종교	N	N
宗教	종교	宗教	종교	N	N
當地	국소	當地	국소	N	N
作用	역할	作用	역할	N	N
作用	역할	作用	역할	N	N
藝術	예술	藝術	예술	N	N
藝術	예술	藝術	예술	N	N
藝術	미술	藝術	미술	N	N
藝術	예술적	藝術	예술+적	N	N
球員	재생기	球員	재생기	N	N
球員	선수	球員	선수	N	N
球員	선수	球員	선수	N	N
處理	다루기	處理	다루+기	V	V
旅	여단	旅	여단	N	N
全國	전국	全國	전국	N	N
展	전시관	展	전시관	N	N
展	박람회	展	박람회	N	N
展	전시회	展	전시회	N	N
特色	특징	特色	특징	N	N
特色	기능	特色	기능	N	N
特色	기능	特色	기능	N	N
公園	공원	公園	공원	N	N
公園	공원	公園	공원	N	N
翼	날개	翼	날개	N	N
翼	날개	翼	날개	N	N
協會	협회	協會	협회	N	N
文學	문학	文學	문학	N	N
文學	문학	文學	문학	N	N
頻道	채널	頻道	채널	N	N
頻道	채널	頻道	채널	N	N
少年	십대	少年	십대	N	N
少年	청소년	少年	청소년	N	N
股份	주식	股份	주식	N	N
股份	공유	股份	공유	N	N
紀錄	레코드	紀錄	레코드	N	N
紀錄	녹음	紀錄	녹음	N	N
紀錄	녹화	紀錄	녹화	N	N
紀錄	기록	紀錄	기록	N	N
紀錄	레코드	紀錄	레코드	N	N
影片	필름	影片	필름	N	N
影片	영화	影片	영화	N	N
影片	영화	影片	영화	N	N
影片	비디오	影片	비디오	N	N
影片	필름	影片	필름	N	N
影片	영화	影片	영화	N	N
身份	정체성	身份	정체성	N	N
身份	정체성	身份	정체성	N	N
基地	기지	基地	기지	N	N
文件	파일	文件	파일	N	N
文件	파일	文件	파일	N	N
藍	청색	藍	청색	N	N
力量	체력	力量	체력	N	N
板	접시	板	접시	N	N
板	보드	板	보드	N	N
船	선박	船	선박	N	N
船	보트	船	보트	N	N
文章	기사	文章	기사	N	N
意見	의견	意見	의견	N	N
意見	댓글	意見	댓글	N	N
意見	의견	意見	의견	N	N
公主	공주님	公主	공주님	N	N
銀行	은행	銀行	은행	N	N
銀行	은행	銀行	은행	N	N
媒體	미디어	媒體	미디어	N	N
旗	플래그	旗	플래그	N	N
旗	깃발	旗	깃발	N	N
旗	깃발	旗	깃발	N	N
旗	국기	旗	국기	N	N
旗	플래그	旗	플래그	N	N
旗	배너	旗	배너	N	N
行星	행성	行星	행성	N	N
行星	행성	行星	행성	N	N
作者	작가	作者	작가	N	N
作者	작가	作者	작가	N	N
作者	제작자	作者	제작자	N	N
作者	작성자	作者	작성자	N	N
作者	작가	作者	작가	N	N
作者	작가	作者	작가	N	N
作者	저자	作者	저자	N	N
作者	제작자	作者	제작자	N	N
作者	작성자	作者	작성자	N	N
