serena	serena	serna	serena	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
složité	komplicerad	složitý	komplicerad	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
složité	komplicerat	složitý	komplicerad	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
matematické	matematiskt	matematický	matematisk	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
žlutý	gul	žlutý	gul	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
rusi	rus	rus	rus	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
oleje	oljor	olej	olja	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
dopad	impact	dopad	impact	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
dopad	inverkan	dopad	inverkan	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
dopad	påverkan	dopad	påverkan	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
časy	gånger	čas	gång	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
časy	tider	čas	tid	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
časy	tiderna	čas	tid	N;INAN;NOM;MASC;PL;POS	N;NOM;DEF;MASC+FEM;PL
panna	jungfru	panna	jungfru	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
panna	jungfrun	panna	jungfru	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
panna	oskuld	panna	oskuld	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
panna	virgin	panna	virgi	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
panna	jungfru	panna	jungfru	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
audio	ljudsignal	audio	ljudsignal	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
audio	ljud	audio	ljud	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
audio	audio	audio	audio	N;NOM;NEUT;SG;POS	N
cestoval	reste	cestovat	resa	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IMP;PST;FIN;ACT
cestoval	reste	cestovat	resa	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IMP;PST;FIN;ACT
končetiny	lemmar	končetina	lem	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
končetiny	extremiteter	končetina	extremitet	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
končetiny	lemmar	končetina	lem	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
končetiny	extremiteter	končetina	extremitet	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
končetiny	extremiteter	končetina	extremitet	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
akademické	akademisk	akademický	akademisk	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
akademické	akademiskt	akademický	akademisk	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
kaplan	kyrkoadjunkt	kaplan	kyrkoadjunkt	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
kaplan	fältpräst	kaplan	fältpräst	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
kaplan	kaplan	kaplan	kaplan	N;ANIM;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
nárůst	ökning	nárůst	ökning	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
nárůst	höjning	nárůst	höjning	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
pozor	uppmärksamhet	pozor	uppmärksamhet	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
kino	kino	kino	kino	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
kino	bio	kino	bio	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
kino	biograf	kino	biograf	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
ovlivněn	påverkad	ovlivněný	påverka	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ovlivněn	påverkat	ovlivněný	påverka	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
ovlivněn	påverkad	ovlivněný	påverka	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ovlivněn	berörd	ovlivněný	berörd	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ovlivněn	drabbad	ovlivněný	drabba	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ovlivněn	påverkat	ovlivněný	påverka	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
relevantní	relevant	relevantní	relevant	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
relevantní	relevant	relevantní	relevant	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
dorazil	anlände	dorazit	anlände	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
poskytnout	tillhandahålla	poskytnout	tillhandahålla	V;PFV;POS;NFIN	V;IMP;FIN;ACT
poskytnout	tillhandahåller	poskytnout	tillhandahålla	V;PFV;POS;NFIN	V;IND;PRS;FIN;ACT
masivní	massiv	masivní	massiv	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
masivní	massivt	masivní	massiv	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
zachránil	räddade	zachránit	rädda	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
zachránil	räddade	zachránit	rädda	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
zachránil	sparade	zachránit	spara	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PST;V.PTCP;ACT
guvernér	guvernören	guvernér	guvernör	N;ANIM;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
guvernér	guvernör	guvernér	guvernör	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
autorství	författarskap	autorství	författarskap	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
předpokládat	anta	předpokládat	anta	V;IPFV;POS;NFIN	V;IMP;FIN;ACT
předpokládat	förutsätta	předpokládat	förutsätta	V;IPFV;POS;NFIN	V;IMP;FIN;ACT
celoživotní	livslång	celoživotní	livslång	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
celoživotní	livslångt	celoživotní	livslång	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
řetězce	kedjor	řetězec	kedja	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
řetězce	strängar	řetězec	sträng	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
vložit	infoga	vložit	infoga	V;PFV;POS;NFIN	V;IMP;FIN;ACT
věděl	visste	vědět	veta	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IMP;FIN;ACT
věděl	kände	vědět	känna	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
věděl	viste	vědět	viste	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IMP;FIN;ACT
konečný	slutlig	konečný	slutlig	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
subsp	subsp	subsp	subsp	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
karta	fliken	karta	flik	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
karta	tab	karta	tab	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
karta	flik	karta	flik	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
karta	kortet	karta	kort	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
robot	robot	robot	robot	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
provizorní	preliminär	provizorní	preliminär	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
provizorní	provisoriskt	provizorní	provisorisk	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
psycholog	psykolog	psycholog	psykolog	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
převzetí	övertagande	převzetí	övertagande	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
převzetí	övertagande	převzetí	övertagande	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
převzetí	övertagandet	převzetí	övertagande	N;NOM;NEUT;SG;POS	N;NOM;DEF;NEUT;SG
nález	upptäckten	nález	upptäckt	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
nález	discovery	nález	discovery	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
gen	gen	gen	gen	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
gen	genen	gen	gen	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
gen	gen	gen	gen	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
protest	protest	protest	protest	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
kvete	blommar	kvést	blomma	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
kvete	blommar	kvést	blomma	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
pasivní	passiv	pasivní	passiv	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
fotky	bilder	fotka	bild	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
fotky	tavlor	fotka	tavla	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
fotky	bilder	fotka	bild	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
výrobci	producenter	výrobce	producent	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
výrobci	tillverkare	výrobce	tillverkare	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
výrobci	tillverkare	výrobce	tillverkare	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
výrobci	tillverkarna	výrobce	tillverkare	N;ANIM;NOM;MASC;PL;POS	N;NOM;DEF;MASC+FEM;PL
graf	diagram	graf	diagram	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
graf	graf	graf	graf	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
graf	diagram	graf	diagram	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
graf	graf	graf	graf	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
jedenáct	elva	jedenáct	elva	NUM;NOM;SG	NUM;NOM
léčba	behandling	léčba	behandling	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
léčba	behandlingen	léčba	behandling	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
prefektura	prefektur	prefektura	prefektur	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
playoff	slutspel	playoff	slutspel	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
playoff	slutspel	playoff	slutspel	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
playoff	slutspelet	playoff	slutspel	N;NOM;NEUT;SG;POS	N;NOM;DEF;NEUT;SG
zkušenost	upplevelse	zkušenost	upplevelse	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
zkušenost	erfarenhet	zkušenost	erfarenhet	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
pátá	femte	pátý	fem	ADJ;NOM;FEM;SG	ADJ;NOM
husa	gås	husa	gå	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
husa	goose	husa	goose	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
husa	gåsen	husa	gås	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
svědomí	samvete	svědomí	samvete	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
cítí	känns	cítit	kännas	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN
cítí	känner	cítit	känna	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
učit	undervisa	učit	undervisa	V;IPFV;POS;NFIN	V;IMP;FIN;ACT
učit	undervisar	učit	undervisa	V;IPFV;POS;NFIN	V;IND;PRS;FIN;ACT
učit	lära	učit	lära	V;IPFV;POS;NFIN	V;IMP;FIN;ACT
učit	lär	učit	lära	V;IPFV;POS;NFIN	V;IND;PRS;FIN;ACT
uzavřít	stänga	uzavřít	stänga	V;POS;NFIN	V;IMP;NFIN;ACT
uzavřít	stäng	uzavřít	stäng	V;POS;NFIN	V;IMP;FIN;ACT
houby	svampar	houba	svamp	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
houby	svampar	houba	svamp	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
houby	svampar	houba	svamp	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
houby	svampar	houba	svamp	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
vzorec	formula	vzorec	formul	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
vzorec	formel	vzorec	formel	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
vzorec	mönster	vzorec	mönster	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
vzorec	mönstret	vzorec	mönster	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;NEUT;SG
sigma	sigma	sigma	sigma	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
listina	stadga	listina	stadga	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
listina	stadgan	listina	stadga	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
spravedlnost	justice	spravedlnost	justice	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
spravedlnost	rättvisa	spravedlnost	rättvisa	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
spravedlnost	rättskipning	spravedlnost	rättskipning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
milion	miljon	milión	miljon	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
saxofon	sax	saxofon	sax	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
saxofon	saxofon	saxofon	saxofon	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
junior	junior	junior	junia	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
zabije	dödar	zabít	döda	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
řidič	föraren	řidič	föraren	N;ANIM;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
řidič	chaufför	řidič	chaufför	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
čtenáři	läsare	čtenář	läsare	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
varování	varning	varování	varning	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
náklad	frakt	náklad	frakt	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
náklad	last	náklad	last	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
náklad	gods	náklad	god	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
socialistická	socialistisk	socialistický	socialistisk	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
položky	poster	položka	post	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
položky	poster	položka	post	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
ohrožený	hotad	ohrožený	hota	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
zajímavá	intressant	zajímavý	intressant	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
ztrácí	förlorar	ztrácet	förlora	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
ztrácí	förlorar	ztrácet	förlora	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
uzavřené	innesluten	uzavřený	inneslut	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
uzavřené	stängd	uzavřený	stänga	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
uzavřené	sluten	uzavřený	slut	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
uzavřené	stängt	uzavřený	stänga	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
nutnost	nödvändighet	nutnost	nödvändighet	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
nutnost	nöden	nutnost	nöden	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
zjištěno	påvisat	zjištěný	påvisa	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
zjištěno	upptäckt	zjištěný	upptäcka	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
zápasník	kämpe	zápasník	kämpe	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
zápasník	fighter	zápasník	fight	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
zápasník	brottare	zápasník	brott	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
ekonomická	ekonomiskt	ekonomický	ekonomisk	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
ekonomická	ekonomisk	ekonomický	ekonomisk	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
ekonomická	ekonomiskt	ekonomický	ekonomisk	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
ekonomická	sparsam	ekonomický	sparsam	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
senát	senaten	senát	senat	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
senát	senat	senát	sena	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
indické	indisk	indický	indisk	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
indické	indiskt	indický	indisk	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
sedmé	sjunde	sedmý	sju	ADJ;NOM;NEUT;SG;POS	ADJ;NOM
irský	irländskt	irský	irländsk	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
irský	irländsk	irský	irländsk	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
ředitelství	direktoratet	ředitelství	direktorat	N;NOM;NEUT;SG;POS	N;NOM;DEF;NEUT;SG
písemné	skrivet	písemný	skriva	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
písemné	skrivit	písemný	skriva	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
písemné	skriftligt	písemný	skriftlig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
vyhráli	vunnit	vyhrát	vinna	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;V.CVB;ACT
vyhráli	vann	vyhrát	vann	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
náhrada	återbetalning	náhrada	återbetalning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
náhrada	ersättning	náhrada	ersättning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
náhrada	återbetalning	náhrada	återbetalning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
náhrada	ersättning	náhrada	ersättning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
náhrada	kompensation	náhrada	kompensation	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
náhrada	ersättning	náhrada	ersättning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
každopádně	hursomhelst	každopádně	hursomhelst	ADV	ADV;RL
oznámeno	anmält	oznámený	anmäla	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
oznámeno	meddelat	oznámený	meddela	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
oznámeno	aviserat	oznámený	avisera	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
zjevení	uppenbarelseboken	zjevení	uppenbarelsebok	N;NOM;NEUT;SG;POS	N;NOM;DEF;MASC+FEM;SG
zjevení	uppenbarelse	zjevení	uppenbarelse	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
zjevení	uppenbarelse	zjevení	uppenbarelse	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
zjevení	uppenbarelse	zjevení	uppenbarelse	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
zjevení	uppenbarelseboken	zjevení	uppenbarelsebok	N;NOM;NEUT;SG;POS	N;NOM;DEF;MASC+FEM;SG
domácnosti	hushållen	domácnost	hushåll	N;NOM;FEM;PL;POS	N;NOM;DEF;NEUT;PL
nízký	lågt	nízký	låg	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
závislost	missbruk	závislost	missbruk	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
závislost	beroendet	závislost	beroende	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
podpořil	stödde	podpořit	stödje	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
kuchyně	köket	kuchyně	kök	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
kuchyně	köket	kuchyně	kök	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
kuchyně	kök	kuchyně	kök	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
napadení	misshandel	napadení	misshandel	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
napadení	överfall	napadení	överfall	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
napadení	överfall	napadení	överfall	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
záměrně	avsiktligt	záměrně	avsiktlig	ADV;POS	ADV
záměrně	avsiktligt	záměrně	avsiktlig	ADV;POS	ADV
homo	homo	homo	homo	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
