kegubernuran	gubernie	kegubernuran	gubernie	N;SG	N;NOM;FEM;SG;POS
botol	láhev	botol	láhev	N;SG	N;NOM;FEM;SG;POS
botol	flaška	botol	flaška	N;SG	N;NOM;FEM;SG;POS
syuting	natáčení	syuting	natáčení	N	N;NOM;NEUT;SG;POS
kehancuran	devastace	kehancuran	devastace	N;SG	N;NOM;FEM;SG;POS
kehancuran	zkáza	kehancuran	zkáza	N;SG	N;NOM;FEM;SG;POS
kehancuran	zničení	kehancuran	zničení	N;SG	N;NOM;NEUT;SG;POS
kehancuran	ničení	kehancuran	ničení	N;SG	N;NOM;NEUT;SG;POS
kehancuran	destrukce	kehancuran	destrukce	N;SG	N;NOM;FEM;SG;POS
kenangan	vzpomínka	kenangan	vzpomínka	N;SG	N;NOM;FEM;SG;POS
kenangan	paměti	kenangan	paměť	N;SG	N;NOM;FEM;SG;POS
kenangan	paměť	kenangan	paměť	N;SG	N;NOM;FEM;SG;POS
pukulan	úder	pukulan	úder	N;SG	N;INAN;NOM;MASC;SG;POS
mendesak	spěchá	mendesak	spěchat	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
romantis	romance	romantis	romance	N;SG	N;NOM;FEM;SG;POS
romantis	románek	romantis	románek	N;SG	N;INAN;NOM;MASC;SG;POS
romantis	romantika	romantis	romantik	N;SG	N;NOM;FEM;SG;POS
romantis	romantika	romantis	romantik	N;SG	N;NOM;FEM;SG;POS
romantis	romantik	romantis	romantik	N;SG	N;ANIM;NOM;MASC;SG;POS
mendatang	nadcházející	mendatang	nadcházející	ADJ;SG	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
agregat	agregace	agregat	agregace	N;SG	N;NOM;FEM;SG;POS
bersembunyi	skrývá	bersembunyi	skrývat	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
perlombaan	závod	perlombaan	závod	N;SG	N;INAN;NOM;MASC;SG;POS
perlombaan	rasa	perlombaan	rasa	N;SG	N;NOM;FEM;SG;POS
serigala	vlků	serigala	vlk	N	N;ANIM;GEN;MASC;PL;POS
serigala	vlky	serigala	vlka	N	N;ANIM;INS;MASC;PL;POS
serigala	vlci	serigala	vlk	N	N;ANIM;NOM;MASC;PL;POS
serigala	vlk	serigala	vlk	N	N;ANIM;NOM;MASC;SG;POS
ruas	pole	ruas	pole	N;SG	N;NOM;NEUT;SG;POS
taksi	taxi	taksi	taxi	N;SG	N;NOM;NEUT;SG;POS
taksi	taxík	taksi	taxík	N;SG	N;INAN;NOM;MASC;SG;POS
taksi	taxi	taksi	taxi	N;SG	N;NOM;NEUT;SG;POS
taksi	taxík	taksi	taxík	N;SG	N;INAN;NOM;MASC;SG;POS
taksi	kabina	taksi	kabina	N;SG	N;NOM;FEM;SG;POS
wabah	epidemie	wabah	epidemie	N;SG	N;NOM;FEM;SG;POS
wabah	ohnisko	wabah	ohnisko	N;SG	N;NOM;NEUT;SG;POS
wabah	mor	wabah	mor	N;SG	N;INAN;NOM;MASC;SG;POS
wabah	moru	wabah	mor	N;SG	N;INAN;DAT;MASC;SG;POS
wabah	epidemie	wabah	epidemie	N;SG	N;NOM;FEM;SG;POS
lilin	svíčka	lilin	svíčka	N;SG	N;NOM;FEM;SG;POS
lilin	svíčku	lilin	svíček	N;SG	N;ACC;FEM;SG;POS
lilin	vosk	lilin	vosk	N;SG	N;INAN;NOM;MASC;SG;POS
laras	barel	laras	barel	N	N;INAN;NOM;MASC;SG;POS
laras	sud	laras	sud	N	N;INAN;NOM;MASC;SG;POS
laras	hlaveň	laras	hlaveň	N	N;NOM;FEM;SG;POS
akademisi	academia	akademisi	academium	N;SG	N;NOM;FEM;SG;POS
patroli	hlídka	patroli	hlídka	N;SG	N;NOM;FEM;SG;POS
mutlak	absolutní	mutlak	absolutní	ADJ;SG	ADJ;NOM;MASC;SG;POS
produktif	produktivní	produktif	produktivní	ADJ;SG	ADJ;NOM;MASC;SG;POS
bandingkan	porovnávat	bandingkan	porovnávat	V;SG;ACT	V;IPFV;POS;NFIN
bandingkan	porovnat	bandingkan	porovnat	V;SG;ACT	V;PFV;POS;NFIN
bandingkan	srovnat	bandingkan	srovnat	V;SG;ACT	V;PFV;POS;NFIN
pelaut	námořník	penlaut	námořník	N;SG	N;ANIM;NOM;MASC;SG;POS
pelaut	námořník	penlaut	námořník	N;SG	N;ANIM;NOM;MASC;SG;POS
perkantoran	kancelář	perkantoran	kancelář	N;SG	N;NOM;FEM;SG;POS
perkantoran	úřad	perkantoran	úřad	N;SG	N;INAN;NOM;MASC;SG;POS
perkantoran	office	perkantoran	office	N;SG	N;NOM;FEM;SG;POS
utang	dluh	utang	dluh	N;SG	N;INAN;NOM;MASC;SG;POS
utang	zadlužení	utang	zadlužení	N;SG	N;NOM;NEUT;SG;POS
pecinta	milence	pecinta	milenec	N;SG	N;NOM;FEM;SG;POS
pecinta	milenec	pecinta	milenec	N;SG	N;ANIM;NOM;MASC;SG;POS
pecinta	milenka	pecinta	milenka	N;SG	N;NOM;FEM;SG;POS
pecinta	milence	pecinta	milenec	N;SG	N;NOM;FEM;SG;POS
pecinta	milovník	pecinta	milovník	N;SG	N;ANIM;NOM;MASC;SG;POS
tayangan	zobrazení	tayangan	zobrazení	N;SG	N;NOM;NEUT;SG;POS
tayangan	zobrazení	tayangan	zobrazení	N;SG	N;NOM;NEUT;SG;POS
tayangan	zhlédnutí	tayangan	zhlédnutí	N;SG	N;NOM;NEUT;SG;POS
tayangan	zobrazení	tayangan	zobrazení	N;SG	N;NOM;NEUT;SG;POS
tayangan	dojem	tayangan	dojem	N;SG	N;INAN;NOM;MASC;SG;POS
hikayat	saga	hikayat	sago	N	N;NOM;FEM;SG;POS
kelanjutan	pokračování	kelanjutan	pokračování	N;SG	N;NOM;NEUT;SG;POS
menyelidiki	vyšetřuje	menselidiki	vyšetřovat	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
menyelidiki	prošetřit	menselidiki	prošetřit	V;SG;ACT	V;PFV;POS;NFIN
menyelidiki	vyšetřovat	menselidiki	vyšetřovat	V;SG;ACT	V;IPFV;POS;NFIN
menyelidiki	vyšetřit	menselidiki	vyšetřit	V;SG;ACT	V;PFV;POS;NFIN
orientasi	orientace	orientasi	orientace	N;SG	N;NOM;FEM;SG;POS
orientasi	zaměření	orientasi	zaměření	N;SG	N;NOM;NEUT;SG;POS
mangga	manga	mangga	manga	N	N;NOM;NEUT;SG;POS
mangga	manga	mangga	manga	N	N;NOM;NEUT;SG;POS
bir	piva	bir	pivo	N;SG	N;NOM;NEUT;SG;POS
bir	pivo	bir	pivo	N;SG	N;NOM;NEUT;SG;POS
bir	pivko	bir	pivko	N;SG	N;INAN;NOM;MASC;SG;POS
bir	piva	bir	pivo	N;SG	N;NOM;NEUT;SG;POS
bir	pivo	bir	pivo	N;SG	N;NOM;NEUT;SG;POS
rusa	jelen	rusa	jelen	N	N;ANIM;NOM;MASC;SG;POS
rusa	moose	rusa	moose	N	N;NOM;MASC;SG;POS
rusa	jelen	rusa	jelen	N	N;ANIM;NOM;MASC;SG;POS
rusa	jelena	rusa	jelen	N	N;NOM;FEM;SG;POS
bahu	rameno	bahu	rameno	N;SG	N;NOM;NEUT;SG;POS
berlari	běžel	berlari	běžet	V;SG;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
berlari	běží	berlari	běžet	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
berlari	utíkat	berlari	utíkat	V;SG;ACT	V;IPFV;POS;NFIN
residen	bydliště	residen	bydliště	N	N;NOM;NEUT;SG;POS
residen	rezident	residen	rezident	N	N;ANIM;NOM;MASC;SG;POS
anggrek	orchidej	anggrek	orchidla	N;SG	N;NOM;FEM;SG;POS
referendum	referenda	referendum	referendum	N	N;NOM;NEUT;SG;POS
referendum	referendum	referendum	referendum	N	N;NOM;NEUT;SG;POS
berinteraksi	komunikovat	berinteraksi	komunikovat	V;SG;ACT	V;POS;NFIN
sindrom	syndromu	sindrom	syndrom	N	N;INAN;GEN;MASC;SG;POS
sindrom	syndrom	sindrom	syndrom	N	N;INAN;NOM;MASC;SG;POS
sajak	rým	sajak	rým	N	N;INAN;NOM;MASC;SG;POS
sajak	rýmy	sajak	rýma	N	N;NOM;FEM;PL;POS
kejayaan	triumf	kejayaan	triumf	N;SG	N;INAN;NOM;MASC;SG;POS
elit	elita	elit	elita	N;SG	N;NOM;FEM;SG;POS
jujur	upřímná	jujur	upřímný	ADJ;SG	ADJ;NOM;FEM;SG;POS
jujur	čestný	jujur	čestný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG;POS
jujur	upřímný	jujur	upřímný	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
instalasi	instalace	instalasi	instalace	N;SG	N;NOM;FEM;SG;POS
instalasi	instalace	instalasi	instalace	N;SG	N;NOM;FEM;SG;POS
instalasi	montáž	instalasi	montáž	N;SG	N;NOM;FEM;SG;POS
instalasi	instalace	instalasi	instalace	N;SG	N;NOM;FEM;SG;POS
instalasi	zařízení	instalasi	zařízení	N;SG	N;NOM;NEUT;SG;POS
instalasi	instalace	instalasi	instalace	N;SG	N;NOM;FEM;SG;POS
cabai	chilli	cabai	chilli	N;SG	N;NOM;FEM;SG;POS
lencana	odznak	lencana	odznak	N;SG	N;INAN;NOM;MASC;SG;POS
lembar	list	lembar	list	N;SG	N;INAN;NOM;MASC;SG;POS
lembar	povlečení	lembar	povlečení	N;SG	N;NOM;NEUT;SG;POS
faksi	frakce	faksi	frakce	N;SG	N;NOM;FEM;SG;POS
faksi	frakce	faksi	frakce	N;SG	N;NOM;FEM;SG;POS
kelautan	mariňák	kelautan	mariňák	N;SG	N;ANIM;NOM;MASC;SG;POS
bayangan	stínu	bayangan	stín	N;SG	N;INAN;GEN;MASC;SG;POS
bayangan	shadow	bayangan	shadow	N;SG	N;NOM;MASC;SG;POS
bayangan	stín	bayangan	stín	N;SG	N;INAN;NOM;MASC;SG;POS
keberadaannya	existence	keberadaan	existence	N;SG	N;NOM;FEM;SG;POS
keberadaannya	existenci	keberadaan	existence	N;SG	N;ACC;FEM;SG;POS
waris	dědic	waris	dědic	N;SG	N;ANIM;NOM;MASC;SG;POS
waris	dědice	waris	dědic	N;SG	N;ANIM;NOM;MASC;SG;POS
keterbatasan	omezení	keterbatasan	omezení	N;SG	N;NOM;NEUT;SG;POS
keterbatasan	omezení	keterbatasan	omezení	N;SG	N;NOM;NEUT;SG;POS
mitsubishi	mitsubishi	mitsubishi	mitsubishu	N	N;INAN;NOM;MASC;SG;POS
torpedo	torpédo	torpedo	torpédo	N	N;NOM;NEUT;SG;POS
torpedo	torpéda	torpedo	torpédo	N	N;NOM;NEUT;PL;POS
busur	arku	busur	ark	N;SG	N;NOM;FEM;SG;POS
busur	oblouk	busur	oblouk	N;SG	N;INAN;NOM;MASC;SG;POS
busur	příď	busur	příď	N;SG	N;NOM;FEM;SG;POS
busur	luk	busur	louka	N;SG	N;INAN;NOM;MASC;SG;POS
luasnya	rozsah	luas	rozsah	N;SG	N;INAN;NOM;MASC;SG;POS
persenjataan	arzenál	persenjataan	arzenál	N;SG	N;INAN;NOM;MASC;SG;POS
persenjataan	zbrojnice	persenjataan	zbrojnice	N;SG	N;NOM;FEM;SG;POS
persenjataan	zbrojnici	persenjataan	zbrojnice	N;SG	N;ACC;FEM;SG;POS
kantong	kapsu	kantong	kapsa	N;SG	N;ACC;FEM;SG;POS
kantong	kapsa	kantong	kapsa	N;SG	N;NOM;FEM;SG;POS
kantong	vak	kantong	vak	N;SG	N;INAN;NOM;MASC;SG;POS
kantong	pytel	kantong	pytel	N;SG	N;INAN;NOM;MASC;SG;POS
kantong	tašku	kantong	taška	N;SG	N;ACC;FEM;SG;POS
kantong	taška	kantong	taška	N;SG	N;NOM;FEM;SG;POS
kantong	vak	kantong	vak	N;SG	N;INAN;NOM;MASC;SG;POS
kantong	vaku	kantong	vak	N;SG	N;INAN;GEN;MASC;SG;POS
kelayakan	způsobilost	kelayakan	způsobilost	N;SG	N;NOM;FEM;SG;POS
kelayakan	způsobilosti	kelayakan	způsobilost	N;SG	N;NOM;FEM;SG;POS
kelayakan	proveditelnosti	kelayakan	proveditelnost	N;SG	N;NOM;FEM;SG;POS
fisikawan	fyzik	fisikawan	fyzik	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
robinson	robinson	robinson	robinson	N	N;ANIM;NOM;MASC;SG;POS
depresi	deprese	depresi	deprese	N;SG	N;NOM;FEM;SG;POS
depresi	depresi	depresi	deprese	N;SG	N;ACC;FEM;SG;POS
depresi	deprese	depresi	deprese	N;SG	N;NOM;FEM;SG;POS
pembaruan	obnovení	penbaruan	obnovení	N;SG	N;NOM;NEUT;SG;POS
pembaruan	obnova	penbaruan	obnova	N;SG	N;NOM;FEM;SG;POS
pembaruan	aktualizace	penbaruan	aktualizace	N;SG	N;NOM;FEM;SG;POS
pembaruan	aktualizace	penbaruan	aktualizace	N;SG	N;NOM;FEM;SG;POS
pengecualian	výjimkou	pengecualian	výjimka	N;SG	N;INS;FEM;SG;POS
pengecualian	výjimku	pengecualian	výjimka	N;SG	N;ACC;FEM;SG;POS
pengecualian	výjimka	pengecualian	výjimka	N;SG	N;NOM;FEM;SG;POS
pengecualian	vyloučení	pengecualian	vyloučení	N;SG	N;NOM;NEUT;SG;POS
pengecualian	vyloučení	pengecualian	vyloučení	N;SG	N;NOM;NEUT;SG;POS
butuh	potřebovat	butuh	potřebovat	V;SG;ACT	V;IPFV;POS;NFIN
butuh	potřebuji	butuh	potřebovat	V;SG;ACT	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
sintesis	syntézu	sintesis	syntéza	N;SG	N;ACC;FEM;SG;POS
keterlibatan	zasnoubení	keterlibatan	zasnoubení	N;SG	N;NOM;NEUT;SG;POS
keterlibatan	angažmá	keterlibatan	angažmá	N;SG	N;NEUT;POS
keterlibatan	zapojení	keterlibatan	zapojení	N;SG	N;NOM;NEUT;SG;POS
keterlibatan	zapojení	keterlibatan	zapojení	N;SG	N;NOM;NEUT;SG;POS
keterlibatan	spoluúčast	keterlibatan	spoluúčast	N;SG	N;NOM;FEM;SG;POS
tendangan	kop	tendangan	kop	N;SG	N;INAN;NOM;MASC;SG;POS
tendangan	výkop	tendangan	výkop	N;SG	N;INAN;NOM;MASC;SG;POS
kesimpulan	závěr	kesimpulan	závěr	N;SG	N;INAN;NOM;MASC;SG;POS
penggambaran	vyobrazení	pengambaran	vyobrazení	N;SG	N;NOM;NEUT;SG;POS
menyembuhkan	léčí	mensembuhkan	léčit	V;SG;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
menyembuhkan	vyléčit	mensembuhkan	vyléčit	V;SG;ACT	V;PFV;POS;NFIN
menyembuhkan	vyléčit	mensembuhkan	vyléčit	V;SG;ACT	V;PFV;POS;NFIN
kebijaksanaan	moudrosti	kebijaksanaan	moudrost	N;SG	N;NOM;FEM;SG;POS
kebijaksanaan	moudrost	kebijaksanaan	moudrost	N;SG	N;NOM;FEM;SG;POS
ringkasan	shrnutí	ringkasan	shrnutí	N;SG	N;NOM;NEUT;SG;POS
ringkasan	souhrn	ringkasan	souhrn	N;SG	N;INAN;NOM;MASC;SG;POS
perkemahan	kempu	perkemahan	kemp	N	N;INAN;GEN;MASC;SG;POS
perkemahan	kemp	perkemahan	kemp	N	N;INAN;NOM;MASC;SG;POS
perkemahan	camp	perkemahan	camp	N	N;INAN;NOM;MASC;SG;POS
perkemahan	tábor	perkemahan	tábor	N	N;INAN;NOM;MASC;SG;POS
perkemahan	tábory	perkemahan	tábor	N	N;INAN;NOM;MASC;PL;POS
perkemahan	táborů	perkemahan	tábor	N	N;INAN;GEN;MASC;PL;POS
persemakmuran	společenství	persemakmuran	společenství	N	N;NOM;NEUT;SG;POS
pemujaan	kult	penpujaan	kult	N;SG	N;INAN;NOM;MASC;SG;POS
pemujaan	sekta	penpujaan	sekta	N;SG	N;NOM;FEM;SG;POS
survey	zjišťování	survey	zjišťování	N	N;NOM;NEUT;SG;POS
survey	průzkum	survey	průzkum	N	N;INAN;NOM;MASC;SG;POS
survey	dotazník	survey	dotazník	N	N;INAN;NOM;MASC;SG;POS
kutukan	prokletí	kutukan	prokletí	N;SG	N;NOM;NEUT;SG;POS
kutukan	kletba	kutukan	kletba	N;SG	N;NOM;FEM;SG;POS
kutukan	zatracení	kutukan	zatracení	N;SG	N;NOM;NEUT;SG;POS
perundingan	vyjednávání	penrundingan	vyjednávání	N;SG	N;NOM;NEUT;SG;POS
perundingan	jednání	penrundingan	jednání	N;SG	N;NOM;NEUT;SG;POS
perundingan	vyjednávání	penrundingan	vyjednávání	N;SG	N;NOM;NEUT;SG;POS
temuan	zjištění	temuan	zjištění	N;SG	N;NOM;NEUT;SG;POS
temuan	nález	temuan	nález	N;SG	N;INAN;NOM;MASC;SG;POS
temuan	objevování	temuan	objevování	N;SG	N;NOM;NEUT;SG;POS
temuan	objev	temuan	objev	N;SG	N;INAN;NOM;MASC;SG;POS
pentas	fázi	pentas	fáze	N	N;ACC;FEM;SG;POS
pentas	fáze	pentas	fáze	N	N;NOM;FEM;SG;POS
pentas	etapa	pentas	etapa	N	N;NOM;FEM;SG;POS
pentas	jeviště	pentas	jeviště	N	N;NOM;NEUT;SG;POS
pentas	stage	pentas	stát	N	N;NOM;MASC;SG;POS
antarmuka	rozhraní	antarmuka	rozhraní	N;SG	N;NOM;NEUT;SG;POS
antarmuka	rozhraní	antarmuka	rozhraní	N;SG	N;NOM;NEUT;SG;POS
diagram	diagram	diagram	diagram	N;SG	N;INAN;NOM;MASC;SG;POS
diagram	schéma	diagram	schéma	N;SG	N;NOM;NEUT;SG;POS
diagram	diagram	diagram	diagram	N;SG	N;INAN;NOM;MASC;SG;POS
diagram	tabulka	diagram	tabulka	N;SG	N;NOM;FEM;SG;POS
diagram	schéma	diagram	schéma	N;SG	N;NOM;NEUT;SG;POS
diagram	graf	diagram	graf	N;SG	N;INAN;NOM;MASC;SG;POS
tempuh	emilia	tempuh	emilium	N;SG;ACT	N;NOM;FEM;SG;POS
elektro	elektro	elektro	elektro	N;SG	N;NOM;NEUT;SG;POS
sandi	heslo	sandi	heslo	N;SG	N;NOM;NEUT;SG;POS
sandi	šifra	sandi	šifr	N;SG	N;NOM;FEM;SG;POS
administrator	správce	administrator	správce	N;SG	N;ANIM;NOM;MASC;SG;POS
mewarisi	zdědí	menwarisi	zdědit	V;SG;ACT	V;PFV;IND;SG;3;POS;PRS;FIN;ACT
mewarisi	zdědí	menwarisi	zdědit	V;SG;ACT	V;PFV;IND;SG;3;POS;PRS;FIN;ACT
mewarisi	zdědil	menwarisi	zdědit	V;SG;ACT	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
lutheran	luterán	lutheran	luterán	N	N;INAN;NOM;MASC;SG;POS
kental	viskózní	kental	viskózní	ADJ;SG	ADJ;NOM;FEM;SG;POS
susah	tvrdá	susah	tvrdý	ADJ;SG	ADJ;NOM;FEM;SG;POS
susah	tvrdé	susah	tvrdý	ADJ;SG	ADJ;NOM;NEUT;SG;POS
susah	těžké	susah	těžký	ADJ;SG	ADJ;NOM;NEUT;SG;POS
susah	tvrdý	susah	tvrdý	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
susah	obtížné	susah	obtížný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
susah	obtížná	susah	obtížný	ADJ;SG	ADJ;NOM;FEM;SG;POS
susah	obtížný	susah	obtížný	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
dilepaskan	oddělit	dilepaskan	oddělit	V;SG;PASS	V;PFV;POS;NFIN
penomoran	číslování	pennomoran	číslování	N;SG	N;NOM;NEUT;SG;POS
mediterania	středomoří	mediterania	středomoří	N;SG	N;NOM;NEUT;SG;POS
