com	مع	com	مَعَ	ADP	ADP;ACC
nova	جديدة	novo	جَدِيد	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
nova	الجديد	novo	جَدِيد	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
álbum	الالبوم	álbum	أَلبُوم	N;MASC;SG	N;NOM;DEF;SG
junho	حزيران	junho	حَزِيرَان	N;MASC;SG	N;NOM;INDF;SG
junho	يونيو	junho	يُونِيُو	N;MASC;SG	N;GEN;INDF;SG
contra	ضد	contra	ضِدَّ	ADP	ADP;ACC
tempo	الجو	tempo	جَوّ	N;MASC;SG	N;NOM;DEF;SG
tempo	الطقس	tempo	طَقس	N;MASC;SG	N;NOM;DEF;SG
tempo	طقس	tempo	طَقس	N;MASC;SG	N;NOM;INDF;SG
tempo	وقت	tempo	وَقت	N;MASC;SG	N;NOM;INDF;SG
tempo	الزمن	tempo	زَمَن	N;MASC;SG	N;NOM;DEF;SG
tempo	الوقت	tempo	وَقت	N;MASC;SG	N;NOM;DEF;SG
tempo	زمن	tempo	زَمَن	N;MASC;SG	N;NOM;INDF;SG
tempo	الزمان	tempo	زَمَان	N;MASC;SG	N;NOM;DEF;SG
dezembro	ديسمبر	dezembro	دِيسَمبِر	N;MASC;SG	N;GEN;INDF;SG
dezembro	ديسمبر	dezembro	دِيسَمبِر	N;MASC;SG	N;GEN;INDF;SG
fevereiro	فبراير	fevereiro	فِبرَايِر	N;MASC;SG	N;GEN;INDF;SG
fevereiro	شباط	fevereiro	شُبَاط	N;MASC;SG	N;NOM;INDF;SG
fevereiro	فبراير	fevereiro	فِبرَايِر	N;MASC;SG	N;GEN;INDF;SG
forma	شكل	forma	شَكل	N;FEM;SG	N;NOM;INDF;SG
forma	الشكل	forma	شَكل	N;FEM;SG	N;NOM;DEF;SG
forma	شكل	forma	شَكل	N;FEM;SG	N;NOM;INDF;SG
forma	الشكل	forma	شَكل	N;FEM;SG	N;NOM;DEF;SG
forma	استمارة	forma	اِستِمَارَة	N;FEM;SG	N;NOM;INDF;SG
forma	النموذج	forma	نَمُوذَج	N;FEM;SG	N;NOM;DEF;SG
novembro	نوفمبر	novembro	نُوفِمبِر	N;MASC;SG	N;GEN;INDF;SG
então	اذن	então	إِذَن	ADV	ADV
principal	رئيسية	principal	رَئِيسِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
principal	الرئيسية	principal	رَئِيسِيّ	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
três	ثلاثة	três	ثَلَاثَة	NUM	NUM;NOM;INDF;MASC
três	ثلاث	três	ثَلَاثَة	NUM	NUM;NOM;INDF;FEM
série	مسلسل	série	مُسَلسَل	N;FEM;SG	N;NOM;INDF;SG
série	سلسلة	série	سِلسِلَة	N;FEM;SG	N;NOM;INDF;SG
série	السلسلة	série	سِلسِلَة	N;FEM;SG	N;NOM;DEF;SG
final	نهاية	final	نِهَايَة	N;MASC;SG	N;NOM;INDF;SG
final	النهاية	final	نِهَايَة	N;MASC;SG	N;NOM;DEF;SG
final	نهائي	final	نِهَائِيّ	N;MASC;SG	N;NOM;INDF;SG
desde	منذ	desde	مُنذُ	ADP	ADP
história	قصة	história	قِصَّة	N;FEM;SG	N;NOM;INDF;SG
história	حكاية	história	حِكَايَة	N;FEM;SG	N;NOM;INDF;SG
história	القصة	história	قِصَّة	N;FEM;SG	N;NOM;DEF;SG
história	التاريخ	história	تَارِيخ	N;FEM;SG	N;NOM;DEF;SG
história	تاريخ	história	تَارِيخ	N;FEM;SG	N;NOM;INDF;SG
filme	الفيلم	filme	فِيلم	N;MASC;SG	N;NOM;DEF;SG
filme	فيلم	filme	فِيلم	N;MASC;SG	N;NOM;INDF;SG
filme	الفلم	filme	فَلَّم	N;MASC;SG	N;NOM;DEF;SG
filme	الفيلم	filme	فِيلم	N;MASC;SG	N;NOM;DEF;SG
filme	فيلم	filme	فِيلم	N;MASC;SG	N;NOM;INDF;SG
duas	اثنين	dois	اِثنَان	NUM	NUM;NOM;INDF;MASC
duas	اثنتان	dois	اِثنَان	NUM	NUM;NOM;INDF;FEM
guerra	حرب	guerra	حَرب	N;FEM;SG	N;NOM;INDF;SG
guerra	الحرب	guerra	حَرب	N;FEM;SG	N;NOM;DEF;SG
estados	دول	estado	دَولَة	N;MASC;PL	N;NOM;INDF;PL
estados	الولايات	estado	وِلَايَة	N;MASC;PL	N;NOM;DEF;PL
estados	الدول	estado	دَولَة	N;MASC;PL	N;NOM;DEF;PL
mundo	عالم	mundo	عَالَم	N;MASC;SG	N;NOM;INDF;SG
mundo	الدنيا	mundo	دِنِّيَا	N;MASC;SG	N;NOM;DEF;SG
mundo	العالم	mundo	عَالَم	N;MASC;SG	N;NOM;DEF;SG
banda	فرقة	banda	فِرقَة	N;FEM;SG	N;NOM;INDF;SG
banda	الفرقة	banda	فِرقَة	N;FEM;SG	N;NOM;DEF;SG
gols	اهداف	gol	هَدَف	N;MASC;PL	N;NOM;INDF;PL
gols	الاهداف	gol	هَدَف	N;MASC;PL	N;NOM;DEF;PL
gols	الغايات	gol	غَايَة	N;MASC;PL	N;NOM;DEF;PL
nacional	وطنية	nacional	وَطَنِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
nacional	وطني	nacional	وَطَنِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
jogos	المباريات	jogo	مُبَارَاة	N;MASC;PL	N;NOM;DEF;PL
jogos	الالعاب	jogo	لَعب	N;MASC;PL	N;NOM;DEF;PL
jogos	مباريات	jogo	مُبَارَاة	N;MASC;PL	N;NOM;INDF;PL
center	المركز	center	مَركَز	N;MASC;SG	N;NOM;DEF;SG
center	المنتصف	center	مُنتَصَف	N;MASC;SG	N;NOM;DEF;SG
center	الوسط	center	وَسط	N;MASC;SG	N;NOM;DEF;SG
center	مركز	center	مَركَز	N;MASC;SG	N;NOM;INDF;SG
vida	الحياة	vida	حَيَاة	N;FEM;SG	N;NOM;DEF;SG
vida	الحياه	vida	حِيَاه	N;FEM;SG	N;NOM;DEF;SG
vida	حياة	vida	حَيَاة	N;FEM;SG	N;NOM;INDF;SG
país	بلد	país	بَلَد	N;MASC;SG	N;NOM;INDF;SG
país	البلد	país	بَلَد	N;MASC;SG	N;NOM;DEF;SG
eles	هم	eles	هُوَ	PRO;NOM;MASC;PL;3	PRO;NOM;MASC;PL;3
eles	هم	eles	هُوَ	PRO;NOM;MASC;PL;3	PRO;NOM;MASC;PL;3
música	موسيقى	música	مُوسِيقِيّ	N;FEM;SG	N;NOM;INDF;SG
música	موسيقي	música	مُوسِيقِيّ	N;FEM;SG	N;NOM;INDF;SG
música	الموسيقى	música	الموسيقى	N;FEM;SG	N;NOM;DEF;SG
página	صفحة	página	صَفحَة	N;FEM;SG	N;NOM;INDF;SG
página	الصفحة	página	صَفحَة	N;FEM;SG	N;NOM;DEF;SG
dias	الايام	dia	يَوم	N;MASC;PL	N;NOM;DEF;PL
dias	ايام	dia	يَوم	N;MASC;PL	N;NOM;INDF;PL
campeonato	البطولة	campeonato	بُطُولَة	N;MASC;SG	N;NOM;DEF;SG
campeonato	بطولة	campeonato	بُطُولَة	N;MASC;SG	N;NOM;INDF;SG
município	البلدية	município	بَلَدِيَّة	N;MASC;SG	N;NOM;DEF;SG
município	بلدية	município	بَلَدِيَّة	N;MASC;SG	N;NOM;INDF;SG
clube	النادي	clube	نَادِي	N;MASC;SG	N;NOM;DEF;SG
clube	ناد	clube	نَادِي	N;MASC;SG	N;NOM;INDF;SG
novo	جديد	novo	جَدِيد	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
novo	جديدة	novo	جَدِيد	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
novo	الجديد	novo	جَدِيد	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
segunda	ثانيا	segundo	ثَانِي	ADJ;FEM;SG	ADJ;ACC;INDF;MASC;SG
segunda	الثاني	segundo	ثَانِي	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
segunda	الثانية	segundo	ثَانِي	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
pessoas	اشخاص	pessoa	شَخص	N;FEM;PL	N;NOM;INDF;PL
pessoas	اناس	pessoa	اناس	N;FEM;PL	N;NOM;INDF;PL
pessoas	الاشخاص	pessoa	شَخص	N;FEM;PL	N;NOM;DEF;PL
pessoas	الناس	pessoa	إِنسَان	N;FEM;PL	N;NOM;DEF;PL
presidente	رئيس	presidente	رَئِيس	N;MASC;SG	N;NOM;INDF;SG
presidente	الرئيس	presidente	رَئِيس	N;MASC;SG	N;NOM;DEF;SG
presidente	الرئيس	presidente	رَئِيس	N;MASC;SG	N;NOM;DEF;SG
caso	القضية	caso	قَضِيَّة	N;MASC;SG	N;NOM;DEF;SG
caso	حالة	caso	حَالَة	N;MASC;SG	N;NOM;INDF;SG
caso	قضية	caso	قَضِيَّة	N;MASC;SG	N;NOM;INDF;SG
caso	الحالة	caso	حَالَة	N;MASC;SG	N;NOM;DEF;SG
jogo	لعبة	jogo	لُعبَة	N;MASC;SG	N;NOM;INDF;SG
jogo	مباراة	jogo	مُبَارَاة	N;MASC;SG	N;NOM;INDF;SG
jogo	المباراة	jogo	مُبَارَاة	N;MASC;SG	N;NOM;DEF;SG
jogo	اللعبة	jogo	لَعبَة	N;MASC;SG	N;NOM;DEF;SG
sistema	نظام	sistema	نِظَام	N;MASC;SG	N;NOM;INDF;SG
sistema	النظام	sistema	نِظَام	N;MASC;SG	N;NOM;DEF;SG
sistema	المنظومة	sistema	مَنظُومَة	N;MASC;SG	N;NOM;DEF;SG
americano	الامريكي	americano	أَمرِيكِيّ	N;MASC;SG	N;NOM;DEF;SG
período	الفترة	período	فَترَة	N;MASC;SG	N;NOM;DEF;SG
período	فترة	período	فَترَة	N;MASC;SG	N;NOM;INDF;SG
século	قرن	século	قَرن	N;MASC;SG	N;NOM;INDF;SG
século	القرن	século	قَرن	N;MASC;SG	N;NOM;DEF;SG
título	اللقب	título	لَقَب	N;MASC;SG	N;NOM;DEF;SG
título	العنوان	título	عُنوَان	N;MASC;SG	N;NOM;DEF;SG
título	عنوان	título	عُنوَان	N;MASC;SG	N;NOM;INDF;SG
casa	المنزل	casa	مَنزِل	N;FEM;SG	N;NOM;DEF;SG
casa	منزل	casa	مَنزِل	N;FEM;SG	N;NOM;INDF;SG
casa	البيت	casa	بَيت	N;FEM;SG	N;NOM;DEF;SG
casa	المنزل	casa	مَنزِل	N;FEM;SG	N;NOM;DEF;SG
casa	الوطن	casa	وَطَن	N;FEM;SG	N;NOM;DEF;SG
casa	منزل	casa	مَنزِل	N;FEM;SG	N;NOM;INDF;SG
casa	البيت	casa	بَيت	N;FEM;SG	N;NOM;DEF;SG
lugar	مكان	lugar	مَكَان	N;MASC;SG	N;NOM;INDF;SG
lugar	المكان	lugar	مَكَان	N;MASC;SG	N;NOM;DEF;SG
oficial	رسمي	oficial	رَسمِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
oficial	الرسمي	oficial	رَسمِيّ	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
oficial	رسمية	oficial	رَسمِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
oficial	ضابطة	oficial	ضَابِط	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
vezes	اوقات	vez	وَقت	N;MASC;PL	N;NOM;INDF;PL
vezes	المرات	vez	مَرَّة	N;MASC;PL	N;NOM;DEF;PL
vezes	مرات	vez	مَرَّة	N;MASC;PL	N;NOM;INDF;PL
vezes	الاوقات	vez	وَقت	N;MASC;PL	N;NOM;DEF;PL
filho	الابن	filho	اِبن	N;MASC;SG	N;NOM;DEF;SG
governo	الحكومة	governo	حُكُومَة	N;MASC;SG	N;NOM;DEF;SG
governo	حكومة	governo	حُكُومَة	N;MASC;SG	N;NOM;INDF;SG
artigos	مقالات	artigo	مَقَالَة	N;MASC;PL	N;NOM;INDF;PL
artigos	المقالات	artigo	المقالات	N;MASC;PL	N;NOM;DEF;PL
artigos	الاصناف	artigo	إِصنَاف	N;MASC;PL	N;NOM;DEF;PL
artigos	عناصر	artigo	عُنصُر	N;MASC;PL	N;NOM;INDF;PL
artigos	بنود	artigo	بَند	N;MASC;PL	N;NOM;INDF;PL
artigos	البنود	artigo	بَند	N;MASC;PL	N;NOM;DEF;PL
artigos	العناصر	artigo	عُنصُر	N;MASC;PL	N;NOM;DEF;PL
distrito	المنطقة	distrito	مِنطَقَة	N;MASC;SG	N;NOM;DEF;SG
distrito	المقاطعة	distrito	مُقَاطَعَة	N;MASC;SG	N;NOM;DEF;SG
distrito	منطقة	distrito	مِنطَقَة	N;MASC;SG	N;NOM;INDF;SG
local	مكان	local	مَكَان	N;MASC;SG	N;NOM;INDF;SG
local	المكان	local	مَكَان	N;MASC;SG	N;NOM;DEF;SG
local	المكان	local	مَكَان	N;MASC;SG	N;NOM;DEF;SG
trabalho	الوظيفة	trabalho	وَظِيفَة	N;MASC;SG	N;NOM;DEF;SG
trabalho	وظيفة	trabalho	وَظِيفَة	N;MASC;SG	N;NOM;INDF;SG
trabalho	الشغل	trabalho	شُغل	N;MASC;SG	N;NOM;DEF;SG
trabalho	عمل	trabalho	عَمَل	N;MASC;SG	N;NOM;INDF;SG
trabalho	العمل	trabalho	عَمَل	N;MASC;SG	N;NOM;DEF;SG
trabalho	عمل	trabalho	عَمَل	N;MASC;SG	N;NOM;INDF;SG
acordo	اتفاق	acordo	اِتِّفَاق	N;MASC;SG	N;NOM;INDF;SG
acordo	الاتفاق	acordo	اِتِّفَاق	N;MASC;SG	N;NOM;DEF;SG
acordo	ترتيب	acordo	تَرتِيب	N;MASC;SG	N;NOM;INDF;SG
acordo	الترتيب	acordo	تَرتِيب	N;MASC;SG	N;NOM;DEF;SG
número	عدد	número	عَدَد	N;MASC;SG	N;NOM;INDF;SG
número	العدد	número	عَدَد	N;MASC;SG	N;NOM;DEF;SG
número	الرقم	número	رَقم	N;MASC;SG	N;NOM;DEF;SG
número	رقم	número	رَقم	N;MASC;SG	N;NOM;INDF;SG
terra	الارض	terra	أَرض	N;FEM;SG	N;NOM;DEF;SG
terra	الارض	terra	أَرض	N;FEM;SG	N;NOM;DEF;SG
gênero	النوع	gênero	نَوع	N;MASC;SG	N;NOM;DEF;SG
igreja	كنيسة	igreja	كَنِيسَة	N;FEM;SG	N;NOM;INDF;SG
igreja	الكنيسة	igreja	كَنِيسَة	N;FEM;SG	N;NOM;DEF;SG
universidade	جامعة	universidade	جَامِعَة	N;FEM;SG	N;NOM;INDF;SG
universidade	الجامعة	universidade	جَامِعَة	N;FEM;SG	N;NOM;DEF;SG
universidade	كلية	universidade	كُلِّيَّة	N;FEM;SG	N;NOM;INDF;SG
universidade	الكلية	universidade	كُلِّيَّة	N;FEM;SG	N;NOM;DEF;SG
universidade	الجامعة	universidade	جَامِعَة	N;FEM;SG	N;NOM;DEF;SG
centro	المركز	centro	مَركَز	N;MASC;SG	N;NOM;DEF;SG
centro	المنتصف	centro	مُنتَصَف	N;MASC;SG	N;NOM;DEF;SG
centro	الوسط	centro	وَسط	N;MASC;SG	N;NOM;DEF;SG
centro	مركز	centro	مَركَز	N;MASC;SG	N;NOM;INDF;SG
centro	المركز	centro	مَركَز	N;MASC;SG	N;NOM;DEF;SG
centro	مركز	centro	مَركَز	N;MASC;SG	N;NOM;INDF;SG
início	بداية	início	بِدَايَة	N;MASC;SG	N;NOM;INDF;SG
início	البداية	início	بِدَايَة	N;MASC;SG	N;NOM;DEF;SG
início	بدء	início	بَدء	N;MASC;SG	N;NOM;INDF;SG
início	بداية	início	بِدَايَة	N;MASC;SG	N;NOM;INDF;SG
início	البداية	início	بِدَايَة	N;MASC;SG	N;NOM;DEF;SG
tipo	نوع	tipo	نَوع	N;MASC;SG	N;NOM;INDF;SG
tipo	النوع	tipo	نَوع	N;MASC;SG	N;NOM;DEF;SG
tipo	نوع	tipo	نَوع	N;MASC;SG	N;NOM;INDF;SG
santa	قديس	santo	قِدِّيس	N;FEM;SG	N;NOM;INDF;SG
santa	القديس	santo	قِدِّيس	N;FEM;SG	N;NOM;DEF;SG
conhecido	المعروفة	conhecido	مَعرُوف	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
conhecido	معلوم	conhecido	مَعلُوم	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
conhecido	معروف	conhecido	مَعرُوف	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
conhecido	معروفة	conhecido	مَعرُوف	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
conhecido	المعروف	conhecido	مَعرُوف	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
esse	هذا	esse	هٰذَا	DET;MASC;SG	DET;NOM;MASC;SG
esse	هذه	esse	هٰذَا	DET;MASC;SG	DET;NOM;FEM;SG
canção	الاغنية	canção	أَغنِيّ	N;FEM;SG	N;NOM;DEF;SG
canção	اغنية	canção	أَغنِيّ	N;FEM;SG	N;NOM;INDF;SG
edição	الطبعة	edição	طَبعَة	N;FEM;SG	N;NOM;DEF;SG
edição	اصدار	edição	إِصدَار	N;FEM;SG	N;NOM;INDF;SG
edição	طبعة	edição	طبعة	N;FEM;SG	N;NOM;INDF;SG
edição	الاصدار	edição	إِصدَار	N;FEM;SG	N;NOM;DEF;SG
edição	التعديل	edição	تَعدِيل	N;FEM;SG	N;NOM;DEF;SG
