sonra	اذن	sonra	إِذَن	ADV	ADV
küçük	صغير	küçük	صَغِير	ADJ	ADJ;NOM;INDF;MASC;SG
küçük	صغيرة	küçük	صَغِير	ADJ	ADJ;NOM;INDF;FEM;SG
küçük	قليل	küçük	قَلِيل	ADJ	ADJ;NOM;INDF;MASC;SG
kabul	القبول	kabul	قُبُول	N;NOM;SG;3	N;NOM;DEF;SG
kabul	قبول	kabul	قُبُول	N;NOM;SG;3	N;NOM;INDF;SG
kabul	قبول	kabul	قُبُول	N;NOM;SG;3	N;NOM;INDF;SG
devam	مواصلة	devam	مُوَاصَلَة	N;NOM;SG;3	N;NOM;INDF;SG
devam	الاستمرار	devam	اِستِمرَار	N;NOM;SG;3	N;NOM;DEF;SG
devam	تواصل	devam	تَوَاصُل	N;NOM;SG;3	N;NOM;INDF;SG
kupası	كوب	kupa	كُوب	N;NOM;SG;3	N;NOM;INDF;SG
kupası	فنجان	kupa	فنجان	N;NOM;SG;3	N;NOM;INDF;SG
kupası	الكوب	kupa	كُوب	N;NOM;SG;3	N;NOM;DEF;SG
okulu	مدرسة	okul	مَدرَسَة	N;NOM;SG;3	N;NOM;INDF;SG
okulu	المدرسة	okul	مَدرَسَة	N;NOM;SG;3	N;NOM;DEF;SG
aldı	اخذ	al	أَخذ	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;3;ACT
aldı	اخذت	al	أَخَذ	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;3;ACT
aldı	استقبل	al	اِستَقبَل	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;3;ACT
aldı	تلقت	al	تَلَقَّى	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;3;ACT
aldı	وردت	al	وَرَد	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;3;ACT
farklı	مختلف	farklı	مُختَلِف	ADJ	ADJ;NOM;INDF;MASC;SG
farklı	مختلفة	farklı	مُختَلِف	ADJ	ADJ;NOM;INDF;FEM;SG
farklı	مختلفا	farklı	مُختَلِف	ADJ	ADJ;ACC;INDF;MASC;SG
farklı	مختلفين	farklı	مُختَلِف	ADJ	ADJ;ACC;INDF;MASC;PL
özel	حصرية	özel	حصرية	ADJ	ADJ;NOM;INDF;FEM;SG
özel	حصريا	özel	حِصرِيّ	ADJ	ADJ;ACC;INDF;MASC;SG
özel	الخاص	özel	خَاصّ	ADJ	ADJ;NOM;DEF;MASC;SG
özel	الخاصة	özel	خَاصّ	ADJ	ADJ;NOM;DEF;FEM;SG
özel	خاص	özel	خَاصّ	ADJ	ADJ;NOM;INDF;MASC;SG
özel	خاصة	özel	خَاصّ	ADJ	ADJ;ACC;INDF;FEM;SG
özel	الخاص	özel	خَاصّ	ADJ	ADJ;NOM;DEF;MASC;SG
özel	خاص	özel	خَاصّ	ADJ	ADJ;NOM;INDF;MASC;SG
özel	مميز	özel	مُمَيَّز	ADJ	ADJ;NOM;INDF;MASC;SG
özel	خاصة	özel	خَاصّ	ADJ	ADJ;ACC;INDF;FEM;SG
özel	مخصص	özel	مُخَصَّص	ADJ	ADJ;NOM;INDF;MASC;SG
özel	مخصصة	özel	مُخَصَّص	ADJ	ADJ;NOM;INDF;FEM;SG
alanı	الميدان	alan	مَيدَان	N;NOM;SG;3	N;NOM;DEF;SG
alanı	حقل	alan	حقل	N;NOM;SG;3	N;NOM;INDF;SG
alanı	الحقل	alan	حَقل	N;NOM;SG;3	N;NOM;DEF;SG
alanı	ميدان	alan	مَيدَان	N;NOM;SG;3	N;NOM;INDF;SG
alanı	مساحة	alan	مِسَاحَة	N;NOM;SG;3	N;NOM;INDF;SG
alanı	المساحة	alan	مِسَاحَة	N;NOM;SG;3	N;NOM;DEF;SG
alanı	منطقة	alan	مِنطَقَة	N;NOM;SG;3	N;NOM;INDF;SG
alanı	المنطقة	alan	مِنطَقَة	N;NOM;SG;3	N;NOM;DEF;SG
uzun	طويلة	uzun	طَوِيل	ADJ	ADJ;NOM;INDF;FEM;SG
uzun	طويل	uzun	طَوِيل	ADJ	ADJ;NOM;INDF;MASC;SG
uzun	طويلا	uzun	طَوِيل	ADJ	ADJ;ACC;INDF;MASC;SG
uzun	طويلة	uzun	طَوِيل	ADJ	ADJ;NOM;INDF;FEM;SG
uzun	طويل	uzun	طَوِيل	ADJ	ADJ;NOM;INDF;MASC;SG
elektrik	الكهرباء	elektrik	كَهرَبَاء	N;NOM;SG;3	N;NOM;DEF;SG
elektrik	كهرباء	elektrik	كَهرَبَاء	N;NOM;SG;3	N;NOM;INDF;SG
elektrik	كهربائي	elektrik	كَهرَبَائِيّ	N;NOM;SG;3	N;NOM;INDF;SG
elektrik	كهربائي	elektrik	كَهرَبَائِيّ	N;NOM;SG;3	N;NOM;INDF;SG
kısa	قصيرة	kısa	قَصِير	ADJ	ADJ;NOM;INDF;FEM;SG
kısa	قصير	kısa	قَصِير	ADJ	ADJ;NOM;INDF;MASC;SG
kısa	مختصر	kısa	مُختَصِر	ADJ	ADJ;NOM;INDF;MASC;SG
kişi	شخص	kişi	شَخص	N;NOM;SG;3	N;NOM;INDF;SG
kişi	الشخص	kişi	شَخص	N;NOM;SG;3	N;NOM;DEF;SG
açıklama	وصف	açıkla	وَصَف	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;PFV;MASC;SG;3;ACT
el	اليد	el	يَد	N;NOM;SG;3	N;NOM;DEF;SG
el	يد	el	يَد	N;NOM;SG;3	N;NOM;INDF;SG
gol	بحيرة	gol	بُحَيرَة	N;NOM;SG;3	N;NOM;INDF;SG
gol	البحيرة	gol	بُحَيرَة	N;NOM;SG;3	N;NOM;DEF;SG
gol	المرمى	gol	مَرمَى	N;NOM;SG;3	N;NOM;DEF;SG
gol	هدف	gol	هَدَف	N;NOM;SG;3	N;NOM;INDF;SG
gol	الهدف	gol	هَدَف	N;NOM;SG;3	N;NOM;DEF;SG
gün	يوم	gün	يَوم	N;NOM;SG;3	N;NOM;INDF;SG
süre	وقت	süre	وَقت	N;NOM;SG;3	N;NOM;INDF;SG
süre	الزمن	süre	زَمَن	N;NOM;SG;3	N;NOM;DEF;SG
süre	الوقت	süre	وَقت	N;NOM;SG;3	N;NOM;DEF;SG
süre	زمن	süre	زَمَن	N;NOM;SG;3	N;NOM;INDF;SG
süre	الزمان	süre	زَمَان	N;NOM;SG;3	N;NOM;DEF;SG
süre	مدة	süre	مُدَّة	N;NOM;SG;3	N;NOM;INDF;SG
süre	المدة	süre	مُدَّة	N;NOM;SG;3	N;NOM;DEF;SG
eğitim	التدريب	eğitim	تَدرِيب	N;NOM;SG;3	N;NOM;DEF;SG
eğitim	تدريب	eğitim	تَدرِيب	N;NOM;SG;3	N;NOM;INDF;SG
eğitim	تعليم	eğitim	تَعلِيم	N;NOM;SG;3	N;NOM;INDF;SG
eğitim	التربية	eğitim	تَربِيَة	N;NOM;SG;3	N;NOM;DEF;SG
eğitim	التعليم	eğitim	تَعلِيم	N;NOM;SG;3	N;NOM;DEF;SG
kullanılan	استخدمت	kullan	اِستَخدَم	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;FEM;SG;3;PASS
görev	الواجب	görev	وَاجِب	N;NOM;SG;3	N;NOM;DEF;SG
görev	واجب	görev	وَاجِب	N;NOM;SG;3	N;NOM;INDF;SG
görev	المهمة	görev	مَهَمَّة	N;NOM;SG;3	N;NOM;DEF;SG
görev	الانتداب	görev	اِنتِدَاب	N;NOM;SG;3	N;NOM;DEF;SG
görev	التكليف	görev	تَكلِيف	N;NOM;SG;3	N;NOM;DEF;SG
görev	المهمة	görev	مَهَمَّة	N;NOM;SG;3	N;NOM;DEF;SG
görev	مهمة	görev	مَهَمَّة	N;NOM;SG;3	N;NOM;INDF;SG
görev	بعثة	görev	بَعثَة	N;NOM;SG;3	N;NOM;INDF;SG
görev	البعثة	görev	بَعثَة	N;NOM;SG;3	N;NOM;DEF;SG
ekonomisi	اقتصاد	ekonomi	اِقتِصَاد	N;NOM;SG;3	N;NOM;INDF;SG
ekonomisi	الاقتصاد	ekonomi	اِقتِصَاد	N;NOM;SG;3	N;NOM;DEF;SG
telefon	الهاتف	telefon	هَاتِف	N;NOM;SG;3	N;NOM;DEF;SG
telefon	الهاتف	telefon	هَاتِف	N;NOM;SG;3	N;NOM;DEF;SG
savaş	معركة	savaş	مَعرَكَة	N;NOM;SG;3	N;NOM;INDF;SG
savaş	المعركة	savaş	مَعرَكَة	N;NOM;SG;3	N;NOM;DEF;SG
savaş	حرب	savaş	حَرب	N;NOM;SG;3	N;NOM;INDF;SG
savaş	الحرب	savaş	حَرب	N;NOM;SG;3	N;NOM;DEF;SG
savaş	شجار	savaş	شَاجِر	N;NOM;SG;3	N;NOM;INDF;SG
savaş	قتال	savaş	قِتَال	N;NOM;SG;3	N;NOM;INDF;SG
savaş	القتال	savaş	قِتَال	N;NOM;SG;3	N;NOM;DEF;SG
kullanıcı	مستخدم	kullanıcı	مُستَخدَم	N;NOM;SG;3	N;NOM;INDF;SG
kullanıcı	المستخدم	kullanıcı	مُستَخدَم	N;NOM;SG;3	N;NOM;DEF;SG
kullanıcı	مستعمل	kullanıcı	مُستَعمَل	N;NOM;SG;3	N;NOM;INDF;SG
birliği	النقابة	birlik	نِقَابَة	N;NOM;SG;3	N;NOM;DEF;SG
birliği	نقابة	birlik	نِقَابَة	N;NOM;SG;3	N;NOM;INDF;SG
birliği	الاتحاد	birlik	اِتِّحَاد	N;NOM;SG;3	N;NOM;DEF;SG
maç	لعبة	maç	لُعبَة	N;NOM;SG;3	N;NOM;INDF;SG
maç	مباراة	maç	مُبَارَاة	N;NOM;SG;3	N;NOM;INDF;SG
maç	المباراة	maç	مُبَارَاة	N;NOM;SG;3	N;NOM;DEF;SG
maç	اللعبة	maç	لَعبَة	N;NOM;SG;3	N;NOM;DEF;SG
maç	المطابقة	maç	مُطَابَقَة	N;NOM;SG;3	N;NOM;DEF;SG
maç	مطابقة	maç	مُطَابَقَة	N;NOM;SG;3	N;NOM;INDF;SG
maç	مباراة	maç	مُبَارَاة	N;NOM;SG;3	N;NOM;INDF;SG
maç	المباراة	maç	مُبَارَاة	N;NOM;SG;3	N;NOM;DEF;SG
sıra	صف	sıra	صَفّ	N;NOM;SG;3	N;NOM;INDF;SG
teknik	فني	teknik	فَنِّيّ	ADJ	ADJ;NOM;INDF;MASC;SG
listesi	قائمة	liste	قَائِمَة	N;NOM;SG;3	N;NOM;INDF;SG
listesi	القائمة	liste	قَائِمَة	N;NOM;SG;3	N;NOM;DEF;SG
dört	اربع	dört	أَربَعَة	NUM	NUM;NOM;INDF;FEM
dört	اربعة	dört	أَربَعَة	NUM	NUM;NOM;INDF;MASC
stadyumu	استاد	stadyum	استاد	N;NOM;SG;3	N;NOM;INDF;SG
stadyumu	ملعب	stadyum	مَلعَب	N;NOM;SG;3	N;NOM;INDF;SG
stadyumu	الملعب	stadyum	مَلعَب	N;NOM;SG;3	N;NOM;DEF;SG
bar	الحانة	bar	حَانَة	N;NOM;SG;3	N;NOM;DEF;SG
bar	حانة	bar	حَانَة	N;NOM;SG;3	N;NOM;INDF;SG
bar	شريط	bar	شَرِيط	N;NOM;SG;3	N;NOM;INDF;SG
bar	البار	bar	بَار	N;NOM;SG;3	N;NOM;DEF;SG
bar	الحانة	bar	حَانَة	N;NOM;SG;3	N;NOM;DEF;SG
bar	حانة	bar	حَانَة	N;NOM;SG;3	N;NOM;INDF;SG
çünkü	لان	çünkü	لِأَنَّ	CONJ	CONJ
açık	واضح	açık	وَاضِح	ADJ	ADJ;NOM;INDF;MASC;SG
açık	واضحة	açık	وَاضِح	ADJ	ADJ;NOM;INDF;FEM;SG
açık	مفتوح	açık	مَفتُوح	ADJ	ADJ;NOM;INDF;MASC;SG
açık	مفتوحة	açık	مَفتُوح	ADJ	ADJ;ACC;INDF;FEM;SG
insan	شخص	insan	شَخص	N;NOM;SG;3	N;NOM;INDF;SG
insan	الشخص	insan	شَخص	N;NOM;SG;3	N;NOM;DEF;SG
insan	رجل	insan	رَجُل	N;NOM;SG;3	N;NOM;INDF;SG
insan	الرجل	insan	رَجُل	N;NOM;SG;3	N;NOM;DEF;SG
insan	انسان	insan	إِنسَان	N;NOM;SG;3	N;NOM;INDF;SG
insan	الانسان	insan	إِنسَان	N;NOM;SG;3	N;NOM;DEF;SG
stadyum	استاد	stadyum	استاد	N;NOM;SG;3	N;NOM;INDF;SG
stadyum	ملعب	stadyum	مَلعَب	N;NOM;SG;3	N;NOM;INDF;SG
stadyum	الملعب	stadyum	مَلعَب	N;NOM;SG;3	N;NOM;DEF;SG
an	اللحظة	an	لَحظَة	N;NOM;SG;3	N;NOM;DEF;SG
iş	الوظيفة	iş	وَظِيفَة	N;NOM;SG;3	N;NOM;DEF;SG
iş	وظيفة	iş	وَظِيفَة	N;NOM;SG;3	N;NOM;INDF;SG
iş	الشغل	iş	شُغل	N;NOM;SG;3	N;NOM;DEF;SG
iş	عمل	iş	عَمَل	N;NOM;SG;3	N;NOM;INDF;SG
iş	العمل	iş	عَمَل	N;NOM;SG;3	N;NOM;DEF;SG
iş	عمل	iş	عَمَل	N;NOM;SG;3	N;NOM;INDF;SG
iş	العمل	iş	عَمَل	N;NOM;SG;3	N;NOM;DEF;SG
iş	عمل	iş	عَمَل	N;NOM;SG;3	N;NOM;INDF;SG
bölümü	القسم	bölüm	قِسم	N;NOM;SG;3	N;NOM;DEF;SG
bölümü	قسم	bölüm	قِسم	N;NOM;SG;3	N;NOM;INDF;SG
bölümü	الفرع	bölüm	فَرع	N;NOM;SG;3	N;NOM;DEF;SG
bölümü	القسم	bölüm	قِسم	N;NOM;SG;3	N;NOM;DEF;SG
bölümü	قسم	bölüm	قِسم	N;NOM;SG;3	N;NOM;INDF;SG
bölümü	الادارة	bölüm	إِدَارَة	N;NOM;SG;3	N;NOM;DEF;SG
güzel	جميلة	güzel	جَمِيل	ADJ	ADJ;NOM;INDF;FEM;SG
güzel	خير	güzel	خَير	ADJ	ADJ;NOM;INDF;MASC;SG
güzel	جيد	güzel	جَيِّد	ADJ	ADJ;NOM;INDF;MASC;SG
güzel	جميلة	güzel	جَمِيل	ADJ	ADJ;NOM;INDF;FEM;SG
çocuk	ولد	çocuk	وَلَد	N;NOM;SG;3	N;NOM;INDF;SG
çocuk	صبي	çocuk	صبي	N;NOM;SG;3	N;NOM;INDF;SG
çocuk	الولد	çocuk	وَلَد	N;NOM;SG;3	N;NOM;DEF;SG
çocuk	فتى	çocuk	فَتَى	N;NOM;SG;3	N;NOM;INDF;SG
çocuk	الطفلة	çocuk	طِفلَة	N;NOM;SG;3	N;NOM;DEF;SG
çocuk	طفل	çocuk	طِفل	N;NOM;SG;3	N;NOM;INDF;SG
çocuk	طفلة	çocuk	طِفلَة	N;NOM;SG;3	N;NOM;INDF;SG
çocuk	الطفل	çocuk	طِفل	N;NOM;SG;3	N;NOM;DEF;SG
sinema	الفيلم	sine	فِيلم	N;NOM;SG;3	N;NOM;DEF;SG
sinema	فيلم	sine	فِيلم	N;NOM;SG;3	N;NOM;INDF;SG
sinema	الفلم	sine	فَلَّم	N;NOM;SG;3	N;NOM;DEF;SG
sinema	السينما	sine	سِينَمَا	N;NOM;SG;3	N;NOM;DEF;SG
ay	الشهر	ay	شَهر	N;NOM;SG;3	N;NOM;DEF;SG
ay	شهر	ay	شَهر	N;NOM;SG;3	N;NOM;INDF;SG
ay	القمر	ay	قَمَر	N;NOM;SG;3	N;NOM;DEF;SG
imparatorluğu	الامبراطورية	imparatorluk	الامبراطورية	N;NOM;SG;3	N;NOM;DEF;SG
imparatorluğu	امبراطورية	imparatorluk	امبراطورية	N;NOM;SG;3	N;NOM;INDF;SG
internet	الشبكة	internet	شَبَكَة	N;NOM;SG;3	N;NOM;DEF;SG
internet	الويب	internet	وَيب	N;NOM;SG;3	N;NOM;DEF;SG
tiyatro	المسرح	tiyatro	مَسرَح	N;NOM;SG;3	N;NOM;DEF;SG
tiyatro	مسرح	tiyatro	مَسرَح	N;NOM;SG;3	N;NOM;INDF;SG
tiyatro	المسرح	tiyatro	مَسرَح	N;NOM;SG;3	N;NOM;DEF;SG
tiyatro	مسرح	tiyatro	مَسرَح	N;NOM;SG;3	N;NOM;INDF;SG
kazandı	فاز	kazan	فَاز	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;3;ACT
karar	قرار	karar	قَرَار	N;NOM;SG;3	N;NOM;INDF;SG
karar	القرار	karar	قَرَار	N;NOM;SG;3	N;NOM;DEF;SG
tarih	موعد	tarih	مَوعِد	N;NOM;SG;3	N;NOM;INDF;SG
tarih	الموعد	tarih	مَوعِد	N;NOM;SG;3	N;NOM;DEF;SG
tarih	التاريخ	tarih	تَارِيخ	N;NOM;SG;3	N;NOM;DEF;SG
tarih	تاريخ	tarih	تَارِيخ	N;NOM;SG;3	N;NOM;INDF;SG
tarih	التاريخ	tarih	تَارِيخ	N;NOM;SG;3	N;NOM;DEF;SG
tarih	تاريخ	tarih	تَارِيخ	N;NOM;SG;3	N;NOM;INDF;SG
temel	اساسيات	temel	أَسَاسِيّ	ADJ	ADJ;NOM;INDF;FEM;PL
temel	اساسي	temel	أَسَاسِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
temel	اساسية	temel	أَسَاسِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
temel	الاساسية	temel	أَسَاسِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
ünlü	شهيرة	ünlü	شَهِيرَة	ADJ	ADJ;NOM;INDF;FEM;SG
ünlü	مشهور	ünlü	مَشهُور	ADJ	ADJ;NOM;INDF;MASC;SG
ünlü	شهير	ünlü	شَهِير	ADJ	ADJ;NOM;INDF;MASC;SG
ünlü	مشهورة	ünlü	مَشهُور	ADJ	ADJ;NOM;INDF;FEM;SG
bile	حتى	bile	حَتَّى	ADV	ADV
sosyal	اجتماعي	sosyal	اِجتِمَاعِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
sosyal	اجتماعية	sosyal	اِجتِمَاعِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
sosyal	الاجتماعية	sosyal	اِجتِمَاعِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
sosyal	الاجتماعي	sosyal	اِجتِمَاعِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
sosyal	اجتماعي	sosyal	اِجتِمَاعِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
geldi	وصل	gel	وَصَل	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;3;ACT
geldi	وصلت	gel	وَصَل	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;3;ACT
oy	التصويت	oy	تَصوِيت	N;NOM;SG;3	N;NOM;DEF;SG
oy	تصويت	oy	تَصوِيت	N;NOM;SG;3	N;NOM;INDF;SG
oy	التصويت	oy	تَصوِيت	N;NOM;SG;3	N;NOM;DEF;SG
oy	تصويت	oy	تَصوِيت	N;NOM;SG;3	N;NOM;INDF;SG
geniş	واسعا	geniş	وَاسِع	ADJ	ADJ;ACC;INDF;MASC;SG
geniş	واسعة	geniş	وَاسِع	ADJ	ADJ;NOM;INDF;FEM;SG
geniş	عريض	geniş	عَرِيض	ADJ	ADJ;NOM;INDF;MASC;SG
geniş	واسع	geniş	وَاسِع	ADJ	ADJ;NOM;INDF;MASC;SG
geniş	واسعة	geniş	وَاسِع	ADJ	ADJ;NOM;INDF;FEM;SG
geniş	عريض	geniş	عَرِيض	ADJ	ADJ;NOM;INDF;MASC;SG
geniş	واسع	geniş	وَاسِع	ADJ	ADJ;NOM;INDF;MASC;SG
geniş	كبيرة	geniş	كَبِير	ADJ	ADJ;NOM;INDF;FEM;SG
geniş	واسعة	geniş	وَاسِع	ADJ	ADJ;NOM;INDF;FEM;SG
geniş	واسع	geniş	وَاسِع	ADJ	ADJ;NOM;INDF;MASC;SG
ev	المنزل	ev	مَنزِل	N;NOM;SG;3	N;NOM;DEF;SG
ev	الوطن	ev	وَطَن	N;NOM;SG;3	N;NOM;DEF;SG
ev	منزل	ev	مَنزِل	N;NOM;SG;3	N;NOM;INDF;SG
ev	البيت	ev	بَيت	N;NOM;SG;3	N;NOM;DEF;SG
ev	المنزل	ev	مَنزِل	N;NOM;SG;3	N;NOM;DEF;SG
ev	منزل	ev	مَنزِل	N;NOM;SG;3	N;NOM;INDF;SG
ev	البيت	ev	بَيت	N;NOM;SG;3	N;NOM;DEF;SG
hareket	الحركة	hareket	حَرَكَة	N;NOM;SG;3	N;NOM;DEF;SG
hareket	حركة	hareket	حَرَكَة	N;NOM;SG;3	N;NOM;INDF;SG
hareket	التحرك	hareket	تَحَرُّك	N;NOM;SG;3	N;NOM;DEF;SG
hareket	تحرك	hareket	تَحَرُّك	N;NOM;SG;3	N;NOM;INDF;SG
hareket	الحركة	hareket	حَرَكَة	N;NOM;SG;3	N;NOM;DEF;SG
