정체성	identitas	정체성	identitas	N	N;SG
레일	rel	레일	rel	N	N
간격	kesenjangan	간격	kesenjangan	N	N;SG
간격	celah	간격	celah	N	N;SG
간격	interval	간격	interval	N	N
간격	jarak	간격	jarak	N	N;SG
간격	spasi	간격	spasi	N	N
간격	celah	간격	celah	N	N;SG
간격	kesenjangan	간격	kesenjangan	N	N;SG
포커	poker	포커	poker	N	N
커플	pasangan	커플	pasangan	N	N;SG
불안	kecemasan	불안	kecemasan	N	N;SG
불안	kegelisahan	불안	kegelisahan	N	N;SG
프린터	percetakan	프린터	percetakan	N	N;SG
프린터	pencetakan	프린터	pencetakan	N	N;SG
프린터	percetakan	프린터	percetakan	N	N;SG
프린터	pencetak	프린터	pencetak	N	N;SG
프린터	printer	프린터	printer	N	N
프린터	percetakan	프린터	percetakan	N	N;SG
프린터	pencetak	프린터	pencetak	N	N;SG
프린터	printer	프린터	printer	N	N
인문학	kemanusiaan	인문학	kemanusiaan	N	N;SG
인문학	humaniora	인문학	humaniora	N	N
양서류	amfibi	양서류	amfibi	N	N;SG
채소	sayuran	채소	sayuran	N	N;SG
채소	nabati	채소	nabati	N	N;SG
채소	sayur	채소	sayur	N	N;SG
채소	sayuran	채소	sayuran	N	N;SG
채소	sayur	채소	sayur	N	N;SG
문구	keterangan	문구	keterangan	N	N;SG
문구	teks	문구	teks	N	N;SG
문구	frase	문구	frase	N	N
문구	terjemahan	문구	terjemahan	N	N;SG
문구	frasa	문구	frasa	N	N
단층	patahan	단층	patahan	N	N;SG
도마뱀	kadal	도마뱀	kadal	N	N
도마뱀	kadal	도마뱀	kadal	N	N
이끼	lumut	이끼	lumut	N	N;SG
계몽	pencerahan	계몽	pencerahan	N	N;SG
소실	penghilangan	소실	penhilangan	N	N;SG
소실	hilangnya	소실	hilang	N	N;SG
직물	tekstil	직물	tekstil	N	N;SG
직물	kain	직물	kain	N	N;SG
직물	tekstil	직물	tekstil	N	N;SG
벽화	mural	벽화	mural	N	N;SG
벽화	mural	벽화	mural	N	N;SG
해명	klarifikasi	해명	klarifikasi	N	N;SG
신용	kredit	신용	kredit	N	N;SG
야채	sayuran	야채	sayuran	N	N;SG
야채	nabati	야채	nabati	N	N;SG
야채	sayur	야채	sayur	N	N;SG
야채	sayuran	야채	sayuran	N	N;SG
야채	sayur	야채	sayur	N	N;SG
렌더링	rendering	렌더링	rendering	N	N
렌더링	pencitraan	렌더링	pencitraan	N	N;SG
렌더링	render	렌더링	render	N	N
렌더링	render	렌더링	render	N	N
렌더링	pencitraan	렌더링	pencitraan	N	N;SG
적분	integral	적분	integral	N	N
청소	kebersihan	청소	kebersihan	N	N;SG
청소	pembersihan	청소	penbersihan	N	N;SG
청소	pembersih	청소	penbersih	N	N;SG
중등	sekunder	중등	sekunder	N	N;SG
발효	fermentasi	발효	fermentasi	N	N;SG
발효	fermentasi	발효	fermentasi	N	N;SG
코덱	codec	코덱	codec	N	N
코덱	codec	코덱	codec	N	N
경관	opsir	경관	opsir	N	N
경관	petugas	경관	petugas	N	N;SG
경관	perwira	경관	perwira	N	N;SG
경관	lansekap	경관	lansekap	N	N;SG
경관	landscape	경관	landscape	N	N
경관	lanskap	경관	lanskap	N	N;SG
퍼텐셜	potensi	퍼텐셜	potensi	N	N;SG
퍼텐셜	potensial	퍼텐셜	potensial	N	N;SG
생각하기	berpikir	생각+하+기	berpikir	V	V;SG;ACT
생각하기	pikirkan	생각+하+기	pikirkan	V	V;SG;ACT
수용체	reseptor	수용체	reseptor	N	N
매력	glamour	매력	glamour	N	N;SG
매력	glamor	매력	glamor	N	N;SG
매력	glamor	매력	glamor	N	N;SG
매력	pesona	매력	pesona	N	N;SG
태양광	surya	태양광	surya	N	N
벨트	sabuk	벨트	sabuk	N	N;SG
예의	etika	예의	etika	N	N;SG
예의	etiket	예의	etiket	N	N;SG
예의	kesopanan	예의	kesopanan	N	N;SG
예의	kesopanan	예의	kesopanan	N	N;SG
선구자	pionir	선구자	pionir	N	N
선구자	pelopor	선구자	pelopor	N	N;SG
받았습니다	diterima	받+았+습니다	diterima	V	V;SG;PASS
인플레이션	inflasi	인플레이션	inflasi	N	N;SG
인질	sandera	인질	sandera	N	N;SG
인질	sandera	인질	sandera	N	N;SG
생태	ekologi	생태	ekologi	N	N;SG
증언	saksi	증언	saksi	N	N;SG
증언	testimoni	증언	testimoni	N	N
증언	kesaksian	증언	kesaksian	N	N;SG
축하	perayaan	축하	penrayaan	N	N;SG
축하	perayaan	축하	penrayaan	N	N;SG
관세	pabean	관세	pabean	N	N;SG
관세	tarif	관세	tarif	N	N;SG
관세	tarifnya	관세	tarif	N	N;SG
스쿼시	labu	스쿼시	labu	N	N;SG
냉각	pendingin	냉각	pendingin	N	N;SG
냉각	pendinginan	냉각	pendinginan	N	N;SG
냉각	pendingin	냉각	pendingin	N	N;SG
냉각	pendinginan	냉각	pendinginan	N	N;SG
차단되었습니다	memblokir	차단+되+었+습니다	menblokir	V	V;SG;ACT
차단되었습니다	terblokir	차단+되+었+습니다	terblokir	V	V;SG;PASS
램프	lampu	램프	lampu	N	N;SG
램프	lampu	램프	lampu	N	N;SG
포격	pemboman	포격	penboman	N	N;SG
포격	pengeboman	포격	pengeboman	N	N
영화관	teater	영화관	teater	N	N
영화관	teater	영화관	teater	N	N
영화관	bioskop	영화관	bioskop	N	N
영화관	teater	영화관	teater	N	N
영화관	bioskop	영화관	bioskop	N	N
레지옹	legion	레지옹	legion	N	N
레지옹	legiun	레지옹	legiun	N	N;SG
풀기	mengekstrak	풀+기	menkekstrak	V	V;SG;ACT
풀기	memecahkan	풀+기	menpecahkan	V	V;SG;ACT
풀기	selesaikan	풀+기	selesaikan	V	V;SG;ACT
풀기	pecahkan	풀+기	pecahkan	V	V;SG;ACT
표본	sampel	표본	sampel	N	N;SG
표본	contoh	표본	contoh	N	N;SG
보내기	mengirim	보내+기	menkirim	V	V;SG;ACT
보내기	mengirimkan	보내+기	menkirimkan	V	V;SG;ACT
보내기	kirim	보내+기	kirim	V	V;SG;ACT
보내기	kirimkan	보내+기	kirimkan	V	V;SG;ACT
황소자리	taurus	황소자리	taurus	N	N;SG
위조	pemalsu	위조	penpalsu	N	N;SG
위조	pemalsuan	위조	penpalsuan	N	N;SG
위조	pemalsuan	위조	penpalsuan	N	N;SG
위조	pemalsuan	위조	penpalsuan	N	N;SG
인용된	dikutip	인용+되+ㄴ	dikutip	V	V;SG;PASS
패치	tambalan	패치	tambalan	N	N;SG
패치	tambalan	패치	tambalan	N	N;SG
탐험	penjelajah	탐험	penjelajah	N	N;SG
탐험	ekspedisi	탐험	ekspedisi	N	N
탐험	jelajah	탐험	jelajah	N	N;SG
탐험	penjelajahan	탐험	penjelajahan	N	N;SG
탐험	eksplorasi	탐험	eksplorasi	N	N;SG
탐험	penjelajah	탐험	penjelajah	N	N;SG
평형	keseimbangan	평형	keseimbangan	N	N;SG
자동화	otomatisasi	자동화	otomatisasi	N	N
매력적인	menawan	매력+적+이+ㄴ	mentawan	V	V;SG;ACT
강좌	kursus	강좌	kursus	N	N;SG
쿠키	kuki	쿠키	kuki	N	N;SG
쿠키	kue	쿠키	kue	N	N
쿠키	kuki	쿠키	kuki	N	N;SG
복잡도	kerumitan	복잡+도	kerumitan	N	N;SG
복잡도	kompleksitas	복잡+도	kompleksitas	N	N;SG
발명	penemuan	발명	pentemuan	N	N;SG
발명	penemu	발명	pentemu	N	N;SG
보좌관	ajudan	보좌관	ajudan	N	N;SG
편견	prasangka	편견	prasangka	N	N;SG
버퍼	sangga	버퍼	sangga	N	N
버퍼	penyangga	버퍼	pensangga	N	N;SG
버퍼	penyangga	버퍼	pensangga	N	N;SG
증인	saksi	증인	saksi	N	N;SG
증인	saksi	증인	saksi	N	N;SG
응답하라	tanggapi	응답+하+라	tanggapi	V	V;SG;ACT
응답하라	menanggapi	응답+하+라	mentanggapi	V	V;SG;ACT
이웃집	tetangga	이웃집	tetangga	N	N;SG
부서	departemen	부서	departemen	N	N;SG
노드	node	노드	node	N	N
노드	nodal	노드	nodal	N	N
노드	simpul	노드	simpul	N	N;SG
노드	noktah	노드	noktah	N	N;SG
노드	nodus	노드	nodus	N	N
노드	node	노드	node	N	N
노드	nodal	노드	nodal	N	N
박해	penganiayaan	박해	penaniayaan	N	N;SG
박해	fitnah	박해	fitnah	N	N;SG
박해	penindasan	박해	pentindasan	N	N;SG
발전기	generator	발전기	generator	N	N
발전기	generator	발전기	generator	N	N
욕구	keinginan	욕구	keinginan	N	N;SG
욕구	hasrat	욕구	hasrat	N	N;SG
욕구	keinginan	욕구	keinginan	N	N;SG
욕구	hasrat	욕구	hasrat	N	N;SG
흡혈귀	vampir	흡혈귀	vampir	N	N;SG
흡혈귀	vampire	흡혈귀	vampire	N	N
무엇이든	apalah	무엇+이든	apalah		
스케치	sketsa	스케치	sketsa	N	N;SG
스케치	sketsa	스케치	sketsa	N	N;SG
자극	stimulus	자극	stimulus	N	N;SG
자극	rangsangan	자극	rangsangan	N	N;SG
자극	stimulasi	자극	stimulasi	N	N;SG
자극	iritasi	자극	iritasi	N	N
역사학	historiografi	역사학	historiografi	N	N
평행	paralel	평행	paralel	N	N
장례	pemakaman	장례	penmakaman	N	N;SG
장례	penguburan	장례	penuburan	N	N;SG
장례	pemakaman	장례	penmakaman	N	N;SG
셔틀	shuttle	셔틀	shuttle	N	N
순교자	martir	순교자	martir	N	N
순교자	martir	순교자	martir	N	N
정밀	ketepatan	정밀	ketepatan	N	N;SG
정밀	presisi	정밀	presisi	N	N;SG
정밀	ketelitian	정밀	ketelitian	N	N;SG
모의	ejek	모의	ejek		
모의	mengejek	모의	menejek		
에이전시	agensi	에이전시	agensi	N	N;SG
에이전시	badan	에이전시	badan	N	N;SG
디렉터리	direktori	디렉터리	direktori	N	N;SG
디렉터리	direktori	디렉터리	direktori	N	N;SG
떨어지지	jatuh	떨어지+지	jatuh	V	V;SG;ACT
열정	antusiasme	열정	antusiasme	N	N;SG
열정	semangat	열정	semangat	N	N;SG
예배	adorasi	예배	adorasi	N	N
예배	ibadah	예배	ibadah	N	N;SG
파산	bangkrut	파산	bangkrut		;SG
배경색	background	배경색	background	N	N
배경색	latar	배경색	latar	N	N;SG
우울	depresi	우울	depresi	N	N;SG
우울	melankolis	우울	melankolis	N	N
클론	klon	클론	klon	N	N;SG
클론	kloning	클론	kloning	N	N;SG
클론	kloning	클론	kloning	N	N;SG
클론	klon	클론	klon	N	N;SG
교정	korektif	교정	korektif	N	N
교정	kalibrasi	교정	kalibrasi	N	N;SG
교정	koreksi	교정	koreksi	N	N;SG
변동이	variasi	변동+이	variasi	N	N;SG
장례식	pemakaman	장례식	penmakaman	N	N;SG
장학금	beasiswa	장학금	beasiswa	N	N;SG
장학금	beasiswa	장학금	beasiswa	N	N;SG
해석학	analisa	해석학	analisa	N	N;SG
해석학	analisis	해석학	analisis	N	N;SG
어디로	dimana	어디+로	dimana	ADV	ADV
소음	noise	소음	noise	N	N
소음	bising	소음	bising	N	N;SG
소음	kebisingan	소음	kebisingan	N	N;SG
소음	derau	소음	derau	N	N;SG
공백	spasi	공백	spasi	N	N
공백	spasi	공백	spasi	N	N
갇힌	terjebak	갇히+ㄴ	terjebak	V	V;SG;PASS
갇힌	terperangkap	갇히+ㄴ	terperangkap	V	V;SG;PASS
제조사	vendor	제조사	vendor	N	N;SG
제조사	manufaktur	제조사	manufaktur	N	N
제조사	produsen	제조사	produsen	N	N;SG
제조사	pabrikan	제조사	pabrikan	N	N;SG
응원	keceriaan	응원	keceriaan	N	N;SG
응원	cheerleader	응원	cheerleader	N	N
학대	pelecehan	학대	penlecehan	N	N;SG
학대	penyalahgunaan	학대	pensalahgunaan	N	N;SG
세계화	globalisasi	세계화	globalisasi	N	N
먹이	mangsanya	먹이	mangsa	N	N;SG
먹이	mangsa	먹이	mangsa	N	N
포위전	pengepungan	포위전	penkepungan	N	N;SG
포위전	kepung	포위전	kepung	N	N;SG;ACT
윤리학	etika	윤리학	etika	N	N;SG
통치자	penguasa	통치자	penkuasa	N	N;SG
통치자	penggaris	통치자	pengaris	N	N;SG
낚시	perikanan	낚시	perikanan	N	N;SG
기울여	memiringkan	기울이+어	menpiringkan	V	V;SG;ACT
호환성	kompatibilitas	호환성	kompatibilitas	N	N;SG
호환성	kesesuaian	호환성	kesesuaian	N	N;SG
전자공학	elektronika	전자공학	elektronika	N	N
전자공학	elektronik	전자공학	elektronik	N	N;SG
수익	pendapatan	수익	pendapatan	N	N;SG
수익	hasil	수익	hasil	N	N;SG
수익	pendapatan	수익	pendapatan	N	N;SG
수익	penghasilan	수익	penhasilan	N	N;SG
검토하기	tinjau	검토+하+기	tinjau	V	V;SG;ACT
검토하기	ulas	검토+하+기	ulas	V	V;SG;ACT
검토하기	meninjau	검토+하+기	mentinjau	V	V;SG;ACT
전구	bohlam	전구	bohlam	N	N
돌연변이	mutagen	돌연변+이	mutagen	N	N
돌연변이	mutant	돌연변+이	mutant	N	N
돌연변이	mutan	돌연변+이	mutan	N	N;SG
돌연변이	mutasi	돌연변+이	mutasi	N	N;SG
데이지	aster	데이지	aster	N	N;SG
무신론	ateisme	무신론	ateisme	N	N
무신론	atheis	무신론	atheis	N	N;SG
무신론	ateis	무신론	ateis	N	N;SG
무신론	ateis	무신론	ateis	N	N;SG
실험실	laboratorium	실험실	laboratorium	N	N
실험실	laboratorium	실험실	laboratorium	N	N
실험실	laboratorium	실험실	laboratorium	N	N
수렴	konvergensi	수렴	konvergensi	N	N;SG
관광객	wisatawan	관광객	wisatawan	N	N;MASC;SG
관광객	turis	관광객	turis	N	N;SG
관광객	wisatawan	관광객	wisatawan	N	N;MASC;SG
관광객	turis	관광객	turis	N	N;SG
도끼	kapak	도끼	kapak	N	N
도끼	kapak	도끼	kapak	N	N
재판소	sidang	재판소	sidang	N	N;SG
재판소	pengadilan	재판소	penadilan	N	N;SG
재판소	mahkamah	재판소	mahkamah	N	N;SG
상업용	komersil	상업용	komersil	N	N;SG
수영장	kolam	수영장	kolam	N	N;SG
이민자	imigran	이민자	imigran	N	N;SG
자발적	sukarela	자발+적	sukarela	N	N;SG
음악원	konservatori	음악원	konservatori	N	N;SG
스택	tumpuk	스택	tumpuk	N	N;SG;ACT
스택	stack	스택	stack	N	N
친구들이	teman	친구+들+이	teman	N	N;SG
재무	financial	재무	financial	N	N
재무	keuangan	재무	keuangan	N	N;SG
재무	keuangan	재무	keuangan	N	N;SG
재무	finance	재무	finance	N	N
인코딩	pengodean	인코딩	penodean	N	N;SG
인코딩	pengkodean	인코딩	pengkodean	N	N;SG
인코딩	penyandian	인코딩	pensandian	N	N;SG
화살	panah	화살	panah	N	N;SG
화살	panah	화살	panah	N	N;SG
심리학자	psikolog	심리학자	psikolog	N	N;SG
심리학자	psikologis	심리학자	psikologis	N	N;SG
섹션	daerah	섹션	daerah	N	N;SG
섹션	bagian	섹션	bagian	N	N;SG
섹션	seksi	섹션	seksi	N	N;SG
섹션	bagian	섹션	bagian	N	N;SG
구문	frase	구문	frase	N	N
구문	frasa	구문	frasa	N	N
구문	sintaks	구문	sintaks	N	N
구문	syntax	구문	syntax	N	N
무시	bubar	무시	bubar		
땅콩	kacang	땅콩	kacang	N	N;SG
땅콩	kacang	땅콩	kacang	N	N;SG
땅콩	mur	땅콩	mur	N	N;SG
땅콩	kacang	땅콩	kacang	N	N;SG
땅콩	kacang	땅콩	kacang	N	N;SG
대표자	perwakilan	대표자	perwakilan	N	N;SG
가끔은	terkadang	가끔+은	terkadang		
결제	pembayaran	결제	penbayaran	N	N;SG
결제	pembayaran	결제	penbayaran	N	N;SG
아름답다	cantik	아름답+다	cantik	ADJ	ADJ;SG
아름답다	indah	아름답+다	indah	ADJ	ADJ;SG
단자	penghubung	단자	penhubung	N	N;SG
단자	konektor	단자	konektor	N	N
역설	paradoks	역설	paradoks	N	N
역설	paradoks	역설	paradoks	N	N
불행한	disayangkan	불행+하+ㄴ	disayangkan	V	V;SG;PASS
폐기물	limbah	폐기물	limbah	N	N;SG
폐기물	pemborosan	폐기물	penborosan	N	N;SG
의사소통	komunikasi	의사+소통	komunikasi	N	N;SG
충전	tagihan	충전	tagihan	N	N;SG
충전	biaya	충전	biaya	N	N;SG
충전	tagih	충전	tagih	N	N;SG;ACT
충전	pengisian	충전	penisian	N	N;SG
임상	klinis	임상	klinis	N	N;SG
전세	piagam	전세	piagam	N	N;SG
터빈	turbin	터빈	turbin	N	N;SG
터빈	turbin	터빈	turbin	N	N;SG
사슴	kijang	사슴	kijang	N	N
사슴	rusa	사슴	rusa	N	N
존경하는	disegani	존경+하+는	disegani	V	V;SG;PASS
존경하는	dihormati	존경+하+는	dihormati	V	V;SG;PASS
하모니카	harmonika	하모니카	harmonika	N	N;SG
협동	kerjasama	협동	kerjasama	N	N;SG
나뭇잎	dedaunan	나뭇잎	dedaunan	N	N
나뭇잎	daun	나뭇잎	daun	N	N;SG
나뭇잎	daun	나뭇잎	daun	N	N;SG
현관	beranda	현관	beranda		
관습	pabean	관습	pabean	N	N;SG
관습	adat	관습	adat	N	N;SG
부상당한	terluka	부상+당하+ㄴ	terluka	V	V;SG;PASS
페널티	penalti	페널티	penalti	N	N;SG
페널티	pinalti	페널티	pinalti	N	N
합금	paduan	합금	paduan	N	N;SG
합금	paduan	합금	paduan	N	N;SG
수사관	penyelidik	수사관	penselidik	N	N;SG
수사관	investigator	수사관	investigator	N	N
죄수	tahanan	죄수	tahanan	N	N;SG
죄수	narapidana	죄수	narapidana	N	N
기증	donasi	기증	donasi	N	N;SG
기증	sumbangan	기증	sumbangan	N	N;SG
맬컴	malcolm	맬컴	malcolm	N	N
패킷	paket	패킷	paket	N	N;SG
패킷	paket	패킷	paket	N	N;SG
공학자	teknisi	공학자	teknisi	N	N;SG
공학자	insinyur	공학자	insinyur	N	N;SG
서킷	sirkuit	서킷	sirkuit	N	N;SG
결정하기	memutuskan	결정+하+기	menputuskan	V	V;SG;ACT
결정하기	tentukan	결정+하+기	tentukan	V	V;SG;ACT
결정하기	putuskan	결정+하+기	putuskan	V	V;SG;ACT
침묵	keheningan	침묵	keheningan	N	N;SG
침묵	sunyi	침묵	sunyi	N	N
침묵	keheningan	침묵	keheningan	N	N;SG
부등식	ketidaksetaraan	부등식	ketidaksetaraan	N	N;SG
여자들	wanita	여자+들	wanita	N	N;SG
여자들	perempuan	여자+들	perempuan	N	N;SG
융합	fusi	융합	fusi	N	N;SG
공구	perkakas	공구	perkakas	N	N;SG
공구	alat	공구	alat	N	N;SG
일자리	pekerjaan	일자리	pekerjaan	N	N;SG
아바타	avatar	아바타	avatar	N	N;SG
일시적	temporer	일시+적	temporer	N	N
마늘	bawang	마늘	bawang	N	N;SG
유머	humor	유머	humor	N	N;SG
유머	humor	유머	humor	N	N;SG
듀엣	duet	듀엣	duet	N	N
빈곤	kemiskinan	빈곤	kemiskinan	N	N;SG
생태계	ekosistem	생태계	ekosistem	N	N
생태계	ekosistem	생태계	ekosistem	N	N
듀티	kewajiban	듀티	kewajiban	N	N;SG
서스펜션	suspensi	서스펜션	suspensi	N	N;SG
서스펜션	penangguhan	서스펜션	pentangguhan	N	N;SG
서스펜션	skors	서스펜션	skors	N	N;SG
투자가	investor	투자+가	investor	N	N;SG
지배자	dominan	지배자	dominan	N	N;SG
퇴장	ejeksi	퇴장	ejeksi	N	N
각도	angle	각도	angle	N	N
각도	sudut	각도	sudut	N	N;SG
습지	rawa	습지	rawa	N	N;SG
습지	rawa	습지	rawa	N	N;SG
구두	sepatu	구두	sepatu	N	N;SG
점화	pengapian	점화	pengapian	N	N;SG
점화	penyalaan	점화	pensalaan	N	N;SG
마스터스	guru	마스터스	guru	N	N;SG
토양	tanah	토양	tanah	N	N;SG
토양	tanahnya	토양	tanah	N	N;SG
아론	harun	아론	harun		
신념	iman	신념	iman	N	N;SG
신념	keyakinan	신념	keyakinan	N	N;SG
신념	keimanan	신념	keimanan	N	N;SG
신념	kepercayaan	신념	kepercayaan	N	N;SG
신념	keyakinan	신념	keyakinan	N	N;SG
신념	kepercayaan	신념	kepercayaan	N	N;SG
신념	keyakinan	신념	keyakinan	N	N;SG
변조	modulasi	변조	modulasi	N	N;SG
복음	injil	복음	injil	N	N;SG
복음	bimbingan	복음	bimbingan	N	N;SG
우표	stempel	우표	stempel	N	N;SG
우표	cap	우표	cap	N	N
우표	perangko	우표	perangko	N	N
우표	prangko	우표	prangko	N	N;SG
우표	perangko	우표	perangko	N	N
우표	stempel	우표	stempel	N	N;SG
이온화	ionisasi	이온화	ionisasi	N	N;SG
소수점	desimal	소수점	desimal	N	N
소수점	desimal	소수점	desimal	N	N
타악기	perkusi	타악기	perkusi	N	N
저수지	waduk	저수+지	waduk	N	N;SG
저수지	waduk	저수+지	waduk	N	N;SG
관리하기	mengelola	관리+하+기	menkelola	V	V;SG;ACT
인터럽트	interupsi	인터럽트	interupsi	N	N;SG
인터럽트	interupsi	인터럽트	interupsi	N	N;SG
인터럽트	interupsi	인터럽트	interupsi	N	N;SG
반영	refleksi	반영	refleksi	N	N;SG
반영	cerminan	반영	cerminan	N	N;SG
반영	pantulan	반영	pantulan	N	N;SG
전시관	pameran	전시관	pameran	N	N;SG
암살자	assassins	암살자	assassins	N	N
암살자	pembunuh	암살자	penbunuh	N	N;SG
암살자	assasin	암살자	assasin	N	N
암살자	assassin	암살자	assassin	N	N
암살자	pembunuh	암살자	penbunuh	N	N;SG
세타	seta	세타	seta		
아나키즘	anarkisme	아나키즘	anarkisme	N	N;SG
입법부	legislatif	입법부	legislatif	N	N;SG
알칼리	alkali	알칼리	alkali	N	N;SG
헌장	piagam	헌장	piagam	N	N;SG
클러스터	kluster	클러스터	kluster	N	N;SG
클러스터	gugus	클러스터	gugus	N	N;SG
클러스터	cluster	클러스터	cluster	N	N
클러스터	kluster	클러스터	kluster	N	N;SG
클러스터	kelompok	클러스터	kelompok	N	N;SG
클러스터	cluster	클러스터	cluster	N	N
프록시	proksi	프록시	proksi	N	N;SG
프록시	proxy	프록시	proxy	N	N
프록시	proksi	프록시	proksi	N	N;SG
핵분열	fisi	핵분열	fisi	N	N;SG
궁수자리	sagitarius	궁수+자리	sagitarius	N	N
궁수자리	sagittarius	궁수+자리	sagittarius	N	N
서식	pemformatan	서식	penformatan	N	N;SG
추첨	imbang	추첨	imbang	N	N;SG
미학	estetika	미학	estetika	N	N
미학	alus	미학	alus	N	N;SG
미학	estetika	미학	estetika	N	N
물품	barangnya	물품	barang	N	N;SG
물품	barang	물품	barang	N	N;SG
물품	komoditi	물품	komoditi	N	N;SG
물품	komoditas	물품	komoditas	N	N;SG
그리기	menggambar	그리+기	mengambar	V	V;SG;ACT
그리기	menggambar	그리+기	mengambar	V	V;SG;ACT
용품	pasokan	용품	pasokan	N	N;SG
용품	perlengkapan	용품	perlengkapan	N	N;SG
