van	از	van	از	ADP	ADP
nog	هنوز	nog	هنوز	ADV	ADV
eerste	اول	één	اول	ADJ	ADJ
eerste	نخستین	één	نخستین	ADJ	ADJ;RL
haar	او	haar	او	PRO;ACC;3	PRO;SG;3
wel	خب	wel	خب	ADV	ADV
wel	خوب	wel	خوب	ADV	ADV
jaar	سال	jaar	سال	N;NEUT;SG	N;SG
jaar	سال	jaar	سال	N;NEUT;SG	N;SG
twee	دو	twee	دو	NUM	NUM
inwoners	ساکنین	inwoner	ساکنین	N;PL	N;PL
inwoners	یاران	inwoner	یار	N;PL	N;PL
deel	جزء	deel	جزء	N;NEUT;SG	N;SG
deel	قسمت	deel	قسمت	N;NEUT;SG	N;SG
deel	پارت	deel	پارت	N;NEUT;SG	N;SG
externe	خارجی	extern	خارجی	ADJ	ADJ
overleg	مشورت	overleg	مشورت	N;NEUT;SG	N;SG
overleg	مشاوره	overleg	مشاوره	N;NEUT;SG	N;SG
tussen	میان	tussen	میان	ADP	ADP
tussen	بین	tussen	بین	ADP	ADP
waar	کجا	waar	کجا	ADV	ADV
komt	آید	komen	آمد#آ	V;SG;PRS;FIN	V;SBJV;SG;3;PRS
tweede	دوم	twee	دوم	ADJ	ADJ
tweede	دومی	twee	None	ADJ	ADJ
geslacht	جنسیتی	geslacht	جنسیتی	N;NEUT;SG	N;SG
geslacht	جنسیت	geslacht	جنسیت	N;NEUT;SG	N;SG
geslacht	سکس	geslacht	سکس	N;NEUT;SG	N;SG
geslacht	جنسیت	geslacht	جنسیت	N;NEUT;SG	N;SG
geslacht	جنسی	geslacht	جنسی	N;NEUT;SG	N;SG
grote	بزرگ	groot	بزرگ	ADJ	ADJ
grote	درشت	groot	درشت	ADJ	ADJ
grote	بزرگ	groot	بزرگ	ADJ	ADJ
bar	b	bar	b	N;MASC+FEM;SG	N;SG
bar	میله	bar	میله	N;MASC+FEM;SG	N;SG
bar	بار	bar	بار	N;MASC+FEM;SG	N;SG
aantal	عدد	aantal	عدد	N;NEUT;SG	N;SG
aantal	شمارۀ	aantal	شمارۀ	N;NEUT;SG	N;SG
aantal	شماره	aantal	شماره	N;NEUT;SG	N;SG
nieuwe	نو	nieuw	نو	ADJ	ADJ
nieuwe	جدید	nieuw	جدید	ADJ	ADJ
zij	او	zij	او	PRO;NOM;3	PRO;SG;3
zij	ایشان	zij	ایشان	PRO;NOM;3	PRO;PL;3
jaren	سالهای	jaar	سال	N;PL	N;PL
jaren	سالها	jaar	سال	N;PL	N;PL
later	دیرتر	laat	دیر	ADJ;CMPR	ADJ;CMPR
artikel	مطلب	artikel	مطلب	N;NEUT;SG	N;SG
artikel	مقالۀ	artikel	مقالۀ	N;NEUT;SG	N;SG
artikel	مقاله	artikel	مقاله	N;NEUT;SG	N;SG
gebied	منطقه	gebied	منطقه	N;NEUT;SG	N;SG
gebied	زون	gebied	زون	N;NEUT;SG	N;SG
gebied	منطقه	gebied	منطقه	N;NEUT;SG	N;SG
gebied	مساحت	gebied	مساحت	N;NEUT;SG	N;SG
gebied	ناحیه	gebied	ناحیه	N;NEUT;SG	N;SG
hem	او	hem	او	PRO;ACC;3	PRO;SG;3
stad	قریه	stad	قریه	N;MASC+FEM;SG	N;SG
stad	شهر	stad	شهر	N;MASC+FEM;SG	N;SG
stad	شهرک	stad	شهرک	N;MASC+FEM;SG	N;SG
stad	شهری	stad	شهر	N;MASC+FEM;SG	N;SG
stad	شهر	stad	شهر	N;MASC+FEM;SG	N;SG
stad	سیتی	stad	سیتی	N;MASC+FEM;SG	N;SG
lijst	فهرست	lijst	فهرست	N;MASC+FEM;SG	N;SG
hier	اینجا	hier	اینجا	ADV	ADV;ESS
omdat	چون	omdat	چون	CONJ	CONJ
nederland	هلند	nederland	هلند	N;NEUT;SG	N;SG
jan	jan	jan	jan	N;MASC+FEM;SG	N;SG
jan	یان	jan	یان	N;MASC+FEM;SG	N;SG
tijd	زمان	tijd	زمان	N;MASC+FEM;SG	N;SG
tijd	تایم	tijd	تایم	N;MASC+FEM;SG	N;SG
daar	آنجا	daar	آنجا	ADV	ADV;ESS
drie	سه	drie	سه	NUM	NUM
vanaf	از	vanaf	از	ADP	ADP
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	N;SG
kwam	آمد	komen	آمد#آ	V;SG;PST;FIN	V;SG;3;PST
provincie	ولایت	provincie	ولایت	N;MASC+FEM;SG	N;SG
provincie	استان	provincie	استان	N;MASC+FEM;SG	N;SG
link	پیوند	link	پیوند	N;MASC+FEM;SG	N;SG
link	لینک	link	لینک	N;MASC+FEM;SG	N;SG
http	http	ht	http	N;MASC+FEM;SG	N;SG
alleen	تنها	alleen	تنها	ADV	ADV
alleen	تنها	alleen	تنها	ADV	ADV
eeuw	قرن	eeuw	قرن	N;MASC+FEM;SG	N;SG
eeuw	قرنه	eeuw	قرنه	N;MASC+FEM;SG	N;SG
eeuw	سده	eeuw	سده	N;MASC+FEM;SG	N;SG
vlinder	پروانه	vlinder	پروانه	N;MASC+FEM;SG	N;SG
keversoort	سوسک	keversoort	سوسک	N;MASC+FEM;SG	N;SG
bekend	معلوم	bekend	معلوم	ADJ	ADJ
bekend	آشنا	bekend	آشنا	ADJ	ADJ
club	باشگاه	club	باشگاه	N;MASC+FEM;SG	N;SG
club	چماق	club	چماق	N;MASC+FEM;SG	N;SG
club	کلاب	club	کلاب	N;MASC+FEM;SG	N;SG
club	کلوب	club	کلوب	N;MASC+FEM;SG	N;SG
club	کلوپ	club	کلوپ	N;MASC+FEM;SG	N;SG
laatste	واپسین	laat	واپسین	ADJ;RL	ADJ;RL
laatste	آخرین	laat	آخرین	ADJ;RL	ADJ;RL
laatste	اخرین	laat	اخرین	ADJ;RL	ADJ;RL
laatste	جدیدترین	laat	None	ADJ;RL	ADJ;RL
laatste	آخرین	laat	آخرین	ADJ;RL	ADJ;RL
samen	باهم	samen	باهم	ADV	ADV
één	یکی	één	یک	NUM	NUM
één	یک	één	یک	NUM	NUM
moet	باید	moeten	بایست#باید	V;SG;PRS;FIN	V;NFIN
amerikaanse	آمریکایی	amerikaans	آمریکایی	ADJ	ADJ
enkele	برخی	enkele	برخی	PRO	PRO
verschillende	متفاوت	verschillend	متفاوت	ADJ	ADJ
verschillende	چندین	verschillend	چندین	ADJ	ADJ
verschillende	گوناگون	verschillend	گوناگون	ADJ	ADJ
seizoen	فصل	seizoen	فصل	N;NEUT;SG	N;SG
gaat	میرود	gaan	میرود	V;SG;PRS;FIN	V;SG;3;PRS
insect	حشره	insect	حشره	N;NEUT;SG	N;SG
insect	باگ	insect	باگ	N;NEUT;SG	N;SG
insect	اشکال	insect	شکل	N;NEUT;SG	N;SG
film	فیلمی	film	فیلم	N;MASC+FEM;SG	N;SG
film	فیلم	film	فیلم	N;MASC+FEM;SG	N;SG
film	فیلم	film	فیلم	N;MASC+FEM;SG	N;SG
wikipedia	ویکیپدیا	wikipedia	ویکیپدیا	N;MASC+FEM;SG	N;SG
wikipedia	ویکیپدیای	wikipedia	ویکیپدیا	N;MASC+FEM;SG	N;SG
land	کانتری	land	کان	N;NEUT;SG	N;SG
land	کشوری	land	کشوری	N;NEUT;SG	N;SG
land	کشور	land	کشور	N;NEUT;SG	N;SG
land	مملکت	land	مملکت	N;NEUT;SG	N;SG
land	ییلاق	land	ییلاق	N;NEUT;SG	N;SG
land	خشکی	land	خشکی	N;NEUT;SG	N;SG
land	land	land	land	N;NEUT;SG	N;SG
land	سرزمین	land	سرزمین	N;NEUT;SG	N;SG
werk	کار	werk	کار	N;NEUT;SG	N;SG
werk	کاری	werk	کار	N;NEUT;SG	N;SG
website	سایت	website	سایت	N;MASC+FEM;SG	N;SG
website	وبگاه	website	وبگاه	N;MASC+FEM;SG	N;SG
website	وبسایت	website	وبسایت	N;MASC+FEM;SG	N;SG
bestand	پرونده	bestand	پرونده	N;NEUT;SG	N;SG
mensen	انسانها	mens	انسان	N;PL	N;PL
mensen	افراد	mens	فرد	N;PL	N;PL
mensen	مردمان	mens	مردم	N;PL	N;PL
mensen	آدمها	mens	آدم	N;PL	N;PL
gaan	میرم	gaan	میرم	V;PRS;NFIN	V;SG;1;PRS
vaak	معمولی	vaak	معمولی	ADJ	ADJ
vaak	مشترک	vaak	مشترک	ADJ	ADJ
orde	نظم	orde	نظم	N;MASC+FEM;SG	N;SG
orde	فرمان	orde	فرمان	N;MASC+FEM;SG	N;SG
orde	دستور	orde	دستور	N;MASC+FEM;SG	N;SG
orde	سفارش	orde	None	N;MASC+FEM;SG	N;SG
orde	ترتیب	orde	ترتیب	N;MASC+FEM;SG	N;SG
groot	بزرگ	groot	بزرگ	ADJ	ADJ
groot	درشت	groot	درشت	ADJ	ADJ
groot	بزرگ	groot	بزرگ	ADJ	ADJ
groot	عالی	groot	عالی	ADJ	ADJ
vooral	مخصوصا	vooral	مخصوصا	ADV	ADV
vooral	غالبا	vooral	غالبا	ADV	ADV
kerk	کلیسا	kerk	None	N;MASC+FEM;SG	N;SG
kerk	چرچ	kerk	چرچ	N;MASC+FEM;SG	N;SG
kerk	کلیسای	kerk	None	N;MASC+FEM;SG	N;SG
regio	منطقه	regio	منطقه	N;MASC+FEM;SG	N;SG
regio	ناحیه	regio	ناحیه	N;MASC+FEM;SG	N;SG
regio	استان	regio	استان	N;MASC+FEM;SG	N;SG
regio	منطقۀ	regio	منطقۀ	N;MASC+FEM;SG	N;SG
oppervlakte	منطقه	oppervlakte	منطقه	N;MASC+FEM;SG	N;SG
oppervlakte	مساحت	oppervlakte	مساحت	N;MASC+FEM;SG	N;SG
oppervlakte	ناحیه	oppervlakte	ناحیه	N;MASC+FEM;SG	N;SG
komen	میاد	komen	میاد	V;NFIN	V;SG;2;PRS
ongeveer	حدوداً	ongeveer	حدوداً	ADV	ADV
php	php	php	php	N;MASC+FEM;SG	N;SG
dorp	روستای	dorp	روستا	N;NEUT;SG	N;SG
dorp	دهکده	dorp	دهکده	N;NEUT;SG	N;SG
dorp	ویلیج	dorp	ویلیج	N;NEUT;SG	N;SG
dorp	روستا	dorp	روستا	N;NEUT;SG	N;SG
plaatsen	مکانهایی	plaats	مکان	N;PL	N;PL
plaatsen	مکانها	plaats	مکان	N;PL	N;PL
plaatsen	مساجد	plaats	None	N;PL	N;PL
leven	زندگى	leven	زندگى	N;NEUT;SG	N;SG
leven	زندگی	leven	زندگی	N;NEUT;SG	N;SG
binnen	داخل	binnen	داخل	ADP	ADP
register	ثبات	register	ثبات	N;NEUT;SG	N;SG
meter	متر	meter	متر	N;MASC+FEM;SG	N;SG
meter	متری	meter	متری	N;MASC+FEM;SG	N;SG
meter	متر	meter	متر	N;MASC+FEM;SG	N;SG
meter	متر	meter	متر	N;MASC+FEM;SG	N;SG
meter	کنتور	meter	کنتور	N;MASC+FEM;SG	N;SG
meter	متر	meter	متر	N;MASC+FEM;SG	N;SG
zeer	خیلی	zeer	خیلی	ADV	ADV
zeer	بسیار	zeer	بسیار	ADV	ADV
top	top	top	top	N;MASC+FEM;SG	N;SG
top	تاپ	top	تاپ	N;MASC+FEM;SG	N;SG
top	اوج	top	اوج	N;MASC+FEM;SG	N;SG
top	فاعل	top	None	N;MASC+FEM;SG	N;SG
oude	کهنه	oud	کهنه	ADJ	ADJ
zonder	بدون	zonder	بدون	ADP	ADP
sint	سینت	sint	سینت	N;MASC+FEM;SG	N;SG
groep	گروهبندی	groep	گروهبندی	N;MASC+FEM;SG	N;SG
groep	گروپ	groep	گروپ	N;MASC+FEM;SG	N;SG
groep	گروه	groep	گروه	N;MASC+FEM;SG	N;SG
goals	اهداف	goal	هدف	N;PL	N;PL
gebruik	استعمال	gebruik	None	N;NEUT;SG	N;SG
gebruik	کاربرد	gebruik	کاربرد	N;NEUT;SG	N;SG
derde	سومین	drie	سومین	ADJ	ADJ;RL
derde	سوم	drie	سوم	ADJ	ADJ
kleine	کوچک	klein	کوچک	ADJ	ADJ
kleine	اندکی	klein	اندکی	ADJ	ADJ
kleine	کوچک	klein	کوچک	ADJ	ADJ
kleine	کم	klein	کم	ADJ	ADJ
album	آلبوم	album	آلبوم	N;NEUT;SG	N;SG
mogelijk	ممکن	mogelijk	ممکن	ADJ	ADJ
wil	میخواهد	willen	خواست#خواه	V;SG;PRS;FIN	V;SG;3;PRS
moeten	باید	moeten	بایست#باید	V;PL;PRS;FIN	V;NFIN
station	پاسگاه	station	پاسگاه	N;NEUT;SG	N;SG
station	ایستگاه	station	ایستگاه	N;NEUT;SG	N;SG
zoon	پسر	zoon	پسر	N;MASC+FEM;SG	N;SG
man	انسان	man	انسان	N;MASC+FEM;SG	N;SG
man	مَرد	man	مَرد	N;MASC+FEM;SG	N;SG
man	مرد	man	مرد	N;MASC+FEM;SG	N;SG
water	آب	water	آب	N;NEUT;SG	N;SG
gezien	ندیده	zien	دید	V;V.PTCP	V;SG;3;NEG;V.PTCP
gezien	دیده	zien	دید	V;V.PTCP	V;SG;3;V.PTCP
begin	شروع	begin	شروع	N;NEUT;SG	N;SG
begin	آغاز	begin	آغاز	N;NEUT;SG	N;SG
begin	ابتدای	begin	ابتدا	N;NEUT;SG	N;SG
begin	آغاز	begin	آغاز	N;NEUT;SG	N;SG
till	تیل	till	تیل	N;MASC+FEM;SG	N;SG
koning	پادشاه	koning	پادشاه	N;MASC+FEM;SG	N;SG
koning	کینگ	koning	کینگ	N;MASC+FEM;SG	N;SG
koning	شاه	koning	شاه	N;MASC+FEM;SG	N;SG
slechts	تنها	slechts	تنها	ADV	ADV
periode	دوره	periode	دوره	N;MASC+FEM;SG	N;SG
periode	پریود	periode	پریود	N;MASC+FEM;SG	N;SG
periode	دورۀ	periode	دورۀ	N;MASC+FEM;SG	N;SG
volkstelling	سرشماری	volkstelling	سرشماری	N;MASC+FEM;SG	N;SG
officiële	رسمی	officeel	رسمی	ADJ	ADJ
lid	عضو	lid	عضو	N;NEUT;SG	N;SG
lid	عضوی	lid	عضو	N;NEUT;SG	N;SG
titel	عنوان	titel	عنوان	N;MASC+FEM;SG	N;SG
feb	فوریه	feb	فوریه	N;MASC+FEM;SG	N;SG
nieuw	نو	nieuw	نو	ADJ	ADJ
nieuw	جدید	nieuw	جدید	ADJ	ADJ
nummer	عدد	nummer	عدد	N;MASC+FEM;SG	N;SG
nummer	شمارۀ	nummer	شمارۀ	N;MASC+FEM;SG	N;SG
nummer	شماره	nummer	شماره	N;MASC+FEM;SG	N;SG
nummer	نغمه	nummer	نغمه	N;MASC+FEM;SG	N;SG
nummer	ترانه	nummer	ترانه	N;MASC+FEM;SG	N;SG
nummer	اهنگ	nummer	اهنگ	N;MASC+FEM;SG	N;SG
nummer	آهنگ	nummer	آهنگ	N;MASC+FEM;SG	N;SG
nummer	آواز	nummer	آواز	N;MASC+FEM;SG	N;SG
lang	طولانی	lang	طولانی	ADJ	ADJ
lang	دراز	lang	دراز	ADJ	ADJ
tekst	متن	tekst	متن	N;MASC+FEM;SG	N;SG
beste	بهترین	goed	به	ADJ;RL	ADJ;RL
apr	apr	apr	apr	N;MASC+FEM;SG	N;SG
apr	آوریل	apr	None	N;MASC+FEM;SG	N;SG
pagina	صفحۀ	pagina	صفحۀ	N;MASC+FEM;SG	N;SG
pagina	صفحه	pagina	صفحه	N;MASC+FEM;SG	N;SG
noord	شمالی	noord	شمالی	N;NEUT;SG	N;SG
noord	نورث	noord	نورث	N;NEUT;SG	N;SG
noord	شمال	noord	شمال	N;NEUT;SG	N;SG
bron	مبدأ	bron	None	N;MASC+FEM;SG	N;SG
bron	متن	bron	متن	N;MASC+FEM;SG	N;SG
bron	منبع	bron	منبع	N;MASC+FEM;SG	N;SG
john	جان	john	جان	N;MASC+FEM;SG	N;SG
john	یوحنا	john	یوحنا	N;MASC+FEM;SG	N;SG
district	منطقه	district	منطقه	N;NEUT;SG	N;SG
district	ناحیه	district	ناحیه	N;NEUT;SG	N;SG
district	بخش	district	بخش	N;NEUT;SG	N;SG
aug	اوت	aug	اوت	N;MASC+FEM;SG	N;SG
aug	aug	aug	aug	N;MASC+FEM;SG	N;SG
daarna	پس	daarna	پس	ADV	ADV
database	دادگان	databaas	داده	N;MASC+FEM;SG	N;SG
band	بند	band	بند	N;MASC+FEM;SG	N;SG
band	گروه	band	گروه	N;MASC+FEM;SG	N;SG
west	وست	west	None	N;MASC+FEM;SG	N;SG
west	باختر	west	باخت#باز	N;MASC+FEM;SG	N;SG
west	غرب	west	غرب	N;MASC+FEM;SG	N;SG
soorten	گونههای	soort	گونه	N;PL	N;PL
soorten	انواع	soort	نوع	N;PL	N;PL
dec	dec	dec	dec	N;MASC+FEM;SG	N;SG
dec	دکلان	dec	دکل	N;MASC+FEM;SG	N;SG
vorm	شکل	vorm	شکل	N;MASC+FEM;SG	N;SG
vorm	فرم	vorm	None	N;MASC+FEM;SG	N;SG
vorm	شکل	vorm	شکل	N;MASC+FEM;SG	N;SG
jun	jun	jun	jun	N;MASC+FEM;SG	N;SG
jun	ژون	jun	ژون	N;MASC+FEM;SG	N;SG
huidige	جاری	huidig	جاری	ADJ	ADJ
actief	فعال	actief	فعال	ADJ	ADJ
hoe	چطور	hoe	چطور	ADV	ADV
klasse	رده	klasse	رده	N;MASC+FEM;SG	N;SG
klasse	ردۀ	klasse	ردۀ	N;MASC+FEM;SG	N;SG
klasse	کلاس	klasse	کلاس	N;MASC+FEM;SG	N;SG
klasse	class	klasse	class	N;MASC+FEM;SG	N;SG
klasse	کلاسی	klasse	کلاسی	N;MASC+FEM;SG	N;SG
klasse	باکلاس	klasse	باکلاس	N;MASC+FEM;SG	N;SG
dag	خداحافظ	dag	خداحافظ	N;MASC+FEM;SG	N;SG
dag	روز	dag	روز	N;MASC+FEM;SG	N;SG
dag	روزی	dag	روز	N;MASC+FEM;SG	N;SG
artikelen	مقالات	artikel	مقاله	N;PL	N;PL
universiteit	دانشگاه	universiteit	دانشگاه	N;MASC+FEM;SG	N;SG
universiteit	qom	universiteit	qom	N;MASC+FEM;SG	N;SG
universiteit	کالج	universiteit	None	N;MASC+FEM;SG	N;SG
universiteit	دانشکده	universiteit	دانشکده	N;MASC+FEM;SG	N;SG
universiteit	دانشگاه	universiteit	دانشگاه	N;MASC+FEM;SG	N;SG
universiteit	دانشگاهی	universiteit	دانشگاهی	N;MASC+FEM;SG	N;SG
zelfs	حتی	zelfs	حتی	ADV	ADV
grootste	بزرگترین	groot	بزرگ	ADJ;RL	ADJ;RL
grootste	بزرگترین	groot	بزرگ	ADJ;RL	ADJ;RL
vader	بابا	vader	None	N;MASC+FEM;SG	N;SG
vader	پدر	vader	پدر	N;MASC+FEM;SG	N;SG
vader	پدری	vader	پدر	N;MASC+FEM;SG	N;SG
vader	پدر	vader	پدر	N;MASC+FEM;SG	N;SG
indeling	بهمنی	indeling	None	N;MASC+FEM;SG	N;SG
indeling	چیدمان	indeling	چیدم	N;MASC+FEM;SG	N;SG
indeling	قالب	indeling	قالب	N;MASC+FEM;SG	N;SG
indeling	قالبی	indeling	قالبی	N;MASC+FEM;SG	N;SG
opnieuw	دوباره	opnieuw	دوباره	ADV	ADV
nov	نوامبر	nov	نوامبر	N;MASC+FEM;SG	N;SG
serie	سری	serie	سری	N;MASC+FEM;SG	N;SG
rol	نقشی	rol	نقش	N;MASC+FEM;SG	N;SG
rol	رل	rol	رل	N;MASC+FEM;SG	N;SG
rol	نقش	rol	نقش	N;MASC+FEM;SG	N;SG
rol	لغزش	rol	لغزش	N;MASC+FEM;SG	N;SG
rol	کتیبه	rol	کتیبه	N;MASC+FEM;SG	N;SG
rol	طومار	rol	طومار	N;MASC+FEM;SG	N;SG
rol	رول	rol	رول	N;MASC+FEM;SG	N;SG
sep	اسپ	sep	اسپ	N;MASC+FEM;SG	N;SG
sep	sep	sep	sep	N;MASC+FEM;SG	N;SG
figuur	شکل	figuur	شکل	N;MASC+FEM;SG	N;SG
oorlog	جنگ	oorlog	جنگ	N;MASC+FEM;SG	N;SG
oorlog	جنگی	oorlog	جنگی	N;MASC+FEM;SG	N;SG
geschiedenis	تاریخچه	geschiedenis	تاریخچه	N;MASC+FEM;SG	N;SG
geschiedenis	تاریخ	geschiedenis	تاریخ	N;MASC+FEM;SG	N;SG
landen	کشورها	land	کشور	N;PL	N;PL
huis	خانه	huis	خانه	N;NEUT;SG	N;SG
huis	خانه	huis	خانه	N;NEUT;SG	N;SG
huis	وطن	huis	وطن	N;NEUT;SG	N;SG
huis	خونه	huis	خونه	N;NEUT;SG	N;SG
huis	آغازه	huis	آغازه	N;NEUT;SG	N;SG
shift	شیفت	shift	شیفت	N;MASC+FEM;SG	N;SG
finale	اختتامیه	finale	اختتامیه	N;MASC+FEM;SG	N;SG
finale	نهائی	finale	نهائی	N;MASC+FEM;SG	N;SG
finale	پایانی	finale	پایان	N;MASC+FEM;SG	N;SG
finale	فاینال	finale	فاینال	N;MASC+FEM;SG	N;SG
finale	فینال	finale	فینال	N;MASC+FEM;SG	N;SG
nationale	ملی	nationaal	ملی	ADJ	ADJ
amerikaans	آمریکایی	amerikaans	آمریکایی	ADJ	ADJ
geheel	کل	geheel	کل	ADJ	ADJ
boek	کتاب	boek	کتاب	N;NEUT;SG	N;SG
boek	کتابی	boek	کتاب	N;NEUT;SG	N;SG
indonesië	اندونزی	indonesië	اندونزی	N;MASC+FEM;SG	N;SG
stadium	ورزشگاه	stadium	ورزشگاه	N;NEUT;SG	N;SG
stadium	مرحله	stadium	مرحله	N;NEUT;SG	N;SG
stadium	صحنه	stadium	صحنه	N;NEUT;SG	N;SG
stadium	استیج	stadium	استیج	N;NEUT;SG	N;SG
altijd	همیشه	altijd	همیشه	ADV	ADV
vrouw	زن	vrouw	زن	N;MASC+FEM;SG	N;SG
vrouw	زنی	vrouw	زن	N;MASC+FEM;SG	N;SG
vrouw	نسوان	vrouw	نسوان	N;MASC+FEM;SG	N;SG
vrouw	زن	vrouw	زن	N;MASC+FEM;SG	N;SG
vrouw	مؤنث	vrouw	مؤنث	N;MASC+FEM;SG	N;SG
vrouw	مونث	vrouw	مونث	N;MASC+FEM;SG	N;SG
vrouw	ماده	vrouw	ماده	N;MASC+FEM;SG	N;SG
vrouw	زن	vrouw	زن	N;MASC+FEM;SG	N;SG
vrouw	همسر	vrouw	همسر	N;MASC+FEM;SG	N;SG
vrouw	عیال	vrouw	عیال	N;MASC+FEM;SG	N;SG
soms	گاهی	soms	گاه	ADV	ADV
dood	مُرده	dood	مُرده	ADJ	ADJ
meestal	معمولا	meestal	معمولاً	ADV	ADV
meestal	غالبا	meestal	غالبا	ADV	ADV
vijf	پنج	vijf	پنج	NUM	NUM
muziek	موسیقی	muziek	موسیقی	N;MASC+FEM;SG	N;SG
muziek	موزیک	muziek	موزیک	N;MASC+FEM;SG	N;SG
partij	مهمانی	partij	مهمان	N;MASC+FEM;SG	N;SG
partij	پارتی	partij	پارت	N;MASC+FEM;SG	N;SG
partij	مهمونی	partij	مهمونی	N;MASC+FEM;SG	N;SG
partij	حزب	partij	حزب	N;MASC+FEM;SG	N;SG
partij	جشن	partij	جشن	N;MASC+FEM;SG	N;SG
partij	دسته	partij	دسته	N;MASC+FEM;SG	N;SG
geval	پرونده	geval	پرونده	N;NEUT;SG	N;SG
geval	کیس	geval	کیس	N;NEUT;SG	N;SG
geval	مورد	geval	مورد	N;NEUT;SG	N;SG
wereld	جهان	wereld	جهان	N;MASC+FEM;SG	N;SG
wereld	دنیا	wereld	دنیا	N;MASC+FEM;SG	N;SG
wereld	جهانی	wereld	جهانی	N;MASC+FEM;SG	N;SG
einde	پایان	einde	پایان	N;NEUT;SG	N;SG
einde	پایان	einde	پایان	N;NEUT;SG	N;SG
einde	اختتامیه	einde	اختتامیه	N;NEUT;SG	N;SG
einde	پایانی	einde	پایان	N;NEUT;SG	N;SG
achter	پشت	achter	پشت	ADP	ADP
lange	طولانی	lang	طولانی	ADJ	ADJ
lange	دراز	lang	دراز	ADJ	ADJ
paul	پائول	paul	پائول	N;MASC+FEM;SG	N;SG
paul	پال	paul	پال	N;MASC+FEM;SG	N;SG
paul	پل	paul	پل	N;MASC+FEM;SG	N;SG
paul	پاول	paul	پاول	N;MASC+FEM;SG	N;SG
kinderen	کودکان	kind	کودک	N;PL	N;PL
kinderen	فرزندان	kind	فرزند	N;PL	N;PL
kinderen	اطفال	kind	None	N;PL	N;PL
open	باز	open	باز	ADJ	ADJ
bekende	معلوم	bekend	معلوم	ADJ	ADJ
united	یونایتد	united	یونایت#یونا	N;NEUT;SG	N;SG
united	متحد	united	None	N;NEUT;SG	N;SG
geven	بده	geven	داد#ده	V;NFIN	V;IMP;SG;2
museum	موزه	museum	موزه	N;NEUT;SG	N;SG
nemen	بگیر	nemen	گرفت#گیر	V;NFIN	V;IMP;SG;2
nemen	بگیرد	nemen	گرفت#گیر	V;NFIN	V;SBJV;SG;3;PRS
nemen	بگیرید	nemen	None	V;NFIN	V;SBJV;PL;2;PRS
hoewel	هرچند	hoewel	هرچند	CONJ	CONJ
hoewel	اگرچه	hoewel	اگرچه	CONJ	CONJ
hoewel	گرچه	hoewel	گرچه	CONJ	CONJ
hoewel	هرچند	hoewel	هرچند	CONJ	CONJ
hoewel	اگرچه	hoewel	اگرچه	CONJ	CONJ
hoewel	گرچه	hoewel	گرچه	CONJ	CONJ
snel	تند	snel	None	ADJ	ADJ
eind	پایان	eind	پایان	N;NEUT;SG	N;SG
departement	وزارت	departement	وزارت	N;NEUT;SG	N;SG
departement	اداره	departement	اداره	N;NEUT;SG	N;SG
departement	بخش	departement	بخش	N;NEUT;SG	N;SG
lichaam	بدن	lichaam	بدن	N;NEUT;SG	N;SG
lichaam	بدنی	lichaam	بدنی	N;NEUT;SG	N;SG
lichaam	بدنه	lichaam	بدنه	N;NEUT;SG	N;SG
lichaam	جسم	lichaam	جسم	N;NEUT;SG	N;SG
