krateret	cráter	kratere	cráter	N;DEF;NEUT;SG	N;MASC;SG
strækninger	tramos	strækning	tramo	N;INDF;MASC+FEM;PL	N;MASC;PL
malta	malta	malta	malta	N;INDF;MASC+FEM;SG	N;FEM;SG
dynasti	dinastía	dynasti	dinastía	N;INDF;NEUT;SG	N;FEM;SG
kulturel	cultural	kulturel	cultural	ADJ;INDF;MASC+FEM;SG	ADJ;SG
dagbog	diario	dagbog	diario	N;INDF;MASC+FEM;SG	N;MASC;SG
dagbog	journal	dagbog	journal	N;INDF;MASC+FEM;SG	N;SG
dagbog	revista	dagbog	revista	N;INDF;MASC+FEM;SG	N;FEM;SG
dagbog	diario	dagbog	diario	N;INDF;MASC+FEM;SG	N;MASC;SG
dagbog	agenda	dagbog	agenda	N;INDF;MASC+FEM;SG	N;FEM;SG
nevø	sobrino	nevø	sobrino	N;INDF;MASC+FEM;SG	N;MASC;SG
journalister	periodistas	journalist	periodista	N;INDF;MASC+FEM;PL	N;PL
journalister	periodistas	journalist	periodista	N;INDF;MASC+FEM;PL	N;PL
journalister	reporteros	journalist	reportero	N;INDF;MASC+FEM;PL	N;MASC;PL
etage	planta	etage	planta	N;INDF;MASC+FEM;SG	N;FEM;SG
etage	piso	etage	piso	N;INDF;MASC+FEM;SG	N;MASC;SG
etage	suelo	etage	suelo	N;INDF;MASC+FEM;SG	N;MASC;SG
poesi	poesía	poesi	poesía	N;INDF;MASC+FEM;SG	N;FEM;SG
sektion	seccion	sektion	seccionar	N;INDF;MASC+FEM;SG	N;FEM;SG
sektion	sección	sektion	sección	N;INDF;MASC+FEM;SG	N;FEM;SG
mil	mile	mil	mile	N;INDF;MASC+FEM;SG	N;MASC;SG
mil	milla	mil	milla	N;INDF;MASC+FEM;SG	N;FEM;SG
mil	kilómetro	mil	kilómetro	N;INDF;MASC+FEM;SG	N;MASC;SG
udkanten	periferia	udkant	periferia	N;DEF;MASC+FEM;SG	N;FEM;SG
varmt	caliente	varm	caliente	ADJ;INDF;NEUT;SG	ADJ;SG
varmt	cálido	varm	cálido	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
varmt	caliente	varm	caliente	ADJ;INDF;NEUT;SG	ADJ;SG
varmt	tibio	varm	tibio	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
varmt	cálida	varm	cálido	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
passere	pase	passere	pasar	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
passere	pasar	passere	pasar	V;NFIN;ACT	V;NFIN
passere	pasa	passere	pasar	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
passere	pasen	passere	pasar	V;NFIN;ACT	V;IMP;PL;3;FIN
ideologi	ideología	ideologi	ideología	N;INDF;MASC+FEM;SG	N;FEM;SG
wrestlemania	wrestlemania	wrestlemania	wrestlemania	N;INDF;MASC+FEM;SG	N;FEM;SG
udvalget	comisión	udvalg	comisión	N;DEF;NEUT;SG	N;FEM;SG
udvalget	comite	udvalg	comite	N;DEF;NEUT;SG	N;MASC;SG
udvalget	comité	udvalg	comité	N;DEF;NEUT;SG	N;MASC;SG
byområde	conurbación	byområde	conurbación	N;INDF;NEUT;SG	N;FEM;SG
byområde	aglomeración	byområde	aglomeración	N;INDF;NEUT;SG	N;FEM;SG
væske	líquido	væske	líquido	N;INDF;MASC+FEM;SG	N;MASC;SG
væske	líquido	væske	líquido	N;INDF;MASC+FEM;SG	N;MASC;SG
konklusion	conclusión	konklusion	conclusión	N;INDF;MASC+FEM;SG	N;FEM;SG
mursten	brick	mursten	brick	N;DEF;MASC+FEM;SG	N
mursten	ladrillo	mursten	ladrillo	N;DEF;MASC+FEM;SG	N;MASC;SG
forfatningen	constitución	forfatning	constitución	N;DEF;MASC+FEM;SG	N;FEM;SG
spørger	preguntar	spørge	preguntar	V;IND;PRS;FIN;ACT	V;NFIN
spørger	preguntando	spørge	preguntar	V;IND;PRS;FIN;ACT	V;V.MSDR
spørger	pidiendo	spørge	pedir	V;IND;PRS;FIN;ACT	V;V.MSDR
lejr	camp	lejr	camp	N;INDF;MASC+FEM;SG	N;MASC;SG
lejr	campamento	lejr	campamento	N;INDF;MASC+FEM;SG	N;MASC;SG
lejr	campo	lejr	campo	N;INDF;MASC+FEM;SG	N;MASC;SG
sum	sum	sum	sum	N;INDF;MASC+FEM;SG	N
sum	suma	sum	suma	N;INDF;MASC+FEM;SG	N;FEM;SG
unikke	únicos	unik	único	ADJ;PL	ADJ;MASC;PL
unikke	únicas	unik	único	ADJ;PL	ADJ;FEM;PL
banks	banks	banks	bank	N;INDF;MASC+FEM;SG	N
xbox	xbox	xbox	xbox	N;INDF;MASC+FEM;SG	N
skygge	sombra	skygge	sombra	N;INDF;MASC+FEM;SG	N;FEM;SG
skygge	sombra	skygge	sombra	N;INDF;MASC+FEM;SG	N;FEM;SG
skygge	shadow	skygge	shadow	N;INDF;MASC+FEM;SG	N
skygge	sombra	skygge	sombra	N;INDF;MASC+FEM;SG	N;FEM;SG
passage	travesía	passage	travesía	N;INDF;MASC+FEM;SG	N;FEM;SG
passage	cruce	passage	cruce	N;INDF;MASC+FEM;SG	N;MASC;SG
passage	pasaje	passage	pasaje	N;INDF;MASC+FEM;SG	N;MASC;SG
passage	pasadizo	passage	pasadizo	N;INDF;MASC+FEM;SG	N;MASC;SG
videoen	vídeo	videoen	vídeo	N;DEF;MASC+FEM;SG	N;MASC;SG
videoen	video	videoen	video	N;DEF;MASC+FEM;SG	N;MASC;SG
torv	cuadrado	torv	cuadrado	N;INDF;NEUT;SG	N;MASC;SG
torv	square	torv	square	N;INDF;NEUT;SG	N;MASC;SG
torv	plaza	torv	plaza	N;INDF;NEUT;SG	N;FEM;SG
anhalt	anhalt	anhalt	anhalt	N;INDF;MASC+FEM;SG	N;MASC;SG
levet	vivió	leve	vivir	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
levet	viví	leve	vivir	V;INDF;SG;PST;V.PTCP	V;IND;SG;1;PST;FIN
afslører	revela	afsløre	revelar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
afslører	revelar	afsløre	revelar	V;IND;PRS;FIN;ACT	V;NFIN
afslører	revela	afsløre	revelar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
afslører	revelan	afsløre	revelar	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
eksperimenter	experimentos	eksperiment	experimento	N;INDF;MASC+FEM;PL	N;MASC;PL
eksperimenter	experimentos	eksperiment	experimento	N;INDF;MASC+FEM;PL	N;MASC;PL
måler	medir	måle	medir	V;IND;PRS;FIN;ACT	V;NFIN
helena	helena	helena	heleno	N;DEF;MASC+FEM;SG	N;FEM;SG
helena	elena	helena	eleno	N;DEF;MASC+FEM;SG	N;FEM;SG
helena	helena	helena	heleno	N;DEF;MASC+FEM;SG	N;FEM;SG
helena	elena	helena	eleno	N;DEF;MASC+FEM;SG	N;FEM;SG
spiser	comiendo	spise	comer	V;IND;PRS;FIN;ACT	V;V.MSDR
spiser	comer	spise	comer	V;IND;PRS;FIN;ACT	V;NFIN
spiser	come	spise	come	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
spiser	comer	spise	comer	V;IND;PRS;FIN;ACT	V;NFIN
spiser	come	spise	come	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skift	turno	skift	turno	N;INDF;NEUT;SG	N;MASC;SG
skift	switch	skift	switch	N;INDF;NEUT;SG	N
skift	interruptor	skift	interruptor	N;INDF;NEUT;SG	N;MASC;SG
skift	cambio	skift	cambio	N;INDF;NEUT;SG	N;MASC;SG
skift	variación	skift	variación	N;INDF;NEUT;SG	N;FEM;SG
ordning	esquema	ordning	esquema	N;INDF;MASC+FEM;SG	N;MASC;SG
ordning	régimen	ordning	régimen	N;INDF;MASC+FEM;SG	N;MASC;SG
ordning	system	ordning	system	N;INDF;MASC+FEM;SG	N
ordning	sistema	ordning	sistema	N;INDF;MASC+FEM;SG	N;MASC;SG
ordning	acuerdo	ordning	acuerdo	N;INDF;MASC+FEM;SG	N;MASC;SG
ordning	arreglo	ordning	arreglo	N;INDF;MASC+FEM;SG	N;MASC;SG
klint	barranco	klint	barranco	N;INDF;MASC+FEM;SG	N;MASC;SG
klint	precipicio	klint	precipicio	N;INDF;MASC+FEM;SG	N;MASC;SG
spin	spin	spin	spin	N;INDF;NEUT;SG	N;SG
udvides	expande	udvide	expandar	V;IND;PRS;FIN;PASS	V;IND;SG;3;PRS;FIN
udvides	amplía	udvide	ampliar	V;IND;PRS;FIN;PASS	V;IND;SG;3;PRS;FIN
bnp	pib	bnp	pib	N;INDF;MASC+FEM;SG	N;MASC;SG
bnp	pbi	bnp	pbi	N;INDF;MASC+FEM;SG	N;MASC;SG
bnp	pnb	bnp	pnb	N;INDF;MASC+FEM;SG	N;MASC;SG
døre	doors	dør	door	N;INDF;MASC+FEM;PL	N
døre	puertas	dør	puerta	N;INDF;MASC+FEM;PL	N;FEM;PL
output	producción	output	producción	N;INDF;NEUT;SG	N;FEM;SG
output	salida	output	salida	N;INDF;NEUT;SG	N;FEM;SG
båden	barca	båd	barca	N;DEF;MASC+FEM;SG	N;FEM;SG
båden	barco	båd	barco	N;DEF;MASC+FEM;SG	N;MASC;SG
båden	embarcación	båd	embarcación	N;DEF;MASC+FEM;SG	N;FEM;SG
båden	bote	båd	bote	N;DEF;MASC+FEM;SG	N;MASC;SG
båden	lancha	båd	lancha	N;DEF;MASC+FEM;SG	N;FEM;SG
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	N;MASC;SG
düsseldorf	dusseldorf	düsseldorf	dusseldorf	N;INDF;MASC+FEM;SG	N;MASC;SG
highway	autovía	highway	autovía	N;INDF;NEUT;SG	N;FEM;SG
highway	autopista	highway	autopista	N;INDF;NEUT;SG	N;FEM;SG
highway	carretera	highway	carretera	N;INDF;NEUT;SG	N;FEM;SG
overskud	ganancia	overskud	ganancia	N;INDF;NEUT;SG	N;FEM;SG
overskud	beneficio	overskud	beneficio	N;INDF;NEUT;SG	N;MASC;SG
overskud	provecho	overskud	provecho	N;INDF;NEUT;SG	N;MASC;SG
overskud	superávit	overskud	superávit	N;INDF;NEUT;SG	N;MASC;SG
overskud	excedente	overskud	excedente	N;INDF;NEUT;SG	N;SG
overskud	superávit	overskud	superávit	N;INDF;NEUT;SG	N;MASC;SG
krydse	cruzando	krydse	cruzar	V;NFIN;ACT	V;V.MSDR
krydse	cruzar	krydse	cruzar	V;NFIN;ACT	V;NFIN
ris	arroz	ris	arroz	N;INDF;MASC+FEM;SG	N;MASC;SG
ris	sif	ris	sif	N;INDF;MASC+FEM;SG	N
biologisk	biológicamente	biologisk	biológicamente	ADV	ADV
barnebarn	nieta	barnebarn	nieta	N;INDF;NEUT;SG	N;FEM;SG
barnebarn	nieto	barnebarn	nieto	N;INDF;NEUT;SG	N;MASC;SG
barnebarn	nieto	barnebarn	nieto	N;INDF;NEUT;SG	N;MASC;SG
henderson	henderson	henderson	henderson	N;INDF;MASC+FEM;SG	N;MASC;SG
nyligt	recientemente	nyligt	recientemente	ADV	ADV
mexicanske	mexicanas	mexicansk	mexicano	ADJ;PL	ADJ;FEM;PL
forstæder	suburbios	forståde	suburbio	N;INDF;MASC+FEM;PL	N;MASC;PL
forstæder	afueras	forståde	afueras	N;INDF;MASC+FEM;PL	N;FEM;PL
færgen	ferry	færgen	ferry	N;DEF;MASC+FEM;SG	N;MASC;SG
færgen	transbordador	færgen	transbordador	N;DEF;MASC+FEM;SG	N;MASC;SG
begravelse	sepultura	begravelse	sepultura	N;INDF;MASC+FEM;SG	N;FEM;SG
begravelse	entierro	begravelse	entierro	N;INDF;MASC+FEM;SG	N;MASC;SG
begravelse	funeraria	begravelse	funerario	N;INDF;MASC+FEM;SG	N;FEM;SG
begravelse	funeral	begravelse	funeral	N;INDF;MASC+FEM;SG	N;MASC;SG
begravelse	entierro	begravelse	entierro	N;INDF;MASC+FEM;SG	N;MASC;SG
nederlaget	derrota	nederlag	derrota	N;DEF;NEUT;SG	N;FEM;SG
bestemmer	decide	bestemme	decidir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
bestemmer	determina	bestemme	determinar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
forandring	cambio	forandring	cambio	N;INDF;MASC+FEM;SG	N;MASC;SG
forandring	variación	forandring	variación	N;INDF;MASC+FEM;SG	N;FEM;SG
følelse	emoción	følelse	emoción	N;INDF;MASC+FEM;SG	N;FEM;SG
følelse	sensación	følelse	sensación	N;INDF;MASC+FEM;SG	N;FEM;SG
følelse	sentimiento	følelse	sentimiento	N;INDF;MASC+FEM;SG	N;MASC;SG
rygter	rumores	rygte	rumor	N;INDF;NEUT;PL	N;MASC;PL
rygter	rumores	rygte	rumor	N;INDF;NEUT;PL	N;MASC;PL
stiftelse	fundación	stiftelse	fundación	N;INDF;MASC+FEM;SG	N;FEM;SG
stiftelse	formación	stiftelse	formación	N;INDF;MASC+FEM;SG	N;FEM;SG
singer	cantor	singer	cantor	N;INDF;MASC+FEM;SG	N;MASC;SG
singer	cantante	singer	cantante	N;INDF;MASC+FEM;SG	N;SG
lego	lego	lego	lego	N;INDF;NEUT;SG	N;MASC;SG
manhattan	manhattan	manhattan	manhattar	N;INDF;MASC+FEM;SG	N;MASC;SG
strukturer	estructuras	struktur	estructura	N;INDF;MASC+FEM;PL	N;FEM;PL
ottende	octava	otte	octavo	ADJ	ADJ;FEM;SG
ottende	octavo	otte	octavo	ADJ	ADJ;MASC;SG
css	css	css	css	N;INDF;MASC+FEM;SG	N;MASC;SG
level	nivel	level	nivel	N;INDF;MASC+FEM;SG	N;MASC;SG
level	level	level	level	N;INDF;MASC+FEM;SG	N
indbygget	incorporó	indbygge	incorporar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
enorm	enorme	enorm	enorme	ADJ;INDF;MASC+FEM;SG	ADJ;SG
enorm	inmenso	enorm	inmenso	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
enorm	inmensa	enorm	inmenso	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
cornelius	cornelius	cornelius	corneliu	N;INDF;MASC+FEM;SG	N
guderne	dioses	gud	dios	N;DEF;MASC+FEM;PL	N;MASC;PL
giro	giro	giro	giro	N;INDF;MASC+FEM;SG	N;MASC;SG
tilbagetrækning	retirada	tilbagetrækning	retirada	N;INDF;MASC+FEM;SG	N;FEM;SG
tilbagetrækning	retiro	tilbagetrækning	retiro	N;INDF;MASC+FEM;SG	N;MASC;SG
tilbagetrækning	retirada	tilbagetrækning	retirada	N;INDF;MASC+FEM;SG	N;FEM;SG
algeriet	argelia	algeri	argelia	N;DEF;NEUT;SG	N;FEM;SG
mus	ratón	mus	ratón	N;INDF;MASC+FEM;SG	N;MASC;SG
mus	mouse	mus	mouse	N;INDF;MASC+FEM;SG	N;MASC;SG
virkelighed	realidad	virkelighed	realidad	N;INDF;MASC+FEM;SG	N;FEM;SG
virkelighed	reality	virkelighed	reality	N;INDF;MASC+FEM;SG	N;MASC;SG
grundloven	constitución	grundlov	constitución	N;DEF;MASC+FEM;SG	N;FEM;SG
beretninger	informes	beretning	informe	N;INDF;MASC+FEM;PL	N;MASC;PL
beretninger	reportajes	beretning	reportaje	N;INDF;MASC+FEM;PL	N;MASC;PL
beretninger	reportes	beretning	reporte	N;INDF;MASC+FEM;PL	N;MASC;PL
planerne	planos	plan	plano	N;DEF;MASC+FEM;PL	N;MASC;PL
planerne	planes	plan	plan	N;DEF;MASC+FEM;PL	N;MASC;PL
juventus	juventus	juventus	juventus	N;INDF;MASC+FEM;SG	N
gravsted	tumba	gravsted	tumba	N;INDF;NEUT;SG	N;FEM;SG
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	N;FEM;SG
vanskelig	dificil	vanskelig	dificil	ADJ;INDF;MASC+FEM;SG	ADJ;SG
vanskelig	difícil	vanskelig	difícil	ADJ;INDF;MASC+FEM;SG	ADJ;SG
anbefalede	recomendó	anbefale	recomendar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
skyldig	culpable	skyldig	culpable	ADJ;INDF;MASC+FEM;SG	ADJ;SG
teknikker	técnicas	teknik	técnica	N;INDF;MASC+FEM;PL	N;FEM;PL
marker	fields	mark	fields	N;INDF;MASC+FEM;PL	N
marker	campos	mark	campo	N;INDF;MASC+FEM;PL	N;MASC;PL
marker	parcelas	mark	parcela	N;INDF;MASC+FEM;PL	N;FEM;PL
marker	marcos	mark	marco	N;INDF;MASC+FEM;PL	N;MASC;PL
baseball	beisbol	baseball	beisbol	N;INDF;MASC+FEM;SG	N;MASC;SG
baseball	baseball	baseball	baseball	N;INDF;MASC+FEM;SG	N;SG
baseball	béisbol	baseball	béisbol	N;INDF;MASC+FEM;SG	N;MASC;SG
fabrikant	fabricante	fabrikant	fabricante	N;INDF;MASC+FEM;SG	N;SG
reducere	reduzca	reducere	reducir	V;NFIN;ACT	V;IMP;SG;3;FIN
