din	از	din	از	ADP;ACC	ADP
nord	شمالی	nord	شمالی	N;INDF;MASC;SG	N;SG
nord	نورث	nord	نورث	N;INDF;MASC;SG	N;SG
nord	شمال	nord	شمال	N;INDF;MASC;SG	N;SG
nord	نورد	nord	نورد	N;INDF;MASC;SG	N;SG
principala	اصلی	principal	اصلی	ADJ;DEF;FEM;SG	ADJ
principala	اصلی	principal	اصلی	ADJ;DEF;FEM;SG	ADJ
sud	ساوت	sud	ساوت	N;INDF;MASC;SG	N;SG
sud	جنوب	sud	جنوب	N;INDF;MASC;SG	N;SG
sud	جنوبی	sud	جنوبی	N;INDF;MASC;SG	N;SG
aprilie	اپریل	aprilie	اپریل	N;INDF;MASC;SG	N;SG
aprilie	آوریل	aprilie	None	N;INDF;MASC;SG	N;SG
loc	محل	loc	محل	N;INDF;MASC;SG	N;SG
loc	مکانی	loc	مکان	N;INDF;MASC;SG	N;SG
loc	مکان	loc	مکان	N;INDF;MASC;SG	N;SG
loc	جای	loc	جا	N;INDF;MASC;SG	N;SG
loc	جایی	loc	جا	N;INDF;MASC;SG	N;SG
iulie	ژوئیه	iulie	ژوئیه	N;INDF;MASC;SG	N;SG
iulie	جولای	iulie	جولا	N;INDF;MASC;SG	N;SG
doar	تنها	doar	تنها	ADV	ADV
doar	فقط	doar	فقط	ADV	ADV
editura	ناشر	editură	ناشر	N;DEF;FEM;SG	N;SG
februarie	فوریه	februarie	فوریه	N;INDF;MASC;SG	N;SG
recensamantului	سرشماری	recensamant	سرشماری	N;DEF;MASC;SG	N;SG
trei	سه	trei	سه	NUM;PL	NUM
asteroizi	سیارکها	asteroid	سیارک	N;INDF;MASC;PL	N;PL
longm	longm	longm	longm		
latm	latm	latm	latm		
discutie	بحثش	discutie	بحثش	N;INDF;FEM;SG	N;SG
discutie	بحث	discutie	بحث	N;INDF;FEM;SG	N;SG
discutie	بحثش	discutie	بحثش	N;INDF;FEM;SG	N;SG
discutie	بحث	discutie	بحث	N;INDF;FEM;SG	N;SG
discutie	بحثش	discutie	بحثش	N;INDF;FEM;SG	N;SG
discutie	بحث	discutie	بحث	N;INDF;FEM;SG	N;SG
partea	جزء	parte	جزء	N;DEF;FEM;SG	N;SG
partea	قسمت	parte	قسمت	N;DEF;FEM;SG	N;SG
partea	پارت	parte	پارت	N;DEF;FEM;SG	N;SG
mult	بسیار	mult	بسیار	ADV	ADV
fara	بى	fară	بى		
fara	بى	fară	بى		
departamentul	وزارت	departament	وزارت	N;DEF;MASC;SG	N;SG
departamentul	اداره	departament	اداره	N;DEF;MASC;SG	N;SG
departamentul	بخش	departament	بخش	N;DEF;MASC;SG	N;SG
foarte	خیلی	foarte	خیلی	ADV	ADV
foarte	بسیار	foarte	بسیار	ADV	ADV
raionul	راهروی	raion	راهروی	N;DEF;MASC;SG	N;SG
data	تاریخ	dată	تاریخ	N;DEF;FEM;SG	N;SG
data	تاریخ	dată	تاریخ	N;DEF;FEM;SG	N;SG
departament	وزارت	departament	وزارت	N;INDF;MASC;SG	N;SG
departament	اداره	departament	اداره	N;INDF;MASC;SG	N;SG
departament	بخش	departament	بخش	N;INDF;MASC;SG	N;SG
apoi	پس	apoi	پس	ADV	ADV
grup	گروهبندی	grup	گروهبندی	N;INDF;MASC;SG	N;SG
grup	گروپ	grup	گروپ	N;INDF;MASC;SG	N;SG
grup	گروه	grup	گروه	N;INDF;MASC;SG	N;SG
locul	محل	loc	محل	N;DEF;MASC;SG	N;SG
locul	مکانی	loc	مکان	N;DEF;MASC;SG	N;SG
locul	مکان	loc	مکان	N;DEF;MASC;SG	N;SG
locul	جای	loc	جا	N;DEF;MASC;SG	N;SG
locul	جایی	loc	جا	N;DEF;MASC;SG	N;SG
oras	قریه	oras	قریه	N;INDF;MASC;SG	N;SG
oras	شهر	oras	شهر	N;INDF;MASC;SG	N;SG
oras	شهرک	oras	شهرک	N;INDF;MASC;SG	N;SG
oras	شهری	oras	شهر	N;INDF;MASC;SG	N;SG
oras	شهر	oras	شهر	N;INDF;MASC;SG	N;SG
oras	سیتی	oras	سیتی	N;INDF;MASC;SG	N;SG
oras	قریه	oras	قریه	N;INDF;MASC;SG	N;SG
oras	شهر	oras	شهر	N;INDF;MASC;SG	N;SG
oras	شهرک	oras	شهرک	N;INDF;MASC;SG	N;SG
oras	شهری	oras	شهر	N;INDF;MASC;SG	N;SG
oras	شهر	oras	شهر	N;INDF;MASC;SG	N;SG
oras	سیتی	oras	سیتی	N;INDF;MASC;SG	N;SG
oras	قریه	oras	قریه	N;INDF;MASC;SG	N;SG
oras	شهر	oras	شهر	N;INDF;MASC;SG	N;SG
oras	شهرک	oras	شهرک	N;INDF;MASC;SG	N;SG
oras	شهری	oras	شهر	N;INDF;MASC;SG	N;SG
oras	شهر	oras	شهر	N;INDF;MASC;SG	N;SG
oras	سیتی	oras	سیتی	N;INDF;MASC;SG	N;SG
camp	اردوگاه	camp	اردوگاه	N;INDF;MASC;SG	N;SG
camp	اردو	camp	اردو	N;INDF;MASC;SG	N;SG
camp	کمپ	camp	کمپ	N;INDF;MASC;SG	N;SG
camp	فیلد	camp	None	N;INDF;MASC;SG	N;SG
camp	حوزه	camp	حوزه	N;INDF;MASC;SG	N;SG
satul	روستای	sat	روستا	N;DEF;MASC;SG	N;SG
satul	دهکده	sat	دهکده	N;DEF;MASC;SG	N;SG
satul	ویلیج	sat	ویلیج	N;DEF;MASC;SG	N;SG
satul	روستا	sat	روستا	N;DEF;MASC;SG	N;SG
national	ملی	national	ملی	ADJ;INDF;MASC;SG	ADJ
national	ملی	national	ملی	ADJ;INDF;MASC;SG	ADJ
national	ملی	national	ملی	ADJ;INDF;MASC;SG	ADJ
note	یادداشتها	notă	یادداشت	N;INDF;FEM;PL	N;PL
note	یادداشتهای	notă	یادداشت	N;INDF;FEM;PL	N;PL
perioada	دوره	perioadă	دوره	N;DEF;FEM;SG	N;SG
perioada	پریود	perioadă	پریود	N;DEF;FEM;SG	N;SG
perioada	دورۀ	perioadă	دورۀ	N;DEF;FEM;SG	N;SG
perioada	دوره	perioadă	دوره	N;DEF;FEM;SG	N;SG
perioada	پریود	perioadă	پریود	N;DEF;FEM;SG	N;SG
perioada	دورۀ	perioadă	دورۀ	N;DEF;FEM;SG	N;SG
minoritate	اقلیت	minoritate	اقلیت	N;INDF;FEM;SG	N;SG
ucraineana	اوکراینی	ucrainean	اوکراینی	N;DEF;FEM;SG	N;SG
cadrul	چارچوب	cadru	چارچوب	N;DEF;MASC;SG	N;SG
cadrul	چهارچوب	cadru	چهارچوب	N;DEF;MASC;SG	N;SG
general	عمومی	general	عمومی	ADJ;INDF;MASC;SG	ADJ
razboi	جنگ	razboi	جنگ	N;INDF;MASC;SG	N;SG
razboi	جنگی	razboi	جنگی	N;INDF;MASC;SG	N;SG
razboi	جنگ	razboi	جنگ	N;INDF;MASC;SG	N;SG
razboi	جنگی	razboi	جنگی	N;INDF;MASC;SG	N;SG
romana	رومانیایی	romană	رومانیایی	N;DEF;FEM;SG	N;SG
romana	رومانی	romană	رومانی	N;DEF;FEM;SG	N;SG
romana	رومان	romană	رومان	N;DEF;FEM;SG	N;SG
romana	رومی	romană	رومی	N;DEF;FEM;SG	N;SG
romana	رومن	romană	رومن	N;DEF;FEM;SG	N;SG
roman	رومانیایی	roman	رومانیایی	N;INDF;MASC;SG	N;SG
roman	رومانی	roman	رومانی	N;INDF;MASC;SG	N;SG
roman	رومان	roman	رومان	N;INDF;MASC;SG	N;SG
roman	رومی	roman	رومی	N;INDF;MASC;SG	N;SG
roman	رومن	roman	رومن	N;INDF;MASC;SG	N;SG
roman	رمان	roman	رمان	N;INDF;MASC;SG	N;SG
provincia	ولایت	provincie	ولایت	N;DEF;FEM;SG	N;SG
provincia	استان	provincie	استان	N;DEF;FEM;SG	N;SG
vedere	نمای	vedere	None	N;INDF;FEM;SG	N;SG
wikipedia	ویکیپدیا	wikipedia	ویکیپدیا	N;DEF;FEM;SG	N;SG
wikipedia	ویکیپدیای	wikipedia	ویکیپدیا	N;DEF;FEM;SG	N;SG
specie	گونه	specie	گونه	N;INDF;FEM;SG	N;SG
punct	دات	punct	دات#ده	N;INDF;MASC;SG	N;SG
punct	نکته	punct	نکته	N;INDF;MASC;SG	N;SG
punct	نقطه	punct	نقطه	N;INDF;MASC;SG	N;SG
punct	پوینت	punct	پوینت	N;INDF;MASC;SG	N;SG
stat	حالت	stat	حالت	N;INDF;MASC;SG	N;SG
stat	استیت	stat	استیت	N;INDF;MASC;SG	N;SG
stat	دولت	stat	دولت	N;INDF;MASC;SG	N;SG
stat	وضعیت	stat	وضعیت	N;INDF;MASC;SG	N;SG
stat	ایالت	stat	ایالت	N;INDF;MASC;SG	N;SG
atunci	پس	atunci	پس	ADV	ADV
secolul	قرن	secol	قرن	N;DEF;MASC;SG	N;SG
secolul	قرنه	secol	قرنه	N;DEF;MASC;SG	N;SG
secolul	سده	secol	سده	N;DEF;MASC;SG	N;SG
resedinta	اقامتگاه	resedinta	اقامتگاه	N;DEF;FEM;SG	N;SG
resedinta	جایگاه	resedinta	جایگاه	N;DEF;FEM;SG	N;SG
resedinta	اقامت	resedinta	اقامت	N;DEF;FEM;SG	N;SG
resedinta	اقامتگاه	resedinta	اقامتگاه	N;DEF;FEM;SG	N;SG
resedinta	جایگاه	resedinta	جایگاه	N;DEF;FEM;SG	N;SG
resedinta	اقامت	resedinta	اقامت	N;DEF;FEM;SG	N;SG
resedinta	اقامتگاه	resedinta	اقامتگاه	N;DEF;FEM;SG	N;SG
resedinta	جایگاه	resedinta	جایگاه	N;DEF;FEM;SG	N;SG
resedinta	اقامت	resedinta	اقامت	N;DEF;FEM;SG	N;SG
orasul	شهری	oras	شهر	N;DEF;MASC;SG	N;SG
orasul	شهر	oras	شهر	N;DEF;MASC;SG	N;SG
orasul	سیتی	oras	سیتی	N;DEF;MASC;SG	N;SG
orasul	قریه	oras	قریه	N;DEF;MASC;SG	N;SG
orasul	شهر	oras	شهر	N;DEF;MASC;SG	N;SG
orasul	شهرک	oras	شهرک	N;DEF;MASC;SG	N;SG
orasul	شهری	oras	شهر	N;DEF;MASC;SG	N;SG
orasul	شهر	oras	شهر	N;DEF;MASC;SG	N;SG
orasul	سیتی	oras	سیتی	N;DEF;MASC;SG	N;SG
chiar	حتی	chiar	حتی	ADV	ADV
cunoscute	معلوم	cunoscut	معلوم	ADJ;INDF;FEM;PL	ADJ
film	فیلمی	film	فیلم	N;INDF;MASC;SG	N;SG
film	فیلم	film	فیلم	N;INDF;MASC;SG	N;SG
film	فیلم	film	فیلم	N;INDF;MASC;SG	N;SG
date	تاریخهای	dată	تاریخ	N;INDF;FEM;PL	N;PL
cunoscuta	معلوم	cunoscuta	معلوم	ADJ;DEF;FEM;SG	ADJ
decat	than	decat	than		
decat	than	decat	than		
aici	اینجا	aici	اینجا	ADV	ADV;ESS
mari	بزرگ	mare	بزرگ	ADJ;INDF;PL	ADJ
zile	روزها	zi	روز	N;INDF;FEM;PL	N;PL
zile	روزهایی	zi	روز	N;INDF;FEM;PL	N;PL
zile	روزای	zi	روزا	N;INDF;FEM;PL	N;PL
zile	روزهای	zi	روز	N;INDF;FEM;PL	N;PL
fata	جبهه	fată	جبهه	N;DEF;FEM;SG	N;SG
fata	جلو	fată	جلو	N;DEF;FEM;SG	N;SG
fata	چهره	fată	چهره	N;DEF;FEM;SG	N;SG
fata	صورت	fată	صورت	N;DEF;FEM;SG	N;SG
fata	face	fată	face	N;DEF;FEM;SG	N;SG
fata	چهره	fată	چهره	N;DEF;FEM;SG	N;SG
fata	صورت	fată	صورت	N;DEF;FEM;SG	N;SG
fata	face	fată	face	N;DEF;FEM;SG	N;SG
fata	دختری	fată	None	N;DEF;FEM;SG	N;SG
fata	دختر	fată	دختر	N;DEF;FEM;SG	N;SG
fata	چهره	fată	چهره	N;DEF;FEM;SG	N;SG
fata	صورت	fată	صورت	N;DEF;FEM;SG	N;SG
fata	face	fată	face	N;DEF;FEM;SG	N;SG
fata	دختری	fată	None	N;DEF;FEM;SG	N;SG
fata	دختر	fată	دختر	N;DEF;FEM;SG	N;SG
fata	چهره	fată	چهره	N;DEF;FEM;SG	N;SG
fata	صورت	fată	صورت	N;DEF;FEM;SG	N;SG
fata	face	fată	face	N;DEF;FEM;SG	N;SG
fata	چهره	fată	چهره	N;DEF;FEM;SG	N;SG
fata	صورت	fată	صورت	N;DEF;FEM;SG	N;SG
fata	face	fată	face	N;DEF;FEM;SG	N;SG
club	باشگاه	club	باشگاه	N;INDF;MASC;SG	N;SG
club	چماق	club	چماق	N;INDF;MASC;SG	N;SG
club	کلاب	club	کلاب	N;INDF;MASC;SG	N;SG
club	کلوب	club	کلوب	N;INDF;MASC;SG	N;SG
club	کلوپ	club	کلوپ	N;INDF;MASC;SG	N;SG
componente	قطعات	componentă	قطعه	N;INDF;FEM;PL	N;PL
componente	اجزای	componentă	اجزا	N;INDF;FEM;PL	N;PL
est	شرق	est	شرق	N;INDF;MASC;SG	N;SG
est	شرقی	est	شرقی	N;INDF;MASC;SG	N;SG
est	est	est	est	N;INDF;MASC;SG	N;SG
nou	نو	nou	نو	ADJ;INDF;MASC;SG	ADJ
nou	جدید	nou	جدید	ADJ;INDF;MASC;SG	ADJ
numai	تنها	numai	تنها	ADV	ADV
ion	یون	ion	یون	N;INDF;MASC;SG	N;SG
ion	یونی	ion	یونی	N;INDF;MASC;SG	N;SG
rusa	روس	rusa	روس	N;DEF;FEM;SG	N;SG
rusa	روسیه	rusa	روسیه	N;DEF;FEM;SG	N;SG
rusa	روسی	rusa	روسی	N;DEF;FEM;SG	N;SG
rusa	روس	rusa	روس	N;DEF;FEM;SG	N;SG
rusa	روسیه	rusa	روسیه	N;DEF;FEM;SG	N;SG
rusa	روسی	rusa	روسی	N;DEF;FEM;SG	N;SG
populatia	جمعیت	populatie	جمعیت	N;DEF;FEM;SG	N;SG
populatia	جمعیتی	populatie	جمعیتی	N;DEF;FEM;SG	N;SG
populatia	جمعیت	populatie	جمعیت	N;DEF;FEM;SG	N;SG
populatia	جمعیتی	populatie	جمعیتی	N;DEF;FEM;SG	N;SG
doi	دو	doi	دو	NUM;MASC;PL	NUM
membru	عضو	membru	عضو	N;INDF;MASC;SG	N;SG
membru	عضوی	membru	عضو	N;INDF;MASC;SG	N;SG
oficial	رسمی	oficial	رسمی	ADJ;INDF;MASC;SG	ADJ
saint	قدیس	saint	قدیس	N;INDF;MASC;SG	N;SG
saint	سن	saint	سن	N;INDF;MASC;SG	N;SG
specia	گونه	specie	گونه	N;DEF;FEM;SG	N;SG
vest	وست	vest	None	N;INDF;MASC;SG	N;SG
vest	باختر	vest	باخت#باز	N;INDF;MASC;SG	N;SG
vest	غرب	vest	غرب	N;INDF;MASC;SG	N;SG
vest	وسترن	vest	وسترن	N;INDF;MASC;SG	N;SG
lemn	چوبی	lemn	چوبی	N;INDF;MASC;SG	N;SG
lemn	وود	lemn	None	N;INDF;MASC;SG	N;SG
lemn	چوب	lemn	چوب	N;INDF;MASC;SG	N;SG
nationala	نشنال	national	نشنال	N;DEF;FEM;SG	N;SG
nationala	نشنال	national	نشنال	N;DEF;FEM;SG	N;SG
mod	حالت	mod	حالت	N;INDF;MASC;SG	N;SG
mod	مود	mod	مود	N;INDF;MASC;SG	N;SG
mod	mod	mod	mod	N;INDF;MASC;SG	N;SG
american	آمریکایی	american	آمریکایی	ADJ;INDF;MASC;SG	ADJ
prezent	هدیه	prezent	هدیه	N;INDF;MASC;SG	N;SG
casa	خانه	casă	خانه	N;DEF;FEM;SG	N;SG
casa	خانه	casă	خانه	N;DEF;FEM;SG	N;SG
casa	خانه	casă	خانه	N;DEF;FEM;SG	N;SG
casa	وطن	casă	وطن	N;DEF;FEM;SG	N;SG
casa	خونه	casă	خونه	N;DEF;FEM;SG	N;SG
casa	آغازه	casă	آغازه	N;DEF;FEM;SG	N;SG
acestea	اینها	acesta	این	PRO;FEM;PL;3	PRO;PL
categorie	مقوله	categorie	مقوله	N;INDF;FEM;SG	N;SG
categorie	دسته	categorie	دسته	N;INDF;FEM;SG	N;SG
text	متن	text	متن	N;INDF;MASC;SG	N;SG
bine	خوب	bine	خوب	ADV	ADV
http	http	http	http	N	N;SG
articole	مقالات	articol	مقاله	N;INDF;FEM;PL	N;PL
articole	موارد	articol	مورد	N;INDF;FEM;PL	N;PL
unele	برخی	unul	برخی	PRO;FEM;PL;3	PRO
milioane	میلیون	milion	میلیون	NUM;INDF;FEM;PL	NUM
apa	آب	apă	آب	N;DEF;FEM;SG	N;SG
apa	آب	apă	آب	N;DEF;FEM;SG	N;SG
tara	کانتری	tară	کان	N;DEF;FEM;SG	N;SG
tara	کشوری	tară	کشوری	N;DEF;FEM;SG	N;SG
tara	کشور	tară	کشور	N;DEF;FEM;SG	N;SG
tara	مملکت	tară	مملکت	N;DEF;FEM;SG	N;SG
tara	ییلاق	tară	ییلاق	N;DEF;FEM;SG	N;SG
tara	کانتری	tară	کان	N;DEF;FEM;SG	N;SG
tara	کشوری	tară	کشوری	N;DEF;FEM;SG	N;SG
tara	کشور	tară	کشور	N;DEF;FEM;SG	N;SG
tara	مملکت	tară	مملکت	N;DEF;FEM;SG	N;SG
tara	ییلاق	tară	ییلاق	N;DEF;FEM;SG	N;SG
tara	کانتری	tară	کان	N;DEF;FEM;SG	N;SG
tara	کشوری	tară	کشوری	N;DEF;FEM;SG	N;SG
tara	کشور	tară	کشور	N;DEF;FEM;SG	N;SG
tara	مملکت	tară	مملکت	N;DEF;FEM;SG	N;SG
tara	ییلاق	tară	ییلاق	N;DEF;FEM;SG	N;SG
tara	تارا	tară	تارا	N;DEF;FEM;SG	N;SG
tara	کانتری	tară	کان	N;DEF;FEM;SG	N;SG
tara	کشوری	tară	کشوری	N;DEF;FEM;SG	N;SG
tara	کشور	tară	کشور	N;DEF;FEM;SG	N;SG
tara	مملکت	tară	مملکت	N;DEF;FEM;SG	N;SG
tara	ییلاق	tară	ییلاق	N;DEF;FEM;SG	N;SG
tara	کانتری	tară	کان	N;DEF;FEM;SG	N;SG
tara	کشوری	tară	کشوری	N;DEF;FEM;SG	N;SG
tara	کشور	tară	کشور	N;DEF;FEM;SG	N;SG
tara	مملکت	tară	مملکت	N;DEF;FEM;SG	N;SG
tara	ییلاق	tară	ییلاق	N;DEF;FEM;SG	N;SG
sate	روستاها	sat	روستا	N;INDF;FEM;PL	N;PL
sate	روستاهای	sat	روستا	N;INDF;FEM;PL	N;PL
istoria	تاریخچه	istorie	تاریخچه	N;DEF;FEM;SG	N;SG
istoria	تاریخ	istorie	تاریخ	N;DEF;FEM;SG	N;SG
maria	ماریا	maria	ماریا	N;DEF;FEM;SG	N;SG
cunoscut	معلوم	cunoscut	معلوم	ADJ;INDF;MASC;SG	ADJ
republica	جمهوری	republică	جمهوری	N;DEF;FEM;SG	N;SG
republica	جمهوری	republică	جمهوری	N;DEF;FEM;SG	N;SG
raul	ریور	raul	ریور	N;DEF;MASC;SG	N;SG
raul	رودخانه	raul	رودخانه	N;DEF;MASC;SG	N;SG
raul	شرور	raul	شرور	N;DEF;MASC;SG	N;SG
raul	شرارت	raul	شرارت	N;DEF;MASC;SG	N;SG
tip	گای	tip	گا	N;INDF;MASC;SG	N;SG
tip	یارو	tip	یارو	N;INDF;MASC;SG	N;SG
tip	تیپ	tip	None	N;INDF;MASC;SG	N;SG
tip	نوع	tip	نوع	N;INDF;MASC;SG	N;SG
tip	تایپ	tip	تایپ	N;INDF;MASC;SG	N;SG
