ve	och	ve	och	CONJ	CONJ
sadece	enbart	sadece	enbart	ADV	ADV
sadece	endast	sadece	endast	ADV	ADV
sadece	bara	sadece	bara	ADV	ADV
bilgi	info	bilgi	info	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bilgi	information	bilgi	information	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bilgi	kunskap	bilgi	kunskap	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bilgi	kännedom	bilgi	kännedom	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bilgi	vetskap	bilgi	vetskap	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
kez	ggr	kez	gå	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
devlet	stat	devlet	stat	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
devlet	delstat	devlet	delstad	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
devlet	regering	devlet	regering	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
devlet	regeringen	devlet	regering	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
üç	tre	üç	tre	NUM	NUM;NOM
başladı	påbörjade	başla	påbörja	V;PFV;IND;SG;3;POS;PST	V;IND;PST;V.PTCP;ACT
başladı	började	başla	börja	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
başladı	startade	başla	starta	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
başladı	börjat	başla	börja	V;PFV;IND;SG;3;POS;PST	V;V.CVB;ACT
küçük	små	küçük	liten	ADJ	ADJ;NOM;PL
küçük	liten	küçük	liten	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
küçük	lilla	küçük	liten	ADJ	ADJ;NOM;DEF;SG
küçük	liten	küçük	liten	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
kabul	acceptans	kabul	acceptans	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
devam	fortsätt	devam	fortsätt	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
devam	keep	devam	keep	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
kupası	kopp	kupa	kopp	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
kupası	cup	kupa	cup	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
okulu	skola	okul	skola	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
okulu	skolan	okul	skola	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
aldı	tagit	al	ta	V;PFV;IND;SG;3;POS;PST	V;V.CVB;ACT
aldı	togs	al	ta	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;PASS
aldı	tog	al	ta	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
aldı	fått	al	få	V;PFV;IND;SG;3;POS;PST	V;V.CVB;ACT
aldı	fick	al	få	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;ACT
farklı	avvikande	farklı	avvikande	ADJ	ADJ;NOM;PRS;V.PTCP
farklı	olika	farklı	olik	ADJ	ADJ;NOM;PL
özel	exklusivt	özel	exklusiv	ADJ	ADJ;NOM;INDF;NEUT;SG
özel	exklusiva	özel	exklusiv	ADJ	ADJ;NOM;PL
özel	exklusiv	özel	exklusiv	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
özel	privat	özel	privat	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
özel	privata	özel	privat	ADJ	ADJ;NOM;PL
özel	särskild	özel	särskild	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
özel	speciell	özel	speciell	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
özel	särskilda	özel	särskild	ADJ	ADJ;NOM;PL;PST;V.PTCP
özel	speciella	özel	speciell	ADJ	ADJ;NOM;PL
özel	anpassade	özel	anpassa	ADJ	ADJ;NOM;PL;PST;V.PTCP
özel	anpassad	özel	anpassa	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
özel	egen	özel	egen	ADJ	ADJ;NOM;MASC+FEM;SG
özel	anpassat	özel	anpassa	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
biri	någon	biri	någon	PRO;NOM;SG;3	PRO;INDF;MASC+FEM;SG
biri	nån	biri	nån	PRO;NOM;SG;3	PRO;INDF;MASC+FEM;SG
biri	någon	biri	någon	PRO;NOM;SG;3	PRO;INDF;MASC+FEM;SG
biri	nån	biri	nån	PRO;NOM;SG;3	PRO;INDF;MASC+FEM;SG
alanı	field	alan	field	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
alanı	fält	alan	fält	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
alanı	fältet	alan	fält	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
alanı	area	alan	are	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
alanı	område	alan	område	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
alanı	området	alan	område	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
alanı	yta	alan	yta	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
uzun	lång	uzun	lång	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
uzun	utvidgat	uzun	utvidga	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
uzun	utökad	uzun	utöka	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
uzun	utvidgade	uzun	utvidga	ADJ	ADJ;NOM;PL;PST;V.PTCP
uzun	förlängt	uzun	förlänga	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
uzun	utökade	uzun	utöka	ADJ	ADJ;NOM;PL;PST;V.PTCP
uzun	utökat	uzun	utöka	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
uzun	långa	uzun	lång	ADJ	ADJ;NOM;PL
uzun	lång	uzun	lång	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
elektrik	el	elektrik	el	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
elektrik	elektricitet	elektrik	elektricitet	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
elektrik	electric	elektrik	electric	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
ardından	efteråt	ardından	efteråt	ADV	ADV
kısa	kortare	kısa	kort	ADJ	ADJ;NOM;CMPR
kısa	korta	kısa	kort	ADJ	ADJ;NOM;PL
kısa	kortfattad	kısa	kortfattad	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
kısa	korta	kısa	kort	ADJ	ADJ;NOM;PL
kişi	person	kişi	person	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
kişi	personen	kişi	person	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
el	handen	el	hand	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
el	hand	el	hand	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
gol	sjö	gol	sjö	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
gol	lake	gol	lake	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
gol	sjön	gol	sjö	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
gol	mål	gol	mål	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
gol	mål	gol	mål	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
gol	goals	gol	goal	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
sağlayan	tillhandahåller	sağla	tillhandahålla	V;PFV;IND;POS;PRS;V.PTCP	V;IND;PRS;FIN;ACT
gün	dag	gün	dag	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
gün	dagen	gün	dag	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
gün	day	gün	day	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
süre	tid	süre	tid	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
süre	tidpunkt	süre	tidpunkt	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
süre	dags	süre	dags	N;NOM;SG;3	N;MASC+FEM
süre	klockslag	süre	klockslag	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
süre	tiden	süre	tid	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
süre	löptid	süre	löptid	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
süre	längd	süre	längd	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
süre	varaktighet	süre	varaktighet	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
eğitim	utbildning	eğitim	utbildning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
eğitim	träning	eğitim	träning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
eğitim	utbildning	eğitim	utbildning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
eğitim	handledning	eğitim	handledning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
az	litet	az	litet	ADV	ADV
az	mindre	az	lite	ADV	ADV;CMPR
kullanılan	används	kullan	använda	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;PRS;FIN;PASS
görev	plikt	görev	plikt	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
görev	tull	görev	tull	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
görev	uppgift	görev	uppgift	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
görev	uppdrag	görev	uppdrag	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
görev	överlåtelse	görev	överlåtelse	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
görev	uppdrag	görev	uppdrag	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
görev	mission	görev	mission	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
onun	hans	o	han	PRO;GEN;SG;3	PRO;DEF
onun	hennes	o	hon	PRO;GEN;SG;3	PRO;DEF
yine	igen	yine	igen	ADV	ADV
yine	återigen	yine	återigen	ADV	ADV
ekonomisi	sparsamhet	ekonomi	sparsamhet	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
ekonomisi	ekonomin	ekonomi	ekonomi	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
ekonomisi	ekonomi	ekonomi	ekonomi	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
telefon	telefonen	telefon	telefon	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
telefon	telefon	telefon	telefon	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
yeniden	igen	yeniden	igen	ADV	ADV
yeniden	återigen	yeniden	återigen	ADV	ADV
savaş	battle	savaş	battle	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
savaş	slaget	savaş	slag	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
savaş	strid	savaş	strid	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
savaş	kriget	savaş	krig	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
savaş	krig	savaş	krig	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
savaş	strid	savaş	strid	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
savaş	kamp	savaş	kamp	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
rağmen	trots	rağmen	trots	ADP	ADP
kullanıcı	användaren	kullanıcı	användare	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
birliği	union	birlik	union	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
birliği	fackförening	birlik	fackförening	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
birliği	unionen	birlik	union	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
kanalizasyon	avlopp	kanalizasyon	avlopp	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
kanalizasyon	avlopp	kanalizasyon	avlopp	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
kanalizasyon	kloak	kanalizasyon	kloak	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
kanalizasyon	avlopp	kanalizasyon	avlopp	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
kanalizasyon	avlopp	kanalizasyon	avlopp	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
maç	mac	maç	mac	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
maç	spel	maç	spel	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
maç	spelet	maç	spel	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
maç	game	maç	game	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
maç	match	maç	match	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
maç	vilt	maç	vilja	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
maç	matchning	maç	matchning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
maç	match	maç	match	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
sıra	raden	sıra	rad	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
sıra	rad	sıra	rad	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
sıra	row	sıra	row	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
teknik	teknisk	teknik	teknisk	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
teknik	tekniska	teknik	teknisk	ADJ	ADJ;NOM;PL
uygun	berättigade	uygun	berättigad	ADJ	ADJ;NOM;PL;PST;V.PTCP
uygun	bekvämt	uygun	bekvämt	ADJ	ADJ;NOM;INDF;NEUT;SG
uygun	bekväm	uygun	bekväm	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
uygun	lämpliga	uygun	lämplig	ADJ	ADJ;NOM;PL
uygun	passande	uygun	passa	ADJ	ADJ;NOM;PRS;V.PTCP
uygun	lämplig	uygun	lämplig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
uygun	lämpligt	uygun	lämplig	ADJ	ADJ;NOM;INDF;NEUT;SG
uygun	lämpliga	uygun	lämplig	ADJ	ADJ;NOM;PL
uygun	lämpligt	uygun	lämplig	ADJ	ADJ;NOM;INDF;NEUT;SG
uygun	lämplig	uygun	lämplig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
uygun	passande	uygun	passa	ADJ	ADJ;NOM;PRS;V.PTCP
bütün	hel	bütün	hel	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
bütün	hela	bütün	hel	ADJ	ADJ;NOM;DEF;SG
listesi	förteckning	liste	förteckning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
listesi	list	liste	list	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
listesi	lista	liste	lista	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
dört	fyra	dört	fyra	NUM	NUM;NOM
stadyumu	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
stadyumu	stadium	stadyum	stadium	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
bar	bar	bar	ba	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
bar	puben	bar	puben	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
bar	pub	bar	pub	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
sonunda	slutligen	sonunda	slutligen	ADV	ADV
sonunda	äntligen	sonunda	äntligen	ADV	ADV
onu	honom	o	han	PRO;ACC;SG;3	PRO;ACC;DEF;MASC+FEM;SG
onu	hennes	o	hon	PRO;ACC;SG;3	PRO;DEF
onu	henne	o	hon	PRO;ACC;SG;3	PRO;ACC;DEF;MASC+FEM;SG
açık	klart	açık	klar	ADJ	ADJ;NOM;INDF;NEUT;SG
açık	tydlig	açık	tydlig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
açık	öppna	açık	öppen	ADJ	ADJ;NOM;PL
açık	öppen	açık	öppen	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
insan	person	insan	person	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
insan	personen	insan	person	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
insan	mannen	insan	man	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
insan	människan	insan	människa	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
insan	människa	insan	människa	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
genç	teen	genç	teen		
stadyum	stadion	stadyum	stadion	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
stadyum	stadium	stadyum	stadium	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
an	stund	an	stund	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
an	moment	an	moment	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
an	ögonblick	an	ögonblick	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
an	ögonblicket	an	ögonblick	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
iş	job	iş	job	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
iş	jobb	iş	jobb	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
iş	arbete	iş	arbete	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
iş	work	iş	work	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
iş	jobb	iş	jobb	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
iş	affärsverksamhet	iş	affärsverksamhet	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
iş	business	iş	business	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
iş	näringsliv	iş	näringsliv	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
bölümü	avsnitt	bölüm	avsnitt	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
bölümü	sektionen	bölüm	sektion	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
bölümü	sektion	bölüm	sektion	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bölümü	avdelning	bölüm	avdelning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bölümü	avsnittet	bölüm	avsnitt	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
bölümü	department	bölüm	department	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bölümü	avdelning	bölüm	avdelning	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
bölümü	avdelningen	bölüm	avdelning	N;NOM;SG;3	N;NOM;DEF;MASC+FEM;SG
bölümü	departementet	bölüm	departement	N;NOM;SG;3	N;NOM;DEF;NEUT;SG
bunu	denna	bu	denna	PRO;ACC;SG;3	PRO;DEF;MASC+FEM;SG
bunu	detta	bu	denna	PRO;ACC;SG;3	PRO;DEF;NEUT;SG
güzel	vackra	güzel	vacker	ADJ	ADJ;NOM;PL
güzel	vacker	güzel	vacker	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
güzel	vackert	güzel	vacker	ADJ	ADJ;NOM;INDF;NEUT;SG
güzel	duktiga	güzel	duktig	ADJ	ADJ;NOM;PL
güzel	god	güzel	god	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
güzel	duktig	güzel	duktig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
güzel	snyggt	güzel	snygga	ADJ	ADJ;NOM;INDF;NEUT;SG
güzel	trevligt	güzel	trevlig	ADJ	ADJ;NOM;INDF;NEUT;SG
güzel	fint	güzel	fin	ADJ	ADJ;NOM;INDF;NEUT;SG
güzel	fina	güzel	fin	ADJ	ADJ;NOM;PL
güzel	snygg	güzel	snygg	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
güzel	snygga	güzel	snygg	ADJ	ADJ;NOM;PL
güzel	söt	güzel	söta	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
güzel	härligt	güzel	härlig	ADJ	ADJ;NOM;INDF;NEUT;SG
güzel	ljuvlig	güzel	ljuvlig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
güzel	ljuvliga	güzel	ljuvlig	ADJ	ADJ;NOM;PL
güzel	underbart	güzel	underbar	ADJ	ADJ;NOM;INDF;NEUT;SG
güzel	härlig	güzel	härlig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
güzel	ljuvligt	güzel	ljuvlig	ADJ	ADJ;NOM;INDF;NEUT;SG
çocuk	boy	çocuk	boy	N;NOM;SG;3	N;NOM;INDF;NEUT;SG
çocuk	pojke	çocuk	pojke	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
çocuk	gosse	çocuk	gosse	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
çocuk	pojk	çocuk	pojk	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
çocuk	kid	çocuk	kid	N;NOM;SG;3	N;NOM;INDF;MASC+FEM;SG
