van	從	van	從	ADP	ADP
seizoen	季節	seizoen	季節	N;NEUT;SG	N
insect	昆蟲	insect	昆蟲	N;NEUT;SG	N
insect	臭蟲	insect	臭蟲	N;NEUT;SG	N
film	電影	film	電影	N;MASC+FEM;SG	N
film	影片	film	影片	N;MASC+FEM;SG	N
film	電影	film	電影	N;MASC+FEM;SG	N
film	膠片	film	膠片	N;MASC+FEM;SG	N
film	影片	film	影片	N;MASC+FEM;SG	N
land	國家	land	國家	N;NEUT;SG	N
land	陸地	land	陸地	N;NEUT;SG	N
land	土地	land	土地	N;NEUT;SG	N
werk	工作	werk	工作	N;NEUT;SG	N
website	網站	website	網站	N;MASC+FEM;SG	N
website	網頁	website	網頁	N;MASC+FEM;SG	N
bestand	文件	bestand	文件	N;NEUT;SG	N
bestand	檔案	bestand	檔案	N;NEUT;SG	N
mensen	人類	mens	人類	N;PL	N
mensen	人	mens	人	N;PL	N
mensen	人們	mens	人	N;PL	N;PL
mensen	人民	mens	人民	N;PL	N
orde	秩序	orde	秩序	N;MASC+FEM;SG	N
orde	順序	orde	順序	N;MASC+FEM;SG	N
groot	偉大	groot	偉大	ADJ	ADJ
vooral	尤其	vooral	尤其	ADV	ADV
vooral	尤其	vooral	尤其	ADV	ADV
vooral	大多	vooral	大多	ADV	ADV
marine	海軍	marine	海軍	N;MASC+FEM;SG	N
kerk	教會	kerk	教會	N;MASC+FEM;SG	N
kerk	教堂	kerk	教堂	N;MASC+FEM;SG	N
regio	區域	regio	區域	N;MASC+FEM;SG	N
oppervlakte	面積	oppervlakte	面積	N;MASC+FEM;SG	N
oppervlakte	地區	oppervlakte	地區	N;MASC+FEM;SG	N
oppervlakte	區域	oppervlakte	區域	N;MASC+FEM;SG	N
oppervlakte	區	oppervlakte	區	N;MASC+FEM;SG	N
php	php	php	php	N;MASC+FEM;SG	N
dorp	村	dorp	村	N;NEUT;SG	N
dorp	鄉村	dorp	鄉村	N;NEUT;SG	N
dorp	村	dorp	村	N;NEUT;SG	N
dorp	村落	dorp	村落	N;NEUT;SG	N
dorp	村子	dorp	村子	N;NEUT;SG	N
plaatsen	地方	plaats	地方	N;PL	N
plaatsen	地點	plaats	地點	N;PL	N
leven	生命	leven	生命	N;NEUT;SG	N
leven	人生	leven	人生	N;NEUT;SG	N
leven	活	leven	活	N;NEUT;SG	N
meter	公尺	meter	公尺	N;MASC+FEM;SG	N
meter	米	meter	米	N;MASC+FEM;SG	N
meter	公尺	meter	公尺	N;MASC+FEM;SG	N
meter	公尺	meter	公尺	N;MASC+FEM;SG	N
vier	四	vier	四	NUM	NUM
vier	四	vier	四	NUM	NUM
vier	四	vier	四	NUM	NUM
toch	然而	toch	然而	ADV	ADV
zeer	非常	zeer	非常	ADV	ADV
top	頂	top	頂	N;MASC+FEM;SG	N
top	頂端	top	頂端	N;MASC+FEM;SG	N
top	熱門	top	熱門	N;MASC+FEM;SG	N
oude	舊	oud	舊	ADJ	ADJ
ronde	輪	ronde	輪	N;MASC+FEM;SG	N
groep	群組	groep	群組	N;MASC+FEM;SG	N
groep	群	groep	群	N;MASC+FEM;SG	N
goals	目標	goal	目標	N;PL	N
gebruik	用法	gebruik	用法	N;NEUT;SG	N
gebruik	用量	gebruik	用量	N;NEUT;SG	N
zien	見	zien	見	V;NFIN	V
album	相簿	album	相簿	N;NEUT;SG	N
album	專輯	album	專輯	N;NEUT;SG	N
moeten	必須	moeten	必須	V;PL;PRS;FIN	V
staten	國家	state	國家	N;PL	N
station	站	station	站	N;NEUT;SG	N
station	車站	station	車站	N;NEUT;SG	N
zoon	兒子	zoon	兒子	N;MASC+FEM;SG	N
man	人	man	人	N;MASC+FEM;SG	N
man	男人	man	男人	N;MASC+FEM;SG	N
water	水	water	水	N;NEUT;SG	N
koning	國王	koning	國王	N;MASC+FEM;SG	N
slechts	只	slechts	只	ADV	ADV
spelen	玩	spelen	玩	V;NFIN	V
spelen	播放	spelen	播放	V;NFIN	V
spelen	玩	spelen	玩	V;NFIN	V
spelen	播放	spelen	播放	V;NFIN	V
periode	期間	periode	期間	N;MASC+FEM;SG	N
volkstelling	人口	volkstelling	人口	N;MASC+FEM;SG	N
volkstelling	普查	volkstelling	普查	N;MASC+FEM;SG	N
lid	會員	lid	會員	N;NEUT;SG	N
lid	成員	lid	成員	N;NEUT;SG	N
titel	標題	titel	標題	N;MASC+FEM;SG	N
titel	標題	titel	標題	N;MASC+FEM;SG	N
mrt	捷運	mrt	捷運	N;MASC+FEM;SG	N
nieuw	新	nieuw	新	ADJ	ADJ
nummer	數字	nummer	數字	N;MASC+FEM;SG	N
nummer	數	nummer	數	N;MASC+FEM;SG	N
nummer	號碼	nummer	號碼	N;MASC+FEM;SG	N
nummer	編號	nummer	編號	N;MASC+FEM;SG	N
nummer	歌曲	nummer	歌曲	N;MASC+FEM;SG	N
nummer	首歌	nummer	首歌	N;MASC+FEM;SG	N
nummer	歌	nummer	歌	N;MASC+FEM;SG	N
tekst	文字	tekst	文字	N;MASC+FEM;SG	N
tekst	案文	tekst	案文	N;MASC+FEM;SG	N
beste	最好	goed	最好	ADJ;RL	ADJ
vinden	找到	vinden	找到	V;NFIN	V
vinden	尋找	vinden	尋找	V;NFIN	V
noord	北方	noord	北方	N;NEUT;SG	N
noord	北	noord	北	N;NEUT;SG	N
noord	北部	noord	北部	N;NEUT;SG	N
bron	來源	bron	來源	N;MASC+FEM;SG	N
district	區	district	區	N;NEUT;SG	N
district	地區	district	地區	N;NEUT;SG	N
daarna	然後	daarna	然後	ADV	ADV
daarna	那麼	daarna	那麼	ADV	ADV
database	資料	databaas	資料	N;MASC+FEM;SG	N
band	樂團	band	樂團	N;MASC+FEM;SG	N
band	樂隊	band	樂隊	N;MASC+FEM;SG	N
west	西邊	west	西邊	N;MASC+FEM;SG	N
west	西	west	西	N;MASC+FEM;SG	N
west	西部	west	西部	N;MASC+FEM;SG	N
soorten	魚種	soort	魚種	N;PL	N
soorten	物種	soort	物種	N;PL	N
soorten	類型	soort	類型	N;PL	N
vorm	形狀	vorm	形狀	N;MASC+FEM;SG	N
vorm	形式	vorm	形式	N;MASC+FEM;SG	N
vorm	表格	vorm	表格	N;MASC+FEM;SG	N
gebouwd	建	bouwen	建	V;V.PTCP	V
toont	顯示	tonen	顯示	V;SG;PRS;FIN	V
klasse	階級	klasse	階級	N;MASC+FEM;SG	N
klasse	類	klasse	類	N;MASC+FEM;SG	N
klasse	類別	klasse	類別	N;MASC+FEM;SG	N
klasse	課堂	klasse	課堂	N;MASC+FEM;SG	N
klasse	班級	klasse	班級	N;MASC+FEM;SG	N
klasse	優雅	klasse	優雅	N;MASC+FEM;SG	N
dag	白天	dag	白天	N;MASC+FEM;SG	N
artikelen	文章	artikel	文章	N;PL	N
universiteit	大學	universiteit	大學	N;MASC+FEM;SG	N
universiteit	學院	universiteit	學院	N;MASC+FEM;SG	N
universiteit	書院	universiteit	書院	N;MASC+FEM;SG	N
universiteit	大學	universiteit	大學	N;MASC+FEM;SG	N
zelfs	甚至	zelfs	甚至	ADV	ADV
vader	父親	vader	父親	N;MASC+FEM;SG	N
vader	神父	vader	神父	N;MASC+FEM;SG	N
vader	父	vader	父	N;MASC+FEM;SG	N
indeling	版面	indeling	版面	N;MASC+FEM;SG	N
indeling	佈局	indeling	佈局	N;MASC+FEM;SG	N
indeling	分類	indeling	分類	N;MASC+FEM;SG	N
indeling	格式	indeling	格式	N;MASC+FEM;SG	N
indeling	形式	indeling	形式	N;MASC+FEM;SG	N
indeling	格式	indeling	格式	N;MASC+FEM;SG	N
opnieuw	再次	opnieuw	再次	ADV	ADV
serie	系列	serie	系列	N;MASC+FEM;SG	N
rol	作用	rol	作用	N;MASC+FEM;SG	N
rol	角色	rol	角色	N;MASC+FEM;SG	N
rol	捲軸	rol	捲軸	N;MASC+FEM;SG	N
rol	捲	rol	捲	N;MASC+FEM;SG	N
rol	卷	rol	卷	N;MASC+FEM;SG	N
figuur	圖	figuur	圖	N;MASC+FEM;SG	N
oorlog	戰	oorlog	戰	N;MASC+FEM;SG	N
oorlog	戰爭	oorlog	戰爭	N;MASC+FEM;SG	N
oorlog	戰爭	oorlog	戰爭	N;MASC+FEM;SG	N
geschiedenis	歷史	geschiedenis	歷史	N;MASC+FEM;SG	N
landen	國家	land	國家	N;PL	N
landen	各國	land	各國	N;PL	N
huis	屋	huis	屋	N;NEUT;SG	N
huis	房屋	huis	房屋	N;NEUT;SG	N
huis	房子	huis	房子	N;NEUT;SG	N
huis	家	huis	家	N;NEUT;SG	N
huis	住家	huis	住家	N;NEUT;SG	N
laten	讓	laten	讓	V;PL;PRS;FIN	V;CAUS
shift	輪班	shift	輪班	N;MASC+FEM;SG	N
finale	決賽	finale	決賽	N;MASC+FEM;SG	N
finale	決賽	finale	決賽	N;MASC+FEM;SG	N
boek	圖書	boek	圖書	N;NEUT;SG	N
boek	書	boek	書	N;NEUT;SG	N
boek	書籍	boek	書籍	N;NEUT;SG	N
stadium	體育	stadium	體育	N;NEUT;SG	N
stadium	球場	stadium	球場	N;NEUT;SG	N
stadium	舞台	stadium	舞台	N;NEUT;SG	N
stadium	階段	stadium	階段	N;NEUT;SG	N
geboren	生	geboren	生	V;V.PTCP	V
geboren	誕生	geboren	誕生	V;V.PTCP	V
geboren	出生	geboren	出生	V;V.PTCP	V
vrouw	女人	vrouw	女人	N;MASC+FEM;SG	N
vrouw	女	vrouw	女	N;MASC+FEM;SG	N
vrouw	女子	vrouw	女子	N;MASC+FEM;SG	N
vrouw	女	vrouw	女	N;MASC+FEM;SG	N
vrouw	女性	vrouw	女性	N;MASC+FEM;SG	N
vrouw	妻子	vrouw	妻子	N;MASC+FEM;SG	N
meestal	通常	meestal	通常	ADV	ADV
meestal	大多	meestal	大多	ADV	ADV
vijf	五	vijf	五	NUM	NUM
vijf	五	vijf	五	NUM	NUM
muziek	音樂	muziek	音樂	N;MASC+FEM;SG	N
partij	黨	partij	黨	N;MASC+FEM;SG	N
partij	政黨	partij	政黨	N;MASC+FEM;SG	N
partij	宴會	partij	宴會	N;MASC+FEM;SG	N
partij	聚會	partij	聚會	N;MASC+FEM;SG	N
partij	批次	partij	批次	N;MASC+FEM;SG	N
partij	分批	partij	分批	N;MASC+FEM;SG	N
geval	案例	geval	案例	N;NEUT;SG	N
geval	個案	geval	個案	N;NEUT;SG	N
geval	案件	geval	案件	N;NEUT;SG	N
wereld	世界	wereld	世界	N;MASC+FEM;SG	N
einde	終	einde	終	N;NEUT;SG	N
einde	結尾	einde	結尾	N;NEUT;SG	N
einde	結局	einde	結局	N;NEUT;SG	N
einde	結尾	einde	結尾	N;NEUT;SG	N
geschreven	書寫	schrijven	書寫	V;V.PTCP	V
geschreven	撰寫	schrijven	撰寫	V;V.PTCP	V
informatie	資訊	informatie	資訊	N;MASC+FEM;SG	N
kinderen	小孩	kind	小孩	N;PL	N
kinderen	兒童	kind	兒童	N;PL	N
museum	博物	museum	博物	N;NEUT;SG	N
eind	終	eind	終	N;NEUT;SG	N
eind	結尾	eind	結尾	N;NEUT;SG	N
departement	部門	departement	部門	N;NEUT;SG	N
lichaam	屍體	lichaam	屍體	N;NEUT;SG	N
lichaam	體	lichaam	體	N;NEUT;SG	N
lichaam	身體	lichaam	身體	N;NEUT;SG	N
census	人口	census	人口	N;NEUT;SG	N
census	普查	census	普查	N;NEUT;SG	N
bestaan	存在	bestaan	存在	V;NFIN	V
wie	誰	wie	誰	PRO;3	PRO
wedstrijd	比賽	wedstrijd	比賽	N;MASC+FEM;SG	N
wedstrijd	遊戲	wedstrijd	遊戲	N;MASC+FEM;SG	N
wedstrijd	比賽	wedstrijd	比賽	N;MASC+FEM;SG	N
wedstrijd	競賽	wedstrijd	競賽	N;MASC+FEM;SG	N
school	學校	school	學校	N;MASC+FEM;SG	N
beter	更好	goed	更好	ADJ;CMPR	ADJ
versie	版	versie	版	N;MASC+FEM;SG	N
versie	版本	versie	版本	N;MASC+FEM;SG	N
eiland	海島	eiland	海島	N;NEUT;SG	N
eiland	島嶼	eiland	島嶼	N;NEUT;SG	N
nooit	從來	nooit	從來	ADV	ADV
geeft	返回	geven	返回	V;SG;PRS;FIN	V
dier	動物	dier	動物	N;NEUT;SG	N
lijn	線	lijn	線	N;MASC+FEM;SG	N
lijn	線路	lijn	線路	N;MASC+FEM;SG	N
slag	戰	slag	戰	N;MASC+FEM;SG	N
slag	戰役	slag	戰役	N;MASC+FEM;SG	N
slag	戰鬥	slag	戰鬥	N;MASC+FEM;SG	N
slag	中風	slag	中風	N;MASC+FEM;SG	N
park	樸	park	樸	N;NEUT;SG	N
park	公園	park	公園	N;NEUT;SG	N
belangrijke	重要	belangrijk	重要	ADJ	ADJ
leger	集團	leger	集團	N;NEUT;SG	N
leger	軍隊	leger	軍隊	N;NEUT;SG	N
leger	軍	leger	軍	N;NEUT;SG	N
leger	陸軍	leger	陸軍	N;NEUT;SG	N
oost	東	oost	東	N;MASC+FEM;SG	N
oost	東部	oost	東部	N;MASC+FEM;SG	N
oost	東方	oost	東方	N;MASC+FEM;SG	N
oost	東區	oost	東區	N;MASC+FEM;SG	N
spelers	球員	speler	球員	N;PL	N
spelers	玩家	speler	玩家	N;PL	N
single	單人	single	單人	N;MASC+FEM;SG	N
single	單身	single	單身	N;MASC+FEM;SG	N
leden	成員	lid	成員	N;PL	N
bureau	機構	bureau	機構	N;NEUT;SG	N
bureau	主席	bureau	主席	N;NEUT;SG	N
bureau	書	bureau	書	N;NEUT;SG	N
speelt	播放	spelen	播放	V;SG;PRS;FIN	V
onderdeel	元件	onderdeel	元件	N;NEUT;SG	N
delen	共用	delen	共用	V;NFIN	V
delen	共享	delen	共享	V;NFIN	V
delen	分享	delen	分享	V;NFIN	V
delen	共用	delen	共用	V;NFIN	V
delen	共享	delen	共享	V;NFIN	V
delen	分享	delen	分享	V;NFIN	V
bestaande	現存	bestaan	現存	V;V.PTCP	V
bestaande	現有	bestaan	現有	V;V.PTCP	V
bijna	幾乎	bijna	幾乎	ADV	ADV
omgeving	環境	omgeving	環境	N;MASC+FEM;SG	N
bedrijf	公司	bedrijf	公司	N;NEUT;SG	N
bedrijf	企業	bedrijf	企業	N;NEUT;SG	N
bedrijf	業務	bedrijf	業務	N;NEUT;SG	N
bedrijf	商業	bedrijf	商業	N;NEUT;SG	N
bedrijf	商務	bedrijf	商務	N;NEUT;SG	N
vrouwen	女性	vrouw	女性	N;PL	N
vrouwen	婦女	vrouw	婦女	N;PL	N
vrouwen	女性	vrouw	女性	N;PL	N
oud	舊	oud	舊	ADJ	ADJ
schip	船	schip	船	N;NEUT;SG	N
schip	船隻	schip	船隻	N;NEUT;SG	N
schip	艦	schip	艦	N;NEUT;SG	N
schip	船舶	schip	船舶	N;NEUT;SG	N
krijgen	獲取	krijgen	獲取	V;PL;PRS;FIN	V
krijgen	獲得	krijgen	獲得	V;PL;PRS;FIN	V
krijgen	得到	krijgen	得到	V;PL;PRS;FIN	V
county	郡	county	郡	N;MASC+FEM;SG	N
county	縣	county	縣	N;MASC+FEM;SG	N
onderzoek	查詢	onderzoek	查詢	N;NEUT;SG	N
sterk	強壯	sterk	強壯	ADJ	ADJ
sterk	強烈	sterk	強烈	ADJ	ADJ
sterk	堅強	sterk	堅強	ADJ	ADJ
functie	功能	functie	功能	N;MASC+FEM;SG	N
functie	職能	functie	職能	N;MASC+FEM;SG	N
functie	函數	functie	函數	N;MASC+FEM;SG	N
functie	功能	functie	功能	N;MASC+FEM;SG	N
functie	特色	functie	特色	N;MASC+FEM;SG	N
functie	特徵	functie	特徵	N;MASC+FEM;SG	N
zee	大海	zee	大海	N;MASC+FEM;SG	N
zee	海上	zee	海上	N;MASC+FEM;SG	N
zee	海	zee	海	N;MASC+FEM;SG	N
punten	點數	punt	點數	N;PL	N
laat	遲到	laten	遲到	V;SG;PRS;FIN	V
laat	讓	laten	讓	V;SG;PRS;FIN	V;CAUS
dagen	日子	dag	日子	N;PL	N
dagen	天數	dag	天數	N;PL	N
blijven	留	blijven	留	V;PL;PRS;FIN	V
blijven	留下	blijven	留下	V;PL;PRS;FIN	V
blijven	留下	blijven	留下	V;PL;PRS;FIN	V
korte	簡短	kort	簡短	ADJ	ADJ
korte	簡短	kort	簡短	ADJ	ADJ
mannen	男性	mannen	男性	N;PL	N
mannen	男人	mannen	男人	N;PL	N
mannen	男子	mannen	男子	N;PL	N
taal	語言	taal	語言	N;MASC+FEM;SG	N
taal	語	taal	語	N;MASC+FEM;SG	N
taal	語文	taal	語文	N;MASC+FEM;SG	N
leeftijd	年紀	leeftijd	年紀	N;MASC+FEM;SG	N
leeftijd	年齡	leeftijd	年齡	N;MASC+FEM;SG	N
moment	時刻	moment	時刻	N;NEUT;SG	N
president	總統	president	總統	N;MASC+FEM;SG	N
president	主席	president	主席	N;MASC+FEM;SG	N
programma	方案	programma	方案	N;NEUT;SG	N
programma	程式	programma	程式	N;NEUT;SG	N
programma	方案	programma	方案	N;NEUT;SG	N
wapen	武器	wapen	武器	N;NEUT;SG	N
wapen	兵器	wapen	兵器	N;NEUT;SG	N
wapen	火器	wapen	火器	N;NEUT;SG	N
wapen	槍支	wapen	槍支	N;NEUT;SG	N
wapen	槍	wapen	槍	N;NEUT;SG	N
wapen	炮	wapen	炮	N;NEUT;SG	N
gemeenten	市	gemeente	市	N;PL	N
gemeenten	市鎮	gemeente	市鎮	N;PL	N
verhaal	動態	verhaal	動態	N;NEUT;SG	N
verhaal	故事	verhaal	故事	N;NEUT;SG	N
zes	六	zes	六	NUM	NUM
zes	六	zes	六	NUM	NUM
noorden	北方	noorden	北方	N;NEUT;SG	N
noorden	北	noorden	北	N;NEUT;SG	N
noorden	北部	noorden	北部	N;NEUT;SG	N
foto	像片	foto	像片	N;MASC+FEM;SG	N
foto	照片	foto	照片	N;MASC+FEM;SG	N
foto	像片	foto	像片	N;MASC+FEM;SG	N
foto	照片	foto	照片	N;MASC+FEM;SG	N
foto	照片	foto	照片	N;MASC+FEM;SG	N
foto	圖片	foto	圖片	N;MASC+FEM;SG	N
gewone	普通	gewoon	普通	ADJ	ADJ
wedstrijden	競賽	wedstrijd	競賽	N;PL	N
wedstrijden	火柴	wedstrijd	火柴	N;PL	N
elke	每個	elk	每個	DET	DET
elke	每	elk	每	DET	DET
elke	任何	elk	任何	DET	DET
elke	每個	elk	每個	DET	DET
politicus	政客	politicus	政客	N;MASC+FEM;SG	N
politicus	政治	politicus	政治	N;MASC+FEM;SG	N
burgemeester	市長	burgemeester	市長	N;MASC+FEM;SG	N
burgemeester	鎮長	burgemeester	鎮長	N;MASC+FEM;SG	N
bronnen	來源	bron	來源	N;PL	N
bronnen	資源	bron	資源	N;PL	N
bronnen	彈簧	bron	彈簧	N;PL	N
minister	大臣	minister	大臣	N;MASC+FEM;SG	N
minister	部長	minister	部長	N;MASC+FEM;SG	N
dochter	女兒	dochter	女兒	N;MASC+FEM;SG	N
kampioen	冠軍	kampioen	冠軍	N;MASC+FEM;SG	N
kampioen	冠軍	kampioen	冠軍	N;MASC+FEM;SG	N
basis	基地	basis	基地	N;MASC+FEM;SG	N
basis	基礎	basis	基礎	N;MASC+FEM;SG	N
basis	基數	basis	基數	N;MASC+FEM;SG	N
kop	頭條	kop	頭條	N;MASC+FEM;SG	N
kop	標題	kop	標題	N;MASC+FEM;SG	N
acteur	男	acteur	男	N;MASC+FEM;SG	N
acteur	演員	acteur	演員	N;MASC+FEM;SG	N
toernooi	錦標	toernooi	錦標	N;NEUT;SG	N
woord	詞	woord	詞	N;NEUT;SG	N
woord	單詞	woord	單詞	N;NEUT;SG	N
woord	字	woord	字	N;NEUT;SG	N
woord	單字	woord	單字	N;NEUT;SG	N
regering	政府	regering	政府	N;MASC+FEM;SG	N
zuiden	南	zuiden	南	N;NEUT;SG	N
zuiden	南部	zuiden	南部	N;NEUT;SG	N
rijk	豐富	rijk	豐富	ADJ	ADJ
uur	小時	uur	小時	N;NEUT;SG	N
uur	時辰	uur	時辰	N;NEUT;SG	N
uur	小時	uur	小時	N;NEUT;SG	N
kasteel	城堡	kasteel	城堡	N;NEUT;SG	N
kasteel	城	kasteel	城	N;NEUT;SG	N
verloop	梯度	verloop	梯度	N;NEUT;SG	N
hoogste	最高	hoog	最高	ADJ;RL	ADJ
categorie	類別	categorie	類別	N;MASC+FEM;SG	N
reden	理由	reden	理由	N;MASC+FEM;SG	N
reden	理性	reden	理性	N;MASC+FEM;SG	N
reden	原因	reden	原因	N;MASC+FEM;SG	N
gebruiken	使用	gebruiken	使用	V;NFIN	V
gebruiken	利用	gebruiken	利用	V;NFIN	V
gebruiken	使用	gebruiken	使用	V;NFIN	V
kort	簡短	kort	簡短	ADJ	ADJ
kort	簡短	kort	簡短	ADJ	ADJ
moeder	母后	moeder	母后	N;MASC+FEM;SG	N
moeder	母親	moeder	母親	N;MASC+FEM;SG	N
schrijver	作家	schrijver	作家	N;MASC+FEM;SG	N
schrijver	作者	schrijver	作者	N;MASC+FEM;SG	N
schrijver	編劇	schrijver	編劇	N;MASC+FEM;SG	N
schrijver	作者	schrijver	作者	N;MASC+FEM;SG	N
les	教訓	les	教訓	N;MASC+FEM;SG	N
les	課	les	課	N;MASC+FEM;SG	N
kilometer	公里	kilometer	公里	N;MASC+FEM;SG	N
kilometer	公里	kilometer	公里	N;MASC+FEM;SG	N
kilometer	公里	kilometer	公里	N;MASC+FEM;SG	N
misschien	或	misschien	或	ADV	ADV
misschien	或	misschien	或	ADV	ADV
misschien	也	misschien	也	ADV	ADV
gedaan	完成	doen	完成	V;V.PTCP	V
tour	游	tour	游	N;MASC+FEM;SG	N
tour	導覽	tour	導覽	N;MASC+FEM;SG	N
tour	旅遊	tour	旅遊	N;MASC+FEM;SG	N
vraag	問題	vraag	問題	N;MASC+FEM;SG	N
lengte	長度	lengte	長度	N;MASC+FEM;SG	N
lengte	身高	lengte	身高	N;MASC+FEM;SG	N
lengte	高度	lengte	高度	N;MASC+FEM;SG	N
bevat	含有	bevatten	含有	V;SG;PRS;FIN	V
bevat	包含	bevatten	包含	V;SG;PRS;FIN	V
rivier	河	rivier	河	N;MASC+FEM;SG	N
rivier	江河	rivier	江河	N;MASC+FEM;SG	N
rivier	河流	rivier	河流	N;MASC+FEM;SG	N
echt	真實	echt	真實	ADJ	ADJ
positie	職位	positie	職位	N;MASC+FEM;SG	N
positie	位置	positie	位置	N;MASC+FEM;SG	N
positie	立場	positie	立場	N;MASC+FEM;SG	N
hetzelfde	相同	hetzelfde	相同	ADJ	ADJ
vind	找到	vinden	找到	V;SG;PRS;FIN	V
