жлези	αδένες	жлез	άδενα	N;INDF;FEM;PL	N;NOM;MASC;PL
радиус	ακτίνα	радиус	ακτίνα	N;INDF;MASC;SG	N;ACC;FEM;SG
здрави	υγιή	здрав	υγιή	ADJ;INDF;PL	ADJ;NOM;NEUT;PL
здрави	υγιείς	здрав	υγιής	ADJ;INDF;PL	ADJ;NOM;MASC;PL
ориз	ρύζι	ориз	ρύζι	N;INDF;MASC;SG	N;NOM;NEUT;SG
дванадесет	δώδεκα	дванадесет	δώδεκα	NUM;INDF;PL	NUM;NOM;MASC;PL
подчинени	εξαρτημένων	подчиня-(се)	εξαρτημένος	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;GEN;MASC;PL;V.PTCP;PASS
ястия	γεύματα	ястие	γεύμα	N;INDF;NEUT;PL	N;NOM;NEUT;PL
ястия	πιάτα	ястие	πιάτα	N;INDF;NEUT;PL	N;NOM;NEUT;PL
дискове	δίσκους	диск	δίσκος	N;INDF;MASC;PL	N;ACC;MASC;PL
дискове	δίσκοι	диск	δίσκος	N;INDF;MASC;PL	N;NOM;MASC;PL
дискове	δίσκους	диск	δίσκος	N;INDF;MASC;PL	N;ACC;MASC;PL
дискове	δίσκοι	диск	δίσκος	N;INDF;MASC;PL	N;NOM;MASC;PL
анкара	αγκυρα	анкара	άγκυρα	N;INDF;FEM;SG	N;NOM;FEM;SG
мирно	ειρηνικά	мирно	ειρηνικά	ADV	ADV
дървена	ξύλινη	дървен	ξυλένιος	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
изработен	δημιουργημένο	изработя	δημιουργημένος	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
прогрес	πρόοδος	прогрес	πρόοδος	N;INDF;MASC;SG	N;NOM;FEM;SG
прогрес	πρόοδο	прогрес	πρόοδος	N;INDF;MASC;SG	N;ACC;FEM;SG
изпратена	στάλθηκε	изпратя	στέλνω	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
изпратена	εστάλη	изпратя	εστάλλω	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
процесите	διεργασίες	процес	διεργασία	N;DEF;MASC;PL	N;NOM;FEM;PL
леля	θεία	леля	θεία	N;INDF;FEM;SG	N;NOM;FEM;SG
леля	θεια	леля	θεια	N;INDF;FEM;SG	N;NOM;FEM;SG
леля	θεία	леля	θεία	N;INDF;FEM;SG	N;NOM;FEM;SG
леля	θεια	леля	θεια	N;INDF;FEM;SG	N;NOM;FEM;SG
контузия	τραύμα	контузия	τραύμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
контузия	ζημία	контузия	ζημία	N;INDF;FEM;SG	N;ACC;FEM;SG
контузия	τραυματισμός	контузия	τραυματισμός	N;INDF;FEM;SG	N;NOM;MASC;SG
контузия	ζημίας	контузия	ζημία	N;INDF;FEM;SG	N;GEN;FEM;SG
скок	άλμα	скок	άλμα	N;INDF;MASC;SG	N;NOM;NEUT;SG
скок	άλμα	скок	άλμα	N;INDF;MASC;SG	N;NOM;NEUT;SG
цикъла	κύκλου	цикъл	κύκλος	N;DEF;MASC;SG	N;GEN;MASC;SG
цикъла	κύκλο	цикъл	κύκλος	N;DEF;MASC;SG	N;ACC;MASC;SG
цикъла	κύκλος	цикъл	κύκλος	N;DEF;MASC;SG	N;NOM;MASC;SG
частична	μερική	частичен	μερικοί	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
люк	λουκ	люк	λουκ	N;INDF;MASC;SG	N;NOM;NEUT;SG
люк	λούκ	люк	λούκ	N;INDF;MASC;SG	N;NOM;NEUT;SG
съпротивление	αντοχή	съпротивление	αντοχή	N;INDF;NEUT;SG	N;ACC;FEM;SG
съпротивление	αντίστασης	съпротивление	αντίσταση	N;INDF;NEUT;SG	N;GEN;FEM;SG
съпротивление	αντίσταση	съпротивление	αντίσταση	N;INDF;NEUT;SG	N;ACC;FEM;SG
съпротивление	ανθεκτικότητα	съпротивление	ανθεκτικότητα	N;INDF;NEUT;SG	N;ACC;FEM;SG
ресторант	εστιατόριο	ресторант	εστιατόριο	N;INDF;MASC;SG	N;NOM;NEUT;SG
дева	ντέβα	дева	ντέβα	N;INDF;FEM;SG	N
победителите	νικητές	победител	νικητής	N;DEF;MASC;PL	N;NOM;MASC;PL
азиатски	ασιατική	азиатски	ασιατικός	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
азиатски	ασιατικό	азиатски	ασιατικός	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
умерено	μετρίως	умерено	μετρίως	ADV	ADV
анатомия	ανατομία	анатомия	ανατομία	N;INDF;FEM;SG	N;NOM;FEM;SG
истинска	πραγματικός	истински	πραγματικός	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
истинска	πραγματικό	истински	πραγματικός	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
задвижване	πρόωσης	задвижване	πρόωση	N;INDF;NEUT;SG	N;GEN;FEM;SG
формиране	σχηματισμός	формиране	σχηματισμός	N;INDF;NEUT;SG	N;NOM;MASC;SG
формиране	σχηματισμό	формиране	σχηματισμός	N;INDF;NEUT;SG	N;ACC;MASC;SG
агенцията	πρακτορείο	агенция	πρακτορείο	N;DEF;FEM;SG	N;NOM;NEUT;SG
агенцията	υπηρεσία	агенция	υπηρεσία	N;DEF;FEM;SG	N;NOM;FEM;SG
агенцията	οργανισμός	агенция	οργανισμός	N;DEF;FEM;SG	N;NOM;MASC;SG
разработени	αναπτύχθηκαν	разработя-(се)	αναπτύσσω	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;IND;PL;3;PST;FIN;PASS
разработени	αναπτυχθεί	разработя-(се)	αναπτύσσω	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;NFIN;PASS
установка	εκτοξευτή	установка	εκτοξευτής	N;INDF;FEM;SG	N
календара	ημερολόγιο	календар	ημερολόγιο	N;DEF;MASC;SG	N;NOM;NEUT;SG
археолог	αρχαιολόγος	археолог	αρχαιολόγος	N;INDF;MASC;SG	N;NOM;MASC;SG
археолог	αρχαιολόγος	археолог	αρχαιολόγος	N;INDF;MASC;SG	N;NOM;MASC;SG
състави	συνθέσεις	съставя	σύνθεση	N;INDF;FEM;PL	N;NOM;FEM;PL
състави	συνθέσεις	съставя	σύνθεση	N;INDF;FEM;PL	N;NOM;FEM;PL
състави	συνθέσεων	съставя	σύνθεση	N;INDF;FEM;PL	N;GEN;FEM;PL
костите	κόκκαλα	кост	κόκκαλα	N;DEF;FEM;PL	N;NOM;NEUT;PL
костите	οστά	кост	οστά	N;DEF;FEM;PL	N;NOM;NEUT;PL
костите	κόκαλα	кост	κόκαλο	N;DEF;FEM;PL	N;NOM;NEUT;PL
слиза	κατεβαίνει	слизам	κατεβαίνω	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
пръст	δάχτυλό	пръст	δάχτυλος	N;INDF;MASC;SG	N;NOM;NEUT;SG
пръст	δάχτυλο	пръст	δάχτυλος	N;INDF;MASC;SG	N;NOM;NEUT;SG
пръст	δάκτυλο	пръст	δάκτυλος	N;INDF;MASC;SG	N;NOM;NEUT;SG
пръст	δάχτυλο	пръст	δάχτυλος	N;INDF;MASC;SG	N;NOM;NEUT;SG
параметър	παράμετρος	параметър	παράμετρος	N;INDF;MASC;SG	N;NOM;FEM;SG
единна	ενιαία	единен	ενιαίος	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
астрономия	αστρονομία	астрономия	αστρονομία	N;INDF;FEM;SG	N;NOM;FEM;SG
президентските	προεδρικές	президентски	προεδρικός	ADJ;DEF;PL	ADJ;NOM;FEM;PL
сокол	γεράκι	сокол	γεράκι	N;INDF;MASC;SG	N;NOM;NEUT;SG
сокол	φάλκον	сокол	φάλκον	N;INDF;MASC;SG	N;NOM;MASC;SG
изкуствен	τεχνητή	изкуствен	τεχνητός	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
изкуствен	τεχνητό	изкуствен	τεχνητός	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
великден	πάσχα	великден	πάσχα	N;INDF;MASC;SG	N;NOM;NEUT;SG
неочаквано	απροσδόκητα	неочаквано	απροσδόκητα	ADV	ADV
неочаквано	απρόσμενα	неочаквано	απρόσμενος	ADV	ADV
неочаквано	αναπάντεχα	неочаквано	αναπάντεχα	ADV	ADV
агенти	παράγοντες	агент	παράγοντας	N;INDF;MASC;PL	N;NOM;MASC;PL
агенти	πράκτορες	агент	πράκτορας	N;INDF;MASC;PL	N;NOM;MASC;PL
организирано	οργανωμένο	организирам	οργανωμένος	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
организирано	οργανωμένη	организирам	οργανωμένος	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
организирано	οργανωμένου	организирам	οργανωμένος	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;GEN;NEUT;SG;V.PTCP;PASS
организирано	οργανωμένη	организирам	οργανωμένος	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
организирано	οργανωμένο	организирам	οργανωμένος	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
екзарх	έξαρχος	екзарх	έξαρχος	N;INDF;MASC;SG	N;NOM;MASC;SG
донякъде	κάπως	дякъде	κάπως	ADV	ADV
построено	κατασκευάστηκε	построя-(се)	κατασκευάζω	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
построено	χτίστηκε	построя-(се)	χτίζω	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
построено	χτισμένο	построя-(се)	χτίζω	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
спортно	αθλητικά	спортен	αθλητικά	ADV	ADV
стихотворение	ποίημα	стихотворение	ποίημα	N;INDF;NEUT;SG	N;NOM;NEUT;SG
руините	χαλάσματα	руина	χάλασμα	N;DEF;FEM;PL	N;NOM;NEUT;PL
руините	ερείπια	руина	ερείπιο	N;DEF;FEM;PL	N;NOM;NEUT;PL
финландски	φινλανδική	финландски	φινλανδικός	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
дистанция	απόσταση	дистанция	απόσταση	N;INDF;FEM;SG	N;ACC;FEM;SG
клеопатра	κλεοπάτρα	клеопатър	κλεοπάτρα	N;INDF;FEM;SG	N;NOM;FEM;SG
пирамида	πυραμίδα	пирамида	πυραμίδα	N;INDF;FEM;SG	N;NOM;FEM;SG
психологията	ψυχολογία	психология	ψυχολογία	N;DEF;FEM;SG	N;ACC;FEM;SG
магнус	μάγκνους	магнус	μάγκνος	N;INDF;MASC;SG	N;NOM;NEUT;SG
създателите	δημιουργοί	създател	δημιουργός	N;DEF;MASC;PL	N;NOM;MASC;PL
създателите	δημιουργούς	създател	δημιουργός	N;DEF;MASC;PL	N;ACC;MASC;PL
създателите	κατασκευαστές	създател	κατασκευαστής	N;DEF;MASC;PL	N;NOM;MASC;PL
създателите	δημιουργοί	създател	δημιουργός	N;DEF;MASC;PL	N;NOM;MASC;PL
тясна	στενή	тесен	στενός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
гренландия	γροιλανδίας	гренланди	γροιλανδία	N;INDF;FEM;SG	N;GEN;FEM;SG
аргумент	επιχείρημα	аргумент	επιχείρημα	N;INDF;MASC;SG	N;NOM;NEUT;SG
спиране	πέδησης	спиране	πέδηση	N;INDF;NEUT;SG	N;GEN;FEM;SG
спиране	πέδηση	спиране	πέδηση	N;INDF;NEUT;SG	N;NOM;FEM;SG
спиране	αλτ	спиране	αλτ	N;INDF;NEUT;SG	N
синтез	σύντηξη	синтез	σύντηξη	N;INDF;MASC;SG	N;ACC;FEM;SG
синтез	τήξη	синтез	τήξη	N;INDF;MASC;SG	N;NOM;FEM;SG
синтез	σύντηξης	синтез	σύντηξη	N;INDF;MASC;SG	N;GEN;FEM;SG
синтез	σύνθεση	синтез	σύνθεση	N;INDF;MASC;SG	N;ACC;FEM;SG
мускули	μυς	мускул	μου	N;INDF;MASC;PL	N;NOM;MASC;PL
мускули	μύες	мускул	μύος	N;INDF;MASC;PL	N;NOM;MASC;PL
мускули	μυς	мускул	μου	N;INDF;MASC;PL	N;NOM;MASC;PL
мускули	μύες	мускул	μύος	N;INDF;MASC;PL	N;NOM;MASC;PL
етапи	φάσεις	етапя	φάση	N;INDF;MASC;PL	N;NOM;FEM;PL
етапи	στάδια	етапя	στάδιο	N;INDF;MASC;PL	N;NOM;NEUT;PL
етапи	στάδια	етапя	στάδιο	N;INDF;MASC;PL	N;NOM;NEUT;PL
етапи	φάσεις	етапя	φάση	N;INDF;MASC;PL	N;NOM;FEM;PL
комитети	επιτροπές	комитет	επιτροπή	N;INDF;MASC;PL	N;NOM;FEM;PL
сесия	συνεδρία	сесия	συνεδρία	N;INDF;FEM;SG	N;NOM;FEM;SG
вулкана	ηφαίστειο	вулкан	ηφαίστειο	N;DEF;MASC;SG	N;NOM;NEUT;SG
освобождаване	απελευθέρωση	освобождаване	απελευθέρωση	N;INDF;NEUT;SG	N;NOM;FEM;SG
освобождаване	αποδέσμευση	освобождаване	αποδέσμευση	N;INDF;NEUT;SG	N;ACC;FEM;SG
освобождаване	ελευθέρωση	освобождаване	ελευθέρωση	N;INDF;NEUT;SG	N;ACC;FEM;SG
освобождаване	εξαίρεση	освобождаване	εξαίρεση	N;INDF;NEUT;SG	N;ACC;FEM;SG
освобождаване	απαλλαγή	освобождаване	απαλλαγή	N;INDF;NEUT;SG	N;ACC;FEM;SG
ръкопис	χειρόγραφο	ръкопис	χειρόγραφο	N;INDF;MASC;SG	N;NOM;NEUT;SG
сняг	χιόνι	сняг	χιόνι	N;INDF;MASC;SG	N;NOM;NEUT;SG
записано	καταγεγραμμένη	запиша-(се)	καταγεγράμμενος	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;NOM;FEM;SG;V.PTCP;PASS
записано	καταγράφηκε	запиша-(се)	καταγράφω	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
реалност	πραγματικότητα	реалност	πραγματικότητα	N;INDF;FEM;SG	N;ACC;FEM;SG
интервюта	συνεντεύξεις	интервю	σύνεντευξη	N;INDF;NEUT;PL	N;NOM;FEM;PL
ватикана	βατικανό	ватикан	βατικανός	N;DEF;MASC;SG	N;NOM;NEUT;SG
масиви	συστοιχίες	масив	συστοιχία	N;INDF;MASC;PL	N;NOM;FEM;PL
курорти	θέρετρα	курорт	θέρετρο	N;INDF;MASC;PL	N;NOM;NEUT;PL
консулски	προξενική	консулски	προξενικός	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;SG
жител	κάτοικος	жител	κάτοικος	N;INDF;MASC;SG	N;NOM;MASC;SG
жител	κάτοικο	жител	κάτοικος	N;INDF;MASC;SG	N;ACC;MASC;SG
жител	κάτοικος	жител	κάτοικος	N;INDF;MASC;SG	N;NOM;MASC;SG
жител	κάτοικο	жител	κάτοικος	N;INDF;MASC;SG	N;ACC;MASC;SG
представления	παραστάσεις	представление	παράσταση	N;INDF;NEUT;PL	N;NOM;FEM;PL
отказ	άρνηση	отказ	άρνηση	N;INDF;MASC;SG	N;ACC;FEM;SG
отказ	άρνηση	отказ	άρνηση	N;INDF;MASC;SG	N;ACC;FEM;SG
навън	έξω	навън	έξω	ADV	ADV
навън	εξω	навън	εξω	ADV	ADV
навън	έξω	навън	έξω	ADV	ADV
навън	εξω	навън	εξω	ADV	ADV
присъединяване	προσχώρηση	присъединяване	προσχώρηση	N;INDF;NEUT;SG	N;ACC;FEM;SG
присъединяване	ένταξη	присъединяване	ένταξη	N;INDF;NEUT;SG	N;ACC;FEM;SG
присъединяване	προσχώρησης	присъединяване	προσχώρηση	N;INDF;NEUT;SG	N;GEN;FEM;SG
продажбите	πωλήσεων	продажба	πώληση	N;DEF;FEM;PL	N;GEN;FEM;PL
продажбите	πωλήσεις	продажба	πώληση	N;DEF;FEM;PL	N;NOM;FEM;PL
свидетелство	πιστοποιητικό	свидетелство	πιστοποιητικό	N;INDF;NEUT;SG	N;NOM;NEUT;SG
художниците	ζωγράφοι	художник	ζωγράφος	N;DEF;MASC;PL	N;NOM;MASC;PL
бележка	νότα	бележка	νότος	N;INDF;FEM;SG	N;NOM;FEM;SG
бележка	σημείωμα	бележка	σημείωμα	N;INDF;FEM;SG	N;NOM;NEUT;SG
бележка	σημείωση	бележка	σημείωση	N;INDF;FEM;SG	N;NOM;FEM;SG
бележка	υπόμνημα	бележка	υπόμνημα	N;INDF;FEM;SG	N;NOM;NEUT;SG
мероприятия	γεγονότα	мероприятие	γεγονός	N;INDF;NEUT;PL	N;NOM;NEUT;PL
мероприятия	γεγονοτα	мероприятие	γεγονος	N;INDF;NEUT;PL	N;NOM;NEUT;PL
мероприятия	συμβάντα	мероприятие	συμβάντα	N;INDF;NEUT;PL	N;NOM;NEUT;PL
мероприятия	εκδηλώσεις	мероприятие	εκδήλωση	N;INDF;NEUT;PL	N;NOM;FEM;PL
охлаждане	ψύξη	охлаждане	ψύξη	N;INDF;NEUT;SG	N;NOM;FEM;SG
охлаждане	ψύξης	охлаждане	ψύξη	N;INDF;NEUT;SG	N;GEN;FEM;SG
охлаждане	ψύξη	охлаждане	ψύξη	N;INDF;NEUT;SG	N;NOM;FEM;SG
пресата	τύπου	преса	τύπος	N;DEF;FEM;SG	N;GEN;MASC;SG
пресата	τύπος	преса	τύπος	N;DEF;FEM;SG	N;NOM;MASC;SG
окото	μάτι	око	μάτι	N;DEF;NEUT;SG	N;NOM;NEUT;SG
окото	ματι	око	ματι	N;DEF;NEUT;SG	N;NOM;NEUT;SG
окото	οφθαλμός	око	οφθαλμός	N;DEF;NEUT;SG	N;NOM;MASC;SG
костенурки	χελώνες	костенурка	χελώνας	N;INDF;FEM;PL	N;NOM;FEM;PL
костенурки	χελώνες	костенурка	χελώνας	N;INDF;FEM;PL	N;NOM;FEM;PL
заменена	αντικαταστάθηκε	заменя	αντικαθιστώ	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
преса	τύπου	преса	τύπος	N;INDF;FEM;SG	N;GEN;MASC;SG
преса	τύπος	преса	τύπος	N;INDF;FEM;SG	N;NOM;MASC;SG
бета	βήτα	бет	βήτα	N;INDF;FEM;SG	N
регистрация	καταχώριση	регистрация	καταχώριση	N;INDF;FEM;SG	N;ACC;FEM;SG
регистрация	καταχώρηση	регистрация	καταχώρηση	N;INDF;FEM;SG	N;ACC;FEM;SG
регистрация	καταχώρισης	регистрация	καταχώριση	N;INDF;FEM;SG	N;GEN;FEM;SG
регистрация	καταγραφή	регистрация	καταγραφή	N;INDF;FEM;SG	N;ACC;FEM;SG
регистрация	εγγραφή	регистрация	εγγραφή	N;INDF;FEM;SG	N;NOM;FEM;SG
ням	χαζό	аз	χαζό	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
храсти	θάμνους	храст	θάμνος	N;INDF;MASC;PL	N;ACC;MASC;PL
храсти	θάμνοι	храст	θάμνος	N;INDF;MASC;PL	N;NOM;MASC;PL
показване	εμφάνιση	показване	εμφάνιση	N;INDF;NEUT;SG	N;ACC;FEM;SG
показване	προβολή	показване	προβολή	N;INDF;NEUT;SG	N;NOM;FEM;SG
показване	απεικόνιση	показване	απεικόνιση	N;INDF;NEUT;SG	N;NOM;FEM;SG
показване	εμφάνιση	показване	εμφάνιση	N;INDF;NEUT;SG	N;ACC;FEM;SG
показване	παράσταση	показване	παράσταση	N;INDF;NEUT;SG	N;ACC;FEM;SG
платна	καμβάδες	платно	καμβάδα	N;INDF;NEUT;PL	N;NOM;FEM;PL
платна	καμβά	платно	καμβάν	N;INDF;NEUT;PL	N
платна	πανιά	платно	πανιά	N;INDF;NEUT;PL	N;NOM;NEUT;PL
ирански	ιρανικό	ирански	ιρανικός	ADJ;INDF;MASC;SG	ADJ;NOM;NEUT;SG
про	επαγγελματίας	про	επαγγελματίας	N;INDF;MASC;SG	N;NOM;FEM;SG
износ	εξαγωγή	износ	εξαγωγή	N;INDF;MASC;SG	N;NOM;FEM;SG
износ	εξαγωγής	износ	εξαγωγή	N;INDF;MASC;SG	N;GEN;FEM;SG
марта	μάρθα	марта	μάρθα	N;INDF;FEM;SG	N
рицарите	ιππότες	рицар	ιππότης	N;DEF;MASC;PL	N;NOM;MASC;PL
индекс	δείκτης	индекс	δείκτης	N;INDF;MASC;SG	N;NOM;MASC;SG
индекс	δείκτη	индекс	δείκτης	N;INDF;MASC;SG	N;ACC;MASC;SG
лодка	σκάφος	лодка	σκάφος	N;INDF;FEM;SG	N;NOM;NEUT;SG
лодка	βάρκα	лодка	βάρκα	N;INDF;FEM;SG	N;ACC;FEM;SG
лодка	πλοίο	лодка	πλοίο	N;INDF;FEM;SG	N;NOM;NEUT;SG
лодка	καράβι	лодка	καράβι	N;INDF;FEM;SG	N;NOM;NEUT;SG
йога	γιόγκα	йога	γιόγκα	N;INDF;FEM;SG	N;NOM;FEM;SG
емигранти	μετανάστες	емигрант	μετανάστης	N;INDF;MASC;PL	N;NOM;MASC;PL
платно	καμβά	платно	καμβάν	N;INDF;NEUT;SG	N
