von	من	von	مِن	ADP	ADP
kam	جاء	kommen	جَاء	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
vier	اربع	vier	أَربَعَة	NUM	NUM;NOM;INDF;FEM
vier	اربعة	vier	أَربَعَة	NUM	NUM;NOM;INDF;MASC
seite	جانب	seit	جَانِب	N	N;NOM;INDF;SG
seite	الجانب	seit	جَانِب	N	N;NOM;DEF;SG
seite	صفحة	seit	صَفحَة	N	N;NOM;INDF;SG
seite	الصفحة	seit	صَفحَة	N	N;NOM;DEF;SG
gab	اعطى	geben	أَعطَى	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
gab	اعطيت	geben	أَعطَى	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;PASS
leben	تعيش	leben	عَاش	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
leben	يعيش	leben	عَاش	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
viele	كثيرون	viel	كَثِير	ADJ;NOM;INDF;PL	ADJ;NOM;INDF;MASC;PL
ebenfalls	ايضا	ebenfalls	أَيضًا	ADV	ADV
ebenfalls	ايضا	ebenfalls	أَيضًا	ADV	ADV
löschen	يحذف	löschen	حَذَف	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
löschen	احذف	löschen	أَحذَف	V;NFIN	V;PFV;MASC;SG;3;ACT
löschen	تحذف	löschen	حَذَف	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
löschen	حذف	löschen	حَذف	V;NFIN	V;PFV;MASC;SG;3;ACT
erhielt	استقبل	erhalten	اِستَقبَل	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
erhielt	تلقت	erhalten	تَلَقَّى	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
erhielt	وردت	erhalten	وَرَد	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
bekannt	المعروفة	bekennen	مَعرُوف	ADJ	ADJ;NOM;DEF;FEM;SG
bekannt	معلوم	bekennen	مَعلُوم	ADJ	ADJ;NOM;INDF;MASC;SG
bekannt	معروف	bekennen	مَعرُوف	ADJ	ADJ;NOM;INDF;MASC;SG
bekannt	معروفة	bekennen	مَعرُوف	ADJ	ADJ;NOM;INDF;FEM;SG
bekannt	المعروف	bekennen	مَعرُوف	ADJ	ADJ;NOM;DEF;MASC;SG
ort	المكان	ort	مَكَان	N;NOM;MASC;SG	N;NOM;DEF;SG
ort	مكان	ort	مَكَان	N;NOM;MASC;SG	N;NOM;INDF;SG
ort	المكان	ort	مَكَان	N;NOM;MASC;SG	N;NOM;DEF;SG
ort	موقع	ort	مَوقِع	N;NOM;MASC;SG	N;NOM;INDF;SG
ort	الموقع	ort	مَوقِع	N;NOM;MASC;SG	N;NOM;DEF;SG
ort	المكان	ort	مَكَان	N;NOM;MASC;SG	N;NOM;DEF;SG
saison	موسم	saison	مَوسِم	N;NOM;FEM;SG	N;NOM;INDF;SG
saison	الموسم	saison	مَوسِم	N;NOM;FEM;SG	N;NOM;DEF;SG
art	النوع	art	نَوع	N;NOM;FEM;SG	N;NOM;DEF;SG
art	نوع	art	نَوع	N;NOM;FEM;SG	N;NOM;INDF;SG
art	نوع	art	نَوع	N;NOM;FEM;SG	N;NOM;INDF;SG
stand	وقفت	stehen	وَقَف	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
politiker	السياسيون	politik	سِيَاسِيّ	ADJ	ADJ;NOM;DEF;MASC;PL
politiker	سياسية	politik	سِيَاسِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
politiker	سياسي	politik	سِيَاسِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
politiker	السياسي	politik	سِيَاسِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
personen	افراد	Person	فَرد	N;NOM;FEM;PL	N;NOM;INDF;PL
personen	الافراد	Person	فَرد	N;NOM;FEM;PL	N;NOM;DEF;PL
personen	اشخاص	Person	شَخص	N;NOM;FEM;PL	N;NOM;INDF;PL
personen	اناس	Person	اناس	N;NOM;FEM;PL	N;NOM;INDF;PL
personen	الاشخاص	Person	شَخص	N;NOM;FEM;PL	N;NOM;DEF;PL
personen	الناس	Person	إِنسَان	N;NOM;FEM;PL	N;NOM;DEF;PL
gut	خير	gut	خَير	ADJ	ADJ;NOM;INDF;MASC;SG
gut	جيد	gut	جَيِّد	ADJ	ADJ;NOM;INDF;MASC;SG
gut	حسنا	gut	حسنا	ADJ	ADJ;ACC;INDF;MASC;SG
familie	عائلة	familie	عَائِلَة	N;NOM;FEM;SG	N;NOM;INDF;SG
familie	الاسرة	familie	أُسرَة	N;NOM;FEM;SG	N;NOM;DEF;SG
familie	اسرة	familie	أُسرَة	N;NOM;FEM;SG	N;NOM;INDF;SG
familie	العائلة	familie	عَائِلَة	N;NOM;FEM;SG	N;NOM;DEF;SG
name	اسم	Name	اِسم	N;NOM;SG	N;NOM;INDF;SG
name	الاسم	Name	اِسم	N;NOM;SG	N;NOM;DEF;SG
behalten	احتفظ	behalten	اِحتَفَظ	V;NFIN	V;PFV;MASC;SG;3;ACT
sohn	الابن	sohnen	اِبن	N;NOM;MASC;SG	N;NOM;DEF;SG
außerdem	ايضا	außerdem	أَيضًا	ADV	ADV
gehört	سمعت	gehören	سَمَع	V;V.PTCP	V;PFV;FEM;SG;3;ACT
gehört	سمع	gehören	سَمع	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gehört	ينتمي	gehören	اِنتَمَى	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
gehört	استمعت	gehören	اِستَمَع	V;V.PTCP	V;PFV;FEM;SG;3;ACT
gehört	يملك	gehören	مَلَك	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
gehört	يمتلك	gehören	اِمتَلَك	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
gelöscht	حذفت	löschen	حَذَف	V;V.PTCP	V;PFV;FEM;SG;3;ACT
denn	لان	denn	لِأَنَّ	CONJ	CONJ
kommt	يصل	kommen	وَصَل	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
kommt	ياتي	kommen	ياتي	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
menschen	اشخاص	menschen	شَخص	N;NOM;PL	N;NOM;INDF;PL
menschen	اناس	menschen	اناس	N;NOM;PL	N;NOM;INDF;PL
menschen	الاشخاص	menschen	شَخص	N;NOM;PL	N;NOM;DEF;PL
menschen	الناس	menschen	إِنسَان	N;NOM;PL	N;NOM;DEF;PL
begann	بدات	beginnen	بَدَأ	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
begann	بدا	beginnen	بَدَا	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
englisch	انجليزية	englisch	إِنجلِيزِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
danach	اذن	danach	إِذَن	ADV	ADV
fünf	خمسة	fünf	خَمسَة	NUM	NUM;NOM;INDF;MASC
fünf	خمس	fünf	خَمسَة	NUM	NUM;NOM;INDF;FEM
könig	الملك	könig	مَلِك	N;NOM;SG	N;NOM;DEF;SG
besteht	تتكون	bestehen	تَكَوَّن	V;IND;SG;3;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
besteht	يتالف	bestehen	تَالف	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
besteht	يتكون	bestehen	تَكَوَّن	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
besteht	يصر	bestehen	أَصَرّ	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
form	شكل	form	شَكل	N;SG	N;NOM;INDF;SG
form	الشكل	form	شَكل	N;SG	N;NOM;DEF;SG
form	العفن	form	عَفَن	N;SG	N;NOM;DEF;SG
form	القالب	form	قَالِب	N;SG	N;NOM;DEF;SG
form	شكل	form	شَكل	N;SG	N;NOM;INDF;SG
form	الشكل	form	شَكل	N;SG	N;NOM;DEF;SG
form	استمارة	form	اِستِمَارَة	N;SG	N;NOM;INDF;SG
form	النموذج	form	نَمُوذَج	N;SG	N;NOM;DEF;SG
gruppe	مجموعة	grappe	مَجمُوعَة	N;NOM;FEM;SG	N;NOM;INDF;SG
gruppe	المجموعة	grappe	مَجمُوعَة	N;NOM;FEM;SG	N;NOM;DEF;SG
finden	يجد	finden	وَجَد	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
finden	يعثر	finden	عَثَر	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
finden	يخلص	finden	خَلَص	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
genannt	سميت	nennen	سَمَّى	V;V.PTCP	V;PFV;FEM;SG;3;PASS
genannt	دعا	nennen	دَعَا	V;V.PTCP	V;PFV;MASC;SG;3;ACT
genannt	اتصلت	nennen	اِتَّصَل	V;V.PTCP	V;PFV;FEM;SG;3;ACT
nahm	اخذت	nehmen	أَخَذ	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
spielte	لعبت	spielen	لَعِب	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
neu	جديد	neu	جَدِيد	ADJ	ADJ;NOM;INDF;MASC;SG
neu	جديدة	neu	جَدِيد	ADJ	ADJ;NOM;INDF;FEM;SG
neu	الجديد	neu	جَدِيد	ADJ	ADJ;NOM;DEF;MASC;SG
ging	رحت	gehen	رَحَت	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
ging	مشت	gehen	مَشت	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
ging	مشى	gehen	مشى	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
machen	جعل	machen	جَعَل	V;NFIN	V;PFV;MASC;SG;3;ACT
machen	صنع	machen	صَنَع	V;NFIN	V;PFV;MASC;SG;3;ACT
machen	جعل	machen	جَعَل	V;NFIN	V;PFV;MASC;SG;3;ACT
machen	صنع	machen	صَنَع	V;NFIN	V;PFV;MASC;SG;3;ACT
machen	اجعل	machen	أَجعَل	V;NFIN	V;PFV;MASC;SG;3;ACT
machen	اصنع	machen	أَصنَع	V;NFIN	V;PFV;MASC;SG;3;ACT
gewann	فاز	gewinnen	فَاز	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
frage	سؤال	frage	سُؤَال	N;NOM;FEM;SG	N;NOM;INDF;SG
frage	السؤال	frage	سُؤَال	N;NOM;FEM;SG	N;NOM;DEF;SG
kurz	قصيرة	kurz	قَصِير	ADJ	ADJ;NOM;INDF;FEM;SG
kurz	قصير	kurz	قَصِير	ADJ	ADJ;NOM;INDF;MASC;SG
kurz	مختصر	kurz	مُختَصِر	ADJ	ADJ;NOM;INDF;MASC;SG
unternehmen	الشركات	unternehmen	شَرِكَة	N;NOM;NEUT;PL	N;NOM;DEF;PL
unternehmen	شركات	unternehmen	شَرِكَة	N;NOM;NEUT;PL	N;NOM;INDF;PL
unternehmen	الاعمال	unternehmen	عَمَل	N;NOM;NEUT;PL	N;NOM;DEF;PL
verwendet	استعمل	verwenden	اِستَعمَل	V;V.PTCP	V;PFV;MASC;SG;3;ACT
verwendet	استخدم	verwenden	اِستَخدَم	V;V.PTCP	V;PFV;MASC;SG;3;ACT
verwendet	استخدمت	verwenden	اِستَخدَم	V;V.PTCP	V;PFV;FEM;SG;3;PASS
einfach	فقط	einfach	فَقَط	ADV	ADV
frau	امراة	frau	إِمرَاة	N;NOM;FEM;SG	N;NOM;INDF;SG
frau	المراة	frau	مَرَاة	N;NOM;FEM;SG	N;NOM;DEF;SG
frau	الزوجة	frau	زَوجَة	N;NOM;FEM;SG	N;NOM;DEF;SG
frau	زوجة	frau	زَوجَة	N;NOM;FEM;SG	N;NOM;INDF;SG
trat	دست	treten	دَسَا	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
trat	استقلت	treten	اِستَقَلّ	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
trat	انضمت	treten	اِنضَمّ	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
arbeit	العمل	arbeit	عَمَل	N;NOM;FEM;SG	N;NOM;DEF;SG
arbeit	عمل	arbeit	عَمَل	N;NOM;FEM;SG	N;NOM;INDF;SG
arbeit	العمالة	arbeit	عَمَالَة	N;NOM;FEM;SG	N;NOM;DEF;SG
arbeit	المخاض	arbeit	مَخَضّ	N;NOM;FEM;SG	N;NOM;DEF;SG
arbeit	عمالة	arbeit	عَمَالَة	N;NOM;FEM;SG	N;NOM;INDF;SG
macht	يصنع	machen	صَنَع	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
macht	يجعل	machen	جَعَل	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
landkreis	مقاطعة	landkreis	مُقَاطَعَة	N	N;NOM;INDF;SG
landkreis	المقاطعة	landkreis	مُقَاطَعَة	N	N;NOM;DEF;SG
landkreis	المنطقة	landkreis	مِنطَقَة	N	N;NOM;DEF;SG
landkreis	المقاطعة	landkreis	مُقَاطَعَة	N	N;NOM;DEF;SG
landkreis	منطقة	landkreis	مِنطَقَة	N	N;NOM;INDF;SG
führte	قاد	führen	قَاد	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
kategorie	الفئة	kategorie	فِئَة	N;NOM;FEM;SG	N;NOM;DEF;SG
kategorie	فئة	kategorie	فِئَة	N;NOM;FEM;SG	N;NOM;INDF;SG
gilt	ينطبق	gelten	اِنطَبَق	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
gilt	يسري	gelten	يسري	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
welt	عالم	welt	عَالَم	N;NOM;FEM;SG	N;NOM;INDF;SG
welt	الدنيا	welt	دِنِّيَا	N;NOM;FEM;SG	N;NOM;DEF;SG
welt	العالم	welt	عَالَم	N;NOM;FEM;SG	N;NOM;DEF;SG
haus	المنزل	haus	مَنزِل	N;NOM;NEUT;SG	N;NOM;DEF;SG
haus	منزل	haus	مَنزِل	N;NOM;NEUT;SG	N;NOM;INDF;SG
haus	البيت	haus	بَيت	N;NOM;NEUT;SG	N;NOM;DEF;SG
haus	المنزل	haus	مَنزِل	N;NOM;NEUT;SG	N;NOM;DEF;SG
haus	الوطن	haus	وَطَن	N;NOM;NEUT;SG	N;NOM;DEF;SG
haus	منزل	haus	مَنزِل	N;NOM;NEUT;SG	N;NOM;INDF;SG
haus	البيت	haus	بَيت	N;NOM;NEUT;SG	N;NOM;DEF;SG
fand	وجد	finden	وَجَد	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
fand	خلصت	finden	خَلَّص	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
fand	وجدت	finden	وَجَد	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
findet	يجد	finden	وَجَد	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
findet	يعثر	finden	عَثَر	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
findet	يخلص	finden	خَلَص	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
lang	طويلا	lang	طَوِيل	ADJ	ADJ;ACC;INDF;MASC;SG
lang	طويلة	lang	طَوِيل	ADJ	ADJ;NOM;INDF;FEM;SG
lang	طويل	lang	طَوِيل	ADJ	ADJ;NOM;INDF;MASC;SG
deutsch	الالمانية	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
deutsch	الالماني	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
deutsch	الماني	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
deutsch	المانية	deutsch	أَلمَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
deutsch	انجليزية	deutsch	إِنجلِيزِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
begriff	جملة	begreifen	جُملَة	N;MASC;SG	N;NOM;INDF;SG
begriff	العبارة	begreifen	عِبَارَة	N;MASC;SG	N;NOM;DEF;SG
begriff	عبارة	begreifen	عِبَارَة	N;MASC;SG	N;NOM;INDF;SG
begriff	المصطلح	begreifen	المصطلح	N;MASC;SG	N;NOM;DEF;SG
begriff	مصطلح	begreifen	مُصطَلَح	N;MASC;SG	N;NOM;INDF;SG
begriff	المفهوم	begreifen	مَفهُوم	N;MASC;SG	N;NOM;DEF;SG
gegründet	اسست	gründen	أَسَاس	V;V.PTCP	V;PFV;FEM;SG;3;PASS
gegründet	تاسست	gründen	تَاسَس	V;V.PTCP	V;PFV;FEM;SG;3;ACT
gegründet	تاسس	gründen	تَاسِس	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gegründet	انشئت	gründen	أَنشَأ	V;V.PTCP	V;PFV;FEM;SG;3;PASS
gegründet	تشكلت	gründen	تَشَكَّل	V;V.PTCP	V;PFV;FEM;SG;3;ACT
gegründet	شكلت	gründen	شَكَّل	V;V.PTCP	V;PFV;FEM;SG;3;PASS
folge	المتابعة	folge	مُتَابَعَة	N;NOM;FEM;SG	N;NOM;DEF;SG
folge	متابعة	folge	مُتَابَعَة	N;NOM;FEM;SG	N;NOM;INDF;SG
folge	حلقة	folge	حَلقَة	N;NOM;FEM;SG	N;NOM;INDF;SG
folge	الحلقة	folge	حَلقَة	N;NOM;FEM;SG	N;NOM;DEF;SG
folge	التسلسل	folge	تَسَلسُل	N;NOM;FEM;SG	N;NOM;DEF;SG
folge	تسلسل	folge	تسِلسِل	N;NOM;FEM;SG	N;NOM;INDF;SG
arbeitete	عملت	arbeiten	عَمِل	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
arbeitete	تعاونت	arbeiten	تَعَاوَن	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
einwohner	السكان	einwohner	سَاكِن	N;NOM;MASC;PL	N;NOM;DEF;PL
einwohner	المقيمون	einwohner	مُقَيَّم	N;NOM;MASC;PL	N;NOM;DEF;PL
einwohner	السكان	einwohner	سَاكِن	N;NOM;MASC;PL	N;NOM;DEF;PL
studierte	درست	studieren	دَرَس	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
kinder	الاولاد	kinder	وَلَد	N;NOM;NEUT;PL	N;NOM;DEF;PL
kinder	الاطفال	kinder	طِفل	N;NOM;NEUT;PL	N;NOM;DEF;PL
kinder	الاطفال	kinder	طِفل	N;NOM;NEUT;PL	N;NOM;DEF;PL
gerade	فقط	gerade	فَقَط	ADV	ADV
regie	الاخراج	Regie	خَرَج	N;NOM;FEM;SG	N;NOM;DEF;SG
sechs	ستة	sechs	سِتَّة	NUM	NUM;NOM;INDF;MASC
museum	المتحف	museum	مَتحَف	N;NOM;NEUT;SG	N;NOM;DEF;SG
museum	متحف	museum	مَتحَف	N;NOM;NEUT;SG	N;NOM;INDF;SG
musik	موسيقى	musik	مُوسِيقِيّ	N;NOM;FEM;SG	N;NOM;INDF;SG
musik	موسيقي	musik	مُوسِيقِيّ	N;NOM;FEM;SG	N;NOM;INDF;SG
musik	الموسيقى	musik	الموسيقى	N;NOM;FEM;SG	N;NOM;DEF;SG
möglich	ممكن	möglich	مُمكِن	ADJ	ADJ;NOM;INDF;MASC;SG
möglich	احتمالية	möglich	اِحتِمَالِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
thema	الموضوع	thema	مَوضُوع	N;NOM;NEUT;SG	N;NOM;DEF;SG
thema	موضوع	thema	مَوضُوع	N;NOM;NEUT;SG	N;NOM;INDF;SG
thema	السمة	thema	سِمَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
thema	سمة	thema	سِمَّة	N;NOM;NEUT;SG	N;NOM;INDF;SG
thema	الموضوع	thema	مَوضُوع	N;NOM;NEUT;SG	N;NOM;DEF;SG
thema	موضوع	thema	مَوضُوع	N;NOM;NEUT;SG	N;NOM;INDF;SG
thema	المسالة	thema	مَسأَلَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
thema	اصدار	thema	إِصدَار	N;NOM;NEUT;SG	N;NOM;INDF;SG
thema	الموضوع	thema	مَوضُوع	N;NOM;NEUT;SG	N;NOM;DEF;SG
rolle	بكرة	roll	بَكرَة	N;NOM;FEM;SG	N;NOM;INDF;SG
rolle	الدور	roll	دَور	N;NOM;FEM;SG	N;NOM;DEF;SG
rolle	دور	roll	دَور	N;NOM;FEM;SG	N;NOM;INDF;SG
rolle	تمرير	roll	تَمرِير	N;NOM;FEM;SG	N;NOM;INDF;SG
rolle	لفة	roll	لِفَة	N;NOM;FEM;SG	N;NOM;INDF;SG
damals	اذن	damals	إِذَن	ADV	ADV
werk	العمل	werk	عَمَل	N;NOM;NEUT;SG	N;NOM;DEF;SG
werk	عمل	werk	عَمَل	N;NOM;NEUT;SG	N;NOM;INDF;SG
werk	مصنع	werk	مَصنَع	N;NOM;NEUT;SG	N;NOM;INDF;SG
