nie	नहीं	nie	नहीं	PART;NEG	PART;NEG
będzie	होगी	być	हो	V;IPFV;IND;SG;3;FUT;FIN	V;FEM;IND;SG;3;FUT;FIN;ACT
będzie	करेगा	być	कर	V;IPFV;IND;SG;3;FUT;FIN	V;MASC;IND;SG;3;FUT;FIN;ACT
będzie	करेगी	być	कर	V;IPFV;IND;SG;3;FUT;FIN	V;FEM;IND;SG;3;FUT;FIN;ACT
będzie	होगा	być	हो	V;IPFV;IND;SG;3;FUT;FIN	V;MASC;IND;SG;3;FUT;FIN;ACT
dwie	दो	dwa	दो	NUM;ACC;FEM;PL	NUM
jednostka	यूनिट	jednostka	यूनिट	N;NOM;FEM;SG	N;NOM;FEM;SG;3
jednostka	इकाई	jednostka	इकाई	N;NOM;FEM;SG	N;NOM;FEM;SG;3
jednostka	ईकाई	jednostka	ईकाई	N;NOM;FEM;SG	N;NOM;FEM;SG;3
xix	xix	xix	xix		
nowy	नया	nowy	नया	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
nowy	नई	nowy	नया	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
osoby	लोग	osoba	लोग	N;NOM;FEM;PL	N;NOM;MASC;PL;3
artykuł	लेख	artykuł	लेख	N;NOM;MASC;SG	N;NOM;MASC;SG;3
artykuł	आलेख	artykuł	आलेख	N;NOM;MASC;SG	N;NOM;MASC;SG;3
grupa	ग्रुप	grupa	ग्रुप	N;NOM;FEM;SG	N;NOM;MASC;SG;3
grupa	समूह	grupa	समूह	N;NOM;FEM;SG	N;NOM;MASC;SG;3
com	com	com	com		
wojska	मिलिट्री	wojsko	मिलिट्री	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
wojska	सैनिक	wojsko	सैनिक	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wojska	फौजी	wojsko	फौजी	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wojska	सैन्य	wojsko	सैन्य	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wojska	आर्मी	wojsko	आर्मी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
wojska	फ़ौज	wojsko	फ़ौज	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
wojska	सेना	wojsko	सेना	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
wojska	फौज	wojsko	फौज	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
ffe	ffe	ff	ffe		
polityk	राजनीतिज्ञ	polityk	राजनीतिज्ञ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
lip	लिप	lip	लिप		
razem	साथ	razem	साथ	ADV	ADV;NOM;MASC;SG;3
trener	ट्रेनर	trener	ट्रेनर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trener	प्रशिक्षक	trener	प्रशिक्षक	N;NOM;MASC;SG	N;NOM;MASC;SG;3
trener	कोच	trener	कोच	N;NOM;MASC;SG	N;NOM;MASC;SG;3
koniec	अंत	koniec	अंत	N;NOM;MASC;SG	N;NOM;MASC;SG;3
koniec	समाप्ति	koniec	समाप्ति	N;NOM;MASC;SG	N;NOM;FEM;SG;3
klub	क्लब	klub	क्लब	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gatunek	विधा	gatunek	विधा	N;NOM;MASC;SG	N;NOM;FEM;SG;3
gatunek	प्रजाति	gatunek	प्रजाति	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wcześniej	पहले	wcześnie	पहले	ADV;CMPR	ADV;NOM;MASC;SG;3
wcześniej	पहले	wcześnie	पहले	ADV;CMPR	ADV;NOM;MASC;SG;3
stadion	स्टेडियम	stadion	स्टेडियम	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzieci	बच्चे	dziecko	बच्चा	N;NOM;NEUT;PL	N;NOM;MASC;PL;3
style	style	style	style		
język	जीभ	język	जीभ	N;NOM;MASC;SG	N;NOM;FEM;SG;3
język	भाषा	język	भाषा	N;NOM;MASC;SG	N;NOM;FEM;SG;3
rodzaj	प्रकार	rodzaj	प्रकार	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rodzaj	प्रकार	rodzaj	प्रकार	N;NOM;MASC;SG	N;NOM;MASC;SG;3
www	www	www	www		
historia	कहानी	historia	कहानी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
historia	स्टोरी	historia	स्टोरी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
historia	इतिहास	historia	इतिहास	N;NOM;FEM;SG	N;NOM;MASC;SG;3
oficjalna	सरकारी	oficjalny	सरकारी	ADJ;NOM;FEM;SG	ADJ;NOM
oficjalna	आधिकारिक	oficjalny	आधिकारिक	ADJ;NOM;FEM;SG	ADJ
król	राजा	król	राजा	N;NOM;MASC;SG	N;NOM;MASC;SG;3
król	बादशाह	król	बादशाह	N;NOM;MASC;SG	N;NOM;MASC;SG;3
drugi	दूसरा	drugi	दूसरा	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
drugi	दूसरी	drugi	दूसरा	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
działalność	उपक्रम	działalność	उपक्रम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
działalność	क्रिया	działalność	क्रिया	N;NOM;FEM;SG	N;NOM;FEM;SG;3
działalność	गतिविधि	działalność	गतिविधि	N;NOM;FEM;SG	N;NOM;FEM;SG;3
działalność	सक्रियता	działalność	सक्रियता	N;NOM;FEM;SG	N;NOM;FEM;SG;3
działalność	कार्यकलाप	działalność	कार्यकलाप	N;NOM;FEM;SG	N;NOM;MASC;SG;3
tys	हज़ार	tys	हज़ार		
wydawnictwo	प्रकाशक	wydawnictwo	प्रकाशक	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
wydawnictwo	प्रकाशन	wydawnictwo	प्रकाशन	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
sezon	मौसम	sezon	मौसम	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sezon	ऋतु	sezon	ऋतु	N;NOM;MASC;SG	N;NOM;FEM;SG;3
życie	जिंदगी	życie	जिंदगी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
życie	ज़िन्दगी	życie	ज़िन्दगी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
życie	ज़िंदगी	życie	ज़िंदगी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
życie	जिन्दगी	życie	जिन्दगी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
życie	जीवन	życie	जीवन	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
nowe	नया	nowy	नया	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
nowe	नई	nowy	नया	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
różnych	अलग	różny	अलग	ADJ;GEN;MASC;PL	ADJ
różnych	विभिन्न	różny	विभिन्न	ADJ;GEN;MASC;PL	ADJ
drużyna	टीम	drużyna	टीम	N;NOM;FEM;SG	N;NOM;FEM;SG;3
drużyna	टोली	drużyna	टोली	N;NOM;FEM;SG	N;NOM;FEM;SG;3
kilku	कई	kilka	कई	DET;ACC;MASC;PL	DET
kilku	अनेक	kilka	अनेक	DET;ACC;MASC;PL	DET
wtedy	फिर	wtedy	फिर	ADV	ADV
aktor	अभिनेता	aktor	अभिनेता	N;NOM;MASC;SG	N;NOM;MASC;SG;3
aktor	एक्टर	aktor	एक्टर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
aktor	कर्ता	aktor	कर्ता	N;NOM;MASC;SG	N;NOM;MASC;SG;3
syn	बेटा	syn	बेटा	N;NOM;MASC;SG	N;NOM;MASC;SG;3
syn	पुत्र	syn	पुत्र	N;NOM;MASC;SG	N;NOM;MASC;SG;3
syn	बेटे	syn	बेटा	N;NOM;MASC;SG	N;NOM;MASC;SG;3
większość	बहुमत	większość	बहुमत	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pierwsza	प्रथम	pierwszy	प्रथम	ADJ;NOM;FEM;SG	ADJ
pierwsza	पहली	pierwszy	पहला	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
pierwsza	पहला	pierwszy	पहला	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
gitara	गिटार	gitar	गिटार	N;NOM;MASC;SG	N;NOM;MASC;SG;3
from	से	from	से		
stacja	स्टेशन	stacja	स्टेशन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bar	बेरियम	bar	बेरियम	N;NOM;MASC;SG	N;NOM;MASC;SG;3
bar	पट्टी	bar	पट्टी	N;NOM;MASC;SG	N;NOM;FEM;SG;3
bar	बार	bar	बार	N;NOM;MASC;SG	N;NOM;FEM;SG;3
numer	संख्या	numer	संख्या	N;NOM;MASC;SG	N;NOM;FEM;SG;3
numer	नंबर	numer	नंबर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
maj	may	maj	may		
maj	माया	maj	माया		
ludzi	लोगों	człowiek	लोग	N;ACC;MASC;PL	N;ACC;MASC;PL;3
park	उद्यान	park	उद्यान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
park	पार्क	park	पार्क	N;NOM;MASC;SG	N;NOM;MASC;SG;3
cztery	चार	cztery	चार	NUM;ACC;MASC;PL	NUM
długość	लम्बाई	długość	लम्बाई	N;NOM;FEM;SG	N;NOM;FEM;SG;3
długość	लंबाई	długość	लंबाई	N;NOM;FEM;SG	N;NOM;FEM;SG;3
hasło	कूटशब्द	hasło	कूटशब्द	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
hasło	पासवर्ड	hasło	पासवर्ड	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
stanowisko	पद	stanowisko	पद	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
stanowisko	स्थिति	stanowisko	स्थिति	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
ostatecznie	अंततः	ostatecznie	अंततः	ADV	ADV
ostatecznie	आखिरकार	ostatecznie	आखिरकार	ADV	ADV
stan	स्टेन	stan	स्टेन	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	अवस्था	stan	अवस्था	N;NOM;MASC;SG	N;NOM;FEM;SG;3
stan	स्टेट	stan	स्टेट	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	स्थिति	stan	स्थिति	N;NOM;MASC;SG	N;NOM;FEM;SG;3
stan	राज्य	stan	राज्य	N;NOM;MASC;SG	N;NOM;MASC;SG;3
stan	हालत	stan	हालत	N;NOM;MASC;SG	N;NOM;FEM;SG;3
stan	स्थिति	stan	स्थिति	N;NOM;MASC;SG	N;NOM;FEM;SG;3
stan	शर्त	stan	शर्त	N;NOM;MASC;SG	N;NOM;FEM;SG;3
stan	कंडीशन	stan	कंडीशन	N;NOM;MASC;SG	N;NOM;MASC;SG;3
powierzchnia	सतह	powierzchnia	सतह	N;NOM;FEM;SG	N;NOM;FEM;SG;3
powierzchnia	क्षेत्र	powierzchnia	क्षेत्र	N;NOM;FEM;SG	N;NOM;MASC;SG;3
powierzchnia	क्षेत्रफल	powierzchnia	क्षेत्रफल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wersja	वर्जन	wersja	वर्जन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wersja	संस्करण	wersja	संस्करण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
hasła	कूटशब्द	hasło	कूटशब्द	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
hasła	पासवर्ड	hasło	पासवर्ड	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
hasła	पासवर्ड	hasło	पासवर्ड	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	कानून	prawo	कानून	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prawo	विधि	prawo	विधि	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
okres	अवधि	okres	अवधि	N;NOM;MASC;SG	N;NOM;FEM;SG;3
okres	काल	okres	काल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wyniki	परिणाम	wynik	परिणाम	N;NOM;MASC;PL	N;NOM;MASC;PL;3
żołnierzy	सैनिकों	żołnierz	सैनिक	N;ACC;MASC;PL	N;ACC;MASC;PL;3
żołnierzy	सैनिकों	żołnierz	सैनिक	N;ACC;MASC;PL	N;ACC;MASC;PL;3
jednostki	इकाईयाँ	jednostka	इकाई	N;NOM;FEM;PL	N;NOM;FEM;PL;3
jednostki	इकाइयाँ	jednostka	इकाई	N;NOM;FEM;PL	N;NOM;FEM;PL;3
choć	यद्यपि	choć	यद्यपि		
obszar	क्षेत्र	obszar	क्षेत्र	N;NOM;MASC;SG	N;NOM;MASC;SG;3
obszar	क्षेत्रफल	obszar	क्षेत्रफल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
warunki	शर्तें	warunki	शर्त	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
warunki	शर्तें	warunki	शर्त	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
sędzia	जज	sędzia	जज	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sędzia	न्यायाधीश	sędzia	न्यायाधीश	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sędzia	फैसला	sędzia	फैसला	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sędzia	न्यायधीश	sędzia	न्यायधीश	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sędzia	रेफरी	sędzia	रेफरी	N;NOM;MASC;SG	N;NOM;FEM;SG;3
sędzia	संदर्भ	sędzia	संदर्भ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
działania	क्रिया	działanie	क्रिया	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	एक्शन	działanie	एक्शन	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	कार्रवाई	działanie	कार्रवाई	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
działania	उपक्रम	działanie	उपक्रम	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
działania	क्रिया	działanie	क्रिया	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
world	जग	world	जग		
prawdopodobnie	शायद	prawdopodobnie	शायद	ADV	ADV
prawdopodobnie	संभवतः	prawdopodobnie	संभवतः	ADV	ADV
prawdopodobnie	संभवतः	prawdopodobnie	संभवतः	ADV	ADV
członków	सदस्यों	członek	सदस्य	N;ACC;MASC;PL	N;ACC;MASC;PL;3
dzień	दिवस	dzień	दिवस	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dzień	दिन	dzień	दिन	N;NOM;MASC;SG	N;NOM;MASC;SG;3
listy	letters	list	letters		
ros	रोस	ros	रोस		
wschodniej	पूर्वी	wschodni	पूर्वी	ADJ;GEN;FEM;SG	ADJ
pułk	रेजीमेंट	pułka	रेजीमेंट	N;NOM;MASC;SG	N;NOM;MASC;SG;3
muzyka	संगीत	muzyka	संगीत	N;NOM;FEM;SG	N;NOM;MASC;SG;3
muzyka	म्यूज़िक	muzyka	म्यूज़िक	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prędkość	रफ्तार	prędkość	रफ्तार	N;NOM;FEM;SG	N;NOM;FEM;SG;3
prędkość	गति	prędkość	गति	N;NOM;FEM;SG	N;NOM;FEM;SG;3
francuski	फ्रांसीसी	francuski	फ्रांसीसी	ADJ;NOM;MASC;SG	ADJ;NOM
złoty	सोना	złoty	सोना		
złoty	गोल्ड	złoty	गोल्ड		
złoty	स्वर्ण	złoty	स्वर्ण		
gol	गोल	gol	गोल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gol	ध्येय	gol	ध्येय	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gol	लक्ष्य	gol	लक्ष्य	N;NOM;MASC;SG	N;NOM;MASC;SG;3
nagroda	पुरस्कार	nagroda	पुरस्कार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nagroda	सवाब	nagroda	सवाब	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nagroda	इनाम	nagroda	इनाम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nagroda	पुरस्कार	nagroda	पुरस्कार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nagroda	अवार्ड	nagroda	अवार्ड	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nagroda	पुरस्कार	nagroda	पुरस्कार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
szkoła	विद्यालय	szkoła	विद्यालय	N;NOM;FEM;SG	N;NOM;MASC;SG;3
szkoła	school	szkoła	school	N;NOM;FEM;SG	N;NOM;MASC;SG;3
szkoła	स्कूल	szkoła	स्कूल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
raport	रिपोर्ट	raport	रिपोर्ट	N;NOM;MASC;SG	N;NOM;FEM;SG;3
raport	रपट	raport	रपट	N;NOM;MASC;SG	N;NOM;FEM;SG;3
dowódca	कमांडर	dowódca	कमांडर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
drużyny	टीमों	drużyna	टीम	N;ACC;FEM;PL	N;ACC;FEM;PL;3
typ	क़िस्म	typ	कठिस्म		
wiki	विकि	wik	विकि		
wiki	विक	wik	विक		
prezydent	प्रदेशाध्यक्ष	prezydent	प्रदेशाध्यक्ष	N;NOM;MASC;SG	N;NOM;MASC;SG;3
prezydent	अध्यक्ष	prezydent	अध्यक्ष	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrzostwo	चैम्पियनशिप	mistrzostwo	चैम्पियनशिप	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
mistrzostwo	चैंपियनशिप	mistrzostwo	चैंपियनशिप	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
mistrz	मास्टर	mistrz	मास्टर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	चैम्पियन	mistrz	चैम्पियन	N;NOM;MASC;SG	N;NOM;MASC;SG;3
mistrz	चैंपियन	mistrz	चैंपियन	N;NOM;MASC;SG	N;NOM;MASC;SG;3
wielki	बड़ा	wielki	बड़ा	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
wielki	बड़ी	wielki	बडा	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
liście	पत्तो	liść	पत्तो		
km²	km²	kąć	km²		
pozycja	पद	pozycja	पद	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pozycja	स्थिति	pozycja	स्थिति	N;NOM;FEM;SG	N;NOM;FEM;SG;3
pozycja	वस्तु	pozycja	वस्तु	N;NOM;FEM;SG	N;NOM;FEM;SG;3
pozycja	आइटम	pozycja	आइटम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gen	gen	gen	ओे		
hrabstwo	लैन	hrabstwo	लैन	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
hrabstwo	शायर	hrabstwo	शायर	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
