聖歌	التراتيل	聖歌	تَرتِيل	N	N;NOM;DEF;PL
アイディア	فكرة	アイディア	فِكرَة	N	N;NOM;INDF;SG
アイディア	افكار	アイディア	فِكر	N	N;NOM;INDF;PL
アイディア	الافكار	アイディア	فِكر	N	N;NOM;DEF;PL
アンプ	المضخمات	アンプ	مُضخِم	N	N;NOM;DEF;PL
宝物	كنوز	宝物	كَنز	N	N;NOM;INDF;PL
宝物	الكنوز	宝物	كَنز	N	N;NOM;DEF;PL
宝物	الكنز	宝物	كَنز	N	N;NOM;DEF;SG
ギフト	الهدايا	ギフト	هَدِيَّة	N	N;NOM;DEF;PL
ギフト	هدايا	ギフト	هَدِيَّة	N	N;NOM;INDF;PL
ギフト	الهبات	ギフト	هَبَات	N	N;NOM;DEF;PL
ギフト	هدية	ギフト	هَدِيَّة	N	N;NOM;INDF;SG
ギフト	الهدية	ギフト	هَدِيَّة	N	N;NOM;DEF;SG
理性	سبب	理性	سَبَب	N	N;NOM;INDF;SG
理性	السبب	理性	سَبَب	N	N;NOM;DEF;SG
光景	مناظر	光景	مُنَاظِر	N	N;NOM;INDF;PL
光景	المناظر	光景	مُنَاظِر	N	N;NOM;DEF;PL
光景	البصر	光景	بَصر	N	N;NOM;DEF;SG
安い	رخيصة	安い	رَخِيص	ADJ	ADJ;NOM;INDF;FEM;SG
安い	رخيص	安い	رَخِيص	ADJ	ADJ;NOM;INDF;MASC;SG
バタフライ	الفراشة	バタフライ	فَرَّاشَة	N	N;NOM;DEF;SG
バタフライ	فراشة	バタフライ	فِرَاشَة	N	N;NOM;INDF;SG
最小	تقليل	最小	تَقلِيل	N	N;NOM;INDF;SG
パラレル	مواز	パラレル	مَازّ	N	N;NOM;INDF;SG
パラレル	بالتوازي	パラレル	بالتوازي	N	N;NOM;DEF;SG
パラレル	الموازي	パラレル	مَوزِي	N	N;NOM;DEF;SG
サザン	جنوب	サザン	جَنُوب	N	N;NOM;INDF;SG
図形	الهندسة	図形	هَندَسَة	N	N;NOM;DEF;SG
図形	هندسة	図形	هَندَسَة	N	N;NOM;INDF;SG
図形	شكل	図形	شَكل	N	N;NOM;INDF;SG
図形	الشكل	図形	شَكل	N	N;NOM;DEF;SG
おば	عمة	おば	عِمَّة	N	N;NOM;INDF;SG
おば	خالة	おば	خَالَة	N	N;NOM;INDF;SG
おば	العمة	おば	عِمَّة	N	N;NOM;DEF;SG
ベイビー	طفل	ベイビー	طِفل	N	N;NOM;INDF;SG
ブライト	المشرق	ブライト	مَشرِق	N	N;NOM;DEF;SG
ブライト	مشرق	ブライト	مَشرِق	N	N;NOM;INDF;SG
トレーラー	المقطورة	トレーラー	مَقطُور	N	N;NOM;DEF;SG
トレーラー	مقطورة	トレーラー	مَقطُور	N	N;NOM;INDF;SG
毛皮	الفرو	毛皮	فُرُوّ	N	N;NOM;DEF;PL
毛皮	الفراء	毛皮	فَروَة	N	N;NOM;DEF;SG
毛皮	فرو	毛皮	فرو	N	N;NOM;INDF;SG
毛皮	فراء	毛皮	فَرِيء	N	N;NOM;INDF;SG
シンフォニー	سيمفونية	シンフォニー	سيمفونية	N	N;NOM;INDF;SG
条文	احكام	条文	حُكم	N	N;NOM;INDF;SG
条文	الاحكام	条文	حُكم	N	N;NOM;DEF;PL
ごみ	القمامة	ごみ	قُمَامَة	N	N;NOM;DEF;SG
ごみ	قمامة	ごみ	قِمَامَة	N	N;NOM;INDF;SG
ハーブ	عشبة	ハーブ	عَشَبَة	N	N;NOM;INDF;SG
ハーブ	اعشاب	ハーブ	عُشب	N	N;NOM;INDF;PL
ハーブ	الاعشاب	ハーブ	عَشَب	N	N;NOM;DEF;PL
カッター	القاطع	カッター	قَاطِع	N	N;NOM;DEF;SG
ジョーク	مزحة	ジョーク	مُزِحَّة	N	N;NOM;INDF;SG
ジョーク	نكتة	ジョーク	نَكتَة	N	N;NOM;INDF;SG
ジョーク	النكت	ジョーク	نَكت	N	N;NOM;DEF;PL
ジョーク	النكات	ジョーク	نِكَة	N	N;NOM;DEF;PL
コウモリ	المضرب	コウモリ	مِضرَب	N	N;NOM;DEF;SG
コウモリ	مضاربة	コウモリ	مُضَارَبَة	N	N;NOM;INDF;SG
バール	الحانة	バール	حَانَة	N	N;NOM;DEF;SG
バール	حانة	バール	حَانَة	N	N;NOM;INDF;SG
バール	شريط	バール	شَرِيط	N	N;NOM;INDF;SG
バール	البار	バール	بَار	N	N;NOM;DEF;SG
ユーモア	الفكاهة	ユーモア	فَكَّاهَة	N	N;NOM;DEF;SG
溶液	حل	溶液	حَلّ	N	N;NOM;INDF;SG
溶液	الحل	溶液	حَلّ	N	N;NOM;DEF;SG
総局	المديرية	総局	مُدِيرِيّ	N	N;NOM;DEF;SG
総局	مديرية	総局	مُدِيرِيَّة	N	N;NOM;INDF;SG
コンポーネント	العنصر	コンポーネント	عُنصُر	N	N;NOM;DEF;SG
コンポーネント	عنصر	コンポーネント	عُنصُر	N	N;NOM;INDF;SG
コンポーネント	عناصر	コンポーネント	عُنصُر	N	N;NOM;INDF;PL
コンポーネント	المكونات	コンポーネント	مُكَوِّن	N	N;NOM;DEF;PL
コンポーネント	العناصر	コンポーネント	عُنصُر	N	N;NOM;DEF;PL
コンポーネント	مكونات	コンポーネント	مُكَوِّن	N	N;NOM;INDF;PL
聴覚	سماع	聴覚	سَمَاع	N	N;NOM;INDF;SG
聴覚	السمع	聴覚	سَمعَة	N	N;NOM;DEF;SG
トリガー	الزناد	トリガー	زِنَاد	N	N;NOM;DEF;SG
プランニング	التخطيط	プランニング	تَخطِيط	N	N;NOM;DEF;SG
プランニング	تخطيط	プランニング	تَخطِيط	N	N;NOM;INDF;SG
曲面	السطح	曲面	سَطح	N	N;NOM;DEF;SG
薬剤師	صيدلي	薬剤師	صيدلي	N	N;NOM;INDF;SG
ミーティング	الجلسات	ミーティング	جَلسَة	N	N;NOM;DEF;PL
ミーティング	الاجتماعات	ミーティング	اِجتِمَاع	N	N;NOM;DEF;PL
ミーティング	اللقاءات	ミーティング	لِقَاء	N	N;NOM;DEF;PL
ミーティング	اجتماعات	ミーティング	اِجتِمَاع	N	N;NOM;INDF;PL
ミーティング	اجتماع	ミーティング	اِجتِمَاع	N	N;NOM;INDF;SG
ミーティング	لقاء	ミーティング	لِقَاء	N	N;NOM;INDF;SG
ミーティング	الاجتماع	ミーティング	اِجتِمَاع	N	N;NOM;DEF;SG
ミーティング	الجلسة	ミーティング	جَلسَة	N	N;NOM;DEF;SG
カーペット	السجاد	カーペット	سَجَّادَة	N	N;NOM;DEF;PL
カーペット	السجاد	カーペット	سَجَّادَة	N	N;NOM;DEF;PL
カーペット	سجادة	カーペット	سَجَّادَة	N	N;NOM;INDF;SG
カーペット	سجاد	カーペット	سَجَّادَة	N	N;NOM;INDF;PL
カーペット	السجادة	カーペット	سِجَادَة	N	N;NOM;DEF;SG
カビ	العفن	カビ	عَفَن	N	N;NOM;DEF;SG
カビ	القالب	カビ	قَالِب	N	N;NOM;DEF;SG
カビ	القوالب	カビ	قَالِب	N	N;NOM;DEF;PL
ギャップ	الفجوات	ギャップ	فَجوَة	N	N;NOM;DEF;PL
ギャップ	الثغرات	ギャップ	ثُغرَة	N	N;NOM;DEF;PL
ギャップ	ثغرات	ギャップ	ثُغرَة	N	N;NOM;INDF;PL
ギャップ	فجوات	ギャップ	فَجوَة	N	N;NOM;INDF;PL
ギャップ	الثغرة	ギャップ	ثُغرَة	N	N;NOM;DEF;SG
ギャップ	فجوة	ギャップ	فَجوَة	N	N;NOM;INDF;SG
ギャップ	الفجوة	ギャップ	فَجوَة	N	N;NOM;DEF;SG
ギャップ	ثغرة	ギャップ	ثَغرَة	N	N;NOM;INDF;SG
乗り物	مركبات	乗り物	مُرَكَّب	N	N;NOM;INDF;PL
乗り物	عربات	乗り物	عَرَبَة	N	N;NOM;INDF;PL
乗り物	العربات	乗り物	عَرَبَة	N	N;NOM;DEF;PL
乗り物	المركبات	乗り物	مَركَبَة	N	N;NOM;DEF;PL
乗り物	العربة	乗り物	عَرَبَة	N	N;NOM;DEF;SG
乗り物	مركبة	乗り物	مَركَبَة	N	N;NOM;INDF;SG
乗り物	المركبة	乗り物	مَركَبَة	N	N;NOM;DEF;SG
乗り物	عربة	乗り物	عَرَبَة	N	N;NOM;INDF;SG
暖房	تسخين	暖房	تَسخِين	N	N;NOM;INDF;SG
暖房	تدفئة	暖房	تَدفِئَة	N	N;NOM;INDF;SG
暖房	التدفئة	暖房	تَدفِئَة	N	N;NOM;DEF;SG
数量	كميات	数量	كَمِّيَّة	N	N;NOM;INDF;PL
数量	الكميات	数量	كَمِّيَّة	N	N;NOM;DEF;PL
数量	الكمية	数量	كَمِّيَّة	N	N;NOM;DEF;SG
数量	كمية	数量	كَمِّيَّة	N	N;NOM;INDF;SG
エメラルド	الزمرد	エメラルド	زَمرَد	N	N;NOM;DEF;SG
太い	سميك	太い	سميك	ADJ	ADJ;NOM;INDF;MASC;SG
太い	سميكة	太い	سمِيكَة	ADJ	ADJ;NOM;INDF;FEM;SG
匂い	الشم	匂い	شَمّ	N	N;NOM;DEF;SG
匂い	رائحة	匂い	رَائِحَة	N	N;NOM;INDF;SG
リハーサル	بروفة	リハーサル	بروفة	N	N;NOM;INDF;SG
アスファルト	الاسفلت	アスファルト	أَسفَل	N	N;NOM;DEF;SG
祝う	احتفل	祝う	اِحتَفَل	V	V;PFV;MASC;SG;3;ACT
サラダ	سلطة	サラダ	سُلطَة	N	N;NOM;INDF;SG
サラダ	السلطة	サラダ	سُلطَة	N	N;NOM;DEF;SG
制動	الكبح	制動	كَبح	N	N;NOM;DEF;SG
ひどい	فظيع	ひどい	فَظِيع	ADJ	ADJ;NOM;INDF;MASC;SG
軍備	التسلح	軍備	تَسَلُّح	N	N;NOM;DEF;SG
パワフル	قوي	パワフル	قَوِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
パワフル	قوية	パワフル	قَوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
泣く	ابكي	泣く	بَكِي	V	V;PFV;MASC;SG;3;ACT
泣く	تبكي	泣く	بَكَى	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
泣く	ابكي	泣く	بَكِي	V	V;PFV;MASC;SG;3;ACT
泣く	يبكي	泣く	أَبكَى	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
泣く	تبكي	泣く	بَكَى	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
観念	الفكرة	観念	فِكرَة	N	N;NOM;DEF;SG
観念	فكرة	観念	فِكرَة	N	N;NOM;INDF;SG
嘱託	التكليف	嘱託	تَكلِيف	N	N;NOM;DEF;SG
教訓	الدرس	教訓	دَرس	N	N;NOM;DEF;SG
教訓	درس	教訓	دَرس	N	N;NOM;INDF;SG
ハト	حمامة	ハト	حمامة	N	N;NOM;INDF;SG
スモール	صغر	スモール	صَغَر	N	N;NOM;INDF;SG
給料	مرتبات	給料	مُرَتَّب	N	N;NOM;INDF;PL
給料	راتب	給料	رَاتِب	N	N;NOM;INDF;SG
給料	الراتب	給料	رَاتِب	N	N;NOM;DEF;SG
給料	المرتب	給料	مَرتَب	N	N;NOM;DEF;SG
給料	مرتب	給料	مَرتَب	N	N;NOM;INDF;SG
肩書	اللقب	肩書	لَقَب	N	N;NOM;DEF;SG
肩書	العنوان	肩書	عُنوَان	N	N;NOM;DEF;SG
肩書	عنوان	肩書	عُنوَان	N	N;NOM;INDF;SG
コンペティション	المنافسة	コンペティション	مُنَافَسَة	N	N;NOM;DEF;SG
コンペティション	منافسة	コンペティション	مُنَافَسَة	N	N;NOM;INDF;SG
コンペティション	مسابقة	コンペティション	مُسَابَقَة	N	N;NOM;INDF;SG
コンペティション	المسابقة	コンペティション	مُسَابَقَة	N	N;NOM;DEF;SG
世俗	العلمانية	世俗	عِلمَانِيَّة	N	N;NOM;DEF;SG
ドリンク	شرب	ドリンク	شُرب	N	N;NOM;INDF;SG
ドリンク	شراب	ドリンク	شَرب	N	N;NOM;INDF;SG
ドリンク	مشروب	ドリンク	مَشرُوب	N	N;NOM;INDF;SG
ドリンク	مشروبات	ドリンク	مَشرُوب	N	N;NOM;INDF;PL
ドリンク	المشروبات	ドリンク	مَشرُوب	N	N;NOM;DEF;PL
子宮	الرحم	子宮	رَحم	N	N;NOM;DEF;SG
子宮	الرحم	子宮	رَحم	N	N;NOM;DEF;SG
航法	الملاحة	航法	مِلَاحَة	N	N;NOM;DEF;SG
下水道	المجاري	下水道	مَجرَى	N	N;NOM;DEF;PL
下水道	المجاري	下水道	مَجرَى	N	N;NOM;DEF;PL
贈り物	الهدايا	贈り物	هَدِيَّة	N	N;NOM;DEF;PL
贈り物	هدايا	贈り物	هَدِيَّة	N	N;NOM;INDF;PL
贈り物	الهبات	贈り物	هَبَات	N	N;NOM;DEF;PL
贈り物	هدية	贈り物	هَدِيَّة	N	N;NOM;INDF;SG
贈り物	الهدية	贈り物	هَدِيَّة	N	N;NOM;DEF;SG
オペレーション	عمليات	オペレーション	عَمَلِيَّة	N	N;NOM;INDF;PL
オペレーション	العمليات	オペレーション	عَمَلِيَّة	N	N;NOM;DEF;PL
オペレーション	العملية	オペレーション	عَمَلِيَّة	N	N;NOM;DEF;SG
オペレーション	العمليات	オペレーション	عَمَلِيَّة	N	N;NOM;DEF;PL
オペレーション	عملية	オペレーション	عَمَلِيَّة	N	N;NOM;INDF;SG
小麦	القمح	小麦	قَمح	N	N;NOM;DEF;SG
物事	اشياء	物事	شَيء	N	N;NOM;INDF;PL
物事	الاشياء	物事	شَيء	N	N;NOM;DEF;PL
物事	امور	物事	أَمر	N	N;NOM;INDF;SG
フューチャー	مستقبل	フューチャー	مُستَقبَل	N	N;NOM;INDF;SG
フューチャー	مستقبلا	フューチャー	مُستَقبَل	N	N;ACC;INDF;SG
フューチャー	المستقبل	フューチャー	مُستَقبَل	N	N;NOM;DEF;SG
狂気	جنون	狂気	جنون	N	N;NOM;INDF;SG
狂気	الجنون	狂気	جُنُون	N	N;NOM;DEF;SG
懸賞	جوائز	懸賞	جَائِزَة	N	N;NOM;INDF;PL
懸賞	الجوائز	懸賞	جَائِزَة	N	N;NOM;DEF;PL
ストーカー	ملاحقة	ストーカー	مُلَاحَقَة	N	N;NOM;INDF;SG
ストーカー	المطاردة	ストーカー	مُطَارَدَة	N	N;NOM;DEF;SG
ストーカー	مطاردة	ストーカー	مُطَارَدَة	N	N;NOM;INDF;SG
ストーカー	الملاحقة	ストーカー	مُلَاحَقَة	N	N;NOM;DEF;SG
ストーカー	ملاحق	ストーカー	مُلَاحَق	N	N;NOM;INDF;PL
ロバ	الحمير	ロバ	الحمير	N	N;NOM;DEF;PL
ロバ	الحمار	ロバ	حَمَار	N	N;NOM;DEF;SG
ロバ	حمار	ロバ	حمار	N	N;NOM;INDF;SG
大麻	القنب	大麻	قُنب	N	N;NOM;DEF;SG
村落	القرى	村落	قَريَة	N	N;NOM;DEF;PL
村落	قرى	村落	قَريَة	N	N;NOM;INDF;PL
村落	قرية	村落	قَريَة	N	N;NOM;INDF;SG
村落	القرية	村落	قَريَة	N	N;NOM;DEF;SG
モニュメント	الاثار	モニュメント	أَثَر	N	N;NOM;DEF;PL
モニュメント	النصب	モニュメント	نَصب	N	N;NOM;DEF;SG
モニュメント	نصب	モニュメント	نَصب	N	N;NOM;INDF;SG
ジャッジ	القاضي	ジャッジ	القاضي	N	N;NOM;DEF;SG
ジャッジ	قاض	ジャッジ	قَاضِي	N	N;NOM;INDF;SG
覚書	المذكرة	覚書	مُذَكِّرَة	N	N;NOM;DEF;SG
覚書	مذكرة	覚書	مُذَكِّرَة	N	N;NOM;INDF;SG
サンダー	الرعد	サンダー	رَعد	N	N;NOM;DEF;SG
紅茶	الشاي	紅茶	شَاي	N	N;NOM;DEF;SG
信じる	تصدق	信じる	صَدَّق	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
ハイライト	ابراز	ハイライト	إِبرَاز	N	N;NOM;INDF;SG
マシーン	ماكينة	マシーン	مَاكِينَة	N	N;NOM;INDF;SG
マシーン	الالة	マシーン	إِلَا	N	N;NOM;DEF;SG
マシーン	الماكينة	マシーン	مَاكِينَة	N	N;NOM;DEF;SG
船首	قوس	船首	قَوس	N	N;NOM;INDF;SG
船首	القوس	船首	قَوس	N	N;NOM;DEF;SG
暗闇	ظلام	暗闇	ظَلَام	N	N;NOM;INDF;SG
暗闇	الظلام	暗闇	ظَلَام	N	N;NOM;DEF;SG
暗闇	ظلمة	暗闇	ظِلمَة	N	N;NOM;INDF;SG
リベラル	الليبرالية	リベラル	لِيبِرَالِيّ	N	N;NOM;DEF;SG
果物	فاكهة	果物	فاكهة	N	N;NOM;INDF;SG
果物	الفاكهة	果物	فَاكِهَة	N	N;NOM;DEF;SG
果物	الفواكه	果物	فَاكِهَة	N	N;NOM;DEF;PL
果物	الفواكه	果物	فَاكِهَة	N	N;NOM;DEF;PL
果物	ثمار	果物	ثَمَر	N	N;NOM;INDF;PL
果物	الثمار	果物	ثَمَر	N	N;NOM;DEF;SG
停電	التعتيم	停電	تَعتِيم	N	N;NOM;DEF;SG
爬虫	الزواحف	爬虫	الزواحف	N	N;NOM;DEF;PL
爬虫	الزواحف	爬虫	الزواحف	N	N;NOM;DEF;PL
五	خمسة	五	خَمسَة	NUM	NUM;NOM;INDF;MASC
五	خمس	五	خَمسَة	NUM	NUM;NOM;INDF;FEM
税金	ضرائب	税金	ضَرِيبَة	N	N;NOM;INDF;PL
税金	الضرائب	税金	ضَرِيبَة	N	N;NOM;DEF;PL
税金	الضريبة	税金	ضَرِيبَة	N	N;NOM;DEF;SG
税金	ضريبة	税金	ضَرِيبَة	N	N;NOM;INDF;SG
税金	ضرائب	税金	ضَرِيبَة	N	N;NOM;INDF;PL
税金	الضرائب	税金	ضَرِيبَة	N	N;NOM;DEF;PL
球体	المجال	球体	مَجَال	N	N;NOM;DEF;SG
領事	القنصل	領事	قُنصُل	N	N;NOM;DEF;SG
領事	قنصل	領事	قُنصُل	N	N;NOM;INDF;SG
知識人	المثقفين	知識人	مُثَقَّف	N	N;NOM;DEF;PL
ウェディング	الاعراس	ウェディング	إِعرَاس	N	N;NOM;DEF;SG
ウェディング	العرس	ウェディング	عَرس	N	N;NOM;DEF;SG
ウェディング	زفاف	ウェディング	زِفَاف	N	N;NOM;INDF;SG
ウェディング	عرس	ウェディング	عَرس	N	N;NOM;INDF;SG
ウェディング	زواج	ウェディング	زَوَاج	N	N;NOM;INDF;SG
着物	الكيمونو	着物	الكيمونو	N	N;NOM;DEF;SG
救急車	اسعاف	救急車	إِسعَاف	N	N;NOM;INDF;SG
救急車	الاسعاف	救急車	إِسعَاف	N	N;NOM;DEF;SG
花弁	بتلات	花弁	بَتلَة	N	N;NOM;INDF;PL
セグメント	الشرائح	セグメント	شَرِيحَة	N	N;NOM;DEF;PL
セグメント	الجزء	セグメント	جُزء	N	N;NOM;DEF;SG
セグメント	القطعة	セグメント	قُطعَة	N	N;NOM;DEF;SG
セグメント	شريحة	セグメント	شَرِيحَة	N	N;NOM;INDF;SG
セグメント	الشريحة	セグメント	شَرِيح	N	N;NOM;DEF;SG
在庫	المخزونات	在庫	مَخزُون	N	N;NOM;DEF;PL
在庫	المخزونات	在庫	مَخزُون	N	N;NOM;DEF;PL
在庫	الجرد	在庫	جُرد	N	N;NOM;DEF;SG
在庫	المخزون	在庫	مَخزُون	N	N;NOM;DEF;SG
原子	النواة	原子	نَوَاة	N	N;NOM;DEF;SG
原子	نواة	原子	نَوَاة	N	N;NOM;INDF;SG
リセット	استرجع	リセット	استرجع	V	V;PFV;MASC;SG;3;ACT
スプレー	رش	スプレー	رَشّ	N	N;NOM;INDF;SG
スプレー	رذاذ	スプレー	رَذِيذَة	N	N;NOM;INDF;SG
ポテンシャル	امكانية	ポテンシャル	إِمكَانِيَّة	N	N;NOM;INDF;SG
スピーチ	خطبة	スピーチ	خُطبَة	N	N;NOM;INDF;SG
スピーチ	كلام	スピーチ	كَلَام	N	N;NOM;INDF;SG
スピーチ	الكلام	スピーチ	كَلَام	N	N;NOM;DEF;SG
スピーチ	الخطاب	スピーチ	خِطَاب	N	N;NOM;DEF;SG
降臨	ينحدر	降臨	اِنحَدَر	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
タスク	المهام	タスク	مَهَمَّة	N	N;NOM;DEF;PL
タスク	مهام	タスク	مَهَمَّة	N	N;NOM;INDF;PL
タスク	المهمة	タスク	مَهَمَّة	N	N;NOM;DEF;SG
キャプション	الشرح	キャプション	شَرح	N	N;NOM;DEF;SG
キャプション	شروح	キャプション	شَرح	N	N;NOM;INDF;PL
プレイオフ	التصفيات	プレイオフ	تَصفِيَة	N	N;NOM;DEF;PL
物品	البضاعة	物品	بِضَاعَة	N	N;NOM;DEF;SG
物品	سلع	物品	سِلعَة	N	N;NOM;INDF;PL
物品	البضائع	物品	بِضَاعَة	N	N;NOM;DEF;PL
物品	السلع	物品	سِلعَة	N	N;NOM;DEF;PL
物品	بضائع	物品	بِضَاعَة	N	N;NOM;INDF;PL
小人	قزما	小人	قِزَّم	N	N;ACC;INDF;SG
小人	قزم	小人	قَزَّم	N	N;NOM;INDF;SG
小人	القزم	小人	قَزم	N	N;NOM;DEF;SG
リビング	المعيشة	リビング	مَعِيشَة	N	N;NOM;DEF;SG
リビング	العيش	リビング	عَيش	N	N;NOM;DEF;SG
バイオリン	الكمان	バイオリン	كَمَان	N	N;NOM;DEF;SG
インターフェース	واجهة	インターフェース	وَاجِهَة	N	N;NOM;INDF;SG
インターフェース	الواجهة	インターフェース	وَاجِهَة	N	N;NOM;DEF;SG
インターフェース	واجهات	インターフェース	وَاجِه	N	N;NOM;INDF;PL
即興	الارتجال	即興	اِرتِجَال	N	N;NOM;DEF;SG
ドロー	رسم	ドロー	رَسم	N	N;NOM;INDF;SG
賞品	جوائز	賞品	جَائِزَة	N	N;NOM;INDF;PL
賞品	الجوائز	賞品	جَائِزَة	N	N;NOM;DEF;PL
公判	محاكمة	公判	مُحَاكَمَة	N	N;NOM;INDF;SG
公判	المحاكمات	公判	مُحَاكَمَة	N	N;NOM;DEF;PL
公判	المحاكمة	公判	مُحَاكَمَة	N	N;NOM;DEF;SG
カスタマイズ	التخصيص	カスタマイズ	تَخصِيص	N	N;NOM;DEF;SG
カスタマイズ	تخصيص	カスタマイズ	تَخصِيص	N	N;NOM;INDF;SG
変種	التنوع	変種	تَنَوُّع	N	N;NOM;DEF;SG
変種	تنوع	変種	تَنَوُّع	N	N;NOM;INDF;SG
リハビリテーション	التاهيل	リハビリテーション	تَاهِيل	N	N;NOM;DEF;SG
アクセサリー	الملحقات	アクセサリー	مُلحَق	N	N;NOM;DEF;PL
肥料	السماد	肥料	سَمَاد	N	N;NOM;DEF;SG
肥料	الاسمدة	肥料	سَمَاد	N	N;NOM;DEF;SG
フォーチュン	ثروة	フォーチュン	ثَروَة	N	N;NOM;INDF;SG
検知	كشف	検知	كَشَف	V	V;PFV;MASC;SG;3;ACT
野獣	الوحش	野獣	وَحش	N	N;NOM;DEF;SG
サメ	القروش	サメ	قِرش	N	N;NOM;DEF;PL
サメ	قرش	サメ	قِرش	N	N;NOM;INDF;SG
サメ	القرش	サメ	قَرش	N	N;NOM;DEF;SG
湖沼	البحيرات	湖沼	بُحَيرَة	N	N;NOM;DEF;PL
