les	els	le	el	DET;DEF;PL	DET;DEF;MASC;PL
tour	torre	tour	torre	N;MASC;SG	N;FEM;SG
juin	juny	juin	juny	N;MASC;SG	N
française	francès	français	francès	ADJ;FEM;SG	ADJ;MASC;SG
pierre	pedra	pierre	pedra	N;FEM;SG	N;FEM;SG
région	regió	région	regió	N;FEM;SG	N;FEM;SG
région	àmbit	région	àmbit	N;FEM;SG	N;MASC;SG
région	àrea	région	àrea	N;FEM;SG	N;FEM;SG
janvier	gener	janvier	gener	N;MASC;SG	N
avoir	tinguin	avoir	tenir	V;NFIN	V;SBJV;PL;3;PRS;FIN
septembre	setembre	septembre	setembre	N;MASC;SG	N
juillet	juliol	juillet	juliol	N;MASC;SG	N
état	condició	état	condició	N;MASC;SG	N;FEM;SG
église	església	église	església	N;FEM;SG	N;FEM;SG
octobre	octubre	octobre	octubre	N;MASC;SG	N
octobre	octobre	octobre	octobre	N;MASC;SG	N
place	lloc	place	lloc	N;FEM;SG	N;MASC;SG
famille	família	famille	família	N;FEM;SG	N;FEM;SG
états	estats	état	estat	N;MASC;PL	N;MASC;PL
avril	abril	avril	abril	N;MASC;SG	N
insee	insee	insee	insee	N;MASC;SG	N;MASC;SG
tous	tots	tout	tot	PRO;MASC;PL	PRO;MASC;PL
tous	totes	tout	tot	PRO;MASC;PL	PRO;FEM;PL
politique	política	politique	polític	ADJ;MASC;SG	ADJ;FEM;SG
politique	política	politique	polític	ADJ;MASC;SG	ADJ;FEM;SG
album	àlbum	album	àlbum	N;MASC;SG	N;MASC;SG
décembre	desembre	décembre	desembre	N;MASC;SG	N
août	agost	août	agost	N;MASC;SG	N
novembre	novembre	novembre	novembre	N;MASC;SG	N
prix	preu	prix	preu	N;MASC;SG	N;MASC;SG
nouvelle	nova	nouveau	nou	ADJ;FEM;SG	ADJ;FEM;SG
nouvelle	nou	nouveau	nou	ADJ;FEM;SG	ADJ;MASC;SG
février	febrer	février	febrer	N;MASC;SG	N
département	departament	département	departament	N;MASC;SG	N;MASC;SG
grande	gran	grand	gran	ADJ;FEM;SG	ADJ;SG
américain	americà	américain	americà	ADJ;MASC;SG	ADJ;MASC;SG
début	inici	début	inici	N;MASC;SG	N;MASC;SG
nationale	national	national	national	ADJ;FEM;SG	ADJ;SG
nationale	nacional	national	nacional	ADJ;FEM;SG	ADJ;SG
nationale	nationale	national	nationale	ADJ;FEM;SG	ADJ;SG
championnat	campionat	championnat	campionat	N;MASC;SG	N;MASC;SG
championnat	championship	championnat	championship	N;MASC;SG	N;MASC;SG
encore	encara	encore	encara	ADV	ADV
image	imatge	image	imatge	N;FEM;SG	N;FEM;SG
vie	vida	vie	vida	N;FEM;SG	N;FEM;SG
lien	vinculació	lien	vinculació	N;MASC;SG	N;FEM;SG
lien	enllaç	lien	enllaç	N;MASC;SG	N;MASC;SG
football	soccer	football	soccer	N;MASC;SG	N;SG
football	futbol	football	futbol	N;MASC;SG	N;MASC;SG
pendant	durant	pendant	durant	ADP	ADP
jeux	jocs	jeu	joc	N;MASC;PL	N;MASC;PL
moins	menys	moins	menys	ADV	ADV
nouveau	nova	nouveau	nou	ADJ;MASC;SG	ADJ;FEM;SG
nouveau	nou	nouveau	nou	ADJ;MASC;SG	ADJ;MASC;SG
centre	centre	centre	centre	N;MASC;SG	N;MASC;SG
centre	centre	centre	centre	N;MASC;SG	N;MASC;SG
cours	curs	cours	curs	N;MASC;SG	N;MASC;SG
village	poble	village	poble	N;MASC;SG	N;MASC;SG
village	aldea	village	aldea	N;MASC;SG	N;FEM;SG
université	universitat	université	universitat	N;FEM;SG	N;FEM;SG
nombre	número	nombre	número	N;MASC;SG	N;MASC;SG
nombre	nombre	nombre	nombre	N;MASC;SG	N;MASC;SG
quelques	alguns	quelque	algun	PRO;PL	PRO;MASC;PL
quelques	algunes	quelque	algun	PRO;PL	PRO;FEM;PL
siècle	segle	siècle	segle	N;MASC;SG	N;MASC;SG
coupe	tassa	coupe	tassa	N;FEM;SG	N;FEM;SG
coupe	cup	coupe	cup	N;FEM;SG	N;FEM;SG
population	població	population	població	N;FEM;SG	N;FEM;SG
connexes	relacionats	connexe	relacionat	ADJ;MASC;PL	ADJ;MASC;PL;V.PTCP
homme	home	homme	home	N;MASC;SG	N;MASC;SG
communes	municipis	commune	municipi	N;FEM;PL	N;MASC;PL
communes	ajuntaments	commune	ajuntament	N;FEM;PL	N;MASC;PL
division	divisió	division	divisió	N;FEM;SG	N;FEM;SG
président	president	président	president	N;MASC;SG	N;MASC;SG
national	national	national	national	ADJ;MASC;SG	ADJ;SG
national	nacional	national	nacional	ADJ;MASC;SG	ADJ;SG
société	societat	société	societat	N;FEM;SG	N;FEM;SG
société	companyia	société	companyia	N;FEM;SG	N;FEM;SG
société	empresa	société	empresa	N;FEM;SG	N;FEM;SG
quatre	quatre	quatre	quatre	NUM	NUM;PL
jeu	partida	jeu	partida	N;MASC;SG	N;FEM;SG
jeu	joc	jeu	joc	N;MASC;SG	N;MASC;SG
genre	gènere	genre	gènere	N;MASC;SG	N;MASC;SG
genre	gènere	genre	gènere	N;MASC;SG	N;MASC;SG
musique	música	musique	música	N;FEM;SG	N;FEM;SG
fils	filferro	fils	filferro	N;MASC;SG	N;MASC;SG
fils	cable	fils	cable	N;MASC;SG	N;MASC;SG
fils	fill	fils	fill	N;MASC;SG	N;MASC;SG
roi	rei	roi	rei	N;MASC;SG	N;MASC;SG
jour	jornada	jour	jornada	N;MASC;SG	N;FEM;SG
jour	dia	jour	dia	N;MASC;SG	N;MASC;SG
forme	formulari	forme	formulari	N;FEM;SG	N;MASC;SG
ancien	antic	ancien	antic	ADJ;MASC;SG	ADJ;MASC;SG
ancien	antiga	ancien	antic	ADJ;MASC;SG	ADJ;FEM;SG
origine	origen	origine	origen	N;FEM;SG	N;MASC;SG
château	castell	château	castell	N;MASC;SG	N;MASC;SG
école	escola	école	escola	N;FEM;SG	N;FEM;SG
carrière	carrera	carrière	carrera	N;FEM;SG	N;FEM;SG
carrière	pedrera	carrière	pedrera	N;FEM;SG	N;FEM;SG
part	compartició	part	compartició	N;FEM;SG	N;FEM;SG
deuxième	segon	deuxième	segon	ADJ;MASC;SG	ADJ;MASC;SG
deuxième	segona	deuxième	segon	ADJ;MASC;SG	ADJ;FEM;SG
bar	bar	bar	bar	N;MASC;SG	N;MASC;SG
points	punts	point	punt	N;MASC;PL	N;MASC;PL
points	punts	point	punt	N;MASC;PL	N;MASC;PL
ayant	havent	avoir	haver	V;PRS;V.PTCP	V;V.MSDR
rue	carrer	rue	carrer	N;FEM;SG	N;MASC;SG
chef	xef	chef	xef	N;MASC;SG	N;MASC;SG
père	pare	père	pare	N;MASC;SG	N;MASC;SG
durant	durant	durant	durant	ADP	ADP
durant	durant	durant	durant	ADP	ADP
rapport	informe	rapport	informe	N;MASC;SG	N;MASC;SG
art	art	art	art	N;MASC;SG	N;MASC;SG
canton	canton	canton	cantor	N;MASC;SG	N;MASC;SG
dernier	darrer	dernier	darrer	ADJ;MASC;SG	ADJ;MASC;SG
dernier	últim	dernier	últim	ADJ;MASC;SG	ADJ;MASC;SG
dernier	última	dernier	últim	ADJ;MASC;SG	ADJ;FEM;SG
dernier	darrera	dernier	darrer	ADJ;MASC;SG	ADJ;FEM;SG
type	tipus	type	tipus	N;MASC;SG	N;MASC
habitants	habitants	habitant	habitant	N;MASC;PL	N;PL
habitants	residents	habitant	resident	N;MASC;PL	N;PL
point	punt	point	punt	N;MASC;SG	N;MASC;SG
période	període	période	període	N;FEM;SG	N;MASC;SG
armée	exèrcit	armée	exèrcit	N;FEM;SG	N;MASC;SG
eau	aigua	eau	aigua	N;FEM;SG	N;FEM;SG
discuter	debatre	discuter	debatre	V;NFIN	V;NFIN
projet	projecte	projet	projecte	N;MASC;SG	N;MASC;SG
anglais	anglès	anglais	anglès	N;MASC;SG	N;MASC;SG
province	província	province	província	N;FEM;SG	N;FEM;SG
international	internacional	international	internacional	ADJ;MASC;SG	ADJ;SG
international	international	international	international	ADJ;MASC;SG	ADJ;SG
conseil	consulting	conseil	consulting	N;MASC;SG	N;MASC;SG
conseil	consultoria	conseil	consultoria	N;MASC;SG	N;FEM;SG
conseil	assessorament	conseil	assessorament	N;MASC;SG	N;MASC;SG
conseil	consell	conseil	consell	N;MASC;SG	N;MASC;SG
maison	casa	maison	casa	N;FEM;SG	N;FEM;SG
maison	domicili	maison	domicili	N;FEM;SG	N;MASC;SG
maison	llar	maison	llar	N;FEM;SG	N;FEM;SG
cela	això	cela	això	PRO;SG	PRO;SG
demande	requeriment	demande	requeriment	N;FEM;SG	N;MASC;SG
demande	petició	demande	petició	N;FEM;SG	N;FEM;SG
fonction	funció	fonction	funció	N;FEM;SG	N;FEM;SG
toujours	sempre	toujours	sempre	ADV	ADV
toujours	encara	toujours	encara	ADV	ADV
production	producció	production	producció	N;FEM;SG	N;FEM;SG
certains	alguns	certain	algun	PRO;MASC;PL	PRO;MASC;PL
certains	algunes	certain	algun	PRO;MASC;PL	PRO;FEM;PL
membre	membre	membre	membre	N;MASC;SG	N;MASC;SG
meilleur	millor	meilleur	millor	ADJ;MASC;SG	ADJ;SG
droit	llei	droit	llei	N;MASC;SG	N;FEM;SG
mois	mes	mois	mes	N;MASC;SG	N;MASC;SG
île	illa	île	illa	N;FEM;SG	N;FEM;SG
île	île	île	île	N;FEM;SG	N;FEM;SG
république	república	république	república	N;FEM;SG	N;FEM;SG
service	servei	service	servei	N;MASC;SG	N;MASC;SG
score	puntuació	score	puntuació	N;MASC;SG	N;FEM;SG
ensuite	aleshores	ensuite	aleshores	ADV	ADV
ensuite	llavors	ensuite	llavors	ADV	ADV
langue	idioma	langue	idioma	N;FEM;SG	N;MASC;SG
langue	llenguatge	langue	llenguatge	N;FEM;SG	N;MASC;SG
gouvernement	govern	gouvernement	govern	N;MASC;SG	N;MASC;SG
center	centre	center	centre	N;MASC;SG	N;MASC;SG
petit	petita	petit	petit	ADJ;MASC;SG	ADJ;FEM;SG
toutes	tots	tout	tot	PRO;FEM;PL	PRO;MASC;PL
toutes	totes	tout	tot	PRO;FEM;PL	PRO;FEM;PL
argent	diner	argent	diner	N;MASC;SG	N;MASC;SG
souvent	freqüentment	souvent	freqüentment	ADV	ADV
souvent	sovint	souvent	sovint	ADV	ADV
style	estil	style	estil	N;MASC;SG	N;MASC;SG
quand	quan	quand	quan	CONJ	CONJ
ministre	ministre	ministre	ministre	N;MASC;SG	N;MASC;SG
mondiale	global	mondial	global	ADJ;FEM;SG	ADJ;SG
théâtre	teatre	théâtre	teatre	N;MASC;SG	N;MASC;SG
théâtre	teatre	théâtre	teatre	N;MASC;SG	N;MASC;SG
épisode	episodi	épisode	episodi	N;MASC;SG	N;MASC;SG
scène	escena	scène	escena	N;FEM;SG	N;FEM;SG
scène	etapa	scène	etapa	N;FEM;SG	N;FEM;SG
scène	escenari	scène	escenari	N;FEM;SG	N;MASC;SG
étaient	eren	être	ser	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
musée	museum	musée	museum	N;MASC;SG	N;MASC;SG
musée	museu	musée	museu	N;MASC;SG	N;MASC;SG
troisième	tercera	troisième	tercer	ADJ;MASC;SG	ADJ;FEM;SG
troisième	tercer	troisième	tercer	ADJ;MASC;SG	ADJ;MASC;SG
nombreux	nombroses	nombreux	nombrós	ADJ;MASC;PL	ADJ;FEM;PL
nombreux	nombrosos	nombreux	nombrós	ADJ;MASC;PL	ADJ;MASC;PL
auteur	autor	auteur	autor	N;MASC;SG	N;MASC;SG
auteur	escriptor	auteur	escriptor	N;MASC;SG	N;MASC;SG
cependant	tanmateix	cependant	tanmateix	ADV	ADV
système	sistema	système	sistema	N;MASC;SG	N;MASC;SG
création	creació	création	creació	N;FEM;SG	N;FEM;SG
stade	stade	stade	stade	N;MASC;SG	N;MASC;SG
stade	estadi	stade	estadi	N;MASC;SG	N;MASC;SG
stade	estadi	stade	estadi	N;MASC;SG	N;MASC;SG
stade	stadium	stade	stadium	N;MASC;SG	N;MASC;SG
stade	etapa	stade	etapa	N;MASC;SG	N;FEM;SG
stade	escenari	stade	escenari	N;MASC;SG	N;MASC;SG
tard	tard	tard	tard	ADV	ADV
seconde	segon	second	segon	ADJ;FEM;SG	ADJ;MASC;SG
seconde	segona	second	segon	ADJ;FEM;SG	ADJ;FEM;SG
jours	dies	jour	dia	N;MASC;PL	N;MASC;PL
hui	hui	hui	hui		
édition	edició	édition	edició	N;FEM;SG	N;FEM;SG
édition	edició	édition	edició	N;FEM;SG	N;FEM;SG
historique	històric	historique	històric	ADJ;MASC;SG	ADJ;MASC;SG
historique	històrica	historique	històric	ADJ;MASC;SG	ADJ;FEM;SG
âge	edat	âge	edat	N;MASC;SG	N;FEM;SG
environ	aproximadament	environ	aproximadament	ADV	ADV
effet	efecte	effet	efecte	N;MASC;SG	N;MASC;SG
version	versió	version	versió	N;FEM;SG	N;FEM;SG
membres	membres	membre	membre	N;MASC;PL	N;MASC;PL
niveau	nivell	niveau	nivell	N;MASC;SG	N;MASC;SG
champion	champ	champion	champ	N;MASC;SG	N;FEM
champion	campió	champion	campió	N;MASC;SG	N;MASC;SG
champion	campiona	champion	campiona	N;MASC;SG	N;FEM;SG
espèce	espècie	espèce	espècie	N;FEM;SG	N;FEM;SG
raison	raó	raison	raó	N;FEM;SG	N;FEM;SG
raison	motiu	raison	motiu	N;FEM;SG	N;MASC;SG
modèle	model	modèle	model	N;MASC;SG	N;MASC;SG
modèle	plantilla	modèle	plantilla	N;MASC;SG	N;FEM;SG
travail	treball	travail	treball	N;MASC;SG	N;MASC;SG
femme	esposa	femme	esposar	N;FEM;SG	N;FEM;SG
cinq	cinc	cinq	cinc	NUM	NUM;PL
déjà	ja	déjà	ja	ADV	ADV
texte	text	texte	text	N;MASC;SG	N;MASC;SG
terre	sòl	terre	sòl	N;FEM;SG	N;MASC;SG
compétition	competició	compétition	competició	N;FEM;SG	N;FEM;SG
compétition	competència	compétition	competència	N;FEM;SG	N;FEM;SG
britannique	britànic	britannique	britànic	ADJ;MASC;SG	ADJ;MASC;SG
britannique	britànica	britannique	britànic	ADJ;MASC;SG	ADJ;FEM;SG
hommes	homes	homme	home	N;MASC;PL	N;MASC;PL
hommes	mascles	homme	mascle	N;MASC;PL	N;MASC;PL
bataille	batalla	bataille	batalla	N;FEM;SG	N;FEM;SG
corps	cos	corps	cos	N;MASC;SG	N;MASC;SG
siège	setge	siège	setge	N;MASC;SG	N;MASC;SG
personnes	persones	personne	persona	N;FEM;PL	N;FEM;PL
route	ruta	route	ruta	N;FEM;SG	N;FEM;SG
route	autopista	route	autopista	N;FEM;SG	N;FEM;SG
route	carretera	route	carretera	N;FEM;SG	N;FEM;SG
match	partida	match	partida	N;MASC;SG	N;FEM;SG
match	joc	match	joc	N;MASC;SG	N;MASC;SG
match	coincidència	match	coincidència	N;MASC;SG	N;FEM;SG
long	llarga	long	llarg	ADJ;MASC;SG	ADJ;FEM;SG
long	llarg	long	llarg	ADJ;MASC;SG	ADJ;MASC;SG
études	estudis	étude	estudi	N;FEM;PL	N;MASC;PL
communauté	comunitat	communauté	comunitat	N;FEM;SG	N;FEM;SG
association	associació	association	associació	N;FEM;SG	N;FEM;SG
militaire	militar	militaire	militar	ADJ;MASC;SG	ADJ;SG
section	secció	section	secció	N;FEM;SG	N;FEM;SG
longitude	longitud	longitude	longitud	N;FEM;SG	N;FEM;SG
livre	llibre	livre	llibre	N;MASC;SG	N;MASC;SG
américaine	americà	américain	americà	ADJ;FEM;SG	ADJ;MASC;SG
haut	alta	haut	alt	ADJ;MASC;SG	ADJ;FEM;SG
haut	alt	haut	alt	ADJ;MASC;SG	ADJ;MASC;SG
suisse	suïssa	suisse	suís	ADJ;MASC;SG	ADJ;FEM;SG
suisse	suís	suisse	suís	ADJ;MASC;SG	ADJ;MASC;SG
seul	sola	seul	sol	ADJ;MASC;SG	ADJ;FEM;SG
fille	noia	fille	noia	N;FEM;SG	N;FEM;SG
fille	filla	fille	filla	N;FEM;SG	N;FEM;SG
buts	finalitats	but	finalitat	N;MASC;PL	N;FEM;PL
buts	objectius	but	objectiu	N;MASC;PL	N;MASC;PL
enfants	nens	enfant	nen	N;MASC;PL	N;MASC;PL
enfants	fills	enfant	fill	N;MASC;PL	N;MASC;PL
enfants	infants	enfant	infant	N;MASC;PL	N;MASC;PL
enfants	nens	enfant	nen	N;MASC;PL	N;MASC;PL
direction	direcció	direction	direcció	N;FEM;SG	N;FEM;SG
position	posició	position	posició	N;FEM;SG	N;FEM;SG
but	objectiu	but	objectiu	N;MASC;SG	N;MASC;SG
but	finalitat	but	finalitat	N;MASC;SG	N;FEM;SG
but	propòsit	but	propòsit	N;MASC;SG	N;MASC;SG
tête	capçal	tête	capçal	N;FEM;SG	N;MASC;SG
territoire	territori	territoire	territori	N;MASC;SG	N;MASC;SG
union	unió	union	unió	N;FEM;SG	N;FEM;SG
construction	construcció	construction	construcció	N;FEM;SG	N;FEM;SG
ancienne	antic	ancien	antic	ADJ;FEM;SG	ADJ;MASC;SG
ancienne	antiga	ancien	antic	ADJ;FEM;SG	ADJ;FEM;SG
premiers	primers	premier	primer	ADJ;MASC;PL	ADJ;MASC;PL
maire	alcalde	maire	alcalde	N;MASC;SG	N;MASC;SG
présente	present	présent	present	ADJ;FEM;SG	ADJ;SG
personnalité	personalitat	personnalité	personalitat	N;FEM;SG	N;FEM;SG
ligue	lliga	ligue	lliga	N;FEM;SG	N;FEM;SG
public	públic	public	públic	ADJ;MASC;SG	ADJ;MASC;SG
pages	pàgines	page	pàgina	N;FEM;PL	N;FEM;PL
externe	extern	externe	extern	ADJ;MASC;SG	ADJ;MASC;SG
externe	externa	externe	extern	ADJ;MASC;SG	ADJ;FEM;SG
externe	ambulatori	externe	ambulatori	ADJ;MASC;SG	ADJ;MASC;SG
simple	simple	simple	simple	ADJ;MASC;SG	ADJ;SG
simple	senzill	simple	senzill	ADJ;MASC;SG	ADJ;MASC;SG
dernière	darrer	dernier	darrer	ADJ;FEM;SG	ADJ;MASC;SG
dernière	últim	dernier	últim	ADJ;FEM;SG	ADJ;MASC;SG
dernière	última	dernier	últim	ADJ;FEM;SG	ADJ;FEM;SG
dernière	darrera	dernier	darrer	ADJ;FEM;SG	ADJ;FEM;SG
chanson	songs	chanson	songs	N;FEM;SG	N;SG
chanson	cançó	chanson	cançó	N;FEM;SG	N;FEM;SG
poste	publicació	poste	publicació	N;MASC;SG	N;FEM;SG
culture	cultura	culture	cultura	N;FEM;SG	N;FEM;SG
développement	desenvolupament	développement	desenvolupament	N;MASC;SG	N;MASC;SG
empire	imperi	empire	imperi	N;MASC;SG	N;MASC;SG
québec	quebec	québec	quebar	N;MASC;SG	N;MASC;SG
loi	llei	loi	llei	N;FEM;SG	N;FEM;SG
loi	acte	loi	acte	N;FEM;SG	N;MASC;SG
équipes	equips	équipe	equip	N;FEM;PL	N;MASC;PL
côté	costat	côté	costat	N;MASC;SG	N;MASC;SG
mer	mar	mer	mar	N;FEM;SG	N;SG
haute	alta	haut	alt	ADJ;FEM;SG	ADJ;FEM;SG
haute	alt	haut	alt	ADJ;FEM;SG	ADJ;MASC;SG
mère	mare	mère	mare	N;FEM;SG	N;FEM;SG
fichier	arxiu	fichier	arxiu	N;MASC;SG	N;MASC;SG
fichier	fitxer	fichier	fitxer	N;MASC;SG	N;MASC;SG
nombreuses	nombroses	nombreux	nombrós	ADJ;FEM;PL	ADJ;FEM;PL
nombreuses	nombrosos	nombreux	nombrós	ADJ;FEM;PL	ADJ;MASC;PL
acteur	actor	acteur	actor	N;MASC;SG	N;MASC;SG
parcours	ruta	parcours	ruta	N;MASC;SG	N;FEM;SG
parcours	trajecte	parcours	trajecte	N;MASC;SG	N;MASC;SG
recherche	recerca	recherche	recerca	N;FEM;SG	N;FEM;SG
recherche	investigació	recherche	investigació	N;FEM;SG	N;FEM;SG
classement	rànquing	classement	rànquing	N;MASC;SG	N;MASC;SG
classement	classificació	classement	classificació	N;MASC;SG	N;FEM;SG
double	doble	double	doble	ADJ;MASC;SG	ADJ;SG
double	duplicat	double	duplicar	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
entraîneur	preparador	entraîneur	preparador	N;MASC;SG	N;MASC;SG
entraîneur	autocar	entraîneur	autocar	N;MASC;SG	N;MASC;SG
entraîneur	entrenador	entraîneur	entrenador	N;MASC;SG	N;MASC;SG
web	web	web	web	N;MASC;SG	N;SG
directeur	director	directeur	director	N;MASC;SG	N;MASC;SG
directeur	directora	directeur	directora	N;MASC;SG	N;FEM;SG
directeur	realitzador	directeur	realitzador	N;MASC;SG	N;MASC;SG
directeur	gestor	directeur	gestor	N;MASC;SG	N;MASC;SG
semble	apareix	sembler	aparèixer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
ici	aquí	ici	aquí	ADV	ADV
vainqueur	guanyador	vainqueur	guanyador	N;MASC;SG	N;MASC;SG
réalisé	adonar	réaliser	adonar-se	V;MASC;SG;PST;V.PTCP	V;NFIN
existe	existir	exister	existir	V;IND;SG;3;PRS;FIN	V;NFIN
existe	existeix	exister	existir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
six	sis	six	sis	NUM	NUM;PL
petite	petita	petit	petit	ADJ;FEM;SG	ADJ;FEM;SG
bois	fusta	bois	fusta	N;MASC;SG	N;FEM;SG
bois	beguda	bois	beguda	N;MASC;SG	N;FEM;SG
retour	regressió	retour	regressió	N;MASC;SG	N;FEM;SG
retour	retorn	retour	retorn	N;MASC;SG	N;MASC;SG
retour	devolució	retour	devolució	N;MASC;SG	N;FEM;SG
retour	esquena	retour	esquena	N;MASC;SG	N;FEM;SG
numéro	número	numéro	número	N;MASC;SG	N;MASC;SG
numéro	nombre	numéro	nombre	N;MASC;SG	N;MASC;SG
principale	principal	principal	principal	ADJ;FEM;SG	ADJ;SG
comté	comtat	comté	comtar	N;MASC;SG	N;MASC;SG
comté	comarca	comté	comarca	N;MASC;SG	N;FEM;SG
second	segon	second	segon	ADJ;MASC;SG	ADJ;MASC;SG
second	segona	second	segon	ADJ;MASC;SG	ADJ;FEM;SG
gare	estació	gare	estació	N;FEM;SG	N;FEM;SG
terme	termini	terme	termini	N;MASC;SG	N;MASC;SG
terme	terme	terme	terme	N;MASC;SG	N;SG
formation	entrenament	formation	entrenament	N;FEM;SG	N;MASC;SG
formation	formació	formation	formació	N;FEM;SG	N;FEM;SG
arts	arts	art	art	N;MASC;PL	N;FEM;PL
technique	tècnic	technique	tècnic	ADJ;MASC;SG	ADJ;MASC;SG
technique	tècnica	technique	tècnic	ADJ;MASC;SG	ADJ;FEM;SG
révolution	revolució	révolution	revolució	N;FEM;SG	N;FEM;SG
