com	avec	com	avec	ADP	ADP
pode	peut	poder	pouvoir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
durante	durant	durante	durant	ADP	ADP
durante	pendant	durante	pendant	ADP	ADP
ligações	raccordements	ligação	raccordement	N;FEM;PL	N;MASC;PL
ligações	connexions	ligação	connexion	N;FEM;PL	N;FEM;PL
ligações	liens	ligação	lien	N;FEM;PL	N;MASC;PL
parte	partie	parte	partie	N;FEM;SG	N;FEM;SG
este	cette	este	ce	DET;MASC;SG	DET;FEM;SG
primeira	première	primeiro	premier	ADJ;FEM;SG	ADJ;FEM;SG
primeira	premier	primeiro	premier	ADJ;FEM;SG	ADJ;MASC;SG
nome	nom	nome	nom	N;MASC;SG	N;MASC;SG
nome	dénomination	nome	dénomination	N;MASC;SG	N;FEM;SG
sendo	être	ser	être	V;V.MSDR	V;NFIN
ainda	encore	ainda	encore	ADV	ADV
ainda	toujours	ainda	toujours	ADV	ADV
outros	autres	outro	autre	PRO;MASC;PL	PRO;PL
outros	autres	outro	autre	PRO;MASC;PL	PRO;PL
esta	ceci	este	ceci	PRO;FEM;SG	PRO;SG
esta	cet	este	ce	PRO;FEM;SG	PRO;SG;3
esta	cela	este	cela	PRO;FEM;SG	PRO;SG
esta	ce	este	ce	PRO;FEM;SG	PRO;SG;3
sem	sans	sem	sans	ADP	ADP
ela	she	ela	she	PRO;NOM;FEM;SG;3	PRO
ela	elle	ela	elle	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
ela	her	ela	her	PRO;NOM;FEM;SG;3	PRO;SG;3
dia	journée	dia	journée	N;MASC;SG	N;FEM;SG
dia	jour	dia	jour	N;MASC;SG	N;MASC;SG
dia	journee	dia	journee	N;MASC;SG	N;FEM;SG
dois	deux	dois	deux	NUM	NUM
muito	très	muito	très	ADV	ADV
muito	trés	muito	trés	ADV	ADV
muito	beaucoup	muito	beaucoup	ADV	ADV
região	région	região	région	N;FEM;SG	N;FEM;SG
suas	leurs	seu	son	DET;FEM;PL	DET;MASC;PL
artigo	article	artigo	article	N;MASC;SG	N;MASC;SG
apenas	uniquement	apenas	uniquement	ADV	ADV
apenas	seulement	apenas	seulement	ADV	ADV
apenas	simplement	apenas	simplement	ADV	ADV
apenas	juste	apenas	juste	ADV	ADV
ter	avoir	ter	avoir	V;NFIN	V;NFIN
ter	avoir	ter	avoir	V;NFIN	V;NFIN
msg	msg	msg	msg	N;FEM;SG	N;MASC;SG
julho	juillet	julho	juillet	N;MASC;SG	N;MASC;SG
área	région	área	région	N;FEM;SG	N;FEM;SG
área	zone	área	zone	N;FEM;SG	N;FEM;SG
área	domaine	área	domaine	N;FEM;SG	N;MASC;SG
agosto	aout	agosto	août	N;MASC;SG	N;MASC;SG
agosto	août	agosto	août	N;MASC;SG	N;MASC;SG
agosto	aout	agosto	août	N;MASC;SG	N;MASC;SG
agosto	août	agosto	août	N;MASC;SG	N;MASC;SG
lista	liste	lista	liste	N;FEM;SG	N;FEM;SG
maio	mai	maio	mai	N;MASC;SG	N;MASC;SG
março	marche	março	marche	N;MASC;SG	N;FEM;SG
março	mars	março	mars	N;MASC;SG	N;MASC;SG
norte	norte	norte	nort	N;MASC;SG	N;FEM;SG
norte	nord	norte	nord	N;MASC;SG	N;MASC;SG
norte	nord	norte	nord	N;MASC;SG	N;MASC;SG
família	famille	família	famille	N;FEM;SG	N;FEM;SG
abril	avril	abril	avril	N;MASC;SG	N;MASC;SG
sul	sud	sul	sud	N;MASC;SG	N;MASC;SG
grupo	groupe	grupo	groupe	N;MASC;SG	N;MASC;SG
setembro	septembre	setembro	septembre	N;MASC;SG	N;MASC;SG
paulo	paul	paulo	paul	N;MASC;SG	N;MASC;SG
ver	consultez	ver	consulter	V;NFIN	V;IMP;PL;2;PRS;FIN
ver	voyez	ver	voir	V;NFIN	V;IMP;PL;2;PRS;FIN
ver	voir	ver	voir	V;NFIN	V;NFIN
ver	vois	ver	vois	V;NFIN	V;IND;SG;2;PRS;FIN
ver	afficher	ver	afficher	V;NFIN	V;NFIN
ver	vue	ver	voir	V;NFIN	V;FEM;SG;PST;V.PTCP
ver	voir	ver	voir	V;NFIN	V;NFIN
ver	visualiser	ver	visualiser	V;NFIN	V;NFIN
outubro	octobre	outubro	octobre	N;MASC;SG	N;MASC;SG
isso	ceci	isso	ceci	PRO;MASC;SG	PRO;SG
isso	cet	isso	ce	PRO;MASC;SG	PRO;SG;3
isso	cela	isso	cela	PRO;MASC;SG	PRO;SG
isso	ce	isso	ce	PRO;MASC;SG	PRO;SG;3
isso	cela	isso	cela	PRO;MASC;SG	PRO;SG
todos	toutes	todo	tout	PRO;MASC;PL	PRO;FEM;PL
todos	tous	todo	tout	PRO;MASC;PL	PRO;MASC;PL
nova	nouveau	novo	nouveau	ADJ;FEM;SG	ADJ;MASC;SG
nova	nouvelle	novo	nouveau	ADJ;FEM;SG	ADJ;FEM;SG
álbum	album	álbum	album	N;MASC;SG	N;MASC;SG
junho	juin	junho	juin	N;MASC;SG	N;MASC;SG
contra	contre	contra	contre	ADP	ADP
tempo	temps	tempo	temps	N;MASC;SG	N;MASC;SG
tempo	météorologie	tempo	météorologie	N;MASC;SG	N;FEM;SG
tempo	météo	tempo	météo	N;MASC;SG	N;FEM;SG
tempo	climat	tempo	climat	N;MASC;SG	N;MASC;SG
tempo	temps	tempo	temps	N;MASC;SG	N;MASC;SG
tempo	heure	tempo	heure	N;MASC;SG	N;FEM;SG
dezembro	décembre	dezembro	décembre	N;MASC;SG	N;MASC;SG
dezembro	decembre	dezembro	decembre	N;MASC;SG	N;MASC;SG
dezembro	dec	dezembro	dec	N;MASC;SG	N;MASC;SG
dezembro	déc	dezembro	déc	N;MASC;SG	N;MASC;SG
fevereiro	fevrier	fevereiro	fevrier	N;MASC;SG	N;MASC;SG
fevereiro	février	fevereiro	février	N;MASC;SG	N;MASC;SG
fevereiro	fév	fevereiro	fév	N;MASC;SG	N;MASC;SG
fevereiro	février	fevereiro	février	N;MASC;SG	N;MASC;SG
forma	shape	forma	shape	N;FEM;SG	N;MASC;SG
forma	forme	forma	forme	N;FEM;SG	N;FEM;SG
forma	forme	forma	forme	N;FEM;SG	N;FEM;SG
forma	formulaire	forma	formulaire	N;FEM;SG	N;MASC;SG
novembro	novembre	novembro	novembre	N;MASC;SG	N;MASC;SG
assim	ainsi	assim	ainsi	ADV	ADV
então	ensuite	então	ensuite	ADV	ADV
então	alors	então	alors	ADV	ADV
principal	principal	principal	principal	ADJ;MASC;SG	ADJ;MASC;SG
principal	principale	principal	principal	ADJ;MASC;SG	ADJ;FEM;SG
principal	principale	principal	principal	ADJ;MASC;SG	ADJ;FEM;SG
principal	principal	principal	principal	ADJ;MASC;SG	ADJ;MASC;SG
três	trois	três	trois	NUM	NUM
série	série	série	série	N;FEM;SG	N;FEM;SG
série	serial	série	serial	N;FEM;SG	N;MASC;SG
série	série	série	série	N;FEM;SG	N;FEM;SG
final	finale	final	finale	N;MASC;SG	N;FEM;SG
final	end	final	end	N;MASC;SG	N;MASC;SG
final	fin	final	fin	N;MASC;SG	N;FEM;SG
final	finale	final	finale	N;MASC;SG	N;FEM;SG
desde	depuis	desde	depuis	ADP	ADP
história	récit	história	récit	N;FEM;SG	N;MASC;SG
história	histoire	história	histoire	N;FEM;SG	N;FEM;SG
filme	film	filme	film	N;MASC;SG	N;MASC;SG
filme	film	filme	film	N;MASC;SG	N;MASC;SG
antes	auparavant	antes	auparavant	ADV	ADV
melhor	mieux	melhor	mieux	ADV	ADV
duas	deux	dois	deux	NUM	NUM
guerra	guerre	guerra	guerre	N;FEM;SG	N;FEM;SG
guerra	war	guerra	war	N;FEM;SG	N;SG
população	population	população	population	N;FEM;SG	N;FEM;SG
estados	etats	estado	etat	N;MASC;PL	N;MASC;PL
estados	états	estado	état	N;MASC;PL	N;MASC;PL
bem	bien	bem	bien	ADV	ADV
mundo	monde	mundo	monde	N;MASC;SG	N;MASC;SG
banda	groupe	banda	groupe	N;FEM;SG	N;MASC;SG
banda	orchestre	banda	orchestre	N;FEM;SG	N;MASC;SG
banda	bande	banda	bande	N;FEM;SG	N;FEM;SG
outras	autres	outro	autre	PRO;FEM;PL	PRO;PL
outras	autres	outro	autre	PRO;FEM;PL	PRO;PL
km²	km²	km²	km²	N;MASC;SG	N;MASC;SG
gols	buts	gol	but	N;MASC;PL	N;MASC;PL
gols	objectifs	gol	objectif	N;MASC;PL	N;MASC;PL
nacional	national	nacional	national	ADJ;MASC;SG	ADJ;MASC;SG
nacional	nationale	nacional	national	ADJ;MASC;SG	ADJ;FEM;SG
jogos	jeux	jogo	jeu	N;MASC;PL	N;MASC;PL
qual	laquelle	qual	lequel	PRO;MASC;SG	PRO;FEM;SG
qual	lequel	qual	lequel	PRO;MASC;SG	PRO;MASC;SG
alguns	certains	algum	certain	PRO;MASC;PL	PRO;MASC;PL
alguns	certaines	algum	certain	PRO;MASC;PL	PRO;FEM;PL
alguns	quelques	algum	quelque	PRO;MASC;PL	PRO;PL
center	center	center	center	N;MASC;SG	N;MASC;SG
center	centre	center	centre	N;MASC;SG	N;MASC;SG
vida	vie	vida	vie	N;FEM;SG	N;FEM;SG
país	pays	país	pays	N;MASC;SG	N;MASC;SG
cada	chaque	cada	chaque	DET;FEM;SG	DET;FEM;SG
cada	chaque	cada	chaque	DET;FEM;SG	DET;FEM;SG
eles	eux	eles	soi	PRO;NOM;MASC;PL;3	PRO;MASC;PL;3
eles	elles	eles	il	PRO;NOM;MASC;PL;3	PRO;FEM;PL;3
eles	ils	eles	il	PRO;NOM;MASC;PL;3	PRO;MASC;PL;3
eles	eux	eles	soi	PRO;NOM;MASC;PL;3	PRO;MASC;PL;3
música	musique	música	musique	N;FEM;SG	N;FEM;SG
página	page	página	page	N;FEM;SG	N;FEM;SG
dias	jours	dia	jour	N;MASC;PL	N;MASC;PL
dias	journées	dia	journée	N;MASC;PL	N;FEM;PL
campeonato	championnat	campeonato	championnat	N;MASC;SG	N;MASC;SG
josé	joseph	josé	joseph	N;MASC;SG	N;MASC;SG
município	municipalité	município	municipalité	N;MASC;SG	N;FEM;SG
futebol	football	futebol	football	N;MASC;SG	N;MASC;SG
futebol	foot	futebol	foot	N;MASC;SG	N;MASC;SG
futebol	soccer	futebol	soccer	N;MASC;SG	N;MASC;SG
futebol	football	futebol	football	N;MASC;SG	N;MASC;SG
espécie	espèce	espécie	espèce	N;FEM;SG	N;FEM;SG
clube	club	clube	club	N;MASC;SG	N;MASC;SG
clube	clube	clube	clube	N;MASC;SG	N;MASC;SG
novo	nouveau	novo	nouveau	ADJ;MASC;SG	ADJ;MASC;SG
novo	nouvelle	novo	nouveau	ADJ;MASC;SG	ADJ;FEM;SG
tendo	avoir	ter	avoir	V;V.MSDR	V;NFIN
segunda	second	segundo	second	ADJ;FEM;SG	ADJ;MASC;SG
segunda	deuxième	segundo	deuxième	ADJ;FEM;SG	ADJ;MASC;SG
segunda	deuxieme	segundo	deuxieme	ADJ;FEM;SG	ADJ;MASC;SG
segunda	seconde	segundo	second	ADJ;FEM;SG	ADJ;FEM;SG
pessoas	gens	pessoa	gens	N;FEM;PL	N;MASC;PL
pessoas	personnes	pessoa	personne	N;FEM;PL	N;FEM;PL
habitantes	habitants	habitante	habitant	N;PL	N;MASC;PL
presidente	présidente	presidente	président	N;MASC;SG	N;FEM;SG
presidente	président	presidente	président	N;MASC;SG	N;MASC;SG
presidente	président	presidente	président	N;MASC;SG	N;MASC;SG
presidente	presidente	presidente	president	N;MASC;SG	N;FEM;SG
caso	cas	caso	cas	N;MASC;SG	N;MASC;SG
caso	étui	caso	étui	N;MASC;SG	N;MASC;SG
caso	affaire	caso	affaire	N;MASC;SG	N;FEM;SG
jogo	gibier	jogo	gibier	N;MASC;SG	N;MASC;SG
jogo	match	jogo	match	N;MASC;SG	N;MASC;SG
jogo	jeu	jogo	jeu	N;MASC;SG	N;MASC;SG
sistema	système	sistema	système	N;MASC;SG	N;MASC;SG
período	période	período	période	N;MASC;SG	N;FEM;SG
século	siecle	século	siecle	N;MASC;SG	N;MASC;SG
século	siècle	século	siècle	N;MASC;SG	N;MASC;SG
século	century	século	century	N;MASC;SG	N;MASC;SG
título	titre	título	titre	N;MASC;SG	N;MASC;SG
casa	maison	casa	maison	N;FEM;SG	N;FEM;SG
casa	maison	casa	maison	N;FEM;SG	N;FEM;SG
casa	domicile	casa	domicile	N;FEM;SG	N;MASC;SG
casa	accueil	casa	accueil	N;FEM;SG	N;MASC;SG
lugar	place	lugar	place	N;MASC;SG	N;FEM;SG
lugar	endroit	lugar	endroit	N;MASC;SG	N;MASC;SG
lugar	lieu	lugar	lieu	N;MASC;SG	N;MASC;SG
oficial	officielle	oficial	officiel	ADJ;MASC;SG	ADJ;FEM;SG
oficial	officiel	oficial	officiel	ADJ;MASC;SG	ADJ;MASC;SG
filho	fils	filho	fils	N;MASC;SG	N;MASC;SG
filho	fiston	filho	fiston	N;MASC;SG	N;MASC;SG
governo	gouvernement	governo	gouvernement	N;MASC;SG	N;MASC;SG
artigos	articles	artigo	article	N;MASC;PL	N;MASC;PL
distrito	district	distrito	district	N;MASC;SG	N;MASC;SG
local	place	local	place	N;MASC;SG	N;FEM;SG
local	endroit	local	endroit	N;MASC;SG	N;MASC;SG
local	lieu	local	lieu	N;MASC;SG	N;MASC;SG
local	lieu	local	lieu	N;MASC;SG	N;MASC;SG
trabalho	travail	trabalho	travail	N;MASC;SG	N;MASC;SG
outro	autre	outro	autre	PRO;MASC;SG	PRO;SG
acordo	accord	acordo	accord	N;MASC;SG	N;MASC;SG
acordo	arrangement	acordo	arrangement	N;MASC;SG	N;MASC;SG
número	nombre	número	nombre	N;MASC;SG	N;MASC;SG
número	numéro	número	numéro	N;MASC;SG	N;MASC;SG
estava	était	estar	être	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
maria	marie	maria	marier	N;FEM;SG	N;FEM;SG
maria	marie	maria	marier	N;FEM;SG	N;FEM;SG
maria	marie	maria	marier	N;FEM;SG	N;FEM;SG
estão	sont	estar	être	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
vários	plusieurs	vários	plusieurs	PRO;MASC;PL	PRO;PL
terra	earth	terra	earth	N;FEM;SG	N;MASC;SG
terra	terre	terra	terre	N;FEM;SG	N;FEM;SG
terra	terre	terra	terre	N;FEM;SG	N;FEM;SG
terra	terrain	terra	terrain	N;FEM;SG	N;MASC;SG
gênero	genre	gênero	genre	N;MASC;SG	N;MASC;SG
gênero	sexe	gênero	sexe	N;MASC;SG	N;MASC;SG
gênero	genre	gênero	genre	N;MASC;SG	N;MASC;SG
gênero	genre	gênero	genre	N;MASC;SG	N;MASC;SG
igreja	église	igreja	église	N;FEM;SG	N;FEM;SG
igreja	eglise	igreja	eglise	N;FEM;SG	N;FEM;SG
universidade	université	universidade	université	N;FEM;SG	N;FEM;SG
universidade	collège	universidade	collège	N;FEM;SG	N;MASC;SG
universidade	université	universidade	université	N;FEM;SG	N;FEM;SG
podem	peuvent	poder	pouvoir	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
centro	center	centro	center	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
centro	centre	centro	centre	N;MASC;SG	N;MASC;SG
início	début	início	début	N;MASC;SG	N;MASC;SG
início	commencement	início	commencement	N;MASC;SG	N;MASC;SG
início	début	início	début	N;MASC;SG	N;MASC;SG
essa	ceci	esse	ceci	PRO;FEM;SG	PRO;SG
essa	cet	esse	ce	PRO;FEM;SG	PRO;SG;3
essa	cela	esse	cela	PRO;FEM;SG	PRO;SG
essa	ce	esse	ce	PRO;FEM;SG	PRO;SG;3
essa	cela	esse	cela	PRO;FEM;SG	PRO;SG
tipo	type	tipo	type	N;MASC;SG	N;MASC;SG
esse	cette	esse	ce	DET;MASC;SG	DET;FEM;SG
canção	chant	canção	chant	N;FEM;SG	N;MASC;SG
canção	chanson	canção	chanson	N;FEM;SG	N;FEM;SG
edição	edition	edição	edition	N;FEM;SG	N;FEM;SG
edição	édition	edição	édition	N;FEM;SG	N;FEM;SG
edição	montage	edição	montage	N;FEM;SG	N;MASC;SG
edição	édition	edição	édition	N;FEM;SG	N;FEM;SG
edição	édition	edição	édition	N;FEM;SG	N;FEM;SG
edição	publication	edição	publication	N;FEM;SG	N;FEM;SG
mundial	mondiale	mundial	mondial	ADJ;MASC;SG	ADJ;FEM;SG
mundial	mondial	mundial	mondial	ADJ;MASC;SG	ADJ;MASC;SG
lançado	publié	lançar	publier	V;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
lançado	relâché	lançar	relâcher	V;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
lançado	libéré	lançar	libérer	V;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
lançado	lancée	lançar	lancer	V;MASC;SG;V.PTCP	V;FEM;SG;PST;V.PTCP
lançado	lancé	lançar	lancer	V;MASC;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
rei	roi	rei	roi	N;MASC;SG	N;MASC;SG
algumas	certains	algum	certain	PRO;FEM;PL	PRO;MASC;PL
algumas	certaines	algum	certain	PRO;FEM;PL	PRO;FEM;PL
algumas	quelques	algum	quelque	PRO;FEM;PL	PRO;PL
quem	qui	quem	qui	PRO;SG	PRO
água	eau	água	eau	N;FEM;SG	N;FEM;SG
quatro	quatre	quatro	quatre	NUM	NUM
época	saison	época	saison	N;FEM;SG	N;FEM;SG
época	époque	época	époque	N;FEM;SG	N;FEM;SG
exemplo	exemple	exemplo	exemple	N;MASC;SG	N;MASC;SG
morte	décès	morte	décès	N;FEM;SG	N;MASC;SG
sob	sous	sob	sous	ADP	ADP
eram	étaient	ser	être	V;IND;PL;3;IPFV;FIN	V;IND;PL;3;IPFV;FIN
produção	production	produção	production	N;FEM;SG	N;FEM;SG
temporada	saison	temporada	saison	N;FEM;SG	N;FEM;SG
seguinte	prochain	seguinte	prochain	ADJ;MASC;SG	ADJ;MASC;SG
seguinte	suivante	seguinte	suivant	ADJ;MASC;SG	ADJ;FEM;SG
seguinte	prochaine	seguinte	prochain	ADJ;MASC;SG	ADJ;FEM;SG
muitos	plusieurs	muito	plusieurs	PRO;MASC;PL	PRO;PL
wikipédia	wikipedia	wikipédia	wikipedia	N;FEM;SG	N;FEM;SG
time	temps	time	temps	N;MASC;SG	N;MASC;SG
time	heure	time	heure	N;MASC;SG	N;FEM;SG
time	équipe	time	équipe	N;MASC;SG	N;FEM;SG
time	equipe	time	equipe	N;MASC;SG	N;FEM;SG
faz	rend	fazer	rendre	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
geral	général	geral	général	N;MASC;SG	N;MASC;SG
aqui	ici	aqui	ici	ADV	ADV
style	style	style	style	N;MASC;SG	N;MASC;SG
versão	version	versão	version	N;FEM;SG	N;FEM;SG
fim	end	fim	end	N;MASC;SG	N;MASC;SG
fim	fin	fim	fin	N;MASC;SG	N;FEM;SG
carlos	charles	carlo	charle	N;MASC;SG	N;MASC;SG
menos	moins	menos	moins	ADV	ADV
menos	moins	menos	moins	ADV	ADV
programa	programme	programa	programme	N;MASC;SG	N;MASC;SG
programa	programme	programa	programme	N;MASC;SG	N;MASC;SG
porto	porto	porto	porto	N;MASC;SG	N;MASC;SG
porto	port	porto	port	N;MASC;SG	N;MASC;SG
fontes	sources	fonte	source	N;FEM;PL	N;FEM;PL
fontes	polices	fonte	police	N;FEM;PL	N;FEM;PL
fontes	fontes	fonte	fonte	N;FEM;PL	N;FEM;PL
fontes	fontaines	fonte	fontaine	N;FEM;PL	N;FEM;PL
deve	doit	dever	devoir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sempre	toujours	sempre	toujours	ADV	ADV
site	site	site	site	N;MASC;SG	N;MASC;SG
site	site	site	site	N;MASC;SG	N;MASC;SG
livro	livre	livro	livre	N;MASC;SG	N;MASC;SG
lado	côté	lado	côté	N;MASC;SG	N;MASC;SG
lado	latéral	lado	latéral	N;MASC;SG	N;MASC;SG
atualmente	actuellement	atualmente	actuellement	ADV	ADV
atualmente	présentement	atualmente	présentement	ADV	ADV
equipe	équipe	equipe	équipe	N;FEM;SG	N;FEM;SG
equipe	equipe	equipe	equipe	N;FEM;SG	N;FEM;SG
escola	ecole	escola	ecole	N;FEM;SG	N;FEM;SG
escola	école	escola	école	N;FEM;SG	N;FEM;SG
várias	plusieurs	várias	plusieurs	PRO;FEM;PL	PRO;PL
outra	autre	outro	autre	PRO;FEM;SG	PRO;SG
dados	données	dado	donnée	N;MASC;PL	N;FEM;PL
copa	gobelet	copa	gobelet	N;FEM;SG	N;MASC;SG
copa	tasse	copa	tasse	N;FEM;SG	N;FEM;SG
copa	coupe	copa	coupe	N;FEM;SG	N;FEM;SG
posição	position	posição	position	N;FEM;SG	N;FEM;SG
internacional	international	internacional	international	ADJ;MASC;SG	ADJ;MASC;SG
internacional	internationale	internacional	international	ADJ;MASC;SG	ADJ;FEM;SG
província	province	província	province	N;FEM;SG	N;FEM;SG
team	équipe	team	équipe	N;MASC;SG	N;FEM;SG
team	equipe	team	equipe	N;MASC;SG	N;FEM;SG
inglês	anglais	inglês	anglais	N;MASC;SG	N;MASC;SG
pouco	peu	pouco	peu	ADV	ADV
asteroide	astéroïde	asteroider	astéroïde	N;MASC;SG	N;MASC;SG
projeto	projet	projeto	projet	N;MASC;SG	N;MASC;SG
atual	actuel	atual	actuel	ADJ;MASC;SG	ADJ;MASC;SG
atual	actuelle	atual	actuel	ADJ;MASC;SG	ADJ;FEM;SG
ordem	ordre	ordem	ordre	N;FEM;SG	N;MASC;SG
ordem	commande	ordem	commande	N;FEM;SG	N;FEM;SG
pai	papa	pai	papa	N;MASC;SG	N;MASC;SG
pai	père	pai	père	N;MASC;SG	N;MASC;SG
pai	papa	pai	papa	N;MASC;SG	N;MASC;SG
pai	pére	pai	pére	N;MASC;SG	N;MASC;SG
pai	pere	pai	pere	N;MASC;SG	N;MASC;SG
pai	père	pai	père	N;MASC;SG	N;MASC;SG
localizada	située	localizar	situer	V;FEM;SG;V.PTCP	V;FEM;SG;PST;V.PTCP
localizada	localisé	localizar	localiser	V;FEM;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
localizada	situé	localizar	situer	V;FEM;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
localizada	localisée	localizar	localiser	V;FEM;SG;V.PTCP	V;FEM;SG;PST;V.PTCP
localizada	localisé	localizar	localiser	V;FEM;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
localizada	localisée	localizar	localiser	V;FEM;SG;V.PTCP	V;FEM;SG;PST;V.PTCP
localizada	localisé	localizar	localiser	V;FEM;SG;V.PTCP	V;MASC;SG;PST;V.PTCP
estádio	stade	estádio	stade	N;MASC;SG	N;MASC;SG
estádio	stade	estádio	stade	N;MASC;SG	N;MASC;SG
partido	partido	partido	partido	N;MASC;SG	N;MASC;SG
partido	partie	partido	partie	N;MASC;SG	N;FEM;SG
partido	fete	partido	fete	N;MASC;SG	N;FEM;SG
partido	soirée	partido	soirée	N;MASC;SG	N;FEM;SG
partido	fête	partido	fête	N;MASC;SG	N;FEM;SG
começou	commencé	começar	commencer	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
começou	démarré	começar	démarrer	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
começou	commencée	começar	commencer	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP
começou	commencé	começar	commencer	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
começou	commencé	começar	commencer	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
começou	commencée	começar	commencer	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP
passou	dépensé	passar	dépenser	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP
mesma	identique	mesmo	identique	ADJ;FEM;SG	ADJ;MASC;SG
ilha	île	ilha	île	N;FEM;SG	N;FEM;SG
