hän	她	hän	她	PRO;NOM;SG;3	PRO;3
seura	俱樂部	seura	俱樂部	N;NOM;SG	N
seura	公司	seura	公司	N;NOM;SG	N
hyvin	非常	hyvin	非常	ADV	ADV
sijaitsee	位	sijaita	位	V;IND;SG;3;PRS;FIN;ACT	V
kolme	三	kolme	三	NUM;NOM;SG	NUM
kolme	三	kolme	三	NUM;NOM;SG	NUM
usein	常常	usein	常常	ADV	ADV
usein	經常	usein	經常	ADV	ADV
usein	時常	usein	時常	ADV	ADV
usein	常常	usein	常常	ADV	ADV
usein	經常	usein	經常	ADV	ADV
kuva	像片	kuva	像片	N;NOM;SG	N
kuva	照片	kuva	照片	N;NOM;SG	N
kuva	影象	kuva	影象	N;NOM;SG	N
kuva	影像	kuva	影像	N;NOM;SG	N
kuva	圖片	kuva	圖片	N;NOM;SG	N
kuva	照片	kuva	照片	N;NOM;SG	N
kuva	圖片	kuva	圖片	N;NOM;SG	N
alus	船隻	alus	船隻	N;NOM;SG	N
alus	船	alus	船	N;NOM;SG	N
alus	船隻	alus	船隻	N;NOM;SG	N
alus	艦	alus	艦	N;NOM;SG	N
alus	船舶	alus	船舶	N;NOM;SG	N
yleensä	通常	yleensä	通常	ADV	ADV
yleensä	一般	yleensä	一般	ADV	ADV
yleensä	通常	yleensä	通常	ADV	ADV
sitten	然後	sitten	然後	ADV	ADV
sitten	那麼	sitten	那麼	ADV	ADV
suurin	最大	suuri	最大	ADJ;NOM;RL;SG	ADJ
suurin	最大	suuri	最大	ADJ;NOM;RL;SG	ADJ
uusi	新	uusi	新	ADJ;NOM;SG	ADJ
ajan	時光	aika	時光	N;GEN;SG	N
ajan	時間	aika	時間	N;GEN;SG	N
saa	獲取	saada	獲取	V;IND;SG;0;PRS;FIN;ACT	V
saa	獲得	saada	獲得	V;IND;SG;0;PRS;FIN;ACT	V
saa	得到	saada	得到	V;IND;SG;0;PRS;FIN;ACT	V
pinta	表面	pinta	表面	N;NOM;SG	N
pinta	地面	pinta	地面	N;NOM;SG	N
pinta	地表	pinta	地表	N;NOM;SG	N
pohjois	北方	pohjois	北方	N;NOM;SG	N
pohjois	北	pohjois	北	N;NOM;SG	N
pohjois	北部	pohjois	北部	N;NOM;SG	N
pohjois	北方	pohjois	北方	N;NOM;SG	N
pohjois	北部	pohjois	北部	N;NOM;SG	N
useita	多	usea	多	ADJ;PRT;PL	ADJ
maalit	油漆	maali	油漆	N;NOM;PL	N
maalit	顏料	maali	顏料	N;NOM;PL	N
maalit	目標	maali	目標	N;NOM;PL	N
maalit	畫	maali	畫	N;NOM;PL	N
maalit	油漆	maali	油漆	N;NOM;PL	N
maalit	顏料	maali	顏料	N;NOM;PL	N
jpg	jpg	jpg	jpg	N;NOM;SG	N
näyttelijä	女	näyttelijä	女	N;NOM;SG	N
näyttelijä	女	näyttelijä	女	N;NOM;SG	N
näyttelijä	演員	näyttelijä	演員	N;NOM;SG	N
näyttelijä	男	näyttelijä	男	N;NOM;SG	N
näyttelijä	演員	näyttelijä	演員	N;NOM;SG	N
maan	大地	maa	大地	N;GEN;SG	N
maan	國家	maa	國家	N;GEN;SG	N
elokuva	電影	elo#kuva	電影	N;NOM;SG	N
elokuva	影片	elo#kuva	影片	N;NOM;SG	N
elokuva	電影	elo#kuva	電影	N;NOM;SG	N
elokuva	膠片	elo#kuva	膠片	N;NOM;SG	N
elokuva	影片	elo#kuva	影片	N;NOM;SG	N
elokuva	電影	elo#kuva	電影	N;NOM;SG	N
elokuva	電影	elo#kuva	電影	N;NOM;SG	N
elokuva	戲院	elo#kuva	戲院	N;NOM;SG	N
kaupunki	城鎮	kaupunki	城鎮	N;NOM;SG	N
kaupunki	鎮	kaupunki	鎮	N;NOM;SG	N
kaupunki	城市	kaupunki	城市	N;NOM;SG	N
kaupunki	市	kaupunki	市	N;NOM;SG	N
kaupunki	城	kaupunki	城	N;NOM;SG	N
etelä	南部	etelä	南部	N;NOM;SG	N
etelä	南	etelä	南	N;NOM;SG	N
etelä	南部	etelä	南部	N;NOM;SG	N
katso	見	katsoa	見	V;IMP;SG;2;FIN;ACT	V
katso	觀看	katsoa	觀看	V;IMP;SG;2;FIN;ACT	V
käyttää	使用	käyttää	使用	V;IND;SG;PRS;FIN;ACT	V
käyttää	利用	käyttää	利用	V;IND;SG;PRS;FIN;ACT	V
käyttää	使用	käyttää	使用	V;IND;SG;PRS;FIN;ACT	V
kertaa	時代	kerta	時代	N;PRT;SG	N
kertaa	時報	kerta	時報	N;PRT;SG	N
yhden	一	yksi	一	NUM;GEN;SG	NUM
yhden	一	yksi	一	NUM;GEN;SG	NUM
syntyi	生	syntyä	生	V;IND;SG;3;PST;FIN;ACT	V
syntyi	誕生	syntyä	誕生	V;IND;SG;3;PST;FIN;ACT	V
syntyi	出生	syntyä	出生	V;IND;SG;3;PST;FIN;ACT	V
vuodet	歲	vuosi	歲	N;NOM;PL	N
vuodet	年份	vuosi	年份	N;NOM;PL	N
neljä	四	neljä	四	NUM;NOM;SG	NUM
neljä	四	neljä	四	NUM;NOM;SG	NUM
neljä	四	neljä	四	NUM;NOM;SG	NUM
alueen	區域	alue	區域	N;GEN;SG	N
yhtye	樂團	yhtye	樂團	N;NOM;SG	N
yhtye	樂隊	yhtye	樂隊	N;NOM;SG	N
ranskan	法文	ranska	法文	N;GEN;SG	N
paras	最好	hyvä	最好	ADJ;NOM;RL;SG	ADJ
pelaaja	球員	pelaaja	球員	N;NOM;SG	N
pelaaja	玩家	pelaaja	玩家	N;NOM;SG	N
pelaaja	玩家	pelaaja	玩家	N;NOM;SG	N
lähes	幾乎	lähes	幾乎	ADV	ADV
taas	再次	taas	再次	ADV	ADV
albumi	相簿	albumi	相簿	N;NOM;SG	N
albumi	專輯	albumi	專輯	N;NOM;SG	N
metriä	公尺	metri	公尺	N;PRT;SG	N
metriä	米	metri	米	N;PRT;SG	N
metriä	公尺	metri	公尺	N;PRT;SG	N
laulu	歌聲	laulu	歌聲	N;NOM;SG	N
laulu	唱歌	laulu	唱歌	N;NOM;SG	N
laulu	歌唱	laulu	歌唱	N;NOM;SG	N
laulu	歌曲	laulu	歌曲	N;NOM;SG	N
laulu	首歌	laulu	首歌	N;NOM;SG	N
laulu	歌	laulu	歌	N;NOM;SG	N
jopa	甚至	jopa	甚至	ADV	ADV
välillä	偶而	välillä	偶而	ADV	ADV
välillä	偶爾	välillä	偶爾	ADV	ADV
erityisesti	尤其	erityisesti	尤其	ADV	ADV
erityisesti	尤其	erityisesti	尤其	ADV	ADV
valittiin	選取	valita	選取	V;IND;PST;FIN;PASS	V
tässä	這裡	tämä	這裡	PRO;IN+ESS;SG	PRO
osallistui	出席	osallistua	出席	V;IND;SG;3;PST;FIN;ACT	V
joukkue	班長	joukkue	班長	N;NOM;SG	N
joukkue	小隊	joukkue	小隊	N;NOM;SG	N
joukkue	排	joukkue	排	N;NOM;SG	N
joukkue	團隊	joukkue	團隊	N;NOM;SG	N
joukkue	球隊	joukkue	球隊	N;NOM;SG	N
joukkue	隊伍	joukkue	隊伍	N;NOM;SG	N
luettelo	名單	luettelo	名單	N;NOM;SG	N
luettelo	清單	luettelo	清單	N;NOM;SG	N
edelleen	仍然	edelleen	仍然	ADV	ADV
edelleen	依然	edelleen	依然	ADV	ADV
alue	區域	alue	區域	N;NOM;SG	N
alue	區	alue	區	N;NOM;SG	N
alue	區域	alue	區域	N;NOM;SG	N
alue	面積	alue	面積	N;NOM;SG	N
alue	地區	alue	地區	N;NOM;SG	N
alue	區域	alue	區域	N;NOM;SG	N
alue	區	alue	區	N;NOM;SG	N
maailman	世界	maailma	世界	N;GEN;SG	N
kirjailija	作家	kirjailija	作家	N;NOM;SG	N
kirjailija	作者	kirjailija	作者	N;NOM;SG	N
kirjailija	編劇	kirjailija	編劇	N;NOM;SG	N
kirjailija	作者	kirjailija	作者	N;NOM;SG	N
sodan	戰	sota	戰	N;GEN;SG	N
sodan	戰爭	sota	戰爭	N;GEN;SG	N
elokuvan	電影	elo#kuva	電影	N;GEN;SG	N
elokuvan	影片	elo#kuva	影片	N;GEN;SG	N
tätä	這	tämä	這	PRO;PRT;SG	PRO
valmistui	畢業	valmistua	畢業	V;IND;SG;3;PST;FIN;ACT	V
kappale	歌曲	kappale	歌曲	N;NOM;SG	N
kappale	首歌	kappale	首歌	N;NOM;SG	N
kappale	歌	kappale	歌	N;NOM;SG	N
kitara	吉他	kitara	吉他	N;NOM;SG	N
kitara	吉他	kitara	吉他	N;NOM;SG	N
pituus	長度	pituus	長度	N;NOM;SG	N
pituus	身高	pituus	身高	N;NOM;SG	N
pituus	高度	pituus	高度	N;NOM;SG	N
miljoonaa	百萬	miljoona	百萬	NUM;PRT;SG	NUM
kilometriä	英里	kilo#metri	英里	N;PRT;SG	N
kilometriä	公里	kilo#metri	公里	N;PRT;SG	N
aika	漂亮	aika	漂亮	N;NOM;SG	N
aika	時光	aika	時光	N;NOM;SG	N
aika	時間	aika	時間	N;NOM;SG	N
enemmän	更	enemmän	更	ADV	ADV
kunta	公社	kunta	公社	N;NOM;SG	N
kunta	市	kunta	市	N;NOM;SG	N
kuului	屬	kuulua	屬	V;IND;SG;3;PST;FIN;ACT	V
hopeaa	銀色	hopea	銀色	N;PRT;SG	N
hopeaa	銀	hopea	銀	N;PRT;SG	N
kirkko	教會	kirkko	教會	N;NOM;SG	N
kirkko	教堂	kirkko	教堂	N;NOM;SG	N
levy	相簿	levy	相簿	N;NOM;SG	N
levy	專輯	levy	專輯	N;NOM;SG	N
levy	唱片	levy	唱片	N;NOM;SG	N
levy	紀錄	levy	紀錄	N;NOM;SG	N
levy	碟片	levy	碟片	N;NOM;SG	N
levy	碟	levy	碟	N;NOM;SG	N
levy	磁碟	levy	磁碟	N;NOM;SG	N
levy	碟片	levy	碟片	N;NOM;SG	N
levy	碟	levy	碟	N;NOM;SG	N
levy	磁碟	levy	磁碟	N;NOM;SG	N
julkaistu	獲釋	julkaista	獲釋	V;NOM;SG;V.PTCP;PASS	V
julkaistu	出版	julkaista	出版	V;NOM;SG;V.PTCP;PASS	V
julkaistu	發表	julkaista	發表	V;NOM;SG;V.PTCP;PASS	V
ottelut	火柴	ottelu	火柴	N;NOM;PL	N
olemassa	現存	olla	現存	V;IN+ESS;SG;NFIN;ACT	V
olemassa	現有	olla	現有	V;IN+ESS;SG;NFIN;ACT	V
albumin	相簿	albumi	相簿	N;GEN;SG	N
albumin	專輯	albumi	專輯	N;GEN;SG	N
kirkon	教會	kirkko	教會	N;GEN;SG	N
kirkon	教堂	kirkko	教堂	N;GEN;SG	N
viisi	五	viisi	五	NUM;NOM;SG	NUM
viisi	五	viisi	五	NUM;NOM;SG	NUM
tästä	這	tämä	這	PRO;IN+ABL;SG	PRO
uudelleen	再次	uudelleen	再次	ADV	ADV
lähde	來源	lähde	來源	N;NOM;SG	N
kuningas	國王	kuningas	國王	N;NOM;SG	N
pian	很快	pian	很快	ADV	ADV
mestaruuden	錦標	mestaruus	錦標	N;GEN;SG	N
pronssia	青銅	pronssi	青銅	N;PRT;SG	N
pronssia	銅	pronssi	銅	N;PRT;SG	N
raportti	報告	raportti	報告	N;NOM;SG	N
poika	男孩	poika	男孩	N;NOM;SG	N
poika	小孩	poika	小孩	N;NOM;SG	N
poika	兒子	poika	兒子	N;NOM;SG	N
sisältää	含有	sisältää	含有	V;IND;SG;3;PRS;FIN;ACT	V
sisältää	包含	sisältää	包含	V;IND;SG;3;PRS;FIN;ACT	V
sisältää	包括	sisältää	包括	V;IND;SG;3;PRS;FIN;ACT	V
aikaa	時光	aika	時光	N;PRT;SG	N
aikaa	時間	aika	時間	N;PRT;SG	N
laulaja	歌手	laulaja	歌手	N;NOM;SG	N
luokan	類別	luokka	類別	N;GEN;SG	N
luokan	階級	luokka	階級	N;GEN;SG	N
luokan	類	luokka	類	N;GEN;SG	N
luokan	類別	luokka	類別	N;GEN;SG	N
luokan	課堂	luokka	課堂	N;GEN;SG	N
luokan	班級	luokka	班級	N;GEN;SG	N
lähinnä	大多	lähinnä	大多	ADV	ADV
kultaa	黃金	kulta	黃金	N;PRT;SG	N
kultaa	金色	kulta	金色	N;PRT;SG	N
tehty	完成	tehdä	完成	V;NOM;SG;V.PTCP;PASS	V
muutti	感動	muuttaa	感動	V;IND;SG;3;PST;FIN;ACT	V
siirrettiin	感動	siirtää	感動	V;IND;PST;FIN;PASS	V
rummut	鼓聲	rumpu	鼓聲	N;NOM;PL	N
rummut	鼓	rumpu	鼓	N;NOM;PL	N
pitkä	高大	pitkä	高大	ADJ;NOM;SG	ADJ
itä	東	itä	東	N;NOM;SG	N
itä	東部	itä	東部	N;NOM;SG	N
itä	東方	itä	東方	N;NOM;SG	N
itä	東區	itä	東區	N;NOM;SG	N
itä	東方	itä	東方	N;NOM;SG	N
itä	東部	itä	東部	N;NOM;SG	N
maa	國家	maa	國家	N;NOM;SG	N
maa	陸地	maa	陸地	N;NOM;SG	N
maa	土地	maa	土地	N;NOM;SG	N
maa	大地	maa	大地	N;NOM;SG	N
kausi	季	kausi	季	N;NOM;SG	N
kausi	季節	kausi	季節	N;NOM;SG	N
artikkeleita	文章	artikkeli	文章	N;PRT;PL	N
jälleen	再次	jälleen	再次	ADV	ADV
presidentti	總統	presidentti	總統	N;NOM;SG	N
presidentti	主席	presidentti	主席	N;NOM;SG	N
keski	中間	keski	中間	N;NOM;SG	N
pitäisi	應	pitää	應	V;COND;SG;3;FIN;ACT	V
voitto	盈利	voitto	盈利	N;NOM;SG	N
voitto	營利	voitto	營利	N;NOM;SG	N
voitto	勝利	voitto	勝利	N;NOM;SG	N
voitto	勝利	voitto	勝利	N;NOM;SG	N
liittyi	加入	liittyä	加入	V;IND;SG;3;PST;FIN;ACT	V
saada	獲取	saada	獲取	V;SG;NFIN;ACT	V
saada	獲得	saada	獲得	V;SG;NFIN;ACT	V
saada	得到	saada	得到	V;SG;NFIN;ACT	V
määrä	體積	määrä	體積	N;NOM;SG	N
määrä	音量	määrä	音量	N;NOM;SG	N
määrä	金額	määrä	金額	N;NOM;SG	N
määrä	款額	määrä	款額	N;NOM;SG	N
määrä	數額	määrä	數額	N;NOM;SG	N
määrä	數量	määrä	數量	N;NOM;SG	N
määrä	量	määrä	量	N;NOM;SG	N
yhtiö	公司	yhtiö	公司	N;NOM;SG	N
tunnettu	著名	tunnettu	著名	ADJ;NOM;SG	ADJ
laivaston	海軍	laivasto	海軍	N;GEN;SG	N
laivaston	艦隊	laivasto	艦隊	N;GEN;SG	N
laivaston	船隊	laivasto	船隊	N;GEN;SG	N
laivaston	車隊	laivasto	車隊	N;GEN;SG	N
laji	體育	laji	體育	N;NOM;SG	N
laji	運動	laji	運動	N;NOM;SG	N
laji	魚種	laji	魚種	N;NOM;SG	N
laji	物種	laji	物種	N;NOM;SG	N
täysin	完全	täysin	完全	ADV	ADV
täysin	完全	täysin	完全	ADV	ADV
style	樣式	style	樣式	N;NOM;SG	N
style	風格	style	風格	N;NOM;SG	N
kuusi	六	kuusi	六	NUM;NOM;SG	NUM
kuusi	六	kuusi	六	NUM;NOM;SG	NUM
valtion	國家	valtio	國家	N;GEN;SG	N
valtion	州	valtio	州	N;GEN;SG	N
sarja	系列	sarja	系列	N;NOM;SG	N
sarja	串列	sarja	串列	N;NOM;SG	N
sarja	序列	sarja	序列	N;NOM;SG	N
sarja	數列	sarja	數列	N;NOM;SG	N
sarja	順序	sarja	順序	N;NOM;SG	N
naisten	女	nainen	女	N;GEN;PL	N
naisten	女性	nainen	女性	N;GEN;PL	N
naisten	婦女	nainen	婦女	N;GEN;PL	N
naisten	女性	nainen	女性	N;GEN;PL	N
erittäin	非常	erittäin	非常	ADV	ADV
ainoastaan	只	ainoastaan	只	ADV	ADV
professori	教授	professori	教授	N;NOM;SG	N
prosenttia	百分	prosentti	百分	N;PRT;SG	N
armeijan	軍方	armeija	軍方	N;GEN;SG	N
armeijan	軍事	armeija	軍事	N;GEN;SG	N
armeijan	集團	armeija	集團	N;GEN;SG	N
armeijan	軍隊	armeija	軍隊	N;GEN;SG	N
armeijan	軍	armeija	軍	N;GEN;SG	N
armeijan	陸軍	armeija	陸軍	N;GEN;SG	N
käytetty	使用	käyttää	使用	V;NOM;SG;V.PTCP;PASS	V
käytetty	花費	käyttää	花費	V;NOM;SG;V.PTCP;PASS	V
kesällä	夏日	kesä	夏日	N;AT+ESS
;SG	N
kesällä	夏季	kesä	夏季	N;AT+ESS
;SG	N
kesällä	暑假	kesä	暑假	N;AT+ESS
;SG	N
kesällä	夏天	kesä	夏天	N;AT+ESS
;SG	N
kymmenen	十	kymmenen	十	NUM;NOM;SG	NUM
kymmenen	十	kymmenen	十	NUM;NOM;SG	NUM
länsi	西邊	länteä	西邊	N;NOM;SG	N
länsi	西	länteä	西	N;NOM;SG	N
länsi	西部	länteä	西部	N;NOM;SG	N
länsi	西部	länteä	西部	N;NOM;SG	N
kylä	村	kylä	村	N;NOM;SG	N
kylä	鄉村	kylä	鄉村	N;NOM;SG	N
kylä	村	kylä	村	N;NOM;SG	N
kylä	村落	kylä	村落	N;NOM;SG	N
kylä	村子	kylä	村子	N;NOM;SG	N
palkinnon	獎品	palkinto	獎品	N;GEN;SG	N
palkinnon	獎賞	palkinto	獎賞	N;GEN;SG	N
palkinnon	獎	palkinto	獎	N;GEN;SG	N
ehkä	或	ehkä	或	ADV	ADV
ehkä	或	ehkä	或	ADV	ADV
ehkä	也	ehkä	也	ADV	ADV
lehden	雜誌	lehti	雜誌	N;GEN;SG	N
jäsen	會員	jäsen	會員	N;NOM;SG	N
jäsen	成員	jäsen	成員	N;NOM;SG	N
miesten	男性	mies	男性	N;GEN;PL	N
miesten	男人	mies	男人	N;GEN;PL	N
miesten	男子	mies	男子	N;GEN;PL	N
tietoa	資訊	tieto	資訊	N;PRT;SG	N
tietoa	資料	tieto	資料	N;PRT;SG	N
tietoa	知識	tieto	知識	N;PRT;SG	N
kokonaan	完全	kokonaan	完全	ADV	ADV
suoraan	直直	suoraan	直直	ADV	ADV
suoraan	直接	suoraan	直接	ADV	ADV
suoraan	直接	suoraan	直接	ADV	ADV
kieli	舌頭	kieli	舌頭	N;NOM;SG	N
kieli	舌	kieli	舌	N;NOM;SG	N
kieli	語言	kieli	語言	N;NOM;SG	N
kieli	語	kieli	語	N;NOM;SG	N
kieli	語文	kieli	語文	N;NOM;SG	N
lopussa	終	loppu	終	N;IN+ESS;SG	N
lopussa	結尾	loppu	結尾	N;IN+ESS;SG	N
isä	父親	isä	父親	N;NOM;SG	N
isä	神父	isä	神父	N;NOM;SG	N
isä	父	isä	父	N;NOM;SG	N
seitsemän	七七	seitsemän	七七	NUM;NOM;SG	NUM
seitsemän	七	seitsemän	七	NUM;NOM;SG	NUM
seitsemän	七	seitsemän	七	NUM;NOM;SG	NUM
hallituksen	政府	hallitus	政府	N;GEN;SG	N
kasvaa	生長	kasvaa	生長	V;IND;SG;3;PRS;FIN;ACT	V
kasvaa	成長	kasvaa	成長	V;IND;SG;3;PRS;FIN;ACT	V
kasvaa	增加	kasvaa	增加	V;IND;SG;3;PRS;FIN;ACT	V
kasvaa	成長	kasvaa	成長	V;IND;SG;3;PRS;FIN;ACT	V
kasvaa	生長	kasvaa	生長	V;IND;SG;3;PRS;FIN;ACT	V
poliitikko	政客	poliitikko	政客	N;NOM;SG	N
poliitikko	政治	poliitikko	政治	N;NOM;SG	N
pelin	比賽	peli	比賽	N;GEN;SG	N
pelin	遊戲	peli	遊戲	N;GEN;SG	N
versio	版	versio	版	N;NOM;SG	N
versio	版本	versio	版本	N;NOM;SG	N
vuosien	歲	vuosi	歲	N;GEN;PL	N
vuosien	年份	vuosi	年份	N;GEN;PL	N
liian	太	liian	太	ADV	ADV
live	活	live	活	N;NOM;SG	N
sopimuksen	協定	sopimus	協定	N;GEN;SG	N
sopimuksen	協議	sopimus	協議	N;GEN;SG	N
sopimuksen	合同	sopimus	合同	N;GEN;SG	N
sopimuksen	合約	sopimus	合約	N;GEN;SG	N
center	中心	center	中心	N;NOM;SG	N
johtaja	主任	johtaja	主任	N;NOM;SG	N
johtaja	司長	johtaja	司長	N;NOM;SG	N
johtaja	經理	johtaja	經理	N;NOM;SG	N
johtaja	經理	johtaja	經理	N;NOM;SG	N
johtaja	領袖	johtaja	領袖	N;NOM;SG	N
perustuu	基	perustua	基	V;IND;SG;3;PRS;FIN;ACT	V
hävisi	失	hävitä	失	V;IND;SG;3;PST;FIN;ACT	V
hävisi	輸	hävitä	輸	V;IND;SG;3;PST;FIN;ACT	V
hävisi	輸	hävitä	輸	V;IND;SG;3;PST;FIN;ACT	V
hävisi	遺失	hävitä	遺失	V;IND;SG;3;PST;FIN;ACT	V
hävisi	迷失	hävitä	迷失	V;IND;SG;3;PST;FIN;ACT	V
single	單人	single	單人	N;NOM;SG	N
single	單身	single	單身	N;NOM;SG	N
yhä	仍然	yhä	仍然	ADV	ADV
yhä	依然	yhä	依然	ADV	ADV
nimet	人名	nimi	人名	N;NOM;PL	N
nimet	名稱	nimi	名稱	N;NOM;PL	N
nimet	姓名	nimi	姓名	N;NOM;PL	N
uusia	新	uusi	新	ADJ;PRT;PL	ADJ
rakennettu	建	rakentaa	建	V;NOM;SG;V.PTCP;PASS	V
kirja	圖書	kirja	圖書	N;NOM;SG	N
kirja	書	kirja	書	N;NOM;SG	N
kirja	書籍	kirja	書籍	N;NOM;SG	N
aluksen	船隻	alus	船隻	N;GEN;SG	N
aluksen	船	alus	船	N;GEN;SG	N
aluksen	船隻	alus	船隻	N;GEN;SG	N
aluksen	艦	alus	艦	N;GEN;SG	N
aluksen	船舶	alus	船舶	N;GEN;SG	N
uutta	新	uusi	新	ADJ;PRT;SG	ADJ
lisää	更	lisää	更	ADV	ADV
oikea	真實	oikea	真實	ADJ;NOM;SG	ADJ
jäsenet	成員	jäsen	成員	N;NOM;PL	N
pääasiassa	大多	pääasiassa	大多	ADV	ADV
maalia	畫	maali	畫	N;PRT;SG	N
maalia	油漆	maali	油漆	N;PRT;SG	N
maalia	顏料	maali	顏料	N;PRT;SG	N
syntynyt	生	syntyä	生	V;NOM;SG;V.PTCP;ACT	V
syntynyt	誕生	syntyä	誕生	V;NOM;SG;V.PTCP;ACT	V
syntynyt	出生	syntyä	出生	V;NOM;SG;V.PTCP;ACT	V
kilpailun	競爭	kilpailu	競爭	N;GEN;SG	N
kilpailun	競賽	kilpailu	競賽	N;GEN;SG	N
kilpailun	比賽	kilpailu	比賽	N;GEN;SG	N
kilpailun	競賽	kilpailu	競賽	N;GEN;SG	N
kahdeksan	八	kahdeksan	八	NUM;NOM;SG	NUM
kahdeksan	八	kahdeksan	八	NUM;NOM;SG	NUM
eniten	大多	eniten	大多	ADV	ADV
eniten	大	eniten	大	ADV	ADV
vanha	舊	vanha	舊	ADJ;NOM;SG	ADJ
luokka	類別	luokka	類別	N;NOM;SG	N
luokka	階級	luokka	階級	N;NOM;SG	N
luokka	類	luokka	類	N;NOM;SG	N
luokka	類別	luokka	類別	N;NOM;SG	N
luokka	課堂	luokka	課堂	N;NOM;SG	N
luokka	班級	luokka	班級	N;NOM;SG	N
toiminta	動作	toiminta	動作	N;NOM;SG	N
toiminta	行動	toiminta	行動	N;NOM;SG	N
toiminta	活動	toiminta	活動	N;NOM;SG	N
toiminta	手術	toiminta	手術	N;NOM;SG	N
toiminta	行動	toiminta	行動	N;NOM;SG	N
toiminta	動態	toiminta	動態	N;NOM;SG	N
toiminta	活動	toiminta	活動	N;NOM;SG	N
historia	歷史	historia	歷史	N;NOM;SG	N
yliopisto	大學	yli#opisto	大學	N;NOM;SG	N
yliopisto	學院	yli#opisto	學院	N;NOM;SG	N
yliopisto	書院	yli#opisto	書院	N;NOM;SG	N
yliopisto	大學	yli#opisto	大學	N;NOM;SG	N
syksyllä	秋季	syksy	秋季	N;AT+ESS
;SG	N
syksyllä	秋天	syksy	秋天	N;AT+ESS
;SG	N
sivusto	網站	sivusto	網站	N;NOM;SG	N
sivusto	網頁	sivusto	網頁	N;NOM;SG	N
sivusto	網站	sivusto	網站	N;NOM;SG	N
sivusto	工地	sivusto	工地	N;NOM;SG	N
edes	甚至	edes	甚至	ADV	ADV
kuvaa	像片	kuva	像片	N;PRT;SG	N
kuvaa	照片	kuva	照片	N;PRT;SG	N
kuvaa	照片	kuva	照片	N;PRT;SG	N
kuvaa	圖片	kuva	圖片	N;PRT;SG	N
alusta	站台	alku	站台	N;IN+ABL;SG	N
alusta	平台	alku	平台	N;IN+ABL;SG	N
alusta	船	alku	船	N;IN+ABL;SG	N
alusta	船隻	alku	船隻	N;IN+ABL;SG	N
alusta	艦	alku	艦	N;IN+ABL;SG	N
alusta	船舶	alku	船舶	N;IN+ABL;SG	N
alusta	底盤	alku	底盤	N;IN+ABL;SG	N
luku	數字	luku	數字	N;NOM;SG	N
luku	數	luku	數	N;NOM;SG	N
luku	號碼	luku	號碼	N;NOM;SG	N
luku	編號	luku	編號	N;NOM;SG	N
japanin	日文	japani	日文	N;GEN;SG	N
käyttö	用法	käyttö	用法	N;NOM;SG	N
käyttö	用量	käyttö	用量	N;NOM;SG	N
ihmisen	人類	ihminen	人類	N;GEN;SG	N
