رده	клас	رده	клас	N;SG	N;INAN;NOM;MASC;SG
او	нею	او	вона	PRO;SG;3	PRO;INS;FEM;SG;3
او	її	او	вона	PRO;SG;3	PRO;ACC;FEM;SG;3
او	їй	او	вона	PRO;SG;3	PRO;DAT;FEM;SG;3
تا	до	تا	до	ADP	ADP;GEN
وابسته	залежні	وابسته	залежний	ADJ	ADJ;NOM;PL
وابسته	залежних	وابسته	залежний	ADJ	ADJ;GEN;PL
فوتبال	футбол	فوتبال	футбол	N;SG	N;INAN;NOM;MASC;SG
فوتبال	футбол	فوتبال	футбол	N;SG	N;INAN;NOM;MASC;SG
ساعت	година	ساعت	година	N;SG	N;INAN;NOM;FEM;SG
ساعت	годину	ساعت	година	N;SG	N;INAN;ACC;FEM;SG
ساعت	годинник	ساعت	годинник	N;SG	N;INAN;NOM;MASC;SG
پایه	базис	پایه	базис	N;SG	N;INAN;NOM;MASC;SG
پایه	фундамент	پایه	фундамент	N;SG	N;INAN;NOM;MASC;SG
پایه	фонд	پایه	фонд	N;SG	N;INAN;NOM;MASC;SG
پایه	основа	پایه	основа	N;SG	N;INAN;NOM;FEM;SG
پایه	база	پایه	база	N;SG	N;INAN;NOM;FEM;SG
پایه	основою	پایه	основа	N;SG	N;INAN;INS;FEM;SG
نام	назва	نام	назва	N;SG	N;INAN;NOM;FEM;SG
استان	провінція	استان	провінція	N;SG	N;INAN;NOM;FEM;SG
استان	ділянку	استان	ділянка	N;SG	N;INAN;ACC;FEM;SG
استان	регіон	استان	регіон	N;SG	N;INAN;NOM;MASC;SG
شهر	містечко	شهر	містечко	N;SG	N;INAN;NOM;NEUT;SG
شهر	місто	شهر	місто	N;SG	N;INAN;NOM;NEUT;SG
شهر	місто	شهر	місто	N;SG	N;INAN;NOM;NEUT;SG
ملی	національна	ملی	національний	ADJ	ADJ;NOM;FEM;SG
ملی	національне	ملی	національний	ADJ	ADJ;NOM;NEUT;SG
ملی	національний	ملی	національний	ADJ	ADJ;NOM;MASC;SG
ملی	національні	ملی	національний	ADJ	ADJ;NOM;PL
کشور	країна	کشور	країна	N;SG	N;INAN;NOM;FEM;SG
تاریخ	дату	تاریخ	дата	N;SG	N;INAN;ACC;FEM;SG
تاریخ	дата	تاریخ	дата	N;SG	N;INAN;NOM;FEM;SG
تاریخ	датою	تاریخ	дата	N;SG	N;INAN;INS;FEM;SG
تاریخ	журнал	تاریخ	журнал	N;SG	N;INAN;NOM;MASC;SG
تاریخ	історія	تاریخ	історія	N;SG	N;INAN;NOM;FEM;SG
فیلم	фільм	فیلم	фільм	N;SG	N;INAN;NOM;MASC;SG
فیلم	кіно	فیلم	кіно	N;SG	N;INAN;NOM;NEUT;SG
فیلم	фільм	فیلم	фільм	N;SG	N;INAN;NOM;MASC;SG
فیلم	плівка	فیلم	плівка	N;SG	N;INAN;NOM;FEM;SG
فیلم	кіно	فیلم	кіно	N;SG	N;INAN;NOM;NEUT;SG
بخش	департамент	بخش	департамент	N;SG	N;INAN;NOM;MASC;SG
بخش	відділ	بخش	відділ	N;SG	N;INAN;NOM;MASC;SG
بخش	сектор	بخش	сектор	N;SG	N;INAN;NOM;MASC;SG
بخش	розділ	بخش	розділ	N;SG	N;INAN;NOM;MASC;SG
بخش	секція	بخش	секція	N;SG	N;INAN;NOM;FEM;SG
بخش	улус	بخش	улус	N;SG	N;INAN;NOM;MASC;SG
بخش	округ	بخش	округ	N;SG	N;INAN;NOM;MASC;SG
بخش	район	بخش	район	N;SG	N;INAN;NOM;MASC;SG
جمعیت	натовп	جمعیت	натовп	N;SG	N;INAN;NOM;MASC;SG
جمعیت	населення	جمعیت	населення	N;SG	N;INAN;NOM;NEUT;SG
دو	два	دو	два	NUM	NUM;NOM;MASC
دو	дві	دو	два	NUM	NUM;NOM;FEM
دو	двоє	دو	двоє	NUM	NUM;NOM
دو	двох	دو	два	NUM	NUM;ACC
اثر	ефект	اثر	ефект	N;SG	N;INAN;NOM;MASC;SG
پس	потім	پس	потім	ADV	ADV
پس	тоді	پس	тоді	ADV	ADV
یکی	одна	یک	один	NUM	NUM;NOM;FEM
یکی	один	یک	один	NUM	NUM;NOM;MASC
بازیکنان	гравців	بازیکن	гравець	N;PL	N;ANIM;ACC;MASC;PL
بازیکنان	гравці	بازیکن	гравка	N;PL	N;ANIM;NOM;MASC;PL
آثار	дефектів	اثر	дефект	N;PL	N;INAN;GEN;MASC;PL
آثار	ефекти	اثر	ефект	N;PL	N;INAN;NOM;MASC;PL
روستاهای	селах	روستا	село	N;PL	N;INAN;ESS;NEUT;PL
روستاهای	сіл	روستا	сіль	N;PL	N;INAN;GEN;FEM;PL
دیگر	більше	دیگر	більше	ADV	ADV;CMPR
عنوان	напис	عنوان	напис	N;SG	N;INAN;NOM;MASC;SG
عنوان	підпис	عنوان	підпис	N;SG	N;INAN;NOM;MASC;SG
پیوند	посиланням	پیوند	посилання	N;SG	N;INAN;INS;NEUT;SG
پیوند	лінк	پیوند	лінк	N;SG	N;INAN;NOM;MASC;SG
پیش	перед	پیش	перед	ADP	ADP;INS
بحث	дискусія	بحث	дискусія	N;SG	N;INAN;NOM;FEM;SG
بحث	обговорення	بحث	обговорення	N;SG	N;INAN;NOM;NEUT;SG
بیرون	назовні	بیرون	назовні	ADV;ESS	ADV
افراد	людей	فرد	людина	N;PL	N;ANIM;ACC;FEM;PL
افراد	люди	فرد	людина	N;PL	N;ANIM;NOM;FEM;PL
دوره	курс	دوره	курс	N;SG	N;INAN;NOM;MASC;SG
دوره	майданчик	دوره	майданчик	N;SG	N;INAN;NOM;MASC;SG
دوره	епоха	دوره	епоха	N;SG	N;INAN;NOM;FEM;SG
دوره	епоху	دوره	епох	N;SG	N;INAN;NOM;FEM;SG
دوره	строк	دوره	строк	N;SG	N;INAN;NOM;MASC;SG
دوره	період	دوره	період	N;SG	N;INAN;NOM;MASC;SG
دهه	грунту	دهه	грунт	N;SG	N;INAN;GEN;MASC;SG
دهه	десятиліття	دهه	десятиліття	N;SG	N;INAN;NOM;NEUT;SG
کاربر	користувача	کاربر	користувач	N;SG	N;ANIM;ACC;MASC;SG
کاربر	користувач	کاربر	користувач	N;SG	N;ANIM;NOM;MASC;SG
مناطق	райони	منطقه	район	N;PL	N;INAN;NOM;MASC;PL
مناطق	ділянки	منطقه	ділянка	N;PL	N;INAN;NOM;FEM;PL
مناطق	територіях	منطقه	територія	N;PL	N;INAN;ESS;FEM;PL
مناطق	площі	منطقه	площа	N;PL	N;INAN;ACC;FEM;PL
مناطق	районів	منطقه	район	N;PL	N;INAN;GEN;MASC;PL
هر	кожен	هر	кожний	DET	DET;NOM;MASC;SG
هر	якісь	هر	якийсь	DET	DET;NOM;PL
باشگاه	клуб	باشگاه	клуб	N;SG	N;INAN;NOM;MASC;SG
باشگاه	спортзал	باشگاه	спортзал	N;SG	N;INAN;NOM;MASC;SG
دانشگاه	університет	دانشگاه	університет	N;SG	N;INAN;NOM;MASC;SG
دانشگاه	коледж	دانشگاه	коледж	N;SG	N;INAN;NOM;MASC;SG
دانشگاه	коледжі	دانشگاه	коледжа	N;SG	N;INAN;NOM;MASC;SG
مورد	регістр	مورد	регістр	N;SG	N;INAN;NOM;MASC;SG
مورد	справа	مورد	справа	N;SG	N;INAN;NOM;FEM;SG
مورد	випадок	مورد	випадок	N;SG	N;INAN;NOM;MASC;SG
سده	ст	سده	ст.	N;SG	N;INAN;NOM;NEUT;SG
سده	століття	سده	століття	N;SG	N;INAN;NOM;NEUT;SG
ثبت	ведення	ثبت	ведення	N;SG	N;INAN;NOM;NEUT;SG
ثبت	вхід	ثبت	вхід	N;SG	N;INAN;NOM;MASC;SG
ثبت	журнал	ثبت	журнал	N;SG	N;INAN;NOM;MASC;SG
ثبت	лог	ثبت	лог	N;SG	N;INAN;NOM;MASC;SG
وجود	існування	وجود	існування	N;SG	N;INAN;NOM;NEUT;SG
زبان	язик	زبان	язик	N;SG	N;INAN;NOM;MASC;SG
زبان	язика	زبان	язик	N;SG	N;INAN;GEN;MASC;SG
زبان	мова	زبان	мова	N;SG	N;INAN;NOM;FEM;SG
زبان	мову	زبان	мова	N;SG	N;INAN;ACC;FEM;SG
شماره	число	شماره	число	N;SG	N;INAN;NOM;NEUT;SG
شماره	кількість	شماره	кількість	N;SG	N;INAN;NOM;FEM;SG
شماره	номер	شماره	номер	N;SG	N;INAN;NOM;MASC;SG
شماره	номера	شماره	номера	N;SG	N;INAN;GEN;MASC;SG
کار	завдання	کار	завдання	N;SG	N;INAN;NOM;NEUT;SG
کار	робота	کار	робота	N;SG	N;INAN;NOM;FEM;SG
کار	робота	کار	робота	N;SG	N;INAN;NOM;FEM;SG
کار	роботу	کار	робота	N;SG	N;INAN;ACC;FEM;SG
کار	робота	کار	робота	N;SG	N;INAN;NOM;FEM;SG
اما	але	اما	але	CONJ	CONJ
بازیگران	зйомки	بازیگر	зйомка	N;PL	N;INAN;NOM;FEM;PL
بازیگران	акторів	بازیگر	актор	N;PL	N;ANIM;ACC;MASC;PL
بازیگران	актори	بازیگر	актор	N;PL	N;ANIM;NOM;MASC;PL
فرودگاه	аеропорт	فرودگاه	аеропорт	N;SG	N;INAN;NOM;MASC;SG
صورت	обличчя	صورت	обличчя	N;SG	N;INAN;NOM;NEUT;SG
صورت	обличчям	صورت	обличчя	N;SG	N;INAN;INS;NEUT;SG
مرکز	центр	مرکز	центр	N;SG	N;INAN;NOM;MASC;SG
مرکز	центр	مرکز	центр	N;SG	N;INAN;NOM;MASC;SG
زمان	тайм	زمان	тайм	N;SG	N;INAN;NOM;MASC;SG
زمان	час	زمان	час	N;SG	N;INAN;NOM;MASC;SG
شرکت	відділу	شرکت	відділ	N;SG	N;INAN;GEN;MASC;SG
شرکت	компанія	شرکت	компанія	N;SG	N;INAN;NOM;FEM;SG
شرکت	участь	شرکت	участь	N;SG	N;INAN;ACC;FEM;SG
مقاله	стаття	مقاله	стаття	N;SG	N;INAN;NOM;FEM;SG
مقاله	статтю	مقاله	стаття	N;SG	N;INAN;ACC;FEM;SG
تیم	команда	تیم	команда	N;SG	N;INAN;NOM;FEM;SG
مرد	людина	مرد	людина	N;SG	N;ANIM;NOM;FEM;SG
مرد	чоловік	مرد	чоловік	N;SG	N;ANIM;NOM;MASC;SG
مرد	мужчина	مرد	мужчина	N;SG	N;ANIM;NOM;MASC;SG
نظر	коментар	نظر	коментар	N;SG	N;INAN;NOM;MASC;SG
نظر	думка	نظر	думка	N;SG	N;INAN;NOM;FEM;SG
جهانی	інтернаціонал	جهانی	інтернаціонал	N;SG	N;INAN;NOM;MASC;SG
جهانی	світ	جهانی	світ	N;SG	N;INAN;NOM;MASC;SG
جهانی	світе	جهانی	світи	N;SG	N;INAN;NOM;MASC;SG
زندگی	життя	زندگی	життя	N;SG	N;INAN;NOM;NEUT;SG
زن	жінка	زن	жінка	N;SG	N;ANIM;NOM;FEM;SG
زن	самка	زن	самка	N;SG	N;ANIM;NOM;FEM;SG
زن	жінка	زن	жінка	N;SG	N;ANIM;NOM;FEM;SG
زن	дружині	زن	дружина	N;SG	N;ANIM;DAT;FEM;SG
زن	дружина	زن	дружина	N;SG	N;ANIM;NOM;FEM;SG
زیر	під	زیر	під	ADP	ADP;ACC
هستند	надаються	هست	надаватися	V;PL;3;PRS	V;IPFV;IND;PL;3;PRS;FIN
جوایز	нагороди	جایزه	нагорода	N;PL	N;INAN;NOM;MASC;PL
روستا	село	روستا	село	N;SG	N;INAN;NOM;NEUT;SG
بازی	гра	بازی	гра	N;SG	N;INAN;NOM;FEM;SG
بازی	гру	بازی	гра	N;SG	N;INAN;ACC;FEM;SG
تاریخی	історичний	تاریخی	історичний	ADJ	ADJ;NOM;MASC;SG
تاریخی	історичної	تاریخی	історичний	ADJ	ADJ;GEN;FEM;SG
تاریخی	історичні	تاریخی	історичний	ADJ	ADJ;NOM;PL
تاریخی	історична	تاریخی	історичний	ADJ	ADJ;NOM;FEM;SG
تاریخی	історичне	تاریخی	історичний	ADJ	ADJ;NOM;NEUT;SG
تاریخی	історичні	تاریخی	історичний	ADJ	ADJ;NOM;PL
سرشماری	перепис	سرشماری	перепис	N;SG	N;INAN;NOM;MASC;SG
فرانسه	францію	فرانسه	франція	N;SG	N;INAN;ACC;FEM;SG
جنگ	війна	جنگ	війна	N;SG	N;INAN;NOM;FEM;SG
دست	рука	دست	рука	N;SG	N;INAN;NOM;FEM;SG
دست	кисть	دست	кисть	N;SG	N;INAN;NOM;FEM;SG
دست	правиця	دست	правиця	N;SG	N;INAN;NOM;FEM;SG
دست	рука	دست	рука	N;SG	N;INAN;NOM;FEM;SG
دست	руку	دست	рука	N;SG	N;INAN;ACC;FEM;SG
شورای	рада	شورا	рада	N;SG	N;INAN;NOM;FEM;SG
محل	місце	محل	місце	N;SG	N;INAN;NOM;NEUT;SG
محل	розміщення	محل	розміщення	N;SG	N;INAN;NOM;NEUT;SG
محل	місцезнаходження	محل	місцезнаходження	N;SG	N;INAN;NOM;NEUT;SG
محل	локація	محل	локація	N;SG	N;INAN;NOM;FEM;SG
محل	місце	محل	місце	N;SG	N;INAN;NOM;NEUT;SG
محل	розташування	محل	розташування	N;SG	N;INAN;NOM;NEUT;SG
های	гаї	ها	гай	N;PL	N;INAN;NOM;MASC;PL
کتاب	книжка	کتاب	книжка	N;SG	N;INAN;NOM;FEM;SG
کتاب	книга	کتاب	книга	N;SG	N;INAN;NOM;FEM;SG
آلمان	німець	آلمان	німець	N;SG	N;ANIM;NOM;MASC;SG
سطح	рівні	سطح	рівень	N;SG	N;INAN;NOM;MASC;SG
سطح	поверхня	سطح	поверхня	N;SG	N;INAN;NOM;FEM;SG
سطح	рівень	سطح	рівень	N;SG	N;INAN;NOM;MASC;SG
اصلی	головний	اصلی	головний	ADJ	ADJ;NOM;MASC;SG
اصلی	основне	اصلی	основний	ADJ	ADJ;NOM;NEUT;SG
اصلی	головна	اصلی	головний	ADJ	ADJ;NOM;FEM;SG
اصلی	головні	اصلی	головний	ADJ	ADJ;NOM;PL
اصلی	оригінальна	اصلی	оригінальний	ADJ	ADJ;NOM;FEM;SG
اصلی	оригінальне	اصلی	оригінальний	ADJ	ADJ;NOM;NEUT;SG
اصلی	початкове	اصلی	початковий	ADJ	ADJ;NOM;NEUT;SG
اصلی	оригінальний	اصلی	оригінальний	ADJ	ADJ;NOM;MASC;SG
اصلی	основний	اصلی	основний	ADJ	ADJ;NOM;MASC;SG
اصلی	основне	اصلی	основний	ADJ	ADJ;NOM;NEUT;SG
اصلی	основна	اصلی	основний	ADJ	ADJ;NOM;FEM;SG
ساخت	будівництво	ساخت	будівництво	N;SG	N;INAN;NOM;NEUT;SG
ساخت	будівництва	ساخت	будівництво	N;SG	N;INAN;NOM;NEUT;SG
ساخت	виробництво	ساخت	виробництво	N;SG	N;INAN;NOM;NEUT;SG
المپیک	олімпіада	المپیک	олімпіада	N;SG	N;INAN;NOM;FEM;SG
اول	перша	اول	перший	ADJ	ADJ;NOM;FEM;SG
اول	перший	اول	перший	ADJ	ADJ;NOM;MASC;SG
سازمان	організація	سازمان	організація	N;SG	N;INAN;NOM;FEM;SG
سازمان	установа	سازمان	установий	N;SG	N;INAN;NOM;FEM;SG
سازمان	установа	سازمان	установий	N;SG	N;INAN;NOM;FEM;SG
سازمان	організація	سازمان	організація	N;SG	N;INAN;NOM;FEM;SG
سازمان	агенція	سازمان	агенція	N;SG	N;INAN;NOM;FEM;SG
سازمان	агентство	سازمان	агентство	N;SG	N;INAN;NOM;NEUT;SG
سه	три	سه	три	NUM	NUM;NOM
مرکزی	центральний	مرکزی	центральний	ADJ	ADJ;NOM;MASC;SG
مرکزی	центральна	مرکزی	центральний	ADJ	ADJ;NOM;FEM;SG
ایالت	стан	ایالت	стан	N;SG	N;INAN;NOM;MASC;SG
ایالت	держава	ایالت	держава	N;SG	N;INAN;NOM;FEM;SG
زنده	живий	زنده	живий	ADJ	ADJ;NOM;MASC;SG
زنده	жива	زنده	живий	ADJ	ADJ;NOM;FEM;SG
زنده	живим	زنده	живий	ADJ	ADJ;INS;NEUT;SG
فارسی	фарсі	فارسی	фарсі	N;SG	N;INAN;NOM;MASC;SG
فارسی	перська	فارسی	перський	N;SG	N;INAN;NOM;FEM;SG
بین	між	بین	між	ADP	ADP;INS
دوم	другий	دوم	другий	ADJ	ADJ;NOM;MASC;SG
دوم	друге	دوم	другий	ADJ	ADJ;NOM;NEUT;SG
موسیقی	музика	موسیقی	музика	N;SG	N;INAN;NOM;FEM;SG
موسیقی	музику	موسیقی	музика	N;SG	N;INAN;ACC;FEM;SG
گروه	гурт	گروه	гурт	N;SG	N;INAN;NOM;MASC;SG
گروه	група	گروه	група	N;SG	N;INAN;NOM;FEM;SG
گروه	групу	گروه	група	N;SG	N;INAN;ACC;FEM;SG
گروه	спільнота	گروه	спільнота	N;SG	N;INAN;NOM;FEM;SG
جایزه	бонус	جایزه	бонутися	N;SG	N;INAN;NOM;MASC;SG
جایزه	премія	جایزه	премія	N;SG	N;INAN;NOM;FEM;SG
جایزه	нагорода	جایزه	нагорода	N;SG	N;INAN;NOM;FEM;SG
جنوبی	південь	جنوبی	південь	N;SG	N;INAN;NOM;MASC;SG
روز	день	روز	день	N;SG	N;INAN;NOM;MASC;SG
روز	дню	روز	день	N;SG	N;INAN;DAT;MASC;SG
روز	дня	روز	день	N;SG	N;INAN;GEN;MASC;SG
جمهوری	республіка	جمهوری	республіка	N;SG	N;INAN;NOM;FEM;SG
مرگ	смерть	مرگ	смерть	N;SG	N;INAN;NOM;FEM;SG
ولی	але	ولی	але	CONJ	CONJ
آمریکایی	американський	آمریکایی	американський	ADJ	ADJ;NOM;MASC;SG
آمریکایی	американські	آمریکایی	американський	ADJ	ADJ;NOM;PL
آمریکایی	американська	آمریکایی	американський	ADJ	ADJ;NOM;FEM;SG
آمریکایی	американської	آمریکایی	американський	ADJ	ADJ;GEN;FEM;SG
نقش	роль	نقش	роль	N;SG	N;INAN;NOM;FEM;SG
منطقه	ділянку	منطقه	ділянка	N;SG	N;INAN;ACC;FEM;SG
منطقه	регіон	منطقه	регіон	N;SG	N;INAN;NOM;MASC;SG
منطقه	зона	منطقه	зона	N;SG	N;INAN;NOM;FEM;SG
منطقه	улус	منطقه	улус	N;SG	N;INAN;NOM;MASC;SG
منطقه	округ	منطقه	округ	N;SG	N;INAN;NOM;MASC;SG
منطقه	район	منطقه	район	N;SG	N;INAN;NOM;MASC;SG
منطقه	область	منطقه	область	N;SG	N;INAN;NOM;FEM;SG
منطقه	ділянка	منطقه	ділянка	N;SG	N;INAN;NOM;FEM;SG
منطقه	площа	منطقه	площа	N;SG	N;INAN;NOM;FEM;SG
منطقه	місцевість	منطقه	місцевість	N;SG	N;INAN;NOM;FEM;SG
بسیار	дуже	بسیار	дуже	ADV	ADV
بسیار	багато	بسیار	багато	ADV	ADV
بسیار	багато	بسیار	багато	ADV	ADV
بسیار	сильно	بسیار	сильно	ADV	ADV
اسلامی	ісламський	اسلامی	ісламський	ADJ	ADJ;NOM;MASC;SG
بزرگ	великі	بزرگ	великий	ADJ	ADJ;NOM;PL
بزرگ	великих	بزرگ	великий	ADJ	ADJ;ANIM;ACC;PL
بزرگ	великі	بزرگ	великий	ADJ	ADJ;NOM;PL
بزرگ	велике	بزرگ	великий	ADJ	ADJ;NOM;NEUT;SG
بزرگ	велика	بزرگ	великий	ADJ	ADJ;NOM;FEM;SG
بزرگ	великий	بزرگ	великий	ADJ	ADJ;NOM;MASC;SG
اروپا	уєфа	اروپا	увфа	N;SG	N;INAN;NOM;NEUT;SG
آمار	статистика	آمار	статистикий	N;SG	N;INAN;NOM;FEM;SG
آمار	статистикою	آمار	статистика	N;SG	N;INAN;INS;FEM;SG
آمار	статистику	آمار	статистика	N;SG	N;INAN;ACC;FEM;SG
فعالیت	активність	فعالیت	активність	N;SG	N;INAN;NOM;FEM;SG
فعالیت	діяльності	فعالیت	діяльність	N;SG	N;INAN;GEN;FEM;SG
فعالیت	дія	فعالیت	дія	N;SG	N;INAN;NOM;FEM;SG
فعالیت	діяльність	فعالیت	діяльність	N;SG	N;INAN;NOM;FEM;SG
اشاره	натяк	اشاره	натяк	N;SG	N;INAN;NOM;MASC;SG
اشاره	підказка	اشاره	підказка	N;SG	N;INAN;NOM;FEM;SG
زاده	народження	زاده	народження	N;SG	N;INAN;NOM;NEUT;SG
محمد	мухаммед	محمد	мухаммед	N;SG	N;ANIM;NOM;MASC;SG
محمد	мухаммед	محمد	мухаммед	N;SG	N;ANIM;NOM;MASC;SG
محمد	мухаммад	محمد	мухаммад	N;SG	N;ANIM;NOM;MASC;SG
محمد	мохамед	محمد	мохамед	N;SG	N;ANIM;NOM;MASC;SG
بریتانیا	британія	None	британія	N;SG	N;INAN;NOM;FEM;SG
بریتانیا	англієць	None	англієць	N;SG	N;ANIM;NOM;MASC;SG
شمالی	північ	شمالی	північ	N;SG	N;INAN;NOM;FEM;SG
شمالی	кароліна	شمالی	каролін	N;SG	N;INAN;NOM;FEM;SG
آب	вода	آب	вода	N;SG	N;INAN;NOM;FEM;SG
خورشیدگرفتگی	затемнення	خورشیدگرفتگی	затемнення	N;SG	N;INAN;NOM;NEUT;SG
ایرانی	перська	ایرانی	перський	N;SG	N;INAN;NOM;FEM;SG
اطلاعات	інформації	اطلاع	інформація	N;PL	N;INAN;NOM;FEM;PL
اطلاعات	відомості	اطلاع	відомість	N;PL	N;INAN;NOM;FEM;PL
ایجاد	створення	ایجاد	створення	N;SG	N;INAN;NOM;NEUT;SG
ایجاد	створення	ایجاد	створення	N;SG	N;INAN;NOM;NEUT;SG
ایجاد	витвір	ایجاد	витвір	N;SG	N;INAN;NOM;MASC;SG
ایجاد	створення	ایجاد	створення	N;SG	N;INAN;NOM;NEUT;SG
مالک	власник	مالک	власник	N;SG	N;ANIM;NOM;MASC;SG
امنیت	безпека	امنیت	безпека	N;SG	N;INAN;NOM;FEM;SG
امنیت	безпеки	امنیت	безпека	N;SG	N;INAN;GEN;FEM;SG
امنیت	безпека	امنیت	безпека	N;SG	N;INAN;NOM;FEM;SG
نوع	типу	نوع	тип	N;SG	N;INAN;NOM;MASC;SG
نوع	тип	نوع	тип	N;SG	N;INAN;NOM;MASC;SG
مردم	народ	مردم	народ	N;SG	N;INAN;NOM;MASC;SG
دلیل	причина	دلیل	причина	N;SG	N;INAN;NOM;FEM;SG
دلیل	привід	دلیل	привід	N;SG	N;INAN;NOM;MASC;SG
دلیل	причина	دلیل	причина	N;SG	N;INAN;NOM;FEM;SG
دلیل	причиною	دلیل	причина	N;SG	N;INAN;INS;FEM;SG
روستای	село	روستا	село	N;SG	N;INAN;NOM;NEUT;SG
مربوط	актуальна	مربوط	актуальний	ADJ	ADJ;NOM;FEM;SG
مربوط	схожі	مربوط	схожий	ADJ	ADJ;NOM;PL
بار	навантаження	بار	навантаження	N;SG	N;INAN;NOM;NEUT;SG
بار	завантаження	بار	завантаження	N;SG	N;INAN;NOM;NEUT;SG
بار	бар	بار	бар	N;SG	N;INAN;NOM;MASC;SG
بار	смужка	بار	смужка	N;SG	N;INAN;NOM;FEM;SG
دریا	море	دریا	море	N;SG	N;INAN;NOM;NEUT;SG
شما	ви	شما	ви	PRO;PL;2	PRO;ANIM;NOM;PL;2
تولید	виробництва	تولید	виробництво	N;SG	N;INAN;NOM;NEUT;SG
تولید	продакшн	تولید	продакшн	N;SG	N;INAN;NOM;MASC;SG
تولید	виробництво	تولید	виробництво	N;SG	N;INAN;NOM;NEUT;SG
تولید	продукція	تولید	продукція	N;SG	N;INAN;NOM;FEM;SG
تپه	пагорб	تپه	пагірб	N;SG	N;INAN;NOM;MASC;SG
تنها	наодинці	تنها	наодинці	ADV	ADV
تنها	поодинці	تنها	поодинець	ADV	ADV
تنها	самотньо	تنها	самотньо	ADV	ADV
شرقی	схід	شرقی	схід	N;SG	N;INAN;NOM;MASC;SG
برخی	дехто	برخی	дехто	PRO	PRO;ANIM;NOM
میان	між	میان	між	ADP	ADP;INS
جهان	світ	جهان	світ	N;SG	N;INAN;NOM;MASC;SG
جهان	світе	جهان	світи	N;SG	N;INAN;NOM;MASC;SG
جام	чашка	جام	чашка	N;SG	N;INAN;NOM;FEM;SG
جام	чаша	جام	чаш	N;SG	N;INAN;NOM;FEM;SG
جام	кубок	جام	кубок	N;SG	N;INAN;NOM;MASC;SG
ارتفاع	висота	ارتفاع	висота	N;SG	N;INAN;NOM;FEM;SG
ارتفاع	висота	ارتفاع	висота	N;SG	N;INAN;NOM;FEM;SG
کد	код	کرد#کن	код	N;SG	N;INAN;NOM;MASC;SG
کشف	відкриття	کشف	відкриття	N;SG	N;INAN;NOM;NEUT;SG
کشف	знахідка	کشف	знахідка	N;SG	N;INAN;NOM;FEM;SG
نشان	жетон	نشان	жетон	N;SG	N;INAN;NOM;MASC;SG
نشان	значок	نشان	значок	N;SG	N;INAN;NOM;MASC;SG
حذف	вилучення	حذف	вилучення	N;SG	N;INAN;NOM;NEUT;SG
حذف	видалення	حذف	видалення	N;SG	N;INAN;NOM;NEUT;SG
حذف	вилучення	حذف	вилучення	N;SG	N;INAN;NOM;NEUT;SG
حذف	видалення	حذف	видалення	N;SG	N;INAN;NOM;NEUT;SG
حذف	вилучення	حذف	вилучення	N;SG	N;INAN;NOM;NEUT;SG
غربی	західний	غربی	західний	ADJ	ADJ;NOM;MASC;SG
غربی	західні	غربی	західний	ADJ	ADJ;NOM;PL
غربی	західна	غربی	західний	ADJ	ADJ;NOM;FEM;SG
گرفته	забрала	گرفت#گیر	забрати	V;SG;3;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
دوران	строк	دوره	строк	N;SG	N;INAN;NOM;MASC;SG
دوران	епоха	دوره	епоха	N;SG	N;INAN;NOM;FEM;SG
