anita	anita	anittaa	anita	N;NOM;SG	N;MASC+FEM;SG
kokko	vreugdevuur	kokko	vreugdevuur	N;NOM;SG	N;NEUT;SG
kokko	kampvuur	kokko	kampvuur	N;NOM;SG	N;NEUT;SG
lentokoneita	vliegtuigen	lento#kone	vliegtuig	N;PRT;PL	N;PL
lentokoneita	vliegtuigen	lento#kone	vliegtuig	N;PRT;PL	N;PL
lentokoneita	vliegtuigen	lento#kone	vliegtuig	N;PRT;PL	N;PL
vastarintaa	tegenstand	vastarinta	tegenstand	N;PRT;SG	N;MASC+FEM;SG
vastarintaa	weerstand	vastarinta	weerstand	N;PRT;SG	N;MASC+FEM;SG
vastarintaa	resistentie	vastarinta	resistentie	N;PRT;SG	N;MASC+FEM;SG
vastarintaa	verzet	vastarinta	verzet	N;PRT;SG	N;NEUT;SG
painettu	afgedrukt	painaa	afdrukken	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
painettu	gedrukt	painaa	drukken	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
painettu	geprint	painaa	printen	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
painettu	bedrukt	painaa	bedrukken	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
tuhoa	verwoesting	tuho	verwoesting	N;PRT;SG	N;MASC+FEM;SG
tuhoa	vernietiging	tuho	vernietiging	N;PRT;SG	N;MASC+FEM;SG
tuhoa	destructie	tuho	destructie	N;PRT;SG	N;MASC+FEM;SG
tuhoa	vernieling	tuho	vernieling	N;PRT;SG	N;MASC+FEM;SG
normandian	normandië	normandi	normandië	N;GEN;SG	N;MASC+FEM;SG
regina	regina	regina	regina	N;NOM;SG	N;MASC+FEM;SG
säde	straal	säde	straal	N;NOM;SG	N;MASC+FEM;SG
säde	balk	säde	balk	N;NOM;SG	N;MASC+FEM;SG
säde	straal	säde	straal	N;NOM;SG	N;MASC+FEM;SG
säde	radius	säde	radius	N;NOM;SG	N;MASC+FEM;SG
vieras	bezoeker	vieras	bezoeker	N;NOM;SG	N;MASC+FEM;SG
vieras	gast	vieras	gast	N;NOM;SG	N;MASC+FEM;SG
vieras	vreemdeling	vieras	vreemdeling	N;NOM;SG	N;MASC+FEM;SG
tulosten	uitslagen	tulos	uitslag	N;GEN;PL	N;PL
tulosten	resultaten	tulos	resultaat	N;GEN;PL	N;PL
tulosten	uitkomsten	tulos	uitkomst	N;GEN;PL	N;PL
korvat	oren	korva	oor	N;NOM;PL	N;PL
korvat	oortjes	korva	oor	N;NOM;PL	N;PL
lämpöä	warmte	lämpö	warmte	N;PRT;SG	N;MASC+FEM;SG
lämpöä	hitte	lämpö	hit	N;PRT;SG	N;MASC+FEM;SG
lämpöä	warmte	lämpö	warmte	N;PRT;SG	N;MASC+FEM;SG
ulkopuolinen	extern	ulko#puolinen	extern	ADJ;NOM;SG	ADJ
ulkopuolinen	uitwendig	ulko#puolinen	uitwendig	ADJ;NOM;SG	ADJ
ulkopuolinen	externe	ulko#puolinen	extern	ADJ;NOM;SG	ADJ
keskikokoinen	middellange	keski#kokoinen	middellang	ADJ;NOM;SG	ADJ
keskikokoinen	middelgrote	keski#kokoinen	middelgrote	ADJ;NOM;SG	ADJ
keskikokoinen	middelgroot	keski#kokoinen	middelgroot	ADJ;NOM;SG	ADJ
tulipalo	brand	tuli#palo	brand	N;NOM;SG	N;MASC+FEM;SG
tulipalo	vuur	tuli#palo	vuur	N;NOM;SG	N;NEUT;SG
miekan	degen	miekka	degen	N;GEN;SG	N;SG
miekan	zwaard	miekka	zwaard	N;GEN;SG	N;NEUT;SG
jelena	yelena	jelena	yelena	N;NOM;SG	N;MASC+FEM;SG
jelena	jelena	jelena	jelena	N;NOM;SG	N;MASC+FEM;SG
estetty	verbannen	estää	verbannen	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
estetty	verboden	estää	verboden	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
estetty	geblokkeerde	estää	blokkeren	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
estetty	geblokkeerd	estää	blokkeren	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
mayer	mayer	mayer	mayer	N;NOM;SG	N;MASC+FEM;SG
osallistuminen	aanwezigheid	osallistuminen	aanwezigheid	N;NOM;SG	N;MASC+FEM;SG
osallistuminen	opkomst	osallistuminen	opkomst	N;NOM;SG	N;MASC+FEM;SG
osallistuminen	betrokkenheid	osallistuminen	betrokkenheid	N;NOM;SG	N;MASC+FEM;SG
osallistuminen	deelneming	osallistuminen	deelneming	N;NOM;SG	N;MASC+FEM;SG
osallistuminen	participatie	osallistuminen	participatie	N;NOM;SG	N;MASC+FEM;SG
osallistuminen	deelname	osallistuminen	deelname	N;NOM;SG	N;MASC+FEM;SG
isoisä	opa	iso#isä	opa	N;NOM;SG	N;MASC+FEM;SG
isoisä	grootvader	iso#isä	grootvader	N;NOM;SG	N;MASC+FEM;SG
isoisä	opa	iso#isä	opa	N;NOM;SG	N;MASC+FEM;SG
isoisä	grootvader	iso#isä	grootvader	N;NOM;SG	N;MASC+FEM;SG
isoisä	opa	iso#isä	opa	N;NOM;SG	N;MASC+FEM;SG
rannikkoa	kustlijn	rannikko	kustlijn	N;PRT;SG	N;MASC+FEM;SG
einstein	einstein	einstein	einstein	N;NOM;SG	N;MASC+FEM;SG
aikavyöhyke	tijdzone	aika#vyöhyke	tijdzone	N;NOM;SG	N;MASC+FEM;SG
solujen	cellen	solu	cel	N;GEN;PL	N;PL
lopullisen	definitief	lopullinen	definitief	ADJ;GEN;SG	ADJ
lopullisen	definitieve	lopullinen	definitief	ADJ;GEN;SG	ADJ
jet	jet	jetä	jet	N;NOM;SG	N;MASC+FEM;SG
ralli	rally	ralli	rally	N;NOM;SG	N;MASC+FEM;SG
myynnin	verkoop	myynti	verkoop	N;GEN;SG	N;MASC+FEM;SG
kennedyn	kennedy	kennädä	kennedy	N;GEN;SG	N;MASC+FEM;SG
verkkoon	raster	verkko	raster	N;IN+ALL;SG	N;NEUT;SG
verkkoon	grid	verkko	grid	N;IN+ALL;SG	N;MASC+FEM;SG
saattueita	konvooien	saattue	konvooien	N;PRT;PL	N;PL
ehdokkuutta	kandidatuur	ehdokkuus	kandidatuur	N;PRT;SG	N;MASC+FEM;SG
egyptiin	egypte	egypti	egypt	N;IN+ALL;SG	N;NEUT;SG
kristinusko	christendom	kristinus	christendom	N;NOM;SG	N;NEUT;SG
yksilöiden	particulieren	yksilö	particulier	N;GEN;PL	N;PL
yksilöiden	individuen	yksilö	individuen	N;GEN;PL	N;PL
yksilöiden	specimens	yksilö	specimens	N;GEN;PL	N;PL
työntekijät	medewerkers	työn#tekijä	medewerker	N;NOM;PL	N;PL
työntekijät	werknemers	työn#tekijä	werknemer	N;NOM;PL	N;PL
työntekijät	werkers	työn#tekijä	werker	N;NOM;PL	N;PL
työntekijät	arbeiders	työn#tekijä	arbeider	N;NOM;PL	N;PL
työntekijät	werknemers	työn#tekijä	werknemer	N;NOM;PL	N;PL
aktiivisia	actieve	aktiivinen	actief	ADJ;PRT;PL	ADJ
aktiivisia	actief	aktiivinen	actief	ADJ;PRT;PL	ADJ
castro	castro	castro	castro	N;NOM;SG	N;MASC+FEM;SG
kuljettajan	chauffeur	kuljettaja	chauffeur	N;GEN;SG	N;MASC+FEM;SG
kuljettajan	stuurprogramma	kuljettaja	stuurprogramma	N;GEN;SG	N;NEUT;SG
kuljettajan	driver	kuljettaja	driver	N;GEN;SG	N;MASC+FEM;SG
kuljettajan	bestuurder	kuljettaja	bestuurder	N;GEN;SG	N;MASC+FEM;SG
järjestöt	associaties	järjestö	associatie	N;NOM;PL	N;PL
järjestöt	verenigingen	järjestö	vereniging	N;NOM;PL	N;PL
järjestöt	organisaties	järjestö	organisatie	N;NOM;PL	N;PL
järjestöt	organisaties	järjestö	organisatie	N;NOM;PL	N;PL
saariston	archipel	saaristo	archipel	N;GEN;SG	N;MASC+FEM;SG
aukio	plein	aukio	plein	N;NOM;SG	N;NEUT;SG
monroe	monroe	monroe	monroe	N;NOM;SG	N;MASC+FEM;SG
kannattajia	voorstanders	kannattaja	voorstander	N;PRT;PL	N;PL
kannattajia	supporters	kannattaja	supporter	N;PRT;PL	N;PL
kannattajia	aanhangers	kannattaja	aanhanger	N;PRT;PL	N;PL
pidemmälle	verdere	pitkä	ver	ADJ;AT+ALL;CMPR;SG	ADJ;CMPR
pidemmälle	verder	pitkä	verder	ADJ;AT+ALL;CMPR;SG	ADJ;CMPR
väkivaltaa	geweld	väki#valta	geweld	N;PRT;SG	N;NEUT;SG
laajempaa	ruimer	laaja	ruim	ADJ;PRT;CMPR;SG	ADJ;CMPR
laajempaa	bredere	laaja	breed	ADJ;PRT;CMPR;SG	ADJ;CMPR
laajempaa	breder	laaja	breed	ADJ;PRT;CMPR;SG	ADJ;CMPR
laajempaa	wijder	laaja	wijder	ADJ;PRT;CMPR;SG	ADJ;CMPR
laajempaa	ruimer	laaja	ruim	ADJ;PRT;CMPR;SG	ADJ;CMPR
laajempaa	breder	laaja	breed	ADJ;PRT;CMPR;SG	ADJ;CMPR
sauna	sauna	sauna	sauna	N;NOM;SG	N;MASC+FEM;SG
legenda	legende	legenda	legende	N;NOM;SG	N;MASC+FEM;SG
legenda	legend	legenda	legend	N;NOM;SG	N;MASC+FEM;SG
tapahtumaan	gebeurtenis	tapahtuma	gebeurtenis	N;IN+ALL;SG	N;MASC+FEM;SG
tapahtumaan	evenement	tapahtuma	evenement	N;IN+ALL;SG	N;NEUT;SG
tapahtumaan	event	tapahtuma	event	N;IN+ALL;SG	N;NEUT;SG
muuallakin	elders	muualla	elders	ADV	ADV
toimintoja	functionaliteiten	toiminto	functionaliteit	N;PRT;PL	N;PL
cannesin	cannes	cannes	canne	N;GEN;SG	N;MASC+FEM;SG
isot	groot	iso	groot	ADJ;NOM;PL	ADJ
isot	grote	iso	groot	ADJ;NOM;PL	ADJ
puhemies	president	puhe#mies	president	N;NOM;SG	N;MASC+FEM;SG
puhemies	voorzitter	puhe#mies	voorzitter	N;NOM;SG	N;MASC+FEM;SG
puhemies	speaker	puhe#mies	speaker	N;NOM;SG	N;MASC+FEM;SG
puhemies	luidspreker	puhe#mies	luidspreker	N;NOM;SG	N;MASC+FEM;SG
puhemies	spreker	puhe#mies	spreker	N;NOM;SG	N;MASC+FEM;SG
edwin	edwin	edwin	edwin	N;NOM;SG	N;MASC+FEM;SG
kahvila	kantine	kahvila	kantine	N;NOM;SG	N;MASC+FEM;SG
kahvila	cafetaria	kahvila	cafetaria	N;NOM;SG	N;MASC+FEM;SG
kahvila	cafe	kahvila	cafe	N;NOM;SG	N;MASC+FEM;SG
kahvila	café	kahvila	café	N;NOM;SG	N;NEUT;SG
kahvila	café	kahvila	café	N;NOM;SG	N;NEUT;SG
aamu	ochtend	aamu	ochtend	N;NOM;SG	N;MASC+FEM;SG
tina	tin	tina	tin	N;NOM;SG	N;MASC+FEM;SG
tina	tina	tina	tina	N;NOM;SG	N;MASC+FEM;SG
viestinnän	communicatie	viestintä	communicatie	N;GEN;SG	N;MASC+FEM;SG
aviomies	echtgenoot	avio#mies	echtgenoot	N;NOM;SG	N;MASC+FEM;SG
hallinnut	gedomineerd	hallita	domineren	V;NOM;SG;V.PTCP;ACT	V;V.PTCP
hallinnut	overheerst	hallita	overheersen	V;NOM;SG;V.PTCP;ACT	V;V.PTCP
rajoja	grenzen	raja	grens	N;PRT;PL	N;PL
rajoja	grenzen	raja	grens	N;PRT;PL	N;PL
indianapolis	indianapolis	indiana#polis	indianapolis	N;NOM;SG	N;MASC+FEM;SG
kristittyjä	christenen	kristitty	christenen	N;PRT;PL	N;PL
hävittäjät	strijders	hävittäjä	strijder	N;NOM;PL	N;PL
hävittäjät	vechters	hävittäjä	vechter	N;NOM;PL	N;PL
hävittäjät	fighters	hävittäjä	fighter	N;NOM;PL	N;PL
hävittäjät	boksers	hävittäjä	bokser	N;NOM;PL	N;PL
hävittäjät	destroyers	hävittäjä	destroyer	N;NOM;PL	N;PL
kiviä	steentjes	kivi	steentje	N;PRT;PL	N;PL
kiviä	stones	kivi	stones	N;PRT;PL	N;PL
kiviä	stenen	kivi	steen	N;PRT;PL	N;PL
kiviä	rotsen	kivi	rotsen	N;PRT;PL	N;PL
kiviä	stenen	kivi	steen	N;PRT;PL	N;PL
sukellusveneen	onderzeeër	sukeltus#vene	onderzeeër	N;GEN;SG	N;MASC+FEM;SG
sukellusveneen	duikboot	sukeltus#vene	duikboot	N;GEN;SG	N;MASC+FEM;SG
markkinat	markten	markkinat	markt	N;NOM;PL	N;PL
washingtonissa	washington	washington	washington	N;IN+ESS;SG	N;MASC+FEM;SG
ajat	tijden	aika	tijd	N;NOM;PL	N;PL
korvattu	vervangen	korvata	vervangen	V;NOM;SG;V.PTCP;PASS	V;V.PTCP
alpha	alpha	alpha	alpha	N;NOM;SG	N;MASC+FEM;SG
alpha	alfa	alpha	alfa	N;NOM;SG	N;MASC+FEM;SG
eagle	eagle	eagle	eag	N;NOM;SG	N;MASC+FEM;SG
eagle	arend	eagle	arend	N;NOM;SG	N;MASC+FEM;SG
eagle	adelaar	eagle	adelaar	N;NOM;SG	N;MASC+FEM;SG
valentin	valentin	valentti	valentin	N;GEN;SG	N;MASC+FEM;SG
suu	mond	suu	mond	N;NOM;SG	N;MASC+FEM;SG
elisa	eliza	elisa	eliza	N;NOM;SG	N;MASC+FEM;SG
elisa	elisa	elisa	elisa	N;NOM;SG	N;MASC+FEM;SG
yksinään	alleen	yksinään	alleen	ADV	ADV
psykologian	psych	psykologia	psych	N;GEN;SG	N;MASC+FEM;SG
puhdas	puur	puhdas	puur	ADJ;NOM;SG	ADJ
puhdas	zuiver	puhdas	zuiver	ADJ;NOM;SG	ADJ
puhdas	zuivere	puhdas	zuiver	ADJ;NOM;SG	ADJ
puhdas	schoon	puhdas	schoon	ADJ;NOM;SG	ADJ
puhdas	proper	puhdas	proper	ADJ;NOM;SG	ADJ
puhdas	clean	puhdas	clean	ADJ;NOM;SG	ADJ
kansalainen	burger	kansalainen	burger	N;NOM;SG	N;MASC+FEM;SG
kansalainen	citizen	kansalainen	citis	N;NOM;SG	N;MASC+FEM;SG
fis	fis	fis	fis	N;NOM;SG	N;MASC+FEM;SG
uhrien	slachtoffers	uhri	slachtoffer	N;GEN;PL	N;PL
maku	proef	maku	proef	N;NOM;SG	N;MASC+FEM;SG
maku	smaak	maku	smaak	N;NOM;SG	N;MASC+FEM;SG
maku	smaak	maku	smaak	N;NOM;SG	N;MASC+FEM;SG
maku	smaak	maku	smaak	N;NOM;SG	N;MASC+FEM;SG
fia	fia	fia	fia	N;NOM;SG	N;MASC+FEM;SG
ssp	ssp	ssp	ssp	N;NOM;SG	N;MASC+FEM;SG
suojella	beschermen	suojella	beschermen	V;SG;NFIN;ACT	V;NFIN
suojella	beschermen	suojella	beschermen	V;SG;NFIN;ACT	V;NFIN
suojella	bescherm	suojella	beschermen	V;SG;NFIN;ACT	V;SG;PRS;FIN
kuoron	koor	kuoro	koor	N;GEN;SG	N;NEUT;SG
sedan	sedan	sedan	sedan	N;NOM;SG	N;MASC+FEM;SG
katherine	katherine	katherinen	katherine	N;NOM;SG	N;MASC+FEM;SG
katherine	catharina	katherinen	catharina	N;NOM;SG	N;MASC+FEM;SG
turvallisuuden	veiligheid	turvallisuus	veiligheid	N;GEN;SG	N;MASC+FEM;SG
turvallisuuden	beveiliging	turvallisuus	beveiliging	N;GEN;SG	N;MASC+FEM;SG
ajatukset	gedachten	ajatus	gedacht	N;NOM;PL	N;PL
ajatukset	gedachtes	ajatus	dachtel	N;NOM;PL	N;PL
demokratian	democratie	demokratia	democratie	N;GEN;SG	N;MASC+FEM;SG
dem	dem	dem	dem	N;NOM;SG	N;MASC+FEM;SG
kerros	vloer	kerros	vloer	N;NOM;SG	N;MASC+FEM;SG
kerros	verdieping	kerros	verdieping	N;NOM;SG	N;MASC+FEM;SG
kerros	floor	kerros	floor	N;NOM;SG	N;MASC+FEM;SG
ohjus	raket	ohjus	raket	N;NOM;SG	N;MASC+FEM;SG
villi	wild	villi	wild	ADJ;NOM;SG	ADJ
olento	schepsel	olento	schepsel	N;NOM;SG	N;NEUT;SG
lokakuu	lgo	lokakuu	lgo	N;NOM;SG	N;MASC+FEM;SG
suuntaus	trend	suuntaus	trenden	N;NOM;SG	N;MASC+FEM;SG
suuntaus	tendens	suuntaus	tendens	N;NOM;SG	N;MASC+FEM;SG
suuntaus	oriëntatie	suuntaus	oriëntatie	N;NOM;SG	N;MASC+FEM;SG
suuntaus	oriëntering	suuntaus	oriëntering	N;NOM;SG	N;MASC+FEM;SG
hirviö	beast	hirviö	beast	N;NOM;SG	N;MASC+FEM;SG
hirviö	beest	hirviö	beest	N;NOM;SG	N;NEUT;SG
hirviö	monster	hirviö	monster	N;NOM;SG	N;NEUT;SG
vallitsee	regeert	vallita	regeren	V;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
vallitsee	heerst	vallita	heersen	V;IND;SG;3;PRS;FIN;ACT	V;SG;PRS;FIN
aurora	noorderlicht	aurora	noorderlicht	N;NOM;SG	N;NEUT;SG
aurora	aurora	aurora	aurora	N;NOM;SG	N;MASC+FEM;SG
epäselvä	dubbelzinnige	epä#selvä	dubbelzinnig	ADJ;NOM;SG	ADJ
epäselvä	dubbelzinnig	epä#selvä	dubbelzinnig	ADJ;NOM;SG	ADJ
epäselvä	onduidelijk	epä#selvä	onduidelijk	ADJ;NOM;SG	ADJ
epäselvä	onduidelijke	epä#selvä	onduidelijk	ADJ;NOM;SG	ADJ
epäselvä	wazige	epä#selvä	wazig	ADJ;NOM;SG	ADJ
epäselvä	wazig	epä#selvä	wazig	ADJ;NOM;SG	ADJ
case	geval	case	geval	N;NOM;SG	N;NEUT;SG
case	case	case	case	N;NOM;SG	N;MASC+FEM;SG
case	zaak	case	zaak	N;NOM;SG	N;MASC+FEM;SG
