que	че	que	че	CONJ	CONJ
región	област	región	област	N;FEM;SG	N;INDF;FEM;SG
sistema	система	sistema	система	N;MASC;SG	N;INDF;FEM;SG
sistema	системата	sistema	система	N;MASC;SG	N;DEF;FEM;SG
habitantes	обитатели	habitante	обитател	N;PL	N;INDF;MASC;PL
habitantes	жители	habitante	жител	N;PL	N;INDF;MASC;PL
habitantes	обитатели	habitante	обитател	N;PL	N;INDF;MASC;PL
habitantes	жители	habitante	жител	N;PL	N;INDF;MASC;PL
maría	мари	maría	мара	N;FEM;SG	N;INDF;FEM;SG
maría	мери	maría	меря-(се)	N;FEM;SG	N;INDF;FEM;SG
maría	мария	maría	мария	N;FEM;SG	N;INDF;FEM;SG
real	истинска	real	истински	ADJ;SG	ADJ;INDF;FEM;SG
real	истински	real	истински	ADJ;SG	ADJ;INDF;MASC;SG
real	кралска	real	кралски	ADJ;SG	ADJ;INDF;FEM;SG
real	кралски	real	кралски	ADJ;SG	ADJ;INDF;MASC;SG
página	страница	página	страница	N;FEM;SG	N;INDF;FEM;SG
página	страницата	página	страница	N;FEM;SG	N;DEF;FEM;SG
esto	това	este	този	PRO;SG	PRO;NOM;NEUT;SG
mundial	световна	mundial	световен	ADJ;SG	ADJ;INDF;FEM;SG
mundial	глобална	mundial	глобален	ADJ;SG	ADJ;INDF;FEM;SG
mundial	глобален	mundial	глобален	ADJ;SG	ADJ;INDF;MASC;SG
música	музиката	música	музика	N;FEM;SG	N;DEF;FEM;SG
música	музика	música	музика	N;FEM;SG	N;INDF;FEM;SG
presidente	председател	presidente	председател	N;MASC;SG	N;INDF;MASC;SG
presidente	председателят	presidente	председател	N;MASC;SG	N;DEF;MASC;SG
presidente	председател	presidente	председател	N;MASC;SG	N;INDF;MASC;SG
presidente	президентът	presidente	президент	N;MASC;SG	N;DEF;MASC;SG
presidente	президент	presidente	президент	N;MASC;SG	N;INDF;MASC;SG
presidente	председател	presidente	председател	N;MASC;SG	N;INDF;MASC;SG
casa	house	casa	house	N;FEM;SG	N;INDF;MASC;SG
casa	къща	casa	къща	N;FEM;SG	N;INDF;FEM;SG
casa	къщата	casa	къща	N;FEM;SG	N;DEF;FEM;SG
casa	хаус	casa	хаус	N;FEM;SG	N;INDF;MASC;SG
casa	дом	casa	дом	N;FEM;SG	N;INDF;MASC;SG
sólo	само	sólo	само	ADV	ADV
sólo	единствено	sólo	единствено	ADV	ADV
sólo	просто	sólo	просто	ADV	ADV
sólo	само	sólo	само	ADV	ADV
álbum	албум	álbum	албум	N;MASC;SG	N;INDF;MASC;SG
debido	дължима	debido	дължим	ADJ	ADJ;INDF;FEM;SG
debido	дължими	debido	дължим	ADJ	ADJ;INDF;PL
junio	джун	junio	джун	N	N;INDF;MASC;SG
junio	юни	junio	юни	N	N;INDF;MASC;SG
febrero	февруари	febrero	февруари	N	N;INDF;MASC;SG
ella	тя	él	аз	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
ella	нея	él	аз	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
pueden	могат	poder	мога	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
varios	няколко	varios	няколко	PRO;MASC;PL	PRO;INDF
solo	само	solo	само	ADV	ADV
solo	единствено	solo	единствено	ADV	ADV
solo	просто	solo	просто	ADV	ADV
solo	само	solo	само	ADV	ADV
tipo	вид	tipo	вид	N;MASC;SG	N;INDF;MASC;SG
tipo	тип	tipo	тип	N;MASC;SG	N;INDF;MASC;SG
obra	работа	obra	работа	N;FEM;SG	N;INDF;FEM;SG
obra	труд	obra	труд	N;FEM;SG	N;INDF;MASC;SG
iglesia	църква	iglesia	църква	N;FEM;SG	N;INDF;FEM;SG
iglesia	църквата	iglesia	църква	N;FEM;SG	N;DEF;FEM;SG
película	филм	película	филм	N;FEM;SG	N;INDF;MASC;SG
película	филм	película	филм	N;FEM;SG	N;INDF;MASC;SG
película	лента	película	лента	N;FEM;SG	N;INDF;FEM;SG
entonces	тогава	entonces	тогава	ADV	ADV
banda	група	banda	група	N;FEM;SG	N;INDF;FEM;SG
banda	оркестър	banda	оркестър	N;FEM;SG	N;INDF;MASC;SG
banda	банда	banda	банда	N;FEM;SG	N;INDF;FEM;SG
banda	лента	banda	лента	N;FEM;SG	N;INDF;FEM;SG
banda	банда	banda	банда	N;FEM;SG	N;INDF;FEM;SG
cuatro	четири	cuatro	четири	NUM;PL	NUM;INDF;PL
cuatro	четирима	cuatro	четирима	NUM;PL	NUM;INDF;PL
zona	зона	zona	зона	N;FEM;SG	N;INDF;FEM;SG
zona	зона	zona	зона	N;FEM;SG	N;INDF;FEM;SG
zona	площ	zona	площ	N;FEM;SG	N;INDF;FEM;SG
zona	област	zona	област	N;FEM;SG	N;INDF;FEM;SG
zona	район	zona	район	N;FEM;SG	N;INDF;MASC;SG
televisión	телевизия	televisión	телевизия	N;FEM;SG	N;INDF;FEM;SG
televisión	телевизията	televisión	телевизия	N;FEM;SG	N;DEF;FEM;SG
televisión	телевизор	televisión	телевизор	N;FEM;SG	N;INDF;MASC;SG
principal	основна	principal	основен	ADJ;SG	ADJ;INDF;FEM;SG
principal	главна	principal	главен	ADJ;SG	ADJ;INDF;FEM;SG
principal	главен	principal	главен	ADJ;SG	ADJ;INDF;MASC;SG
carlos	чарлз	carlo	чарлз	N;MASC;SG	N;INDF;MASC;SG
carlos	чарли	carlo	чарла	N;MASC;SG	N;INDF;MASC;SG
rey	крал	rey	крал	N;MASC;SG	N;INDF;MASC;SG
rey	кинг	rey	кинг	N;MASC;SG	N;INDF;MASC;SG
rey	кралят	rey	крал	N;MASC;SG	N;DEF;MASC;SG
rey	цар	rey	цар	N;MASC;SG	N;INDF;MASC;SG
rey	краля	rey	крал	N;MASC;SG	N;DEF;MASC;SG
premio	награда	premio	награда	N;MASC;SG	N;INDF;FEM;SG
premio	възлагане	premio	възлагане	N;MASC;SG	N;INDF;NEUT;SG
premio	награда	premio	награда	N;MASC;SG	N;INDF;FEM;SG
edición	редактиране	edición	редактиране	N;FEM;SG	N;INDF;NEUT;SG
edición	изданието	edición	издание	N;FEM;SG	N;DEF;NEUT;SG
edición	издание	edición	издание	N;FEM;SG	N;INDF;NEUT;SG
edición	редактиране	edición	редактиране	N;FEM;SG	N;INDF;NEUT;SG
edición	монтаж	edición	монтаж	N;FEM;SG	N;INDF;MASC;SG
premios	награди	premio	награда	N;MASC;PL	N;INDF;FEM;PL
premios	награди	premio	награда	N;MASC;PL	N;INDF;FEM;PL
premios	награди	premio	награда	N;MASC;PL	N;INDF;FEM;PL
sitio	уебсайт	sitio	уебсайт	N;MASC;SG	N;INDF;MASC;SG
sitio	сайт	sitio	сайт	N;MASC;SG	N;INDF;MASC;SG
sitio	обсада	sitio	обсада	N;MASC;SG	N;INDF;FEM;SG
sitio	сайт	sitio	сайт	N;MASC;SG	N;INDF;MASC;SG
futbolistas	футболисти	futbolista	футболист	N;PL	N;INDF;MASC;PL
futbolistas	футболистите	futbolista	футболист	N;PL	N;DEF;MASC;PL
bien	добро	bien	добър	ADV	ADV
bien	добре	bien	добре	ADV	ADV
segundo	втора	segundo	втори	ADJ;MASC;SG	ADJ;INDF;FEM;SG
segundo	втори	segundo	втори	ADJ;MASC;SG	ADJ;INDF;MASC;SG
mar	мар	mar	мар	N;SG	N;INDF;FEM;SG
mar	море	mar	море	N;SG	N;INDF;NEUT;SG
mar	морето	mar	море	N;SG	N;DEF;NEUT;SG
mar	океан	mar	океан	N;SG	N;INDF;MASC;SG
poco	малко	poco	малко	ADV	ADV;INDF;PL
orden	ред	orden	ред	N;MASC;SG	N;INDF;MASC;SG
orden	поръчка	orden	поръчка	N;MASC;SG	N;INDF;FEM;SG
estadounidense	американска	estadounidense	американски	ADJ;SG	ADJ;INDF;FEM;SG
estadounidense	американски	estadounidense	американски	ADJ;SG	ADJ;INDF;MASC;SG
agua	вода	agua	вода	N;FEM;SG	N;INDF;FEM;SG
agua	водата	agua	вода	N;FEM;SG	N;DEF;FEM;SG
tierra	земята	tierra	земя	N;FEM;SG	N;DEF;FEM;SG
tierra	земя	tierra	земя	N;FEM;SG	N;INDF;FEM;SG
tierra	земя	tierra	земя	N;FEM;SG	N;INDF;FEM;SG
tierra	тиера	tierra	тиера	N;FEM;SG	N;INDF;FEM;SG
título	заглавие	título	заглавие	N;MASC;SG	N;INDF;NEUT;SG
título	дял	título	дял	N;MASC;SG	N;INDF;MASC;SG
título	титла	título	титла	N;MASC;SG	N;INDF;FEM;SG
ellos	ги	él	аз	PRO;MASC;PL;3	PRO;ACC;PL;3
ellos	тях	él	аз	PRO;MASC;PL;3	PRO;ACC;PL;3
ellos	те	él	аз	PRO;MASC;PL;3	PRO;NOM;PL;3
earth	земята	earth	земя	N	N;DEF;FEM;SG
earth	земя	earth	земя	N	N;INDF;FEM;SG
división	участък	división	участък	N;FEM;SG	N;INDF;MASC;SG
división	разделение	división	разделение	N;FEM;SG	N;INDF;NEUT;SG
división	дивизия	división	дивизия	N;FEM;SG	N;INDF;FEM;SG
división	деление	división	деление	N;FEM;SG	N;INDF;NEUT;SG
canción	песен	canción	песен	N;FEM;SG	N;INDF;FEM;SG
canción	песничка	canción	песничка	N;FEM;SG	N;INDF;FEM;SG
fecha	среща	fecha	среща	N;FEM;SG	N;INDF;FEM;SG
fecha	дата	fecha	дата	N;FEM;SG	N;INDF;FEM;SG
república	република	república	република	N;FEM;SG	N;INDF;FEM;SG
trabajo	работа	trabajo	работа	N;MASC;SG	N;INDF;FEM;SG
trabajo	йов	trabajo	йов	N;MASC;SG	N;INDF;MASC;SG
trabajo	работа	trabajo	работа	N;MASC;SG	N;INDF;FEM;SG
trabajo	труд	trabajo	труд	N;MASC;SG	N;INDF;MASC;SG
especie	вид	especie	вид	N;FEM;SG	N;INDF;MASC;SG
luis	луи	luis	луя	N;MASC;SG	N;INDF;MASC;SG
luis	луи	luis	луя	N;MASC;SG	N;INDF;MASC;SG
caso	случай	caso	случай	N;MASC;SG	N;INDF;MASC;SG
caso	дело	caso	дело	N;MASC;SG	N;INDF;NEUT;SG
caso	кейс	caso	кейс	N;MASC;SG	N;INDF;MASC;SG
caso	случаят	caso	случай	N;MASC;SG	N;DEF;MASC;SG
caso	каса	caso	каса	N;MASC;SG	N;INDF;FEM;SG
dentro	вътрешно	dentro	вътрешен	ADV	ADV
dentro	вътре	dentro	вътре	ADV	ADV
obras	произведения	obra	произведение	N;FEM;PL	N;INDF;NEUT;PL
obras	пиеси	obra	пиеса	N;FEM;PL	N;INDF;FEM;PL
color	цвят	color	цвят	N;MASC;SG	N;INDF;MASC;SG
color	цвят	color	цвят	N;MASC;SG	N;INDF;MASC;SG
distrito	окръг	distrito	окръг	N;MASC;SG	N;INDF;MASC;SG
distrito	област	distrito	област	N;MASC;SG	N;INDF;FEM;SG
distrito	район	distrito	район	N;MASC;SG	N;INDF;MASC;SG
superficie	повърхност	superficie	повърхност	N;FEM;SG	N;INDF;FEM;SG
superficie	повърхността	superficie	повърхност	N;FEM;SG	N;DEF;FEM;SG
superficie	зона	superficie	зона	N;FEM;SG	N;INDF;FEM;SG
superficie	площ	superficie	площ	N;FEM;SG	N;INDF;FEM;SG
superficie	област	superficie	област	N;FEM;SG	N;INDF;FEM;SG
superficie	район	superficie	район	N;FEM;SG	N;INDF;MASC;SG
copa	копа	copa	копа	N;FEM;SG	N;INDF;FEM;SG
copa	чашка	copa	чашки	N;FEM;SG	N;INDF;FEM;SG
copa	чаша	copa	чаша	N;FEM;SG	N;INDF;FEM;SG
copa	купа	copa	купа	N;FEM;SG	N;INDF;FEM;SG
copa	къп	copa	къп	N;FEM;SG	N;INDF;MASC;SG
línea	реплика	línea	реплика	N;FEM;SG	N;INDF;FEM;SG
línea	линия	línea	линия	N;FEM;SG	N;INDF;FEM;SG
francisco	франциско	francisco	франциско	N;MASC;SG	N;INDF;MASC;SG
francisco	францис	francisco	францис	N;MASC;SG	N;INDF;MASC;SG
francisco	франсис	francisco	франсис	N;MASC;SG	N;INDF;MASC;SG
siguiente	следващ	siguiente	следвам	ADJ;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
siguiente	следваща	siguiente	следвам	ADJ;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
área	зона	área	зона	N;FEM;SG	N;INDF;FEM;SG
área	площ	área	площ	N;FEM;SG	N;INDF;FEM;SG
área	област	área	област	N;FEM;SG	N;INDF;FEM;SG
área	район	área	район	N;FEM;SG	N;INDF;MASC;SG
grandes	големи	grande	голям	ADJ;PL	ADJ;INDF;PL
grandes	големи	grande	голям	ADJ;PL	ADJ;INDF;PL
censo	преброяването	censo	преброяване	N;MASC;SG	N;DEF;NEUT;SG
censo	преброяване	censo	преброяване	N;MASC;SG	N;INDF;NEUT;SG
liga	лигата	liga	лига	N;FEM;SG	N;DEF;FEM;SG
liga	лига	liga	лига	N;FEM;SG	N;INDF;FEM;SG
liga	лига	liga	лига	N;FEM;SG	N;INDF;FEM;SG
muerte	смърт	muerte	смърт	N;FEM;SG	N;INDF;FEM;SG
muerte	смъртта	muerte	смърт	N;FEM;SG	N;DEF;FEM;SG
política	политиката	política	политика	N;FEM;SG	N;DEF;FEM;SG
política	полица	política	полица	N;FEM;SG	N;INDF;FEM;SG
