culto	kult	culto	kult	N	N;NOM;MASC;SG
escoitou	slišal	escoitar	slišati	V	V;MASC;SG;V.PTCP
escoitou	slišala	escoitar	slišati	V	V;FEM;SG;V.PTCP
músculos	mišice	músculo	mišica	N	N;NOM;FEM;PL
demostración	dokazovanje	demostración	dokazovanje	N	N;NOM;NEUT;SG
demostración	prikaz	demostración	prikaz	N	N;NOM;MASC;SG
computador	računalnik	computador	računalnik	N	N;NOM;MASC;SG
xogadores	igralci	xogador	igralec	N	N;NOM;MASC;PL
xogadores	igralca	xogador	igralec	N	N;NOM;MASC;SG
xogadores	igralce	xogador	igralec	N	N;ACC;MASC;PL
xogadores	akterji	xogador	akter	N	N;NOM;MASC;PL
quedaron	so	quedar	biti	V	V;IND;PL;3;POS;PRS;FIN
supostamente	domnevno	supostamente	domnevno	ADV	ADV
violación	posilstva	violación	posilstvo	N	N;NOM;NEUT;PL
violación	posilstvo	violación	posilstvo	N	N;NOM;NEUT;SG
violación	kršitev	violación	kršitev	N	N;NOM;FEM;SG
xefa	glavo	xefa	glava	N	N;ACC;FEM;SG
xefa	glava	xefa	glava	N	N;NOM;FEM;SG
manchas	pege	mancha	pega	N	N;NOM;FEM;PL
neveira	hladilnik	neveiro	hladilnik	N	N;NOM;MASC;SG
potente	močan	potente	močen	ADJ	ADJ;NOM;INDF;MASC;SG
potente	močni	potente	močen	ADJ	ADJ;NOM;MASC;PL
potente	mogočna	potente	mogočen	ADJ	ADJ;NOM;FEM;SG
potente	močna	potente	močen	ADJ	ADJ;NOM;FEM;SG
perigosa	nevarno	perigosa	nevaren	ADJ	ADJ;NOM;NEUT;SG
perigosa	nevaren	perigosa	nevaren	ADJ	ADJ;NOM;INDF;MASC;SG
perigosa	nevarne	perigosa	nevaren	ADJ	ADJ;NOM;FEM;PL
perigosa	nevarni	perigosa	nevaren	ADJ	ADJ;NOM;MASC;PL
perigosa	nevarna	perigosa	nevaren	ADJ	ADJ;NOM;FEM;SG
categoría	kategorijo	categoría	kategorija	N	N;ACC;FEM;SG
categoría	kategorija	categoría	kategorija	N	N;NOM;FEM;SG
estatal	državno	estatal	državen	ADJ	ADJ;NOM;NEUT;SG
amargo	grenko	amargo	grenko	N	N;ACC;FEM;SG
amargo	grenka	amargo	grenko	N	N;NOM;FEM;SG
amargo	grenak	amargo	grenak	N	N;NOM;MASC;SG
representante	zastopnik	representante	zastopnik	N	N;NOM;MASC;SG
representante	posrednika	representante	posrednik	N	N;ANIM;ACC;MASC;SG
representante	približek	representante	približek	N	N;NOM;MASC;SG
representante	zastopnik	representante	zastopnik	N	N;NOM;MASC;SG
representante	predstavnik	representante	predstavnik	N	N;NOM;MASC;SG
levárono	vzela	levárono	vzeti	V	V;PFV;FEM;SG;V.PTCP
levárono	vzel	levárono	vzeti	V	V;PFV;MASC;SG;V.PTCP
levárono	so	levárono	biti	V	V;IND;PL;3;POS;PRS;FIN
xogamos	igral	xogar	igrati	V	V;IPFV;MASC;SG;V.PTCP
xogamos	igrala	xogar	igrati	V	V;IPFV;FEM;SG;V.PTCP
xogamos	igralo	xogar	igrati	V	V;IPFV;NEUT;SG;V.PTCP
xogamos	igraj	xogar	igraj	V	V;IPFV;IMP;SG;2;FIN
logro	dosežek	logro	dosežek	N	N;NOM;MASC;SG
logro	doseganje	logro	doseganje	N	N;NOM;NEUT;SG
estranxeira	tuje	estranxeiro	tuj	ADJ	ADJ;NOM;FEM;PL
estranxeira	tuja	estranxeiro	tuj	ADJ	ADJ;NOM;FEM;SG
estranxeira	tuji	estranxeiro	tuj	ADJ	ADJ;NOM;MASC;PL
seguranza	izvajalec	seguranza	izvajalec	N	N;NOM;MASC;SG
subtítulos	podnapisi	subtítulo	podnapis	N	N;NOM;MASC;PL
ciclo	ciklus	ciclo	ciklus	N	N;NOM;MASC;SG
ciclo	cikel	ciclo	cikel	N	N;NOM;MASC;SG
dirán	so	dir	biti	V	V;IND;PL;3;POS;PRS;FIN
dirán	povej	dir	povedati	V	V;PFV;IMP;SG;2;FIN
viaxa	potuje	viaxa	potovati	V	V;IPFV;IND;SG;3;PRS;FIN
néboa	megla	néboa	megla	N	N;NOM;FEM;SG
ducia	ducat	ducia	ducat	N	N;NOM;MASC;SG
localización	lokacija	localización	lokacija	N	N;NOM;FEM;SG
localización	lokacijo	localización	lokacija	N	N;ACC;FEM;SG
levado	vzet	levar	vzet	V	V;PFV;NFIN
cidadás	meščani	cidadán	meščan	N	N;NOM;MASC;PL
cidadás	državljane	cidadán	državljan	N	N;ACC;MASC;PL
cidadás	državljani	cidadán	državljan	N	N;NOM;MASC;PL
satisfacer	zadovolji	satisfacer	zadovolja	V	V;IPFV;IND;SG;3;PRS;FIN
pioneiros	pionirji	pioneiro	pionir	N	N;NOM;MASC;PL
esperan	čakam	esperar	čakati	V	V;IPFV;IND;SG;1;PRS;FIN
metais	kovine	metal	kovina	N	N;NOM;FEM;PL
metais	kovin	metal	kovina	N	N;NOM;FEM;PL
lixeiro	lahka	lixeiro	lahek	ADJ	ADJ;NOM;FEM;SG
acumulación	kopičenja	acumulación	kopičenje	N	N;GEN;NEUT;SG
acumulación	kopičenje	acumulación	kopičenje	N	N;NOM;NEUT;SG
manchester	manchester	manchester	manchester	N	N;NOM;MASC;SG
raíces	korenine	raíz	korenina	N	N;NOM;FEM;PL
evidentemente	očitno	evidente	očitno	ADV	ADV
tina	tine	tina	tina	N	N;NOM;MASC;SG
tina	tina	tina	tin	N	N;NOM;FEM;SG
condena	čas	condena	čas	N	N;NOM;MASC;SG
condena	časa	condena	čas	N	N;GEN;MASC;SG
fuga	okončine	fugar	okončina	N	N;NOM;FEM;PL
fuga	ud	fugar	ud	N	N;NOM;MASC;SG
fantasma	prevoz	fantasma	prevoz	N	N;NOM;MASC;SG
fantasma	kočija	fantasma	kočija	N	N;NOM;FEM;SG
fantasma	duh	fantasma	duh	N	N;NOM;MASC;SG
escapou	pobegnila	escapar	pobegniti	V	V;PFV;FEM;SG;V.PTCP
escapou	pobegnil	escapar	pobegniti	V	V;PFV;MASC;SG;V.PTCP
tumbas	grobov	tumba	grob	N	N;GEN;MASC;PL
tumbas	graves	tumba	graves	N	N;NOM;MASC;SG
tumbas	grobove	tumba	grob	N	N;ACC;MASC;PL
amada	ljubljena	amadar	ljubljen	ADJ	ADJ;NOM;FEM;SG;V.PTCP
cooperativas	zadruga	cooperativa	zadruga	N	N;NOM;FEM;SG
cooperativas	zadrug	cooperativa	zadrug	N	N;GEN;FEM;PL
cooperativas	zadruge	cooperativa	zadruga	N	N;NOM;FEM;PL
colgar	obesili	colgar	obesiti	V	V;PFV;MASC;PL;V.PTCP
colgar	obesi	colgar	obesiti	V	V;PFV;IND;SG;3;PRS;FIN
internado	bolnišnica	internado	bolnišnica	N	N;NOM;FEM;SG
internado	bolnica	internado	bolnica	N	N;NOM;FEM;SG
sabas	listi	saber	list	N	N;NOM;MASC;PL
sermón	pridigo	sermón	pridiga	N	N;ACC;FEM;SG
sermón	pridiga	sermón	pridigati	N	N;NOM;FEM;SG
barriga	trebuh	barriga	trebuh	N	N;NOM;MASC;SG
barriga	trebušček	barriga	trebušček	N	N;NOM;MASC;SG
parado	stojalo	parado	stojati	N	N;NOM;NEUT;SG
parado	stand	parado	standa	N	N;NOM;MASC;SG
esperas	čakanje	espera	čakanje	N	N;NOM;NEUT;SG
escravo	suženj	escravo	suženj	N	N;NOM;MASC;SG
escravo	sužnja	escravo	sužnja	N	N;NOM;MASC;SG
socorro	pomagaj	socorro	pomagaj	N	N;ACC;MASC;SG
socorro	pomoč	socorro	pomoč	N	N;NOM;FEM;SG
seda	svile	sedo	svila	N	N;NOM;FEM;PL
seda	svila	sedo	svila	N	N;NOM;FEM;SG
secreta	skrivnost	secreta	skrivnost	N	N;NOM;FEM;SG
ombreiro	rame	ombreiro	rame	N	N;ACC;MASC;PL
ombreiro	ramo	ombreiro	rama	N	N;ACC;FEM;SG
ombreiro	rama	ombreiro	rama	N	N;NOM;FEM;SG
ombreiro	rami	ombreiro	rama	N	N;NOM;FEM;SG
dispararon	so	disparar	biti	V	V;IND;PL;3;POS;PRS;FIN
potencia	power	potencia	power	N	N;NOM;MASC;SG
potencia	moč	potencia	moč	N	N;NOM;FEM;SG
prometo	obljubi	prometo	obljuba	V	V;PFV;IND;SG;3;PRS;FIN
planos	načrte	plano	načrt	N	N;ACC;MASC;PL
planos	načrti	plano	načrt	N	N;NOM;MASC;PL
polis	policaji	polis	policaj	N	N;NOM;MASC;PL
polis	policisti	polis	policist	N	N;NOM;MASC;PL
seguirá	bo	seguir	biti	V	V;IND;SG;3;POS;FUT;FIN
vervos	glej	vervo	gledati	V	V;IPFV;IMP;SG;2;FIN
vervos	glejte	vervo	gledati	V	V;IPFV;IMP;PL;2;FIN
vervos	si	vervo	biti	V	V;IND;SG;2;POS;PRS;FIN
ataques	napadi	ataque	napad	N	N;NOM;MASC;PL
ataques	napade	ataque	napad	N	N;ACC;MASC;SG
celosa	ljubosumen	celosar	ljubosumen	ADJ	ADJ;NOM;INDF;MASC;SG
celosa	ljubosumni	celosar	ljubosumen	ADJ	ADJ;NOM;MASC;PL
celosa	ljubosumna	celosar	ljubosumen	ADJ	ADJ;NOM;FEM;SG
escoitaches	si	escoitaches	biti	V	V;IND;SG;2;POS;PRS;FIN
escoitaches	slišal	escoitaches	slišati	V	V;MASC;SG;V.PTCP
escoitaches	slišala	escoitaches	slišati	V	V;FEM;SG;V.PTCP
vendas	prodaja	venda	prodaja	N	N;NOM;FEM;SG
vendas	prodaja	venda	prodaja	N	N;NOM;FEM;SG
levarte	si	levarte	biti	V	V;IND;SG;2;POS;PRS;FIN
levarte	vzemite	levarte	vzeti	V	V;PFV;IMP;PL;2;FIN
levarte	vzemi	levarte	vzeme	V	V;PFV;IMP;SG;2;FIN
sacaches	dobil	sacaches	dobiti	V	V;PFV;MASC;SG;V.PTCP
sacaches	dobi	sacaches	dobiti	V	V;PFV;IND;SG;3;PRS;FIN
sacaches	si	sacaches	biti	V	V;IND;SG;2;POS;PRS;FIN
xudea	judeje	xudea	judo	N	N;NOM;FEM;SG
xudea	fronta	xudea	fronta	N	N;NOM;FEM;SG
xudea	spredaj	xudea	spredaj	N	N;NOM;MASC;SG
soñando	sanjal	soñar	sanjati	V	V;IPFV;MASC;SG;V.PTCP
soñando	sanjati	soñar	sanjati	V	V;IPFV;NFIN
xastre	krojač	xastre	krojač	N	N;NOM;MASC;SG
xastre	krojači	xastre	krojač	N	N;NOM;MASC;PL
boulevard	boulevard	boulevard	boulevard	N	N;NOM;MASC;SG
autoestrada	avtocesto	autoestrada	avtocesto	N	N;ACC;FEM;SG
autoestrada	avtocesta	autoestrada	avtocesta	N	N;NOM;FEM;SG
crucifixión	križanje	crucifixión	križanje	N	N;NOM;NEUT;SG
serventa	služkinja	serventar	služkinja	N	N;NOM;FEM;SG
serventa	sobarica	serventar	sobarica	N	N;NOM;FEM;SG
melinda	melinda	melinda	melinda	N	N;NOM;FEM;SG
imperfecto	nepopolno	imperfecto	nepopoln	ADJ	ADJ;NOM;NEUT;SG
imperfecto	nepopoln	imperfecto	nepopoln	ADJ	ADJ;NOM;INDF;MASC;SG
refuxiados	begunec	refuxiado	begunec	N	N;NOM;MASC;SG
refuxiados	begunca	refuxiado	begunec	N	N;NOM;MASC;SG
refuxiados	begunci	refuxiado	begunec	N	N;NOM;MASC;PL
refuxiados	beguncev	refuxiado	begunec	N	N;GEN;MASC;PL
viñan	pridi	vir	pridi	V	V;PFV;IMP;SG;2;FIN
viñan	prišlo	vir	priti	V	V;PFV;NEUT;SG;V.PTCP
viñan	prišel	vir	priti	V	V;PFV;MASC;SG;V.PTCP
viñan	so	vir	biti	V	V;IND;PL;3;POS;PRS;FIN
levei	vzela	levar	vzeti	V	V;PFV;FEM;SG;V.PTCP
levei	vzel	levar	vzeti	V	V;PFV;MASC;SG;V.PTCP
cambian	spremeni	cambiar	spremeniti	V	V;PFV;IND;SG;3;PRS;FIN
honestidade	poštenost	honestidade	poštenost	N	N;NOM;FEM;SG
honestidade	odkritost	honestidade	odkritost	N	N;NOM;FEM;SG
honestidade	iskrenost	honestidade	iskrenost	N	N;NOM;FEM;SG
granxas	kmetije	granxa	kmetija	N	N;NOM;FEM;PL
mozart	mozart	mozart	mozart	N	N;NOM;MASC;SG
mestra	učiteljica	mestra	učiteljica	N	N;NOM;FEM;SG
mestra	učitelj	mestra	učitelj	N	N;NOM;MASC;SG
mestra	mojstrovina	mestra	mojstrovina	N	N;NOM;FEM;SG
mestra	mojstrovino	mestra	mojstrovina	N	N;ACC;FEM;SG
mestra	umetnina	mestra	umetnina	N	N;NOM;FEM;SG
occidental	zahodna	occidental	zahoden	ADJ	ADJ;NOM;FEM;SG
occidental	zahodni	occidental	zahoden	ADJ	ADJ;NOM;DEF;MASC;SG
occidental	zahodna	occidental	zahoden	ADJ	ADJ;NOM;FEM;SG
representar	zastopati	representar	zastopati	V	V;IPFV;NFIN
representar	predstavljajo	representar	predstavljati	V	V;IPFV;IND;PL;3;PRS;FIN
actuación	nastop	actuación	nastop	N	N;NOM;MASC;SG
actuación	zmogljivost	actuación	zmogljivost	N	N;NOM;FEM;SG
actuación	uspešnost	actuación	uspešnost	N	N;NOM;FEM;SG
actuación	uspešnosti	actuación	uspešnost	N	N;GEN;FEM;SG
impresionante	impresivno	impresionante	impresiven	ADJ	ADJ;NOM;NEUT;SG
encaixa	ustreza	encaixa	ustrezati	V	V;IPFV;IND;SG;3;PRS;FIN
tomaba	vzela	tomar	vzeti	V	V;PFV;FEM;SG;V.PTCP
tomaba	vzel	tomar	vzeti	V	V;PFV;MASC;SG;V.PTCP
fantasía	domišljija	fantasía	domišljija	N	N;NOM;FEM;SG
fantasía	fantazijo	fantasía	fantazija	N	N;ACC;FEM;SG
fantasía	fantazije	fantasía	fantazija	N	N;NOM;FEM;PL
fantasía	fantazija	fantasía	fantazija	N	N;NOM;FEM;SG
vicepresidente	vice	vicepresidente	vica	N	N;NOM;MASC;SG
vicepresidente	podpredsednik	vicepresidente	podpredsednik	N	N;NOM;MASC;SG
vicepresidente	predsednik	vicepresidente	predsednik	N	N;NOM;MASC;SG
vicepresidente	predsednica	vicepresidente	predsednica	N	N;NOM;FEM;SG
fase	faza	fase	faza	N	N;NOM;FEM;SG
fase	oder	fase	oder	N	N;NOM;MASC;SG
