catholicisme	katolilaisuus	catholicisme	katolilaisuus	N;MASC;SG	N;NOM;SG
philosophique	filosofinen	philosophique	filosofinen	ADJ;MASC;SG	ADJ;NOM;SG
doubs	doubs	doub	doubs	N;MASC;SG	N;NOM;SG
nazis	natsien	nazi	natsi	N;MASC;PL	N;GEN;PL
nazis	natsit	nazi	natsi	N;MASC;PL	N;NOM;PL
nazis	natseja	nazi	natsi	N;MASC;PL	N;PRT;PL
esprits	henget	esprit	henki	N;MASC;PL	N;NOM;PL
esprits	henkiä	esprit	henkiä	N;MASC;PL	N;PRT;PL
esprits	mielet	esprit	mieli	N;MASC;PL	N;NOM;PL
elisabeth	elisabeth	elisabeth	elisabeth	N;FEM;SG	N;NOM;SG
caméra	kamera	caméra	kamera	N;FEM;SG	N;NOM;SG
caméra	kameran	caméra	kamera	N;FEM;SG	N;GEN;SG
assiste	avustaa	assister	avustaa	V;IND;SG;3;PRS;FIN	V;IND;SG;FIN;ACT
régulier	tavallinen	régulier	tavallinen	ADJ;MASC;SG	ADJ;NOM;SG
régulier	säännöllinen	régulier	säännöllinen	ADJ;MASC;SG	ADJ;NOM;SG
contiennent	sisältävät	contenir	sisältää	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
mix	sekoitus	mix	sekoitus	N;MASC;SG	N;NOM;SG
grandeur	suuruusluokka	grandeur	suuruus#luokka	N;FEM;SG	N;NOM;SG
grandeur	suuruus	grandeur	suuruus	N;FEM;SG	N;NOM;SG
grandeur	suuruutta	grandeur	suuruus	N;FEM;SG	N;PRT;SG
grandeur	suuruuden	grandeur	suuruus	N;FEM;SG	N;GEN;SG
immigration	maahanmuuttoa	immigration	maahanmuutto	N;FEM;SG	N;PRT;SG
immigration	maahanmuutto	immigration	maahanmuutto	N;FEM;SG	N;NOM;SG
immigration	maahanmuuton	immigration	maahanmuutto	N;FEM;SG	N;GEN;SG
airlines	lentoyhtiöt	airline	lento#yhtiö	N;FEM;PL	N;NOM;PL
airlines	lentoyhtiöiden	airline	lento#yhtiö	N;FEM;PL	N;GEN;PL
pollution	pilaantuminen	pollution	pilaantuminen	N;FEM;SG	N;NOM;SG
pollution	pilaantumisen	pollution	pilaantuminen	N;FEM;SG	N;GEN;SG
pollution	saastuminen	pollution	saastuminen	N;FEM;SG	N;NOM;SG
hôte	juontaja	hôte	juontaja	N;MASC;SG	N;NOM;SG
hôte	isäntä	hôte	isäntä	N;MASC;SG	N;NOM;SG
hôte	järjestäjä	hôte	järjestäjä	N;MASC;SG	N;NOM;SG
revers	takaisku	revers	takaisku	N;MASC;SG	N;NOM;SG
calme	rauhallinen	calme	rauhallinen	ADJ;MASC;SG	ADJ;NOM;SG
calme	hiljainen	calme	hiljainen	ADJ;MASC;SG	ADJ;NOM;SG
organe	elin	organe	elin	N;MASC;SG	N;NOM;SG
organe	vartalo	organe	vartalo	N;MASC;SG	N;NOM;SG
organe	ruumis	organe	ruumis	N;MASC;SG	N;NOM;SG
organe	kehon	organe	keho	N;MASC;SG	N;GEN;SG
organe	keho	organe	keho	N;MASC;SG	N;NOM;SG
organe	elin	organe	elin	N;MASC;SG	N;NOM;SG
signification	merkitys	signification	merkitys	N;FEM;SG	N;NOM;SG
signification	merkitys	signification	merkitys	N;FEM;SG	N;NOM;SG
signification	merkityksen	signification	merkitys	N;FEM;SG	N;GEN;SG
signification	merkitystä	signification	merkitys	N;FEM;SG	N;PRT;SG
duel	kaksintaistelu	duel	kaksintaistelu	N;MASC;SG	N;NOM;SG
poétique	runollista	poétique	runollinen	ADJ;MASC;SG	ADJ;PRT;SG
enregistrements	levyt	enregistrement	levy	N;MASC;PL	N;NOM;PL
enregistrements	tallenteita	enregistrement	tallenne	N;MASC;PL	N;PRT;PL
épaisseur	paksuus	épaisseur	paksuus	N;FEM;SG	N;NOM;SG
heureux	hyvää	heureux	hyvä	ADJ;MASC;SG	ADJ;PRT;SG
heureux	onnellinen	heureux	onnellinen	ADJ;MASC;SG	ADJ;NOM;SG
heureux	tyytyväinen	heureux	tyytyväinen	ADJ;MASC;SG	ADJ;NOM;SG
heureux	iloinen	heureux	iloinen	ADJ;MASC;SG	ADJ;NOM;SG
entreprend	sitoutuu	entreprendre	sitoutua	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
bébé	kulta	bébé	kulta	N;MASC;SG	N;NOM;SG
bébé	vauva	bébé	vauva	N;MASC;SG	N;NOM;SG
bébé	muru	bébé	muru	N;MASC;SG	N;NOM;SG
bébé	kulta	bébé	kulta	N;MASC;SG	N;NOM;SG
entré	syötetty	entrer	syöttää	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
moments	hetket	moment	hetki	N;MASC;PL	N;NOM;PL
moments	hetkiä	moment	hetki	N;MASC;PL	N;PRT;PL
illustrateur	kuvittaja	illustrateur	kuvittaja	N;MASC;SG	N;NOM;SG
dépendant	huollettavana	dépendre	huoltaa	V;PRS;V.PTCP	V;FRML;SG;V.PTCP;PASS
diesel	diesel	diesel	diesel	N;MASC;SG	N;NOM;SG
délai	viive	délai	viive	N;MASC;SG	N;NOM;SG
délai	viivästyminen	délai	viivästyminen	N;MASC;SG	N;NOM;SG
délai	määräaika	délai	määrä#aika	N;MASC;SG	N;NOM;SG
délai	määräaikaa	délai	määrä#aika	N;MASC;SG	N;PRT;SG
délai	aikaraja	délai	aika#raja	N;MASC;SG	N;NOM;SG
délai	aikaraja	délai	aika#raja	N;MASC;SG	N;NOM;SG
solidarité	solidaarisuus	solidarité	solidaarisuus	N;FEM;SG	N;NOM;SG
solidarité	solidaarisuutta	solidarité	solidaarisuus	N;FEM;SG	N;PRT;SG
peugeot	peugeot	peugeot	peugeo	N;MASC;SG	N;NOM;SG
successifs	peräkkäisten	successif	peräkkäinen	ADJ;MASC;PL	ADJ;GEN;PL
chapeau	lakki	chapeau	lakki	N;MASC;SG	N;NOM;SG
chapeau	pipo	chapeau	pipo	N;MASC;SG	N;NOM;SG
chapeau	hattu	chapeau	hattua	N;MASC;SG	N;NOM;SG
vraisemblablement	oletettavasti	vraisemblablement	oletettavasti	ADV	ADV
uniforme	yhdenmukainen	uniforme	yhdenmukainen	ADJ;MASC;SG	ADJ;NOM;SG
serment	valan	serment	valan	N;MASC;SG	N;GEN;SG
serment	vala	serment	vala	N;MASC;SG	N;NOM;SG
libéraux	liberaalit	libéral	liberaali	N;MASC;PL	N;NOM;PL
libéraux	liberaalit	libéral	liberaali	N;MASC;PL	N;NOM;PL
éliminé	hävitettävä	éliminer	hävittää	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
edition	painos	edition	painos	N;FEM;SG	N;NOM;SG
scandale	skandaalin	scandale	skandaali	N;MASC;SG	N;GEN;SG
scandale	skandaali	scandale	skandaali	N;MASC;SG	N;NOM;SG
débarquement	purkaminen	débarquement	purkaminen	N;MASC;SG	N;NOM;SG
débarquement	laskeutuminen	débarquement	laskeutuminen	N;MASC;SG	N;NOM;SG
débarquement	lasku	débarquement	lasku	N;MASC;SG	N;NOM;SG
festivals	festivaalit	festival	festi#vaali	N;MASC;PL	N;NOM;PL
jésuites	jesuiitat	jésuite	jesuiittaa	N;MASC;PL	N;NOM;PL
échoue	epäonnistuu	échouer	epä#onnistua	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
isle	saari	isle	saari	N;FEM;SG	N;NOM;SG
alphabétique	aakkosellinen	alphabétique	aakkosellinen	ADJ;MASC;SG	ADJ;NOM;SG
juliette	juliette	juliette	julieta	N;FEM;SG	N;NOM;SG
juliette	juliet	juliette	juliet	N;FEM;SG	N;NOM;SG
attribution	nimeä	attribution	nimi	N;FEM;SG	N;PRT;SG
arrestation	pidätys	arrestation	pidätys	N;FEM;SG	N;NOM;SG
daté	päivätty	dater	päivätä	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
cristal	crystal	cristal	crystal	N;MASC;SG	N;NOM;SG
cristal	kristalli	cristal	kristalli	N;MASC;SG	N;NOM;SG
cristal	kristallin	cristal	kristalli	N;MASC;SG	N;GEN;SG
cristal	cristal	cristal	cristal	N;MASC;SG	N;NOM;SG
combinaison	yhdistelmän	combinaison	yhdistelmä	N;FEM;SG	N;GEN;SG
combinaison	yhdistelmä	combinaison	yhdistelmä	N;FEM;SG	N;NOM;SG
combinaison	combo	combinaison	combo	N;FEM;SG	N;NOM;SG
taxe	verotus	taxe	verotus	N;FEM;SG	N;NOM;SG
taxe	vero	taxe	vero	N;FEM;SG	N;NOM;SG
radar	tutkan	radar	tutka	N;MASC;SG	N;GEN;SG
radar	tutka	radar	tutka	N;MASC;SG	N;NOM;SG
jouée	pelattu	jouer	pelata	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
jouée	soitettu	jouer	soittaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
jouée	pelasi	jouer	pelata	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
jouée	pelannut	jouer	pelata	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
nominations	tapaamisia	nomination	tapaaminen	N;FEM;PL	N;PRT;PL
nominations	tapaamiset	nomination	tapaaminen	N;FEM;PL	N;NOM;PL
nominations	nimityksiä	nomination	nimitys	N;FEM;PL	N;PRT;PL
nominations	nimitykset	nomination	nimitys	N;FEM;PL	N;NOM;PL
nominations	ehdokkaat	nomination	ehdokas	N;FEM;PL	N;NOM;PL
nominations	nimitykset	nomination	nimitys	N;FEM;PL	N;NOM;PL
terminée	lopetettu	terminer	lopettaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
terminée	suoritettu	terminer	suorittaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
terminée	päättynyt	terminer	päättyä	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
terminée	päättynyt	terminer	päättyä	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
insurrection	kapina	insurrection	kapina	N;FEM;SG	N;NOM;SG
insurrection	kansannousu	insurrection	kansan#nousu	N;FEM;SG	N;NOM;SG
insurrection	kapina	insurrection	kapina	N;FEM;SG	N;NOM;SG
repas	ateria	repas	ateria	N;MASC;SG	N;NOM;SG
repas	aterian	repas	ateria	N;MASC;SG	N;GEN;SG
éthique	eettinen	éthique	eettinen	ADJ;MASC;SG	ADJ;NOM;SG
éthique	eettistä	éthique	eettinen	ADJ;MASC;SG	ADJ;PRT;SG
éthique	eettinen	éthique	eettinen	ADJ;MASC;SG	ADJ;NOM;SG
bâti	rakensi	bâtir	rakentaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
bâti	rakennettu	bâtir	rakentaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
luxe	deluxe	luxe	deluxe	N;MASC;SG	N;NOM;SG
luxe	ylellisyyttä	luxe	ylellisyys	N;MASC;SG	N;PRT;SG
estimée	arvioitu	estimer	arvioida	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
maîtresse	rakastajatar	maîtresse	rakastajatar	N;FEM;SG	N;NOM;SG
maîtresse	emäntä	maîtresse	emäntä	N;FEM;SG	N;NOM;SG
maîtresse	valtiatar	maîtresse	valtiatar	N;FEM;SG	N;NOM;SG
grenade	granaattiomena	grenade	granaatti#omena	N;FEM;SG	N;NOM;SG
grenade	granada	grenade	granada	N;FEM;SG	N;NOM;SG
grenade	kranaatti	grenade	kranaatti	N;FEM;SG	N;NOM;SG
mail	mail	mail	mail	N;MASC;SG	N;NOM;SG
mail	postia	mail	posti	N;MASC;SG	N;PRT;SG
mail	posti	mail	posti	N;MASC;SG	N;NOM;SG
mail	sähköposti	mail	sähkö#posti	N;MASC;SG	N;NOM;SG
compositeurs	säveltäjien	compositeur	säveltäjä	N;MASC;PL	N;GEN;PL
artisans	käsityöläisten	artisan	käsi#työläinen	N;MASC;PL	N;GEN;PL
artisans	käsityöläiset	artisan	käsi#työläinen	N;MASC;PL	N;NOM;PL
strictement	tiukasti	strictement	tiukasti	ADV	ADV
tâches	tehtäviä	tâche	tehtävä	N;FEM;PL	N;PRT;PL
tâches	tehtävien	tâche	tehtävä	N;FEM;PL	N;GEN;PL
tâches	tehtävät	tâche	tehtävä	N;FEM;PL	N;NOM;PL
impératrice	keisarinna	empereur	keisarinta	N;FEM;SG	N;NOM;SG
impératrice	valtiatar	empereur	valtiatar	N;FEM;SG	N;NOM;SG
soccer	jalkapallo	soccer	jalka#pallo	N;MASC;SG	N;NOM;SG
soccer	jalkapalloa	soccer	jalka#pallo	N;MASC;SG	N;PRT;SG
ressort	kevättä	ressort	kevät	N;MASC;SG	N;PRT;SG
ressort	kevään	ressort	kevät	N;MASC;SG	N;GEN;SG
ressort	kevät	ressort	kevät	N;MASC;SG	N;NOM;SG
marquer	merkkaa	marquer	merkka	V;NFIN	V;IMP;SG;2;FIN;ACT
marquer	merkitse	marquer	merkitä	V;NFIN	V;IMP;SG;2;FIN;ACT
chartres	chartresin	chartre	chartres	N;MASC;SG	N;GEN;SG
décoré	sisustettu	décorer	sisustaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
humides	märät	humide	märkä	ADJ;MASC;PL	ADJ;NOM;PL
contraintes	rajoitteet	contrainte	rajoite	N;FEM;PL	N;NOM;PL
détective	etsivä	détective	etsivä	N;MASC;SG	N;NOM;SG
conçue	suunniteltiin	concevoir	suunnitella	V;FEM;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
conçue	suunniteltu	concevoir	suunnitella	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
pole	tanko	pole	tanko	N;MASC;SG	N;NOM;SG
pole	pole	pole	pole	N;MASC;SG	N;NOM;SG
mondes	maailmojen	monde	maailma	N;MASC;PL	N;GEN;PL
mondes	maailmoja	monde	maailma	N;MASC;PL	N;PRT;PL
wurtemberg	württemberg	wurtemberg	württemberg	N;MASC;SG	N;NOM;SG
barbe	parta	barbe	parta	N;FEM;SG	N;NOM;SG
barbe	partaa	barbe	partaa	N;FEM;SG	N;PRT;SG
barbe	parran	barbe	parran	N;FEM;SG	N;GEN;SG
prouver	todistaa	prouver	todistaa	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
prouver	todista	prouver	todistaa	V;NFIN	V;IMP;SG;2;FIN;ACT
prouver	todistaa	prouver	todistaa	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
dette	velka	dette	velka	N;FEM;SG	N;NOM;SG
dette	velan	dette	velka	N;FEM;SG	N;GEN;SG
bibliothèques	kirjastot	bibliothèque	kirjasto	N;FEM;PL	N;NOM;PL
bibliothèques	kirjastojen	bibliothèque	kirjasto	N;FEM;PL	N;GEN;PL
dessert	jälkiruoka	dessert	jälki#ruoka	N;MASC;SG	N;NOM;SG
expert	asiantuntijaa	expert	asian#tuntija	N;MASC;SG	N;PRT;SG
expert	asiantuntija	expert	asian#tuntija	N;MASC;SG	N;NOM;SG
expert	asiantuntijan	expert	asian#tuntija	N;MASC;SG	N;GEN;SG
normand	normand	normand	normand	N;MASC;SG	N;NOM;SG
normand	norman	normand	norma	N;MASC;SG	N;NOM;SG
lourde	raskasta	lourd	raskas	ADJ;FEM;SG	ADJ;PRT;SG
lourde	painava	lourd	painava	ADJ;FEM;SG	ADJ;NOM;SG
lourde	raskas	lourd	raskas	ADJ;FEM;SG	ADJ;NOM;SG
renard	renard	renard	renard	N;MASC;SG	N;NOM;SG
renard	kettu	renard	kettu	N;MASC;SG	N;NOM;SG
esclavage	orjuus	esclavage	orjuus	N;MASC;SG	N;NOM;SG
esclavage	orjuuden	esclavage	orjuus	N;MASC;SG	N;GEN;SG
esclavage	orjuudesta	esclavage	orjuus	N;MASC;SG	N;IN+ABL;SG
video	videon	video	video	N;FEM;SG	N;GEN;SG
video	videossa	video	video	N;FEM;SG	N;IN+ESS;SG
video	videota	video	video	N;FEM;SG	N;PRT;SG
video	video	video	video	N;FEM;SG	N;NOM;SG
magnétique	magneettinen	magnétique	magneettinen	ADJ;MASC;SG	ADJ;NOM;SG
mississippi	mississippi	mississippi	missi#ssippi	N;MASC;SG	N;NOM;SG
collègues	kollegat	collègue	kollega	N;MASC;PL	N;NOM;PL
attire	houkuttelee	attirer	houkutella	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
attire	houkutella	attirer	houkutella	V;IND;SG;3;PRS;FIN	V;SG;NFIN;ACT
graines	siemeniä	graine	siemen	N;FEM;PL	N;PRT;PL
graines	siemenet	graine	siemen	N;FEM;PL	N;NOM;PL
graines	siemeniä	graine	siemen	N;FEM;PL	N;PRT;PL
graines	siemenet	graine	siemen	N;FEM;PL	N;NOM;PL
graines	siementen	graine	siemen	N;FEM;PL	N;GEN;PL
rébellion	kapina	rébellion	kapina	N;FEM;SG	N;NOM;SG
rébellion	kapinan	rébellion	kapina	N;FEM;SG	N;GEN;SG
rébellion	kapinaa	rébellion	kapina	N;FEM;SG	N;PRT;SG
percussions	lyömäsoittimet	percussion	lyömäsoitin	N;FEM;PL	N;NOM;PL
fixé	korjattu	fixer	korjata	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
tueur	murhaaja	tueur	murhaaja	N;MASC;SG	N;NOM;SG
tueur	tappaja	tueur	tappaja	N;MASC;SG	N;NOM;SG
envoyés	lähetetyt	envoyer	lähettää	V;MASC;PL;PST;V.PTCP	V;NOM;PL;V.PTCP;PASS
galeries	gallerioita	galerie	gallerio	N;FEM;PL	N;PRT;PL
apparente	ilmeistä	apparenter	ilmeinen	ADJ;FEM;SG	ADJ;PRT;SG
apparente	ilmeinen	apparenter	ilmeinen	ADJ;FEM;SG	ADJ;NOM;SG
évident	ilmiselvä	évident	ilmi#selvä	ADJ;MASC;SG	ADJ;NOM;SG
évident	ilmeinen	évident	ilmeinen	ADJ;MASC;SG	ADJ;NOM;SG
évident	ilmeistä	évident	ilmeinen	ADJ;MASC;SG	ADJ;PRT;SG
évident	ilmeistä	évident	ilmeinen	ADJ;MASC;SG	ADJ;PRT;SG
évident	ilmeinen	évident	ilmeinen	ADJ;MASC;SG	ADJ;NOM;SG
coûts	kustannukset	coût	kustannus	N;MASC;PL	N;NOM;PL
coûts	kulut	coût	kulu	N;MASC;PL	N;NOM;PL
coûts	kustannukset	coût	kustannus	N;MASC;PL	N;NOM;PL
coûts	kulut	coût	kulu	N;MASC;PL	N;NOM;PL
munitions	ammuksia	munition	ammus	N;FEM;PL	N;PRT;PL
munitions	ammukset	munition	ammus	N;FEM;PL	N;NOM;PL
munitions	ammuksia	munition	ammus	N;FEM;PL	N;PRT;PL
munitions	ammukset	munition	ammus	N;FEM;PL	N;NOM;PL
divine	jumalainen	divin	jumalainen	ADJ;FEM;SG	ADJ;NOM;SG
divine	jumalallinen	divin	jumalallinen	ADJ;FEM;SG	ADJ;NOM;SG
observe	tarkkailla	observer	tarkkailla	V;IND;SG;3;PRS;FIN	V;SG;NFIN;ACT
bouddhisme	buddhalaisuus	bouddhisme	buddhalaisuus	N;MASC;SG	N;NOM;SG
présentés	esiteltiin	présenter	esitellä	V;MASC;PL;PST;V.PTCP	V;IND;PST;FIN;PASS
aidé	auttoi	aider	auttaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
aidé	auttanut	aider	auttaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
aidé	auttoi	aider	auttaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
aidé	tuettu	aider	tukea	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
concepts	käsitteet	concept	käsite	N;MASC;PL	N;NOM;PL
concepts	käsitteitä	concept	käsite	N;MASC;PL	N;PRT;PL
harmonie	harmony	harmonie	harmoa	N;FEM;SG	N;NOM;SG
révélé	paljastanut	révéler	paljastaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
révélé	paljasti	révéler	paljastaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
révélé	paljastunut	révéler	paljastua	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
révélé	paljastui	révéler	paljastua	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
renseignements	tiedot	renseignement	tieto	N;MASC;PL	N;NOM;PL
renseignements	tietoja	renseignement	tieto	N;MASC;PL	N;PRT;PL
acheté	hankittu	acheter	hankkia	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
acheté	osti	acheter	ostaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
acheté	ostettu	acheter	ostaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
acheté	osti	acheter	ostaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
acheté	ostettu	acheter	ostaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
coupé	leikkaa	couper	leikata	V;MASC;SG;PST;V.PTCP	V;IMP;SG;2;FIN;ACT
coupé	leikata	couper	leikata	V;MASC;SG;PST;V.PTCP	V;SG;NFIN;ACT
législation	lainsäädäntöä	législation	lain#säädäntö	N;FEM;SG	N;PRT;SG
législation	lainsäädännön	législation	lain#säädäntö	N;FEM;SG	N;GEN;SG
législation	lainsäädäntö	législation	lain#säädäntö	N;FEM;SG	N;NOM;SG
immeubles	rakennusten	immeuble	rakennus	N;MASC;PL	N;GEN;PL
immeubles	kiinteistöt	immeuble	kiinteistö	N;MASC;PL	N;NOM;PL
immeubles	rakennukset	immeuble	rakennus	N;MASC;PL	N;NOM;PL
immeubles	rakennuksia	immeuble	rakennus	N;MASC;PL	N;PRT;PL
localement	paikallisesti	localement	paikallisesti	ADV	ADV
cerf	hirvi	cerf	hirvi	N;MASC;SG	N;NOM;SG
cerf	peura	cerf	peura	N;MASC;SG	N;NOM;SG
cerf	hirvi	cerf	hirvi	N;MASC;SG	N;NOM;SG
cerf	peuran	cerf	peura	N;MASC;SG	N;GEN;SG
courtes	lyhyet	court	lyhyt	ADJ;FEM;PL	ADJ;NOM;PL
révolutionnaires	vallankumouksellisia	révolutionnaire	vallan#kumouksellinen	ADJ;MASC;PL	ADJ;PRT;PL
oblige	velvoittaa	obliger	velvoittaa	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
proportion	osuus	proportion	osuus	N;FEM;SG	N;NOM;SG
palatinat	pfalzin	palatinat	pfalz	N;MASC;SG	N;GEN;SG
noces	häät	noce	häät	N;FEM;PL	N;NOM;PL
noces	häitä	noce	häät	N;FEM;PL	N;PRT;PL
poméranie	pomeranian	poméranie	pomerania	N;FEM;SG	N;GEN;SG
câble	kaapelin	câble	kaapeli	N;MASC;SG	N;GEN;SG
câble	kaapeli	câble	kaapeli	N;MASC;SG	N;NOM;SG
mers	meret	mer	meri	N;FEM;PL	N;NOM;PL
canaux	kanavia	canal	kanava	N;MASC;PL	N;PRT;PL
canaux	kanavien	canal	kanava	N;MASC;PL	N;GEN;PL
canaux	kanavat	canal	kanava	N;MASC;PL	N;NOM;PL
canaux	kanavat	canal	kanava	N;MASC;PL	N;NOM;PL
figaro	figaro	figaro	figaro	N;MASC;SG	N;NOM;SG
exercer	harjoittelee	exercer	harjoitella	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
brièvement	lyhyesti	brièvement	lyhyesti	ADV	ADV
irlandaise	irlantilainen	irlandais	irlantilainen	ADJ;FEM;SG	ADJ;NOM;SG
boucle	lenkki	boucle	lenkki	N;FEM;SG	N;NOM;SG
produisent	tuottavat	produire	tuottaa	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
escadre	laivue	escadre	laivue	N;FEM;SG	N;NOM;SG
escadre	siipi	escadre	siipi	N;FEM;SG	N;NOM;SG
escadre	siiven	escadre	siivi	N;FEM;SG	N;GEN;SG
maçonnerie	muuraus	maçonnerie	muuraus	N;FEM;SG	N;NOM;SG
correctement	asianmukaisesti	correctement	asian#mukaisesti	ADV	ADV
coordination	yhteensovittaminen	coordination	yhteen#sovittaminen	N;FEM;SG	N;NOM;SG
coordination	koordinaatiota	coordination	koordinaatio	N;FEM;SG	N;PRT;SG
coordination	koordinointi	coordination	koordinointi	N;FEM;SG	N;NOM;SG
coordination	yhteensovittaminen	coordination	yhteen#sovittaminen	N;FEM;SG	N;NOM;SG
coordination	koordinointi	coordination	koordinointi	N;FEM;SG	N;NOM;SG
coordination	yhteensovittamisesta	coordination	yhteen#sovittaminen	N;FEM;SG	N;IN+ABL;SG
talents	kykyjä	talent	kyky	N;MASC;PL	N;PRT;PL
diplomatique	diplomaattinen	diplomatique	diplomaattinen	ADJ;MASC;SG	ADJ;NOM;SG
doux	makea	doux	makea	ADJ;MASC;SG	ADJ;NOM;SG
doux	makeaa	doux	makea	ADJ;MASC;SG	ADJ;PRT;SG
doux	suloinen	doux	suloinen	ADJ;MASC;SG	ADJ;NOM;SG
doux	lempeä	doux	lempi	ADJ;MASC;SG	ADJ;NOM;SG
