dan	ja	dan	ja	CONJ	CONJ
besar	hienoa	besar	hieno	ADJ;SG	ADJ;PRT;SG
film	elokuvan	film	elo#kuva	N;SG	N;GEN;SG
film	elokuva	film	elo#kuva	N;SG	N;NOM;SG
film	leffa	film	leffa	N;SG	N;NOM;SG
film	elokuva	film	elo#kuva	N;SG	N;NOM;SG
film	kalvo	film	kalvo	N;SG	N;NOM;SG
film	filmi	film	filmi	N;SG	N;NOM;SG
kelas	luokan	kelas	luokka	N;SG	N;GEN;SG
kelas	luokka	kelas	luokka	N;SG	N;NOM;SG
kecamatan	piiri	kecamatan	piiri	N;SG	N;NOM;SG
kecamatan	piirikunta	kecamatan	piiri#kunta	N;SG	N;NOM;SG
salah	vikaa	salah	vika	N;SG	N;PRT;SG
negara	maa	negara	maa	N;SG	N;NOM;SG
negara	valtio	negara	valtio	N;SG	N;NOM;SG
negara	maata	negara	maa	N;SG	N;PRT;SG
negara	maan	negara	maa	N;SG	N;GEN;SG
negara	osavaltio	negara	osa#valtio	N;SG	N;NOM;SG
negara	valtion	negara	valtio	N;SG	N;GEN;SG
negara	valtio	negara	valtio	N;SG	N;NOM;SG
biasanya	yleensä	biasanya	yleensä	ADV	ADV
biasanya	tavallisesti	biasanya	tavallisesti	ADV	ADV
biasanya	tyypillisesti	biasanya	tyypillisesti	ADV	ADV
biasanya	tavallisesti	biasanya	tavallisesti	ADV	ADV
biasanya	yleensä	biasanya	yleensä	ADV	ADV
biasanya	normaalisti	biasanya	normaalisti	ADV	ADV
biasanya	tavallisesti	biasanya	tavallisesti	ADV	ADV
kemudian	sitten	kemudian	sitten	ADV	ADV
kemudian	myöhemmin	kemudian	myöhemmin	ADV	ADV
banyak	paljon	banyak	paljon	ADV	ADV
banyak	paljo	banyak	paljon	ADV	ADV
kabupaten	regency	kabupaten	regency	N;SG	N;NOM;SG
kabupaten	lääni	kabupaten	lääni	N;SG	N;NOM;SG
kabupaten	piirikunnan	kabupaten	piiri#kunta	N;SG	N;GEN;SG
kabupaten	piirikunta	kabupaten	piiri#kunta	N;SG	N;NOM;SG
kabupaten	piiri	kabupaten	piiri	N;SG	N;NOM;SG
kabupaten	piirikunta	kabupaten	piiri#kunta	N;SG	N;NOM;SG
kumbang	leppäkerttu	kumbang	leppä#kerttu	N	N;NOM;SG
kumbang	kuoriainen	kumbang	kuoriainen	N	N;NOM;SG
lalat	kärpänen	lalat	kärpänen	N;SG	N;NOM;SG
genus	suku	genus	suku	N	N;NOM;SG
genus	sukuun	genus	suku	N	N;IN+ALL;SG
ordo	ordo	ordo	ordo	N	N;NOM;SG
isi	sisältö	isi	sisältö	N;SG	N;NOM;SG
isi	sisältöä	isi	sisältö	N;SG	N;PRT;SG
isi	sisältö	isi	sisältö	N;SG	N;NOM;SG
daftar	lista	daftar	lista	N;SG	N;NOM;SG
daftar	luettelo	daftar	luettelo	N;SG	N;NOM;SG
daftar	listan	daftar	lista	N;SG	N;GEN;SG
daftar	listaa	daftar	lista	N;SG	N;PRT;SG
daftar	luetteloon	daftar	luettelo	N;SG	N;IN+ALL;SG
baru	uusi	baru	uusi	ADJ;SG	ADJ;NOM;SG
baru	uutta	baru	uusi	ADJ;SG	ADJ;PRT;SG
barat	lännessä	barat	länsi	N;SG	N;IN+ESS;SG
barat	länsi	barat	länteä	N;SG	N;NOM;SG
barat	länsi	barat	länteä	N;SG	N;NOM;SG
wilayah	alue	wilayah	alue	N;SG	N;NOM;SG
wilayah	alue	wilayah	alue	N;SG	N;NOM;SG
wilayah	alueen	wilayah	alue	N;SG	N;GEN;SG
tanggal	päivämäärä	tanggal	päivä#määrä	N;SG;ACT	N;NOM;SG
tanggal	päiväys	tanggal	päiväys	N;SG;ACT	N;NOM;SG
dunia	maailmassa	dunia	maailma	N;SG	N;IN+ESS;SG
dunia	maailma	dunia	maailma	N;SG	N;NOM;SG
dunia	maailmaa	dunia	maailma	N;SG	N;PRT;SG
dunia	maailman	dunia	maailma	N;SG	N;GEN;SG
dunia	maailmaan	dunia	maailma	N;SG	N;IN+ALL;SG
timur	itä	timur	itä	N;SG	N;NOM;SG
timur	itään	timur	itä	N;SG	N;IN+ALL;SG
timur	itä	timur	itä	N;SG	N;NOM;SG
tempat	paikassa	tempat	paikka	N;SG	N;IN+ESS;SG
tempat	paikka	tempat	paikka	N;SG	N;NOM;SG
dua	kaksi	dua	kaksi	NUM	NUM;NOM;SG
dua	kaks	dua	kaksi	NUM	NUM;NOM;SG
selatan	etelä	selatan	etelä	N;SG	N;NOM;SG
selatan	etelän	selatan	etelä	N;SG	N;GEN;SG
selatan	etelä	selatan	etelä	N;SG	N;NOM;SG
selatan	etelään	selatan	etelä	N;SG	N;IN+ALL;SG
september	syys	september	syys	N;SG	N;NOM;SG
september	syyskuuta	september	syyskuu	N;SG	N;PRT;SG
september	syyskuu	september	syyskuu	N;SG	N;NOM;SG
anak	poika	anak	poika	N;SG	N;NOM;SG
anak	lasta	anak	lapsi	N;SG	N;PRT;SG
anak	lapsen	anak	lapsi	N;SG	N;GEN;SG
anak	lapsi	anak	lapsi	N;SG	N;NOM;SG
species	laji	species	laji	N	N;NOM;SG
species	lajit	species	laji	N	N;NOM;PL
species	lajien	species	laji	N	N;GEN;PL
hidup	elämää	hidup	elämä	N;SG	N;PRT;SG
hidup	elämän	hidup	elämä	N;SG	N;GEN;SG
hidup	elämä	hidup	elämä	N;SG	N;NOM;SG
lagu	biisi	lagu	biisi	N;SG	N;NOM;SG
lagu	laulua	lagu	laulu	N;SG	N;PRT;SG
lagu	laulu	lagu	laulu	N;SG	N;NOM;SG
lagu	kappale	lagu	kappale	N;SG	N;NOM;SG
daerah	piiri	daerah	piiri	N;SG	N;NOM;SG
daerah	piirikunta	daerah	piiri#kunta	N;SG	N;NOM;SG
daerah	alue	daerah	alue	N;SG	N;NOM;SG
daerah	alue	daerah	alue	N;SG	N;NOM;SG
daerah	alueen	daerah	alue	N;SG	N;GEN;SG
daerah	lääni	daerah	lääni	N;SG	N;NOM;SG
daerah	piirikunnan	daerah	piiri#kunta	N;SG	N;GEN;SG
daerah	piirikunta	daerah	piiri#kunta	N;SG	N;NOM;SG
daerah	jakso	daerah	jaksaa	N;SG	N;NOM;SG
daerah	pääluokka	daerah	pää#luokka	N;SG	N;NOM;SG
sekolah	koulussa	sekolah	koulu	N;SG	N;IN+ESS;SG
sekolah	koulun	sekolah	koulu	N;SG	N;GEN;SG
sekolah	koulu	sekolah	koulu	N;SG	N;NOM;SG
sekolah	koulua	sekolah	koulu	N;SG	N;PRT;SG
sekolah	school	sekolah	school	N;SG	N;NOM;SG
hanya	ainoastaan	hanya	ainoastaan	ADV	ADV
hanya	vain	hanya	vain	ADV	ADV
hanya	vain	hanya	vain	ADV	ADV
air	vettä	air	vesi	N;SG	N;PRT;SG
air	vesi	air	vesi	N;SG	N;NOM;SG
air	ilma	air	ilma	N;SG	N;NOM;SG
air	ilmaa	air	ilma	N;SG	N;PRT;SG
hari	päivä	hari	päivä	N;SG	N;NOM;SG
hari	päivän	hari	päivä	N;SG	N;GEN;SG
hari	päivää	hari	päivä	N;SG	N;PRT;SG
hari	days	hari	days	N;SG	N;NOM;SG
digunakan	käytetty	digunakan	käyttää	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
kali	kali	kali	kali	N;SG	N;NOM;SG
kali	aika	kali	aika	N;SG	N;NOM;SG
kali	ajan	kali	aika	N;SG	N;GEN;SG
kali	aikaa	kali	aika	N;SG	N;PRT;SG
kali	kertaa	kali	kerta	N;SG	N;PRT;SG
ketika	kun	ketika	kun	CONJ	CONJ
sangat	hyvin	sangat	hyvin	ADV	ADV
sangat	erittäin	sangat	erittäin	ADV	ADV
sangat	voimakkaasti	sangat	voimakkaasti	ADV	ADV
sangat	vahvasti	sangat	vahvasti	ADV	ADV
sangat	erittäin	sangat	erittäin	ADV	ADV
album	albumi	album	albumi	N;SG	N;NOM;SG
album	levyn	album	levy	N;SG	N;GEN;SG
album	levy	album	levy	N;SG	N;NOM;SG
album	albumin	album	albumi	N;SG	N;GEN;SG
album	albumia	album	albumi	N;SG	N;PRT;SG
hal	tavaraa	hal	tavara	N;SG	N;PRT;SG
hal	meininkiä	hal	meininki	N;SG	N;PRT;SG
hal	halin	hal	hali	N;SG	N;NOM;SG
panjang	pitkä	panjang	pitkä	ADJ;SG	ADJ;NOM;SG
anggota	jäsen	anggota	jäsen	N;SG	N;NOM;SG
anggota	jäsenen	anggota	jäsen	N;SG	N;GEN;SG
menggunakan	käyttää	mengunakan	käyttää	V;SG;ACT	V;IND;SG;PRS;FIN;ACT
menggunakan	käyttäen	mengunakan	käyttää	V;SG;ACT	V;INS;SG;NFIN;ACT
menggunakan	käyttämällä	mengunakan	käyttää	V;SG;ACT	V;AT+ESS
;SG;NFIN;ACT
menggunakan	käyttää	mengunakan	käyttää	V;SG;ACT	V;IND;SG;PRS;FIN;ACT
menggunakan	käytä	mengunakan	käyttää	V;SG;ACT	V;IMP;SG;2;FIN;ACT
menggunakan	käyttää	mengunakan	käyttää	V;SG;ACT	V;IND;SG;PRS;FIN;ACT
utama	pääasiallinen	utama	pää#asiallinen	ADJ;SG	ADJ;NOM;SG
utama	ensisijainen	utama	ensisijainen	ADJ;SG	ADJ;NOM;SG
disebut	mainittu	disebut	mainita	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
disebut	mainittiin	disebut	mainita	V;SG;PASS	V;IND;PST;FIN;PASS
disebut	kutsuttu	disebut	kutsua	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
kembali	palaa	kembali	palata	V;SG;ACT	V;IMP;SG;2;FIN;ACT
kembali	palauta	kembali	palauttaa	V;SG;ACT	V;IMP;SG;2;FIN;ACT
kembali	palata	kembali	palata	V;SG;ACT	V;SG;NFIN;ACT
sudah	jo	sudah	jo	ADV;SG;ACT	ADV
menyebabkan	aiheuttaa	mensebabkan	aiheuttaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menyebabkan	aiheuttaa	mensebabkan	aiheuttaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
menyebabkan	aiheuttaa	mensebabkan	aiheuttaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
masih	vielä	masih	vielä	ADV	ADV
masih	vieläkin	masih	vieläkin	ADV	ADV
masih	edelleen	masih	edelleen	ADV	ADV
masih	yhä	masih	yhä	ADV	ADV
lihat	katso	lihat	katsoa	V;SG;ACT	V;IMP;SG;2;FIN;ACT
lihat	katso	lihat	katsoa	V;SG;ACT	V;IMP;SG;2;FIN;ACT
lihat	näytä	lihat	näyttää	V;SG;ACT	V;IMP;SG;2;FIN;ACT
tinggi	korkea	tinggi	korkea	ADJ;SG	ADJ;NOM;SG
tinggi	korkealla	tinggi	korkea	ADJ;SG	ADJ;AT+ESS
;SG
waktu	aika	waktu	aika	N;SG	N;NOM;SG
waktu	ajan	waktu	aika	N;SG	N;GEN;SG
waktu	aikaa	waktu	aika	N;SG	N;PRT;SG
jenis	tyyppi	jenis	tyyppi	N;SG	N;NOM;SG
jakarta	jakarta	jakarta	jakartaa	N;SG	N;NOM;SG
bulan	kuuta	bulan	kuu	N;SG	N;PRT;SG
bulan	kuu	bulan	kuu	N;SG	N;NOM;SG
bulan	kuun	bulan	kuu	N;SG	N;GEN;SG
bulan	kuukautta	bulan	kuu#kausi	N;SG	N;PRT;SG
bulan	kuukaudessa	bulan	kuu#kausi	N;SG	N;IN+ESS;SG
bulan	kuukausi	bulan	kuu#kausi	N;SG	N;NOM;SG
bulan	kuukauden	bulan	kuu#kausi	N;SG	N;GEN;SG
bulan	kuukautta	bulan	kuu#kausi	N;SG	N;PRT;SG
departemen	osasto	departemen	osasto	N;SG	N;NOM;SG
situs	sivuston	situs	sivusto	N;SG	N;GEN;SG
situs	sivusto	situs	sivusto	N;SG	N;NOM;SG
dikenal	tunnustettu	dikenal	tunnustaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
dikenal	tunnustettu	dikenal	tunnustaa	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
dikenal	tunnetaan	dikenal	tuntea	V;SG;PASS	V;IND;PRS;FIN;PASS
laba	voittoa	laba	voitto	N;SG	N;PRT;SG
laba	voitto	laba	voitto	N;SG	N;NOM;SG
laba	tuotto	laba	tuotto	N;SG	N;NOM;SG
laba	hämähäkin	laba	hämähä	N;SG	N;GEN;SG
laba	hämähäkki	laba	hämähäkki	N;SG	N;NOM;SG
membuat	luoda	menbuat	luoda	V;SG;ACT	V;SG;NFIN;ACT
membuat	luoda	menbuat	luoda	V;SG;ACT	V;SG;NFIN;ACT
membuat	tee	menbuat	tehdä	V;SG;ACT	V;IMP;SG;2;FIN;ACT
membuat	tehdä	menbuat	tehdä	V;SG;ACT	V;SG;NFIN;ACT
mulai	aloita	mulai	ala	V;SG;ACT	V;IMP;SG;2;FIN;ACT
mulai	alkaa	mulai	alkaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
mulai	aloittaa	mulai	aloittaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
mulai	aloita	mulai	ala	V;SG;ACT	V;IMP;SG;2;FIN;ACT
mulai	alkaa	mulai	alkaa	V;SG;ACT	V;IND;SG;3;PRS;FIN;ACT
resmi	virallinen	resmi	virallinen	ADJ;SG	ADJ;NOM;SG
database	tietokannat	database	tieto#kanta	N	N;NOM;PL
database	tietokantojen	database	tieto#kanta	N	N;GEN;PL
database	tietokantoja	database	tieto#kanta	N	N;PRT;PL
database	tietokantoihin	database	tieto#kanta	N	N;IN+ALL;PL
database	tietokannat	database	tieto#kanta	N	N;NOM;PL
database	tietokanta	database	tieto#kanta	N	N;NOM;SG
database	tietokannan	database	tieto#kanta	N	N;GEN;SG
udara	aerial	udara	aerial	N;SG	N;NOM;SG
udara	antenni	udara	antenni	N;SG	N;NOM;SG
udara	ilma	udara	ilma	N;SG	N;NOM;SG
udara	ilmaa	udara	ilma	N;SG	N;PRT;SG
nasional	kansallinen	nasional	kansallinen	ADJ;SG	ADJ;NOM;SG
nasional	valtakunnallinen	nasional	valta#kunnallinen	ADJ;SG	ADJ;NOM;SG
sekarang	nyt	sekarang	nyt	ADV	ADV
perang	sodankäynnin	perang	sodan#käynti	N;SG	N;GEN;SG
perang	sodankäyntiä	perang	sodan#käynti	N;SG	N;PRT;SG
perang	sodan	perang	sota	N;SG	N;GEN;SG
perang	sotaa	perang	sota	N;SG	N;PRT;SG
perang	sota	perang	sota	N;SG	N;NOM;SG
pulau	island	pulau	island	N;SG	N;NOM;SG
pulau	saarelle	pulau	saari	N;SG	N;AT+ALL;SG
pulau	saari	pulau	saari	N;SG	N;NOM;SG
rumah	kotiin	rumah	koti	N;SG	N;IN+ALL;SG
rumah	kodin	rumah	koti	N;SG	N;GEN;SG
rumah	koti	rumah	koti	N;SG	N;NOM;SG
rumah	house	rumah	house	N;SG	N;NOM;SG
rumah	talo	rumah	talo	N;SG	N;NOM;SG
rumah	talon	rumah	talo	N;SG	N;GEN;SG
pendidikan	koulutus	pendidikan	koulutus	N;SG	N;NOM;SG
laut	meren	laut	meri	N;SG	N;GEN;SG
laut	merijalkaväki	laut	meri#jalka#väki	N;SG	N;NOM;SG
laut	sotilas	laut	sotilas	N;SG	N;NOM;SG
laut	meri	laut	meri	N;SG	N;NOM;SG
laut	meri	laut	meri	N;SG	N;NOM;SG
laut	valtameri	laut	valta#meri	N;SG	N;NOM;SG
tim	timin	tim	timi	N;SG	N;GEN;SG
tim	tiimi	tim	tiimi	N;SG	N;NOM;SG
tim	ryhmä	tim	ryhmä	N;SG	N;NOM;SG
tim	joukkue	tim	joukkue	N;SG	N;NOM;SG
sistem	järjestelmän	sistem	järjestelmä	N;SG	N;GEN;SG
sistem	systeemi	sistem	systeemi	N;SG	N;NOM;SG
sistem	järjestelmä	sistem	järjestelmä	N;SG	N;NOM;SG
komune	kommuuni	komune	kommu	N	N;NOM;SG
komune	kunta	komune	kunta	N	N;NOM;SG
komune	kunnat	komune	kunta	N	N;NOM;PL
komune	kuntaa	komune	kunta	N	N;PRT;SG
termasuk	sisällytetty	termasuk	sisällyttää	V	V;NOM;SG;V.PTCP;PASS
termasuk	sisältyy	termasuk	sisältyä	V	V;IND;SG;3;PRS;FIN;ACT
termasuk	sisältää	termasuk	sisältää	V	V;IND;SG;3;PRS;FIN;ACT
larva	toukkia	larva	toukkia	N	N;PRT;PL
larva	toukka	larva	toukka	N	N;NOM;SG
batang	baariin	batang	baari	N;SG	N;IN+ALL;SG
batang	baarissa	batang	baari	N;SG	N;IN+ESS;SG
batang	baari	batang	baari	N;SG	N;NOM;SG
batang	baarin	batang	baari	N;SG	N;GEN;SG
sendiri	oman	sendiri	oma	ADJ;SG	ADJ;GEN;SG
sendiri	oma	sendiri	oma	ADJ;SG	ADJ;NOM;SG
matahari	aurinkoa	matahari	aurinko	N;SG	N;PRT;SG
matahari	auringon	matahari	aurinko	N;SG	N;GEN;SG
matahari	aurinko	matahari	aurinko	N;SG	N;NOM;SG
presiden	puhemies	presiden	puhe#mies	N;SG	N;NOM;SG
presiden	presidentti	presiden	presidentti	N;SG	N;NOM;SG
presiden	puheenjohtaja	presiden	puheen#johtaja	N;SG	N;NOM;SG
masyarakat	yhteisön	masyarakat	yhteisö	N;SG	N;GEN;SG
masyarakat	yhteisö	masyarakat	yhteisö	N;SG	N;NOM;SG
masyarakat	society	masyarakat	societty	N;SG	N;NOM;SG
masyarakat	yhteiskunta	masyarakat	yhteis#kunta	N;SG	N;NOM;SG
masyarakat	yhteiskunnan	masyarakat	yhteis#kunta	N;SG	N;GEN;SG
pernah	ikinä	pernah	ikinä	ADV	ADV
pernah	koskaan	pernah	koskaan	ADV	ADV
tiga	kolme	tiga	kolme	NUM	NUM;NOM;SG
jalan	tie	jalan	tie	N;SG;ACT	N;NOM;SG
jalan	tien	jalan	tie	N;SG;ACT	N;GEN;SG
jalan	maantie	jalan	maantie	N;SG;ACT	N;NOM;SG
jalan	road	jalan	road	N;SG;ACT	N;NOM;SG
musik	musiikkia	musik	musiikki	N;SG	N;PRT;SG
musik	musiikin	musik	musiikki	N;SG	N;GEN;SG
musik	musiikki	musik	musiikki	N;SG	N;NOM;SG
musik	musikaali	musik	musikaali	N;SG	N;NOM;SG
planet	planeetta	planet	planeetta	N;SG	N;NOM;SG
planet	planeetan	planet	planeetta	N;SG	N;GEN;SG
umum	yleinen	umum	yleinen	ADJ;SG	ADJ;NOM;SG
umum	yleistä	umum	yleinen	ADJ;SG	ADJ;PRT;SG
kerusakan	toimintahäiriö	kerusakan	toiminta#häiriö	N;SG	N;NOM;SG
kerusakan	tuho	kerusakan	tuho	N;SG	N;NOM;SG
kerusakan	vaurio	kerusakan	vaurio	N;SG	N;NOM;SG
kerusakan	vahinko	kerusakan	vahinko	N;SG	N;NOM;SG
kerusakan	vahinkoa	kerusakan	vahinko	N;SG	N;PRT;SG
kecil	pieni	kecil	pieni	ADJ;SG	ADJ;NOM;SG
kecil	pieni	kecil	pieni	ADJ;SG	ADJ;NOM;SG
kecil	pikku	kecil	pikku	ADJ;SG	ADJ
kecil	alaikäinen	kecil	alaikäinen	ADJ;SG	ADJ;NOM;SG
kecil	vähäinen	kecil	vähäinen	ADJ;SG	ADJ;NOM;SG
menteri	sihteeri	menteri	sihteeri	N;SG	N;NOM;SG
menteri	ministerin	menteri	ministeri	N;SG	N;GEN;SG
menteri	ministeri	menteri	ministeri	N;SG	N;NOM;SG
lagi	uudestaan	lagi	uudestaan	ADV	ADV
lagi	uudelleen	lagi	uudelleen	ADV	ADV
lagi	taas	lagi	taas	ADV	ADV
lagi	jälleen	lagi	jälleen	ADV	ADV
lagi	lisää	lagi	lisää	ADV	ADV
lagi	enemmän	lagi	enemmän	ADV	ADV
jumlah	summaa	jumlah	summa	N;SG	N;PRT;SG
jumlah	summa	jumlah	summa	N;SG	N;NOM;SG
jumlah	summa	jumlah	summa	N;SG	N;NOM;SG
jumlah	määrä	jumlah	määrä	N;SG	N;NOM;SG
jumlah	määrä	jumlah	määrä	N;SG	N;NOM;SG
kata	sanan	kata	sana	N;SG	N;GEN;SG
kata	sana	kata	sana	N;SG	N;NOM;SG
penduduk	asukas	penduduk	asukas	N;SG	N;NOM;SG
penduduk	väestö	penduduk	väestö	N;SG	N;NOM;SG
penduduk	väkiluku	penduduk	väki#luku	N;SG	N;NOM;SG
penduduk	väestön	penduduk	väestö	N;SG	N;GEN;SG
bawah	pohjaan	bawah	pohja	N;SG	N;IN+ALL;SG
bawah	pohja	bawah	pohja	N;SG	N;NOM;SG
bawah	pohjaa	bawah	pohja	N;SG	N;PRT;SG
awal	varhainen	awal	varhainen	ADJ;SG	ADJ;NOM;SG
awal	aikainen	awal	aikainen	ADJ;SG	ADJ;NOM;SG
data	data	data	data	N;SG	N;NOM;SG
data	tietoa	data	tieto	N;SG	N;PRT;SG
artikel	momentti	artikel	momentti	N;SG	N;NOM;SG
artikel	artikkeli	artikel	artikkeli	N;SG	N;NOM;SG
artikel	artikla	artikel	artikla	N;SG	N;NOM;SG
tanduk	sarvet	tanduk	sarvi	N	N;NOM;PL
tanduk	sarvet	tanduk	sarvi	N	N;NOM;PL
tanduk	torvi	tanduk	torvi	N	N;NOM;SG
tanduk	horn	tanduk	horn	N	N;NOM;SG
karya	mestariteos	karya	mestari#teos	N;SG	N;NOM;SG
tanah	maa	tanah	maa	N;SG	N;NOM;SG
tanah	maata	tanah	maa	N;SG	N;PRT;SG
tanah	maaperän	tanah	maa#perä	N;SG	N;GEN;SG
tanah	maaperä	tanah	maaperä	N;SG	N;NOM;SG
tanah	maaperä	tanah	maaperä	N;SG	N;NOM;SG
tanah	maahan	tanah	maa	N;SG	N;IN+ALL;SG
jpg	jpg	jpg	jpg	N	N;NOM;SG
abad	vuosisadan	abad	vuosi#sata	N;SG	N;GEN;SG
abad	vuosisata	abad	vuosi#sata	N;SG	N;NOM;SG
perusahaan	corporation	perusahaan	corporation	N;SG	N;NOM;SG
perusahaan	yritys	perusahaan	yritys	N;SG	N;NOM;SG
perusahaan	yhtiö	perusahaan	yhtiö	N;SG	N;NOM;SG
perusahaan	seura	perusahaan	seura	N;SG	N;NOM;SG
perusahaan	komppania	perusahaan	komppani	N;SG	N;NOM;SG
perusahaan	työnantaja	perusahaan	työ#antaja	N;SG	N;NOM;SG
perusahaan	työnantaja	perusahaan	työ#antaja	N;SG	N;NOM;SG
perusahaan	työnantajan	perusahaan	työ#antaja	N;SG	N;GEN;SG
style	style	style	style	N	N;NOM;SG
style	tyyliä	style	tyyli	N	N;PRT;SG
style	tyyli	style	tyyli	N	N;NOM;SG
januari	tammikuu	januari	tammikuu	N;SG	N;NOM;SG
januari	tammikuussa	januari	tammikuu	N;SG	N;IN+ESS;SG
januari	tammikuun	januari	tammikuu	N;SG	N;GEN;SG
januari	tammikuuta	januari	tammikuu	N;SG	N;PRT;SG
maret	maaliskuu	maret	maaliskuu	N;SG	N;NOM;SG
maret	maaliskuuta	maret	maaliskuu	N;SG	N;PRT;SG
paling	eniten	paling	eniten	ADV	ADV
musim	kausi	musim	kausi	N;SG	N;NOM;SG
musim	kauden	musim	kausi	N;SG	N;GEN;SG
bola	bola	bola	bola	N;SG	N;NOM;SG
bola	pallo	bola	pallo	N;SG	N;NOM;SG
bola	pallon	bola	pallo	N;SG	N;GEN;SG
bola	kuula	bola	kuula	N;SG	N;NOM;SG
bola	munaa	bola	muna	N;SG	N;PRT;SG
pemerintah	valtio	penperintah	valtio	N;SG	N;NOM;SG
pemerintah	hallitus	penperintah	hallitus	N;SG	N;NOM;SG
pemerintah	hallituksen	penperintah	hallitus	N;SG	N;GEN;SG
juni	juni	juni	juni	N;SG	N;NOM;SG
juni	kesäkuu	juni	kesäkuu	N;SG	N;NOM;SG
juni	kesäkuuta	juni	kesäkuu	N;SG	N;PRT;SG
juni	kesäkuussa	juni	kesäkuu	N;SG	N;IN+ESS;SG
muda	nuori	muda	nuori	ADJ;SG	ADJ;NOM;SG
muda	nuorekas	muda	nuorekas	ADJ;SG	ADJ;NOM;SG
desember	joulukuu	desember	joulukuu	N;SG	N;NOM;SG
desember	joulukuussa	desember	joulukuu	N;SG	N;IN+ESS;SG
desember	joulukuuta	desember	joulukuu	N;SG	N;PRT;SG
desember	joulukuu	desember	joulukuu	N;SG	N;NOM;SG
bidang	fields	bidang	fields	N;SG	N;NOM;SG
bidang	kenttä	bidang	kenttä	N;SG	N;NOM;SG
bidang	kenttää	bidang	kenttä	N;SG	N;PRT;SG
