ve	et	ve	et	CONJ	CONJ
genel	génériques	genel	générique	ADJ	ADJ;MASC;PL
genel	générique	genel	générique	ADJ	ADJ;MASC;SG
genel	globale	genel	global	ADJ	ADJ;FEM;SG
genel	généraux	genel	général	ADJ	ADJ;MASC;PL
genel	générale	genel	général	ADJ	ADJ;FEM;SG
adı	nom	ad	nom	N;NOM;SG;3	N;MASC;SG
adı	dénomination	ad	dénomination	N;NOM;SG;3	N;FEM;SG
ama	mais	ama	mais	CONJ	CONJ
ikinci	second	ikinci	second	ADJ	ADJ;MASC;SG
ikinci	deuxième	ikinci	deuxième	ADJ	ADJ;MASC;SG
ikinci	deuxieme	ikinci	deuxieme	ADJ	ADJ;MASC;SG
ikinci	seconde	ikinci	second	ADJ	ADJ;FEM;SG
üniversitesi	université	üniversitesi	université	N;NOM;SG;3	N;FEM;SG
zaman	temps	zaman	temps	N;NOM;SG;3	N;MASC;SG
zaman	heure	zaman	heure	N;NOM;SG;3	N;FEM;SG
aralık	décembre	aralık	décembre	N;NOM;SG;3	N;MASC;SG
aralık	decembre	aralık	decembre	N;NOM;SG;3	N;MASC;SG
aralık	dec	aralık	dec	N;NOM;SG;3	N;MASC;SG
aralık	déc	aralık	déc	N;NOM;SG;3	N;MASC;SG
aralık	intervalle	aralık	intervalle	N;NOM;SG;3	N;MASC;SG
aralık	entracte	aralık	entract	N;NOM;SG;3	N;MASC;SG
yüksek	hautes	yüksek	haut	ADJ	ADJ;FEM;PL
yüksek	haut	yüksek	haut	ADJ	ADJ;MASC;SG
yüksek	haute	yüksek	haut	ADJ	ADJ;FEM;SG
yüksek	élevé	yüksek	élevé	ADJ	ADJ;MASC;SG
yüksek	supérieur	yüksek	supérieur	ADJ	ADJ;MASC;SG
sadece	uniquement	sadece	uniquement	ADV	ADV
sadece	seulement	sadece	seulement	ADV	ADV
sadece	simplement	sadece	simplement	ADV	ADV
sadece	juste	sadece	juste	ADV	ADV
şekilde	façon	şekil	façon	N;ESS;SG;3	N;FEM;SG
şekilde	manière	şekil	manière	N;ESS;SG;3	N;FEM;SG
bilgi	info	bilgi	info	N;NOM;SG;3	N;MASC;SG
bilgi	information	bilgi	information	N;NOM;SG;3	N;FEM;SG
bilgi	connaissance	bilgi	connaissance	N;NOM;SG;3	N;FEM;SG
kez	fois	kez	fois	N;NOM;SG;3	N;FEM;SG
devlet	etat	devlet	etat	N;NOM;SG;3	N;MASC;SG
devlet	état	devlet	état	N;NOM;SG;3	N;MASC;SG
devlet	gouvernement	devlet	gouvernement	N;NOM;SG;3	N;MASC;SG
üç	trois	üç	trois	NUM	NUM
başladı	commencé	başla	commencer	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
başladı	démarré	başla	démarrer	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
başladı	commencée	başla	commencer	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP
başladı	commencé	başla	commencer	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
başladı	commencée	başla	commencer	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP
küçük	petit	küçük	petit	ADJ	ADJ;MASC;SG
küçük	petits	küçük	petit	ADJ	ADJ;MASC;PL
küçük	petites	küçük	petit	ADJ	ADJ;FEM;PL
küçük	petite	küçük	petit	ADJ	ADJ;FEM;SG
küçük	petit	küçük	petit	ADJ	ADJ;MASC;SG
küçük	petite	küçük	petit	ADJ	ADJ;FEM;SG
gelen	entrant	gel	entrer	V;PFV;IND;POS;PRS;V.PTCP	V;PRS;V.PTCP
kabul	acceptation	kabul	acceptation	N;NOM;SG;3	N;FEM;SG
kupası	gobelet	kupa	gobelet	N;NOM;SG;3	N;MASC;SG
kupası	tasse	kupa	tasse	N;NOM;SG;3	N;FEM;SG
kupası	coupe	kupa	coupe	N;NOM;SG;3	N;FEM;SG
okulu	ecole	okul	ecole	N;NOM;SG;3	N;FEM;SG
okulu	école	okul	école	N;NOM;SG;3	N;FEM;SG
aldı	pris	al	prendre	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
aldı	prise	al	prendre	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP
aldı	pris	al	prendre	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
aldı	prit	al	prendre	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
aldı	reçu	al	recevoir	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
aldı	reçue	al	recevoir	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP
farklı	différentes	farklı	différent	ADJ	ADJ;FEM;PL
farklı	différente	farklı	différent	ADJ	ADJ;FEM;SG
farklı	différents	farklı	différent	ADJ	ADJ;MASC;PL
farklı	différent	farklı	différent	ADJ	ADJ;MASC;SG
özel	exclusives	özel	exclusif	ADJ	ADJ;FEM;PL
özel	exclusive	özel	exclusif	ADJ	ADJ;FEM;SG
özel	exclusifs	özel	exclusif	ADJ	ADJ;MASC;PL
özel	exclusif	özel	exclusif	ADJ	ADJ;MASC;SG
özel	privé	özel	privé	ADJ	ADJ;MASC;SG
özel	spéciales	özel	spécial	ADJ	ADJ;FEM;PL
özel	spécial	özel	spécial	ADJ	ADJ;MASC;SG
özel	spéciaux	özel	spécial	ADJ	ADJ;MASC;PL
özel	spéciale	özel	spécial	ADJ	ADJ;FEM;SG
biri	un	biri	un	PRO;NOM;SG;3	PRO;MASC;SG
alanı	champ	alan	champ	N;NOM;SG;3	N;MASC;SG
alanı	domaine	alan	domaine	N;NOM;SG;3	N;MASC;SG
alanı	région	alan	région	N;NOM;SG;3	N;FEM;SG
alanı	zone	alan	zone	N;NOM;SG;3	N;FEM;SG
alanı	domaine	alan	domaine	N;NOM;SG;3	N;MASC;SG
uzun	longues	uzun	long	ADJ	ADJ;FEM;PL
uzun	longs	uzun	long	ADJ	ADJ;MASC;PL
uzun	longue	uzun	long	ADJ	ADJ;FEM;SG
uzun	long	uzun	long	ADJ	ADJ;MASC;SG
elektrik	electricité	elektrik	electricité	N;NOM;SG;3	N;FEM;SG
elektrik	électricité	elektrik	électricité	N;NOM;SG;3	N;FEM;SG
merkezi	center	merkez	center	N;ACC;SG;3	N;MASC;SG
merkezi	centre	merkez	centre	N;ACC;SG;3	N;MASC;SG
merkezi	centre	merkez	centre	N;ACC;SG;3	N;MASC;SG
kısa	courte	kısa	court	ADJ	ADJ;FEM;SG
kısa	court	kısa	court	ADJ	ADJ;MASC;SG
kısa	courts	kısa	court	ADJ	ADJ;MASC;PL
kısa	courtes	kısa	court	ADJ	ADJ;FEM;PL
kısa	brèves	kısa	breve	ADJ	ADJ;FEM;PL
kısa	brève	kısa	bref	ADJ	ADJ;FEM;SG
kişi	personne	kişi	personne	N;NOM;SG;3	N;FEM;SG
bilgileri	infos	bilgi	info	N;ACC;PL;3	N;FEM;PL
olmak	etre	ol	être	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
olmak	devenant	ol	devenir	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;PRS;V.PTCP
olmak	devenir	ol	devenir	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;NFIN
el	main	el	main	N;NOM;SG;3	N;FEM;SG
gol	lac	gol	lac	N;NOM;SG;3	N;MASC;SG
gol	objectif	gol	objectif	N;NOM;SG;3	N;MASC;SG
gol	but	gol	but	N;NOM;SG;3	N;MASC;SG
sağlayan	permettant	sağla	permettre	V;PFV;IND;POS;PRS;V.PTCP	V;PRS;V.PTCP
sağlayan	fournissant	sağla	fournir	V;PFV;IND;POS;PRS;V.PTCP	V;PRS;V.PTCP
suyu	jus	su	jus	N;ACC;SG;3	N;MASC;SG
ödülü	récompense	ödül	récompense	N;ACC;SG;3	N;FEM;SG
ödülü	récompense	ödül	récompense	N;ACC;SG;3	N;FEM;SG
yerine	remplacement	yer	remplacement	N;DAT;SG;3	N;MASC;SG
gün	journée	gün	journée	N;NOM;SG;3	N;FEM;SG
gün	jour	gün	jour	N;NOM;SG;3	N;MASC;SG
gün	journee	gün	journee	N;NOM;SG;3	N;FEM;SG
süre	temps	süre	temps	N;NOM;SG;3	N;MASC;SG
süre	heure	süre	heure	N;NOM;SG;3	N;FEM;SG
süre	duree	süre	duree	N;NOM;SG;3	N;FEM;SG
süre	durée	süre	durée	N;NOM;SG;3	N;FEM;SG
eğitim	formation	eğitim	formation	N;NOM;SG;3	N;FEM;SG
eğitim	entraînement	eğitim	entraînement	N;NOM;SG;3	N;MASC;SG
eğitim	enseignement	eğitim	enseignement	N;NOM;SG;3	N;MASC;SG
eğitim	éducation	eğitim	éducation	N;NOM;SG;3	N;FEM;SG
eğitim	tutoriel	eğitim	tutoriel	N;NOM;SG;3	N;MASC;SG
eğitim	didacticiel	eğitim	didacticiel	N;NOM;SG;3	N;MASC;SG
az	peu	az	peu	ADV	ADV
az	moins	az	moins	ADV	ADV
görev	tâche	görev	tâche	N;NOM;SG;3	N;FEM;SG
görev	affectation	görev	affectation	N;NOM;SG;3	N;FEM;SG
görev	cession	görev	cession	N;NOM;SG;3	N;FEM;SG
görev	assignation	görev	assignation	N;NOM;SG;3	N;FEM;SG
görev	mission	görev	mission	N;NOM;SG;3	N;FEM;SG
onun	her	o	her	PRO;GEN;SG;3	PRO;SG;3
yine	encore	yine	encore	ADV	ADV
ekonomisi	économie	ekonomi	économie	N;NOM;SG;3	N;FEM;SG
ekonomisi	economie	ekonomi	économie	N;NOM;SG;3	N;FEM;SG
telefon	téléphone	telefon	téléphone	N;NOM;SG;3	N;MASC;SG
telefon	telephone	telefon	telephone	N;NOM;SG;3	N;MASC;SG
telefon	téléphone	telefon	téléphone	N;NOM;SG;3	N;MASC;SG
yeniden	encore	yeniden	encore	ADV	ADV
savaş	bataille	savaş	bataille	N;NOM;SG;3	N;FEM;SG
savaş	combat	savaş	combat	N;NOM;SG;3	N;MASC;SG
savaş	guerre	savaş	guerre	N;NOM;SG;3	N;FEM;SG
savaş	war	savaş	war	N;NOM;SG;3	N;SG
savaş	combat	savaş	combat	N;NOM;SG;3	N;MASC;SG
savaş	lutte	savaş	lutte	N;NOM;SG;3	N;FEM;SG
savaş	combat	savaş	combat	N;NOM;SG;3	N;MASC;SG
savaş	bagarre	savaş	bagarre	N;NOM;SG;3	N;FEM;SG
rağmen	malgré	rağmen	malgré	ADP	ADP
rağmen	malgré	rağmen	malgré	ADP	ADP
kullanıcı	utilisateur	kullanıcı	utilisateur	N;NOM;SG;3	N;MASC;SG
kullanıcı	usager	kullanıcı	usager	N;NOM;SG;3	N;MASC;SG
birliği	union	birlik	union	N;NOM;SG;3	N;FEM;SG
birliği	syndicat	birlik	syndicat	N;NOM;SG;3	N;MASC;SG
kanalizasyon	égout	kanalizasyon	égout	N;NOM;SG;3	N;MASC;SG
kanalizasyon	assainissement	kanalizasyon	assainissement	N;NOM;SG;3	N;MASC;SG
maç	mac	maç	mac	N;NOM;SG;3	N;MASC;SG
maç	gibier	maç	gibier	N;NOM;SG;3	N;MASC;SG
maç	match	maç	match	N;NOM;SG;3	N;MASC;SG
maç	jeu	maç	jeu	N;NOM;SG;3	N;MASC;SG
maç	correspondance	maç	correspondance	N;NOM;SG;3	N;FEM;SG
maç	allumette	maç	allumette	N;NOM;SG;3	N;FEM;SG
maç	match	maç	match	N;NOM;SG;3	N;MASC;SG
sıra	ligne	sıra	ligne	N;NOM;SG;3	N;FEM;SG
sıra	rang	sıra	rang	N;NOM;SG;3	N;MASC;SG
teknik	technique	teknik	technique	ADJ	ADJ;MASC;SG
teknik	techniques	teknik	technique	ADJ	ADJ;MASC;PL
teknik	technique	teknik	technique	ADJ	ADJ;MASC;SG
nüfusu	population	nüfus	population	N;ACC;SG;3	N;FEM;SG
uygun	admissible	uygun	admissible	ADJ	ADJ;MASC;SG
uygun	éligible	uygun	éligible	ADJ	ADJ;MASC;SG
uygun	éligibles	uygun	éligible	ADJ	ADJ;MASC;PL
uygun	admissibles	uygun	admissible	ADJ	ADJ;MASC;PL
uygun	commodes	uygun	commode	ADJ	ADJ;MASC;PL
uygun	pratique	uygun	pratique	ADJ	ADJ;FEM;SG
uygun	approprié	uygun	approprié	ADJ	ADJ;MASC;SG
uygun	approprié	uygun	approprié	ADJ	ADJ;MASC;SG
uygun	convenable	uygun	convenable	ADJ	ADJ;MASC;SG
bütün	entiers	bütün	entier	ADJ	ADJ;MASC;PL
bütün	entier	bütün	entier	ADJ	ADJ;MASC;SG
listesi	liste	liste	liste	N;NOM;SG;3	N;FEM;SG
dört	quatre	dört	quatre	NUM	NUM
stadyumu	stade	stadyum	stade	N;NOM;SG;3	N;MASC;SG
sonucu	conséquence	sonuç	conséquence	N;ACC;SG;3	N;FEM;SG
bar	barreau	bar	barreau	N;NOM;SG;3	N;MASC;SG
bar	bar	bar	bar	N;NOM;SG;3	N;MASC;SG
bar	barre	bar	barre	N;NOM;SG;3	N;FEM;SG
bar	pub	bar	pub	N;NOM;SG;3	N;FEM;SG
sonunda	enfin	sonunda	enfin	ADV	ADV
sonunda	finalement	sonunda	finalement	ADV	ADV
onu	lui	o	lui	PRO;ACC;SG;3	PRO;SG;3
onu	her	o	her	PRO;ACC;SG;3	PRO;SG;3
çünkü	car	çünkü	car	CONJ	CONJ
açık	limpide	açık	limpide	ADJ	ADJ;MASC;SG
açık	clair	açık	clair	ADJ	ADJ;MASC;SG
insan	personne	insan	personne	N;NOM;SG;3	N;FEM;SG
insan	man	insan	man	N;NOM;SG;3	N;MASC;SG
insan	mec	insan	mec	N;NOM;SG;3	N;MASC;SG
insan	homme	insan	homme	N;NOM;SG;3	N;MASC;SG
stadyum	stade	stadyum	stade	N;NOM;SG;3	N;MASC;SG
an	moment	an	moment	N;NOM;SG;3	N;MASC;SG
an	instant	an	instant	N;NOM;SG;3	N;MASC;SG
iş	travail	iş	travail	N;NOM;SG;3	N;MASC;SG
iş	emploi	iş	emploi	N;NOM;SG;3	N;MASC;SG
bölümü	section	bölüm	section	N;NOM;SG;3	N;FEM;SG
bölümü	département	bölüm	département	N;NOM;SG;3	N;MASC;SG
bunu	ceci	bu	ceci	PRO;ACC;SG;3	PRO;SG
bunu	cet	bu	ce	PRO;ACC;SG;3	PRO;SG;3
bunu	cela	bu	cela	PRO;ACC;SG;3	PRO;SG
bunu	ce	bu	ce	PRO;ACC;SG;3	PRO;SG;3
bunu	cela	bu	cela	PRO;ACC;SG;3	PRO;SG
sonraki	next	sonraki	next		
ele	conquête	el	conquête	N;DAT;SG;3	N;FEM;SG
güzel	beau	güzel	beau	ADJ	ADJ;MASC;SG
güzel	superbe	güzel	superbe	ADJ	ADJ;MASC;SG
güzel	magnifiques	güzel	magnifique	ADJ	ADJ;MASC;PL
güzel	magnifique	güzel	magnifique	ADJ	ADJ;MASC;SG
güzel	belle	güzel	beau	ADJ	ADJ;FEM;SG
güzel	bons	güzel	bon	ADJ	ADJ;MASC;PL
güzel	bonne	güzel	bon	ADJ	ADJ;FEM;SG
güzel	bon	güzel	bon	ADJ	ADJ;MASC;SG
güzel	bonnes	güzel	bon	ADJ	ADJ;FEM;PL
güzel	sympa	güzel	sympa	ADJ	ADJ;MASC;SG
güzel	gentil	güzel	gentil	ADJ	ADJ;MASC;SG
güzel	joli	güzel	joli	ADJ	ADJ;MASC;SG
güzel	jolie	güzel	joli	ADJ	ADJ;FEM;SG
güzel	joli	güzel	joli	ADJ	ADJ;MASC;SG
güzel	jolie	güzel	joli	ADJ	ADJ;FEM;SG
güzel	jolies	güzel	joli	ADJ	ADJ;FEM;PL
güzel	belle	güzel	beau	ADJ	ADJ;FEM;SG
güzel	ravissante	güzel	ravissant	ADJ	ADJ;FEM;SG
güzel	charmant	güzel	charmant	ADJ	ADJ;MASC;SG
güzel	charmante	güzel	charmant	ADJ	ADJ;FEM;SG
güzel	adorable	güzel	adorable	ADJ	ADJ;MASC;SG
çocuk	garçon	çocuk	garçon	N;NOM;SG;3	N;MASC;SG
çocuk	boy	çocuk	boy	N;NOM;SG;3	N;MASC;SG
çocuk	gamin	çocuk	gamin	N;NOM;SG;3	N;MASC;SG
çocuk	enfant	çocuk	enfant	N;NOM;SG;3	N;MASC;SG
çocuk	enfant	çocuk	enfant	N;NOM;SG;3	N;MASC;SG
sinema	film	sine	film	N;NOM;SG;3	N;MASC;SG
sinema	cinéma	sine	cinéma	N;NOM;SG;3	N;MASC;SG
sinema	ciné	sine	ciné	N;NOM;SG;3	N;MASC;SG
sinema	cinéma	sine	cinéma	N;NOM;SG;3	N;MASC;SG
sinema	ciné	sine	ciné	N;NOM;SG;3	N;MASC;SG
ay	mois	ay	mois	N;NOM;SG;3	N;MASC;SG
ay	mois	ay	mois	N;NOM;SG;3	N;MASC;SG
ay	lune	ay	lune	N;NOM;SG;3	N;FEM;SG
imparatorluğu	empire	imparatorluk	empire	N;NOM;SG;3	N;MASC;SG
internet	web	internet	web	N;NOM;SG;3	N;MASC;SG
internet	enchaînement	internet	enchaînement	N;NOM;SG;3	N;MASC;SG
internet	internet	internet	internet	N;NOM;SG;3	N;MASC;SG
tiyatro	drame	tiyatro	drame	N;NOM;SG;3	N;MASC;SG
tiyatro	théatre	tiyatro	théatre	N;NOM;SG;3	N;MASC;SG
tiyatro	théâtre	tiyatro	théâtre	N;NOM;SG;3	N;MASC;SG
tiyatro	théatre	tiyatro	théatre	N;NOM;SG;3	N;MASC;SG
tiyatro	théâtre	tiyatro	théâtre	N;NOM;SG;3	N;MASC;SG
bey	bey	bey	bey	N;NOM;SG;3	N;MASC;SG
kazandı	gagné	kazan	gagner	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
kazandı	gagnée	kazan	gagner	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP
karar	verdict	karar	verdict	N;NOM;SG;3	N;MASC;SG
karar	décision	karar	décision	N;NOM;SG;3	N;FEM;SG
tarih	date	tarih	date	N;NOM;SG;3	N;FEM;SG
tarih	histoire	tarih	histoire	N;NOM;SG;3	N;FEM;SG
temel	fondamentaux	temel	fondamental	ADJ	ADJ;MASC;PL
temel	basiques	temel	basique	ADJ	ADJ;MASC;PL
temel	basique	temel	basique	ADJ	ADJ;MASC;SG
temel	basiques	temel	basique	ADJ	ADJ;MASC;PL
temel	élémentaire	temel	élémentaire	ADJ	ADJ;MASC;SG
temel	basique	temel	basique	ADJ	ADJ;MASC;SG
ünlü	fameux	ünlü	fameux	ADJ	ADJ;MASC;SG
ünlü	célèbre	ünlü	célèbre	ADJ	ADJ;MASC;SG
ünlü	célèbres	ünlü	célèbre	ADJ	ADJ;MASC;PL
kalan	restant	kal	rester	V;PFV;IND;POS;PRS;V.PTCP	V;PRS;V.PTCP
çıktı	sortie	çık	sortir	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;PST;V.PTCP
bile	même	bile	même	ADV	ADV
sosyal	sociable	sosyal	sociable	ADJ	ADJ;MASC;SG
sosyal	sociale	sosyal	social	ADJ	ADJ;FEM;SG
sosyal	sociaux	sosyal	social	ADJ	ADJ;MASC;PL
sosyal	social	sosyal	social	ADJ	ADJ;MASC;SG
geldi	arrivé	gel	arriver	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;PST;V.PTCP
böylece	ainsi	böylece	ainsi	ADV	ADV
oy	vote	oy	vote	N;NOM;SG;3	N;MASC;SG
oy	vote	oy	vote	N;NOM;SG;3	N;MASC;SG
oy	voix	oy	voix	N;NOM;SG;3	N;FEM;SG
oy	vote	oy	vote	N;NOM;SG;3	N;MASC;SG
geniş	large	geniş	large	ADJ	ADJ;MASC;SG
geniş	vaste	geniş	vaste	ADJ	ADJ;MASC;SG
geniş	large	geniş	large	ADJ	ADJ;MASC;SG
geniş	grands	geniş	grand	ADJ	ADJ;MASC;PL
geniş	grande	geniş	grand	ADJ	ADJ;FEM;SG
geniş	grandes	geniş	grand	ADJ	ADJ;FEM;PL
geniş	grand	geniş	grand	ADJ	ADJ;MASC;SG
geniş	spacieux	geniş	spacieux	ADJ	ADJ;MASC;SG
geniş	spacieuses	geniş	spacieux	ADJ	ADJ;FEM;PL
geniş	spacieuse	geniş	spacieux	ADJ	ADJ;FEM;SG
ev	maison	ev	maison	N;NOM;SG;3	N;FEM;SG
ev	domicile	ev	domicile	N;NOM;SG;3	N;MASC;SG
ev	accueil	ev	accueil	N;NOM;SG;3	N;MASC;SG
ev	maison	ev	maison	N;NOM;SG;3	N;FEM;SG
önceki	prev	önceki	prev		
hareket	motion	hareket	motion	N;NOM;SG;3	N;FEM;SG
hareket	mouvement	hareket	mouvement	N;NOM;SG;3	N;MASC;SG
hareket	déménagement	hareket	déménagement	N;NOM;SG;3	N;MASC;SG
hareket	movement	hareket	movement	N;NOM;SG;3	N;MASC;SG
hareket	mouvement	hareket	mouvement	N;NOM;SG;3	N;MASC;SG
bölgesi	région	bölge	région	N;NOM;SG;3	N;FEM;SG
bölgesi	territoire	bölge	territoire	N;NOM;SG;3	N;MASC;SG
sahibi	propriétaire	sahip	propriétaire	N;NOM;SG;3	N;MASC;SG
bilim	science	bilim	science	N;NOM;SG;3	N;FEM;SG
sistemi	système	sistem	système	N;ACC;SG;3	N;MASC;SG
yaşayan	vivant	yaşa	vivre	V;PFV;IND;POS;PRS;V.PTCP	V;PRS;V.PTCP
yaşayan	vivre	yaşa	vivre	V;PFV;IND;POS;PRS;V.PTCP	V;NFIN
hiç	jamais	hiç	jamais	ADV	ADV
hiç	jamais	hiç	jamais	ADV	ADV
ifade	express	ifade	express	N;NOM;SG;3	N;MASC;SG
ifade	déposition	ifade	déposition	N;NOM;SG;3	N;FEM;SG
ifade	déclaration	ifade	déclaration	N;NOM;SG;3	N;FEM;SG
ifade	témoignage	ifade	témoignage	N;NOM;SG;3	N;MASC;SG
ifade	expression	ifade	expression	N;NOM;SG;3	N;FEM;SG
şey	truc	şey	truc	N;NOM;SG;3	N;MASC;SG
şey	chose	şey	chose	N;NOM;SG;3	N;FEM;SG
rapor	reportage	rapor	reportage	N;NOM;SG;3	N;MASC;SG
rapor	rapport	rapor	rapport	N;NOM;SG;3	N;MASC;SG
altı	six	altı	six	NUM	NUM
dizi	série	dizi	série	N;NOM;SG;3	N;FEM;SG
dizi	séquence	dizi	séquence	N;NOM;SG;3	N;FEM;SG
ayrı	distinct	ayrı	distinct	ADJ	ADJ;MASC;SG
şampiyonası	championnat	şampiyon	championnat	N;NOM;SG;3	N;MASC;SG
kuvvetleri	forces	kuvvet	force	N;ACC;PL;3	N;FEM;PL
göz	oeil	göz	oeil	N;NOM;SG;3	N;MASC;SG
göz	œil	göz	œil	N;NOM;SG;3	N;MASC;SG
televizyon	téléviseur	televizyon	téléviseur	N;NOM;SG;3	N;MASC;SG
televizyon	télévision	televizyon	télévision	N;NOM;SG;3	N;FEM;SG
televizyon	télé	televizyon	télé	N;NOM;SG;3	N;FEM;SG
sezonu	saison	sezon	saison	N;ACC;SG;3	N;FEM;SG
fenerbahçe	fenerbahce	fenerbahç	fenerbahce	N;NOM;SG;3	N;MASC;SG
fenerbahçe	fenerbahçe	fenerbahç	fenerbahçe	N;NOM;SG;3	N;MASC;SG
karasal	terrestre	karasal	terrestre	ADJ	ADJ;MASC;SG
karasal	terrestres	karasal	terrestre	ADJ	ADJ;MASC;PL
durum	état	durum	état	N;NOM;SG;3	N;MASC;SG
durum	statut	durum	statut	N;NOM;SG;3	N;MASC;SG
durum	situation	durum	situation	N;NOM;SG;3	N;FEM;SG
durum	état	durum	état	N;NOM;SG;3	N;MASC;SG
durum	condition	durum	condition	N;NOM;SG;3	N;FEM;SG
gelenek	tradition	gelenek	tradition	N;NOM;SG;3	N;FEM;SG
yeri	localisation	yer	localisation	N;ACC;SG;3	N;FEM;SG
yeri	emplacement	yer	emplacement	N;ACC;SG;3	N;MASC;SG
yeri	localité	yer	localité	N;ACC;SG;3	N;FEM;SG
yeri	lieu	yer	lieu	N;ACC;SG;3	N;MASC;SG
bunlar	ces	bu	ce	PRO;NOM;PL;3	PRO;PL;3
bunlar	ceux	bu	celui	PRO;NOM;PL;3	PRO;MASC;PL
yanlış	incorrect	yanlış	incorrect	ADJ	ADJ;MASC;SG
yanlış	inexacte	yanlış	inexact	ADJ	ADJ;FEM;SG
yanlış	incorrecte	yanlış	incorrect	ADJ	ADJ;FEM;SG
yanlış	faux	yanlış	faux	ADJ	ADJ;MASC;SG
yanlış	faux	yanlış	faux	ADJ	ADJ;MASC;SG
yanlış	fausse	yanlış	faux	ADJ	ADJ;FEM;SG
yanlış	fausses	yanlış	faux	ADJ	ADJ;FEM;PL
al	prendre	al	prendre	V;PFV;IMP;SG;2;POS;PRS	V;NFIN
al	obtenir	al	obtenir	V;PFV;IMP;SG;2;POS;PRS	V;NFIN
ses	voix	ses	voix	N;NOM;SG;3	N;FEM;SG
ses	audio	ses	audio	N;NOM;SG;3	N;MASC;SG
ses	bruit	ses	bruit	N;NOM;SG;3	N;MASC;SG
