קטגוריה	kategorija	קטגוריה	kategorija	N;FEM;SG	N;NOM;FEM;SG
זכה	pobjedio	זכה	pobjediti	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP;ACT
אחרי	nakon	אחרי	nakon	ADP	ADP;GEN
הן	oni	הוא	oni	PRO;FEM;PL;3	PRO;NOM;MASC;PL;3
יום	dan	יום	dan	N;MASC;SG	N;NOM;MASC;SG
יום	hume	יום	huma	N;MASC;SG	N;NOM;MASC;SG
כבר	već	כבר	već	ADV	ADV
כיום	trenutačno	כיום	trenutačno	ADV	ADV
כיום	trenutno	כיום	trenutno	ADV	ADV
מקום	mjesto	מקום	mjesto	N;MASC;SG	N;NOM;NEUT;SG
מקום	mesto	מקום	mesto	N;MASC;SG	N;NOM;NEUT;SG
מאוד	vrlo	מאוד	vrlo	ADV	ADV
יהודים	židove	יהודי	žid	N;MASC;PL	N;ACC;MASC;PL
יהודים	židovi	יהודי	žid	N;MASC;PL	N;NOM;MASC;PL
שנת	godine	שנה	godina	N;PSSD;FEM;SG	N;GEN;FEM;SG
שנת	godina	שנה	godina	N;PSSD;FEM;SG	N;NOM;FEM;SG
יחד	zajedno	יחד	zajedno	ADV	ADV
בעל	baal	בעל	baal	N;MASC;SG	N;NOM;MASC;SG
בעל	mužu	בעל	muž	N;MASC;SG	N;DAT;MASC;SG
בעל	muž	בעל	muž	N;MASC;SG	N;NOM;MASC;SG
בעל	suprug	בעל	suprug	N;MASC;SG	N;NOM;MASC;SG
בנוסף	dodatno	בנוסף	dodatno	ADV	ADV
תחת	pod	תחת	pod	ADP	ADP;INS
תחת	ispod	תחת	ispod	ADP	ADP;GEN
תמונה	fotografiju	תמונה	fotografija	N;FEM;SG	N;ACC;FEM;SG
תמונה	fotografija	תמונה	fotografija	N;FEM;SG	N;NOM;FEM;SG
תמונה	slika	תמונה	slika	N;FEM;SG	N;NOM;FEM;SG
תמונה	sliku	תמונה	slika	N;FEM;SG	N;ACC;FEM;SG
תמונה	slika	תמונה	slika	N;FEM;SG	N;NOM;FEM;SG
תמונה	sliku	תמונה	slika	N;FEM;SG	N;ACC;FEM;SG
תמונה	slika	תמונה	slika	N;FEM;SG	N;NOM;FEM;SG
כתב	novinarka	כתב	novinarka	N;MASC;SG	N;NOM;FEM;SG
כתב	novinar	כתב	novinar	N;MASC;SG	N;NOM;MASC;SG
כתב	reporter	כתב	reporter	N;MASC;SG	N;NOM;MASC;SG
היום	danas	היום	danas	ADV	ADV
למרות	unatoč	למרות	unatoč	ADP	ADP;DAT
אחרות	ostali	אחר	ostao	ADJ;FEM;PL	ADJ;NOM;DEF;MASC;PL
אחרות	druge	אחר	drugi	ADJ;FEM;PL	ADJ;NOM;FEM;PL
אותם	ih	None	oni	PRO;ACC;MASC;PL;3	PRO;ACC;PL;3
אותם	njih	None	oni	PRO;ACC;MASC;PL;3	PRO;ACC;PL;3
החברה	društvo	החברה	društvo	N;FEM;SG	N;NOM;NEUT;SG
החברה	drustvo	החברה	drustvo	N;FEM;SG	N;NOM;NEUT;SG
החברה	društvo	החברה	društvo	N;FEM;SG	N;NOM;NEUT;SG
החברה	drustvo	החברה	drustvo	N;FEM;SG	N;NOM;NEUT;SG
החברה	tvrtka	החברה	tvrtka	N;FEM;SG	N;NOM;FEM;SG
החברה	kompanija	החברה	kompanija	N;FEM;SG	N;NOM;FEM;SG
שונות	razni	שונה	razni	ADJ;FEM;PL	ADJ;NOM;DEF;MASC;PL
מערכת	sistem	מערכת	sistem	N;FEM;SG	N;NOM;MASC;SG
מערכת	sustav	מערכת	sustav	N;FEM;SG	N;NOM;MASC;SG
בלבד	samo	בלבד	samo	ADV	ADV
בלבד	jedino	בלבד	jedino	ADV	ADV
עבר	prošlosti	עבר	prošlost	N;MASC;SG	N;GEN;FEM;SG
עבר	prošlost	עבר	prošlost	N;MASC;SG	N;NOM;FEM;SG
מרכז	central	מרכז	central	N;MASC;SG	N;NOM;MASC;SG
מרכז	centar	מרכז	centar	N;MASC;SG	N;NOM;MASC;SG
מרכז	centar	מרכז	centar	N;MASC;SG	N;NOM;MASC;SG
מרכז	središte	מרכז	središte	N;MASC;SG	N;NOM;NEUT;SG
מרכז	sredina	מרכז	sredini	N;MASC;SG	N;NOM;FEM;SG
שימוש	uporaba	שימוש	uporaba	N;MASC;SG	N;NOM;FEM;SG
שימוש	upotreba	שימוש	upotreba	N;MASC;SG	N;NOM;FEM;SG
שימוש	korištenje	שימוש	korištenje	N;MASC;SG	N;NOM;NEUT;SG
שימוש	korištenje	שימוש	korištenje	N;MASC;SG	N;NOM;NEUT;SG
שימוש	upotrebi	שימוש	upotreba	N;MASC;SG	N;DAT;FEM;SG
רוב	većina	רוב	većina	N;MASC;SG	N;NOM;FEM;SG
רוב	rob	רוב	rob	N;MASC;SG	N;NOM;MASC;SG
רוב	roba	רוב	roba	N;MASC;SG	N;NOM;FEM;SG
רוב	većina	רוב	većina	N;MASC;SG	N;NOM;FEM;SG
גדול	velika	גדול	velik	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
גדול	veliki	גדול	velik	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
גדול	veliko	גדול	velik	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
ישראלים	izraelci	ישראלי	izraelac	N;MASC;PL	N;NOM;MASC;PL
ישראלים	izraelaca	ישראלי	izraelac	N;MASC;PL	N;GEN;MASC;PL
ישראלים	izraelci	ישראלי	izraelac	N;MASC;PL	N;NOM;MASC;PL
יהודי	židov	יהודי	židov	N;MASC;SG	N;NOM;MASC;SG
יהודי	židov	יהודי	židov	N;MASC;SG	N;NOM;MASC;SG
סוג	vrsta	סוג	vrsta	N;MASC;SG	N;NOM;FEM;SG
סוג	vrsta	סוג	vrsta	N;MASC;SG	N;NOM;FEM;SG
סוג	tip	סוג	tip	N;MASC;SG	N;NOM;MASC;SG
מידע	info	מידע	info	N;MASC;SG	N;NOM;MASC;SG
מידע	informacija	מידע	informacija	N;MASC;SG	N;NOM;FEM;SG
ערכים	vrednosti	ערך	vrednost	N;MASC;PL	N;NOM;FEM;PL
ערכים	vrijednosti	ערך	vrijednost	N;MASC;PL	N;NOM;FEM;PL
אנשים	ljudi	איש	čovjek	N;MASC;PL	N;NOM;MASC;PL
דקות	minuta	דקה	minuta	N;FEM;PL	N;NOM;FEM;PL
דקות	minute	דקה	minuta	N;FEM;PL	N;NOM;FEM;PL
חבר	prijatelj	חבר	prijatelj	N;MASC;SG	N;NOM;MASC;SG
חבר	prijateljica	חבר	prijateljica	N;MASC;SG	N;NOM;FEM;SG
חבר	prijatelju	חבר	prijatelj	N;MASC;SG	N;DAT;MASC;SG
חבר	dečko	חבר	dečko	N;MASC;SG	N;NOM;MASC;SG
חבר	dečka	חבר	dečko	N;MASC;SG	N;ANIM;ACC;MASC;SG
בת	kći	בת	kći	N;FEM;SG	N;NOM;FEM;SG
בת	kćer	בת	kći	N;FEM;SG	N;NOM;FEM;SG
בת	beth	בת	beth	N;FEM;SG	N;NOM;FEM;SG
בתוך	unutar	בתוך	unutar	ADP	ADP;GEN
כאן	ovdje	כאן	ovdje	ADV	ADV
לעתים	nekad	לעתים	nekad	ADV	ADV
לעתים	ponekad	לעתים	ponekad	ADV	ADV
הכנסת	knesset	הכנסה	knesset	N;PSSD;FEM;SG	N;NOM;MASC;SG
הכנסת	sinagogi	הכנסה	sinagog	N;PSSD;FEM;SG	N;DAT;FEM;SG
חדש	novo	חדש	nov	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
חדש	nova	חדש	nov	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
חדש	novi	חדש	nov	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
מעל	preko	מעל	preko	ADP	ADP;GEN
מעל	iznad	מעל	iznad	ADP	ADP;GEN
ארץ	zemlja	ארץ	zemlja	N;FEM;SG	N;NOM;FEM;SG
ארץ	država	ארץ	država	N;FEM;SG	N;NOM;FEM;SG
ארץ	domovina	ארץ	domovina	N;FEM;SG	N;NOM;FEM;SG
ארץ	zemlja	ארץ	zemlja	N;FEM;SG	N;NOM;FEM;SG
ארץ	kopno	ארץ	kopno	N;FEM;SG	N;NOM;NEUT;SG
ארץ	zemljište	ארץ	zemljište	N;FEM;SG	N;NOM;NEUT;SG
ארץ	zemlja	ארץ	zemlja	N;FEM;SG	N;NOM;FEM;SG
כלי	alat	כלי	alat	N;MASC;SG	N;NOM;MASC;SG
הרבה	puno	הרבה	puno	ADV	ADV
הרבה	mnogo	הרבה	mnogo	ADV	ADV
אתה	ti	הוא	ti	PRO;MASC;SG;2	PRO;NOM;SG;2
טוב	dobar	טוב	dobar	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
ילדים	deca	ילד	deca	N;MASC;PL	N;NOM;MASC;PL
ילדים	djeca	ילד	dijete	N;MASC;PL	N;NOM;NEUT;PL
ילדים	deca	ילד	deca	N;MASC;PL	N;NOM;MASC;PL
ילדים	djeca	ילד	dijete	N;MASC;PL	N;NOM;NEUT;PL
שלושה	tri	שלושה	tri	NUM;MASC;SG	NUM
הגיע	stiglo	הגיע	stići	V;MASC;SG;3;PST;ACT	V;NEUT;SG;PST;V.PTCP;ACT
הגיע	stigao	הגיע	stići	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP;ACT
הגיע	stigla	הגיע	stići	V;MASC;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP;ACT
הגיע	došla	הגיע	doći	V;MASC;SG;3;PST;ACT	V;FEM;SG;PST;V.PTCP;ACT
הגיע	dosao	הגיע	dosao	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP;ACT
כמעט	skoro	כמעט	skoro	ADV	ADV
כמעט	gotovo	כמעט	gotovo	ADV	ADV
כוח	snagu	כוח	snaga	N;MASC;SG	N;ACC;FEM;SG
כוח	snaga	כוח	snaga	N;MASC;SG	N;NOM;FEM;SG
כוח	silom	כוח	sila	N;MASC;SG	N;INS;FEM;SG
כוח	sila	כוח	sila	N;MASC;SG	N;NOM;FEM;SG
כוח	moc	כוח	moc	N;MASC;SG	N;ACC;FEM;SG
כוח	moć	כוח	moć	N;MASC;SG	N;NOM;FEM;SG
כוח	snaga	כוח	snaga	N;MASC;SG	N;NOM;FEM;SG
כוח	napajanje	כוח	napajanje	N;MASC;SG	N;NOM;NEUT;SG
מלך	kralju	מלך	kralj	N;MASC;SG	N;DAT;MASC;SG
מלך	kralj	מלך	kralj	N;MASC;SG	N;NOM;MASC;SG
מקור	porijeklo	מקור	porijeklo	N;MASC;SG	N;NOM;NEUT;SG
מקור	podrijetlo	מקור	podrijetlo	N;MASC;SG	N;NOM;NEUT;SG
מקור	izvor	מקור	izvor	N;MASC;SG	N;NOM;MASC;SG
מקור	kljun	מקור	kljun	N;MASC;SG	N;NOM;MASC;SG
תוכנית	program	תוכנית	program	N;FEM;SG	N;NOM;MASC;SG
תוכנית	plan	תוכנית	plan	N;FEM;SG	N;NOM;MASC;SG
תוכנית	plana	תוכנית	plan	N;FEM;SG	N;GEN;MASC;SG
פעם	jednom	פעם	jednom	ADV	ADV
קיבל	primio	קיבל	primiti	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP;ACT
קיבל	prihvatio	קיבל	prihvatiti	V;MASC;SG;3;PST;ACT	V;MASC;SG;PST;V.PTCP;ACT
נשים	žene	איש	žena	N;FEM;PL	N;NOM;FEM;PL
במיוחד	osobito	במיוחד	osobito	ADV	ADV
במיוחד	posebno	במיוחד	posebno	ADV	ADV
במיוחד	naročito	במיוחד	naročito	ADV	ADV
במיוחד	pogotovo	במיוחד	pogotovo	ADV	ADV
מים	vode	מים	voda	N;MASC;PL	N;NOM;FEM;PL
כוחות	ovlasti	כוח	ovlast	N;MASC;PL	N;NOM;FEM;PL
כוחות	sile	כוח	sila	N;MASC;PL	N;NOM;FEM;PL
כוחות	sile	כוח	sila	N;MASC;PL	N;NOM;FEM;PL
פעולה	akcija	פעולה	akcija	N;FEM;SG	N;NOM;FEM;SG
נכון	istinito	נכון	istinit	ADJ;MASC;SG	ADJ;NOM;DEF;NEUT;SG
חוק	zakon	חוק	zakon	N;MASC;SG	N;NOM;MASC;SG
יחידה	jedinica	יחידה	jedinica	N;FEM;SG	N;NOM;FEM;SG
שוב	ponovo	שוב	ponovo	ADV	ADV
שוב	opet	שוב	opet	ADV	ADV
מדינות	države	מדינה	država	N;FEM;PL	N;NOM;FEM;PL
מדינות	stanja	מדינה	stanje	N;FEM;PL	N;NOM;NEUT;PL
מדינות	države	מדינה	država	N;FEM;PL	N;NOM;FEM;PL
מדינות	zemljama	מדינה	zemlja	N;FEM;PL	N;INS;FEM;PL
מדינות	zemlje	מדינה	zemlja	N;FEM;PL	N;NOM;FEM;PL
הבית	doma	הבית	doma	ADV	ADV
מפקד	zapovjednik	מפקד	zapovjednik	N;MASC;SG	N;NOM;MASC;SG
שלוש	tri	שלוש	tri	NUM;FEM;SG	NUM
אזור	regiji	אזור	regija	N;MASC;SG	N;DAT;FEM;SG
אזור	regija	אזור	regija	N;MASC;SG	N;NOM;FEM;SG
אזור	zona	אזור	zona	N;MASC;SG	N;NOM;FEM;SG
אזור	područje	אזור	područje	N;MASC;SG	N;NOM;NEUT;SG
אזור	oblast	אזור	oblast	N;MASC;SG	N;NOM;FEM;SG
פעמים	vremena	פעם	vrijeme	N;FEM;PL	N;NOM;NEUT;PL
קבוצות	grupe	קבוצה	grupa	N;FEM;PL	N;NOM;FEM;PL
קבוצות	timovi	קבוצה	tim	N;FEM;PL	N;NOM;MASC;PL
קבוצות	ekipe	קבוצה	ekipa	N;FEM;PL	N;NOM;FEM;PL
קבוצות	momčadi	קבוצה	momčad	N;FEM;PL	N;NOM;FEM;PL
סרט	film	סרט	film	N;MASC;SG	N;NOM;MASC;SG
סרט	film	סרט	film	N;MASC;SG	N;NOM;MASC;SG
קרב	bitku	קרב	bitka	N;MASC;SG	N;ACC;FEM;SG
קרב	boj	קרב	boj	N;MASC;SG	N;NOM;MASC;SG
קרב	bitka	קרב	bitka	N;MASC;SG	N;NOM;FEM;SG
קצר	kratki	קצר	kratka	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
קצר	kratka	קצר	kratak	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
ימים	dane	יום	dan	N;MASC;PL	N;ACC;MASC;PL
ימים	dana	יום	dan	N;MASC;PL	N;GEN;MASC;PL
ימים	dani	יום	dati	N;MASC;PL	N;NOM;MASC;PL
צבא	vojska	צבא	vojska	N;MASC;SG	N;NOM;FEM;SG
צבא	vojska	צבא	vojska	N;MASC;SG	N;NOM;FEM;SG
צבא	armija	צבא	armija	N;MASC;SG	N;NOM;FEM;SG
ים	morem	ים	more	N;MASC;SG	N;INS;NEUT;SG
ים	moru	ים	more	N;MASC;SG	N;DAT;NEUT;SG
ים	more	ים	more	N;MASC;SG	N;NOM;NEUT;SG
הפך	postao	הפך	postati	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP;ACT
הפך	postala	הפך	postati	V;MASC;SG;3;PST	V;FEM;SG;PST;V.PTCP;ACT
הפך	postalo	הפך	postati	V;MASC;SG;3;PST	V;NEUT;SG;PST;V.PTCP;ACT
משחק	igra	משחק	igra	N;MASC;SG	N;NOM;FEM;SG
משחק	igranje	משחק	igranje	N;MASC;SG	N;NOM;NEUT;SG
משחק	gluma	משחק	gluma	N;MASC;SG	N;NOM;FEM;SG
למעשה	zapravo	למעשה	zapravo	ADV	ADV
מדי	previše	מדי	previše	ADV	ADV
פעילות	aktivnost	פעילות	aktivnost	N;FEM;SG	N;NOM;FEM;SG
שטח	polje	שטח	polje	N;MASC;SG	N;NOM;NEUT;SG
שטח	teren	שטח	teren	N;MASC;SG	N;NOM;MASC;SG
שטח	područje	שטח	područje	N;MASC;SG	N;NOM;NEUT;SG
שטח	oblast	שטח	oblast	N;MASC;SG	N;NOM;FEM;SG
מאוחר	kasno	מאוחר	kasno	ADV	ADV
קולנוע	film	קולנוע	film	N;MASC;SG	N;NOM;MASC;SG
קולנוע	kino	קולנוע	kino	N;MASC;SG	N;NOM;MASC;SG
קולנוע	kinematografija	קולנוע	kinematografija	N;MASC;SG	N;NOM;FEM;SG
קולנוע	kino	קולנוע	kino	N;MASC;SG	N;NOM;MASC;SG
קשר	veza	קשר	veza	N;MASC;SG	N;NOM;FEM;SG
קשר	povezanost	קשר	povezanost	N;MASC;SG	N;NOM;FEM;SG
קשר	povezivanje	קשר	povezivanje	N;MASC;SG	N;NOM;NEUT;SG
קשר	poveznica	קשר	poveznica	N;MASC;SG	N;NOM;FEM;SG
קשר	kontakt	קשר	kontakt	N;MASC;SG	N;NOM;MASC;SG
קשר	čvor	קשר	čvor	N;MASC;SG	N;NOM;MASC;SG
אחרת	inače	אחרת	inače	ADV	ADV
קודם	prvo	קודם	prvo	ADV	ADV
עיר	grad	עיר	grad	N;FEM;SG	N;NOM;MASC;SG
עיר	grad	עיר	grad	N;FEM;SG	N;NOM;MASC;SG
עיר	gradom	עיר	grad	N;FEM;SG	N;INS;MASC;SG
הופעות	utiske	הופעה	utiski	N;FEM;PL	N;ACC;MASC;PL
הופעות	koncerte	הופעה	koncert	N;FEM;PL	N;ACC;MASC;PL
הופעות	koncerata	הופעה	koncert	N;FEM;PL	N;GEN;MASC;PL
תקופה	razdoblje	תקופה	razdoblje	N;FEM;SG	N;NOM;NEUT;SG
תקופה	period	תקופה	period	N;FEM;SG	N;NOM;MASC;SG
ספרים	knjige	ספר	knjiga	N;MASC;PL	N;NOM;FEM;PL
קטן	maleno	קטן	malen	ADJ;MASC;SG	ADJ;NOM;DEF;NEUT;SG
קטן	mali	קטן	mali	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
קטן	mala	קטן	mali	ADJ;MASC;SG	ADJ;NOM;DEF;FEM;SG
קטן	mali	קטן	mali	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
למד	naučio	למד	naučiti	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP;ACT
למד	studirala	למד	studirati	V;MASC;SG;3;PST	V;FEM;SG;PST;V.PTCP;ACT
למד	studirao	למד	studirati	V;MASC;SG;3;PST	V;MASC;SG;PST;V.PTCP;ACT
למד	naučiti	למד	naučiti	V;MASC;SG;3;PST	V;NFIN
ברית	savez	ברית	savez	N;FEM;SG	N;NOM;MASC;SG
ברית	saveza	ברית	savez	N;FEM;SG	N;GEN;MASC;SG
תשע	devet	תשע	devet	NUM;FEM;SG	NUM
פחות	manje	פחות	malo	ADV	ADV;CMPR
משרד	kancelarija	משרד	kancelarija	N;MASC;SG	N;NOM;FEM;SG
משרד	ured	משרד	ured	N;MASC;SG	N;NOM;MASC;SG
גרסאות	varijante	גרסה	varijanta	N;FEM;PL	N;NOM;FEM;PL
גרסאות	verzije	גרסה	verzija	N;FEM;PL	N;NOM;FEM;PL
זהב	zlato	זהב	zlato	N;MASC;SG	N;NOM;NEUT;SG
זהב	zlata	זהב	zlat	N;MASC;SG	N;GEN;MASC;SG
עולם	svijeta	עולם	svijet	N;MASC;SG	N;GEN;MASC;SG
עולם	svijet	עולם	svijet	N;MASC;SG	N;NOM;MASC;SG
יד	ruka	יד	ruka	N;FEM;SG	N;NOM;FEM;SG
יד	ruku	יד	ruka	N;FEM;SG	N;ACC;FEM;SG
מדינה	zemlja	מדינה	zemlja	N;FEM;SG	N;NOM;FEM;SG
מדינה	država	מדינה	država	N;FEM;SG	N;NOM;FEM;SG
מדינה	domovina	מדינה	domovina	N;FEM;SG	N;NOM;FEM;SG
מדינה	stanje	מדינה	stanje	N;FEM;SG	N;NOM;NEUT;SG
מדינה	država	מדינה	država	N;FEM;SG	N;NOM;FEM;SG
מדינה	stanju	מדינה	stanje	N;FEM;SG	N;DAT;NEUT;SG
ארגון	organizacija	ארגון	organizacija	N;MASC;SG	N;NOM;FEM;SG
ארגון	organizacija	ארגון	organizacija	N;MASC;SG	N;NOM;FEM;SG
ארגון	organiziranje	ארגון	organiziranje	N;MASC;SG	N;NOM;NEUT;SG
לכתוב	pišite	כתב	pisati	V;NFIN;ACT	V;IMP;PL;2;FIN
לכתוב	piši	כתב	pisati	V;NFIN;ACT	V;IMP;SG;2;FIN
לכתוב	napišite	כתב	napisiti	V;NFIN;ACT	V;IMP;PL;2;FIN
גדולה	velika	גדול	velik	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
גדולה	veliki	גדול	velik	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
גדולה	veliko	גדול	velik	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
קשה	teško	קשה	teško	ADV	ADV
קשה	teško	קשה	teško	ADV	ADV
קשה	teško	קשה	teško	ADV	ADV
אוכלוסייה	stanovništvo	אוכלוסייה	stanovništvo	N;FEM;SG	N;NOM;NEUT;SG
