קטגוריה	kategooria	קטגוריה	kategooria	N;FEM;SG	N;NOM;SG
בעיקר	enamjaolt	בעיקר	enam_jaolt	ADV	ADV
בעיקר	enamasti	בעיקר	enamasti	ADV	ADV
אתר	koduleht	אתר	kodu_leht	N;MASC;SG	N;NOM;SG
אתר	veebileht	אתר	veebi_leht	N;MASC;SG	N;NOM;SG
אתר	veebisait	אתר	veebi_sait	N;MASC;SG	N;NOM;SG
אתר	kodulehekülg	אתר	kodu_lehe_külg	N;MASC;SG	N;NOM;SG
אתר	saidi	אתר	saima	N;MASC;SG	N;GEN;SG
אתר	ala	אתר	ala	N;MASC;SG	N;NOM;SG
אתר	eeter	אתר	eeter	N;MASC;SG	N;NOM;SG
שונים	erinevad	שונה	erinev	ADJ;MASC;PL	ADJ;NOM;PL;PRS;V.PTCP;ACT
אדם	inimene	אדם	inimene	N;MASC;SG	N;NOM;SG
אדם	isik	אדם	isik	N;MASC;SG	N;NOM;SG
אדם	adam	אדם	adam	N;MASC;SG	N;NOM;SG
אדם	inimene	אדם	inimene	N;MASC;SG	N;NOM;SG
אדם	mehel	אדם	mees	N;MASC;SG	N;AT+ESS
;SG
אדם	mees	אדם	mees	N;MASC;SG	N;NOM;SG
אדם	man	אדם	man	N;MASC;SG	N;NOM;SG
עוד	rohkem	עוד	rohkem	ADV	ADV
דבר	asi	דבר	asi	N;MASC;SG	N;NOM;SG
דבר	jutt	דבר	jutt	N;MASC;SG	N;NOM;SG
דבר	kõnele	דבר	kõne	N;MASC;SG	N;AT+ALL;SG
ספר	raamatu	ספר	raamat	N;MASC;SG	N;GEN;SG
ספר	raamat	ספר	raamat	N;MASC;SG	N;NOM;SG
ספר	juuksur	ספר	juuksur	N;MASC;SG	N;NOM;SG
זכה	võitis	זכה	võitma	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN;ACT
הן	nad	הוא	tema	PRO;FEM;PL;3	PRO;NOM;PL;3
יום	päev	יום	päev	N;MASC;SG	N;NOM;SG
יום	päeva	יום	päev	N;MASC;SG	N;PRT;SG
יום	hume	יום	hume	N;MASC;SG	N;NOM;SG
אלה	need	אלה	see	PRO;MASC;PL;3	PRO;NOM;PL
אלה	neid	אלה	see	PRO;MASC;PL;3	PRO;PRT;PL
כבר	juba	כבר	juba	ADV	ADV
כיום	praegu	כיום	praegu	ADV	ADV
מקום	toimumiskoht	מקום	toimumis_koht	N;MASC;SG	N;NOM;SG
מקום	koht	מקום	koht	N;MASC;SG	N;NOM;SG
מאוד	väga	מאוד	väga	ADV	ADV
יהודים	juudid	יהודי	juut	N;MASC;PL	N;NOM;PL
שנת	aasta	שנה	aasta	N;PSSD;FEM;SG	N;NOM;SG
יכול	võiks	None	võima	V;MASC;SG;V.PTCP	V;COND;PRS;FIN;ACT
יחד	koos	יחד	koos	ADV	ADV
יחד	üheskoos	יחד	ühes_koos	ADV	ADV
בעל	baal	בעל	baal	N;MASC;SG	N;NOM;SG
בעל	abikaasa	בעל	abi_kaasa	N;MASC;SG	N;NOM;SG
תמונה	foto	תמונה	foto	N;FEM;SG	N;NOM;SG
תמונה	pilt	תמונה	pilt	N;FEM;SG	N;NOM;SG
תמונה	pildi	תמונה	pilt	N;FEM;SG	N;GEN;SG
תמונה	pilt	תמונה	pilt	N;FEM;SG	N;NOM;SG
תמונה	pildi	תמונה	pilt	N;FEM;SG	N;GEN;SG
כתב	ajakirjanik	כתב	aja_kirjanik	N;MASC;SG	N;NOM;SG
כתב	reporter	כתב	reporter	N;MASC;SG	N;NOM;SG
היום	täna	היום	täna	ADV	ADV
החברה	ühiskond	החברה	ühiskond	N;FEM;SG	N;NOM;SG
החברה	äriühing	החברה	äri_ühing	N;FEM;SG	N;NOM;SG
החברה	ettevõte	החברה	ette_võte	N;FEM;SG	N;NOM;SG
החברה	seltskond	החברה	seltskond	N;FEM;SG	N;NOM;SG
שונות	erinevad	שונה	erinev	ADJ;FEM;PL	ADJ;NOM;PL;PRS;V.PTCP;ACT
מערכת	süsteemi	מערכת	süsteem	N;FEM;SG	N;PRT;SG
מערכת	süsteem	מערכת	süsteem	N;FEM;SG	N;NOM;SG
מערכת	system	מערכת	system	N;FEM;SG	N;NOM;SG
בלבד	ainult	בלבד	ainult	ADV	ADV
עבר	minevik	עבר	minevik	N;MASC;SG	N;NOM;SG
מרכז	kesk	מרכז	kesk	N;MASC;SG	N;NOM;SG
מרכז	keskosa	מרכז	kesk_osa	N;MASC;SG	N;NOM;SG
מרכז	keskus	מרכז	keskus	N;MASC;SG	N;NOM;SG
מרכז	center	מרכז	center	N;MASC;SG	N;NOM;SG
מרכז	keskus	מרכז	keskus	N;MASC;SG	N;NOM;SG
שימוש	kasutamine	שימוש	kasutamine	N;MASC;SG	N;NOM;SG
שימוש	kasutus	שימוש	kasutus	N;MASC;SG	N;NOM;SG
שימוש	kasutamine	שימוש	kasutamine	N;MASC;SG	N;NOM;SG
שימוש	use	שימוש	uks	N;MASC;SG	N;NOM;SG
שימוש	kasutamine	שימוש	kasutamine	N;MASC;SG	N;NOM;SG
שימוש	kasutamiseks	שימוש	kasutamine	N;MASC;SG	N;TRANS;SG
שימוש	kasutus	שימוש	kasutus	N;MASC;SG	N;NOM;SG
רוב	enamikul	רוב	enamik	N;MASC;SG	N;AT+ESS
;SG
רוב	enamus	רוב	enamus	N;MASC;SG	N;NOM;SG
רוב	enamik	רוב	enamik	N;MASC;SG	N;NOM;SG
רוב	rob	רוב	rob	N;MASC;SG	N;NOM;SG
רוב	enamus	רוב	enamus	N;MASC;SG	N;NOM;SG
גדול	suure	גדול	suur	ADJ;MASC;SG	ADJ;GEN;SG
גדול	suur	גדול	suur	ADJ;MASC;SG	ADJ;NOM;SG
גדול	suure	גדול	suur	ADJ;MASC;SG	ADJ;GEN;SG
גדול	suur	גדול	suur	ADJ;MASC;SG	ADJ;NOM;SG
גדול	suure	גדול	suur	ADJ;MASC;SG	ADJ;GEN;SG
ישראלים	iisraellased	ישראלי	iis_raellane	N;MASC;PL	N;NOM;PL
יהודי	juudi	יהודי	juut	N;MASC;SG	N;PRT;SG
יהודי	juut	יהודי	juut	N;MASC;SG	N;NOM;SG
יהודי	juut	יהודי	juut	N;MASC;SG	N;NOM;SG
סוג	tüüp	סוג	tüüp	N;MASC;SG	N;NOM;SG
מידע	info	מידע	info	N;MASC;SG	N;NOM;SG
מידע	teave	מידע	teave	N;MASC;SG	N;NOM;SG
מידע	info	מידע	info	N;MASC;SG	N;NOM;SG
מידע	informatsioon	מידע	informatsioon	N;MASC;SG	N;NOM;SG
ערכים	väärtused	ערך	väärtus	N;MASC;PL	N;NOM;PL
ערכים	kirjed	ערך	kirje	N;MASC;PL	N;NOM;PL
אנשים	inimesed	איש	inimene	N;MASC;PL	N;NOM;PL
דקות	minutid	דקה	minut	N;FEM;PL	N;NOM;PL
חבר	sõber	חבר	sõber	N;MASC;SG	N;NOM;SG
חבר	sõbranna	חבר	sõbranna	N;MASC;SG	N;NOM;SG
בת	tütar	בת	tütar	N;FEM;SG	N;NOM;SG
בת	beth	בת	beth	N;FEM;SG	N;NOM;SG
כאן	siin	כאן	siin	ADV	ADV
לעתים	mõnikord	לעתים	mõni_kord	ADV	ADV
לעתים	vahel	לעתים	vahel	ADV	ADV
לעתים	vahest	לעתים	vahest	ADV	ADV
הכנסת	knesseti	הכנסה	knesset	N;PSSD;FEM;SG	N;PRT;SG
הכנסת	sünagoog	הכנסה	sünagoog	N;PSSD;FEM;SG	N;NOM;SG
חדש	uus	חדש	uus	ADJ;MASC;SG	ADJ;NOM;SG
ארץ	riik	ארץ	riik	N;FEM;SG	N;NOM;SG
ארץ	maa	ארץ	maa	N;FEM;SG	N;NOM;SG
ארץ	maad	ארץ	maa	N;FEM;SG	N;PRT;SG
ארץ	land	ארץ	land	N;FEM;SG	N;NOM;SG
ארץ	maa	ארץ	maa	N;FEM;SG	N;NOM;SG
כלי	tööriist	כלי	töö_riist	N;MASC;SG	N;NOM;SG
הרבה	palju	הרבה	palju	ADV	ADV
הרבה	palju	הרבה	palju	ADV	ADV
הרבה	palju	הרבה	palju	ADV	ADV
אתה	sind	הוא	sina	PRO;MASC;SG;2	PRO;PRT;SG;2
אתה	sina	הוא	sina	PRO;MASC;SG;2	PRO;NOM;SG;2
טוב	tubli	טוב	tubli	ADJ;MASC;SG	ADJ;NOM;SG
טוב	hea	טוב	hea	ADJ;MASC;SG	ADJ;NOM;SG
ילדים	lapsed	ילד	laps	N;MASC;PL	N;NOM;PL
ילדים	lapsed	ילד	laps	N;MASC;PL	N;NOM;PL
שלושה	kolm	שלושה	kolm	NUM;MASC;SG	NUM;NOM;SG
הגיע	saabunud	הגיע	saabuma	V;MASC;SG;3;PST;ACT	V;PST;V.PTCP;ACT
הגיע	saabus	הגיע	saabuma	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN;ACT
כמעט	peaaegu	כמעט	pea_aegu	ADV	ADV
כמעט	peaaegu	כמעט	pea_aegu	ADV	ADV
מיליון	mln	מיליון	mln	NUM;MASC;SG	NUM
מיליון	miljonit	מיליון	miljon	NUM;MASC;SG	NUM;NOM;SG
מיליון	miljon	מיליון	miljon	NUM;MASC;SG	NUM;NOM;SG
מיליון	miljoni	מיליון	miljon	NUM;MASC;SG	NUM;NOM;SG
כוח	jõudu	כוח	jõud	N;MASC;SG	N;PRT;SG
כוח	tugevus	כוח	tugevus	N;MASC;SG	N;NOM;SG
כוח	force	כוח	force	N;MASC;SG	N;NOM;SG
כוח	jõud	כוח	jõud	N;MASC;SG	N;NOM;SG
כוח	jõuga	כוח	jõud	N;MASC;SG	N;COM;SG
כוח	power	כוח	power	N;MASC;SG	N;NOM;SG
כוח	võimu	כוח	võim	N;MASC;SG	N;PRT;SG
כוח	võim	כוח	võim	N;MASC;SG	N;NOM;SG
כוח	võimsus	כוח	võimsus	N;MASC;SG	N;NOM;SG
כוח	jõud	כוח	jõud	N;MASC;SG	N;NOM;SG
מלך	king	מלך	king	N;MASC;SG	N;NOM;SG
מלך	kuningas	מלך	kuningas	N;MASC;SG	N;NOM;SG
מלך	kunn	מלך	kunn	N;MASC;SG	N;NOM;SG
מקור	päritolu	מקור	pärit_olu	N;MASC;SG	N;NOM;SG
מקור	allika	מקור	allikas	N;MASC;SG	N;GEN;SG
מקור	allikat	מקור	allikas	N;MASC;SG	N;PRT;SG
מקור	allikas	מקור	allikas	N;MASC;SG	N;NOM;SG
מקור	nokk	מקור	nokk	N;MASC;SG	N;NOM;SG
תוכנית	programm	תוכנית	programm	N;FEM;SG	N;NOM;SG
תוכנית	plaan	תוכנית	plaan	N;FEM;SG	N;NOM;SG
תוכנית	plaani	תוכנית	plaan	N;FEM;SG	N;PRT;SG
תוכנית	kava	תוכנית	kava	N;FEM;SG	N;NOM;SG
תוכנית	programm	תוכנית	programm	N;FEM;SG	N;NOM;SG
תוכנית	programmi	תוכנית	programm	N;FEM;SG	N;PRT;SG
פעם	kord	פעם	kord	ADV	ADV
משתמש	kasutades	השתמש	kasutama	V;MASC;SG;V.PTCP	V;V.CVB
קיבל	laekunud	קיבל	laekuma	V;MASC;SG;3;PST;ACT	V;PST;V.PTCP;ACT
קיבל	leppis	קיבל	leppima	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN;ACT
נשים	naised	איש	naine	N;FEM;PL	N;NOM;PL
במיוחד	eriti	במיוחד	eriti	ADV	ADV
במיוחד	eriti	במיוחד	eriti	ADV	ADV
עדיין	ikkagi	עדיין	ikkagi	ADV	ADV
עדיין	ikka	עדיין	ikka	ADV	ADV
כוחות	võimed	כוח	võime	N;MASC;PL	N;NOM;PL
כוחות	volitused	כוח	volitus	N;MASC;PL	N;NOM;PL
פעולה	tegevus	פעולה	tegevus	N;FEM;SG	N;NOM;SG
פעולה	võte	פעולה	võte	N;FEM;SG	N;NOM;SG
פעולה	toiming	פעולה	toiming	N;FEM;SG	N;NOM;SG
נכון	õige	נכון	õige	ADJ;MASC;SG	ADJ;NOM;SG
נכון	tõene	נכון	tõene	ADJ;MASC;SG	ADJ;NOM;SG
החלה	algas	החל	algama	V;FEM;SG;3;PST;ACT	V;IND;SG;3;PST;FIN;ACT
החלה	alanud	החל	algama	V;FEM;SG;3;PST;ACT	V;PST;V.PTCP;ACT
חוק	seadus	חוק	seadus	N;MASC;SG	N;NOM;SG
יחידה	ühik	יחידה	ühik	N;FEM;SG	N;NOM;SG
יחידה	üksus	יחידה	üksus	N;FEM;SG	N;NOM;SG
שוב	uuesti	שוב	uuesti	ADV	ADV
שוב	taas	שוב	taas	ADV	ADV
שוב	jälle	שוב	jälle	ADV	ADV
מדינות	riigid	מדינה	riik	N;FEM;PL	N;NOM;PL
מדינות	riigid	מדינה	riik	N;FEM;PL	N;NOM;PL
מפקד	komandör	מפקד	komandör	N;MASC;SG	N;NOM;SG
שלוש	kolm	שלוש	kolm	NUM;FEM;SG	NUM;NOM;SG
אזור	regioon	אזור	regioon	N;MASC;SG	N;NOM;SG
אזור	piirkond	אזור	piirkond	N;MASC;SG	N;NOM;SG
אזור	tsoon	אזור	tsoon	N;MASC;SG	N;NOM;SG
אזור	vöönd	אזור	vöönd	N;MASC;SG	N;NOM;SG
אזור	pindala	אזור	pind_ala	N;MASC;SG	N;NOM;SG
אזור	valdkond	אזור	valdkond	N;MASC;SG	N;NOM;SG
אזור	piirkond	אזור	piirkond	N;MASC;SG	N;NOM;SG
אזור	ala	אזור	ala	N;MASC;SG	N;NOM;SG
פעמים	ajad	פעם	aeg	N;FEM;PL	N;NOM;PL
קבוצות	grupid	קבוצה	grupp	N;FEM;PL	N;NOM;PL
קבוצות	rühmad	קבוצה	rühm	N;FEM;PL	N;NOM;PL
קבוצות	meeskonnad	קבוצה	meeskond	N;FEM;PL	N;NOM;PL
קבוצות	rühmad	קבוצה	rühm	N;FEM;PL	N;NOM;PL
סרט	filmi	סרט	film	N;MASC;SG	N;PRT;SG
סרט	film	סרט	film	N;MASC;SG	N;NOM;SG
סרט	filmi	סרט	film	N;MASC;SG	N;PRT;SG
סרט	kile	סרט	kile	N;MASC;SG	N;NOM;SG
סרט	film	סרט	film	N;MASC;SG	N;NOM;SG
קרב	lahing	קרב	lahing	N;MASC;SG	N;NOM;SG
קצר	lühike	קצר	lühike	ADJ;MASC;SG	ADJ;NOM;SG
ימים	päevad	יום	päev	N;MASC;PL	N;NOM;PL
ימים	päevi	יום	päev	N;MASC;PL	N;PRT;PL
צבא	sõjaväe	צבא	sõja_vägi	N;MASC;SG	N;NOM;SG
צבא	sõjavägi	צבא	sõja_vägi	N;MASC;SG	N;NOM;SG
צבא	armee	צבא	armee	N;MASC;SG	N;NOM;SG
צבא	sõjavägi	צבא	sõja_vägi	N;MASC;SG	N;NOM;SG
ים	meri	ים	meri	N;MASC;SG	N;NOM;SG
ים	mere	ים	meri	N;MASC;SG	N;NOM;SG
הפך	sai	הפך	saama	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN;ACT
משחק	mängu	משחק	mäng	N;MASC;SG	N;PRT;SG
משחק	mäng	משחק	mäng	N;MASC;SG	N;NOM;SG
משחק	mängimine	משחק	mängimine	N;MASC;SG	N;NOM;SG
משחק	näitlemine	משחק	näitlemine	N;MASC;SG	N;NOM;SG
למעשה	tegelikult	למעשה	tegelikult	ADV	ADV
למעשה	tegelt	למעשה	tegelt	ADV	ADV
מדי	liiga	מדי	liiga	ADV	ADV
פעילות	tegevus	פעילות	tegevus	N;FEM;SG	N;NOM;SG
פעילות	aktiivsus	פעילות	aktiivsus	N;FEM;SG	N;NOM;SG
שטח	põld	שטח	põld	N;MASC;SG	N;NOM;SG
שטח	väli	שטח	väli	N;MASC;SG	N;NOM;SG
שטח	maastik	שטח	maastik	N;MASC;SG	N;NOM;SG
שטח	pindala	שטח	pind_ala	N;MASC;SG	N;NOM;SG
שטח	valdkond	שטח	valdkond	N;MASC;SG	N;NOM;SG
שטח	piirkond	שטח	piirkond	N;MASC;SG	N;NOM;SG
שטח	ala	שטח	ala	N;MASC;SG	N;NOM;SG
מאוחר	hilja	מאוחר	hilja	ADV	ADV
קולנוע	filmi	קולנוע	film	N;MASC;SG	N;PRT;SG
קולנוע	film	קולנוע	film	N;MASC;SG	N;NOM;SG
קולנוע	kinematograafia	קולנוע	kinemato_graafia	N;MASC;SG	N;NOM;SG
קולנוע	kino	קולנוע	kino	N;MASC;SG	N;NOM;SG
קשר	ühendus	קשר	ühendus	N;MASC;SG	N;NOM;SG
קשר	ühenduse	קשר	ühendus	N;MASC;SG	N;GEN;SG
קשר	kontakt	קשר	kontakt	N;MASC;SG	N;NOM;SG
קשר	kontakti	קשר	kontakt	N;MASC;SG	N;PRT;SG
קשר	sõlm	קשר	sõlm	N;MASC;SG	N;NOM;SG
קשר	sõlme	קשר	sõlm	N;MASC;SG	N;PRT;SG
אחרת	muidu	אחרת	muidu	ADV	ADV
קודם	kõigepealt	קודם	kõige_pealt	ADV	ADV
קודם	esmalt	קודם	esmalt	ADV	ADV
עיר	linn	עיר	linn	N;FEM;SG	N;NOM;SG
עיר	linna	עיר	linn	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
עיר	linn	עיר	linn	N;FEM;SG	N;NOM;SG
עיר	linna	עיר	linn	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
עיר	city	עיר	city	N;FEM;SG	N;NOM;SG
הופעות	muljed	הופעה	mulje	N;FEM;PL	N;NOM;PL
הופעות	kontserdid	הופעה	kontsert	N;FEM;PL	N;NOM;PL
תקופה	periood	תקופה	periood	N;FEM;SG	N;NOM;SG
תקופה	perioodi	תקופה	periood	N;FEM;SG	N;PRT;SG
תקופה	ajavahemik	תקופה	aja_vahemik	N;FEM;SG	N;NOM;SG
ספרים	raamatud	ספר	raamat	N;MASC;PL	N;NOM;PL
קטן	väike	קטן	väike	ADJ;MASC;SG	ADJ;NOM;SG
קטן	väike	קטן	väike	ADJ;MASC;SG	ADJ;NOM;SG
למד	õppis	למד	õppima	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN;ACT
למד	õppinud	למד	õppima	V;MASC;SG;3;PST	V;PST;V.PTCP;ACT
למד	uuritud	למד	uurima	V;MASC;SG;3;PST	V;PST;V.PTCP;PASS
למד	õppima	למד	õppima	V;MASC;SG;3;PST	V;IN+ALL;V.CVB;ACT
למד	õppida	למד	õppima	V;MASC;SG;3;PST	V;NFIN
ברית	liit	ברית	liit	N;FEM;SG	N;NOM;SG
תשע	üheksa	תשע	üheksa	NUM;FEM;SG	NUM;NOM;SG
פחות	vähem	פחות	vähem	ADV	ADV
פחות	vähem	פחות	vähem	ADV	ADV
ישראלי	iisraeli	ישראלי	iisrael	N;MASC;SG	N;PRT;SG
ישראלי	iisrael	ישראלי	iisrael	N;MASC;SG	N;NOM;SG
משרד	kontor	משרד	kontor	N;MASC;SG	N;NOM;SG
משרד	büroo	משרד	büroo	N;MASC;SG	N;NOM;SG
משרד	kabinet	משרד	kabinet	N;MASC;SG	N;NOM;SG
איך	kuidas	איך	kuidas	ADV	ADV
גרסאות	variandid	גרסה	variant	N;FEM;PL	N;NOM;PL
גרסאות	versioonid	גרסה	versioon	N;FEM;PL	N;NOM;PL
זהב	golden	זהב	golden	N;MASC;SG	N;NOM;SG
זהב	kuld	זהב	kuld	N;MASC;SG	N;NOM;SG
זהב	kulda	זהב	kuld	N;MASC;SG	N;PRT;SG
זהב	kullast	זהב	kuld	N;MASC;SG	N;IN+ABL;SG
עולם	maailma	עולם	maa_ilm	N;MASC;SG	N;PRT;SG
עולם	maailm	עולם	maa_ilm	N;MASC;SG	N;NOM;SG
יד	kätt	יד	käsi	N;FEM;SG	N;PRT;SG
יד	käe	יד	käsi	N;FEM;SG	N;GEN;SG
יד	käega	יד	käsi	N;FEM;SG	N;COM;SG
מדינה	riik	מדינה	riik	N;FEM;SG	N;NOM;SG
מדינה	riik	מדינה	riik	N;FEM;SG	N;NOM;SG
מדינה	olek	מדינה	olek	N;FEM;SG	N;NOM;SG
מדינה	osariik	מדינה	osa_riik	N;FEM;SG	N;NOM;SG
ארגון	organisatsioon	ארגון	organisatsioon	N;MASC;SG	N;NOM;SG
ארגון	organisatsioon	ארגון	organisatsioon	N;MASC;SG	N;NOM;SG
ארגון	korraldamine	ארגון	korraldamine	N;MASC;SG	N;NOM;SG
לכתוב	kirjutada	כתב	kirjutama	V;NFIN;ACT	V;NFIN
לכתוב	kirjuta	כתב	kirjutama	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
לכתוב	kirjutage	כתב	kirjutama	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN;ACT
גדולה	suure	גדול	suur	ADJ;FEM;SG	ADJ;GEN;SG
גדולה	suur	גדול	suur	ADJ;FEM;SG	ADJ;NOM;SG
גדולה	suure	גדול	suur	ADJ;FEM;SG	ADJ;GEN;SG
גדולה	suur	גדול	suur	ADJ;FEM;SG	ADJ;NOM;SG
אוכלוסייה	populatsioon	אוכלוסייה	populatsioon	N;FEM;SG	N;NOM;SG
אוכלוסייה	populatsiooni	אוכלוסייה	populatsioon	N;FEM;SG	N;PRT;SG
אוכלוסייה	rahvastik	אוכלוסייה	rahvastik	N;FEM;SG	N;NOM;SG
אוכלוסייה	elanikkond	אוכלוסייה	elanikkond	N;FEM;SG	N;NOM;SG
אוכלוסייה	rahvaarv	אוכלוסייה	rahva_arv	N;FEM;SG	N;NOM;SG
הקהילה	ühendus	הקהיל	ühendus	N;FEM;SG	N;NOM;SG
הקהילה	kogukond	הקהיל	kogukond	N;FEM;SG	N;NOM;SG
קיים	olemasolev	קיים	olemas_olev	ADJ;MASC;SG	ADJ;NOM;SG;PRS;V.PTCP;ACT
מחוז	maakond	מחוז	maakond	N;MASC;SG	N;NOM;SG
מחוז	provints	מחוז	provints	N;MASC;SG	N;NOM;SG
מחוז	ringkond	מחוז	ringkond	N;MASC;SG	N;NOM;SG
מחוז	rajoon	מחוז	rajoon	N;MASC;SG	N;NOM;SG
תואר	kraadi	תואר	kraad	N;MASC;SG	N;PRT;SG
תואר	kraad	תואר	kraad	N;MASC;SG	N;NOM;SG
סדרת	seeria	סדרה	seeria	N;FEM;SG	N;NOM;SG
למצוא	leida	מצא	leidma	V;NFIN;ACT	V;NFIN
למצוא	leia	מצא	leidma	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
למצוא	otsi	מצא	otsima	V;NFIN;ACT	V;IMP;SG;2;PRS;FIN;ACT
עבודה	töö	עבודה	töö	N;FEM;SG	N;NOM;SG
עבודה	töökoht	עבודה	töö_koht	N;FEM;SG	N;NOM;SG
עבודה	tööd	עבודה	töö	N;FEM;SG	N;PRT;SG
עבודה	töö	עבודה	töö	N;FEM;SG	N;NOM;SG
עבודה	tööle	עבודה	töö	N;FEM;SG	N;AT+ALL;SG
חשוב	tähtis	חשוב	tähtis	ADJ;MASC;SG	ADJ;NOM;SG
חשוב	oluline	חשוב	oluline	ADJ;MASC;SG	ADJ;NOM;SG
תבנית	muster	תבנית	muster	N;FEM;SG	N;NOM;SG
תבנית	mustri	תבנית	muster	N;FEM;SG	N;GEN;SG
תבנית	mall	תבנית	mall	N;FEM;SG	N;NOM;SG
