lui	his	el	he	PRO;3	PRO;MASC;SG;3
trei	three	trei	three	NUM;PL	NUM
asteroizi	asteroids	asteroid	asteroid	N;INDF;MASC;PL	N;PL
limba	tongue	limbă	tongue	N;DEF;FEM;SG	N;SG
limba	language	limbă	language	N;DEF;FEM;SG	N;SG
discuție	discussion	discuție	discussion	N;INDF;FEM;SG	N;SG
partea	part	parte	part	N;DEF;FEM;SG	N;SG
departamentul	department	departament	department	N;DEF;MASC;SG	N;SG
foarte	very	foarte	very	ADV	ADV
data	date	dată	date	N;DEF;FEM;SG	N;SG
data	data	dată	data	N;DEF;FEM;SG	N;SG
departament	department	departament	department	N;INDF;MASC;SG	N;SG
apoi	then	apoi	then	ADV	ADV
grup	group	grup	group	N;INDF;MASC;SG	N;SG
locul	place	loc	place	N;DEF;MASC;SG	N;SG
oraș	tow	oraș	tow	N;INDF;MASC;SG	N;SG
oraș	city	oraș	city	N;INDF;MASC;SG	N;SG
camp	camp	camp	camp	N;INDF;MASC;SG	N;SG
satul	village	sat	village	N;DEF;MASC;SG	N;SG
național	national	național	national	ADJ;INDF;MASC;SG	ADJ
note	notes	notă	note	N;INDF;FEM;PL	N;PL
perioada	period	perioadă	period	N;DEF;FEM;SG	N;SG
minoritate	minority	minoritate	minority	N;INDF;FEM;SG	N;SG
ucraineană	ukrainian	ucrainean	ukrainian	ADJ;INDF;FEM;SG	ADJ
cadrul	framework	cadru	framework	N;DEF;MASC;SG	N;SG
general	general	general	general	ADJ;INDF;MASC;SG	ADJ
război	war	război	war	N;INDF;MASC;SG	N;SG
română	romanian	român	romanian	ADJ;INDF;FEM;SG	ADJ
început	beginning	început	beginning	N;INDF;MASC;SG	N;SG
român	romanian	român	romanian	ADJ;INDF;MASC;SG	ADJ
provincia	province	provincie	province	N;DEF;FEM;SG	N;SG
existând	existing	exista	exist	V;V.MSDR	V;V.MSDR
vedere	view	vedere	view	N;INDF;FEM;SG	N;SG
wikipedia	wikipedia	wikipedia	wikipedia	N;DEF;FEM;SG	N;SG
punct	dot	punct	dot	N;INDF;MASC;SG	N;SG
punct	point	punct	point	N;INDF;MASC;SG	N;SG
stat	state	stat	state	N;INDF;MASC;SG	N;SG
atunci	then	atunci	then	ADV	ADV
secolul	century	secol	century	N;DEF;MASC;SG	N;SG
aceasta	this	acesta	this	PRO;FEM;SG;3	PRO;SG
reședință	residence	reședință	residence	N;INDF;FEM;SG	N;SG
orașul	city	oraș	city	N;DEF;MASC;SG	N;SG
chiar	even	chiar	even	ADV	ADV
făcut	made	face	make	V;MASC;SG;V.PTCP	V;PST;V.PTCP
film	movie	film	movie	N;INDF;MASC;SG	N;SG
film	film	film	film	N;INDF;MASC;SG	N;SG
perioadă	period	perioadă	period	N;INDF;FEM;SG	N;SG
vorbitori	speakers	vorbitor	speaker	N;INDF;MASC;PL	N;PL
date	dates	dată	date	N;INDF;FEM;PL	N;PL
decât	than	decât	than	ADV	ADV
aici	here	aici	here	ADV	ADV
mari	big	mare	big	ADJ;INDF;PL	ADJ
zile	days	zi	day	N;INDF;FEM;PL	N;PL
față	front	față	front	N;INDF;FEM;SG	N;SG
față	face	față	face	N;INDF;FEM;SG	N;SG
club	club	club	club	N;INDF;MASC;SG	N;SG
componente	components	componentă	component	N;INDF;FEM;PL	N;PL
ulterior	subsequently	ulterior	subsequently	ADV	ADV
nou	new	nou	new	ADJ;INDF;MASC;SG	ADJ
numai	only	numai	only	ADV	ADV
având	having	avea	have	V;V.MSDR	V;V.MSDR
rusă	russian	rus	russian	ADJ;INDF;FEM;SG	ADJ
populația	population	populație	population	N;DEF;FEM;SG	N;SG
doi	two	doi	two	NUM;MASC;PL	NUM
membru	member	membru	member	N;INDF;MASC;SG	N;SG
dată	date	dată	date	N;INDF;FEM;SG	N;SG
nici	neither	nici	neither	ADV	ADV
împotriva	against	împotriva	against	ADP;GEN	ADP
deși	although	deși	although	CONJ;POS	CONJ
împreună	together	împreună	together	ADV	ADV
excentricitate	eccentricity	excentricitate	eccentricity	N;INDF;FEM;SG	N;SG
încă	still	încă	still	ADV	ADV
înainte	forward	înainte	forward	ADV	ADV
înainte	before	înainte	before	ADV	ADV
lemn	wood	lemn	wood	N;INDF;MASC;SG	N;SG
națională	national	național	national	ADJ;INDF;FEM;SG	ADJ
subspecii	subspecies	subspeciu	subspecy	N;DEF;FEM;PL	N;PL
statele	states	stat	state	N;DEF;FEM;PL	N;PL
roman	novel	roman	novel	N;INDF;MASC;SG	N;SG
mod	mode	mod	mode	N;INDF;MASC;SG	N;SG
american	american	american	american	ADJ;INDF;MASC;SG	ADJ
casa	house	casă	house	N;DEF;FEM;SG	N;SG
acestea	these	acesta	these	PRO;FEM;PL;3	PRO;PL
categorie	category	categorie	category	N;INDF;FEM;SG	N;SG
text	text	text	text	N;INDF;MASC;SG	N;SG
http	http	http	http	N	N;SG
articole	articles	articol	article	N;INDF;FEM;PL	N;PL
articole	items	articol	item	N;INDF;FEM;PL	N;PL
milioane	million	milion	million	NUM;INDF;FEM;PL	NUM
apă	water	apă	water	N;INDF;FEM;SG	N;SG
țară	country	țară	country	N;INDF;FEM;SG	N;SG
sate	villages	sat	village	N;INDF;FEM;PL	N;PL
târziu	late	târziu	late	ADV	ADV
istoria	history	istorie	history	N;DEF;FEM;SG	N;SG
patru	four	patru	four	NUM;PL	NUM
râul	river	râu	river	N;DEF;MASC;SG	N;SG
tip	guy	tip	guy	N;INDF;MASC;SG	N;SG
tip	type	tip	type	N;INDF;MASC;SG	N;SG
premiul	prize	premiu	prize	N;DEF;MASC;SG	N;SG
premiul	award	premiu	award	N;DEF;MASC;SG	N;SG
persoane	persons	persoană	person	N;INDF;FEM;PL	N;PL
persoane	people	persoană	people	N;INDF;FEM;PL	N;PL
exemplu	example	exemplu	example	N;INDF;MASC;SG	N;SG
descriere	description	descriere	description	N;INDF;FEM;SG	N;SG
articol	article	articol	article	N;INDF;MASC;SG	N;SG
numărul	number	număr	number	N;DEF;MASC;SG	N;SG
comitatul	county	comitat	county	N;DEF;MASC;SG	N;SG
harta	map	hartă	map	N;DEF;FEM;SG	N;SG
jos	down	jos	down	ADV	ADV
marea	sea	mare	sea	N;DEF;FEM;SG	N;SG
deoarece	because	deoarece	because	CONJ;POS	CONJ
localitate	locality	localitate	locality	N;INDF;FEM;SG	N;SG
aproape	almost	aproape	almost	ADV	ADV
raport	report	raport	report	N;INDF;MASC;SG	N;SG
echipa	squad	echipă	squad	N;DEF;FEM;SG	N;SG
echipa	team	echipă	team	N;DEF;FEM;SG	N;SG
diferite	different	diferit	different	ADJ;INDF;FEM;PL	ADJ
baza	base	bază	base	N;DEF;FEM;SG	N;SG
valea	valley	vale	valley	N;DEF;FEM;SG	N;SG
comune	joint	comun	joint	ADJ;INDF;FEM;PL	ADJ
zona	zone	zonă	zone	N;DEF;FEM;SG	N;SG
zona	area	zonă	area	N;DEF;FEM;SG	N;SG
satului	village	sat	village	N;DEF;MASC;SG	N;SG
localitatea	locality	localitate	locality	N;DEF;FEM;SG	N;SG
resedinta	residence	resedinta	residence	N;DEF;FEM;SG	N;SG
viața	life	viață	life	N;DEF;FEM;SG	N;SG
bun	good	bun	good	ADJ;INDF;MASC;SG	ADJ
format	format	format	format	N;INDF;MASC;SG	N;SG
primit	received	primi	receive	V;MASC;SG;V.PTCP	V;PST;V.PTCP
președinte	chairman	președinte	chairman	N;INDF;MASC;SG	N;SG
oameni	people	om	people	N;INDF;MASC;PL	N;PL
istoric	historic	istoric	historic	ADJ;INDF;MASC;SG	ADJ
istoric	historical	istoric	historical	ADJ;INDF;MASC;SG	ADJ
suprafață	surface	suprafață	surface	N;INDF;FEM;SG	N;SG
suprafață	area	suprafață	area	N;INDF;FEM;SG	N;SG
universitatea	university	universitate	university	N;DEF;FEM;SG	N;SG
team	team	team	team	N;INDF;MASC;SG	N;SG
copii	kids	copil	kid	N;INDF;MASC;PL	N;PL
copii	children	copil	child	N;INDF;MASC;PL	N;PL
aproximativ	approximately	aproximativ	approximately	ADV	ADV
aproximativ	roughly	aproximativ	roughly	ADV	ADV
lucru	thing	lucru	thing	N;INDF;MASC;SG	N;SG
lucru	work	lucru	work	N;INDF;MASC;SG	N;SG
cazul	case	caz	case	N;DEF;MASC;SG	N;SG
români	romanians	român	romanian	N;INDF;MASC;PL	N;PL
acum	now	acum	now	ADV	ADV
recensământul	census	recensământ	census	N;DEF;MASC;SG	N;SG
centrul	center	centru	center	N;DEF;MASC;SG	N;SG
centrul	centre	centru	centre	N;DEF;MASC;SG	N;SG
reprezintă	represents	reprezenta	represent	V;IND;3;PRS;FIN	V;IND;SG;3;PRS;FIN
teritoriul	territory	teritoriu	territory	N;DEF;MASC;SG	N;SG
număr	number	număr	number	N;INDF;MASC;SG	N;SG
cauza	cause	cauză	cause	N;DEF;FEM;SG	N;SG
serie	series	serie	series	N;INDF;FEM;SG	N;SG
vechi	old	vechi	old	ADJ;INDF;MASC;SG	ADJ
reședința	residence	reședință	residence	N;DEF;FEM;SG	N;SG
munții	mountains	munte	mountain	N;INDF;MASC;PL	N;PL
limbi	languages	limbă	language	N;INDF;FEM;PL	N;PL
fel	kind	fel	kind	N;INDF;MASC;SG	N;SG
apelor	waters	apă	water	N;DEF;FEM;PL	N;PL
fotbal	soccer	fotbal	soccer	N;INDF;MASC;SG	N;SG
fotbal	football	fotbal	football	N;INDF;MASC;SG	N;SG
regele	king	rege	king	N;DEF;MASC;SG	N;SG
fiul	son	fiu	son	N;DEF;MASC;SG	N;SG
anterior	previously	anterior	previously	ADV	ADV
evoluția	evolution	evoluție	evolution	N;DEF;FEM;SG	N;SG
viteză	speed	viteză	speed	N;INDF;FEM;SG	N;SG
orașe	cities	oraș	city	N;INDF;FEM;PL	N;PL
institutul	institute	institut	institute	N;DEF;MASC;SG	N;SG
satele	villages	sat	village	N;DEF;FEM;PL	N;PL
istorice	historical	istoric	historical	ADJ;INDF;FEM;PL	ADJ
articolul	article	articol	article	N;DEF;MASC;SG	N;SG
viață	life	viață	life	N;INDF;FEM;SG	N;SG
titlu	headline	titlu	headline	N;INDF;MASC;SG	N;SG
titlu	title	titlu	title	N;INDF;MASC;SG	N;SG
goluri	goals	gol	goal	N;INDF;FEM;PL	N;PL
titlul	title	titlu	title	N;DEF;MASC;SG	N;SG
album	album	album	album	N;INDF;MASC;SG	N;SG
pagina	page	pagină	page	N;DEF;FEM;SG	N;SG
imperiul	empire	imperiu	empire	N;DEF;MASC;SG	N;SG
moartea	death	moarte	death	N;DEF;FEM;SG	N;SG
apare	appears	apărea	appear	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
fața	face	față	face	N;DEF;FEM;SG	N;SG
armata	army	armată	army	N;DEF;FEM;SG	N;SG
formă	shape	formă	shape	N;INDF;FEM;SG	N;SG
formă	form	formă	form	N;INDF;FEM;SG	N;SG
german	german	german	german	ADJ;INDF;MASC;SG	ADJ
rolul	role	rol	role	N;DEF;MASC;SG	N;SG
mică	small	mic	small	ADJ;INDF;FEM;SG	ADJ
des	often	des	often	ADV	ADV
epocă	vintage	epocă	vintage	N;INDF;FEM;SG	N;SG
începând	starting	începe	start	V;V.MSDR	V;V.MSDR
forma	shape	formă	shape	N;DEF;FEM;SG	N;SG
forma	form	formă	form	N;DEF;FEM;SG	N;SG
mici	small	mic	small	ADJ;INDF;PL	ADJ
apărut	appeared	apărea	appear	V;MASC;SG;V.PTCP	V;IND;PST;FIN
eliberare	release	eliberare	release	N;INDF;FEM;SG	N;SG
eliberare	liberation	eliberare	liberation	N;INDF;FEM;SG	N;SG
european	european	european	european	ADJ;INDF;MASC;SG	ADJ
mic	small	mic	small	ADJ;INDF;MASC;SG	ADJ
mic	little	mic	little	ADJ;INDF;MASC;SG	ADJ
gen	gender	gen	gender	N;INDF;MASC;SG	N;SG
gen	genre	gen	genre	N;INDF;MASC;SG	N;SG
gen	genus	gen	genus	N;INDF;MASC;SG	N;SG
importante	important	important	important	ADJ;INDF;FEM;PL	ADJ
aur	gold	aur	gold	N;INDF;MASC;SG	N;SG
murit	died	muri	die	V;MASC;SG;V.PTCP	V;IND;PST;FIN
orbită	orbit	orbită	orbit	N;INDF;FEM;SG	N;SG
rotație	rotation	rotație	rotation	N;INDF;FEM;SG	N;SG
pol	pole	pol	pole	N;INDF;MASC;SG	N;SG
lume	world	lume	world	N;INDF;FEM;SG	N;SG
local	local	local	local	ADJ;INDF;MASC;SG	ADJ
fapt	fact	fapt	fact	N;INDF;MASC;SG	N;SG
revista	magazine	revistă	magazine	N;DEF;FEM;SG	N;SG
asta	this	acesta	this	PRO;FEM;SG;3	PRO;SG
asta	that	acesta	that	PRO;FEM;SG;3	PRO;SG
profesor	professor	profesor	professor	N;INDF;MASC;SG	N;SG
profesor	teacher	profesor	teacher	N;INDF;MASC;SG	N;SG
planetelor	planets	planetă	planet	N;DEF;FEM;PL	N;PL
cinci	five	cinci	five	NUM;PL	NUM
acolo	there	acolo	there	ADV	ADV
lumea	world	lume	world	N;DEF;FEM;SG	N;SG
muzică	music	muzică	music	N;INDF;FEM;SG	N;SG
țara	country	țară	country	N;DEF;FEM;SG	N;SG
etnică	ethnic	etnic	ethnic	ADJ;INDF;FEM;SG	ADJ
centru	center	centru	center	N;INDF;MASC;SG	N;SG
centru	centre	centru	centre	N;INDF;MASC;SG	N;SG
istorie	history	istorie	history	N;INDF;FEM;SG	N;SG
districtul	district	district	district	N;DEF;MASC;SG	N;SG
altitudine	altitude	altitudine	altitude	N;INDF;FEM;SG	N;SG
conține	contains	conține	contain	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
activitatea	activity	activitate	activity	N;DEF;FEM;SG	N;SG
inițial	initially	inițial	initially	ADV	ADV
inițial	originally	inițial	originally	ADV	ADV
artă	art	artă	art	N;INDF;FEM;SG	N;SG
descoperitor	discoverer	descoperitor	discoverer	N;INDF;MASC;SG	N;SG
numeroase	numerous	numeros	numerous	ADJ;INDF;FEM;PL	ADJ
body	body	body	body	N;INDF;MASC;SG	N;SG
imagini	images	imagine	image	N;INDF;FEM;PL	N;PL
imagini	pictures	imagine	picture	N;INDF;FEM;PL	N;PL
domeniul	domain	domeniu	domain	N;DEF;MASC;SG	N;SG
școala	school	școală	school	N;DEF;FEM;SG	N;SG
succes	success	succes	success	N;INDF;MASC;SG	N;SG
provincie	province	provincie	province	N;INDF;FEM;SG	N;SG
studii	studies	studiu	study	N;INDF;FEM;PL	N;PL
primar	mayor	primar	mayor	N;INDF;MASC;SG	N;SG
francez	french	francez	french	ADJ;INDF;MASC;SG	ADJ
scriitor	writer	scriitor	writer	N;INDF;MASC;SG	N;SG
sistemul	system	sistem	system	N;DEF;MASC;SG	N;SG
ziua	day	zi	day	N;DEF;FEM;SG	N;SG
războiul	war	război	war	N;DEF;MASC;SG	N;SG
internațional	international	internațional	international	ADJ;INDF;MASC;SG	ADJ
franceză	french	francez	french	ADJ;INDF;FEM;SG	ADJ
pare	seems	părea	seem	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
ministru	minister	ministru	minister	N;INDF;MASC;SG	N;SG
familie	family	familie	family	N;INDF;FEM;SG	N;SG
politic	political	politic	political	ADJ;INDF;MASC;SG	ADJ
țări	countries	țară	country	N;INDF;FEM;PL	N;PL
funcția	function	funcție	function	N;DEF;FEM;SG	N;SG
probabil	probably	probabil	probably	ADV	ADV
sistem	system	sistem	system	N;INDF;MASC;SG	N;SG
politice	political	politic	political	ADJ;INDF;FEM;PL	ADJ
vreme	weather	vreme	weather	N;INDF;FEM;SG	N;SG
autor	author	autor	author	N;INDF;MASC;SG	N;SG
mediu	average	mediu	average	ADJ;INDF;MASC;SG	ADJ
prea	too	prea	too	ADV	ADV
funcție	function	funcție	function	N;INDF;FEM;SG	N;SG
categoria	category	categorie	category	N;DEF;FEM;SG	N;SG
nivel	level	nivel	level	N;INDF;MASC;SG	N;SG
top	top	top	top	N;INDF;MASC;SG	N;SG
biserică	church	biserică	church	N;INDF;FEM;SG	N;SG
cartea	book	carte	book	N;DEF;FEM;SG	N;SG
filme	films	film	film	N;INDF;FEM;PL	N;PL
filme	movies	film	movie	N;INDF;FEM;PL	N;PL
noua	new	nou	new	ADJ;DEF;FEM;SG	ADJ
căsătorit	married	căsători	married	ADJ;INDF;MASC;SG	ADJ
muzeul	museum	muzeu	museum	N;DEF;MASC;SG	N;SG
city	city	city	city	N;INDF;MASC;SG	N;SG
afluent	tributary	afluent	tributary	N;INDF;MASC;SG	N;SG
luptă	battle	luptă	battle	N;INDF;FEM;SG	N;SG
luni	months	lună	month	N;INDF;FEM;PL	N;PL
zone	zones	zonă	zone	N;INDF;FEM;PL	N;PL
zone	areas	zonă	area	N;INDF;FEM;PL	N;PL
radio	radio	radio	radio	N;INDF;MASC;SG	N;SG
istorică	historic	istoric	historic	ADJ;INDF;FEM;SG	ADJ
istorică	historical	istoric	historical	ADJ;INDF;FEM;SG	ADJ
deja	already	deja	already	ADV	ADV
monument	monument	monument	monument	N;INDF;MASC;SG	N;SG
europene	european	european	european	ADJ;INDF;FEM;PL	ADJ
fac	doing	face	do	V;IND;PL;3;PRS;FIN	V;V.MSDR
moment	moment	moment	moment	N;INDF;MASC;SG	N;SG
componenta	component	componenta	component	N;DEF;FEM;SG	N;SG
vârsta	age	vârstă	age	N;DEF;FEM;SG	N;SG
bază	base	bază	base	N;INDF;FEM;SG	N;SG
origine	origin	origine	origin	N;INDF;FEM;SG	N;SG
recensământ	census	recensământ	census	N;INDF;MASC;SG	N;SG
actor	actor	actor	actor	N;INDF;MASC;SG	N;SG
literatură	literature	literatură	literature	N;INDF;FEM;SG	N;SG
veche	old	vechi	old	ADJ;INDF;FEM;SG	ADJ
guvernul	government	guvern	government	N;DEF;MASC;SG	N;SG
total	totally	total	totally	ADV	ADV
conte	count	conte	count	N;INDF;MASC;SG	N;SG
specii	species	specie	species	N;INDF;FEM;PL	N;PL
cupa	cup	cupă	cup	N;DEF;FEM;SG	N;SG
bătălia	battle	bătălie	battle	N;DEF;FEM;SG	N;SG
ceva	something	ceva	something	PRO;SG;3	PRO;SG
membri	members	membru	member	N;INDF;MASC;PL	N;PL
calitate	quality	calitate	quality	N;INDF;FEM;SG	N;SG
uniunii	union	uniune	union	N;DEF;FEM;SG	N;SG
mama	mom	mamă	mom	N;DEF;FEM;SG	N;SG
mama	mother	mamă	mother	N;DEF;FEM;SG	N;SG
campionatul	championship	campionat	championship	N;DEF;MASC;SG	N;SG
locuri	places	loc	place	N;INDF;FEM;PL	N;PL
locuri	seats	loc	seat	N;INDF;FEM;PL	N;PL
mănăstirea	monastery	mănăstire	monastery	N;DEF;FEM;SG	N;SG
produs	product	produs	product	N;INDF;MASC;SG	N;SG
surse	sources	sursă	source	N;INDF;FEM;PL	N;PL
obicei	habit	obicei	habit	N;INDF;MASC;SG	N;SG
compania	company	companie	company	N;DEF;FEM;SG	N;SG
etnic	ethnic	etnic	ethnic	ADJ;INDF;MASC;SG	ADJ
echipe	teams	echipă	team	N;INDF;FEM;PL	N;PL
sezonul	season	sezon	season	N;DEF;MASC;SG	N;SG
central	central	central	central	ADJ;INDF;MASC;SG	ADJ
rol	role	rol	role	N;INDF;MASC;SG	N;SG
uniunea	union	uniune	union	N;DEF;FEM;SG	N;SG
cărți	cards	carte	card	N;INDF;FEM;PL	N;PL
cărți	books	carte	book	N;INDF;FEM;PL	N;PL
opera	opera	operă	opera	N;DEF;FEM;SG	N;SG
rock	rock	rock	rock	N;INDF;MASC;SG	N;SG
zonă	zone	zonă	zone	N;INDF;FEM;SG	N;SG
zonă	area	zonă	area	N;INDF;FEM;SG	N;SG
stil	style	stil	style	N;INDF;MASC;SG	N;SG
teatru	theater	teatru	theater	N;INDF;MASC;SG	N;SG
teatru	theatre	teatru	theatre	N;INDF;MASC;SG	N;SG
ziarul	newspaper	ziar	newspaper	N;DEF;MASC;SG	N;SG
www	www	www	wwwiw	N;INDF;MASC;SG	N;SG
militară	military	militar	military	ADJ;INDF;FEM;SG	ADJ
post	post	post	post	N;INDF;MASC;SG	N;SG
românesc	romanian	românesc	romanian	ADJ;INDF;MASC;SG	ADJ
codul	code	cod	code	N;DEF;MASC;SG	N;SG
administrația	administration	administrație	administration	N;DEF;FEM;SG	N;SG
fiica	daughter	fiică	daughter	N;DEF;FEM;SG	N;SG
scopul	aim	scop	aim	N;DEF;MASC;SG	N;SG
scopul	purpose	scop	purpose	N;DEF;MASC;SG	N;SG
scopul	goal	scop	goal	N;DEF;MASC;SG	N;SG
grupul	group	grup	group	N;DEF;MASC;SG	N;SG
insula	island	insulă	island	N;DEF;FEM;SG	N;SG
poziția	position	poziție	position	N;DEF;FEM;SG	N;SG
forțele	forces	forță	force	N;DEF;FEM;PL	N;PL
albumul	album	album	album	N;DEF;MASC;SG	N;SG
diverse	various	divers	various	ADJ;INDF;FEM;PL	ADJ
diverse	miscellaneous	divers	miscellaneous	ADJ;INDF;FEM;PL	ADJ
intrat	entered	intra	enter	V;MASC;SG;V.PTCP	V;PST;V.PTCP
șase	six	șase	six	NUM;PL	NUM
director	director	director	director	N;INDF;MASC;SG	N;SG
director	directory	director	directory	N;INDF;MASC;SG	N;SG
militar	military	militar	military	ADJ;INDF;MASC;SG	ADJ
originală	original	original	original	ADJ;INDF;FEM;SG	ADJ
state	states	stat	state	N;INDF;FEM;PL	N;PL
uneori	sometimes	uneori	sometimes	ADV	ADV
university	university	university	university	N;INDF;MASC;SG	N;SG
cultural	cultural	cultural	cultural	ADJ;INDF;MASC;SG	ADJ
bar	bar	bar	bar	N;INDF;MASC;SG	N;SG
jumătate	half	jumătate	half	N;INDF;FEM;SG	N;SG
capitala	capital	capitală	capital	N;DEF;FEM;SG	N;SG
fizice	physical	fizic	physical	ADJ;INDF;FEM;PL	ADJ
activitate	activity	activitate	activity	N;INDF;FEM;SG	N;SG
științe	sciences	ști	science	N;INDF;FEM;PL	N;PL
soția	wife	soție	wife	N;DEF;FEM;SG	N;SG
metri	meters	metru	meter	N;INDF;MASC;PL	N;PL
metri	metres	metru	metre	N;INDF;MASC;PL	N;PL
imperiului	empire	imperiu	empire	N;DEF;MASC;SG	N;SG
centrală	central	central	central	ADJ;INDF;FEM;SG	ADJ
singur	single	singur	single	ADJ;INDF;MASC;SG	ADJ
singur	lonely	singur	lonely	ADJ;INDF;MASC;SG	ADJ
public	public	public	public	ADJ;INDF;MASC;SG	ADJ
oamenii	humans	om	human	N;DEF;MASC;PL	N;PL
oamenii	people	om	people	N;DEF;MASC;PL	N;PL
caz	case	caz	case	N;INDF;MASC;SG	N;SG
televiziune	television	televiziune	television	N;INDF;FEM;SG	N;SG
curtea	court	curte	court	N;DEF;FEM;SG	N;SG
probleme	problems	problemă	problem	N;INDF;FEM;PL	N;PL
probleme	issues	problemă	issue	N;INDF;FEM;PL	N;PL
publice	public	public	public	ADJ;INDF;FEM;PL	ADJ
plan	plan	plan	plan	N;INDF;MASC;SG	N;SG
naturale	natural	natural	natural	ADJ;INDF;FEM;PL	ADJ
facultatea	college	facultate	college	N;DEF;FEM;SG	N;SG
facultatea	faculty	facultate	faculty	N;DEF;FEM;SG	N;SG
pământ	land	pământ	land	N;INDF;MASC;SG	N;SG
principale	main	principal	main	ADJ;INDF;FEM;PL	ADJ
arte	arts	artă	art	N;INDF;FEM;PL	N;PL
seria	series	serie	series	N;DEF;FEM;SG	N;SG
dezvoltarea	development	dezvoltare	development	N;DEF;FEM;SG	N;SG
direct	directly	direct	directly	ADV	ADV
șef	chief	șef	chief	N;INDF;MASC;SG	N;SG
palatul	palace	palat	palace	N;DEF;MASC;SG	N;SG
termenul	term	termen	term	N;DEF;MASC;SG	N;SG
carte	book	carte	book	N;INDF;FEM;SG	N;SG
religie	religion	religie	religion	N;INDF;FEM;SG	N;SG
minor	minor	minor	minor	ADJ;INDF;MASC;SG	ADJ
conducerea	management	conducere	management	N;DEF;FEM;SG	N;SG
conducerea	leadership	conducere	leadership	N;DEF;FEM;SG	N;SG
final	end	final	end	N;INDF;MASC;SG	N;SG
adus	brought	aduce	bring	V;MASC;SG;V.PTCP	V;PST;V.PTCP
părți	parts	parte	part	N;INDF;FEM;PL	N;PL
părți	parties	parte	party	N;INDF;FEM;PL	N;PL
fratele	brother	frate	brother	N;DEF;MASC;SG	N;SG
membrii	members	membru	member	N;DEF;MASC;PL	N;PL
acord	agreement	acord	agreement	N;INDF;MASC;SG	N;SG
teatrul	theater	teatru	theater	N;DEF;MASC;SG	N;SG
teatrul	theatre	teatru	theatre	N;DEF;MASC;SG	N;SG
