категорія	類別	категорія	類別	N;INAN;NOM;FEM;SG	N
армії	集團	армія	集團	N;INAN;GEN;FEM;SG	N
армії	軍隊	армія	軍隊	N;INAN;GEN;FEM;SG	N
армії	軍	армія	軍	N;INAN;GEN;FEM;SG	N
армії	陸軍	армія	陸軍	N;INAN;GEN;FEM;SG	N
день	白天	день	白天	N;INAN;NOM;MASC;SG	N
смерті	死神	смерть	死神	N;INAN;NOM;FEM;PL	N
період	期間	період	期間	N;INAN;NOM;MASC;SG	N
двох	兩	два	兩	NUM;ACC	NUM
двох	兩	два	兩	NUM;ACC	NUM
двох	二	два	二	NUM;ACC	NUM
розташування	定位	розташування	定位	N;INAN;NOM;NEUT;SG	N
розташування	地點	розташування	地點	N;INAN;NOM;NEUT;SG	N
розташування	位置	розташування	位置	N;INAN;NOM;NEUT;SG	N
розташування	地點	розташування	地點	N;INAN;NOM;NEUT;SG	N
розташування	職位	розташування	職位	N;INAN;NOM;NEUT;SG	N
розташування	位置	розташування	位置	N;INAN;NOM;NEUT;SG	N
розташування	立場	розташування	立場	N;INAN;NOM;NEUT;SG	N
кар	職業	кар.	職業	N;INAN;NOM;FEM;SG	N
три	三	три	三	NUM;NOM	NUM
три	三	три	三	NUM;NOM	NUM
висота	海拔	висота	海拔	N;INAN;NOM;FEM;SG	N
висота	高度	висота	高度	N;INAN;NOM;FEM;SG	N
висота	海拔	висота	海拔	N;INAN;NOM;FEM;SG	N
висота	身高	висота	身高	N;INAN;NOM;FEM;SG	N
висота	高度	висота	高度	N;INAN;NOM;FEM;SG	N
входить	包括	входити	包括	V;IPFV;IND;SG;3;PRS;FIN	V
себе	自己	себе	自己	PRO;ACC;REFL	PRO
різних	不同	різний	不同	ADJ;ACC;PL	ADJ
фільми	影片	фільм	影片	N;INAN;NOM;MASC;PL	N
фільми	電影	фільм	電影	N;INAN;NOM;MASC;PL	N
церква	教會	церква	教會	N;INAN;NOM;FEM;SG	N
церква	教堂	церква	教堂	N;INAN;NOM;FEM;SG	N
створення	世代	створення	世代	N;INAN;NOM;NEUT;SG	N
створення	作曲	створення	作曲	N;INAN;NOM;NEUT;SG	N
значення	含義	значення	含義	N;INAN;NOM;NEUT;SG	N
значення	價值	значення	價值	N;INAN;NOM;NEUT;SG	N
значення	價值	значення	價值	N;INAN;NOM;NEUT;SG	N
значення	數值	значення	數值	N;INAN;NOM;NEUT;SG	N
значення	值	значення	值	N;INAN;NOM;NEUT;SG	N
значення	價值	значення	價值	N;INAN;NOM;NEUT;SG	N
значення	數值	значення	數值	N;INAN;NOM;NEUT;SG	N
значення	值	значення	值	N;INAN;NOM;NEUT;SG	N
системи	系統	система	系統	N;INAN;NOM;FEM;PL	N
тоді	然後	тоді	然後	ADV	ADV
тоді	那麼	тоді	那麼	ADV	ADV
адреса	地址	адреса	地址	N;INAN;NOM;FEM;SG	N
адреса	住址	адреса	住址	N;INAN;NOM;FEM;SG	N
член	會員	член	會員	N;ANIM;NOM;MASC;SG	N
член	成員	член	成員	N;ANIM;NOM;MASC;SG	N
член	公雞	член	公雞	N;ANIM;NOM;MASC;SG	N
групи	群組	група	群組	N;INAN;NOM;FEM;PL	N
групи	團體	група	團體	N;INAN;NOM;FEM;PL	N
буде	將	бути	將	V;IPFV;IND;SG;3;FUT;FIN	V;CAUS
динаміка	動態	динаміка	動態	N;INAN;NOM;FEM;SG	N
динаміка	動力	динаміка	動力	N;INAN;NOM;FEM;SG	N
управління	施政	управління	施政	N;INAN;NOM;NEUT;SG	N
управління	治理	управління	治理	N;INAN;NOM;NEUT;SG	N
всіх	大家	всі	大家	PRO;ANIM;ACC	PRO
річки	河流	річка	河流	N;INAN;NOM;FEM;PL	N
дата	日期	дата	日期	N;INAN;NOM;FEM;SG	N
дата	約會	дата	約會	N;INAN;NOM;FEM;SG	N
людей	人	людина	人	N;ANIM;ACC;FEM;PL	N
людей	人們	людина	人	N;ANIM;ACC;FEM;PL	N;PL
людей	人民	людина	人民	N;ANIM;ACC;FEM;PL	N
мови	語言	мова	語言	N;INAN;NOM;FEM;PL	N
мови	語文	мова	語文	N;INAN;NOM;FEM;PL	N
мови	語言	мова	語言	N;INAN;NOM;FEM;PL	N
мови	語	мова	語	N;INAN;NOM;FEM;PL	N
мови	語文	мова	語文	N;INAN;NOM;FEM;PL	N
розподіл	分銷	розподіл	分銷	N;INAN;NOM;MASC;SG	N
знаходиться	位	знаходитися	位	V;IPFV;IND;SG;3;PRS;FIN	V
вулиця	街頭	вулиця	街頭	N;INAN;NOM;FEM;SG	N
вулиця	街道	вулиця	街道	N;INAN;NOM;FEM;SG	N
вулиця	街	вулиця	街	N;INAN;NOM;FEM;SG	N
провінції	省份	провінція	省份	N;INAN;NOM;FEM;PL	N
провінції	各省	провінція	各省	N;INAN;NOM;FEM;PL	N
картка	名片	картка	名片	N;INAN;NOM;FEM;SG	N
картка	紙牌	картка	紙牌	N;INAN;NOM;FEM;SG	N
картка	卡片	картка	卡片	N;INAN;NOM;FEM;SG	N
часто	常常	часто	常常	ADV	ADV
часто	經常	часто	經常	ADV	ADV
часто	時常	часто	時常	ADV	ADV
часто	常常	часто	常常	ADV	ADV
часто	經常	часто	經常	ADV	ADV
департамент	部門	департамент	部門	N;INAN;NOM;MASC;SG	N
майже	幾乎	майже	幾乎	ADV	ADV
права	右	право	右	N;INAN;NOM;NEUT;PL	N
права	權利	право	權利	N;INAN;NOM;NEUT;PL	N
муніципалітетів	公社	муніципалітет	公社	N;ANIM;ACC;MASC;PL	N
муніципалітетів	市鎮	муніципалітет	市鎮	N;ANIM;ACC;MASC;PL	N
церкви	教會	церква	教會	N;INAN;NOM;FEM;PL	N
церкви	教堂	церква	教堂	N;INAN;NOM;FEM;PL	N
південь	南	південь	南	N;INAN;NOM;MASC;SG	N
південь	南部	південь	南部	N;INAN;NOM;MASC;SG	N
вулиці	街道	вулиця	街道	N;INAN;NOM;FEM;PL	N
автор	作者	автор	作者	N;ANIM;NOM;MASC;SG	N
типу	型態	тип	型態	N;INAN;NOM;MASC;SG	N
типу	類型	тип	類型	N;INAN;NOM;MASC;SG	N
академії	學院	академія	學院	N;INAN;NOM;FEM;PL	N
фільм	電影	фільм	電影	N;INAN;NOM;MASC;SG	N
фільм	影片	фільм	影片	N;INAN;NOM;MASC;SG	N
фільм	電影	фільм	電影	N;INAN;NOM;MASC;SG	N
фільм	膠片	фільм	膠片	N;INAN;NOM;MASC;SG	N
фільм	影片	фільм	影片	N;INAN;NOM;MASC;SG	N
карта	地圖	карта	地圖	N;INAN;NOM;FEM;SG	N
команди	團隊	команда	團隊	N;INAN;NOM;FEM;PL	N
команди	球隊	команда	球隊	N;INAN;NOM;FEM;PL	N
команди	隊伍	команда	隊伍	N;INAN;NOM;FEM;PL	N
використання	用法	використання	用法	N;INAN;NOM;NEUT;SG	N
використання	用量	використання	用量	N;INAN;NOM;NEUT;SG	N
зоря	星星	зоря	星星	N;INAN;NOM;FEM;SG	N
зоря	恆星	зоря	恆星	N;INAN;NOM;FEM;SG	N
зоря	星	зоря	星	N;INAN;NOM;FEM;SG	N
зоря	明星	зоря	明星	N;INAN;NOM;FEM;SG	N
музей	博物	музей	博物	N;INAN;NOM;MASC;SG	N
діяльність	活動	діяльність	活動	N;INAN;NOM;FEM;SG	N
діяльність	動態	діяльність	動態	N;INAN;NOM;FEM;SG	N
діяльність	活動	діяльність	活動	N;INAN;NOM;FEM;SG	N
частини	部件	частина	部件	N;INAN;NOM;FEM;PL	N
закінчив	完成	закінчити	完成	V;PFV;MASC;IND;SG;PST;FIN	V
джерела	來源	джерело	來源	N;INAN;NOM;NEUT;PL	N
джерела	來源	джерело	來源	N;INAN;NOM;NEUT;PL	N
честь	名譽	честь	名譽	N;INAN;ACC;FEM;SG	N
честь	榮譽	честь	榮譽	N;INAN;ACC;FEM;SG	N
честь	名譽	честь	名譽	N;INAN;ACC;FEM;SG	N
честь	榮譽	честь	榮譽	N;INAN;ACC;FEM;SG	N
дві	兩	два	兩	NUM;NOM;FEM	NUM
дві	兩	два	兩	NUM;NOM;FEM	NUM
дві	二	два	二	NUM;NOM;FEM	NUM
діяльності	活動	діяльність	活動	N;INAN;GEN;FEM;SG	N
діяльності	動態	діяльність	動態	N;INAN;GEN;FEM;SG	N
діяльності	活動	діяльність	活動	N;INAN;GEN;FEM;SG	N
клуб	幫會	клуб	幫會	N;INAN;NOM;MASC;SG	N
клуб	俱樂部	клуб	俱樂部	N;INAN;NOM;MASC;SG	N
партії	黨	партія	黨	N;INAN;GEN;FEM;SG	N
партії	政黨	партія	政黨	N;INAN;GEN;FEM;SG	N
партії	宴會	партія	宴會	N;INAN;GEN;FEM;SG	N
партії	聚會	партія	聚會	N;INAN;GEN;FEM;SG	N
перелік	名單	перелік	名單	N;INAN;NOM;MASC;SG	N
перелік	清單	перелік	清單	N;INAN;NOM;MASC;SG	N
перелік	列舉	перелік	列舉	N;INAN;NOM;MASC;SG	N
роль	作用	роль	作用	N;INAN;NOM;FEM;SG	N
роль	角色	роль	角色	N;INAN;NOM;FEM;SG	N
усі	每個	увесь	每個	DET;NOM;PL	DET
усі	全部	увесь	全部	DET;NOM;PL	DET
усі	所有	увесь	所有	DET;NOM;PL	DET
усі	每個	увесь	每個	DET;NOM;PL	DET
університет	大學	університет	大學	N;INAN;NOM;MASC;SG	N
відомий	著名	відомий	著名	ADJ;NOM;MASC;SG	ADJ
школа	學校	школа	學校	N;INAN;NOM;FEM;SG	N
право	右	право	右	N;INAN;NOM;NEUT;SG	N
право	法律	право	法律	N;INAN;NOM;NEUT;SG	N
знову	再次	знову	再次	ADV	ADV
одна	一	один	一	NUM;NOM;FEM	NUM
одна	一	один	一	NUM;NOM;FEM	NUM
хто	誰	хто	誰	PRO;ANIM;NOM;MASC;SG	PRO
статус	狀況	статус	狀況	N;INAN;NOM;MASC;SG	N
статус	狀態	статус	狀態	N;INAN;NOM;MASC;SG	N
статус	現況	статус	現況	N;INAN;NOM;MASC;SG	N
родини	家庭	родина	家庭	N;INAN;NOM;FEM;PL	N
група	群組	група	群組	N;INAN;NOM;FEM;SG	N
група	群	група	群	N;INAN;NOM;FEM;SG	N
новий	新	новий	新	ADJ;NOM;MASC;SG	ADJ
зір	視力	зір	視力	N;INAN;NOM;FEM;PL	N
зір	視覺	зір	視覺	N;INAN;NOM;FEM;PL	N
зір	願景	зір	願景	N;INAN;NOM;FEM;PL	N
зір	展望	зір	展望	N;INAN;NOM;FEM;PL	N
великий	偉大	великий	偉大	ADJ;NOM;MASC;SG	ADJ
назви	人名	назва	人名	N;INAN;NOM;FEM;PL	N
назви	名稱	назва	名稱	N;INAN;NOM;FEM;PL	N
назви	姓名	назва	姓名	N;INAN;NOM;FEM;PL	N
залізниця	鐵路	залізниця	鐵路	N;INAN;NOM;FEM;SG	N
залізниця	鐵道	залізниця	鐵道	N;INAN;NOM;FEM;SG	N
залізниця	鐵路	залізниця	鐵路	N;INAN;NOM;FEM;SG	N
залізниця	鐵道	залізниця	鐵道	N;INAN;NOM;FEM;SG	N
залізниця	鐵路	залізниця	鐵路	N;INAN;NOM;FEM;SG	N
залізниця	鐵道	залізниця	鐵道	N;INAN;NOM;FEM;SG	N
система	系統	система	系統	N;INAN;NOM;FEM;SG	N
північ	半夜	північ	半夜	N;INAN;NOM;FEM;SG	N
північ	午夜	північ	午夜	N;INAN;NOM;FEM;SG	N
північ	北方	північ	北方	N;INAN;NOM;FEM;SG	N
північ	北	північ	北	N;INAN;NOM;FEM;SG	N
північ	北部	північ	北部	N;INAN;NOM;FEM;SG	N
особливо	尤其	особливо	尤其	ADV	ADV
особливо	尤其	особливо	尤其	ADV	ADV
народження	天生	народження	天生	N;INAN;NOM;NEUT;SG	N
інформація	資訊	інформація	資訊	N;INAN;NOM;FEM;SG	N
влади	當局	влада	當局	N;INAN;NOM;FEM;PL	N
округ	區	округ	區	N;INAN;NOM;MASC;SG	N
округ	地區	округ	地區	N;INAN;NOM;MASC;SG	N
інститут	體制	інститут	體制	N;INAN;NOM;MASC;SG	N
інститут	機構	інститут	機構	N;INAN;NOM;MASC;SG	N
будинок	屋	будинок	屋	N;INAN;NOM;MASC;SG	N
будинок	房屋	будинок	房屋	N;INAN;NOM;MASC;SG	N
будинок	房子	будинок	房子	N;INAN;NOM;MASC;SG	N
дослідження	勘探	дослідження	勘探	N;INAN;NOM;NEUT;SG	N
війна	戰	війна	戰	N;INAN;NOM;FEM;SG	N
війна	戰爭	війна	戰爭	N;INAN;NOM;FEM;SG	N
комуни	公社	комуна	公社	N;INAN;NOM;FEM;PL	N
війська	部隊	військо	部隊	N;INAN;NOM;NEUT;PL	N
регіон	區域	регіон	區域	N;INAN;NOM;MASC;SG	N
людини	人類	людина	人類	N;ANIM;NOM;FEM;SG	N
рід	氏族	рід	氏族	N;INAN;NOM;MASC;SG	N
рід	部族	рід	部族	N;INAN;NOM;MASC;SG	N
рід	氏	рід	氏	N;INAN;NOM;MASC;SG	N
рід	屬	рід	屬	N;INAN;NOM;MASC;SG	N
рід	簧片	рід	簧片	N;INAN;NOM;MASC;SG	N
дітей	兒童	дитина	兒童	N;ANIM;ACC;FEM;PL	N
собою	自己	себе	自己	PRO;INS;REFL	PRO
доходів	平等	дохід	平等	N;INAN;GEN;MASC;PL	N
статей	文章	стаття	文章	N;INAN;GEN;FEM;PL	N
навчання	學	навчання	學	N;INAN;NOM;NEUT;SG	N
єднання	配件	єднання	配件	N;INAN;NOM;NEUT;SG	N
син	兒子	син	兒子	N;ANIM;NOM;MASC;SG	N
питання	問題	питання	問題	N;INAN;NOM;NEUT;SG	N
питання	問題	питання	問題	N;INAN;NOM;NEUT;SG	N
питання	線索	питання	線索	N;INAN;NOM;NEUT;SG	N
люди	人類	людина	人類	N;ANIM;NOM;FEM;PL	N
люди	人	людина	人	N;ANIM;NOM;FEM;PL	N
люди	人們	людина	人	N;ANIM;NOM;FEM;PL	N;PL
люди	人民	людина	人民	N;ANIM;NOM;FEM;PL	N
компанії	公司	компанія	公司	N;INAN;NOM;FEM;PL	N
іншими	其他	інший	其他	DET;INS;PL	DET
походження	原產	походження	原產	N;INAN;NOM;NEUT;SG	N
походження	起源	походження	起源	N;INAN;NOM;NEUT;SG	N
дані	資料	дані	資料	N;INAN;PFV;NOM;PASS	N
видання	版	видання	版	N;INAN;NOM;NEUT;SG	N
зазвичай	通常	зазвичай	通常	ADV	ADV
зазвичай	通常	зазвичай	通常	ADV	ADV
використовується	使用	використовуватися	使用	V;IPFV;IND;SG;3;PRS;FIN	V
команда	團隊	команда	團隊	N;INAN;NOM;FEM;SG	N
команда	球隊	команда	球隊	N;INAN;NOM;FEM;SG	N
команда	隊伍	команда	隊伍	N;INAN;NOM;FEM;SG	N
пояс	腰	пояс	腰	N;INAN;NOM;MASC;SG	N
пояс	腰部	пояс	腰部	N;INAN;NOM;MASC;SG	N
пояс	腰帶	пояс	腰帶	N;INAN;NOM;MASC;SG	N
пояс	皮帶	пояс	皮帶	N;INAN;NOM;MASC;SG	N
станція	站	станція	站	N;INAN;NOM;FEM;SG	N
станція	車站	станція	車站	N;INAN;NOM;FEM;SG	N
проект	項目	проект	項目	N;INAN;NOM;MASC;SG	N
мати	母后	мати	母后	N;ANIM;NOM;FEM;SG	N
мати	母親	мати	母親	N;ANIM;NOM;FEM;SG	N
чоловік	丈夫	чоловік	丈夫	N;ANIM;NOM;MASC;SG	N
чоловік	人	чоловік	人	N;ANIM;NOM;MASC;SG	N
чоловік	男人	чоловік	男人	N;ANIM;NOM;MASC;SG	N
усіх	每個	увесь	每個	DET;GEN;PL	DET
книги	圖書	книга	圖書	N;INAN;NOM;FEM;PL	N
книги	書	книга	書	N;INAN;NOM;FEM;PL	N
книги	書籍	книга	書籍	N;INAN;NOM;FEM;PL	N
книги	圖書	книга	圖書	N;INAN;NOM;FEM;PL	N
книги	書	книга	書	N;INAN;NOM;FEM;PL	N
книги	書籍	книга	書籍	N;INAN;NOM;FEM;PL	N
країн	國家	країна	國家	N;INAN;GEN;FEM;PL	N
країн	各國	країна	各國	N;INAN;GEN;FEM;PL	N
нагороди	獎勵	нагорода	獎勵	N;INAN;NOM;MASC;PL	N
нагороди	獎	нагорода	獎	N;INAN;NOM;MASC;PL	N
індекси	指數	індекс	指數	N;INAN;NOM;MASC;PL	N
індекси	索引	індекс	索引	N;INAN;NOM;MASC;PL	N
індекси	指數	індекс	指數	N;INAN;NOM;MASC;PL	N
переважно	大多	переважно	大多	ADV	ADV
дії	行動	дія	行動	N;INAN;NOM;FEM;PL	N
дії	動態	дія	動態	N;INAN;NOM;FEM;PL	N
дії	活動	дія	活動	N;INAN;NOM;FEM;PL	N
дії	動作	дія	動作	N;INAN;NOM;FEM;PL	N
дії	行動	дія	行動	N;INAN;NOM;FEM;PL	N
станції	站	станція	站	N;INAN;NOM;FEM;PL	N
станції	車站	станція	車站	N;INAN;NOM;FEM;PL	N
немає	無	немати	無	V;IPFV;IND;SG;3;NEG;PRS;FIN	V
освіти	教育	освіта	教育	N;INAN;NOM;FEM;PL	N
освіти	學歷	освіта	學歷	N;INAN;NOM;FEM;PL	N
професор	教授	професор	教授	N;ANIM;NOM;MASC;SG	N
руху	搬家	рух	搬家	N;INAN;GEN;MASC;SG	N
орган	器官	орган	器官	N;INAN;NOM;MASC;SG	N
орган	風琴	орган	風琴	N;INAN;NOM;MASC;SG	N
різні	不同	різний	不同	ADJ;NOM;PL	ADJ
поділ	師團	поділ	師團	N;INAN;NOM;MASC;SG	N
