על	sobre	על	sobre	ADP	ADP
אלו	essas	אלו	esse	PRO;PL;3	PRO;FEM;PL
אלו	estas	אלו	este	PRO;PL;3	PRO;FEM;PL
זמן	hora	זמן	hora	N;MASC;SG	N;FEM;SG
זמן	horário	זמן	horário	N;MASC;SG	N;MASC;SG
זמן	tempo	זמן	tempo	N;MASC;SG	N;MASC;SG
זמן	time	זמן	time	N;MASC;SG	N;MASC;SG
בעיקר	principalmente	בעיקר	principalmente	ADV	ADV
בעיקר	principalmente	בעיקר	principalmente	ADV	ADV
אתר	website	אתר	websitir	N;MASC;SG	N;MASC;SG
אתר	site	אתר	site	N;MASC;SG	N;MASC;SG
אתר	sítio	אתר	sítio	N;MASC;SG	N;MASC;SG
אתר	site	אתר	site	N;MASC;SG	N;MASC;SG
אתר	éter	אתר	éter	N;MASC;SG	N;MASC;SG
ללא	sem	ללא	sem	ADP	ADP
שונים	diferentes	שונה	diferente	ADJ;MASC;PL	ADJ;MASC;PL
שונים	diversos	שונה	diverso	ADJ;MASC;PL	ADJ;MASC;PL
אדם	pessoa	אדם	pessoa	N;MASC;SG	N;FEM;SG
אדם	adão	אדם	adão	N;MASC;SG	N;MASC;SG
אדם	adam	אדם	adar	N;MASC;SG	N;MASC;SG
אדם	human	אדם	human	N;MASC;SG	N;MASC;SG
אדם	man	אדם	man	N;MASC;SG	N;MASC;SG
אדם	pá	אדם	pá	N;MASC;SG	N;FEM;SG
אדם	cara	אדם	cara	N;MASC;SG	N;FEM;SG
אדם	homem	אדם	homem	N;MASC;SG	N;MASC;SG
עוד	mais	עוד	mais	ADV	ADV
דבר	coisa	דבר	coisa	N;MASC;SG	N;FEM;SG
דבר	conversa	דבר	conversa	N;MASC;SG	N;FEM;SG
ספר	livro	ספר	livro	N;MASC;SG	N;MASC;SG
ספר	barber	ספר	barber	N;MASC;SG	N;MASC;SG
ספר	barbeiro	ספר	barbeiro	N;MASC;SG	N;MASC;SG
נגד	contra	נגד	contra	ADP	ADP
זכה	venceu	זכה	vencer	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
זכה	ganhou	זכה	ganhar	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
זכה	ganhado	זכה	ganhar	V;MASC;SG;3;PST;ACT	V;MASC;SG;V.PTCP
אחרי	após	אחרי	após	ADP	ADP
הן	eles	הוא	eles	PRO;FEM;PL;3	PRO;NOM;MASC;PL;3
הן	elas	הוא	ele	PRO;FEM;PL;3	PRO;NOM;FEM;PL;3
יום	dia	יום	dia	N;MASC;SG	N;MASC;SG
יום	hume	יום	hume	N;MASC;SG	N;MASC;SG
אלה	essas	אלה	esse	PRO;MASC;PL;3	PRO;FEM;PL
אלה	estas	אלה	este	PRO;MASC;PL;3	PRO;FEM;PL
כבר	já	כבר	já	ADV	ADV
כיום	actualmente	כיום	actualmente	ADV	ADV
כיום	atualmente	כיום	atualmente	ADV	ADV
מקום	local	מקום	local	N;MASC;SG	N;MASC;SG
מקום	lugar	מקום	lugar	N;MASC;SG	N;MASC;SG
מקום	place	מקום	place	N;MASC;SG	N;MASC;SG
מקום	local	מקום	local	N;MASC;SG	N;MASC;SG
מקום	sítio	מקום	sítio	N;MASC;SG	N;MASC;SG
מאוד	muito	מאוד	muito	ADV	ADV
יהודים	judeus	יהודי	judeu	N;MASC;PL	N;MASC;PL
יהודים	judeus	יהודי	judeu	N;MASC;PL	N;MASC;PL
כמה	algum	כמה	algum	DET;PSSD	DET;MASC;SG
שנת	ano	שנה	ano	N;PSSD;FEM;SG	N;MASC;SG
בעל	baal	בעל	baal	N;MASC;SG	N;MASC;SG
בעל	marido	בעל	marido	N;MASC;SG	N;MASC;SG
בעל	esposo	בעל	esposo	N;MASC;SG	N;MASC;SG
בנוסף	adicionalmente	בנוסף	adicionalmente	ADV	ADV
תחת	sob	תחת	sob	ADP	ADP
תמונה	foto	תמונה	foto	N;FEM;SG	N;FEM;SG
תמונה	fotografia	תמונה	fotografia	N;FEM;SG	N;FEM;SG
תמונה	image	תמונה	image	N;FEM;SG	N;MASC;SG
תמונה	imagem	תמונה	imagem	N;FEM;SG	N;FEM;SG
תמונה	foto	תמונה	foto	N;FEM;SG	N;FEM;SG
תמונה	fotografia	תמונה	fotografia	N;FEM;SG	N;FEM;SG
תמונה	imagem	תמונה	imagem	N;FEM;SG	N;FEM;SG
כתב	repórter	כתב	repórter	N;MASC;SG	N;MASC;SG
כתב	reporter	כתב	reporter	N;MASC;SG	N;MASC;SG
היום	hoje	היום	hoje	ADV	ADV
החברה	society	החברה	society	N;FEM;SG	N;MASC;SG
החברה	sociedade	החברה	sociedade	N;FEM;SG	N;FEM;SG
החברה	empresa	החברה	empresa	N;FEM;SG	N;FEM;SG
החברה	company	החברה	company	N;FEM;SG	N;MASC;SG
החברה	companhia	החברה	companhia	N;FEM;SG	N;FEM;SG
שונות	diferentes	שונה	diferente	ADJ;FEM;PL	ADJ;MASC;PL
שונות	diversos	שונה	diverso	ADJ;FEM;PL	ADJ;MASC;PL
שונות	diversas	שונה	diverso	ADJ;FEM;PL	ADJ;FEM;PL
מערכת	system	מערכת	syetir	N;FEM;SG	N;MASC;SG
מערכת	sistema	מערכת	sistema	N;FEM;SG	N;MASC;SG
בלבד	só	בלבד	só	ADV	ADV
בלבד	apenas	בלבד	apenas	ADV	ADV
בלבד	somente	בלבד	somente	ADV	ADV
בלבד	unicamente	בלבד	unicamente	ADV	ADV
מרכז	central	מרכז	central	N;MASC;SG	N;FEM;SG
מרכז	centro	מרכז	centro	N;MASC;SG	N;MASC;SG
מרכז	center	מרכז	center	N;MASC;SG	N;MASC;SG
מרכז	centro	מרכז	centro	N;MASC;SG	N;MASC;SG
מרכז	centre	מרכז	centre	N;MASC;SG	N;MASC;SG
שימוש	uso	שימוש	uso	N;MASC;SG	N;MASC;SG
שימוש	utilização	שימוש	utilização	N;MASC;SG	N;FEM;SG
שימוש	uso	שימוש	uso	N;MASC;SG	N;MASC;SG
שימוש	utilização	שימוש	utilização	N;MASC;SG	N;FEM;SG
רוב	most	רוב	most	N;MASC;SG	N;MASC;SG
רוב	rob	רוב	rob	N;MASC;SG	N;MASC;SG
רוב	maioria	רוב	maioria	N;MASC;SG	N;FEM;SG
כולל	incluindo	כלל	incluir	V;MASC;SG;V.PTCP;ACT	V;V.MSDR
כולל	incluído	כלל	incluir	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP
כולל	incluso	כלל	incluso	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP
כולל	incluido	כלל	incluir	V;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;MASC;SG
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;MASC;SG
גדול	ótima	גדול	bom	ADJ;MASC;SG	ADJ;FEM;SG
גדול	grande	גדול	grande	ADJ;MASC;SG	ADJ;MASC;SG
גדול	ótimo	גדול	bom	ADJ;MASC;SG	ADJ;MASC;SG
ישראלים	israelenses	ישראלי	israelense	N;MASC;PL	N;MASC;PL
ישראלים	israelitas	ישראלי	israelita	N;MASC;PL	N;MASC;PL
ישראלים	israelitas	ישראלי	israelita	N;MASC;PL	N;MASC;PL
ישראלים	israelenses	ישראלי	israelense	N;MASC;PL	N;MASC;PL
יהודי	judaica	יהודי	judaica	N;MASC;SG	N;FEM;SG
יהודי	judia	יהודי	judia	N;MASC;SG	N;FEM;SG
יהודי	judeu	יהודי	judeu	N;MASC;SG	N;MASC;SG
יהודי	judaico	יהודי	judaico	N;MASC;SG	N;MASC;SG
יהודי	judeu	יהודי	judeu	N;MASC;SG	N;MASC;SG
סוג	tipo	סוג	tipo	N;MASC;SG	N;MASC;SG
סוג	type	סוג	type	N;MASC;SG	N;MASC;SG
סוג	tipo	סוג	tipo	N;MASC;SG	N;MASC;SG
מידע	informação	מידע	informação	N;MASC;SG	N;FEM;SG
מידע	data	מידע	data	N;MASC;SG	N;FEM;SG
ערכים	métricas	ערך	métrico	N;MASC;PL	N;FEM;PL
ערכים	indicadores	ערך	indicador	N;MASC;PL	N;MASC;PL
ערכים	valores	ערך	valor	N;MASC;PL	N;MASC;PL
ערכים	entradas	ערך	entrada	N;MASC;PL	N;FEM;PL
ערכים	inscrições	ערך	inscrição	N;MASC;PL	N;FEM;PL
ערכים	menções	ערך	menção	N;MASC;PL	N;FEM;PL
אנשים	pessoas	איש	pessoa	N;MASC;PL	N;FEM;PL
דקות	minutos	דקה	minuto	N;FEM;PL	N;MASC;PL
דקות	actas	דקה	acta	N;FEM;PL	N;MASC;PL
חבר	amigo	חבר	amigo	N;MASC;SG	N;MASC;SG
חבר	amiga	חבר	amiga	N;MASC;SG	N;FEM;SG
בת	filha	בת	filha	N;FEM;SG	N;FEM;SG
בת	beth	בת	beth	N;FEM;SG	N;FEM;SG
כאן	aqui	כאן	aqui	ADV	ADV
הכנסת	knesset	הכנסה	knesset	N;PSSD;FEM;SG	N;MASC;SG
הכנסת	sinagoga	הכנסה	sinagoga	N;PSSD;FEM;SG	N;FEM;SG
חדש	novo	חדש	novo	ADJ;MASC;SG	ADJ;MASC;SG
חדש	nova	חדש	novo	ADJ;MASC;SG	ADJ;FEM;SG
ארץ	país	ארץ	país	N;FEM;SG	N;MASC;SG
ארץ	land	ארץ	land	N;FEM;SG	N;MASC;SG
ארץ	terra	ארץ	terra	N;FEM;SG	N;FEM;SG
ארץ	earth	ארץ	earth	N;FEM;SG	N;MASC;SG
ארץ	terra	ארץ	terra	N;FEM;SG	N;FEM;SG
כלי	ferramenta	כלי	ferramenta	N;MASC;SG	N;FEM;SG
הרבה	muito	הרבה	muito	ADV	ADV
נמצא	encontrada	נמצא	encontrar	V;MASC;SG;V.PTCP;MID	V;FEM;SG;V.PTCP
נמצא	encontrado	נמצא	encontrar	V;MASC;SG;V.PTCP;MID	V;MASC;SG;V.PTCP
טוב	boa	טוב	bom	ADJ;MASC;SG	ADJ;FEM;SG
טוב	bom	טוב	bom	ADJ;MASC;SG	ADJ;MASC;SG
ילדים	crianças	ילד	criança	N;MASC;PL	N;FEM;PL
ילדים	filhos	ילד	filho	N;MASC;PL	N;MASC;PL
ילדים	miúdos	ילד	miúdo	N;MASC;PL	N;MASC;PL
ילדים	crianças	ילד	criança	N;MASC;PL	N;FEM;PL
ילדים	filhos	ילד	filho	N;MASC;PL	N;MASC;PL
שלושה	tres	שלושה	tres	NUM;MASC;SG	NUM
שלושה	três	שלושה	três	NUM;MASC;SG	NUM
הגיע	chegou	הגיע	chegar	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
הגיע	chegou	הגיע	chegar	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
הגיע	veio	הגיע	vir	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
כמעט	quase	כמעט	quase	ADV	ADV
כמעט	quase	כמעט	quase	ADV	ADV
כוח	dosagem	כוח	dosagem	N;MASC;SG	N;FEM;SG
כוח	força	כוח	força	N;MASC;SG	N;FEM;SG
כוח	force	כוח	forcer	N;MASC;SG	N;MASC;SG
כוח	força	כוח	força	N;MASC;SG	N;FEM;SG
כוח	potência	כוח	potência	N;MASC;SG	N;FEM;SG
כוח	energia	כוח	energia	N;MASC;SG	N;FEM;SG
כוח	poder	כוח	poder	N;MASC;SG	N;MASC;SG
כוח	power	כוח	power	N;MASC;SG	N;MASC;SG
נפטר	falecido	נפטר	falecer	V;MASC;SG;3;PST;MID	V;MASC;SG;V.PTCP
מלך	king	מלך	king	N;MASC;SG	N;MASC;SG
מלך	rei	מלך	rei	N;MASC;SG	N;MASC;SG
מקור	origem	מקור	origem	N;MASC;SG	N;FEM;SG
מקור	fonte	מקור	fonte	N;MASC;SG	N;FEM;SG
מקור	origem	מקור	origem	N;MASC;SG	N;FEM;SG
מקור	bico	מקור	bico	N;MASC;SG	N;MASC;SG
תוכנית	programa	תוכנית	programa	N;FEM;SG	N;MASC;SG
תוכנית	plano	תוכנית	plano	N;FEM;SG	N;MASC;SG
תוכנית	plan	תוכנית	plan	N;FEM;SG	N;MASC;SG
תוכנית	programa	תוכנית	programa	N;FEM;SG	N;MASC;SG
לגבי	sobre	לגבי	sobre	ADP	ADP
פעם	outrora	פעם	outrora	ADV	ADV
משתמש	utilizar	השתמש	utilizar	V;MASC;SG;V.PTCP	V;NFIN
משתמש	usar	השתמש	usar	V;MASC;SG;V.PTCP	V;NFIN
משתמש	usando	השתמש	usar	V;MASC;SG;V.PTCP	V;V.MSDR
משתמש	utilizando	השתמש	utilizar	V;MASC;SG;V.PTCP	V;V.MSDR
קיבל	recebida	קיבל	receber	V;MASC;SG;3;PST;ACT	V;FEM;SG;V.PTCP
קיבל	recebido	קיבל	receber	V;MASC;SG;3;PST;ACT	V;MASC;SG;V.PTCP
קיבל	recebeu	קיבל	receber	V;MASC;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
קיבל	aceitado	קיבל	aceitar	V;MASC;SG;3;PST;ACT	V;MASC;SG;V.PTCP
קיבל	aceito	קיבל	aceitar	V;MASC;SG;3;PST;ACT	V;MASC;SG;V.PTCP
נשים	mulheres	איש	mulher	N;FEM;PL	N;FEM;PL
במיוחד	particularmente	במיוחד	particularmente	ADV	ADV
במיוחד	especialmente	במיוחד	especialmente	ADV	ADV
עדיין	ainda	עדיין	ainda	ADV	ADV
מים	águas	מים	água	N;MASC;PL	N;FEM;PL
כוחות	potências	כוח	potências	N;MASC;PL	N;FEM;PL
כוחות	poderes	כוח	poder	N;MASC;PL	N;MASC;PL
כוחות	competências	כוח	competência	N;MASC;PL	N;FEM;PL
כוחות	forcas	כוח	forca	N;MASC;PL	N;FEM;PL
כוחות	forças	כוח	força	N;MASC;PL	N;FEM;PL
פעולה	acção	פעולה	acção	N;FEM;SG	N;FEM;SG
פעולה	action	פעולה	action	N;FEM;SG	N;MASC;SG
פעולה	ação	פעולה	ação	N;FEM;SG	N;FEM;SG
נכון	certo	נכון	certo	ADJ;MASC;SG	ADJ;MASC;SG
נכון	verdadeiro	נכון	verdadeiro	ADJ;MASC;SG	ADJ;MASC;SG
נכון	verdadeira	נכון	verdadeiro	ADJ;MASC;SG	ADJ;FEM;SG
החלה	começou	החל	começar	V;FEM;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
החלה	iniciado	החל	iniciar	V;FEM;SG;3;PST;ACT	V;MASC;SG;V.PTCP
החלה	iniciada	החל	iniciar	V;FEM;SG;3;PST;ACT	V;FEM;SG;V.PTCP
החלה	começou	החל	começar	V;FEM;SG;3;PST;ACT	V;IND;SG;3;PST;FIN
חוק	lei	חוק	lei	N;MASC;SG	N;FEM;SG
חוק	direito	חוק	direito	N;MASC;SG	N;MASC;SG
חוק	law	חוק	law	N;MASC;SG	N;MASC;SG
יחידה	unidade	יחידה	unidade	N;FEM;SG	N;FEM;SG
שוב	novamente	שוב	novamente	ADV	ADV
מדינות	estados	מדינה	estado	N;FEM;PL	N;MASC;PL
מדינות	países	מדינה	país	N;FEM;PL	N;MASC;PL
מפקד	comandante	מפקד	comandante	N;MASC;SG	N;MASC;SG
שלוש	tres	שלוש	tres	NUM;FEM;SG	NUM
שלוש	três	שלוש	três	NUM;FEM;SG	NUM
אזור	região	אזור	região	N;MASC;SG	N;FEM;SG
אזור	zona	אזור	zona	N;MASC;SG	N;FEM;SG
אזור	zone	אזור	zone	N;MASC;SG	N;MASC;SG
אזור	area	אזור	area	N;MASC;SG	N;FEM;SG
אזור	área	אזור	área	N;MASC;SG	N;FEM;SG
פעמים	vezes	פעם	vez	N;FEM;PL	N;MASC;PL
פעמים	tempos	פעם	tempo	N;FEM;PL	N;MASC;PL
פעמים	times	פעם	time	N;FEM;PL	N;MASC;PL
קבוצות	grupos	קבוצה	grupo	N;FEM;PL	N;MASC;PL
קבוצות	equipas	קבוצה	equipa	N;FEM;PL	N;FEM;PL
קבוצות	equipes	קבוצה	equipe	N;FEM;PL	N;FEM;PL
קבוצות	times	קבוצה	time	N;FEM;PL	N;MASC;PL
סרט	filme	סרט	filme	N;MASC;SG	N;MASC;SG
סרט	película	סרט	película	N;MASC;SG	N;FEM;SG
סרט	filme	סרט	filme	N;MASC;SG	N;MASC;SG
קרב	battle	קרב	battle	N;MASC;SG	N;MASC;SG
קרב	batalha	קרב	batalha	N;MASC;SG	N;FEM;SG
קרב	combate	קרב	combate	N;MASC;SG	N;MASC;SG
קצר	curto	קצר	curto	ADJ;MASC;SG	ADJ;MASC;SG
קצר	curta	קצר	curto	ADJ;MASC;SG	ADJ;FEM;SG
ימים	dias	יום	dia	N;MASC;PL	N;MASC;PL
צבא	militar	צבא	militar	N;MASC;SG	N;MASC;SG
צבא	exército	צבא	exército	N;MASC;SG	N;MASC;SG
צבא	tropa	צבא	tropa	N;MASC;SG	N;FEM;SG
צבא	army	צבא	army	N;MASC;SG	N;MASC;SG
ים	mar	ים	mar	N;MASC;SG	N;MASC;SG
משחק	game	משחק	game	N;MASC;SG	N;MASC;SG
משחק	jogo	משחק	jogo	N;MASC;SG	N;MASC;SG
משחק	atuação	משחק	atuação	N;MASC;SG	N;FEM;SG
ראשי	cabeças	ראש	cabeça	N;PSSD;MASC;PL	N;FEM;PL
ראשי	primárias	ראש	primária	N;PSSD;MASC;PL	N;FEM;PL
ראשי	primários	ראש	primário	N;PSSD;MASC;PL	N;MASC;PL
נבחר	escolhido	נבחר	escolher	V;MASC;SG;3;PST;MID	V;MASC;SG;V.PTCP
נבחר	escolhida	נבחר	escolher	V;MASC;SG;3;PST;MID	V;FEM;SG;V.PTCP
נבחר	seleccionado	נבחר	seleccionar	V;MASC;SG;3;PST;MID	V;MASC;SG;V.PTCP
נבחר	selecionado	נבחר	selecionar	V;MASC;SG;3;PST;MID	V;MASC;SG;V.PTCP
נבחר	selecionada	נבחר	selecionado	V;MASC;SG;3;PST;MID	V;FEM;SG;V.PTCP
מדי	também	מדי	também	ADV	ADV
מדי	demais	מדי	demais	ADV	ADV
פעילות	atividade	פעילות	atividade	N;FEM;SG	N;FEM;SG
פעילות	actividade	פעילות	actividade	N;FEM;SG	N;FEM;SG
שטח	field	שטח	field	N;MASC;SG	N;MASC;SG
שטח	campo	שטח	campo	N;MASC;SG	N;MASC;SG
שטח	terreno	שטח	terreno	N;MASC;SG	N;MASC;SG
שטח	area	שטח	area	N;MASC;SG	N;FEM;SG
שטח	área	שטח	área	N;MASC;SG	N;FEM;SG
מאוחר	tarde	מאוחר	tarde	ADV	ADV
קולנוע	filme	קולנוע	filme	N;MASC;SG	N;MASC;SG
קולנוע	cinema	קולנוע	cinema	N;MASC;SG	N;MASC;SG
קולנוע	cinematografia	קולנוע	cinematografia	N;MASC;SG	N;FEM;SG
קולנוע	cinemas	קולנוע	cinema	N;MASC;SG	N;MASC;SG
קולנוע	cinema	קולנוע	cinema	N;MASC;SG	N;MASC;SG
קשר	ligação	קשר	ligação	N;MASC;SG	N;FEM;SG
קשר	conexão	קשר	conexão	N;MASC;SG	N;FEM;SG
קשר	contacto	קשר	contacto	N;MASC;SG	N;MASC;SG
קשר	contato	קשר	contato	N;MASC;SG	N;MASC;SG
קשר	nó	קשר	nó	N;MASC;SG	N;MASC;SG
קודם	primeiramente	קודם	primeiramente	ADV	ADV
קודם	primeiro	קודם	primeiro	ADV	ADV
עיר	vila	עיר	vila	N;FEM;SG	N;FEM;SG
עיר	cidade	עיר	cidade	N;FEM;SG	N;FEM;SG
עיר	cidade	עיר	cidade	N;FEM;SG	N;FEM;SG
הופעות	impressões	הופעה	impressão	N;FEM;PL	N;FEM;PL
הופעות	aparências	הופעה	aparência	N;FEM;PL	N;FEM;PL
הופעות	aparições	הופעה	aparição	N;FEM;PL	N;FEM;PL
הופעות	concertos	הופעה	concerto	N;FEM;PL	N;MASC;PL
הופעות	shows	הופעה	show	N;FEM;PL	N;MASC;PL
תקופה	periodo	תקופה	periodo	N;FEM;SG	N;MASC;SG
תקופה	período	תקופה	período	N;FEM;SG	N;MASC;SG
ספרים	livros	ספר	livro	N;MASC;PL	N;MASC;PL
קטן	pequeno	קטן	pequeno	ADJ;MASC;SG	ADJ;MASC;SG
קטן	pequena	קטן	pequeno	ADJ;MASC;SG	ADJ;FEM;SG
קטן	pequeno	קטן	pequeno	ADJ;MASC;SG	ADJ;MASC;SG
קטן	pequena	קטן	pequeno	ADJ;MASC;SG	ADJ;FEM;SG
למד	aprendeu	למד	aprender	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN
למד	aprendido	למד	aprender	V;MASC;SG;3;PST	V;MASC;SG;V.PTCP
למד	estudou	למד	estudar	V;MASC;SG;3;PST	V;IND;SG;3;PST;FIN
למד	estudado	למד	estudar	V;MASC;SG;3;PST	V;MASC;SG;V.PTCP
למד	estudada	למד	estudar	V;MASC;SG;3;PST	V;FEM;SG;V.PTCP
למד	aprender	למד	aprender	V;MASC;SG;3;PST	V;NFIN
ברית	aliança	ברית	aliança	N;FEM;SG	N;FEM;SG
ברית	alliance	ברית	alliance	N;FEM;SG	N;MASC;SG
תשע	nove	תשע	nove	NUM;FEM;SG	NUM
פחות	menos	פחות	menos	ADV	ADV
פחות	menos	פחות	menos	ADV	ADV
ישראלי	israelita	ישראלי	israelita	N;MASC;SG	N;MASC;SG
משרד	estância	משרד	estância	N;MASC;SG	N;FEM;SG
משרד	gabinete	משרד	gabinete	N;MASC;SG	N;MASC;SG
משרד	escritório	משרד	escritório	N;MASC;SG	N;MASC;SG
איך	como	איך	como	ADV	ADV
גרסאות	variantes	גרסה	variante	N;FEM;PL	N;FEM;PL
גרסאות	versões	גרסה	versão	N;FEM;PL	N;FEM;PL
זהב	golden	זהב	golden	N;MASC;SG	N;MASC;SG
זהב	ouro	זהב	ouro	N;MASC;SG	N;MASC;SG
זהב	ouro	זהב	ouro	N;MASC;SG	N;MASC;SG
זהב	gold	זהב	gold	N;MASC;SG	N;MASC;SG
עולם	world	עולם	world	N;MASC;SG	N;MASC;SG
עולם	mundo	עולם	mundo	N;MASC;SG	N;MASC;SG
יד	yad	יד	yad	N;FEM;SG	N;MASC;SG
יד	mão	יד	mão	N;FEM;SG	N;FEM;SG
