progettata	navrhl	progettare	navrhnout	V;FEM;SG;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
ispirata	inspiroval	ispirare	inspirovat	V;FEM;SG;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
empire	říše	empire	říše	N;SG	N;NOM;FEM;SG;POS
empire	impérium	empire	impérium	N;SG	N;NOM;NEUT;SG;POS
teatri	divadla	teatro	divadlo	N;MASC;PL	N;NOM;NEUT;PL;POS
teatri	divadla	teatro	divadlo	N;MASC;PL	N;NOM;NEUT;PL;POS
teatri	kina	teatro	kino	N;MASC;PL	N;NOM;NEUT;PL;POS
taglia	řez	taglia	řez	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
taglia	střih	taglia	střih	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
taglia	velikost	taglia	velikost	N;FEM;SG	N;NOM;FEM;SG;POS
taglia	velikosti	taglia	velikost	N;FEM;SG	N;GEN;FEM;SG;POS
orange	pomeranč	orangia	pomeranč	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
riposo	odpočinku	riposo	odpočinek	N;MASC;SG	N;INAN;GEN;MASC;SG;POS
riposo	odpočinek	riposo	odpočinek	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
riposo	odpočívej	riposo	odpočívat	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
intensa	intenzivní	intenso	intenzívní	ADJ;FEM;SG	ADJ;NOM;MASC;SG;POS
laser	laserem	laser	laser	N;MASC	N;INAN;INS;MASC;SG;POS
laser	laser	laser	laser	N;MASC	N;INAN;NOM;MASC;SG;POS
laser	lasery	laser	laser	N;MASC	N;INAN;NOM;MASC;PL;POS
mentale	mentální	mentale	mentální	ADJ;SG	ADJ;NOM;MASC;SG;POS
mentale	duševní	mentale	duševní	ADJ;SG	ADJ;NOM;MASC;SG;POS
allenamento	trénink	allenamento	trénink	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
allenamento	posilování	allenamento	posilování	N;MASC;SG	N;NOM;NEUT;SG;POS
allenamento	cvičení	allenamento	cvičení	N;MASC;SG	N;NOM;NEUT;SG;POS
allenamento	trénink	allenamento	trénink	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
allenamento	praxe	allenamento	praxe	N;MASC;SG	N;NOM;FEM;SG;POS
allenamento	praxi	allenamento	praxe	N;MASC;SG	N;ACC;FEM;SG;POS
ritratti	portréty	ritratto	portrét	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
sergente	seržant	sergente	seržant	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
sergente	seržant	sergente	seržant	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
invenzione	vynález	invenzione	vynález	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
ristorante	restaurace	ristorante	restaurace	N;MASC;SG	N;NOM;FEM;SG;POS
marchi	značek	marchio	značka	N;MASC;PL	N;GEN;FEM;PL;POS
marchi	značky	marchio	značka	N;MASC;PL	N;NOM;FEM;PL;POS
marchi	marek	marchio	marka	N;MASC;PL	N;GEN;FEM;PL;POS
marchi	značky	marchio	značka	N;MASC;PL	N;NOM;FEM;PL;POS
channel	kanál	channel	kanál	N;MASC	N;INAN;NOM;MASC;SG;POS
indipendentemente	nezávisle	indipendentemente	závisle	ADV	ADV;NEG
tentare	pokoušet	tentare	pokoušet	V;NFIN	V;IPFV;POS;NFIN
antologia	antologie	antologia	antologie	N;FEM;SG	N;NOM;FEM;SG;POS
historia	historia	historia	historium	N;FEM;SG	N;NOM;FEM;SG;POS
ritardo	zpoždění	ritardo	zpoždění	N;MASC;SG	N;NOM;NEUT;SG;POS
ritardo	zdržení	ritardo	zdržení	N;MASC;SG	N;NOM;NEUT;SG;POS
ritardo	prodlení	ritardo	prodlení	N;MASC;SG	N;NOM;NEUT;SG;POS
ritardo	zpoždění	ritardo	zpoždění	N;MASC;SG	N;NOM;NEUT;SG;POS
ritardo	zpoždění	ritardo	zpoždění	N;MASC;SG	N;NOM;NEUT;SG;POS
fauna	fauna	fauna	fauna	N;FEM;SG	N;NOM;FEM;SG;POS
cancro	rakovina	cancro	rakovina	N;MASC;SG	N;NOM;FEM;SG;POS
cancro	rakovinu	cancro	rakovina	N;MASC;SG	N;ACC;FEM;SG;POS
louise	louisa	louiso	louisa	N;FEM;SG	N;NOM;FEM;SG;POS
bande	kapel	banda	kapela	N;FEM;PL	N;GEN;FEM;PL;POS
bande	pásma	banda	pásmo	N;FEM;PL	N;NOM;NEUT;PL;POS
bande	kapely	banda	kapela	N;FEM;PL	N;NOM;FEM;PL;POS
bande	gangy	banda	gang	N;FEM;PL	N;INAN;NOM;MASC;PL;POS
beata	požehnaný	beato	požehnaný	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
bis	přídavek	bis	přídavek	N;MASC	N;INAN;NOM;MASC;SG;POS
perfetta	dokonalá	perfetto	dokonalý	ADJ;FEM;SG	ADJ;NOM;FEM;SG;POS
perfetta	perfektní	perfetto	perfektní	ADJ;FEM;SG	ADJ;NOM;MASC;SG;POS
perfetta	dokonalý	perfetto	dokonalý	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
perfetta	bezchybné	perfetto	bezchybný	ADJ;FEM;SG	ADJ;NOM;NEUT;SG;POS
autrice	autor	autore	autor	N;FEM;SG	N;ANIM;NOM;MASC;SG;POS
autrice	autorka	autore	autorka	N;FEM;SG	N;NOM;FEM;SG;POS
autrice	autora	autore	autor	N;FEM;SG	N;ANIM;ACC;MASC;SG;POS
prete	knězi	prete	kněz	N;MASC;SG	N;ANIM;DAT;MASC;SG;POS
prete	kněz	prete	kněz	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
cadavere	mrtvola	cadavere	mrtvola	N;MASC;SG	N;NOM;FEM;SG;POS
cadavere	mrtvolu	cadavere	mrtvola	N;MASC;SG	N;ACC;FEM;SG;POS
cadavere	mrtvola	cadavere	mrtvola	N;MASC;SG	N;NOM;FEM;SG;POS
periferia	předměstí	periferia	předměstí	N;FEM;SG	N;NOM;NEUT;SG;POS
periferia	předměstí	periferia	předměstí	N;FEM;SG	N;NOM;NEUT;SG;POS
periferia	okraj	periferia	okraj	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
periferia	periferii	periferia	periferie	N;FEM;SG	N;ACC;FEM;SG;POS
cranio	lebka	cranio	lebka	N;MASC;SG	N;NOM;FEM;SG;POS
cranio	lebku	cranio	lebka	N;MASC;SG	N;ACC;FEM;SG;POS
cranio	lebka	cranio	lebka	N;MASC;SG	N;NOM;FEM;SG;POS
nono	devátý	nono	devátý	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
nono	devátá	nono	devátý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nono	deváté	nono	devátý	ADJ;MASC;SG	ADJ;NOM;MASC;SG
orizzontale	horizontální	orizzontale	horizontální	ADJ;SG	ADJ;NOM;MASC;SG;POS
orizzontale	vodorovné	orizzontale	vodorovný	ADJ;SG	ADJ;NOM;NEUT;SG;POS
catturare	zachytit	catturare	zachytit	V;NFIN	V;PFV;POS;NFIN
catturare	zajmout	catturare	zajmout	V;NFIN	V;POS;NFIN
assisi	assisi	assiso	assise	N;MASC;SG	N;NOM;FEM;SG;POS
strati	vrstvy	strato	vrstva	N;MASC;PL	N;NOM;FEM;PL;POS
strati	vrstev	strato	vrstva	N;MASC;PL	N;GEN;FEM;PL;POS
strati	vrstvy	strato	vrstva	N;MASC;PL	N;NOM;FEM;PL;POS
strati	vrstvy	strato	vrstva	N;MASC;PL	N;NOM;FEM;PL;POS
campana	zvonek	campana	zvonek	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
campana	zvon	campana	zvon	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
tombe	hroby	tomba	hrob	N;FEM;PL	N;INAN;NOM;MASC;PL;POS
tombe	hrobky	tomba	hrobka	N;FEM;PL	N;NOM;FEM;PL;POS
studia	studovat	studiare	studovat	V;IND;SG;3;PRS;FIN	V;IPFV;POS;NFIN
ricostruita	přestavěl	ricostruire	přestavět	V;FEM;SG;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
gambe	nohy	gamba	noha	N;FEM;PL	N;NOM;FEM;PL;POS
gambe	nožičky	gamba	nožička	N;FEM;PL	N;NOM;FEM;PL;POS
gambe	nožky	gamba	nožka	N;FEM;PL	N;NOM;FEM;PL;POS
puro	čistá	puro	čistý	ADJ;MASC;SG	ADJ;NOM;FEM;SG;POS
puro	čistý	puro	čistý	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
puro	čisté	puro	čistý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG;POS
miles	kilometry	miles	kilometr	N	N;INAN;NOM;MASC;PL;POS
miles	mil	miles	milión	N	N;INAN;MASC;POS
miles	míle	miles	míla	N	N;NOM;FEM;PL;POS
connessione	spojení	connessione	spojení	N;FEM;SG	N;NOM;NEUT;SG;POS
connessione	připojení	connessione	připojení	N;FEM;SG	N;NOM;NEUT;SG;POS
connessione	souvislost	connessione	souvislost	N;FEM;SG	N;NOM;FEM;SG;POS
connessione	propojení	connessione	propojení	N;FEM;SG	N;NOM;NEUT;SG;POS
connessione	připojení	connessione	připojení	N;FEM;SG	N;NOM;NEUT;SG;POS
marcus	marcus	marcus	marcus	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
marcus	marcuse	marcus	marcus	N;MASC;SG	N;ANIM;ACC;MASC;SG;POS
rappresentanza	zastupování	rappresentanza	zastupování	N;FEM;SG	N;NOM;NEUT;SG;POS
rappresentanza	reprezentace	rappresentanza	reprezentace	N;FEM;SG	N;NOM;FEM;SG;POS
rappresentanza	zastoupení	rappresentanza	zastoupení	N;FEM;SG	N;NOM;NEUT;SG;POS
anziani	seniory	anziano	senior	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
anziani	senioři	anziano	senior	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
anziani	důchodci	anziano	důchodce	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
predecessore	předchůdce	predecessore	předchůdce	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
intellettuale	duševní	intellettuale	duševní	ADJ;SG	ADJ;NOM;MASC;SG;POS
intellettuale	intelektuální	intellettuale	intelektuální	ADJ;SG	ADJ;NOM;MASC;SG;POS
marittima	námořní	marittimo	námořní	ADJ;FEM;SG	ADJ;NOM;FEM;SG;POS
efficacia	efektivita	efficacia	efektivita	N;FEM;SG	N;NOM;FEM;SG;POS
efficacia	účelnost	efficacia	účelnost	N;FEM;SG	N;NOM;FEM;SG;POS
efficacia	účinnost	efficacia	účinnost	N;FEM;SG	N;NOM;FEM;SG;POS
efficacia	efektivnost	efficacia	efektivnost	N;FEM;SG	N;NOM;FEM;SG;POS
efficacia	účinnost	efficacia	účinnost	N;FEM;SG	N;NOM;FEM;SG;POS
efficacia	účinnosti	efficacia	účinnost	N;FEM;SG	N;NOM;FEM;SG;POS
spot	spot	spot	spot	N;MASC	N;INAN;NOM;MASC;SG;POS
batterie	baterky	batteria	baterka	N;FEM;PL	N;NOM;FEM;PL;POS
collezioni	sbírky	collezione	sbírka	N;FEM;PL	N;NOM;FEM;PL;POS
riservato	vyhrazeno	riservato	vyhrazený	ADJ;MASC;SG	ADJ;NEUT;SG;POS;V.PTCP;PASS
riservato	vyhrazené	riservato	vyhrazený	ADJ;MASC;SG	ADJ;NOM;NEUT;SG;POS
riservato	důvěrný	riservato	důvěrný	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
manoscritto	rukopis	manoscritto	rukopis	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
jake	jaka	jake	jako	N;MASC	N;NOM;FEM;SG;POS
completamento	dokončení	completamento	dokončení	N;MASC;SG	N;NOM;NEUT;SG;POS
acronimo	zkratka	acronimo	zkratka	N;MASC;SG	N;NOM;FEM;SG;POS
murphy	murphyho	murphy	murphy	N;MASC	N;ANIM;ACC;MASC;SG;POS
armatura	brnění	armatura	brnění	N;FEM;SG	N;NOM;NEUT;SG;POS
armatura	zbroj	armatura	zbroj	N;FEM;SG	N;NOM;FEM;SG;POS
armatura	brnění	armatura	brnění	N;FEM;SG	N;NOM;NEUT;SG;POS
armatura	zbroj	armatura	zbroj	N;FEM;SG	N;NOM;FEM;SG;POS
buio	dark	buio	dark	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
buio	temnota	buio	temnota	N;MASC;SG	N;NOM;FEM;SG;POS
buio	tma	buio	tma	N;MASC;SG	N;NOM;FEM;SG;POS
buio	temnotu	buio	temnota	N;MASC;SG	N;ACC;FEM;SG;POS
buio	tmy	buio	tma	N;MASC;SG	N;NOM;FEM;SG;POS
dono	dárek	dono	dárek	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
dono	dar	dono	dar	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
allevamento	chovu	allevamento	chov	N;MASC;SG	N;INAN;GEN;MASC;SG;POS
allevamento	chov	allevamento	chov	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
statistica	statistika	statistica	statistika	N;FEM;SG	N;NOM;FEM;SG;POS
prestigio	prestiž	prestigio	prestiž	N;MASC;SG	N;NOM;FEM;SG;POS
munizioni	střeliva	munizione	střelivo	N;FEM;PL	N;NOM;NEUT;PL;POS
votato	hlasoval	votare	hlasovat	V;MASC;SG;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
trionfo	triumf	trionfo	triumf	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
identificato	identifikoval	identificare	identifikovat	V;MASC;SG;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
english	angličtina	english	angličtina	N	N;NOM;FEM;SG;POS
lettori	čtenáře	lettore	čtenář	N;MASC;PL	N;ANIM;ACC;MASC;PL;POS
lettori	čtenáři	lettore	čtenář	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
lettori	čtenářů	lettore	čtenář	N;MASC;PL	N;ANIM;GEN;MASC;PL;POS
lettori	čtenáře	lettore	čtenář	N;MASC;PL	N;ANIM;ACC;MASC;PL;POS
organizzatore	organizátor	organizzatore	organizátor	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
organizzatore	organizátor	organizzatore	organizátor	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
gemelli	dvojčata	gemello	dvojče	N;MASC;PL	N;NOM;NEUT;PL;POS
invitato	pozval	invitare	pozvat	V;MASC;SG;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
presumibilmente	údajně	presumibilmente	údajně	ADV	ADV;POS
presumibilmente	údajně	presumibilmente	údajně	ADV	ADV;POS
pareri	stanoviska	parere	stanovisko	N;MASC;PL	N;NOM;NEUT;PL;POS
pareri	posudky	parere	posudek	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
pareri	názory	parere	názor	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
meccanico	mechanické	meccanico	mechanický	ADJ;MASC;SG	ADJ;NOM;NEUT;SG;POS
meccanico	mechanická	meccanico	mechanický	ADJ;MASC;SG	ADJ;NOM;FEM;SG;POS
meccanico	mechanický	meccanico	mechanický	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
lane	pruh	lana	pruh	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
trilogia	trilogii	trilogia	trilogie	N;FEM;SG	N;ACC;FEM;SG;POS
servire	sloužit	servire	sloužit	V;NFIN	V;IPFV;POS;NFIN
servire	podávám	servire	podávat	V;NFIN	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
servire	podávat	servire	podávat	V;NFIN	V;IPFV;POS;NFIN
servire	sloužit	servire	sloužit	V;NFIN	V;IPFV;POS;NFIN
abile	zručný	abile	zručný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG;POS
incluse	zahrnuty	incluso	zahrnutý	ADJ;FEM;PL	ADJ;INAN;PL;POS;V.PTCP;PASS
temporaneamente	dočasně	temporaneamente	dočasně	ADV	ADV;POS
temporaneamente	dočasně	temporaneamente	dočasně	ADV	ADV;POS
virgilio	virgil	virgilio	virgit	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
virgilio	virgilio	virgilio	virgilio	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
grassi	tuky	grasso	tuk	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
grassi	tuky	grasso	tuk	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
cecilia	cecilie	cecilia	cecilie	N;FEM;SG	N;NOM;FEM;SG;POS
sopravvissuti	přežili	sopravvivere	přežít	V;MASC;PL;PST;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
sopravvissuti	přežily	sopravvivere	přežít	V;MASC;PL;PST;V.PTCP	V;INAN;PL;POS;PST;V.PTCP;ACT
acquisizione	pořízení	acquisizione	pořízení	N;FEM;SG	N;NOM;NEUT;SG;POS
acquisizione	získávání	acquisizione	získávání	N;FEM;SG	N;NOM;NEUT;SG;POS
acquisizione	akvizice	acquisizione	akvizice	N;FEM;SG	N;NOM;FEM;SG;POS
acquisizione	získání	acquisizione	získání	N;FEM;SG	N;NOM;NEUT;SG;POS
acquisizione	nabytí	acquisizione	nabytí	N;FEM;SG	N;NOM;NEUT;SG;POS
morris	morrise	morris	morrise	N;MASC	N;ANIM;ACC;MASC;SG;POS
depressione	depresi	depressione	deprese	N;FEM;SG	N;ACC;FEM;SG;POS
depressione	deprese	depressione	deprese	N;FEM;SG	N;NOM;FEM;SG;POS
spessore	tloušťka	spessore	tloušťka	N;MASC;SG	N;NOM;FEM;SG;POS
identificazione	identifikace	identificazione	identifikace	N;FEM;SG	N;NOM;FEM;SG;POS
operativa	operační	operativo	operační	ADJ;FEM;SG	ADJ;NOM;MASC;SG;POS
operativa	operativní	operativo	operativní	ADJ;FEM;SG	ADJ;NOM;MASC;SG;POS
operativa	provozní	operativo	provozní	ADJ;FEM;SG	ADJ;NOM;MASC;SG;POS
inviata	poslal	inviare	poslat	V;FEM;SG;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
petto	hruď	petto	hruď	N;MASC;SG	N;NOM;FEM;SG;POS
petto	hrudi	petto	hruď	N;MASC;SG	N;NOM;FEM;SG;POS
petto	hrudníku	petto	hrudník	N;MASC;SG	N;INAN;DAT;MASC;SG;POS
petto	hrudník	petto	hrudník	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
petto	truhla	petto	truhnout	N;MASC;SG	N;NOM;FEM;SG;POS
petto	prsu	petto	prs	N;MASC;SG	N;NOM;FEM;SG;POS
circostanze	okolnosti	circostanza	okolnost	N;FEM;PL	N;NOM;FEM;PL;POS
circostanze	okolnosti	circostanza	okolnost	N;FEM;PL	N;NOM;FEM;PL;POS
descrivere	popište	descrivere	popišít	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
descrivere	popsat	descrivere	popsat	V;NFIN	V;POS;NFIN
devil	čert	devil	čert	N	N;ANIM;NOM;MASC;SG;POS
devil	ďábel	devil	ďábel	N	N;ANIM;NOM;MASC;SG;POS
interpretazioni	výklady	interpretazione	výklad	N;FEM;PL	N;INAN;NOM;MASC;PL;POS
terrestri	pozemšťané	terrestre	pozemšťan	N;MASC;PL	N;ANIM;NOM;MASC;PL;POS
biografie	životopisy	biografia	životopis	N;FEM;PL	N;INAN;NOM;MASC;PL;POS
repubblicano	republikánské	repubblicano	republikánský	ADJ;MASC;SG	ADJ;NOM;FEM;SG;POS
pavimento	patře	pavimento	patro	N;MASC;SG	N;NOM;NEUT;SG;POS
pavimento	podlaha	pavimento	podlaha	N;MASC;SG	N;NOM;FEM;SG;POS
pavimento	poschodí	pavimento	poschodí	N;MASC;SG	N;NOM;NEUT;SG;POS
pavimento	podlaží	pavimento	podlaží	N;MASC;SG	N;NOM;NEUT;SG;POS
pavimento	patro	pavimento	patro	N;MASC;SG	N;NOM;NEUT;SG;POS
zucchero	cukr	zucchero	cukr	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
zucchero	cukru	zucchero	cukr	N;MASC;SG	N;INAN;GEN;MASC;SG;POS
