che	那	che	那	DET	DET
forma	形式	forma	形式	N;FEM;SG	N
forma	表格	forma	表格	N;FEM;SG	N
codice	法典	codice	法典	N;MASC;SG	N
codice	密碼	codice	密碼	N;MASC;SG	N
codice	編碼	codice	編碼	N;MASC;SG	N
codice	碼	codice	碼	N;MASC;SG	N
base	基地	base	基地	N;FEM;SG	N
base	基礎	base	基礎	N;FEM;SG	N
base	基數	base	基數	N;FEM;SG	N
base	基礎	base	基礎	N;FEM;SG	N
trova	找到	trovare	找到	V;IND;SG;3;PRS;FIN	V
trova	尋找	trovare	尋找	V;IND;SG;3;PRS;FIN	V
punto	角	punto	角	N;MASC;SG	N
punto	點	punto	點	N;MASC;SG	N
tuttavia	然而	tuttavia	然而	ADV	ADV
figlio	兒子	figlio	兒子	N;MASC;SG	N
corso	課程	corso	課程	N;MASC;SG	N
allenatore	教練	allenatore	教練	N;MASC;SG	N
sistema	系統	sistema	系統	N;MASC;SG	N
società	社會	società	社會	N;FEM	N
società	公司	società	公司	N;FEM	N
club	幫會	club	幫會	N;MASC	N
club	俱樂部	club	俱樂部	N;MASC	N
regione	區域	regione	區域	N;FEM;SG	N
sud	南部	sud	南部	N;MASC;SG	N
sud	南	sud	南	N;MASC;SG	N
sud	南部	sud	南部	N;MASC;SG	N
discussione	辯論	discussione	辯論	N;FEM;SG	N
padre	父親	padre	父親	N;MASC;SG	N
padre	神父	padre	神父	N;MASC;SG	N
padre	父	padre	父	N;MASC;SG	N
linea	線	linea	線	N;FEM;SG	N
linea	線路	linea	線路	N;FEM;SG	N
santa	聖人	santo	聖人	N;FEM;SG	N
pubblicato	出版	pubblicare	出版	V;MASC;SG;PST;V.PTCP	V
pubblicato	發表	pubblicare	發表	V;MASC;SG;PST;V.PTCP	V
progetto	項目	progetto	項目	N;MASC;SG	N
mai	從來	mai	從來	ADV	ADV
sito	網站	sito	網站	N;MASC;SG	N
sito	工地	sito	工地	N;MASC;SG	N
uso	用法	uso	用法	N;MASC;SG	N
uso	用量	uso	用量	N;MASC;SG	N
lavoro	工作	lavoro	工作	N;MASC;SG	N
lavoro	工作	lavoro	工作	N;MASC;SG	N
giorno	白天	giorno	白天	N;MASC;SG	N
termine	任期	termine	任期	N;MASC;SG	N
termine	術語	termine	術語	N;MASC;SG	N
termine	學期	termine	學期	N;MASC;SG	N
spesso	常常	spesso	常常	ADV	ADV
spesso	經常	spesso	經常	ADV	ADV
spesso	時常	spesso	時常	ADV	ADV
spesso	常常	spesso	常常	ADV	ADV
spesso	經常	spesso	經常	ADV	ADV
regno	王國	regno	王國	N;MASC;SG	N
regno	國度	regno	國度	N;MASC;SG	N
specie	魚種	specie	魚種	N;FEM	N
specie	物種	specie	物種	N;FEM	N
persone	人	persona	人	N;FEM;PL	N
persone	人們	persona	人	N;FEM;PL	N;PL
persone	人民	persona	人民	N;FEM;PL	N
pagine	頁	pagina	頁	N;FEM;PL	N
volte	時代	volta	時代	N;FEM;PL	N
volte	時報	volta	時報	N;FEM;PL	N
set	集	set	集	N;MASC	N
jpg	jpg	jpg	jpg	N	N
episodio	插曲	episodio	插曲	N;MASC;SG	N
episodio	集	episodio	集	N;MASC;SG	N
posizione	職位	posizione	職位	N;FEM;SG	N
posizione	位置	posizione	位置	N;FEM;SG	N
posizione	立場	posizione	立場	N;FEM;SG	N
genere	類型	genere	類型	N;MASC;SG	N
genere	流派	genere	流派	N;MASC;SG	N
genere	性別	genere	性別	N;MASC;SG	N
genere	屬	genere	屬	N;MASC;SG	N
queste	這些	questo	這些	DET;FEM;PL	DET
presidente	總統	presidente	總統	N;MASC;SG	N
presidente	主席	presidente	主席	N;MASC;SG	N
presidente	主席	presidente	主席	N;MASC;SG	N
uomo	人	uomo	人	N;MASC;SG	N
uomo	男人	uomo	男人	N;MASC;SG	N
campo	欄位	campo	欄位	N;MASC;SG	N
giorni	日子	giorno	日子	N;MASC;PL	N
giorni	天數	giorno	天數	N;MASC;PL	N
carriera	職業	carriera	職業	N;FEM;SG	N
carriera	職業	carriera	職業	N;FEM;SG	N
scritto	書寫	scrivere	書寫	V;MASC;SG;PST;V.PTCP	V
scritto	撰寫	scrivere	撰寫	V;MASC;SG;PST;V.PTCP	V
territorio	領地	territorio	領地	N;MASC;SG	N
territorio	領土	territorio	領土	N;MASC;SG	N
quasi	幾乎	quasi	幾乎	ADV	ADV
terra	大地	terra	大地	N;FEM;SG	N
terra	陸地	terra	陸地	N;FEM;SG	N
terra	土地	terra	土地	N;FEM;SG	N
terra	高地	terra	高地	N;FEM;SG	N
soprattutto	尤其	soprattutto	尤其	ADV	ADV
soprattutto	尤其	soprattutto	尤其	ADV	ADV
soprattutto	大多	soprattutto	大多	ADV	ADV
allora	然後	allora	然後	ADV	ADV
allora	那麼	allora	那麼	ADV	ADV
successo	成功	successo	成功	N;MASC;SG	N
opere	工程	opera	工程	N;FEM;PL	N
opere	作品	opera	作品	N;FEM;PL	N
ordine	秩序	ordine	秩序	N;MASC;SG	N
ordine	順序	ordine	順序	N;MASC;SG	N
categoria	類別	categoria	類別	N;FEM;SG	N
epoca	紀元	epoca	紀元	N;FEM;SG	N
produzione	產量	produzione	產量	N;FEM;SG	N
strada	街頭	strada	街頭	N;FEM;SG	N
strada	街道	strada	街道	N;FEM;SG	N
strada	街	strada	街	N;FEM;SG	N
strada	公路	strada	公路	N;FEM;SG	N
strada	道路	strada	道路	N;FEM;SG	N
strada	路	strada	路	N;FEM;SG	N
corpo	屍體	corpo	屍體	N;MASC;SG	N
corpo	體	corpo	體	N;MASC;SG	N
corpo	身體	corpo	身體	N;MASC;SG	N
scrittore	作家	scrittore	作家	N;MASC;SG	N
scrittore	作者	scrittore	作者	N;MASC;SG	N
scrittore	編劇	scrittore	編劇	N;MASC;SG	N
file	文件	fila	文件	N;MASC	N
file	檔案	fila	檔案	N;MASC	N
file	文件	fila	文件	N;MASC	N
file	檔案	fila	檔案	N;MASC	N
cura	治癒	cura	治癒	N;FEM;SG	N
cura	護理	cura	護理	N;FEM;SG	N
cura	關心	cura	關心	N;FEM;SG	N
lingua	語言	lingua	語言	N;FEM;SG	N
lingua	語	lingua	語	N;FEM;SG	N
lingua	語文	lingua	語文	N;FEM;SG	N
zona	區	zona	區	N;FEM;SG	N
zona	區域	zona	區域	N;FEM;SG	N
zona	面積	zona	面積	N;FEM;SG	N
zona	地區	zona	地區	N;FEM;SG	N
zona	區域	zona	區域	N;FEM;SG	N
zona	區	zona	區	N;FEM;SG	N
livello	層	livello	層	N;MASC;SG	N
livello	層次	livello	層次	N;MASC;SG	N
livello	級別	livello	級別	N;MASC;SG	N
livello	等級	livello	等級	N;MASC;SG	N
livello	關卡	livello	關卡	N;MASC;SG	N
battaglia	戰	battaglia	戰	N;FEM;SG	N
battaglia	戰役	battaglia	戰役	N;FEM;SG	N
battaglia	戰鬥	battaglia	戰鬥	N;FEM;SG	N
premio	溢價	premio	溢價	N;MASC;SG	N
premio	保費	premio	保費	N;MASC;SG	N
premio	保險	premio	保險	N;MASC;SG	N
premio	獎品	premio	獎品	N;MASC;SG	N
premio	獎賞	premio	獎賞	N;MASC;SG	N
premio	獎	premio	獎	N;MASC;SG	N
premio	獎	premio	獎	N;MASC;SG	N
attrice	女	attore	女	N;FEM;SG	N
attrice	女	attore	女	N;FEM;SG	N
attrice	演員	attore	演員	N;FEM;SG	N
momento	時刻	momento	時刻	N;MASC;SG	N
oro	黃金	oro	黃金	N;MASC;SG	N
oro	金色	oro	金色	N;MASC;SG	N
paese	國家	paese	國家	N;MASC;SG	N
diverse	不同	diverso	不同	ADJ;FEM;PL	ADJ
cantante	歌手	cantante	歌手	N;SG	N
arte	美術	arte	美術	N;FEM;SG	N
arte	藝術	arte	藝術	N;FEM;SG	N
arte	藝術	arte	藝術	N;FEM;SG	N
età	年紀	età	年紀	N;FEM	N
età	年齡	età	年齡	N;FEM	N
vescovo	主教	vescovo	主教	N;MASC;SG	N
squadre	團隊	squadra	團隊	N;FEM;PL	N
squadre	球隊	squadra	球隊	N;FEM;PL	N
squadre	隊伍	squadra	隊伍	N;FEM;PL	N
area	面積	area	面積	N;FEM;SG	N
area	地區	area	地區	N;FEM;SG	N
area	區域	area	區域	N;FEM;SG	N
area	區	area	區	N;FEM;SG	N
chi	誰	chi	誰	PRO	PRO
attraverso	透過	attraverso	透過	ADP	ADP
attraverso	通過	attraverso	通過	ADP	ADP
regista	主任	regista	主任	N;SG	N
regista	司長	regista	司長	N;SG	N
punti	點	punto	點	N;MASC;PL	N
punti	點數	punto	點數	N;MASC;PL	N
repubblica	共和	repubblica	共和	N;FEM;SG	N
repubblica	共和	repubblica	共和	N;FEM;SG	N
governo	政府	governo	政府	N;MASC;SG	N
grandi	偉大	grande	偉大	ADJ;PL	ADJ
palazzo	皇宮	palazzo	皇宮	N;MASC;SG	N
palazzo	宮殿	palazzo	宮殿	N;MASC;SG	N
palazzo	王宮	palazzo	王宮	N;MASC;SG	N
palazzo	宮廷	palazzo	宮廷	N;MASC;SG	N
palazzo	宮	palazzo	宮	N;MASC;SG	N
giocatore	球員	giocatore	球員	N;MASC;SG	N
giocatore	玩家	giocatore	玩家	N;MASC;SG	N
università	大學	università	大學	N;FEM	N
università	大學	università	大學	N;FEM	N
isola	海島	isola	海島	N;FEM;SG	N
isola	島嶼	isola	島嶼	N;FEM;SG	N
capo	角	capo	角	N;MASC;SG	N
capo	首席	capo	首席	N;MASC;SG	N
capo	科長	capo	科長	N;MASC;SG	N
capo	老大	capo	老大	N;MASC;SG	N
capo	老闆	capo	老闆	N;MASC;SG	N
musica	音樂	musica	音樂	N;FEM;SG	N
divisione	組織	divisione	組織	N;FEM;SG	N
luogo	地方	luogo	地方	N;MASC;SG	N
luogo	地點	luogo	地點	N;MASC;SG	N
ago	針	ago	針	N	N
sembra	看	sembrare	看	V;IND;SG;3;PRS;FIN	V
gioco	比賽	gioco	比賽	N;MASC;SG	N
gioco	遊戲	gioco	遊戲	N;MASC;SG	N
vittoria	勝利	vittoria	勝利	N;FEM;SG	N
vittoria	勝利	vittoria	勝利	N;FEM;SG	N
centrale	中央	centrale	中央	N;MASC;SG	N
sei	六	sei	六	NUM	NUM
sei	六	sei	六	NUM	NUM
popolazione	人口	popolazione	人口	N;FEM;SG	N
origine	原產	origine	原產	N;FEM;SG	N
origine	起源	origine	起源	N;FEM;SG	N
prodotto	商品	prodotto	商品	N;MASC;SG	N
prodotto	產品	prodotto	產品	N;MASC;SG	N
prodotto	產物	prodotto	產物	N;MASC;SG	N
libro	圖書	libro	圖書	N;MASC;SG	N
libro	書	libro	書	N;MASC;SG	N
libro	書籍	libro	書籍	N;MASC;SG	N
scuola	學校	scuola	學校	N;FEM;SG	N
immagine	照片	immagine	照片	N;FEM;SG	N
immagine	圖片	immagine	圖片	N;FEM;SG	N
immagine	影象	immagine	影象	N;FEM;SG	N
immagine	影像	immagine	影像	N;FEM;SG	N
immagine	圖片	immagine	圖片	N;FEM;SG	N
esercito	軍方	esercito	軍方	N;MASC;SG	N
esercito	軍事	esercito	軍事	N;MASC;SG	N
esercito	集團	esercito	集團	N;MASC;SG	N
esercito	軍隊	esercito	軍隊	N;MASC;SG	N
esercito	軍	esercito	軍	N;MASC;SG	N
esercito	陸軍	esercito	陸軍	N;MASC;SG	N
deve	必須	dovere	必須	V;IND;SG;3;PRS;FIN	V
autore	作者	autore	作者	N;MASC;SG	N
classifica	名次	classifica	名次	N;FEM;SG	N
personaggio	人格	personaggio	人格	N;MASC;SG	N
personaggio	字元	personaggio	字元	N;MASC;SG	N
personaggio	人物	personaggio	人物	N;MASC;SG	N
personaggio	角色	personaggio	角色	N;MASC;SG	N
personaggio	性格	personaggio	性格	N;MASC;SG	N
personaggio	品格	personaggio	品格	N;MASC;SG	N
importante	重要	importante	重要	ADJ;SG	ADJ
torneo	錦標	torneo	錦標	N;MASC;SG	N
madre	母后	madre	母后	N;FEM;SG	N
madre	母親	madre	母親	N;FEM;SG	N
stazione	站	stazione	站	N;FEM;SG	N
stazione	車站	stazione	車站	N;FEM;SG	N
fonte	來源	fonte	來源	N;FEM;SG	N
acqua	水	acqua	水	N;FEM;SG	N
cinque	五	cinque	五	NUM	NUM
cinque	五	cinque	五	NUM	NUM
partito	黨	partito	黨	N;MASC;SG	N
partito	政黨	partito	政黨	N;MASC;SG	N
partito	宴會	partito	宴會	N;MASC;SG	N
partito	聚會	partito	聚會	N;MASC;SG	N
unità	單元	unità	單元	N;FEM	N
unità	單位	unità	單位	N;FEM	N
unità	團	unità	團	N;FEM	N
unità	股	unità	股	N;FEM	N
unità	單元	unità	單元	N;FEM	N
unità	單位	unità	單位	N;FEM	N
fonti	來源	fonte	來源	N;FEM;PL	N
marcatori	標記	marcatore	標記	N;MASC;PL	N
politica	政治	politica	政治	N;FEM;SG	N
politica	政治	politica	政治	N;FEM;SG	N
lei	她	lei	她	PRO;SG;3	PRO;3
metà	半數	metà	半數	N;FEM	N
metri	公尺	metro	公尺	N;MASC;PL	N
metri	米	metro	米	N;MASC;PL	N
metri	公尺	metro	公尺	N;MASC;PL	N
alto	高大	alto	高大	ADJ;MASC;SG	ADJ
top	頂	top	頂	N	N
top	頂端	top	頂端	N	N
top	熱門	top	熱門	N	N
testo	文字	testo	文字	N;MASC;SG	N
testo	案文	testo	案文	N;MASC;SG	N
tour	游	tour	游	N;MASC	N
tour	導覽	tour	導覽	N;MASC	N
tour	旅遊	tour	旅遊	N;MASC	N
dati	資料	dato	資料	N;MASC;PL	N
teatro	電影	teatro	電影	N;MASC;SG	N
teatro	劇場	teatro	劇場	N;MASC;SG	N
teatro	戲劇	teatro	戲劇	N;MASC;SG	N
teatro	劇院	teatro	劇院	N;MASC;SG	N
teatro	戲院	teatro	戲院	N;MASC;SG	N
teatro	劇場	teatro	劇場	N;MASC;SG	N
teatro	戰區	teatro	戰區	N;MASC;SG	N
teatro	戲劇	teatro	戲劇	N;MASC;SG	N
teatro	劇院	teatro	劇院	N;MASC;SG	N
teatro	戲院	teatro	戲院	N;MASC;SG	N
unico	獨特	unico	獨特	ADJ;MASC;SG	ADJ
unico	獨一	unico	獨一	ADJ;MASC;SG	ADJ
papa	教皇	papa	教皇	N;MASC;SG	N
papa	教宗	papa	教宗	N;MASC;SG	N
uomini	男性	uomo	男性	N;MASC;PL	N
uomini	男人	uomo	男人	N;MASC;PL	N
uomini	男子	uomo	男子	N;MASC;PL	N
ricerca	搜尋	ricerca	搜尋	N;FEM;SG	N
massimo	最多	massimo	最多	ADJ;MASC;SG	ADJ
massimo	最大	massimo	最大	ADJ;MASC;SG	ADJ
massimo	最大	massimo	最大	ADJ;MASC;SG	ADJ
massimo	最大	massimo	最大	ADJ;MASC;SG	ADJ
stile	樣式	stile	樣式	N;MASC;SG	N
stile	風格	stile	風格	N;MASC;SG	N
donna	女人	donna	女人	N;FEM;SG	N
donna	女	donna	女	N;FEM;SG	N
donna	女子	donna	女子	N;FEM;SG	N
donna	女	donna	女	N;FEM;SG	N
donna	女性	donna	女性	N;FEM;SG	N
superficie	表面	superficie	表面	N;FEM;SG	N
superficie	地面	superficie	地面	N;FEM;SG	N
superficie	地表	superficie	地表	N;FEM;SG	N
alta	高大	alto	高大	ADJ;FEM;SG	ADJ
castello	城堡	castello	城堡	N;MASC;SG	N
castello	城	castello	城	N;MASC;SG	N
distretto	區	distretto	區	N;MASC;SG	N
distretto	地區	distretto	地區	N;MASC;SG	N
mesi	月	mese	月	N;MASC;PL	N
mesi	月份	mese	月份	N;MASC;PL	N
moglie	妻子	moglie	妻子	N;FEM;SG	N
costruzione	施工	costruzione	施工	N;FEM;SG	N
costruzione	建築	costruzione	建築	N;FEM;SG	N
canzone	歌曲	canzone	歌曲	N;FEM;SG	N
canzone	首歌	canzone	首歌	N;FEM;SG	N
canzone	歌	canzone	歌	N;FEM;SG	N
altezza	身高	altezza	身高	N;FEM;SG	N
altezza	高度	altezza	高度	N;FEM;SG	N
band	樂團	band	樂團	N;FEM	N
band	樂隊	band	樂隊	N;FEM	N
chitarra	吉他	chitarra	吉他	N;FEM;SG	N
est	東	est	東	N;MASC;SG	N
est	東部	est	東部	N;MASC;SG	N
est	東方	est	東方	N;MASC;SG	N
est	東區	est	東區	N;MASC;SG	N
fiume	河	fiume	河	N;MASC;SG	N
fiume	江河	fiume	江河	N;MASC;SG	N
fiume	河流	fiume	河流	N;MASC;SG	N
figlia	女兒	figlia	女兒	N;FEM;SG	N
realtà	現實	realtà	現實	N;FEM;SG	N
monte	山	monte	山	N;MASC;SG	N
contea	郡	contea	郡	N;FEM;SG	N
contea	縣	contea	縣	N;FEM;SG	N
museo	博物	museo	博物	N;MASC;SG	N
forse	或	forse	或	ADV	ADV
forse	或	forse	或	ADV	ADV
forse	也	forse	也	ADV	ADV
protagonista	主人	protagonista	主人	N;SG	N
legge	法律	legge	法律	N;FEM;SG	N
stadio	體育	stadio	體育	N;MASC;SG	N
stadio	球場	stadio	球場	N;MASC;SG	N
fase	階段	fase	階段	N;FEM;SG	N
classe	階級	classe	階級	N;FEM;SG	N
classe	類	classe	類	N;FEM;SG	N
classe	類別	classe	類別	N;FEM;SG	N
classe	課堂	classe	課堂	N;FEM;SG	N
classe	班級	classe	班級	N;FEM;SG	N
amore	戀愛	amore	戀愛	N;MASC;SG	N
amore	愛情	amore	愛情	N;MASC;SG	N
fratello	弟弟	fratello	弟弟	N;MASC;SG	N
fratello	師兄	fratello	師兄	N;MASC;SG	N
fratello	哥哥	fratello	哥哥	N;MASC;SG	N
fratello	兄弟	fratello	兄弟	N;MASC;SG	N
pittore	畫師	pittore	畫師	N;MASC;SG	N
pittore	畫家	pittore	畫家	N;MASC;SG	N
comuni	公社	comune	公社	N;MASC;PL	N
comuni	市鎮	comune	市鎮	N;MASC;PL	N
comuni	市	comune	市	N;MASC;PL	N
comuni	市鎮	comune	市鎮	N;MASC;PL	N
comuni	通用	comune	通用	N;MASC;PL	N
infine	終於	infine	終於	ADV	ADV
media	媒體	media	媒體	N;FEM;SG	N
media	媒介	media	媒介	N;FEM;SG	N
media	介質	media	介質	N;FEM;SG	N
media	中型	media	中型	N;FEM;SG	N
media	中	media	中	N;FEM;SG	N
media	媒介	media	媒介	N;FEM;SG	N
struttura	結構	struttura	結構	N;FEM;SG	N
gray	灰色	gray	灰色	N;MASC	N
gray	灰	gray	灰	N;MASC	N
paesi	國家	paese	國家	N;MASC;PL	N
paesi	各國	paese	各國	N;MASC;PL	N
personaggi	字元	personaggio	字元	N;MASC;PL	N
personaggi	角色	personaggio	角色	N;MASC;PL	N
gara	比賽	gara	比賽	N;FEM;SG	N
gara	賽	gara	賽	N;FEM;SG	N
gara	種族	gara	種族	N;FEM;SG	N
gara	競賽	gara	競賽	N;FEM;SG	N
formazione	培訓	formazione	培訓	N;FEM;SG	N
formazione	編隊	formazione	編隊	N;FEM;SG	N
marco	標記	marco	標記	N;MASC;SG	N
world	世界	world	世界	N;MASC	N
informazioni	資訊	informazione	資訊	N;FEM;PL	N
video	視訊	video	視訊	N;MASC	N
video	影片	video	影片	N;MASC	N
giochi	遊戲	gioco	遊戲	N;MASC;PL	N
disco	碟片	disco	碟片	N;MASC;SG	N
disco	碟	disco	碟	N;MASC;SG	N
disco	磁碟	disco	磁碟	N;MASC;SG	N
disco	碟片	disco	碟片	N;MASC;SG	N
disco	碟	disco	碟	N;MASC;SG	N
disco	磁碟	disco	磁碟	N;MASC;SG	N
conte	數	conte	數	N;MASC;SG	N
conte	伯爵	conte	伯爵	N;MASC;SG	N
conte	數數	conte	數數	N;MASC;SG	N
conte	計數	conte	計數	N;MASC;SG	N
direttore	主任	direttore	主任	N;MASC;SG	N
direttore	司長	direttore	司長	N;MASC;SG	N
peso	重量	peso	重量	N;MASC;SG	N
peso	體重	peso	體重	N;MASC;SG	N
peso	份量	peso	份量	N;MASC;SG	N
figli	兒童	figlio	兒童	N;MASC;PL	N
campionati	錦標	campionato	錦標	N;MASC;PL	N
unica	獨特	unico	獨特	ADJ;FEM;SG	ADJ
unica	獨一	unico	獨一	ADJ;FEM;SG	ADJ
importanti	重要	importante	重要	ADJ;PL	ADJ
occasione	場合	occasione	場合	N;FEM;SG	N
programma	方案	programma	方案	N;MASC;SG	N
programma	程式	programma	程式	N;MASC;SG	N
programma	方案	programma	方案	N;MASC;SG	N
nominato	提名	nominare	提名	V;MASC;SG;PST;V.PTCP	V
testa	頭	testa	頭	N;FEM;SG	N
