met	مع	met	مَعَ	ADP	ADP;ACC
tyd	زمن	tyd	زَمَن	N;SG	N;NOM;INDF;SG
tyd	الزمان	tyd	زَمَان	N;SG	N;NOM;DEF;SG
vlag	العلم	vlag	عِلم	N;SG	N;NOM;DEF;SG
verskeie	المتنوعة	verskeie	مُتَنَوِّع	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
verskeie	متنوع	verskeie	مُتَنَوِّع	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
verskeie	متنوعة	verskeie	مُتَنَوِّع	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
verenigde	المتحدة	verenig	مُتَّحِد	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
verenigde	متحدة	verenig	مُتَّحِد	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
genoem	ذكرت	noem	ذَكَر	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
dan	اذن	dan	إِذَن	ADV	ADV
gemaak	صنعت	maak	صَنَع	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
gemaak	صنع	maak	صَنَع	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
gemaak	جعل	maak	جَعَل	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
jare	السنين	jaar	سَنَة	N;PL	N;NOM;DEF;PL
jare	اعوام	jaar	عَام	N;PL	N;NOM;INDF;PL
jare	سنين	jaar	سَنَة	N;PL	N;NOM;INDF;PL
jare	السنوات	jaar	سَنَة	N;PL	N;NOM;DEF;PL
jare	سنوات	jaar	سَنَة	N;PL	N;NOM;INDF;PL
amerikaanse	امريكية	amerikaans	أَمرِيكِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
amerikaanse	امريكي	amerikaans	أَمرِيكِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
slegs	فقط	slegs	فَقَط	ADV	ADV
slegs	فقط	slegs	فَقَط	ADV	ADV
gestig	اسست	stig	أَسَاس	V;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
gestig	تاسست	stig	تَاسَس	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
gestig	تاسس	stig	تَاسِس	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
sedert	منذ	sedert	مُنذُ	ADP	ADP
gebore	تولد	gebore	تَوَلُّد	V;PRS	V;IPFV;FEM;IND;SG;3;FIN;ACT
gebore	يولد	gebore	وَلَّد	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
gebore	ولدت	gebore	وَلَد	V;PRS	V;PFV;FEM;SG;3;PASS
provinsie	مقاطعة	provinsie	مُقَاطَعَة	N;SG	N;NOM;INDF;SG
provinsie	المحافظة	provinsie	مُحَافَظَة	N;SG	N;NOM;DEF;SG
provinsie	محافظة	provinsie	مُحَافَظَة	N;SG	N;NOM;INDF;SG
provinsie	المقاطعة	provinsie	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
provinsie	مقاطعة	provinsie	مُقَاطَعَة	N;SG	N;NOM;INDF;SG
provinsie	المقاطعة	provinsie	مُقَاطَعَة	N;SG	N;NOM;DEF;SG
provinsie	الولاية	provinsie	وِلَايَة	N;SG	N;NOM;DEF;SG
provinsie	دولة	provinsie	دَولَة	N;SG	N;NOM;INDF;SG
provinsie	ولاية	provinsie	وِلَايَة	N;SG	N;NOM;INDF;SG
provinsie	الحالة	provinsie	حَالَة	N;SG	N;NOM;DEF;SG
provinsie	الدولة	provinsie	دَولَة	N;SG	N;NOM;DEF;SG
universiteit	جامعة	universiteit	جَامِعَة	N;SG	N;NOM;INDF;SG
universiteit	الجامعة	universiteit	جَامِعَة	N;SG	N;NOM;DEF;SG
beskou	اعتبر	beskou	اِعتَبَر	V;PRS	V;PFV;MASC;SG;3;ACT
lewe	الحياة	lewe	حَيَاة	N;SG	N;NOM;DEF;SG
lewe	الحياه	lewe	حِيَاه	N;SG	N;NOM;DEF;SG
lewe	حياة	lewe	حَيَاة	N;SG	N;NOM;INDF;SG
vier	احتفل	vier	اِحتَفَل	V;PRS	V;PFV;MASC;SG;3;ACT
vier	يحتفلون	vier	اِحتَفَل	V;PRS	V;IPFV;MASC;IND;PL;3;FIN;ACT
vier	احتفل	vier	اِحتَفَل	V;PRS	V;PFV;MASC;SG;3;ACT
franse	فرنسية	frans	فَرَنسِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
franse	فرنسي	frans	فَرَنسِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
dood	الموت	dood	مَوت	N;SG	N;NOM;DEF;SG
dood	الوفاة	dood	وَفَاة	N;SG	N;NOM;DEF;SG
dood	وفاة	dood	وَفَاة	N;SG	N;NOM;INDF;SG
dood	ميتا	dood	ميتا	N;SG	N;NOM;INDF;SG
amptelike	رسمي	amptelik	رَسمِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
amptelike	الرسمي	amptelik	رَسمِيّ	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
amptelike	رسمية	amptelik	رَسمِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
wêreld	عالم	wêreld	عَالَم	N;SG	N;NOM;INDF;SG
wêreld	الدنيا	wêreld	دِنِّيَا	N;SG	N;NOM;DEF;SG
wêreld	العالم	wêreld	عَالَم	N;SG	N;NOM;DEF;SG
miljoen	مليون	miljoen	مِليُون	NUM	NUM;NOM;INDF;SG
miljoen	المليون	miljoen	مِليُون	NUM	NUM;NOM;DEF;SG
miljoen	مليونا	miljoen	مِليُون	NUM	NUM;ACC;INDF;SG
aantal	الكمية	aantal	كَمِّيَّة	N;SG	N;NOM;DEF;SG
aantal	كمية	aantal	كَمِّيَّة	N;SG	N;NOM;INDF;SG
plaaslike	محلي	plaaslik	مَحَلِّيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
plaaslike	محلية	plaaslik	مَحَلِّيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
plaaslike	المحلية	plaaslik	مَحَلِّيّ	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
plaaslike	المحلي	plaaslik	مَحَلِّيّ	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
internasionale	الدولية	internasionaal	دُوَلِيّ	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
internasionale	الدولي	internasionaal	دُوَلِيّ	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
internasionale	دولية	internasionaal	دُوَلِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
internasionale	دولي	internasionaal	دُوَلِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
groep	مجموعة	groep	مَجمُوعَة	N;SG	N;NOM;INDF;SG
groep	المجموعة	groep	مَجمُوعَة	N;SG	N;NOM;DEF;SG
sluit	استقال	sluit	اِستَقَال	V;PRS	V;PFV;MASC;SG;3;ACT
sluit	اغلق	sluit	أَغلَق	V;PRS	V;PFV;MASC;SG;3;ACT
naby	قرب	naby	قُربَ	ADP	ADP;ACC
hoofstad	العاصمة	hoofstad	عَاصِمَة	N;SG	N;NOM;DEF;SG
hoofstad	عاصمة	hoofstad	عَاصِمَة	N;SG	N;NOM;INDF;SG
verwys	يشير	verwys	أَشَار	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
state	دول	staat	دَولَة	N;PL	N;NOM;INDF;PL
state	الولايات	staat	وِلَايَة	N;PL	N;NOM;DEF;PL
state	الدول	staat	دَولَة	N;PL	N;NOM;DEF;PL
water	الماء	water	مَاء	N;SG	N;NOM;DEF;SG
water	ماء	water	مَاء	N;SG	N;NOM;INDF;SG
einde	انهاء	einde	إِنهَاء	N;SG	N;NOM;INDF;SG
einde	نهاية	einde	نِهَايَة	N;SG	N;NOM;INDF;SG
einde	النهاية	einde	نِهَايَة	N;SG	N;NOM;DEF;SG
regering	الحكومة	regering	حُكُومَة	N;SG	N;NOM;DEF;SG
regering	حكومة	regering	حُكُومَة	N;SG	N;NOM;INDF;SG
dae	الايام	dag	يَوم	N;PL	N;NOM;DEF;PL
dae	ايام	dag	يَوم	N;PL	N;NOM;INDF;PL
oorlog	حرب	oorlog	حَرب	N;SG	N;NOM;INDF;SG
oorlog	الحرب	oorlog	حَرب	N;SG	N;NOM;DEF;SG
politieke	السياسي	politiek	سِيَاسِيّ	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
politieke	السياسية	politiek	سِيَاسِيّ	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
politieke	سياسي	politiek	سِيَاسِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
politieke	سياسية	politiek	سِيَاسِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
besluit	يقرر	besluit	قَرَّر	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
besluit	تقرر	besluit	تَقَرَّر	V;PRS	V;PFV;MASC;SG;3;ACT
besluit	قررت	besluit	قَرَّر	V;PRS	V;PFV;FEM;SG;3;ACT
besluit	قرر	besluit	قَرَّر	V;PRS	V;PFV;MASC;SG;3;ACT
besluit	تقرر	besluit	تَقَرَّر	V;PRS	V;PFV;MASC;SG;3;ACT
besluit	يقرر	besluit	قَرَّر	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
besluit	قرر	besluit	قَرَّر	V;PRS	V;PFV;MASC;SG;3;ACT
geskiedenis	التاريخ	geskiedenis	تَارِيخ	N;SG	N;NOM;DEF;SG
geskiedenis	تاريخ	geskiedenis	تَارِيخ	N;SG	N;NOM;INDF;SG
vis	مكه	vis	مٰكه	N;SG	N;NOM;INDF;SG
vis	سمكة	vis	سُمكَة	N;SG	N;NOM;INDF;SG
vis	السمك	vis	سَمَك	N;SG	N;NOM;DEF;SG
vis	الاسماك	vis	سَمَك	N;SG	N;NOM;DEF;SG
wetenskaplike	عالمة	wetenskaplik	عَالَمَة	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
wetenskaplike	علمية	wetenskaplik	عِلمِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
lande	بلدان	land	بَلَد	N;PL	N;NOM;INDF;PL
lande	البلدان	land	بَلَد	N;PL	N;NOM;DEF;PL
lande	الدول	land	دَولَة	N;PL	N;NOM;DEF;PL
seun	ولد	seun	وَلَد	N;SG	N;NOM;INDF;SG
seun	صبي	seun	صبي	N;SG	N;NOM;INDF;SG
seun	الولد	seun	وَلَد	N;SG	N;NOM;DEF;SG
seun	فتى	seun	فَتَى	N;SG	N;NOM;INDF;SG
seun	الابن	seun	اِبن	N;SG	N;NOM;DEF;SG
verskillende	مختلف	verskil	مُختَلِف	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
verskillende	مختلفة	verskil	مُختَلِف	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
belangrike	هام	belangrik	هَامّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
belangrike	مهم	belangrik	مُهِمّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
kinders	الاولاد	kind	وَلَد	N;PL	N;NOM;DEF;PL
kinders	الاطفال	kind	طِفل	N;PL	N;NOM;DEF;PL
kinders	الاطفال	kind	طِفل	N;PL	N;NOM;DEF;PL
gedurende	اثناء	gedurende	أَثنَاءَ	ADP	ADP;ACC
gedurende	خلال	gedurende	خِلَالَ	ADP	ADP;ACC
neem	اخذ	neem	أَخذ	V;PRS	V;PFV;MASC;SG;3;ACT
vertaal	ترجم	vertaal	تَرجَم	V;PRS	V;PFV;MASC;SG;3;ACT
munisipaliteit	البلدية	munisipaliteit	بَلَدِيَّة	N;SG	N;NOM;DEF;SG
munisipaliteit	بلدية	munisipaliteit	بَلَدِيَّة	N;SG	N;NOM;INDF;SG
republiek	الجمهورية	republiek	جُمهُورِيَّة	N;SG	N;NOM;DEF;SG
republiek	جمهورية	republiek	جُمهُورِيَّة	N;SG	N;NOM;INDF;SG
plek	المكان	plek	مَكَان	N;SG	N;NOM;DEF;SG
plek	مكان	plek	مَكَان	N;SG	N;NOM;INDF;SG
plek	المكان	plek	مَكَان	N;SG	N;NOM;DEF;SG
binne	داخل	binne	دَاخِلَ	ADP	ADP;ACC
binne	ضمن	binne	ضِمنَ	ADP	ADP;ACC
europese	الاوروبي	europees	أُورُوبِيّ	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
europese	الاوروبية	europees	أُورُوبِيّ	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
selfs	حتى	selfs	حَتَّى	ADV	ADV
tydperk	مدة	tydperk	مُدَّة	N;SG	N;NOM;INDF;SG
tydperk	المدة	tydperk	مُدَّة	N;SG	N;NOM;DEF;SG
maande	الاشهر	maand	شَهر	N;PL	N;NOM;DEF;PL
maande	شهورا	maand	شَهر	N;PL	N;ACC;INDF;PL
maande	الشهور	maand	شَهر	N;PL	N;NOM;DEF;PL
maande	اشهر	maand	شَهر	N;PL	N;NOM;INDF;PL
maande	شهور	maand	شَهر	N;PL	N;NOM;INDF;PL
skool	مدرسة	skool	مَدرَسَة	N;SG	N;NOM;INDF;SG
skool	المدرسة	skool	مَدرَسَة	N;SG	N;NOM;DEF;SG
vroeë	المبكر	vroeg	مُبَكِّر	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
vroeë	مبكرة	vroeg	مُبَكِّر	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
vroeë	مبكر	vroeg	مُبَكِّر	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
familie	عائلة	familie	عَائِلَة	N;SG	N;NOM;INDF;SG
familie	الاسرة	familie	أُسرَة	N;SG	N;NOM;DEF;SG
familie	اسرة	familie	أُسرَة	N;SG	N;NOM;INDF;SG
familie	العائلة	familie	عَائِلَة	N;SG	N;NOM;DEF;SG
geneem	اخذ	neem	أَخذ	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
geneem	تؤخذ	neem	أَخَذ	V;PST;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
eiland	الجزيرة	eiland	جَزِيرَة	N;SG	N;NOM;DEF;SG
eiland	جزيرة	eiland	جَزِيرَة	N;SG	N;NOM;INDF;SG
volg	اتبع	volg	اِتَّبَع	V;PRS	V;PFV;MASC;SG;3;ACT
vyf	خمسة	vyf	خَمسَة	NUM	NUM;NOM;INDF;MASC
vyf	خمس	vyf	خَمسَة	NUM	NUM;NOM;INDF;FEM
aarde	الارض	aarde	أَرض	N;SG	N;NOM;DEF;SG
gee	اعطي	gee	أَعطَى	V;PRS	V;PFV;MASC;SG;3;ACT
kry	احصل	kry	احصل	V;PRS	V;MASC;IMP;SG
kry	احضر	kry	اِحضَرّ	V;PRS	V;PFV;MASC;SG;3;ACT
rol	الدور	rol	دَور	N;SG	N;NOM;DEF;SG
rol	دور	rol	دَور	N;SG	N;NOM;INDF;SG
rol	لفة	rol	لِفَة	N;SG	N;NOM;INDF;SG
vrou	امراة	vrou	إِمرَاة	N;SG	N;NOM;INDF;SG
vrou	المراة	vrou	مَرَاة	N;SG	N;NOM;DEF;SG
vrou	الزوجة	vrou	زَوجَة	N;SG	N;NOM;DEF;SG
vrou	زوجة	vrou	زَوجَة	N;SG	N;NOM;INDF;SG
gebiede	الاراضي	gebied	أَرض	N;PL	N;NOM;DEF;PL
gebiede	المجالات	gebied	مَجَال	N;PL	N;NOM;DEF;PL
gebiede	مجالات	gebied	مَجَال	N;PL	N;NOM;INDF;PL
gebiede	مناطق	gebied	مِنطَقَة	N;PL	N;NOM;INDF;PL
gebiede	المناطق	gebied	مِنطَقَة	N;PL	N;NOM;DEF;PL
derde	الثالثة	derde	ثَالِث	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
derde	ثالث	derde	ثَالِث	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
derde	الثالث	derde	ثَالِث	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
derde	ثالثة	derde	ثَالِث	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
dag	اليوم	dag	يَوم	N;SG	N;ACC;DEF;SG
dag	يوم	dag	يَوم	N;SG	N;NOM;INDF;SG
woord	كلمة	woord	كَلِمَة	N;SG	N;NOM;INDF;SG
woord	الكلمة	woord	كَلِمَة	N;SG	N;NOM;DEF;SG
president	رئيس	president	رَئِيس	N;SG	N;NOM;INDF;SG
president	الرئيس	president	رَئِيس	N;SG	N;NOM;DEF;SG
koninkryk	مملكة	koninkryk	مَملَكَة	N;SG	N;NOM;INDF;SG
koninkryk	المملكة	koninkryk	مَملَكَة	N;SG	N;NOM;DEF;SG
tale	لغات	taal	لُغَة	N;PL	N;NOM;INDF;PL
tale	اللغات	taal	لُغَة	N;PL	N;NOM;DEF;PL
ontvang	تستلم	ontvang	اِستَلَم	V;PRS	V;IPFV;FEM;IND;SG;3;FIN;ACT
ontvang	تستقبل	ontvang	اِستَقبَل	V;PRS	V;IPFV;FEM;IND;SG;3;FIN;ACT
ontvang	استقبل	ontvang	اِستَقبَل	V;PRS	V;PFV;MASC;SG;3;ACT
ontvang	تلقت	ontvang	تَلَقَّى	V;PRS	V;PFV;FEM;SG;3;ACT
ontvang	وردت	ontvang	وَرَد	V;PRS	V;PFV;FEM;SG;3;ACT
staat	الولاية	staat	وِلَايَة	N;SG	N;NOM;DEF;SG
staat	دولة	staat	دَولَة	N;SG	N;NOM;INDF;SG
staat	ولاية	staat	وِلَايَة	N;SG	N;NOM;INDF;SG
staat	الحالة	staat	حَالَة	N;SG	N;NOM;DEF;SG
staat	الدولة	staat	دَولَة	N;SG	N;NOM;DEF;SG
staat	الورقة	staat	وَرَقَة	N;SG	N;NOM;DEF;SG
staat	ورقة	staat	وَرَقَة	N;SG	N;NOM;INDF;SG
daardie	هؤلاء	daardie	هٰذَا	DET	DET;NOM;MASC;PL
ekonomiese	اقتصادية	ekonomies	اِقتِصَادِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
aanvaar	قبلت	aanvaar	قَبِل	V;PRS	V;PFV;FEM;SG;3;ACT
aanvaar	نقبل	aanvaar	نقبل	V;PRS	V;IPFV;MASC;IND;PL;1;FIN;ACT
aanvaar	تقبل	aanvaar	قَبِل	V;PRS	V;IPFV;FEM;IND;SG;3;FIN;ACT
aanvaar	اقبل	aanvaar	أَقبَل	V;PRS	V;PFV;MASC;SG;3;ACT
hou	احتفظ	hou	اِحتَفَظ	V;PRS	V;PFV;MASC;SG;3;ACT
geskryf	كتب	skryf	كَتَب	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
geskryf	احرقت	skryf	أَحرَق	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
bevat	تحتوي	bevat	اِحتَوَى	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
bevat	يحتوي	bevat	اِحتَوَى	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
bevat	تحوي	bevat	تَحَوِّي	V;PRS	V;IPFV;FEM;IND;SG;3;FIN;ACT
skrywer	الكاتب	skrywer	كَاتِب	N;SG	N;NOM;DEF;SG
skrywer	كاتب	skrywer	كَاتِب	N;SG	N;NOM;INDF;SG
skrywer	الكاتبة	skrywer	كَاتِب	N;SG	N;NOM;DEF;SG
skrywer	الكاتب	skrywer	كَاتِب	N;SG	N;NOM;DEF;SG
skrywer	كاتب	skrywer	كَاتِب	N;SG	N;NOM;INDF;SG
verander	تعدل	verander	عَدَّل	V;PRS	V;IPFV;FEM;IND;SG;3;FIN;ACT
russiese	روسي	russies	رُوسِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
russiese	روسية	russies	رُوسِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
russiese	الروسية	russies	رُوسِيّ	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
russiese	الروسي	russies	رُوسِيّ	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
inwoners	السكان	inwoner	سَاكِن	N;PL	N;NOM;DEF;PL
inwoners	المقيمون	inwoner	مُقَيَّم	N;PL	N;NOM;DEF;PL
beteken	يعنى	beteken	عَنَى	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
beteken	يعني	beteken	عَنَى	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
beteken	يعني	beteken	عَنَى	V;PRS	V;IPFV;MASC;IND;SG;3;FIN;ACT
man	الزوج	man	زَوج	N;SG	N;NOM;DEF;SG
man	زوج	man	زَوج	N;SG	N;NOM;INDF;SG
man	رجل	man	رَجُل	N;SG	N;NOM;INDF;SG
man	الرجل	man	رَجُل	N;SG	N;NOM;DEF;SG
huis	المنزل	huis	مَنزِل	N;SG	N;NOM;DEF;SG
huis	الوطن	huis	وَطَن	N;SG	N;NOM;DEF;SG
huis	منزل	huis	مَنزِل	N;SG	N;NOM;INDF;SG
huis	البيت	huis	بَيت	N;SG	N;NOM;DEF;SG
huis	المنزل	huis	مَنزِل	N;SG	N;NOM;DEF;SG
huis	منزل	huis	مَنزِل	N;SG	N;NOM;INDF;SG
huis	البيت	huis	بَيت	N;SG	N;NOM;DEF;SG
besoek	زار	besoek	زَار	V;PRS	V;PFV;MASC;SG;3;ACT
administratiewe	اداري	administratief	أَدَارِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
administratiewe	ادارية	administratief	إِدَارِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
bekende	شهيرة	bekend	شَهِيرَة	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
bekende	مشهور	bekend	مَشهُور	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
bekende	شهير	bekend	شَهِير	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
bekende	مشهورة	bekend	مَشهُور	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
gespeel	لعبت	speel	لَعِب	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
kerke	الكنائس	kerk	كَنِيسَة	N;PL	N;NOM;DEF;PL
skryf	احرق	skryf	أَحرَق	V;PRS	V;PFV;MASC;SG;3;ACT
suidelike	جنوبي	suidelik	جَنُوبِيّ	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
suidelike	جنوبية	suidelik	جَنُوبِيّ	ADJ;NOM	ADJ;NOM;INDF;FEM;SG
gekry	وجد	kry	وَجَد	V;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
gekry	خلصت	kry	خَلَّص	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
gekry	وجدت	kry	وَجَد	V;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
reeks	مسلسل	reeks	مُسَلسَل	N;SG	N;NOM;INDF;SG
reeks	سلسلة	reeks	سِلسِلَة	N;SG	N;NOM;INDF;SG
