категория	類別	категория	類別	N;INAN;NOM;FEM;SG	N
страны	各國	страна	各國	N;INAN;NOM;FEM;PL	N
индекс	索引	индекс	索引	N;INAN;NOM;MASC;SG	N
индекс	指數	индекс	指數	N;INAN;NOM;MASC;SG	N
улица	街頭	улица	街頭	N;INAN;NOM;FEM;SG	N
улица	街道	улица	街道	N;INAN;NOM;FEM;SG	N
улица	街	улица	街	N;INAN;NOM;FEM;SG	N
население	人口	население	人口	N;INAN;NOM;NEUT;SG	N
население	人口	население	人口	N;INAN;NOM;NEUT;SG	N
работы	工作	работа	工作	N;INAN;NOM;FEM;PL	N
имена	人名	имя	人名	N;INAN;NOM;NEUT;PL	N
имена	名稱	имя	名稱	N;INAN;NOM;NEUT;PL	N
имена	姓名	имя	姓名	N;INAN;NOM;NEUT;PL	N
истории	故事	история	故事	N;INAN;NOM;FEM;PL	N
истории	動態	история	動態	N;INAN;NOM;FEM;PL	N
истории	歷史	история	歷史	N;INAN;NOM;FEM;PL	N
армии	集團	армия	集團	N;INAN;NOM;FEM;SG	N
армии	軍隊	армия	軍隊	N;INAN;NOM;FEM;SG	N
армии	軍	армия	軍	N;INAN;NOM;FEM;SG	N
армии	陸軍	армия	陸軍	N;INAN;NOM;FEM;SG	N
деление	組織	деление	組織	N;INAN;NOM;NEUT;SG	N
деление	裂變	деление	裂變	N;INAN;NOM;NEUT;SG	N
игроки	球員	игрок	球員	N;ANIM;NOM;MASC;PL	N
игроки	玩家	игрок	玩家	N;ANIM;NOM;MASC;PL	N
история	動態	история	動態	N;INAN;NOM;FEM;SG	N
история	故事	история	故事	N;INAN;NOM;FEM;SG	N
история	歷史	история	歷史	N;INAN;NOM;FEM;SG	N
себя	自己	себя	自己	PRO;ACC	PRO
совета	安理	совет	安理	N;INAN;GEN;MASC;SG	N
фильм	電影	фильм	電影	N;INAN;NOM;MASC;SG	N
фильм	影片	фильм	影片	N;INAN;NOM;MASC;SG	N
фильм	電影	фильм	電影	N;INAN;NOM;MASC;SG	N
фильм	膠片	фильм	膠片	N;INAN;NOM;MASC;SG	N
фильм	影片	фильм	影片	N;INAN;NOM;MASC;SG	N
пункты	項目	пункт	項目	N;INAN;NOM;MASC;PL	N
времени	時光	время	時光	N;INAN;GEN;NEUT;SG	N
времени	時間	время	時間	N;INAN;GEN;NEUT;SG	N
участник	會員	участник	會員	N;ANIM;NOM;MASC;SG	N
участник	成員	участник	成員	N;ANIM;NOM;MASC;SG	N
три	三	три	三	NUM;NOM	NUM
три	三	три	三	NUM;NOM	NUM
человека	人類	человек	人類	N;ANIM;ACC;MASC;SG	N
автор	作者	автор	作者	N;ANIM;NOM;MASC;SG	N
республики	共和	республика	共和	N;INAN;NOM;FEM;PL	N
республики	共和	республика	共和	N;INAN;NOM;FEM;PL	N
эти	這些	этот	這些	DET;NOM;PL	DET
статей	文章	статья	文章	N;INAN;GEN;FEM;PL	N
случае	案例	случай	案例	N;INAN;ESS;MASC;SG	N
случае	個案	случай	個案	N;INAN;ESS;MASC;SG	N
случае	案件	случай	案件	N;INAN;ESS;MASC;SG	N
центр	中心	центр	中心	N;INAN;NOM;MASC;SG	N
центр	中心	центр	中心	N;INAN;NOM;MASC;SG	N
округ	郡	округ	郡	N;INAN;NOM;MASC;SG	N
округ	縣	округ	縣	N;INAN;NOM;MASC;SG	N
округ	區	округ	區	N;INAN;NOM;MASC;SG	N
округ	地區	округ	地區	N;INAN;NOM;MASC;SG	N
жизни	生命	жизнь	生命	N;INAN;NOM;FEM;PL	N
жизни	人生	жизнь	人生	N;INAN;NOM;FEM;PL	N
родился	生	рождаться	生	V;PFV;MASC;IND;SG;PST;FIN;MID	V
родился	誕生	рождаться	誕生	V;PFV;MASC;IND;SG;PST;FIN;MID	V
родился	出生	рождаться	出生	V;PFV;MASC;IND;SG;PST;FIN;MID	V
союза	聯盟	союз	聯盟	N;INAN;GEN;MASC;SG	N
союза	工會	союз	工會	N;INAN;GEN;MASC;SG	N
кто	誰	кто	誰	PRO;NOM	PRO
связи	通訊	связь	通訊	N;INAN;NOM;FEM;PL	N
день	白天	день	白天	N;INAN;NOM;MASC;SG	N
период	期間	период	期間	N;INAN;NOM;MASC;SG	N
индексы	指數	индекс	指數	N;INAN;NOM;MASC;PL	N
индексы	索引	индекс	索引	N;INAN;NOM;MASC;PL	N
индексы	指數	индекс	指數	N;INAN;NOM;MASC;PL	N
округа	各區	округ	各區	N;INAN;GEN;MASC;SG	N
округа	各州	округ	各州	N;INAN;GEN;MASC;SG	N
округа	各縣	округ	各縣	N;INAN;GEN;MASC;SG	N
группа	群組	группа	群組	N;INAN;NOM;FEM;SG	N
группа	群	группа	群	N;INAN;NOM;FEM;SG	N
имя	名字	имя	名字	N;INAN;NOM;NEUT;SG	N
имя	名稱	имя	名稱	N;INAN;NOM;NEUT;SG	N
имя	姓名	имя	姓名	N;INAN;NOM;NEUT;SG	N
игры	遊戲	игра	遊戲	N;INAN;NOM;FEM;PL	N
ширина	寬度	ширина	寬度	N;INAN;NOM;FEM;SG	N
ширина	寬度	ширина	寬度	N;INAN;NOM;FEM;SG	N
ширина	廣度	ширина	廣度	N;INAN;NOM;FEM;SG	N
регион	區域	регион	區域	N;INAN;NOM;MASC;SG	N
тогда	然後	тогда	然後	ADV	ADV
тогда	那麼	тогда	那麼	ADV	ADV
конце	終	конец	終	N;INAN;ESS;MASC;SG	N
конце	結尾	конец	結尾	N;INAN;ESS;MASC;SG	N
церкви	教會	церковь	教會	N;INAN;NOM;FEM;SG	N
церкви	教堂	церковь	教堂	N;INAN;NOM;FEM;SG	N
церкви	教會	церковь	教會	N;INAN;NOM;FEM;SG	N
церкви	教堂	церковь	教堂	N;INAN;NOM;FEM;SG	N
клуб	幫會	клуб	幫會	N;INAN;NOM;MASC;SG	N
клуб	俱樂部	клуб	俱樂部	N;INAN;NOM;MASC;SG	N
ввп	gdp	ввп	gdp	N;INAN;NOM;MASC;SG	N
больше	更	больше	更	ADV;CMPR	ADV
федерации	聯邦	федерация	聯邦	N;INAN;NOM;FEM;PL	N
наиболее	大多	наиболее	大多	ADV	ADV
наиболее	大	наиболее	大	ADV	ADV
изображения	影像	изображение	影像	N;INAN;NOM;NEUT;PL	N
изображения	圖片	изображение	圖片	N;INAN;NOM;NEUT;PL	N
изображения	影象	изображение	影象	N;INAN;NOM;NEUT;PL	N
изображения	影像	изображение	影像	N;INAN;NOM;NEUT;PL	N
изображения	圖片	изображение	圖片	N;INAN;NOM;NEUT;PL	N
степени	學位	степень	學位	N;INAN;NOM;FEM;PL	N
степени	度	степень	度	N;INAN;NOM;FEM;PL	N
степени	度	степень	度	N;INAN;NOM;FEM;PL	N
степени	程度	степень	程度	N;INAN;NOM;FEM;PL	N
степени	學位	степень	學位	N;INAN;NOM;FEM;PL	N
изображение	影象	изображение	影象	N;INAN;NOM;NEUT;SG	N
изображение	影像	изображение	影像	N;INAN;NOM;NEUT;SG	N
изображение	圖片	изображение	圖片	N;INAN;NOM;NEUT;SG	N
награды	榮譽	награда	榮譽	N;INAN;NOM;FEM;PL	N
награды	獎勵	награда	獎勵	N;INAN;NOM;FEM;PL	N
награды	獎勵	награда	獎勵	N;INAN;NOM;FEM;PL	N
награды	獎	награда	獎	N;INAN;NOM;FEM;PL	N
системы	系統	система	系統	N;INAN;NOM;FEM;PL	N
совет	安理	совет	安理	N;INAN;NOM;MASC;SG	N
академии	學院	академия	學院	N;INAN;NOM;FEM;PL	N
две	兩	два	兩	NUM;NOM;FEM	NUM
две	兩	два	兩	NUM;NOM;FEM	NUM
две	二	два	二	NUM;NOM;FEM	NUM
роль	作用	роль	作用	N;INAN;NOM;FEM;SG	N
роль	角色	роль	角色	N;INAN;NOM;FEM;SG	N
юго	西南	южный	西南	N;INAN;NOM;MASC;SG	N
дом	家	дом	家	N;INAN;NOM;MASC;SG	N
дом	住家	дом	住家	N;INAN;NOM;MASC;SG	N
дом	屋	дом	屋	N;INAN;NOM;MASC;SG	N
дом	房屋	дом	房屋	N;INAN;NOM;MASC;SG	N
дом	房子	дом	房子	N;INAN;NOM;MASC;SG	N
высоты	高地	высота	高地	N;INAN;NOM;FEM;PL	N
член	會員	член	會員	N;ANIM;NOM;MASC;SG	N
член	成員	член	成員	N;ANIM;NOM;MASC;SG	N
член	陰莖	член	陰莖	N;ANIM;NOM;MASC;SG	N
член	公雞	член	公雞	N;ANIM;NOM;MASC;SG	N
орден	秩序	орден	秩序	N;INAN;NOM;MASC;SG	N
орден	順序	орден	順序	N;INAN;NOM;MASC;SG	N
сын	兒子	сын	兒子	N;ANIM;NOM;MASC;SG	N
общины	公社	община	公社	N;INAN;NOM;FEM;PL	N
общины	市鎮	община	市鎮	N;INAN;NOM;FEM;PL	N
число	數字	число	數字	N;INAN;NOM;NEUT;SG	N
число	數	число	數	N;INAN;NOM;NEUT;SG	N
число	號碼	число	號碼	N;INAN;NOM;NEUT;SG	N
число	編號	число	編號	N;INAN;NOM;NEUT;SG	N
эта	這	этот	這	DET;NOM;FEM;SG	DET
количество	數字	количество	數字	N;INAN;NOM;NEUT;SG	N
количество	數	количество	數	N;INAN;NOM;NEUT;SG	N
количество	號碼	количество	號碼	N;INAN;NOM;NEUT;SG	N
количество	編號	количество	編號	N;INAN;NOM;NEUT;SG	N
количество	數量	количество	數量	N;INAN;NOM;NEUT;SG	N
количество	量	количество	量	N;INAN;NOM;NEUT;SG	N
институт	體制	институт	體制	N;INAN;NOM;MASC;SG	N
институт	機構	институт	機構	N;INAN;NOM;MASC;SG	N
компании	公司	компания	公司	N;INAN;NOM;FEM;PL	N
компании	公司	компания	公司	N;INAN;NOM;FEM;PL	N
церковь	教會	церковь	教會	N;INAN;NOM;FEM;SG	N
церковь	教堂	церковь	教堂	N;INAN;NOM;FEM;SG	N
проект	項目	проект	項目	N;INAN;NOM;MASC;SG	N
проект	草稿	проект	草稿	N;INAN;NOM;MASC;SG	N
вопрос	問題	вопрос	問題	N;INAN;NOM;MASC;SG	N
новый	新	новый	新	ADJ;NOM;MASC;SG	ADJ
образование	教育	образование	教育	N;INAN;NOM;NEUT;SG	N
образование	學歷	образование	學歷	N;INAN;NOM;NEUT;SG	N
момент	時刻	момент	時刻	N;INAN;NOM;MASC;SG	N
момент	力	момент	力	N;INAN;NOM;MASC;SG	N
момент	扭矩	момент	扭矩	N;INAN;NOM;MASC;SG	N
момент	扭力	момент	扭力	N;INAN;NOM;MASC;SG	N
фильмы	影片	фильм	影片	N;INAN;NOM;MASC;PL	N
фильмы	電影	фильм	電影	N;INAN;NOM;MASC;PL	N
часто	常常	часто	常常	ADV	ADV
часто	經常	часто	經常	ADV	ADV
часто	時常	часто	時常	ADV	ADV
часто	常常	часто	常常	ADV	ADV
часто	經常	часто	經常	ADV	ADV
часто	經常	часто	經常	ADV	ADV
почти	幾乎	почти	幾乎	ADV	ADV
организации	組織	организация	組織	N;INAN;NOM;FEM;PL	N
империи	帝國	империя	帝國	N;INAN;NOM;FEM;PL	N
река	河	река	河	N;INAN;NOM;FEM;SG	N
река	江河	река	江河	N;INAN;NOM;FEM;SG	N
река	河流	река	河流	N;INAN;NOM;FEM;SG	N
альбом	相簿	альбый	相簿	N;INAN;NOM;MASC;SG	N
альбом	專輯	альбый	專輯	N;INAN;NOM;MASC;SG	N
станции	站	станция	站	N;INAN;NOM;FEM;PL	N
станции	車站	станция	車站	N;INAN;NOM;FEM;PL	N
людей	人	человек	人	N;ANIM;GEN;MASC;PL	N
людей	人們	человек	人	N;ANIM;GEN;MASC;PL	N;PL
людей	人民	человек	人民	N;ANIM;GEN;MASC;PL	N
окончил	畢業	окончить	畢業	V;PFV;MASC;IND;SG;PST;FIN;ACT	V
пояс	腰帶	пояс	腰帶	N;INAN;NOM;MASC;SG	N
пояс	皮帶	пояс	皮帶	N;INAN;NOM;MASC;SG	N
команды	團隊	команда	團隊	N;INAN;NOM;FEM;PL	N
команды	球隊	команда	球隊	N;INAN;NOM;FEM;PL	N
команды	隊伍	команда	隊伍	N;INAN;NOM;FEM;PL	N
шаблон	圖案	шаблон	圖案	N;INAN;NOM;MASC;SG	N
шаблон	格局	шаблон	格局	N;INAN;NOM;MASC;SG	N
шаблон	模式	шаблон	模式	N;INAN;NOM;MASC;SG	N
шаблон	樣板	шаблон	樣板	N;INAN;NOM;MASC;SG	N
шаблон	模板	шаблон	模板	N;INAN;NOM;MASC;SG	N
многие	許多	много	許多	NUM	NUM
жизнь	生命	жизнь	生命	N;INAN;NOM;FEM;SG	N
жизнь	人生	жизнь	人生	N;INAN;NOM;FEM;SG	N
серии	系列	серия	系列	N;INAN;NOM;FEM;PL	N
участники	成員	участник	成員	N;ANIM;NOM;MASC;PL	N
культуры	文化	культура	文化	N;INAN;NOM;FEM;SG	N
проекта	項目	проект	項目	N;INAN;GEN;MASC;SG	N
команда	船員	команда	船員	N;INAN;NOM;FEM;SG	N
команда	班長	команда	班長	N;INAN;NOM;FEM;SG	N
команда	小隊	команда	小隊	N;INAN;NOM;FEM;SG	N
команда	團隊	команда	團隊	N;INAN;NOM;FEM;SG	N
команда	球隊	команда	球隊	N;INAN;NOM;FEM;SG	N
команда	隊伍	команда	隊伍	N;INAN;NOM;FEM;SG	N
краткое	簡短	краткий	簡短	ADJ;NOM;NEUT;SG	ADJ
краткое	簡潔	краткий	簡潔	ADJ;NOM;NEUT;SG	ADJ
источники	來源	источник	來源	N;INAN;NOM;MASC;PL	N
данные	資料	данные	資料	N;INAN;NOM;PL	N
война	戰	война	戰	N;INAN;NOM;FEM;SG	N
война	戰爭	война	戰爭	N;INAN;NOM;FEM;SG	N
школы	學校	школа	學校	N;INAN;NOM;FEM;PL	N
школы	學校	школа	學校	N;INAN;NOM;FEM;PL	N
герой	英雄	герой	英雄	N;ANIM;NOM;MASC;SG	N
текст	文字	текст	文字	N;INAN;NOM;MASC;SG	N
текст	案文	текст	案文	N;INAN;NOM;MASC;SG	N
песни	歌曲	песня	歌曲	N;INAN;NOM;FEM;PL	N
песни	歌	песня	歌	N;INAN;NOM;FEM;PL	N
женщин	婦女	женщина	婦女	N;ANIM;GEN;FEM;PL	N
женщин	女性	женщина	女性	N;ANIM;GEN;FEM;PL	N
книги	圖書	книга	圖書	N;INAN;NOM;FEM;PL	N
книги	書	книга	書	N;INAN;NOM;FEM;PL	N
книги	書籍	книга	書籍	N;INAN;NOM;FEM;PL	N
полностью	完全	полностью	完全	ADV	ADV
полностью	完全	полностью	完全	ADV	ADV
жителей	居民	житель	居民	N;ANIM;GEN;MASC;PL	N
честь	名譽	честь	名譽	N;INAN;NOM;FEM;SG	N
честь	榮譽	честь	榮譽	N;INAN;NOM;FEM;SG	N
честь	名譽	честь	名譽	N;INAN;NOM;FEM;SG	N
честь	榮譽	честь	榮譽	N;INAN;NOM;FEM;SG	N
решение	溶液	решение	溶液	N;INAN;NOM;NEUT;SG	N
чемпионат	錦標	чемпионат	錦標	N;INAN;NOM;MASC;SG	N
чемпионат	錦標	чемпионат	錦標	N;INAN;NOM;MASC;SG	N
деятельность	活動	деятельность	活動	N;INAN;NOM;FEM;SG	N
деятельность	動態	деятельность	動態	N;INAN;NOM;FEM;SG	N
деятельность	活動	деятельность	活動	N;INAN;NOM;FEM;SG	N
еще	更	еще	更	ADV	ADV
данных	資料	данные	資料	N;INAN;GEN;PL	N
назначен	指派	назначить	指派	V;PFV;MASC;SG;PST;V.PTCP;PASS	V
плотность	密度	плотность	密度	N;INAN;NOM;FEM;SG	N
берегу	岸	берег	岸	N;INAN;DAT;MASC;SG	N
берегу	岸邊	берег	岸邊	N;INAN;DAT;MASC;SG	N
берегу	海岸	берег	海岸	N;INAN;DAT;MASC;SG	N
итог	成果	итог	成果	N;INAN;NOM;MASC;SG	N
итог	結果	итог	結果	N;INAN;NOM;MASC;SG	N
названия	頭銜	название	頭銜	N;INAN;NOM;NEUT;PL	N
названия	職銜	название	職銜	N;INAN;NOM;NEUT;PL	N
названия	標題	название	標題	N;INAN;NOM;NEUT;PL	N
названия	人名	название	人名	N;INAN;NOM;NEUT;PL	N
названия	名稱	название	名稱	N;INAN;NOM;NEUT;PL	N
названия	姓名	название	姓名	N;INAN;NOM;NEUT;PL	N
права	權利	право	權利	N;INAN;NOM;NEUT;PL	N
король	國王	король	國王	N;ANIM;NOM;MASC;SG	N
края	邊緣	край	邊緣	N;INAN;NOM;MASC;PL	N
края	邊緣	край	邊緣	N;INAN;NOM;MASC;PL	N
обычно	通常	обычно	通常	ADV	ADV
обычно	通常	обычно	通常	ADV	ADV
власти	當局	власть	當局	N;INAN;NOM;FEM;PL	N
система	系統	система	系統	N;INAN;NOM;FEM;SG	N
университет	大學	университет	大學	N;INAN;NOM;MASC;SG	N
слова	詞語	слово	詞語	N;INAN;NOM;NEUT;PL	N
слова	字	слово	字	N;INAN;NOM;NEUT;PL	N
слова	詞	слово	詞	N;INAN;NOM;NEUT;PL	N
флаг	旗幟	флаг	旗幟	N;INAN;NOM;MASC;SG	N
флаг	國旗	флаг	國旗	N;INAN;NOM;MASC;SG	N
флаг	旗	флаг	旗	N;INAN;NOM;MASC;SG	N
флаг	旗子	флаг	旗子	N;INAN;NOM;MASC;SG	N
версии	版	версия	版	N;INAN;NOM;FEM;PL	N
версии	版本	версия	版本	N;INAN;NOM;FEM;PL	N
версии	版本	версия	版本	N;INAN;NOM;FEM;PL	N
различных	不同	различный	不同	ADJ;GEN;PL	ADJ
вновь	再次	вновь	再次	ADV	ADV
отец	父親	отец	父親	N;ANIM;NOM;MASC;SG	N
отец	神父	отец	神父	N;ANIM;NOM;MASC;SG	N
отец	父	отец	父	N;ANIM;NOM;MASC;SG	N
общества	社會	общество	社會	N;INAN;NOM;NEUT;PL	N
общества	社會	общество	社會	N;INAN;NOM;NEUT;PL	N
многих	許多	много	許多	NUM	NUM
войска	部隊	войска	部隊	N;INAN;NOM;NEUT;PL	N
детей	兒童	ребенок	兒童	N;ANIM;ACC;MASC;PL	N
источник	來源	источник	來源	N;INAN;NOM;MASC;SG	N
вскоре	很快	вскоре	很快	ADV	ADV
члены	成員	член	成員	N;ANIM;NOM;MASC;PL	N
должность	職位	должность	職位	N;INAN;NOM;FEM;SG	N
должность	位置	должность	位置	N;INAN;NOM;FEM;SG	N
должность	立場	должность	立場	N;INAN;NOM;FEM;SG	N
действия	動作	действие	動作	N;INAN;NOM;NEUT;PL	N
действия	行動	действие	行動	N;INAN;NOM;NEUT;PL	N
