como	hogyan	como	hogyan	ADV	ADV
ligações	hivatkozások	ligação	hivatkozás	N;FEM;PL	N;NOM;PL
ligações	kapcsolatok	ligação	kapcsolat	N;FEM;PL	N;NOM;PL
parte	rész	parte	rész	N;FEM;SG	N;NOM;SG
parte	része	parte	rész	N;FEM;SG	N;NOM;SG
primeira	első	primeiro	első	ADJ;FEM;SG	ADJ;NOM;SG
nome	neve	nome	név	N;MASC;SG	N;NOM;SG
nome	név	nome	név	N;MASC;SG	N;NOM;SG
ainda	még	ainda	még	ADV	ADV
esta	ezt	este	ez	PRO;FEM;SG	PRO;ACC;SG;3
esta	ez	este	ez	PRO;FEM;SG	PRO;NOM;SG;3
sem	nélkül	sem	nélkül	ADP	ADP
dia	nap	dia	nap	N;MASC;SG	N;NOM;SG
dia	napon	dia	nap	N;MASC;SG	N;ON+ESS;SG
dia	nappal	dia	nap	N;MASC;SG	N;INS;SG
dia	napot	dia	nap	N;MASC;SG	N;ACC;SG
dia	dia	dia	dia	N;MASC;SG	N;NOM;SG
muito	nagyon	muito	nagyon	ADV	ADV
região	régió	região	régió	N;FEM;SG	N;NOM;SG
artigo	árucikk	artigo	árucikk	N;MASC;SG	N;NOM;SG
artigo	cikk	artigo	cikk	N;MASC;SG	N;NOM;SG
apenas	csak	apenas	csak	ADV	ADV
apenas	csak	apenas	csak	ADV	ADV
ter	van	ter	van	V;NFIN	V;INDF;IND;SG;3;PRS;FIN;ACT
julho	júliusban	julho	július	N;MASC;SG	N;IN+ESS;SG
julho	július	julho	július	N;MASC;SG	N;NOM;SG
área	terület	área	terület	N;FEM;SG	N;NOM;SG
área	környék	área	környék	N;FEM;SG	N;NOM;SG
agosto	augusztusban	agosto	augusztus	N;MASC;SG	N;IN+ESS;SG
agosto	augusztus	agosto	augusztus	N;MASC;SG	N;NOM;SG
agosto	aug	agosto	aug	N;MASC;SG	N;NOM;SG
lista	jegyzék	lista	jegyzék	N;FEM;SG	N;NOM;SG
lista	lista	lista	lista	N;FEM;SG	N;NOM;SG
maio	május	maio	május	N;MASC;SG	N;NOM;SG
maio	májusban	maio	május	N;MASC;SG	N;IN+ESS;SG
março	március	março	március	N;MASC;SG	N;NOM;SG
norte	északra	norte	észak	N;MASC;SG	N;ON+ALL;SG
família	családi	família	családi	N;FEM;SG	N;NOM;SG
família	családtag	família	családtag	N;FEM;SG	N;NOM;SG
família	család	família	család	N;FEM;SG	N;NOM;SG
abril	április	abril	április	N;MASC;SG	N;NOM;SG
abril	áprilisban	abril	április	N;MASC;SG	N;IN+ESS;SG
grupo	csoport	grupo	csoport	N;MASC;SG	N;NOM;SG
grupo	csoportban	grupo	csoport	N;MASC;SG	N;IN+ESS;SG
setembro	szeptemberben	setembro	szeptember	N;MASC;SG	N;IN+ESS;SG
setembro	szeptember	setembro	szeptember	N;MASC;SG	N;NOM;SG
outubro	októberben	outubro	október	N;MASC;SG	N;IN+ESS;SG
outubro	október	outubro	október	N;MASC;SG	N;NOM;SG
isso	ezt	isso	ez	PRO;MASC;SG	PRO;ACC;SG;3
isso	ez	isso	ez	PRO;MASC;SG	PRO;NOM;SG;3
isso	ez	isso	ez	PRO;MASC;SG	PRO;NOM;SG;3
maior	nagyobb	grande	nagy	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
maior	nagyobb	grande	nagy	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
maior	legnagyobb	grande	nagy	ADJ;MASC;SG	ADJ;NOM;RL;SG
maior	legnagyobb	grande	nagy	ADJ;MASC;SG	ADJ;NOM;RL;SG
maior	nagyobb	grande	nagy	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
nova	új	novo	új	ADJ;FEM;SG	ADJ;NOM;SG
álbum	album	álbum	album	N;MASC;SG	N;NOM;SG
junho	június	junho	június	N;MASC;SG	N;NOM;SG
junho	júniusban	junho	június	N;MASC;SG	N;IN+ESS;SG
contra	ellen	contra	ellen	ADP	ADP
tempo	időjárás	tempo	időjárás	N;MASC;SG	N;NOM;SG
tempo	ideje	tempo	idő	N;MASC;SG	N;NOM;SG
tempo	időpont	tempo	időpont	N;MASC;SG	N;NOM;SG
tempo	idő	tempo	idő	N;MASC;SG	N;NOM;SG
dezembro	december	dezembro	december	N;MASC;SG	N;NOM;SG
dezembro	decemberben	dezembro	december	N;MASC;SG	N;IN+ESS;SG
dezembro	dec	dezembro	dec	N;MASC;SG	N;NOM;SG
fevereiro	februárban	fevereiro	február	N;MASC;SG	N;IN+ESS;SG
fevereiro	február	fevereiro	február	N;MASC;SG	N;NOM;SG
forma	alakja	forma	alak	N;FEM;SG	N;NOM;SG
forma	forma	forma	forma	N;FEM;SG	N;NOM;SG
forma	formát	forma	forma	N;FEM;SG	N;ACC;SG
forma	alakzat	forma	alakzat	N;FEM;SG	N;NOM;SG
forma	űrlap	forma	űrlap	N;FEM;SG	N;NOM;SG
forma	forma	forma	forma	N;FEM;SG	N;NOM;SG
forma	formájában	forma	forma	N;FEM;SG	N;IN+ESS;SG
forma	nyomtatvány	forma	nyomtatvány	N;FEM;SG	N;NOM;SG
novembro	november	novembro	november	N;MASC;SG	N;NOM;SG
novembro	novemberben	novembro	november	N;MASC;SG	N;IN+ESS;SG
então	akkor	então	akkor	ADV	ADV
principal	főbb	principal	fő	ADJ;MASC;SG	ADJ;NOM;CMPR;SG
três	három	três	három	NUM	NUM;NOM;SG
série	sorozat	série	sorozat	N;FEM;SG	N;NOM;SG
série	sorozat	série	sorozat	N;FEM;SG	N;NOM;SG
final	befejezés	final	befejezés	N;MASC;SG	N;NOM;SG
final	vége	final	vég	N;MASC;SG	N;NOM;SG
final	vég	final	vég	N;MASC;SG	N;NOM;SG
final	záró	final	záró	N;MASC;SG	N;NOM;SG
desde	óta	desde	óta	ADP	ADP
história	sztori	história	sztori	N;FEM;SG	N;NOM;SG
história	történet	história	történet	N;FEM;SG	N;NOM;SG
história	története	história	történet	N;FEM;SG	N;NOM;SG
história	mese	história	mese	N;FEM;SG	N;NOM;SG
história	történelme	história	történelem	N;FEM;SG	N;NOM;SG
história	történelem	história	történel	N;FEM;SG	N;NOM;SG
filme	filmet	filme	film	N;MASC;SG	N;ACC;SG
filme	mozi	filme	mozi	N;MASC;SG	N;NOM;SG
filme	film	filme	film	N;MASC;SG	N;NOM;SG
filme	fólia	filme	fólia	N;MASC;SG	N;NOM;SG
filme	film	filme	film	N;MASC;SG	N;NOM;SG
antes	mielőtt	antes	mielőtt	ADV	ADV
melhor	jobban	melhor	jól	ADV	ADV
guerra	háború	guerra	háború	N;FEM;SG	N;NOM;SG
população	populáció	população	populáció	N;FEM;SG	N;NOM;SG
população	népesség	população	népesség	N;FEM;SG	N;NOM;SG
população	lakosság	população	lakosság	N;FEM;SG	N;NOM;SG
estados	államok	estado	állam	N;MASC;PL	N;NOM;PL
estados	államokat	estado	állam	N;MASC;PL	N;ACC;PL
mundo	vilag	mundo	vilag	N;MASC;SG	N;NOM;SG
banda	zenekar	banda	zenekar	N;FEM;SG	N;NOM;SG
gols	célkitűzések	gol	célkitűzés	N;MASC;PL	N;NOM;PL
gols	célokat	gol	cél	N;MASC;PL	N;ACC;PL
gols	célok	gol	cél	N;MASC;PL	N;NOM;PL
nacional	nemzeti	nacional	nemzeti	ADJ;MASC;SG	ADJ;NOM;SG
nacional	országos	nacional	országos	ADJ;MASC;SG	ADJ;NOM;SG
jogos	játékok	jogo	játék	N;MASC;PL	N;NOM;PL
qual	ami	qual	ami	PRO;MASC;SG	PRO;NOM;SG;3
qual	amely	qual	amely	PRO;MASC;SG	PRO;NOM;SG;3
center	középre	center	közép	N;MASC;SG	N;ON+ALL;SG
center	központ	center	központ	N;MASC;SG	N;NOM;SG
vida	élet	vida	élet	N;FEM;SG	N;NOM;SG
vida	életem	vida	élet	N;FEM;SG	N;NOM;SG
país	ország	país	ország	N;MASC;SG	N;NOM;SG
país	országban	país	ország	N;MASC;SG	N;IN+ESS;SG
eles	ők	eles	ők	PRO;NOM;MASC;PL;3	PRO;NOM;PL;3
eles	ők	eles	ők	PRO;NOM;MASC;PL;3	PRO;NOM;PL;3
música	zene	música	zene	N;FEM;SG	N;NOM;SG
página	oldalt	página	oldal	N;FEM;SG	N;ACC;SG
página	oldal	página	oldal	N;FEM;SG	N;NOM;SG
dias	napok	dia	nap	N;MASC;PL	N;NOM;PL
dias	napokban	dia	nap	N;MASC;PL	N;IN+ESS;PL
dias	napokat	dia	nap	N;MASC;PL	N;ACC;PL
dias	napokon	dia	nap	N;MASC;PL	N;ON+ESS;PL
campeonato	bajnokság	campeonato	bajnokság	N;MASC;SG	N;NOM;SG
município	község	município	község	N;MASC;SG	N;NOM;SG
município	település	município	település	N;MASC;SG	N;NOM;SG
município	önkormányzat	município	önkormányzat	N;MASC;SG	N;NOM;SG
futebol	foci	futebol	foci	N;MASC;SG	N;NOM;SG
futebol	futball	futebol	futball	N;MASC;SG	N;NOM;SG
futebol	foci	futebol	foci	N;MASC;SG	N;NOM;SG
futebol	football	futebol	football	N;MASC;SG	N;IN+ESS;SG
futebol	futball	futebol	futball	N;MASC;SG	N;NOM;SG
espécie	faj	espécie	faj	N;FEM;SG	N;NOM;SG
espécie	állatfaj	espécie	állatfaj	N;FEM;SG	N;NOM;SG
portugal	portugália	portugal	portugália	N;MASC;SG	N;NOM;SG
joão	jános	joão	jános	N;MASC;SG	N;NOM;SG
clube	klub	clube	klub	N;MASC;SG	N;NOM;SG
novo	új	novo	új	ADJ;MASC;SG	ADJ;NOM;SG
teve	volt	ter	van	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
pessoas	emberek	pessoa	ember	N;FEM;PL	N;NOM;PL
habitantes	lakói	habitante	lakó	N;PL	N;NOM;PL
habitantes	lakosok	habitante	lakos	N;PL	N;NOM;PL
presidente	elnök	presidente	elnök	N;MASC;SG	N;NOM;SG
presidente	elnök	presidente	elnök	N;MASC;SG	N;NOM;SG
caso	ügy	caso	ügy	N;MASC;SG	N;NOM;SG
caso	eset	caso	eset	N;MASC;SG	N;NOM;SG
jogo	játék	jogo	játék	N;MASC;SG	N;NOM;SG
jogo	meccs	jogo	meccs	N;MASC;SG	N;NOM;SG
sistema	rendszer	sistema	rendszer	N;MASC;SG	N;NOM;SG
período	időszak	período	időszak	N;MASC;SG	N;NOM;SG
período	időtartam	período	időtartam	N;MASC;SG	N;NOM;SG
período	periódus	período	periódus	N;MASC;SG	N;NOM;SG
século	évszázad	século	évszázad	N;MASC;SG	N;NOM;SG
século	század	século	század	N;MASC;SG	N;NOM;SG
título	cím	título	cím	N;MASC;SG	N;NOM;SG
título	címe	título	cím	N;MASC;SG	N;NOM;SG
título	beosztás	título	beosztás	N;MASC;SG	N;NOM;SG
casa	ház	casa	ház	N;FEM;SG	N;NOM;SG
enquanto	miközben	enquanto	miközben	ADV	ADV
enquanto	mialatt	enquanto	mialatt	ADV	ADV
enquanto	míg	enquanto	míg	ADV	ADV
enquanto	amíg	enquanto	amíg	ADV	ADV
lugar	hely	lugar	hely	N;MASC;SG	N;NOM;SG
oficial	hivatalos	oficial	hivatalos	ADJ;MASC;SG	ADJ;NOM;SG
vezes	időpontok	vez	időpont	N;MASC;PL	N;NOM;PL
filho	fiam	filho	fia	N;MASC;SG	N;NOM;SG
filho	fiuk	filho	fiuk	N;MASC;SG	N;NOM;SG
governo	kormány	governo	kormány	N;MASC;SG	N;NOM;SG
governo	kormányzat	governo	kormányzat	N;MASC;SG	N;NOM;SG
artigos	árucikkek	artigo	árucik	N;MASC;PL	N;NOM;PL
artigos	cikkek	artigo	cikk	N;MASC;PL	N;NOM;PL
artigos	tárgyak	artigo	tárgy	N;MASC;PL	N;NOM;PL
artigos	tételek	artigo	tétel	N;MASC;PL	N;NOM;PL
artigos	elemek	artigo	elem	N;MASC;PL	N;NOM;PL
distrito	körzet	distrito	körzet	N;MASC;SG	N;NOM;SG
distrito	járás	distrito	járás	N;MASC;SG	N;NOM;SG
local	hely	local	hely	N;MASC;SG	N;NOM;SG
local	helyszín	local	helyszín	N;MASC;SG	N;NOM;SG
trabalho	állás	trabalho	állás	N;MASC;SG	N;NOM;SG
trabalho	meló	trabalho	meló	N;MASC;SG	N;NOM;SG
trabalho	munka	trabalho	munka	N;MASC;SG	N;NOM;SG
trabalho	munkahelyi	trabalho	munkahelyi	N;MASC;SG	N;NOM;SG
trabalho	munka	trabalho	munka	N;MASC;SG	N;NOM;SG
outro	más	outro	más	PRO;MASC;SG	PRO;NOM;SG;3
fez	tette	fazer	tesz	V;IND;SG;3;PST;FIN	V;DEF;IND;SG;3;PST;FIN;ACT
acordo	megállapodás	acordo	megállapodás	N;MASC;SG	N;NOM;SG
acordo	megállapodás	acordo	megállapodás	N;MASC;SG	N;NOM;SG
acordo	elrendezés	acordo	elrendezés	N;MASC;SG	N;NOM;SG
acordo	elrendezése	acordo	elrendezés	N;MASC;SG	N;NOM;SG
número	szám	número	szám	N;MASC;SG	N;NOM;SG
número	száma	número	szám	N;MASC;SG	N;NOM;SG
através	át	através	át	ADV	ADV
terra	föld	terra	föld	N;FEM;SG	N;NOM;SG
terra	föld	terra	föld	N;FEM;SG	N;NOM;SG
terra	földterület	terra	földterület	N;FEM;SG	N;NOM;SG
terra	szárazföld	terra	szárazföld	N;FEM;SG	N;NOM;SG
terra	telek	terra	tél	N;FEM;SG	N;NOM;SG
gênero	műfaj	gênero	műfaj	N;MASC;SG	N;NOM;SG
gênero	nemi	gênero	nemi	N;MASC;SG	N;NOM;SG
gênero	neme	gênero	ne	N;MASC;SG	N;NOM;SG
igreja	templom	igreja	templom	N;FEM;SG	N;NOM;SG
igreja	egyház	igreja	egyház	N;FEM;SG	N;NOM;SG
universidade	egyetem	universidade	egyetem	N;FEM;SG	N;NOM;SG
universidade	kollégium	universidade	kollégium	N;FEM;SG	N;NOM;SG
universidade	főiskola	universidade	főiskola	N;FEM;SG	N;NOM;SG
universidade	egyetem	universidade	egyetem	N;FEM;SG	N;NOM;SG
centro	középre	centro	közép	N;MASC;SG	N;ON+ALL;SG
centro	központ	centro	központ	N;MASC;SG	N;NOM;SG
centro	középre	centro	közép	N;MASC;SG	N;ON+ALL;SG
centro	központ	centro	központ	N;MASC;SG	N;NOM;SG
centro	centrum	centro	centrum	N;MASC;SG	N;NOM;SG
início	kezdés	início	kezdés	N;MASC;SG	N;NOM;SG
início	kezdete	início	kezdet	N;MASC;SG	N;NOM;SG
início	eleje	início	eleje	N;MASC;SG	N;NOM;SG
início	kezdet	início	kezd	N;MASC;SG	N;NOM;SG
essa	ezt	esse	ez	PRO;FEM;SG	PRO;ACC;SG;3
essa	ez	esse	ez	PRO;FEM;SG	PRO;NOM;SG;3
essa	ez	esse	ez	PRO;FEM;SG	PRO;NOM;SG;3
tipo	típus	tipo	típus	N;MASC;SG	N;NOM;SG
tipo	típusa	tipo	típus	N;MASC;SG	N;NOM;SG
santa	mikulás	santo	mikulás	N;FEM;SG	N;NOM;SG
canção	dal	canção	dal	N;FEM;SG	N;NOM;SG
canção	dalt	canção	dalt	N;FEM;SG	N;ACC;SG
edição	kiadás	edição	kiadás	N;FEM;SG	N;NOM;SG
edição	vágás	edição	vágás	N;FEM;SG	N;NOM;SG
edição	kiadás	edição	kiadás	N;FEM;SG	N;NOM;SG
edição	kiadó	edição	kiadó	N;FEM;SG	N;NOM;SG
edição	közzététel	edição	közzététel	N;FEM;SG	N;NOM;SG
mundial	világszintű	mundial	világszintű	ADJ;MASC;SG	ADJ;NOM;SG
mundial	világméretű	mundial	világméretű	ADJ;MASC;SG	ADJ;NOM;SG
português	portugália	português	portugália	N;MASC;SG	N;NOM;SG
lançado	elindított	lançar	elindított	V;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
lançado	indított	lançar	indít	V;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
quem	aki	quem	aki	PRO;SG	PRO;NOM;SG;3
água	víz	água	víz	N;FEM;SG	N;NOM;SG
água	vizet	água	víz	N;FEM;SG	N;ACC;SG
quatro	négy	quatro	négy	NUM	NUM;NOM;SG
época	szezont	época	szezont	N;FEM;SG	N;ACC;SG
época	idény	época	idény	N;FEM;SG	N;NOM;SG
época	évszak	época	évszú	N;FEM;SG	N;NOM;SG
época	évad	época	évad	N;FEM;SG	N;NOM;SG
época	szezon	época	szez	N;FEM;SG	N;NOM;SG
época	korszak	época	korsz	N;FEM;SG	N;NOM;SG
exemplo	példa	exemplo	példa	N;MASC;SG	N;NOM;SG
morte	halál	morte	halál	N;FEM;SG	N;NOM;SG
sob	alatt	sob	alatt	ADP	ADP
sob	alá	sob	alá	ADP	ADP
produção	előállítás	produção	előállítás	N;FEM;SG	N;NOM;SG
produção	gyártás	produção	gyártás	N;FEM;SG	N;NOM;SG
produção	termelés	produção	termelés	N;FEM;SG	N;NOM;SG
temporada	szezont	temporada	szezont	N;FEM;SG	N;ACC;SG
temporada	idény	temporada	idény	N;FEM;SG	N;NOM;SG
temporada	évszak	temporada	évszú	N;FEM;SG	N;NOM;SG
temporada	évad	temporada	évad	N;FEM;SG	N;NOM;SG
temporada	szezon	temporada	szez	N;FEM;SG	N;NOM;SG
wikipédia	wikipédia	wikipédia	wikipédia	N;FEM;SG	N;NOM;SG
time	ideje	time	idő	N;MASC;SG	N;NOM;SG
time	időpont	time	időpont	N;MASC;SG	N;NOM;SG
time	idő	time	idő	N;MASC;SG	N;NOM;SG
time	csapat	time	csapat	N;MASC;SG	N;NOM;SG
faz	teszi	fazer	tesz	V;IND;SG;3;PRS;FIN	V;DEF;IND;SG;3;PRS;FIN;ACT
geral	tábornok	geral	tábornok	N;MASC;SG	N;NOM;SG
aqui	itt	aqui	itt	ADV	ADV
style	stílus	style	stílus	N;MASC;SG	N;NOM;SG
versão	verzió	versão	verzió	N;FEM;SG	N;NOM;SG
versão	változat	versão	változat	N;FEM;SG	N;NOM;SG
fim	befejezés	fim	befejezés	N;MASC;SG	N;NOM;SG
fim	vége	fim	vég	N;MASC;SG	N;NOM;SG
fim	vég	fim	vég	N;MASC;SG	N;NOM;SG
carlos	károly	carlo	károly	N;MASC;SG	N;NOM;SG
menos	kevesebben	menos	keveseb	ADV	ADV
menos	kevésbé	menos	kevésbé	ADV	ADV
programa	program	programa	program	N;MASC;SG	N;NOM;SG
programa	program	programa	program	N;MASC;SG	N;NOM;SG
porto	kikötő	porto	kikötő	N;MASC;SG	N;NOM;SG
fontes	források	fonte	forrás	N;FEM;PL	N;NOM;PL
fontes	betűtípusok	fonte	betűtípus	N;FEM;PL	N;NOM;PL
fontes	szökőkutak	fonte	szökő	N;FEM;PL	N;NOM;PL
deve	kell	dever	kell	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
sempre	mindig	sempre	mindig	ADV	ADV
site	weboldal	site	weboldal	N;MASC;SG	N;NOM;SG
site	honlap	site	honlap	N;MASC;SG	N;NOM;SG
site	webhely	site	webhely	N;MASC;SG	N;NOM;SG
site	helyszín	site	helyszín	N;MASC;SG	N;NOM;SG
site	helyén	site	hely	N;MASC;SG	N;ON+ESS;SG
site	webhely	site	webhely	N;MASC;SG	N;NOM;SG
livro	könyv	livro	könyv	N;MASC;SG	N;NOM;SG
livro	könyvet	livro	könyv	N;MASC;SG	N;ACC;SG
lado	oldalra	lado	oldal	N;MASC;SG	N;ON+ALL;SG
lado	oldalam	lado	oldal	N;MASC;SG	N;NOM;SG
atualmente	jelenleg	atualmente	jelenleg	ADV	ADV
equipe	csapat	equipe	csapat	N;FEM;SG	N;NOM;SG
escola	iskolában	escola	iskolában	N;FEM;SG	N;IN+ESS;SG
escola	iskola	escola	iskola	N;FEM;SG	N;NOM;SG
outra	más	outro	más	PRO;FEM;SG	PRO;NOM;SG;3
dados	adatok	dado	adat	N;MASC;PL	N;NOM;PL
copa	copa	copa	copa	N;FEM;SG	N;NOM;SG
copa	kupa	copa	kupa	N;FEM;SG	N;NOM;SG
copa	csésze	copa	csésze	N;FEM;SG	N;NOM;SG
copa	pohár	copa	pohár	N;FEM;SG	N;NOM;SG
copa	bögre	copa	bögre	N;FEM;SG	N;NOM;SG
posição	állás	posição	állás	N;FEM;SG	N;NOM;SG
posição	pozíció	posição	pozíció	N;FEM;SG	N;NOM;SG
posição	álláspont	posição	álláspont	N;FEM;SG	N;NOM;SG
internacional	nemzetközi	internacional	nemzetközi	ADJ;MASC;SG	ADJ;NOM;SG
hoje	ma	hoje	ma	ADV	ADV
província	tartomány	província	tartomány	N;FEM;SG	N;NOM;SG
província	tartományban	província	tartomány	N;FEM;SG	N;IN+ESS;SG
team	csapat	team	csapat	N;MASC;SG	N;NOM;SG
países	országokban	país	ország	N;MASC;PL	N;IN+ESS;PL
países	országok	país	ország	N;MASC;PL	N;NOM;PL
embora	bár	embora	bár	CONJ	CONJ
embora	bár	embora	bár	CONJ	CONJ
asteroide	aszteroida	asteroider	aszteroida	N;MASC;SG	N;NOM;SG
porque	mert	porque	mert	CONJ	CONJ
atual	aktuális	atual	aktuális	ADJ;MASC;SG	ADJ;NOM;SG
ordem	megrendelés	ordem	megrendelés	N;FEM;SG	N;NOM;SG
ordem	rendelés	ordem	rendelés	N;FEM;SG	N;NOM;SG
ordem	rend	ordem	rend	N;FEM;SG	N;NOM;SG
ordem	parancs	ordem	parancs	N;FEM;SG	N;NOM;SG
pai	apa	pai	apa	N;MASC;SG	N;NOM;SG
estádio	stadion	estádio	stadion	N;MASC;SG	N;NOM;SG
estádio	stadionban	estádio	stadion	N;MASC;SG	N;IN+ESS;SG
partido	buli	partido	buli	N;MASC;SG	N;NOM;SG
começou	kezdődött	começar	kezdődik	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
começou	kezdte	começar	kezd	V;IND;SG;3;PST;FIN	V;DEF;IND;SG;3;PST;FIN;ACT
começou	elkezdődött	começar	elkezdődik	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
começou	kezdődött	começar	kezdődik	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
começou	megkezdődött	começar	megkezdődik	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
começou	elkezdődött	começar	elkezdődik	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
passou	elköltött	passar	elköltött	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
passou	költött	passar	költ	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
passou	töltött	passar	tölt	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
passou	elhunyt	passar	el+huny	V;IND;SG;3;PST;FIN	V;INDF;IND;SG;3;PST;FIN;ACT
ilha	sziget	ilha	sziget	N;FEM;SG	N;NOM;SG
ilha	szigeten	ilha	sziget	N;FEM;SG	N;ON+ESS;SG
ilha	sziget	ilha	sziget	N;FEM;SG	N;NOM;SG
carreira	karrier	carreira	karrier	N;FEM;SG	N;NOM;SG
carreira	karrier	carreira	karrier	N;FEM;SG	N;NOM;SG
campo	mező	campo	mező	N;MASC;SG	N;NOM;SG
campo	tábor	campo	tábor	N;MASC;SG	N;NOM;SG
placar	pontszám	placar	pontszám	N;MASC;SG	N;NOM;SG
uso	használat	uso	használat	N;MASC;SG	N;NOM;SG
uso	használat	uso	használat	N;MASC;SG	N;NOM;SG
uso	használata	uso	használat	N;MASC;SG	N;NOM;SG
uso	felhasználás	uso	felhasználás	N;MASC;SG	N;NOM;SG
linha	vonal	linha	vonal	N;FEM;SG	N;NOM;SG
poder	energia	poder	energia	N;MASC;SG	N;NOM;SG
poder	erő	poder	erő	N;MASC;SG	N;NOM;SG
poder	hatalom	poder	hatalom	N;MASC;SG	N;NOM;SG
reino	királyság	reino	királyság	N;MASC;SG	N;NOM;SG
reino	birodalom	reino	birodalom	N;MASC;SG	N;NOM;SG
grandes	nagyok	grande	nagy	N;MASC;PL	N;NOM;PL
grandes	nagyok	grande	nagy	N;MASC;PL	N;NOM;PL
conta	fiók	conta	fió	N;FEM;SG	N;NOM;SG
conta	számla	conta	számla	N;FEM;SG	N;NOM;SG
vila	városban	vila	város	N;FEM;SG	N;IN+ESS;SG
vila	város	vila	város	N;FEM;SG	N;NOM;SG
vila	település	vila	település	N;FEM;SG	N;NOM;SG
vila	falu	vila	falu	N;FEM;SG	N;NOM;SG
política	szabályzat	política	szabályzat	N;FEM;SG	N;NOM;SG
política	politika	política	politika	N;FEM;SG	N;NOM;SG
política	politika	política	politika	N;FEM;SG	N;NOM;SG
base	bázis	base	bázis	N;FEM;SG	N;NOM;SG
frança	franciaország	frança	franciaország	N;FEM;SG	N;NOM;SG
direito	jog	direito	jog	N;MASC;SG	N;NOM;SG
direito	törvény	direito	törvény	N;MASC;SG	N;NOM;SG
rede	háló	rede	háló	N;FEM;SG	N;NOM;SG
rede	net	rede	net	N;FEM;SG	N;NOM;SG
rede	hálózat	rede	hálózat	N;FEM;SG	N;NOM;SG
rede	hálózati	rede	hálózat	N;FEM;SG	N;NOM;SG
chamado	hívott	chamar	hív	V;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
público	célközönség	público	célközönség	N;MASC;SG	N;NOM;SG
público	közönség	público	közönség	N;MASC;SG	N;NOM;SG
