yang	זה	yang	זה	PRO	PRO;MASC;SG;3
film	קולנוע	film	קולנוע	N;SG	N;MASC;SG
kelas	רמה	kelas	רמה	N;SG	N;FEM;SG
kelas	כיתה	kelas	כיתה	N;SG	N;FEM;SG
kelas	מעמד	kelas	מעמד	N;SG	N;MASC;SG
beberapa	כמה	beberapa	כמה	DET	DET;PSSD
kecamatan	מחוז	kecamatan	מחוז	N;SG	N;MASC;SG
salah	טעות	salah	טעות	N;SG	N;FEM;SG
negara	מדינה	negara	מדינה	N;SG	N;FEM;SG
negara	ארץ	negara	ארץ	N;SG	N;FEM;SG
negara	מדינה	negara	מדינה	N;SG	N;FEM;SG
banyak	הרבה	banyak	הרבה	ADV	ADV
banyak	הרבה	banyak	הרבה	ADV	ADV
kabupaten	מחוז	kabupaten	מחוז	N;SG	N;MASC;SG
kabupaten	מחוז	kabupaten	מחוז	N;SG	N;MASC;SG
lalat	זבוב	lalat	None	N;SG	N;MASC;SG
isi	התוכן	isi	התוכן	N;SG	N;MASC;SG
isi	תוכן	isi	תוכן	N;SG	N;MASC;SG
isi	תוכן	isi	תוכן	N;SG	N;MASC;SG
daftar	רשימה	daftar	רשימה	N;SG	N;FEM;SG
baru	חדש	baru	חדש	ADJ;SG	ADJ;MASC;SG
baru	חדשה	baru	חדש	ADJ;SG	ADJ;FEM;SG
antara	בין	antara	בין	ADP	ADP
barat	מערב	barat	מערב	N;SG	N;MASC;SG
barat	מערב	barat	מערב	N;SG	N;MASC;SG
wilayah	אזור	wilayah	אזור	N;SG	N;MASC;SG
wilayah	איזור	wilayah	איזור	N;SG	N;MASC;SG
wilayah	שטח	wilayah	שטח	N;SG	N;MASC;SG
wilayah	אזור	wilayah	אזור	N;SG	N;MASC;SG
wilayah	טריטוריה	wilayah	טריטוריה	N;SG	N;FEM;SG
dunia	עולם	dunia	עולם	N;SG	N;MASC;SG
timur	מזרח	timur	מזרח	N;SG	N;MASC;SG
timur	מזרח	timur	מזרח	N;SG	N;MASC;SG
tempat	מקום	tempat	מקום	N;SG	N;MASC;SG
dua	שני	dua	שני	NUM	NUM;MASC;PL
dua	שניים	dua	שניים	NUM	NUM;MASC;PL
dua	שתיים	dua	שתיים	NUM	NUM;FEM;SG
selatan	דרום	selatan	דרום	N;SG	N;MASC;SG
selatan	דרום	selatan	דרום	N;SG	N;MASC;SG
anak	ילדה	anak	ילד	N;SG	N;FEM;SG
anak	ילד	anak	ילד	N;SG	N;MASC;SG
species	מינים	species	מין	N	N;MASC;PL
lagu	שיר	lagu	שיר	N;SG	N;MASC;SG
daerah	מחוז	daerah	מחוז	N;SG	N;MASC;SG
daerah	אזור	daerah	אזור	N;SG	N;MASC;SG
daerah	איזור	daerah	איזור	N;SG	N;MASC;SG
daerah	שטח	daerah	שטח	N;SG	N;MASC;SG
daerah	אזור	daerah	אזור	N;SG	N;MASC;SG
daerah	מחוז	daerah	מחוז	N;SG	N;MASC;SG
daerah	סעיף	daerah	סעיף	N;SG	N;MASC;SG
daerah	מחלקה	daerah	מחלקה	N;SG	N;FEM;SG
hanya	בלבד	hanya	בלבד	ADV	ADV
hanya	רק	hanya	רק	ADV	ADV
hanya	רק	hanya	רק	ADV	ADV
air	אוויר	air	אוויר	N;SG	N;MASC;SG
terletak	ממוקמת	terletak	מוקם	V;SG;PASS	V;FEM;SG;V.PTCP;PASS
terletak	ממוקם	terletak	מוקם	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
hari	יום	hari	יום	N;SG	N;MASC;SG
hingga	עד	hingga	עד	ADP	ADP
sampai	עד	sampai	עד	ADP	ADP
digunakan	משומש	digunakan	משומש	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
kali	זמן	kali	זמן	N;SG	N;MASC;SG
kali	עת	kali	עת	N;SG	N;FEM;SG
sama	שוות	sama	שווה	ADJ;SG	ADJ
ketika	כאשר	ketika	כאשר	CONJ	CONJ
sangat	מאוד	sangat	מאוד	ADV	ADV
album	אלבום	album	אלבום	N;SG	N;MASC;SG
hal	דבר	hal	דבר	N;SG	N;MASC;SG
hal	קטע	hal	קטע	N;SG	N;MASC;SG
hal	חומר	hal	חומר	N;SG	N;MASC;SG
panjang	ארוך	panjang	ארוך	ADJ;SG	ADJ;MASC;SG
panjang	ארוכה	panjang	ארוך	ADJ;SG	ADJ;FEM;SG
kedua	שניה	kedua	שניה	NUM	NUM;FEM;SG
kedua	שנייה	kedua	שנייה	NUM	NUM;FEM;SG
kedua	שני	kedua	שני	NUM	NUM;MASC;PL
menggunakan	משתמשת	mengunakan	השתמש	V;SG;ACT	V;FEM;SG;V.PTCP
menggunakan	משתמש	mengunakan	השתמש	V;SG;ACT	V;MASC;SG;V.PTCP
menggunakan	להשתמש	mengunakan	השתמש	V;SG;ACT	V;NFIN
menggunakan	השתמש	mengunakan	השתמש	V;SG;ACT	V;MASC;SG;3;PST
menggunakan	משתמשת	mengunakan	השתמש	V;SG;ACT	V;FEM;SG;V.PTCP
utama	ראשוני	utama	ראשוני	ADJ;SG	ADJ;MASC;SG
utama	עיקרי	utama	עיקרי	ADJ;SG	ADJ;MASC;SG
disebut	הוזכר	disebut	הוזכר	V;SG;PASS	V;MASC;SG;3;PST;PASS
disebut	מוזכר	disebut	הוזכר	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
disebut	התייחס	disebut	התייחס	V;SG;PASS	V;MASC;SG;3;PST
sudah	כבר	sudah	כבר	ADV;SG;ACT	ADV
menyebabkan	גורמת	mensebabkan	גרם	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
masih	עדיין	masih	עדיין	ADV	ADV
lihat	רואה	lihat	ראה	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
lihat	ראה	lihat	ראה	V;SG;ACT	V;MASC;SG;3;PST;ACT
lihat	תראי	lihat	תראי	V;SG;ACT	V;SG;1;FUT;ACT
lihat	תראה	lihat	תראה	V;SG;ACT	V;MASC;SG;3;FUT
tinggi	גבוה	tinggi	גבוה	ADJ;SG	ADJ;MASC;SG
tinggi	גבוהה	tinggi	גבוה	ADJ;SG	ADJ;FEM;SG
tinggi	גבוה	tinggi	גבוה	ADJ;SG	ADJ;MASC;SG
waktu	זמן	waktu	זמן	N;SG	N;MASC;SG
waktu	עת	waktu	עת	N;SG	N;FEM;SG
jenis	סוג	jenis	סוג	N;SG	N;MASC;SG
jenis	סוג	jenis	סוג	N;SG	N;MASC;SG
bulan	חודש	bulan	חודש	N;SG	N;MASC;SG
departemen	מחלקה	departemen	מחלקה	N;SG	N;FEM;SG
departemen	המחלקה	departemen	המחלק	N;SG	N;FEM;SG
situs	אתר	situs	אתר	N;SG	N;MASC;SG
dikenal	זוהה	dikenal	זוהה	V;SG;PASS	V;MASC;SG;3;PST;PASS
dikenal	מזוהה	dikenal	זוהה	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
dikenal	מזוהה	dikenal	זוהה	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
membuat	ליצור	menbuat	יצר	V;SG;ACT	V;NFIN;ACT
membuat	יוצר	menbuat	יצר	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
membuat	יוצרת	menbuat	יצר	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
mulai	מתחילה	mulai	התחיל	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
mulai	מתחיל	mulai	התחיל	V;SG;ACT	V;MASC;SG;V.PTCP
resmi	רשמי	resmi	רשמי	ADJ;SG	ADJ;MASC;SG
sekitar	על	sekitar	על	ADP	ADP
sekitar	לגבי	sekitar	לגבי	ADP	ADP
udara	אווירי	udara	אווירי	N;SG	N;MASC;SG
udara	אוויר	udara	אוויר	N;SG	N;MASC;SG
melalui	באמצעות	melalui	באמצעות	ADP	ADP
sekarang	כעת	sekarang	כעת	ADV	ADV
sekarang	עכשיו	sekarang	עכשיו	ADV	ADV
perang	לוחמה	perang	לוחמה	N;SG	N;FEM;SG
perang	מלחמה	perang	מלחמה	N;SG	N;FEM;SG
tentang	על	tentang	על	ADP;SG;ACT	ADP
tentang	לגבי	tentang	לגבי	ADP;SG;ACT	ADP
rumah	בית	rumah	בית	N;SG	N;MASC;SG
rumah	בית	rumah	בית	N;SG	N;MASC;SG
pendidikan	השכלה	pendidikan	השכלה	N;SG	N;FEM;SG
pendidikan	חינוך	pendidikan	חינוך	N;SG	N;MASC;SG
laut	ים	laut	ים	N;SG	N;MASC;SG
laut	אוקיינוס	laut	אוקיינוס	N;SG	N;MASC;SG
tim	צוות	tim	צוות	N;SG	N;FEM;SG
tim	קבוצה	tim	קבוצה	N;SG	N;FEM;SG
sistem	מערכת	sistem	מערכת	N;SG	N;FEM;SG
termasuk	כולל	termasuk	כלל	V	V;MASC;SG;V.PTCP;ACT
termasuk	כלולים	termasuk	כלול	V	V;MASC;PL;V.PTCP;ACT
termasuk	כלול	termasuk	כלול	V	V;MASC;SG;V.PTCP;ACT
termasuk	כולל	termasuk	כלל	V	V;MASC;SG;V.PTCP;ACT
termasuk	כלול	termasuk	כלול	V	V;MASC;SG;V.PTCP;ACT
termasuk	כולל	termasuk	כלל	V	V;MASC;SG;V.PTCP;ACT
termasuk	כלול	termasuk	כלול	V	V;MASC;SG;V.PTCP;ACT
termasuk	כולל	termasuk	כלל	V	V;MASC;SG;V.PTCP;ACT
termasuk	כוללת	termasuk	כלל	V	V;FEM;SG;V.PTCP;ACT
semua	כל	semua	כול	DET	DET;PSSD
larva	זחלים	larva	זחל	N	N;MASC;PL
terhadap	כנגד	terhadap	כנגד	ADP	ADP
terhadap	נגד	terhadap	נגד	ADP	ADP
batang	באר	batang	באר	N;SG	N;FEM;SG
batang	סרגל	batang	סרגל	N;SG	N;MASC;SG
batang	גבעול	batang	גבעול	N;SG	N;MASC;SG
presiden	נשיא	presiden	נשיא	N;SG	N;MASC;SG
masyarakat	הקהילה	masyarakat	הקהיל	N;SG	N;FEM;SG
masyarakat	קהילה	masyarakat	קהילה	N;SG	N;FEM;SG
masyarakat	החברה	masyarakat	החברה	N;SG	N;FEM;SG
pernah	מעולם	pernah	מעולם	ADV	ADV
pernah	לעולם	pernah	לעולם	ADV	ADV
tiga	שלושה	tiga	שלושה	NUM	NUM;MASC;SG
tiga	שלוש	tiga	שלוש	NUM	NUM;FEM;SG
musik	מוסיקה	musik	מוזיקה	N;SG	N;FEM;SG
musik	מוזיקה	musik	הוזיק	N;SG	N;FEM;SG
musik	מחזמר	musik	החזמר	N;SG	N;MASC;SG
kerusakan	תקלה	kerusakan	תקלה	N;SG	N;FEM;SG
kerusakan	נזק	kerusakan	נזק	N;SG	N;MASC;SG
kecil	קטן	kecil	קטן	ADJ;SG	ADJ;MASC;SG
kecil	קטנה	kecil	קטן	ADJ;SG	ADJ;FEM;SG
kecil	קטן	kecil	קטן	ADJ;SG	ADJ;MASC;SG
kecil	קטנה	kecil	קטן	ADJ;SG	ADJ;FEM;SG
kecil	זעירה	kecil	זעיר	ADJ;SG	ADJ;FEM;SG
menteri	מזכיר	menteri	מזכיר	N;SG	N;MASC;SG
menteri	שר	menteri	שר	N;SG	N;MASC;SG
lagi	שוב	lagi	שוב	ADV	ADV
lagi	עוד	lagi	עוד	ADV	ADV
lagi	יותר	lagi	יותר	ADV	ADV
jumlah	סכום	jumlah	סכום	N;SG	N;MASC;SG
jumlah	סכום	jumlah	סכום	N;SG	N;MASC;SG
jumlah	הכמות	jumlah	הכמה	N;SG	N;FEM;SG
jumlah	כמות	jumlah	כמות	N;SG	N;FEM;SG
kata	אמרה	kata	אמרה	N;SG	N;FEM;SG
kata	מלה	kata	מילה	N;SG	N;FEM;SG
kata	מילה	kata	מילה	N;SG	N;FEM;SG
penduduk	תושב	penduduk	תושב	N;SG	N;MASC;SG
penduduk	אוכלוסיית	penduduk	אוכלוסייה	N;SG	N;PSSD;FEM;SG
penduduk	אוכלוסייה	penduduk	אוכלוסייה	N;SG	N;FEM;SG
penduduk	אוכלוסיה	penduduk	אוכלוסיה	N;SG	N;FEM;SG
bawah	תחתית	bawah	תחתית	N;SG	N;FEM;SG
sebelum	לפני	sebelum	לפני	ADP	ADP
terjadi	קרה	terjadi	קרה	V;SG;PASS	V;MASC;SG;3;PST
terjadi	קרתה	terjadi	קרה	V;SG;PASS	V;FEM;SG;3;PST
data	מידע	data	מידע	N;SG	N;MASC;SG
artikel	כתבה	artikel	כתבה	N;SG	N;FEM;SG
artikel	מאמר	artikel	מאמר	N;SG	N;MASC;SG
tanduk	קרניים	tanduk	קרן	N	N;FEM;DU
tanduk	קרנות	tanduk	קרן	N	N;FEM;PL
karya	פועל	karya	פועל	N;SG	N;MASC;SG
karya	עובדת	karya	עובדה	N;SG	N;FEM;SG
tanah	אדמה	tanah	אדמה	N;SG	N;FEM;SG
tanah	ארץ	tanah	ארץ	N;SG	N;FEM;SG
tanah	קרקע	tanah	קרקע	N;SG	N;FEM;SG
tanah	אדמה	tanah	אדמה	N;SG	N;FEM;SG
tanah	קרקע	tanah	קרקע	N;SG	N;FEM;SG
tanah	קרקע	tanah	קרקע	N;SG	N;FEM;SG
perusahaan	תאגיד	perusahaan	תאגיד	N;SG	N;MASC;SG
perusahaan	החברה	perusahaan	החברה	N;SG	N;FEM;SG
perusahaan	חברה	perusahaan	חברה	N;SG	N;FEM;SG
perusahaan	פלוגה	perusahaan	פלוגה	N;SG	N;FEM;SG
perusahaan	מעסיק	perusahaan	העסיק	N;SG	N;MASC;SG
style	סגנון	style	סגנון	N	N;MASC;SG
cukup	מספיק	cukup	מספיק	ADV	ADV
maret	צעדה	maret	צעדה	N;SG	N;FEM;SG
musim	עונה	musim	עונה	N;SG	N;FEM;SG
bola	כדור	bola	כדור	N;SG	N;MASC;SG
bola	ספירה	bola	ספירה	N;SG	N;FEM;SG
bola	כדור	bola	כדור	N;SG	N;MASC;SG
pemerintah	ממשלה	penperintah	ממשלה	N;SG	N;FEM;SG
pemerintah	ממשל	penperintah	ממשל	N;SG	N;MASC;SG
setiap	כל	setiap	כול	DET	DET;PSSD
bidang	שטח	bidang	שטח	N;SG	N;MASC;SG
bidang	שדה	bidang	שדה	N;SG	N;MASC;SG
kepala	ראש	kepala	ראש	N;SG	N;MASC;SG
kepala	המפקדת	kepala	המפקד	N;SG	N;FEM;SG
melakukan	עושה	menlakukan	עשה	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
pusat	מרכז	pusat	מרכז	N;SG	N;MASC;SG
pusat	מרכז	pusat	מרכז	N;SG	N;MASC;SG
pusat	מרכז	pusat	מרכז	N;SG	N;MASC;SG
sumber	מקור	sumber	מקור	N;SG	N;MASC;SG
manusia	אדם	manusia	אדם	N;SG	N;MASC;SG
manusia	גבר	manusia	גבר	N;SG	N;MASC;SG
manusia	אדם	manusia	אדם	N;SG	N;MASC;SG
sejarah	היסטוריה	sejarah	היסטוריה	N;SG	N;FEM;SG
sejarah	ההיסטוריה	sejarah	ההיסטוריה	N;SG	N;FEM;SG
gereja	כנסייה	gereja	כנסייה	N;SG	N;FEM;SG
dasar	בסיסי	dasar	בסיסי	ADJ;SG	ADJ;MASC;SG
pemain	שחקן	penmain	שחקן	N;SG	N;MASC;SG
program	תכנית	program	תוכנית	N;SG	N;FEM;SG
program	תוכנה	program	תוכנה	N;SG	N;FEM;SG
program	תוכנית	program	תוכנית	N;SG	N;FEM;SG
program	תוכנית	program	תוכנית	N;SG	N;FEM;SG
pesawat	מטוס	pesawat	מטוס	N;SG	N;MASC;SG
pesawat	מישור	pesawat	מישור	N;SG	N;MASC;SG
pesawat	מטוס	pesawat	מטוס	N;SG	N;MASC;SG
pesawat	מטוס	pesawat	מטוס	N;SG	N;MASC;SG
stasiun	תחנה	stasiun	תחנה	N;SG	N;FEM;SG
stasiun	תחנת	stasiun	תחנה	N;SG	N;FEM;SG
akhirnya	לבסוף	akhirnya	לבסוף	ADV	ADV
akhirnya	לבסוף	akhirnya	לבסוף	ADV	ADV
nebula	ערפיליות	nebula	ערפילי	N	N;FEM;PL
bumi	אדמה	bumi	אדמה	N;SG	N;FEM;SG
bumi	ארץ	bumi	ארץ	N;SG	N;FEM;SG
dilakukan	בוצע	dilakukan	בוצע	V;SG;PASS	V;MASC;SG;3;PST;PASS
bentuk	צורת	bentuk	צורה	N;SG	N;FEM;SG
bentuk	צורה	bentuk	צורה	N;SG	N;FEM;SG
bentuk	צורת	bentuk	צורה	N;SG	N;FEM;SG
bentuk	טופס	bentuk	טופס	N;SG	N;MASC;SG
bentuk	צורה	bentuk	צורה	N;SG	N;FEM;SG
proses	תהליך	proses	תהליך	N;SG	N;MASC;SG
akhir	סיום	akhir	סיום	N;SG	N;MASC;SG
hasil	התוצאות	hasil	התוצאות	N;SG	N;FEM;SG
hasil	תוצאה	hasil	תוצאה	N;SG	N;FEM;SG
versi	גרסה	versi	גרסה	N;SG	N;FEM;SG
versi	גירסה	versi	גירסה	N;SG	N;FEM;SG
versi	הגרסה	versi	הגרסה	N;SG	N;FEM;SG
versi	גרסת	versi	גרסה	N;SG	N;FEM;SG
pemerintahan	ממשלה	penperintahan	ממשלה	N;SG	N;FEM;SG
pemerintahan	ממשל	penperintahan	ממשל	N;SG	N;MASC;SG
pemerintahan	ממשל	penperintahan	ממשל	N;SG	N;MASC;SG
republik	רפובליקני	republik	רפובליקני	N	N;MASC;SG
republik	רפובליקה	republik	רפובליקה	N	N;FEM;SG
republik	הרפובליקה	republik	הרפובליקה	N	N;FEM;SG
group	חבורה	group	חבורה	N	N;FEM;SG
group	קבוצה	group	קבוצה	N	N;FEM;SG
buku	ספר	buku	ספר	N;SG	N;MASC;SG
berhasil	מצליחה	berhasil	הצליח	V;SG	V;FEM;SG;V.PTCP;ACT
berhasil	מצליח	berhasil	הצליח	V;SG	V;MASC;SG;V.PTCP;ACT
berhasil	להצליח	berhasil	הצליח	V;SG	V;NFIN;ACT
partai	מפלגה	partai	מפלגה	N;SG	N;FEM;SG
partai	מפלגת	partai	מפלגה	N;SG	N;FEM;SG
keluarga	משפחה	keluarga	משפחה	N;SG	N;FEM;SG
berubah	משתנה	berrubah	השתנה	V;SG;ACT	V;MASC;SG;V.PTCP
berubah	השתנה	berrubah	השתנה	V;SG;ACT	V;MASC;SG;3;PST
berubah	השתנתה	berrubah	השתנה	V;SG;ACT	V;FEM;SG;3;PST
luas	רחבה	luas	רחבה	N;SG	N;FEM;SG
luas	רחבה	luas	רחבה	N;SG	N;FEM;SG
luas	אזור	luas	אזור	N;SG	N;MASC;SG
luas	איזור	luas	איזור	N;SG	N;MASC;SG
luas	שטח	luas	שטח	N;SG	N;MASC;SG
acara	אירוע	acara	אירוע	N;SG	N;MASC;SG
asal	מקור	asal	מקור	N;SG	N;MASC;SG
kapal	ספינה	kapal	ספינה	N;SG	N;FEM;SG
kapal	אונייה	kapal	אונייה	N;SG	N;FEM;SG
kapal	סירה	kapal	סירה	N;SG	N;FEM;SG
bermain	משחקת	bermain	משחקה	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
kelompok	חבורה	kelompok	חבורה	N;SG	N;FEM;SG
kelompok	קבוצה	kelompok	קבוצה	N;SG	N;FEM;SG
agama	דת	agama	דת	N;SG	N;FEM;SG
agama	דת	agama	דת	N;SG	N;FEM;SG
agama	דתי	agama	דתי	N;SG	N;MASC;SG
agama	דתית	agama	דתי	N;SG	N;FEM;SG
anda	אתה	anda	הוא	PRO;SG;2;FORM	PRO;MASC;SG;2
memberikan	לתת	menberikan	נתן	V;SG;ACT	V;NFIN;ACT
eropa	האירופאים	eropa	האירופאי	N;SG	N
lama	ישנה	lama	ישן	ADJ;SG	ADJ;FEM;SG
lama	ארוך	lama	ארוך	ADJ;SG	ADJ;MASC;SG
lama	ארוכה	lama	ארוך	ADJ;SG	ADJ;FEM;SG
jiwa	נפש	jiwa	נפש	N;SG	N;FEM;SG
jiwa	נשמה	jiwa	נשמה	N;SG	N;FEM;SG
saja	בלבד	saja	בלבד	ADV	ADV
saja	רק	saja	רק	ADV	ADV
hukum	חוק	hukum	חוק	N;SG;ACT	N;MASC;SG
hukum	חוקיות	hukum	חוקיות	N;SG;ACT	N;FEM;SG
orbit	מסלולית	orbit	מסלולית	N	N;FEM;SG
orbit	מסלול	orbit	מסלול	N	N;MASC;SG
diterbitkan	פורסם	diterbitkan	פורסם	V;SG;PASS	V;MASC;SG;3;PST;PASS
masuk	התחבר	masuk	התחבר	V;SG;ACT	V;MASC;SG;3;PST
dirilis	שוחרר	dirilis	שוחרר	V;SG;PASS	V;MASC;SG;3;PST;PASS
dirilis	משוחרר	dirilis	משוחרר	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
dirilis	שוחררה	dirilis	שוחרר	V;SG;PASS	V;FEM;SG;3;PST;PASS
tokoh	דמות	tokoh	דמות	N;SG	N;FEM;SG
tokoh	אופי	tokoh	אופי	N;SG	N;MASC;SG
tokoh	הגזרה	tokoh	הגזרה	N;SG	N;FEM;SG
tokoh	דמות	tokoh	דמות	N;SG	N;FEM;SG
tanpa	מבלי	tanpa	מבלי	ADP	ADP
tanpa	ללא	tanpa	ללא	ADP	ADP
tanpa	בלי	tanpa	בלי	ADP	ADP
penghargaan	הערכה	penhargaan	הערכה	N;SG	N;FEM;SG
klub	מועדון	klub	מועדון	N;SG	N;MASC;SG
terkenal	מפורסמת	terkenal	מפורסם	ADJ;SG;PASS	ADJ;FEM;SG
ketua	חונך	ketua	חונך	N;SG	N;MASC;SG
ketua	המפקדת	ketua	המפקד	N;SG	N;FEM;SG
bintang	כוכב	bintang	כוכב	N;SG	N;MASC;SG
bintang	כוכבת	bintang	כוכב	N;SG	N;FEM;SG
politik	פוליטיקה	politik	פוליטיקה	N;SG	N;FEM;SG
politik	פוליטי	politik	פוליטי	N;SG	N;MASC;SG
sesuatu	משהו	sesuatu	משהו	N;SG	N;MASC;SG
ibu	אמא	ibu	אמא	N;SG	N;FEM;SG
ibu	אמא	ibu	אמא	N;SG	N;FEM;SG
tingkat	דרג	tingkat	דרג	N;SG	N;MASC;SG
tingkat	שיעור	tingkat	שיעור	N;SG	N;MASC;SG
tingkat	רמה	tingkat	רמה	N;SG	N;FEM;SG
kereta	מרכבה	kereta	מרכבה	N;SG	N;FEM;SG
kereta	הרכבת	kereta	הרכבה	N;SG	N;FEM;SG
kereta	רכבת	kereta	רכבת	N;SG	N;FEM;SG
ruang	חדר	ruang	חדר	N;SG	N;MASC;SG
ruang	חלל	ruang	חלל	N;SG	N;MASC;SG
ruang	מרחב	ruang	מרחב	N;SG	N;MASC;SG
tinggal	תשאר	tinggal	תשאר	V;SG;ACT	V;MASC;SG;2;FUT;ACT
empat	ארבעה	empat	ארבעה	NUM	NUM;MASC;SG
empat	ארבע	empat	ארבע	NUM	NUM;FEM;SG
ekonomi	כלכלה	ekonomi	כלכלה	N;SG	N;FEM;SG
ekonomi	כלכלה	ekonomi	כלכלה	N;SG	N;FEM;SG
ekonomi	כלכלת	ekonomi	כלכלה	N;SG	N;FEM;SG
organisasi	ארגון	organisasi	ארגון	N;SG	N;MASC;SG
organisasi	ארגון	organisasi	ארגון	N;SG	N;MASC;SG
bahan	חומר	bahan	חומר	N;SG	N;MASC;SG
bahan	חומר	bahan	חומר	N;SG	N;MASC;SG
api	אש	api	אש	N;SG	N;FEM;SG
api	שריפה	api	שריף	N;SG	N;FEM;SG
api	להבה	api	להבה	N;SG	N;FEM;SG
video	סרטון	video	סרטון	N;SG	N;MASC;SG
video	סרטונים	video	סרטון	N;SG	N
terakhir	אחרונה	terakhir	אחרון	ADJ;RL;SG	ADJ;FEM;SG
terakhir	אחרון	terakhir	אחרון	ADJ;RL;SG	ADJ;MASC;SG
angkatan	כוח	angkatan	כוח	N;SG	N;MASC;SG
angkatan	רמה	angkatan	רמה	N;SG	N;FEM;SG
angkatan	כיתה	angkatan	כיתה	N;SG	N;FEM;SG
angkatan	מעמד	angkatan	מעמד	N;SG	N;MASC;SG
militer	צבאי	militer	צבאי	ADJ;SG	ADJ;MASC;SG
langsung	ישירה	langsung	ישיר	ADV	ADV
grup	חבורה	grup	חבורה	N;SG	N;FEM;SG
grup	קבוצה	grup	קבוצה	N;SG	N;FEM;SG
label	תווית	label	תווית	N;SG	N;FEM;SG
label	התווית	label	התווית	N;SG	N;FEM;SG
mendapatkan	מקבל	mendapatkan	קיבל	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
website	אתר	website	אתר	N;SG	N;MASC;SG
ditemukan	התגלתה	ditemukan	התגלה	V;SG;PASS	V;FEM;SG;3;PST
ditemukan	שהתגלה	ditemukan	שהגלל	V;SG;PASS	V;MASC;SG;3;PST
ditemukan	התגלה	ditemukan	התגלה	V;SG;PASS	V;MASC;SG;3;PST
kurang	פחות	kurang	פחות	ADV;SG	ADV
informasi	מידע	informasi	מידע	N;SG	N;MASC;SG
informasi	אינפורמציה	informasi	אינפורמציה	N;SG	N;FEM;SG
makanan	מזון	makanan	מזון	N;SG	N;MASC;SG
makanan	אוכל	makanan	אוכל	N;SG	N;MASC;SG
makanan	מאכל	makanan	מאכל	N;SG	N;MASC;SG
makanan	מזון	makanan	מזון	N;SG	N;MASC;SG
cinta	אהבה	cinta	אהבה	N;SG	N;FEM;SG
