vir	pre	vir	pre	ADP	ADP;ACC
dood	mŕtve	dood	mŕtvy	N;SG	N;NOM;NEUT;SG
amptelike	úradný	amptelik	úradný	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
amptelike	oficiálna	amptelik	oficiálny	ADJ;NOM	ADJ;NOM;FEM;SG
amptelike	oficiálny	amptelik	oficiálny	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
dieselfde	rovnaká	dieselfde	rovnaký	ADJ;NOM	ADJ;NOM;FEM;SG
dieselfde	rovnaké	dieselfde	rovnaký	ADJ;NOM	ADJ;NOM;NEUT;SG
dieselfde	rovnaký	dieselfde	rovnaký	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
wêreld	sveta	wêreld	svet	N;SG	N;INAN;GEN;MASC;SG
wêreld	svete	wêreld	svet	N;SG	N;INAN;ESS;MASC;SG
wêreld	svet	wêreld	svet	N;SG	N;INAN;NOM;MASC;SG
wêreld	svetom	wêreld	svet	N;SG	N;INAN;INS;MASC;SG
volgende	budúci	volg	budúci	N;SG	N;ANIM;NOM;MASC;SG
miljoen	miliónov	miljoen	milión	NUM	NUM;INAN;GEN;MASC;PL
miljoen	milióna	miljoen	milióna	NUM	NUM;NOM;MASC;SG
miljoen	milión	miljoen	milión	NUM	NUM;NOM;NEUT;SG
aantal	množstvo	aantal	množstvo	N;SG	N;NOM;NEUT;SG
plaaslike	lokálny	plaaslik	lokálny	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
plaaslike	miestna	plaaslik	miestny	ADJ;NOM	ADJ;NOM;FEM;SG
plaaslike	lokálna	plaaslik	lokálny	ADJ;NOM	ADJ;NOM;FEM;SG
plaaslike	miestny	plaaslik	miestny	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
plaaslike	lokálne	plaaslik	lokálny	ADJ;NOM	ADJ;NOM;NEUT;SG
dikwels	častokrát	dikwels	častokrát	ADV	ADV
dikwels	často	dikwels	často	ADV	ADV
internasionale	medzinárodný	internasionaal	medzinárodný	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
internasionale	medzinárodná	internasionaal	medzinárodný	ADJ;NOM	ADJ;NOM;FEM;SG
internasionale	medzinárodné	internasionaal	medzinárodný	ADJ;NOM	ADJ;NOM;NEUT;SG
eie	vlastný	eie	vlastný	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
eie	vlastná	eie	vlastný	ADJ;NOM	ADJ;NOM;FEM;SG
eie	vlastné	eie	vlastný	ADJ;NOM	ADJ;NOM;NEUT;SG
voëls	vtáky	voël	vták	N;PL	N;INAN;NOM;MASC;PL
voëls	vtákov	voël	vták	N;PL	N;INAN;GEN;MASC;PL
voëls	vtáci	voël	vták	N;PL	N;ANIM;NOM;MASC;PL
steeds	stále	steeds	stále	ADV	ADV
groep	skupinu	groep	skupina	N;SG	N;ACC;FEM;SG
groep	skupina	groep	skupina	N;SG	N;NOM;FEM;SG
stel	nastaviť	stel	nastaviť	V;PRS	V;PFV;POS;NFIN
sluit	ukončiť	sluit	ukončiť	V;PRS	V;PFV;POS;NFIN
sluit	skončiť	sluit	skončiť	V;PRS	V;PFV;POS;NFIN
sluit	zatvoriť	sluit	zatvoriť	V;PRS	V;PFV;POS;NFIN
sluit	uzavrieť	sluit	uzavrieť	V;PRS	V;PFV;POS;NFIN
sluit	zavrieť	sluit	zavrieť	V;PRS	V;PFV;POS;NFIN
hoofstad	kapitál	hoofstad	kapitál	N;SG	N;INAN;NOM;MASC;SG
verwys	súvisieť	verwys	súvisieť	V;PRS	V;IPFV;POS;NFIN
verwys	týkajú	verwys	týkať	V;PRS	V;IPFV;IND;PL;3;POS;PRS;FIN
verwys	odvoláva	verwys	odvolávať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
verwys	odkazuje	verwys	odkazovať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
state	stavy	staat	stav	N;PL	N;NOM;FEM;PL
state	štáty	staat	štát	N;PL	N;INAN;NOM;MASC;PL
state	štátov	staat	štát	N;PL	N;INAN;GEN;MASC;PL
water	voda	water	voda	N;SG	N;NOM;FEM;SG
einde	koniec	einde	koniec	N;SG	N;INAN;NOM;MASC;SG
regering	vláda	regering	vláda	N;SG	N;NOM;FEM;SG
dae	dní	dag	deň	N;PL	N;INAN;GEN;MASC;PL
dae	dňoch	dag	deň	N;PL	N;INAN;GEN;MASC;PL
dae	dni	dag	deň	N;PL	N;INAN;NOM;MASC;PL
oorlog	vojna	oorlog	vojna	N;SG	N;NOM;FEM;SG
politieke	politická	politiek	politický	ADJ;NOM	ADJ;NOM;FEM;SG
politieke	politické	politiek	politický	ADJ;NOM	ADJ;NOM;NEUT;SG
politieke	politický	politiek	politický	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
besluit	rozhoduje	besluit	rozhodovať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
besluit	rozhodnúť	besluit	rozhodnúť	V;PRS	V;PFV;POS;NFIN
sommige	niektorých	sommige	niektorý	DET	DET;GEN;MASC;PL
sommige	niektoré	sommige	niektorý	DET	DET;NOM;NEUT;SG
sommige	niektorý	sommige	niektorý	DET	DET;ANIM;NOM;MASC;SG
sommige	niektorí	sommige	niektorý	DET	DET;ANIM;NOM;MASC;PL
geskiedenis	histórii	geskiedenis	história	N;SG	N;DAT;FEM;SG
geskiedenis	históriu	geskiedenis	história	N;SG	N;ACC;FEM;SG
geskiedenis	história	geskiedenis	história	N;SG	N;NOM;FEM;SG
vis	ryba	vis	ryba	N;SG	N;NOM;FEM;SG
vis	rybka	vis	rybka	N;SG	N;NOM;FEM;SG
plaas	uverejniť	plaas	uverejniť	V;PRS	V;PFV;POS;NFIN
wetenskaplike	vedecký	wetenskaplik	vedecký	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
wetenskaplike	vedecká	wetenskaplik	vedecký	ADJ;NOM	ADJ;NOM;FEM;SG
wetenskaplike	vedecké	wetenskaplik	vedecký	ADJ;NOM	ADJ;NOM;NEUT;SG
ontwikkel	rozvíjať	ontwikkel	rozvíjať	V;PRS	V;IPFV;POS;NFIN
ontwikkel	vyvíjať	ontwikkel	vyvíjať	V;PRS	V;IPFV;POS;NFIN
ontwikkel	vyvinúť	ontwikkel	vyvinúť	V;PRS	V;PFV;POS;NFIN
ontwikkel	rozvinúť	ontwikkel	rozvinúť	V;PRS	V;PFV;POS;NFIN
lande	krajinách	land	krajina	N;PL	N;GEN;FEM;PL
lande	krajín	land	krajina	N;PL	N;GEN;FEM;PL
lande	štáty	land	štát	N;PL	N;INAN;NOM;MASC;PL
lande	krajiny	land	krajina	N;PL	N;NOM;FEM;PL
seun	chlapček	seun	chlapček	N;SG	N;ANIM;NOM;MASC;SG
seun	chalan	seun	chalan	N;SG	N;ANIM;NOM;MASC;SG
seun	chlapec	seun	chlapec	N;SG	N;ANIM;NOM;MASC;SG
seun	syna	seun	syn	N;SG	N;ANIM;ACC;MASC;SG
seun	syn	seun	syn	N;SG	N;ANIM;NOM;MASC;SG
seun	synček	seun	synček	N;SG	N;ANIM;NOM;MASC;SG
algemene	všeobecne	algemeen	všeobecne	ADV	ADV
verskillende	rôzne	verskil	rôzny	ADJ;NOM	ADJ;NOM;NEUT;SG
belangrike	dôležití	belangrik	dôležitý	ADJ;NOM	ADJ;ANIM;NOM;MASC;PL
belangrike	dôležitá	belangrik	dôležitý	ADJ;NOM	ADJ;NOM;FEM;SG
belangrike	dôležité	belangrik	dôležitý	ADJ;NOM	ADJ;NOM;NEUT;SG
belangrike	dôležitý	belangrik	dôležitý	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
kinders	deti	kind	dieťa	N;PL	N;NOM;NEUT;PL
kinders	decká	kind	decko	N;PL	N;NOM;NEUT;PL
kinders	deti	kind	dieťa	N;PL	N;NOM;NEUT;PL
gedurende	počas	gedurende	počas	ADP	ADP;GEN
neem	brať	neem	brať	V;PRS	V;IPFV;POS;NFIN
neem	vziať	neem	vziať	V;PRS	V;PFV;POS;NFIN
neem	zober	neem	zober	V;PRS	V;PFV;IMP;SG;2;POS;FIN
neem	zoberte	neem	zoberiť	V;PRS	V;PFV;IMP;PL;2;POS;FIN
vertaal	prekladať	vertaal	prekladať	V;PRS	V;IPFV;POS;NFIN
vertaal	preložiť	vertaal	preložiť	V;PRS	V;PFV;POS;NFIN
munisipaliteit	samospráva	munisipaliteit	samosprávať	N;SG	N;NOM;FEM;SG
munisipaliteit	obec	munisipaliteit	obec	N;SG	N;NOM;FEM;SG
tans	teraz	tans	teraz	ADV	ADV
tans	momentálne	tans	momentálne	ADV	ADV
republiek	republike	republiek	republika	N;SG	N;DAT;FEM;SG
republiek	republika	republiek	republika	N;SG	N;NOM;FEM;SG
plek	miesto	plek	miesto	N;SG	N;NOM;NEUT;SG
plek	miesto	plek	miesto	N;SG	N;NOM;NEUT;SG
plek	place	plek	placať	N;SG	N;NOM;MASC;SG
ongeveer	približne	ongeveer	približne	ADV	ADV
europese	európske	europees	európsky	ADJ;NOM	ADJ;NOM;NEUT;SG
europese	európsky	europees	európsky	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
europese	európska	europees	európsky	ADJ;NOM	ADJ;NOM;FEM;SG
gehou	páčila	hou	páčiť	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
gehou	páčilo	hou	páčiť	V;PST;V.PTCP	V;IPFV;NEUT;SG;POS;PST;V.PTCP
tydperk	trvanie	tydperk	trvanie	N;SG	N;NOM;NEUT;SG
maande	mesiace	maand	mesiac	N;PL	N;INAN;NOM;MASC;PL
maande	mesiacov	maand	mesiac	N;PL	N;INAN;GEN;MASC;PL
skool	skola	skool	skola	N;SG	N;NOM;FEM;SG
skool	školu	skool	škola	N;SG	N;ACC;FEM;SG
skool	škola	skool	škola	N;SG	N;NOM;FEM;SG
vroeë	skoré	vroeg	skorý	ADJ;NOM	ADJ;NOM;NEUT;SG
familie	rodinka	familie	rodinka	N;SG	N;NOM;FEM;SG
familie	rodine	familie	rodina	N;SG	N;DAT;FEM;SG
familie	family	familie	famila	N;SG	N;NOM;FEM;SG
familie	rodina	familie	rodina	N;SG	N;NOM;FEM;SG
voorkom	zabrániť	voorkom	zabrániť	V;PRS	V;PFV;POS;NFIN
voorkom	predísť	voorkom	predísť	V;PRS	V;PFV;POS;NFIN
voorkom	predchádzať	voorkom	predchádzať	V;PRS	V;IPFV;POS;NFIN
eiland	ostrove	eiland	ostrov	N;SG	N;INAN;NOM;MASC;SG
eiland	ostrov	eiland	ostrov	N;SG	N;INAN;NOM;MASC;SG
volg	sledovať	volg	sledovať	V;PRS	V;IPFV;POS;NFIN
volg	sledujte	volg	sledovať	V;PRS	V;IPFV;IMP;PL;2;POS;FIN
volg	nasledovať	volg	nasledovať	V;PRS	V;IPFV;POS;NFIN
volg	sledovať	volg	sledovať	V;PRS	V;IPFV;POS;NFIN
vyf	päť	vyf	päť	NUM	NUM;NOM;NEUT;SG
vyf	piati	vyf	piati	NUM	NUM;ANIM;NOM;MASC;PL
sonder	bez	sonder	bez	ADP	ADP;GEN
ontwerp	navrhnúť	ontwerp	navrhnúť	V;PRS	V;PFV;POS;NFIN
aarde	zemi	aarde	zem	N;SG	N;DAT;FEM;SG
aarde	zem	aarde	zem	N;SG	N;NOM;FEM;SG
gee	dať	gee	dať	V;PRS	V;POS;NFIN
gee	daj	gee	dať	V;PRS	V;IPFV;IMP;SG;2;POS;FIN
gee	dajte	gee	dajte	V;PRS	V;PFV;IMP;PL;2;POS;FIN
kry	získať	kry	získať	V;PRS	V;PFV;POS;NFIN
kry	dostať	kry	dostať	V;PRS	V;PFV;POS;NFIN
rol	úlohu	rol	úloha	N;SG	N;ACC;FEM;SG
rol	rola	rol	rol	N;SG	N;NOM;FEM;SG
rol	úloha	rol	úloha	N;SG	N;NOM;FEM;SG
rol	roll	rol	roll	N;SG	N;INAN;NOM;MASC;SG
vrou	žena	vrou	žena	N;SG	N;NOM;FEM;SG
vrou	manželku	vrou	manželka	N;SG	N;ACC;FEM;SG
vrou	žena	vrou	žena	N;SG	N;NOM;FEM;SG
vrou	manželka	vrou	manželka	N;SG	N;NOM;FEM;SG
gebiede	územia	gebied	územie	N;PL	N;NOM;NEUT;PL
gebiede	plochy	gebied	plocha	N;PL	N;NOM;FEM;PL
gebiede	oblasti	gebied	oblasť	N;PL	N;NOM;FEM;PL
derde	tretia	derde	tretí	ADJ;NOM	ADJ;NOM;FEM;SG
derde	tretí	derde	tretí	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
derde	tretie	derde	tretí	ADJ;NOM	ADJ;NOM;NEUT;SG
dag	deň	dag	deň	N;SG	N;INAN;NOM;MASC;SG
dag	dňa	dag	deň	N;SG	N;INAN;GEN;MASC;SG
woord	slovo	woord	slovo	N;SG	N;NOM;NEUT;SG
woord	slovom	woord	slovo	N;SG	N;INS;NEUT;SG
president	prezidentka	president	prezidentka	N;SG	N;NOM;FEM;SG
president	prezident	president	prezident	N;SG	N;ANIM;NOM;MASC;SG
president	predseda	president	predseda	N;SG	N;ANIM;NOM;MASC;SG
president	prezidenta	president	prezident	N;SG	N;ANIM;ACC;MASC;SG
koninkryk	kráľovstvo	koninkryk	kráľovstvo	N;SG	N;NOM;NEUT;SG
tale	jazyky	taal	jazyk	N;PL	N;INAN;NOM;MASC;PL
tale	jazykoch	taal	jazyk	N;PL	N;INAN;GEN;MASC;PL
tale	jazykov	taal	jazyk	N;PL	N;INAN;GEN;MASC;PL
ontvang	prijímať	ontvang	prijímať	V;PRS	V;IPFV;POS;NFIN
ontvang	prijímajú	ontvang	prijímať	V;PRS	V;IPFV;IND;PL;3;POS;PRS;FIN
ontvang	dostávať	ontvang	dostávať	V;PRS	V;IPFV;POS;NFIN
ontvang	prijať	ontvang	prijať	V;PRS	V;PFV;POS;NFIN
amerika	amerika	amerika	amerika	N;SG	N;NOM;FEM;SG
amerika	amerike	amerika	amerika	N;SG	N;DAT;FEM;SG
amerika	ameriku	amerika	amerika	N;SG	N;ACC;FEM;SG
hoewel	hoci	hoewel	hoci	CONJ	CONJ
webwerf	web	webwerf	web	N;SG	N;INAN;NOM;MASC;SG
webwerf	webe	webwerf	wiaba	N;SG	N;INAN;NOM;MASC;SG
staat	štátu	staat	štát	N;SG	N;INAN;GEN;MASC;SG
staat	štát	staat	štát	N;SG	N;INAN;NOM;MASC;SG
staat	list	staat	list	N;SG	N;INAN;NOM;MASC;SG
staat	plech	staat	plech	N;SG	N;INAN;NOM;MASC;SG
staat	výtlačok	staat	výtlačok	N;SG	N;INAN;NOM;MASC;SG
vandag	dnes	vandag	dnes	ADV	ADV
daardie	tie	daardie	ten	DET	DET;INAN;NOM;MASC;PL
daardie	tí	daardie	ten	DET	DET;ANIM;NOM;MASC;PL
daardie	tých	daardie	ten	DET	DET;ANIM;GEN;MASC;PL
ekonomiese	hospodárska	ekonomies	hospodársky	ADJ;NOM	ADJ;NOM;FEM;SG
ekonomiese	ekonomické	ekonomies	ekonomický	ADJ;NOM	ADJ;NOM;NEUT;SG
ekonomiese	hospodárske	ekonomies	hospodársky	ADJ;NOM	ADJ;NOM;NEUT;SG
ekonomiese	ekonomická	ekonomies	ekonomický	ADJ;NOM	ADJ;NOM;FEM;SG
ekonomiese	ekonomický	ekonomies	ekonomický	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
ekonomiese	hospodársky	ekonomies	hospodársky	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
aanvaar	akceptovať	aanvaar	akceptovať	V;PRS	V;IPFV;POS;NFIN
aanvaar	prijať	aanvaar	prijať	V;PRS	V;PFV;POS;NFIN
hou	podržať	hou	podržať	V;PRS	V;PFV;POS;NFIN
hou	držte	hou	držt	V;PRS	V;IPFV;IMP;PL;2;POS;FIN
hou	držať	hou	držať	V;PRS	V;IPFV;POS;NFIN
hou	držať	hou	držať	V;PRS	V;IPFV;POS;NFIN
hou	uchovávať	hou	uchovávať	V;PRS	V;IPFV;POS;NFIN
hou	majte	hou	mať	V;PRS	V;IPFV;IMP;PL;2;POS;FIN
hou	ponechať	hou	ponechať	V;PRS	V;PFV;POS;NFIN
hou	zachovať	hou	zachovať	V;PRS	V;PFV;POS;NFIN
geskryf	napísal	skryf	napísať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
geskryf	napísali	skryf	napísať	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
geskryf	spálil	skryf	spáliť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
hele	celý	heel	celý	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
hele	celé	heel	celý	ADJ;NOM	ADJ;NOM;NEUT;SG
hele	celý	heel	celý	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
hele	celé	heel	celý	ADJ;NOM	ADJ;NOM;NEUT;SG
hele	celá	heel	celý	ADJ;NOM	ADJ;NOM;FEM;SG
bevat	obsahuje	bevat	obsahovať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
skrywer	spisovateľ	skrywer	spisovateľ	N;SG	N;ANIM;NOM;MASC;SG
