kategória	kategorie	kategória	kategorie	N;NOM;FEM;SG	N;NOM;FEM;SG
vývoj	entwicklung	vývoj	entwicklung	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
najnižší	unterste	žízky	unter	ADJ;INAN;NOM;RL;MASC;SG	ADJ
najnižší	tiefste	žízky	tief	ADJ;INAN;NOM;RL;MASC;SG	ADJ;NOM;FEM;SG
nasledujúci	folgenden	nasledujúci	folgend	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
nasledujúci	folgend	nasledujúci	folgend	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
nasledujúci	nächstes	nasledujúci	nah	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;NOM;NEUT;SG
nasledujúci	nächster	nasledujúci	nah	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
zobrazuje	zeigt	zobrazovať	zeigen	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
zobrazuje	zeigt	zobrazovať	zeigen	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
keď	wenn	keď	wenn	CONJ	CONJ
nie	nicht	nie	nicht	PART	PART;NEG
úmrtia	todesfälle	úmrtie	todesfall	N;NOM;NEUT;PL	N;NOM;FEM;PL
úmrtia	todesfälle	úmrtie	todesfall	N;NOM;NEUT;PL	N;NOM;FEM;PL
neskôr	nachher	neskôr	nachher	ADV	ADV
slovenský	slowakisch	slovenský	slowakisch	ADJ;ANIM;NOM;MASC;SG	ADJ
slovenský	slowakisch	slovenský	slowakisch	ADJ;ANIM;NOM;MASC;SG	ADJ
nad	über	nad	über	ADP;INS	ADP
stránka	seite	stránka	seit	N;NOM;FEM;SG	N
stránka	website	stránka	websit	N;NOM;FEM;SG	N;SG
stránka	seite	stránka	seit	N;NOM;FEM;SG	N
skupiny	gruppen	skupina	grappen	N;NOM;FEM;PL	N;NOM;FEM;PL
skupiny	gruppen	skupina	grappen	N;NOM;FEM;PL	N;NOM;FEM;PL
skupina	gruppe	skupina	grappe	N;NOM;FEM;SG	N;NOM;FEM;SG
skupina	gruppierung	skupina	gruppierung	N;NOM;FEM;SG	N;NOM;FEM;SG
skupina	unternehmensgruppe	skupina	unternehmensgruppe	N;NOM;FEM;SG	N;NOM;FEM;SG
veľmi	sehr	veľmi	sehr	ADV	ADV
veľmi	äußerst	veľmi	äußerst	ADV	ADV
potom	dann	potom	dann	ADV	ADV
potom	damals	potom	damals	ADV	ADV
potom	danach	potom	danach	ADV	ADV
oficiálna	beamter	oficiálny	beamt	ADJ;NOM;FEM;SG	ADJ
oficiálna	offizielles	oficiálny	offiziell	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
oficiálna	offizieller	oficiálny	offiziell	ADJ;NOM;FEM;SG	ADJ
oficiálna	offiziellen	oficiálny	offiziell	ADJ;NOM;FEM;SG	ADJ
osobnosti	persönlichkeiten	osobnosť	persönlichkeit	N;NOM;FEM;PL	N;NOM;FEM;PL
súbor	akten	súbor	akt	N;INAN;NOM;MASC;SG	N
mal	hatte	mať	haben	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
proti	gegen	proti	gegen	ADP;DAT	ADP
bez	ohne	bez	ohne	ADP;GEN	ADP
názov	stückelung	názov	stückelung	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
názov	name	názov	Name	N;INAN;NOM;MASC;SG	N;NOM;SG
okolo	um	okolo	um	ADP;GEN	ADP
prvý	erster	prvý	erst	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
slovenskej	slowakisch	slovenský	slowakisch	ADJ;GEN;FEM;SG	ADJ
spolu	insgesamt	spolu	insgesamt	ADV	ADV
spolu	zusammen	spolu	zusammen	ADV	ADV
preto	deshalb	preto	deshalb	ADV	ADV
preto	somit	preto	somit	ADV	ADV
preto	daher	preto	daher	ADV	ADV
preto	deshalb	preto	deshalb	ADV	ADV
preto	darum	preto	darum	ADV	ADV
preto	somit	preto	somit	ADV	ADV
preto	daher	preto	daher	ADV	ADV
okrem	außer	okrem	außer	ADP;GEN	ADP
americký	amerikaner	americký	amerikaner	ADJ;ANIM;NOM;MASC;SG	ADJ
americký	amerikanisches	americký	amerikanisch	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
americký	amerikanisch	americký	amerikanisch	ADJ;ANIM;NOM;MASC;SG	ADJ
cez	über	cez	über	ADP;ACC	ADP
cez	per	cez	per	ADP;ACC	ADP
cez	durch	cez	durch	ADP;ACC	ADP
objavil	entdeckte	objaviť	entdecken	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
objavil	gefunden	objaviť	finden	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
objavil	herausgefunden	objaviť	herausfinden	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
objavil	entdeckt	objaviť	entdecken	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
vojny	krieg	vojna	kriegen	N;NOM;FEM;PL	N
vojny	krieg	vojna	kriegen	N;NOM;FEM;PL	N
rok	jahr	rok	Jahr	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
rok	jahres	rok	jahres	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
majú	haben	mať	haben	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;PL;3;FIN
mestá	gemeinden	mesto	gemeinden	N;NOM;NEUT;PL	N;NOM;FEM;PL
mestá	städte	mesto	staden	N;NOM;NEUT;PL	N;NOM;FEM;PL
mestá	städte	mesto	staden	N;NOM;NEUT;PL	N;NOM;FEM;PL
žije	lebt	žiť	leben	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
žije	wohnt	žiť	wohnen	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
český	tschechien	český	tschechen	ADJ;ANIM;NOM;MASC;SG	ADJ
český	tschechisch	český	tschechisch	ADJ;ANIM;NOM;MASC;SG	ADJ
často	oft	často	oft	ADV	ADV
často	oft	často	oft	ADV	ADV
často	oftmals	často	oftmals	ADV	ADV
dnes	heute	dnes	heute	ADV	ADV
pretože	weil	pretože	weil	CONJ	CONJ
nové	neuer	nový	neu	ADJ;NOM;NEUT;SG	ADJ
nové	neu	nový	neu	ADJ;NOM;NEUT;SG	ADJ
nové	neues	nový	neu	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
štátu	staat	štát	staaen	N;INAN;GEN;MASC;SG	N
ďalšie	zusätzliches	ďalší	zusätzlich	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	zusätzlich	ďalší	zusätzlich	ADJ;NOM;NEUT;SG	ADJ
ďalšie	zusätzlichen	ďalší	zusätzlich	ADJ;NOM;NEUT;SG	ADJ
ďalšie	nächstes	ďalší	nah	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	nächster	ďalší	nah	ADJ;NOM;NEUT;SG	ADJ
ďalšie	sonstiges	ďalší	sonstig	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	anderes	ďalší	ander	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	weiteres	ďalší	weit	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ďalšie	weiterer	ďalší	weit	ADJ;NOM;NEUT;SG	ADJ
ďalšie	weiteres	ďalší	weit	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
meno	name	meno	Name	N;NOM;NEUT;SG	N;NOM;SG
dve	zwei	dva	zwei	NUM;NOM;FEM;PL	NUM
dva	zwei	dva	zwei	NUM;INAN;NOM;MASC;PL	NUM
mala	hatte	mať	haben	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
približne	etwa	približne	etwa	ADV	ADV
približne	ungefähr	približne	ungefähr	ADV	ADV
približne	ungefähr	približne	ungefähr	ADV	ADV
prvé	erster	prvý	erst	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
tri	drei	tri	drei	NUM;INAN;NOM;MASC;PL	NUM
začal	begonnen	začať	beginnen	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
začal	angefangen	začať	anfangen	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
začal	begann	začať	beginnen	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
začal	gestartet	začať	starten	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
začal	begonnen	začať	beginnen	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
začal	begann	začať	beginnen	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
stránke	seite	stránka	seit	N;DAT;FEM;SG	N
film	kino	film	kino	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
spoločnosti	konzerne	spoločnosť	konzern	N;NOM;FEM;PL	N;NOM;PL
spoločnosti	unternehmen	spoločnosť	unternehmen	N;NOM;FEM;PL	N;NOM;NEUT;PL
spoločnosti	unternehmen	spoločnosť	unternehmen	N;NOM;FEM;PL	N;NOM;NEUT;PL
mali	hatten	mať	haben	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;IND;PL;3;PST;FIN
patrí	gehört	patriť	gehören	V;IPFV;IND;SG;3;POS;PRS;FIN	V;V.PTCP
patrí	hingehört	patriť	hingehören|hinhören	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
slovenská	slowakisch	slovenský	slowakisch	ADJ;NOM;FEM;SG	ADJ
strany	vertragsparteien	strana	vertragspartei	N;NOM;FEM;PL	N;NOM;FEM;PL
strany	parteien	strana	partei	N;NOM;FEM;PL	N;NOM;FEM;PL
prvá	erster	prvý	erst	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
nemecký	deutschen	nemecký	deutsch	ADJ;ANIM;NOM;MASC;SG	ADJ
nemecký	deutscher	nemecký	deutsch	ADJ;ANIM;NOM;MASC;SG	ADJ
nemecký	deutsch	nemecký	deutsch	ADJ;ANIM;NOM;MASC;SG	ADJ
hlavne	besonders	hlavne	besonders	ADV	ADV
hlavne	vorallem	hlavne	vorallem	ADV	ADV
hlavne	insbesondere	hlavne	insbesondere	ADV	ADV
hlavne	meistens	hlavne	meistens	ADV	ADV
hlavne	meist	hlavne	meist	ADV	ADV
hlavne	größtenteils	hlavne	größtenteils	ADV	ADV
rod	stäbe	rod	staben	N;ANIM;NOM;MASC;SG	N;NOM
bude	werden	byť	werden	V;IPFV;IND;SG;3;POS;FUT;FIN	V;NFIN;PASS
republiky	republiken	republika	republik	N;NOM;FEM;PL	N;NOM;PL
ženy	weibchen	žena	weibchen	N;NOM;FEM;PL	N;NOM;FEM;PL
ďalej	weiter	ďalej	weiter	ADV	ADV
územia	territorien	územie	territorien	N;NOM;NEUT;PL	N;NOM;PL
systém	system	systém	system	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
ide	gehe	ísť	gehen	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
ide	gehen	ísť	gehen	V;IPFV;IND;SG;3;POS;PRS;FIN	V;NFIN
ide	geht	ísť	gehen	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
góly	tore	góla	tor	N;NOM;FEM;PL	N;NOM;NEUT;PL
góly	ziele	góla	ziel	N;NOM;FEM;PL	N;NOM;NEUT;PL
pôvodne	anfangs	pôvodne	anfangs	ADV	ADV
známy	bekannter	známy	bekannter	ADJ;ANIM;NOM;MASC;SG	ADJ
známy	bekannt	známy	bekennen	ADJ;ANIM;NOM;MASC;SG	ADJ
známy	bekanntschaft	známy	bekanntschaft	ADJ;ANIM;NOM;MASC;SG	ADJ
známy	bekannter	známy	bekannter	ADJ;ANIM;NOM;MASC;SG	ADJ
veľkosť	größe	veľkosť	groß	N;NOM;FEM;SG	N;NOM;FEM;SG
klub	club	klub	club	N;INAN;NOM;MASC;SG	N;NOM
klub	klub	klub	klub	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
slovenské	slowakisch	slovenský	slowakisch	ADJ;NOM;NEUT;SG	ADJ
možné	möglichen	možný	möglich	ADJ;NOM;NEUT;SG	ADJ
možné	möglicher	možný	möglich	ADJ;NOM;NEUT;SG	ADJ
možné	möglich	možný	möglich	ADJ;NOM;NEUT;SG	ADJ
zomrel	verstorben	zomrieť	versterben	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
zomrel	gestorben	zomrieť	sterben	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;V.PTCP
zomrel	starb	zomrieť	sterben	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
hudobné	musikalisch	hudobný	musikalisch	ADJ;NOM;NEUT;SG	ADJ
hudobné	musikalisches	hudobný	musikalisch	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
hry	spiele	hra	spiel	N;NOM;FEM;PL	N;NOM;NEUT;PL
veľký	groß	veľký	groß	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	großer	veľký	groß	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	groß	veľký	groß	ADJ;ANIM;NOM;MASC;SG	ADJ
veľký	großes	veľký	groß	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
kráľ	könig	kráľ	könig	N;ANIM;NOM;MASC;SG	N;NOM;SG
hráči	spielern	hráčiť	spielern	N;ANIM;NOM;MASC;PL	N;PL
vlády	staat	vláda	staaen	N;NOM;FEM;PL	N
zároveň	zugleich	zároveň	zugleich	ADV	ADV
napriek	trotz	napriek	trotz	ADP;DAT	ADP
napriek	trotz	napriek	trotz	ADP;DAT	ADP
mieste	website	miesto	websit	N;NOM;NEUT;SG	N;SG
mieste	seite	miesto	seit	N;NOM;NEUT;SG	N
tam	dort	tam	dort	ADV	ADV
tam	dorthin	tam	dorthin	ADV	ADV
tam	da	tam	da	ADV	ADV
spoločnosť	firma	spoločnosť	firma	N;NOM;FEM;SG	N;NOM;FEM;SG
oblasť	fläche	oblasť	fläche	N;NOM;FEM;SG	N;NOM;FEM;SG
štadión	stadion	štadión	stadion	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
štadión	stadions	štadión	stadions	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
muži	männer	muž	männer	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
muži	männchen	muž	männchen	N;ANIM;NOM;MASC;PL	N;NOM;PL
muži	männer	muž	männer	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
muži	herren	muž	herr	N;ANIM;NOM;MASC;PL	N;NOM;PL
národné	nationaler	národný	national	ADJ;NOM;NEUT;SG	ADJ
národné	nationalen	národný	national	ADJ;NOM;NEUT;SG	ADJ;NOM
národné	national	národný	national	ADJ;NOM;NEUT;SG	ADJ
syn	sohn	syn	sohnen	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
veľké	groß	veľký	groß	ADJ;NOM;NEUT;SG	ADJ
veľké	großer	veľký	groß	ADJ;NOM;NEUT;SG	ADJ
veľké	groß	veľký	groß	ADJ;NOM;NEUT;SG	ADJ
veľké	großes	veľký	groß	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
nový	neuer	nový	neu	ADJ;ANIM;NOM;MASC;SG	ADJ
nový	neu	nový	neu	ADJ;ANIM;NOM;MASC;SG	ADJ
nový	neues	nový	neu	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
obsahuje	enthält	obsahovať	enthalten	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
obsahuje	beinhaltet	obsahovať	beinhalten	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;PRS;FIN
správa	bericht	správa	berechen	N;NOM;FEM;SG	N
správa	mitteilung	správa	mitteilung	N;NOM;FEM;SG	N;FEM;SG
štát	staat	štát	staaen	N;INAN;NOM;MASC;SG	N
cesta	trasse	cesta	trassen	N;NOM;FEM;SG	N
cesta	strecke	cesta	strecken	N;NOM;FEM;SG	N;SG
krajiny	länder	krajina	land	N;NOM;FEM;PL	N;NOM;NEUT;PL
krajiny	ländern	krajina	ländern	N;NOM;FEM;PL	N;PL
začala	begonnen	začať	beginnen	V;PFV;FEM;SG;POS;PST;V.PTCP	V;V.PTCP
začala	angefangen	začať	anfangen	V;PFV;FEM;SG;POS;PST;V.PTCP	V;V.PTCP
začala	begann	začať	beginnen	V;PFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
začala	gestartet	začať	starten	V;PFV;FEM;SG;POS;PST;V.PTCP	V;V.PTCP
začala	begonnen	začať	beginnen	V;PFV;FEM;SG;POS;PST;V.PTCP	V;V.PTCP
začala	begann	začať	beginnen	V;PFV;FEM;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
žilo	gelebt	žiť	peben	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;V.PTCP
žilo	lebte	žiť	leben	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IND;SG;3;PST;FIN
číslo	anzahl	číslo	anzahl	N;NOM;NEUT;SG	N;SG
číslo	zahl	číslo	zahl	N;NOM;NEUT;SG	N;NOM;FEM;SG
typ	art	typ	art	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
rôznych	verschieden	rôzny	verschieden	ADJ;GEN;MASC;PL	ADJ
spojené	vereinigtes	spojený	vereinigt	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;NEUT;SG
práve	gerade	práve	gerade	ADV	ADV
práve	eben	práve	eben	ADV	ADV
práve	nur	práve	nur	ADV	ADV
práve	einfach	práve	einfach	ADV	ADV
hlavné	wichtigste	hlavný	wichtig	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
galaxia	milchstraße	galaxia	milchstraße	N;NOM;FEM;SG	N;NOM;FEM;SG
vrátane	darunter	vrátane	darunter	ADV	ADV
troch	drei	tri	drei	NUM;GEN;MASC;PL	NUM
postupne	stufenweise	postupne	stufenweise	ADV	ADV
veľká	groß	veľký	groß	ADJ;NOM;FEM;SG	ADJ
veľká	großer	veľký	groß	ADJ;NOM;FEM;SG	ADJ
veľká	groß	veľký	groß	ADJ;NOM;FEM;SG	ADJ
veľká	großes	veľký	groß	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
množstvo	betrag	množstvo	betragen	N;NOM;NEUT;SG	N
množstvo	anzahl	množstvo	anzahl	N;NOM;NEUT;SG	N;SG
množstvo	menge	množstvo	mengen	N;NOM;NEUT;SG	N;NOM;FEM;SG
opäť	wieder	opäť	wieder	ADV	ADV
otec	vater	otec	vater	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
otec	vater	otec	vater	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
podobne	ebenso	podobne	ebenso	ADV	ADV
podobne	ebenfalls	podobne	ebenfalls	ADV	ADV
podobne	gleichfalls	podobne	gleichfalls	ADV	ADV
stránky	standorte	stránka	standort	N;NOM;FEM;PL	N;NOM
diela	bauleistungen	dielo	bauleistung	N;NOM;NEUT;PL	N;NOM;FEM;PL
diela	werke	dielo	werk	N;NOM;NEUT;PL	N;NOM;NEUT;PL
poloha	ort	poloha	ort	N;NOM;FEM;SG	N;NOM;MASC;SG
poloha	standorte	poloha	standort	N;NOM;FEM;SG	N;NOM
niekedy	manchmal	niekedy	manchmal	ADV	ADV
niekedy	mitunter	niekedy	mitunter	ADV	ADV
niekedy	zuweilen	niekedy	zuweilen	ADV	ADV
niekedy	irgendwann	niekedy	irgendwann	ADV	ADV
deň	tag	deň	tagen	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
deň	tages	deň	tagen	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
druhý	zweiter	druhý	zweit	ADJ;INAN;NOM;MASC;SG	ADJ
články	satzung	článok	satzung	N;INAN;NOM;MASC;PL	N
vtedy	dann	vtedy	dann	ADV	ADV
vtedy	damals	vtedy	damals	ADV	ADV
vtedy	danach	vtedy	danach	ADV	ADV
celý	gesamte	celý	gesamt	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
celý	ganzes	celý	ganz	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
obyvateľstva	einwohner	obyvateľstvo	einwohner	N;NOM;NEUT;PL	N;NOM;MASC;PL
členovia	mitgliedern	člen	mitgliedern	N;ANIM;NOM;MASC;PL	N;NOM;NEUT;PL
členovia	mitglieder	člen	mitglied	N;ANIM;NOM;MASC;PL	N;NOM;NEUT;PL
stále	noch	stále	noch	ADV	ADV
stále	trotzdem	stále	trotzdem	ADV	ADV
jednotky	einheiten	jednotka	einheit	N;NOM;FEM;PL	N;PL
jednotky	soldaten	jednotka	soldat	N;NOM;FEM;PL	N;PL
priemerný	durchschnittlich	priemerný	durchschnittlich	ADJ;INAN;NOM;MASC;SG	ADJ
priemerný	mittelmäßig	priemerný	mittelmäßig	ADJ;INAN;NOM;MASC;SG	ADJ
diskusia	diskussion	diskusi	diskussion	N;NOM;FEM;SG	N
diskusia	diskussion	diskusi	diskussion	N;NOM;FEM;SG	N
hudobný	musikalisch	hudobný	musikalisch	ADJ;ANIM;NOM;MASC;SG	ADJ
hudobný	musikalisches	hudobný	musikalisch	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
začali	begonnen	začať	beginnen	V;PFV;MASC;PL;POS;PST;V.PTCP	V;V.PTCP
začali	angefangen	začať	anfangen	V;PFV;MASC;PL;POS;PST;V.PTCP	V;V.PTCP
začali	gestartet	začať	starten	V;PFV;MASC;PL;POS;PST;V.PTCP	V;V.PTCP
začali	begonnen	začať	beginnen	V;PFV;MASC;PL;POS;PST;V.PTCP	V;V.PTCP
začali	begannen	začať	beginnen	V;PFV;MASC;PL;POS;PST;V.PTCP	V;IND;PL;3;PST;FIN
strana	seite	strana	seit	N;NOM;FEM;SG	N
strana	seite	strana	seit	N;NOM;FEM;SG	N
taktiež	ausserdem	taktiež	ausserdem	ADV	ADV
taktiež	ebenso	taktiež	ebenso	ADV	ADV
taktiež	außerdem	taktiež	außerdem	ADV	ADV
taktiež	ebenfalls	taktiež	ebenfalls	ADV	ADV
taktiež	auch	taktiež	auch	ADV	ADV
obdobia	perioden	obdobie	perioden	N;NOM;NEUT;PL	N;PL
autor	autor	autor	autor	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
popis	beschreibung	popis	Beschreibung	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
pravdepodobne	wohl	pravdepodobne	wohl	ADV	ADV
nová	neuer	nový	neu	ADJ;NOM;FEM;SG	ADJ
nová	neu	nový	neu	ADJ;NOM;FEM;SG	ADJ
nová	neues	nový	neu	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
rieky	flüsse	rieka	flüssen	N;NOM;FEM;PL	N;NOM;MASC;PL
rieky	flüssen	rieka	flüssen	N;NOM;FEM;PL	N;NOM;FEM;PL
rôzne	verschieden	rôzny	verschieden	ADJ;NOM;NEUT;SG	ADJ
rôzne	verschieden	rôzny	verschieden	ADJ;NOM;NEUT;SG	ADJ
rôzne	unterschiedlich	rôzny	unterschiedlich	ADJ;NOM;NEUT;SG	ADJ
rôzne	verschiedenes	rôzny	verschieden	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
rôzne	sonstiges	rôzny	sonstig	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
rôzne	verschiedenes	rôzny	verschieden	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
obdobie	periode	obdobie	periode	N;NOM;NEUT;SG	N;SG
