partigiani	partisaner	partigiano	partisan	N;MASC;PL	N;INDF;MASC+FEM;PL
terribile	frygtelig	terribile	frygtelig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
terribile	forfærdelig	terribile	forfærdelig	ADJ;SG	ADJ;INDF;MASC+FEM;SG
hell	helvede	hell	helvede	N	N;INDF;NEUT;SG
kiss	kys	kiss	kys	N	N;INDF;NEUT;SG
gestita	styret	gestire	styre	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gestita	administreret	gestire	administrere	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gestita	forvaltet	gestire	forvalte	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
gestita	lykkedes	gestire	lykkes	V;FEM;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
gestita	håndteret	gestire	håndtere	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
topolino	musse	topolino	musse	N;MASC;SG	N;INDF;MASC+FEM;SG
topolino	musen	topolino	mus	N;MASC;SG	N;DEF;MASC+FEM;SG
topolino	mus	topolino	mus	N;MASC;SG	N;INDF;MASC+FEM;SG
sedici	seksten	sedici	sekst	NUM	NUM
anticipo	forhånd	anticipo	forhånd	N;MASC;SG	N;INDF;MASC+FEM;SG
anticipo	forskud	anticipo	forskud	N;MASC;SG	N;INDF;NEUT;SG
anticipo	forudbetaling	anticipo	forudbetaling	N;MASC;SG	N;INDF;MASC+FEM;SG
philadelphia	philadelphia	philadelphia	philadelphia	N;FEM;SG	N;INDF;MASC+FEM;SG
crimine	kriminalitet	crimine	kriminalitet	N;MASC;SG	N;INDF;MASC+FEM;SG
crimine	forbrydelse	crimine	forbrydelse	N;MASC;SG	N;INDF;MASC+FEM;SG
ispirata	inspireret	ispirare	inspirere	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
empire	imperiet	empire	imperi	N;SG	N;DEF;NEUT;SG
empire	imperium	empire	imperium	N;SG	N;INDF;NEUT;SG
teatri	teatre	teatro	teater	N;MASC;PL	N;INDF;NEUT;PL
teatri	biografer	teatro	biograf	N;MASC;PL	N;INDF;MASC+FEM;PL
teatri	teatre	teatro	teater	N;MASC;PL	N;INDF;NEUT;PL
taglia	klippet	taglia	klippe	N;FEM;SG	N;DEF;NEUT;SG
taglia	snit	taglia	snit	N;FEM;SG	N;INDF;NEUT;SG
taglia	klip	taglia	klip	N;FEM;SG	N;INDF;NEUT;SG
taglia	størrelse	taglia	størrelse	N;FEM;SG	N;INDF;MASC+FEM;SG
taglia	størrelsen	taglia	størrelse	N;FEM;SG	N;DEF;MASC+FEM;SG
orange	appelsin	orangia	appelsin	N;FEM;SG	N;INDF;MASC+FEM;SG
riposo	hvil	riposo	hvil	N;MASC;SG	N;INDF;NEUT;SG
intensa	intens	intenso	intens	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
laser	laseren	laser	laser	N;MASC	N;DEF;MASC+FEM;SG
laser	laser	laser	lase	N;MASC	N;INDF;MASC+FEM;PL
laser	lasere	laser	las	N;MASC	N;INDF;MASC+FEM;PL
mentale	psykisk	mentale	psykisk	ADJ;SG	ADJ;INDF;SG
allenamento	træning	allenamento	træning	N;MASC;SG	N;INDF;MASC+FEM;SG
allenamento	træning	allenamento	træning	N;MASC;SG	N;INDF;MASC+FEM;SG
allenamento	praksis	allenamento	praksis	N;MASC;SG	N;INDF;MASC+FEM;SG
allenamento	øvelse	allenamento	øvelse	N;MASC;SG	N;INDF;MASC+FEM;SG
ritratti	portrætter	ritratto	portrætte	N;MASC;PL	N;INDF;MASC+FEM;PL
sergente	sergent	sergente	sergent	N;MASC;SG	N;INDF;MASC+FEM;SG
sergente	sergenten	sergente	sergent	N;MASC;SG	N;DEF;MASC+FEM;SG
sergente	sergent	sergente	sergent	N;MASC;SG	N;INDF;MASC+FEM;SG
sergente	sergeant	sergente	sergeant	N;MASC;SG	N;INDF;MASC+FEM;SG
divenire	blive	divenire	blive	V;NFIN	V;NFIN;ACT
invenzione	opfindelsen	invenzione	opfindelse	N;FEM;SG	N;DEF;MASC+FEM;SG
invenzione	opfindelse	invenzione	opfindelse	N;FEM;SG	N;INDF;MASC+FEM;SG
ristorante	restaurant	ristorante	restaurant	N;MASC;SG	N;INDF;MASC+FEM;SG
marchi	brands	marchio	brands	N;MASC;PL	N;INDF;NEUT;PL
marchi	mærker	marchio	mærke	N;MASC;PL	N;INDF;NEUT;PL
marchi	varemærker	marchio	varemærke	N;MASC;PL	N;INDF;NEUT;PL
marchi	mærker	marchio	mærke	N;MASC;PL	N;INDF;NEUT;PL
borghese	borghese	borghese	borghese	N;MASC;SG	N;INDF;MASC+FEM;SG
channel	kanal	channel	kanal	N;MASC	N;INDF;MASC+FEM;SG
channel	kanalen	channel	kanal	N;MASC	N;DEF;MASC+FEM;SG
indipendentemente	uafhængigt	indipendentemente	uafhængig	ADV	ADV
polemiche	kontroverser	polemica	kontrovers	N;FEM;PL	N;INDF;MASC+FEM;PL
polemiche	kontroverser	polemica	kontrovers	N;FEM;PL	N;INDF;MASC+FEM;PL
tentare	friste	tentare	friste	V;NFIN	V;NFIN;ACT
antologia	antologi	antologia	antologi	N;FEM;SG	N;INDF;MASC+FEM;SG
historia	historia	historia	historia	N;FEM;SG	N;INDF;MASC+FEM;SG
ritardo	forsinkelse	ritardo	forsinkelse	N;MASC;SG	N;INDF;MASC+FEM;SG
fauna	fauna	fauna	fauna	N;FEM;SG	N;INDF;MASC+FEM;SG
cancro	kræft	cancro	kræft	N;MASC;SG	N;INDF;MASC+FEM;SG
cancro	cancer	cancro	cance	N;MASC;SG	N;INDF;MASC+FEM;SG
cancro	kræften	cancro	kraft	N;MASC;SG	N;DEF;MASC+FEM;SG
louise	louise	louiso	louis	N;FEM;SG	N;INDF;MASC+FEM;SG
bande	bands	banda	band	N;FEM;PL	N;INDF;NEUT;PL
bande	bander	banda	bande	N;FEM;PL	N;INDF;MASC+FEM;PL
bande	banderne	banda	band	N;FEM;PL	N;DEF;MASC+FEM;PL
cappelle	kapeller	cappella	kapel	N;FEM;PL	N;INDF;MASC+FEM;PL
bis	ekstranummer	bis	ekstranum	N;MASC	N;INDF;NEUT;SG
werner	werner	werner	werner	N;MASC;SG	N;INDF;MASC+FEM;SG
perfetta	perfekt	perfetto	perfekt	ADJ;FEM;SG	ADJ;INDF;SG
perfetta	fejlfri	perfetto	fejlfri	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
perfetta	fejlfrit	perfetto	fejlfrit	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
pontefice	ypperstepræst	pontefice	ypperstepræst	N;MASC;SG	N;INDF;MASC+FEM;SG
autrice	forfatteren	autore	forfatter	N;FEM;SG	N;DEF;MASC+FEM;SG
autrice	forfatter	autore	forfatter	N;FEM;SG	N;INDF;MASC+FEM;SG
autrice	forslagsstiller	autore	forslagsstiller	N;FEM;SG	N;INDF;MASC+FEM;SG
autrice	ophavsmand	autore	ophavsmand	N;FEM;SG	N;INDF;MASC+FEM;SG
marsiglia	marseilles	marsiglia	marseil	N;FEM;SG	N;GEN;INDF;MASC+FEM;SG
prete	præst	prete	præst	N;MASC;SG	N;INDF;MASC+FEM;SG
cadavere	lig	cadavere	lig	N;MASC;SG	N;INDF;NEUT;SG
cadavere	kadaver	cadavere	kadave	N;MASC;SG	N;INDF;NEUT;SG
periferia	forstad	periferia	forstad	N;FEM;SG	N;INDF;MASC+FEM;SG
periferia	forstad	periferia	forstad	N;FEM;SG	N;INDF;MASC+FEM;SG
periferia	periferi	periferia	periferi	N;FEM;SG	N;INDF;MASC+FEM;SG
periferia	periferien	periferia	periferi	N;FEM;SG	N;DEF;MASC+FEM;SG
periferia	udkanten	periferia	udkant	N;FEM;SG	N;DEF;MASC+FEM;SG
cranio	kranium	cranio	kranium	N;MASC;SG	N;INDF;NEUT;SG
cranio	kranie	cranio	kranie	N;MASC;SG	N;INDF;NEUT;SG
cranio	kranium	cranio	kranium	N;MASC;SG	N;INDF;NEUT;SG
cranio	kraniet	cranio	kranie	N;MASC;SG	N;DEF;NEUT;SG
nono	niende	nono	nie	ADJ;MASC;SG	ADJ
cosenza	cosenza	cosenza	cosenza	N;FEM;SG	N;DEF;MASC+FEM;SG
sguardo	blik	sguardo	blik	N;MASC;SG	N;INDF;NEUT;SG
orizzontale	horisontal	orizzontale	horisontal	ADJ;SG	ADJ;INDF;MASC+FEM;SG
catturare	fange	catturare	fange	V;NFIN	V;NFIN;ACT
campana	klokke	campana	klokke	N;FEM;SG	N;INDF;MASC+FEM;SG
frederick	frederik	frederick	frederik	N;MASC	N;INDF;MASC+FEM;SG
frederick	frederick	frederick	frederick	N;MASC	N;INDF;MASC+FEM;SG
tombe	gravene	tomba	grav	N;FEM;PL	N;DEF;NEUT;PL
ricostruita	rekonstrueret	ricostruire	rekonstruere	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ricostruita	genskabt	ricostruire	genskabt	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ricostruita	genopbygget	ricostruire	genopbygget	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ricostruita	ombygget	ricostruire	ombygge	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
ricostruita	genopbygges	ricostruire	genopbygge	V;FEM;SG;PST;V.PTCP	V;NFIN;PASS
gambe	benene	gamba	ben	N;FEM;PL	N;DEF;NEUT;PL
gambe	ben	gamba	ben	N;FEM;PL	N;INDF;NEUT;PL
puro	ren	puro	ren	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
puro	rent	puro	ren	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
miles	miles	miles	mile	N	N;GEN;INDF;MASC+FEM;SG
miles	kilometer	miles	kilometer	N	N;INDF;MASC+FEM;PL
miles	km	miles	kilometer	N	N;INDF;MASC+FEM;PL
miles	mil	miles	mil	N	N;INDF;MASC+FEM;SG
connessione	forbindelse	connessione	forbindelse	N;FEM;SG	N;INDF;MASC+FEM;SG
connessione	tilslutning	connessione	tilslutning	N;FEM;SG	N;INDF;MASC+FEM;SG
connessione	tilknytning	connessione	tilknytning	N;FEM;SG	N;INDF;MASC+FEM;SG
marcus	marcus	marcus	marcus	N;MASC;SG	N;INDF;MASC+FEM;SG
rappresentanza	repræsentation	rappresentanza	repræsentation	N;FEM;SG	N;INDF;MASC+FEM;SG
rappresentanza	repræsentationen	rappresentanza	repræsentation	N;FEM;SG	N;DEF;MASC+FEM;SG
anziani	seniorer	anziano	senior	N;MASC;PL	N;INDF;MASC+FEM;PL
predecessore	forgænger	predecessore	forgænger	N;MASC;SG	N;INDF;MASC+FEM;SG
intellettuale	intellektuel	intellettuale	intellektuel	ADJ;SG	ADJ;INDF;MASC+FEM;SG
classiche	klassiske	classico	klassisk	ADJ;FEM;PL	ADJ;PL
efficacia	effektiviteten	efficacia	effektivitet	N;FEM;SG	N;DEF;MASC+FEM;SG
efficacia	effektivitet	efficacia	effektivitet	N;FEM;SG	N;INDF;MASC+FEM;SG
efficacia	effekt	efficacia	effekt	N;FEM;SG	N;INDF;MASC+FEM;SG
efficacia	effektivitet	efficacia	effektivitet	N;FEM;SG	N;INDF;MASC+FEM;SG
spot	plet	spot	plet	N;MASC	N;INDF;MASC+FEM;SG
spot	spot	spot	spot	N;MASC	N;INDF;NEUT;SG
batterie	batterier	batteria	batteri	N;FEM;PL	N;INDF;NEUT;PL
batterie	batterierne	batteria	batteri	N;FEM;PL	N;DEF;NEUT;PL
minnesota	minnesota	minnesoto	minnesota	N;FEM;SG	N;INDF;NEUT;SG
collezioni	samlinger	collezione	samling	N;FEM;PL	N;INDF;MASC+FEM;PL
riservato	fortroligt	riservato	fortrolig	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
riservato	fortrolig	riservato	fortrolig	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
manoscritto	manuskriptet	manoscritto	manuskript	N;MASC;SG	N;DEF;NEUT;SG
manoscritto	manuskript	manoscritto	manuskript	N;MASC;SG	N;INDF;NEUT;SG
jake	jake	jake	jake	N;MASC	N;INDF;MASC+FEM;SG
completamento	udfyldelse	completamento	udfyldelse	N;MASC;SG	N;INDF;MASC+FEM;SG
completamento	afslutning	completamento	afslutning	N;MASC;SG	N;INDF;MASC+FEM;SG
completamento	færdiggørelse	completamento	færdiggørelse	N;MASC;SG	N;INDF;MASC+FEM;SG
completamento	fuldførelse	completamento	fuldførelse	N;MASC;SG	N;INDF;MASC+FEM;SG
acronimo	akronym	acronimo	akronym	N;MASC;SG	N;INDF;NEUT;SG
acronimo	forkortelse	acronimo	forkortelse	N;MASC;SG	N;INDF;MASC+FEM;SG
premiato	belønnet	premiare	belønne	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
armatura	rustning	armatura	rustning	N;FEM;SG	N;INDF;MASC+FEM;SG
armatura	rustning	armatura	rustning	N;FEM;SG	N;INDF;MASC+FEM;SG
buio	mørke	buio	mørke	N;MASC;SG	N;INDF;NEUT;SG
buio	mørke	buio	mørke	N;MASC;SG	N;INDF;NEUT;SG
buio	mørket	buio	mørke	N;MASC;SG	N;DEF;NEUT;SG
dono	gaven	dono	gave	N;MASC;SG	N;DEF;MASC+FEM;SG
dono	gave	dono	gave	N;MASC;SG	N;INDF;MASC+FEM;SG
allevamento	avl	allevamento	avl	N;MASC;SG	N;INDF;MASC+FEM;SG
allevamento	opdræt	allevamento	opdræte	N;MASC;SG	N;INDF;NEUT;SG
statistica	statistik	statistica	statistik	N;FEM;SG	N;INDF;MASC+FEM;SG
jules	jules	jules	jules	N;MASC;SG	N;INDF;MASC+FEM;SG
johannes	johannes	johannes	johan	N;MASC;SG	N;GEN;INDF;MASC+FEM;SG
votato	stemt	votare	stemme	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
votato	stemte	votare	stemme	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
votato	kåret	votare	kår	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
trionfo	triumf	trionfo	triumf	N;MASC;SG	N;INDF;MASC+FEM;SG
identificato	identificeret	identificare	identificere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
english	englændere	english	englænder	N	N;INDF;MASC+FEM;PL
lettori	læserne	lettore	læser	N;MASC;PL	N;DEF;MASC+FEM;PL
lettori	læsere	lettore	læser	N;MASC;PL	N;INDF;MASC+FEM;PL
approvato	godkendt	approvare	godkende	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
organizzatore	organisator	organizzatore	organisator	N;MASC;SG	N;INDF;MASC+FEM;SG
organizzatore	organisator	organizzatore	organisator	N;MASC;SG	N;INDF;MASC+FEM;SG
organizzatore	arrangøren	organizzatore	arrangør	N;MASC;SG	N;DEF;MASC+FEM;SG
organizzatore	arrangør	organizzatore	arrangør	N;MASC;SG	N;INDF;MASC+FEM;SG
vertici	topmøder	vertice	topmøde	N;MASC;PL	N;INDF;NEUT;PL
industrie	industrier	industria	industri	N;FEM;PL	N;INDF;MASC+FEM;PL
industrie	brancher	industria	branche	N;FEM;PL	N;INDF;MASC+FEM;PL
gemelli	tvillinger	gemello	tvilling	N;MASC;PL	N;INDF;MASC+FEM;PL
gemelli	tvillingerne	gemello	tvilling	N;MASC;PL	N;DEF;MASC+FEM;PL
invitato	indbudt	invitare	indbudt	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
invitato	inviteret	invitare	invitere	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
invitato	inviterede	invitare	invitere	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
presumibilmente	formentlig	presumibilmente	formentlig	ADV	ADV
presumibilmente	formodentligt	presumibilmente	formodentligt	ADV	ADV
presumibilmente	antagelig	presumibilmente	antagelig	ADV	ADV
presumibilmente	formodentlig	presumibilmente	formodentlig	ADV	ADV
presumibilmente	antageligt	presumibilmente	antagelig	ADV	ADV
presumibilmente	angiveligt	presumibilmente	angiveligt	ADV	ADV
presumibilmente	antageligt	presumibilmente	antagelig	ADV	ADV
presumibilmente	angiveligt	presumibilmente	angiveligt	ADV	ADV
pareri	meninger	parere	mening	N;MASC;PL	N;INDF;MASC+FEM;PL
pareri	udtalelser	parere	udtalelse	N;MASC;PL	N;INDF;MASC+FEM;PL
lane	bane	lana	bane	N;FEM;SG	N;INDF;MASC+FEM;SG
trilogia	trilogi	trilogia	trilogi	N;FEM;SG	N;INDF;MASC+FEM;SG
servire	tjene	servire	tjene	V;NFIN	V;NFIN;ACT
servire	tjener	servire	tjene	V;NFIN	V;IND;PRS;FIN;ACT
torres	torres	torres	tor	N;FEM;SG	N;GEN;INDF;MASC+FEM;SG
ampliato	udvidet	ampliare	udvide	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
temporaneamente	midlertidigt	temporaneamente	midlertidigt	ADV	ADV
temporaneamente	midlertidigt	temporaneamente	midlertidigt	ADV	ADV
virgilio	virgil	virgilio	virgil	N;MASC;SG	N;INDF;MASC+FEM;SG
grassi	fedtstoffer	grasso	fedtstof	N;MASC;PL	N;INDF;NEUT;PL
contenuta	indeholdte	contenuto	indeholde	V;FEM;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
contenuta	indesluttet	contenuto	indeslutte	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
contenuta	indeholdt	contenuto	indeholde	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
panzer	panzer	panzer	panze	N;MASC;PL	N;INDF;MASC+FEM;PL
sopravvissuti	efterladte	sopravvivere	efterlade	V;MASC;PL;PST;V.PTCP	V;PL;PST;V.PTCP
sopravvissuti	overlevede	sopravvivere	overleve	V;MASC;PL;PST;V.PTCP	V;IND;PST;FIN;ACT
acquisizione	anskaffelse	acquisizione	anskaffelse	N;FEM;SG	N;INDF;MASC+FEM;SG
acquisizione	erhvervelse	acquisizione	erhvervelse	N;FEM;SG	N;INDF;MASC+FEM;SG
acquisizione	overtagelse	acquisizione	overtagelse	N;FEM;SG	N;INDF;MASC+FEM;SG
depressione	depression	depressione	depression	N;FEM;SG	N;INDF;MASC+FEM;SG
spessore	tykkelse	spessore	tykkelse	N;MASC;SG	N;INDF;MASC+FEM;SG
identificazione	identificering	identificazione	identificering	N;FEM;SG	N;INDF;MASC+FEM;SG
identificazione	identifikation	identificazione	identifikation	N;FEM;SG	N;INDF;MASC+FEM;SG
operativa	operativ	operativo	operativ	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
operativa	operativt	operativo	operativ	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
operativa	operationelt	operativo	operationelt	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
operativa	operativt	operativo	operativ	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
inviata	afsendt	inviare	afsende	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
inviata	sendte	inviare	sende	V;FEM;SG;PST;V.PTCP	V;IND;PST;FIN;ACT
inviata	sendt	inviare	sende	V;FEM;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
petto	brystkassen	petto	brystkasse	N;MASC;SG	N;DEF;MASC+FEM;SG
petto	brystkasse	petto	brystkasse	N;MASC;SG	N;INDF;MASC+FEM;SG
petto	brystet	petto	bryst	N;MASC;SG	N;DEF;NEUT;SG
petto	bryst	petto	bryst	N;MASC;SG	N;INDF;NEUT;SG
petto	kiste	petto	kiste	N;MASC;SG	N;INDF;MASC+FEM;SG
petto	bryst	petto	bryst	N;MASC;SG	N;INDF;NEUT;SG
circostanze	omstændigheder	circostanza	omstændighed	N;FEM;PL	N;INDF;MASC+FEM;PL
circostanze	omstændighederne	circostanza	omstændighed	N;FEM;PL	N;DEF;MASC+FEM;PL
circostanze	omstændigheder	circostanza	omstændighed	N;FEM;PL	N;INDF;MASC+FEM;PL
descrivere	beskriv	descrivere	beskrive	V;NFIN	V;IMP
devil	djævelen	devil	djævel	N	N;DEF;MASC+FEM;SG
devil	djævel	devil	djævel	N	N;INDF;MASC+FEM;SG
interpretazioni	fortolkninger	interpretazione	fortolkning	N;FEM;PL	N;INDF;MASC+FEM;PL
biografie	biografier	biografia	biografi	N;FEM;PL	N;INDF;MASC+FEM;PL
pavimento	gulvet	pavimento	gulv	N;MASC;SG	N;DEF;NEUT;SG
pavimento	etage	pavimento	etage	N;MASC;SG	N;INDF;MASC+FEM;SG
pavimento	gulv	pavimento	gulv	N;MASC;SG	N;INDF;NEUT;SG
legali	lovlige	legale	lovlig	ADJ;PL	ADJ;PL
legali	juridiske	legale	juridisk	ADJ;PL	ADJ;PL
zucchero	sukker	zucchero	sukker	N;MASC;SG	N;INDF;NEUT;SG
funzionalità	funktionalitet	funzionalità	funktionalitet	N;FEM	N;INDF;MASC+FEM;SG
funzionalità	funktioner	funzionalità	funktion	N;FEM	N;INDF;MASC+FEM;PL
sacerdoti	præsterne	sacerdota	præst	N;MASC;PL	N;DEF;MASC+FEM;PL
sacerdoti	præster	sacerdota	præste	N;MASC;PL	N;INDF;MASC+FEM;PL
rappresentazioni	fremstillinger	rappresentazione	fremstilling	N;FEM;PL	N;INDF;MASC+FEM;PL
rappresentazioni	repræsentationer	rappresentazione	repræsentation	N;FEM;PL	N;INDF;MASC+FEM;PL
rappresentazioni	forestillinger	rappresentazione	forestilling	N;FEM;PL	N;INDF;MASC+FEM;PL
england	englands	england	englands	N;SG	N;GEN;INDF;MASC+FEM;SG
ordinario	ordinært	ordinario	ordinær	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
ordinario	ordinær	ordinario	ordinær	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
soppressione	afskaffelse	soppressione	afskaffelse	N;FEM;SG	N;INDF;MASC+FEM;SG
soppressione	ophævelse	soppressione	ophævelse	N;FEM;SG	N;INDF;MASC+FEM;SG
soppressione	sletning	soppressione	sletning	N;FEM;SG	N;INDF;MASC+FEM;SG
soppressione	undertrykkelse	soppressione	undertrykkelse	N;FEM;SG	N;INDF;MASC+FEM;SG
soci	partnerne	socio	partner	N;MASC;PL	N;DEF;MASC+FEM;PL
soci	samarbejdspartnere	socio	samarbejdspartner	N;MASC;PL	N;INDF;MASC+FEM;PL
soci	partners	socio	partner	N;MASC;PL	N;GEN;INDF;MASC+FEM;PL
soci	makkere	socio	makker	N;MASC;PL	N;INDF;MASC+FEM;PL
soci	partnere	socio	partner	N;MASC;PL	N;INDF;MASC+FEM;PL
eserciti	hære	esercito	hære	N;MASC;PL	N;INDF;MASC+FEM;PL
secondarie	sekundære	secondario	sekundær	ADJ;FEM;PL	ADJ;PL
manovra	manøvre	manovra	manøvre	N;FEM;SG	N;INDF;MASC+FEM;SG
