bija	είχε	būt	έχω	V;FH;IND;3;POS;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
starp	μεταξυ	starp	μεταξυ	ADP	ADP
pilsēta	πολη	pilsēta	πολη	N;NOM;FEM;SG	N;NOM;FEM;SG
pilsēta	πόλη	pilsēta	πόλη	N;NOM;FEM;SG	N;NOM;FEM;SG
pilsēta	πολη	pilsēta	πολη	N;NOM;FEM;SG	N;NOM;FEM;SG
pilsēta	πόλη	pilsēta	πόλη	N;NOM;FEM;SG	N;NOM;FEM;SG
vēlāk	αργότερα	vēlu	αργά	ADV;CMPR	ADV;CMPR
vēlāk	αργοτερα	vēlu	αργά	ADV;CMPR	ADV
viens	μία	viens	ένας	NUM;NOM;MASC;SG	NUM;NOM;FEM;SG
viens	ένα	viens	ένας	NUM;NOM;MASC;SG	NUM;NOM;NEUT;SG
viens	μια	viens	ένας	NUM;NOM;MASC;SG	NUM;NOM;FEM;SG
pret	εναντίον	pret	εναντίον	ADP	ADP
taču	αλλά	taču	αλλά	CONJ	CONJ
tomēr	ωστόσο	tomēr	ωστόσο	CONJ	CONJ
ļoti	πολυ	ļoti	πολυ	ADV	ADV
ļoti	πολύ	ļoti	πολύ	ADV	ADV
vēl	ακόμη	vēl	ακόμα	ADV	ADV
vēl	ακομα	vēl	ακομα	ADV	ADV
vēl	ακόμα	vēl	ακόμα	ADV	ADV
viena	μία	viena	ένας	NUM;NOM;FEM;SG	NUM;NOM;FEM;SG
viena	ένα	viena	ένας	NUM;NOM;FEM;SG	NUM;NOM;NEUT;SG
viena	μια	viena	ένας	NUM;NOM;FEM;SG	NUM;NOM;FEM;SG
pagasts	ενορία	pagasts	ενορία	N;NOM;MASC;SG	N;NOM;FEM;SG
vairāk	περισσότερο	daudz	πολύ	ADV;CMPR	ADV;CMPR
vairāk	πιο	daudz	πιο	ADV;CMPR	ADV
daļa	μέρος	daļa	μέρος	N;NOM;FEM;SG	N;NOM;NEUT;SG
daļa	μεροσ	daļa	μεροσ	N;NOM;FEM;SG	N;NOM;NEUT;SG
daļa	κοινοποίηση	daļa	κοινοποίηση	N;NOM;FEM;SG	N;NOM;FEM;SG
daļa	μετοχή	daļa	μετοχή	N;NOM;FEM;SG	N;NOM;FEM;SG
daļa	μερίδιο	daļa	μερίδιο	N;NOM;FEM;SG	N;NOM;NEUT;SG
tad	τότε	tad	τότε	ADV	ADV
tad	μετά	tad	μετά	ADV	ADV
notika	συνέβη	notikt	συμβαίνω	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
tie	αυτοί	tas	αυτός	PRO;NOM;MASC;PL	PRO;NOM;MASC;PL;3
zemes	ξηρά	zeme	ξηρά	N;NOM;FEM;PL	N;NOM;NEUT;PL
šaha	σκάκι	šahs	σκάκι	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	κέντρο	centrs	κέντρο	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	κεντρο	centrs	κεντρο	N;NOM;MASC;SG	N;NOM;NEUT;SG
centrs	κέντρο	centrs	κέντρο	N;NOM;MASC;SG	N;NOM;NEUT;SG
trīs	τρεις	trīs	τρεις	NUM;NOM;MASC;PL	NUM;NOM;MASC;PL
trīs	τρία	trīs	τρεις	NUM;NOM;MASC;PL	NUM;NOM;NEUT;PL
trīs	τρια	trīs	τρεις	NUM;NOM;MASC;PL	NUM
parasti	τυπικά	parasti	τυπικά	ADV	ADV
parasti	γενικά	parasti	γενικά	ADV	ADV
parasti	γενικώς	parasti	γενικώς	ADV	ADV
parasti	συνήθως	parasti	συνήθως	ADV	ADV
parasti	συνηθως	parasti	συνηθως	ADV	ADV
parasti	φυσιολογικά	parasti	φυσιολογικά	ADV	ADV
parasti	κανονικά	parasti	κανονικά	ADV	ADV
jūras	πεζοναύτης	jūra	πεζοναύτης	N;NOM;FEM;SG	N;NOM;MASC;SG
jūras	πεζοναύτη	jūra	πεζοναύτης	N;NOM;FEM;SG	N;NOM;MASC;SG
spēles	παιχνίδια	spēle	παιχνίδιο	N;NOM;FEM;PL	N;NOM;NEUT;PL
spēles	αγωνες	spēle	αγωνας	N;NOM;FEM;PL	N;NOM;MASC;PL
spēles	αγώνες	spēle	αγώνας	N;NOM;FEM;PL	N;NOM;MASC;PL
nosaukums	ονομασία	nosaukums	ονομασία	N;NOM;MASC;SG	N;NOM;FEM;SG
nosaukums	όνομα	nosaukums	όνομα	N;NOM;MASC;SG	N;NOM;NEUT;SG
nosaukums	ονομα	nosaukums	ονομα	N;NOM;MASC;SG	N;NOM;NEUT;SG
sezonas	εποχές	sezona	εποχή	N;NOM;FEM;PL	N;NOM;FEM;PL
grupas	ομαδες	grupa	ομαδα	N;NOM;FEM;PL	N;NOM;FEM;PL
grupas	ομάδες	grupa	ομάδα	N;NOM;FEM;PL	N;NOM;FEM;PL
ieguva	αποκτήσει	iegūt	αποκτώ	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;NFIN;ACT
ieguva	κέρδισε	iegūt	κερδίζω	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
gads	ετος	gads	ετος	N;NOM;MASC;SG	N;NOM;NEUT;SG
gads	έτο	gads	έτος	N;NOM;MASC;SG	N
skatīt	δείτε	skatīt	βλέπω	V;POS;NFIN	V;PFV;IMP;PL;2;FIN;ACT
skatīt	βλέπεις	skatīt	βλέπη	V;POS;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
profils	προφιλ	profils	προφιλ	N;NOM;MASC;SG	N;NOM;NEUT;SG
bez	χωρίς	bez	χωρίς	ADP	ADP
tautas	λαοί	tauta	λαός	N;NOM;FEM;PL	N;NOM;MASC;PL
apmēram	περίπου	apmēram	περίπου	ADV	ADV
daudz	πολλα	daudz	πολύς	ADV	ADV
divas	δυο	divas	δύο	NUM;NOM;FEM;PL	NUM;NOM;PL
divas	δύο	divas	δύο	NUM;NOM;FEM;PL	NUM;NOM;MASC;PL
komandas	εντολές	komanda	εντολή	N;NOM;FEM;PL	N;NOM;FEM;PL
komandas	ομαδες	komanda	ομαδα	N;NOM;FEM;PL	N;NOM;FEM;PL
komandas	ομάδες	komanda	ομάδα	N;NOM;FEM;PL	N;NOM;FEM;PL
pils	καστρο	pils	καστρο	N;NOM;FEM;SG	N;NOM;NEUT;SG
pils	παλάτι	pils	παλάτι	N;NOM;FEM;SG	N;NOM;NEUT;SG
vietas	τοποθεσίες	vieta	τοποθεσία	N;NOM;FEM;PL	N;NOM;FEM;PL
vietas	τοποθεσίες	vieta	τοποθεσία	N;NOM;FEM;PL	N;NOM;FEM;PL
vietas	τόποι	vieta	τόπος	N;NOM;FEM;PL	N;NOM;MASC;PL
vietas	μέρη	vieta	μέρος	N;NOM;FEM;PL	N;NOM;NEUT;PL
valodas	γλώσσες	valoda	γλώσσα	N;NOM;FEM;PL	N;NOM;FEM;PL
novads	δήμος	novads	δήμος	N;NOM;MASC;SG	N;NOM;MASC;SG
grupa	όμιλος	grupa	όμιλος	N;NOM;FEM;SG	N;NOM;MASC;SG
grupa	ομαδα	grupa	ομαδα	N;NOM;FEM;SG	N;NOM;FEM;SG
piedalījās	συμμετείχε	piedalīties	συμμετέχω	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
piedalījās	συμμετείχαν	piedalīties	συμμετέχω	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
šis	αυτο	šis	αυτός	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
šis	αυτό	šis	αυτός	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
ūdens	νερό	ūdens	νερό	N;NOM;MASC;SG	N;NOM;NEUT;SG
ūdens	νερο	ūdens	νερο	N;NOM;MASC;SG	N;NOM;NEUT;SG
šīs	αυτά	šī	αυτός	PRO;NOM;FEM;PL	PRO;NOM;NEUT;PL;3
šīs	αυτές	šī	αυτός	PRO;NOM;FEM;PL	PRO;NOM;FEM;PL;3
šīs	αυτα	šī	αυτός	PRO;NOM;FEM;PL	PRO;NOM;NEUT;PL;3
ģints	γένος	ģints	γένος	N;NOM;FEM;SG	N;NOM;NEUT;SG
valoda	γλώσσα	valoda	γλώσσα	N;NOM;FEM;SG	N;NOM;FEM;SG
tāpat	ομοίως	tāpat	ομοίως	ADV	ADV
tāpat	παρομοίως	tāpat	παρομοίως	ADV	ADV
janvārī	ιανουάριο	janvāris	ιανουάριο	N;ESS;MASC;SG	N
sugas	ειδη	suga	ειδη	N;NOM;FEM;PL	N;NOM;NEUT;PL
sugas	είδη	suga	είδος	N;NOM;FEM;PL	N;NOM;NEUT;PL
ciems	χωριο	ciems	χωριο	N;NOM;MASC;SG	N;NOM;NEUT;SG
ciems	χωριό	ciems	χωριό	N;NOM;MASC;SG	N;NOM;NEUT;SG
citas	άλλες	cita	άλλος	PRO;NOM;FEM;PL	PRO;NOM;FEM;PL;3
citas	άλλα	cita	άλλος	PRO;NOM;FEM;PL	PRO;NOM;NEUT;PL;3
citas	άλλους	cita	άλλος	PRO;NOM;FEM;PL	PRO;NOM;MASC;PL;3
citas	άλλοι	cita	άλλος	PRO;NOM;FEM;PL	PRO;NOM;MASC;PL;3
citas	αλλοι	cita	αλλος	PRO;NOM;FEM;PL	PRO;NOM;MASC;PL;3
citas	άλλα	cita	άλλος	PRO;NOM;FEM;PL	PRO;NOM;NEUT;PL;3
skaits	κόμης	skaits	κόμη	N;NOM;MASC;SG	N;NOM;MASC;SG
skaits	αριθμός	skaits	αριθμός	N;NOM;MASC;SG	N;NOM;MASC;SG
skaits	νούμερο	skaits	νούμερος	N;NOM;MASC;SG	N
suga	είδος	suga	είδος	N;NOM;FEM;SG	N;NOM;NEUT;SG
spēlē	παίζοντας	spēlēt	παίζω	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;V.CVB;ACT
spēlē	παίζει	spēlēt	παίζω	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
aptuveni	περίπου	aptuveni	περίπου	ADV	ADV
apriņķis	κομητεία	apriņķis	κομητείο	N;NOM;MASC;SG	N;NOM;FEM;SG
upes	ποταμός	upe	ποταμός	N;NOM;FEM;SG	N;NOM;MASC;SG
upes	ποτάμι	upe	ποτάμι	N;NOM;FEM;SG	N;NOM;NEUT;SG
komanda	ομαδα	komanda	ομαδα	N;NOM;FEM;SG	N;NOM;FEM;SG
martā	μάρτιο	marts	μάρτιο	N;ESS;MASC;SG	N
augustā	αύγουστο	augusts	αύγουστος	N;ESS;MASC;SG	N
dienas	ημέρες	diena	ημέρα	N;NOM;FEM;PL	N;NOM;FEM;PL
dienas	μέρες	diena	μέρα	N;NOM;FEM;PL	N;NOM;FEM;PL
armijas	στρατοί	armija	στρατός	N;NOM;FEM;PL	N;NOM;MASC;PL
armijas	στρατούς	armija	στρατός	N;NOM;FEM;PL	N;NOM;MASC;PL
armijas	στρατιές	armija	στρατιά	N;NOM;FEM;PL	N;NOM;FEM;PL
klubs	λέσχη	klubs	λέσχω	N;NOM;MASC;SG	N;NOM;FEM;SG
sākās	άρχισε	sākties	αρχίζω	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
sākās	ξεκίνησε	sākties	ξεκινώ	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
salas	νησιά	sala	νησί	N;NOM;FEM;PL	N;NOM;NEUT;PL
decembrī	δεκέμβριο	decembris	δεκέμβριος	N;ESS;MASC;SG	N
ezers	λίμνη	ezers	λίμνη	N;NOM;MASC;SG	N;NOM;FEM;SG
iespējams	πιθανός	iespējams	πιθανός	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
iespējams	δυνατόν	iespējams	δυνατός	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
iespējams	πιθανό	iespējams	πιθανός	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
iespējams	πιθανή	iespējams	πιθανής	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
septembrī	σεπτέμβριο	septembris	σεπτέμβριο	N;ESS;MASC;SG	N
impērijas	αυτοκρατορίες	impērija	αυτοκρατορία	N;NOM;FEM;PL	N;NOM;FEM;PL
oktobrī	οκτώβριο	oktobris	οκτώβριο	N;ESS;MASC;SG	N
daļas	μέρη	daļa	μέρος	N;NOM;FEM;PL	N;NOM;NEUT;PL
kultūras	καλλιέργειες	kultūra	καλλιέργεια	N;NOM;FEM;PL	N;NOM;FEM;PL
kultūras	σοδειές	kultūra	σοδειή	N;NOM;FEM;PL	N;NOM;FEM;PL
kultūras	πολιτισμοί	kultūra	πολιτισμός	N;NOM;FEM;PL	N;NOM;MASC;PL
kultūras	καλλιέργειες	kultūra	καλλιέργεια	N;NOM;FEM;PL	N;NOM;FEM;PL
rietumu	δύση	rietumi	δύση	N;ACC;MASC;SG	N;ACC;FEM;SG
dzimums	φύλο	dzimums	φύλο	N;NOM;MASC;SG	N;NOM;NEUT;SG
dzimums	γένος	dzimums	γένος	N;NOM;MASC;SG	N;NOM;NEUT;SG
dzimums	φύλο	dzimums	φύλο	N;NOM;MASC;SG	N;NOM;NEUT;SG
tagad	τώρα	tagad	τώρα	ADV	ADV
tagad	τωρα	tagad	τωρα	ADV	ADV
vairākas	αρκετές	vairākas	αρκετός	PRO;NOM;FEM;PL	PRO;NOM;FEM;PL;3
vairākas	αρκετοί	vairākas	αρκετός	PRO;NOM;FEM;PL	PRO;NOM;MASC;PL;3
baznīcas	εκκλησίες	baznīca	εκκλησία	N;NOM;FEM;PL	N;NOM;FEM;PL
baznīcas	τσερτς	baznīca	τσερτς	N;NOM;FEM;PL	N
auto	αυτοκίνητο	auto	αυτοκίνητο	N	N;NOM;NEUT;SG
auto	αμάξι	auto	αμάξι	N	N;NOM;NEUT;SG
auto	φορτηγάκι	auto	φορτηγάκι	N	N;NOM;NEUT;SG
auto	φορτηγό	auto	φορτηγός	N	N;NOM;NEUT;SG
auto	αυτόματο	auto	αύτομα	N	N;NOM;NEUT;SG
baznīca	τσερτς	baznīca	τσερτς	N;NOM;FEM;SG	N
baznīca	εκκλησία	baznīca	εκκλησία	N;NOM;FEM;SG	N;NOM;FEM;SG
baznīca	εκκλησια	baznīca	εκκλησιος	N;NOM;FEM;SG	N;NOM;FEM;SG
dzīvo	ζώντας	dzīvot	ζών	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;V.CVB;ACT
aprīlī	απρίλιο	aprīlis	απρίλιο	N;ESS;MASC;SG	N
aprīlī	απρίλη	aprīlis	απρίλιος	N;ESS;MASC;SG	N
aprīlī	έιπριλ	aprīlis	έιπριλ	N;ESS;MASC;SG	N
sporta	σπορ	sports	σπορ	N;GEN;MASC;SG	N
sporta	σπορ	sports	σπορ	N;GEN;MASC;SG	N
mājaslapa	ιστοσελίδα	mājaslaps	ιστοσελίδα	N;NOM;FEM;SG	N;NOM;FEM;SG
mājaslapa	ιστότοπος	mājaslaps	ιστότοπος	N;NOM;FEM;SG	N;NOM;MASC;SG
partijas	παρτίδες	partija	παρτίδα	N;NOM;FEM;PL	N;NOM;FEM;PL
partijas	παρτίδες	partija	παρτίδα	N;NOM;FEM;PL	N;NOM;FEM;PL
mājas	σπίτια	māja	σπίτι	N;NOM;FEM;PL	N;NOM;NEUT;PL
mājas	σπίτια	māja	σπίτι	N;NOM;FEM;PL	N;NOM;NEUT;PL
citi	άλλες	cits	άλλος	PRO;NOM;MASC;PL	PRO;NOM;FEM;PL;3
citi	άλλα	cits	άλλος	PRO;NOM;MASC;PL	PRO;NOM;NEUT;PL;3
citi	άλλους	cits	άλλος	PRO;NOM;MASC;PL	PRO;NOM;MASC;PL;3
citi	άλλοι	cits	άλλος	PRO;NOM;MASC;PL	PRO;NOM;MASC;PL;3
citi	αλλοι	cits	αλλος	PRO;NOM;MASC;PL	PRO;NOM;MASC;PL;3
citi	άλλα	cits	άλλος	PRO;NOM;MASC;PL	PRO;NOM;NEUT;PL;3
februārī	φεβρουάριο	februāris	φεβρουάριο	N;ESS;MASC;SG	N
gandrīz	σχεδόν	gandrīz	σχεδόν	ADV	ADV
gandrīz	σχεδον	gandrīz	σχεδον	ADV	ADV
gandrīz	σχεδόν	gandrīz	σχεδόν	ADV	ADV
pasta	αλληλογραφία	pasts	αλληλογραφία	N;NOM;MASC;SG	N;NOM;FEM;SG
pasta	ταχυδρομείο	pasts	ταχυδρομείο	N;NOM;MASC;SG	N;NOM;NEUT;SG
lats	λατς	lats	λατός	N;NOM;MASC;SG	N
notiek	συμβαίνει	notikt	συμβαίνω	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
albums	δίσκος	albums	δίσκος	N;NOM;MASC;SG	N;NOM;MASC;SG
albums	άλμπουμ	albums	άλμπουμ	N;NOM;MASC;SG	N;MASC;SG
longs	λόγγος	longs	λόγγος	N;NOM;MASC;SG	N;NOM;MASC;SG
gadi	χρονια	gads	χρονος	N;NOM;MASC;PL	N;NOM;NEUT;PL
gadi	ετη	gads	εγώ	N;NOM;MASC;PL	N;NOM;NEUT;PL
gadi	χρόνια	gads	χρόνος	N;NOM;MASC;PL	N;NOM;NEUT;PL
gadi	έτη	gads	έτος	N;NOM;MASC;PL	N;NOM;NEUT;PL
karalis	βασιλεύς	karalis	βασιλής	N;NOM;MASC;SG	N;NOM;MASC;SG
karalis	βασιλιάς	karalis	βασιλιάς	N;NOM;MASC;SG	N;NOM;MASC;SG
nodarbošanās	επάγγελμα	nodarbošanās	επάγγελμα	N;NOM;FEM;SG	N;NOM;NEUT;SG
galvenokārt	κυρίως	galvenokārt	κυρίως	ADV	ADV
galvenokārt	κυριως	galvenokārt	κυριως	ADV	ADV
galvenokārt	κυρίως	galvenokārt	κυρίως	ADV	ADV
galvenokārt	κυριως	galvenokārt	κυριως	ADV	ADV
galvenokārt	πρωτίστως	galvenokārt	πρωτίστως	ADV	ADV
stacijas	σταθμοί	stacija	σταθμός	N;NOM;FEM;PL	N;NOM;MASC;PL
šeit	εδω	šeit	εδω	ADV	ADV
šeit	εδώ	šeit	εδώ	ADV	ADV
universitātes	πανεπιστήμια	universitāte	πανεπιστήμιο	N;NOM;FEM;PL	N;NOM;NEUT;PL
republikas	δημοκρατίες	republika	δημοκρατία	N;NOM;FEM;PL	N;NOM;FEM;PL
apgabals	κομητεία	apgabals	κομητείο	N;NOM;MASC;SG	N;NOM;FEM;SG
apgabals	περιφέρεια	apgabals	περιφέρεια	N;NOM;MASC;SG	N;NOM;FEM;SG
apgabals	εμβαδόν	apgabals	εμβαδόν	N;NOM;MASC;SG	N;NOM;NEUT;SG
apgabals	περιοχή	apgabals	περιοχή	N;NOM;MASC;SG	N;NOM;FEM;SG
apgabals	περιοχη	apgabals	περιοχος	N;NOM;MASC;SG	N;NOM;FEM;SG
darbības	πράξεις	darbība	πράξη	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	δραστηριότητες	darbība	δραστηριότητα	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	πράξεις	darbība	πράξη	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	δράσεις	darbība	δράση	N;NOM;FEM;PL	N;NOM;FEM;PL
darbības	ενέργειες	darbība	ενέργεια	N;NOM;FEM;PL	N;NOM;FEM;PL
cilvēki	ατομα	cilvēks	ατομα	N;NOM;MASC;PL	N;NOM;NEUT;PL
cilvēki	ανθρωποι	cilvēks	ανθρώπος	N;NOM;MASC;PL	N;NOM;MASC;PL
cilvēki	άνθρωποι	cilvēks	άνθρωπος	N;NOM;MASC;PL	N;NOM;MASC;PL
cilvēki	άτομα	cilvēks	άτομο	N;NOM;MASC;PL	N;NOM;NEUT;PL
izlase	δείγμα	izlase	δείγμα	N;NOM;FEM;SG	N;NOM;NEUT;SG
izlase	επιλογή	izlase	επιλογή	N;NOM;FEM;SG	N;NOM;FEM;SG
tur	εκει	tur	εκει	ADV	ADV
tur	εκεί	tur	εκεί	ADV	ADV
īpaši	ιδιαίτερα	īpaši	ιδιαίτερα	ADV	ADV
īpaši	ειδικά	īpaši	ειδικά	ADV	ADV
īpaši	ιδιαίτερα	īpaši	ιδιαίτερα	ADV	ADV
partija	πάρτυ	partija	πάρτυ	N;NOM;FEM;SG	N;NOM;NEUT;SG
partija	κόμμα	partija	κόμμα	N;NOM;FEM;SG	N;NOM;NEUT;SG
partija	πάρτι	partija	πάρτι	N;NOM;FEM;SG	N;NOM;NEUT;SG
partija	παρτίδα	partija	παρτίδα	N;NOM;FEM;SG	N;NOM;FEM;SG
partija	παρτίδα	partija	παρτίδα	N;NOM;FEM;SG	N;NOM;FEM;SG
kluba	λέσχη	klubs	λέσχω	N;NOM;MASC;SG	N;NOM;FEM;SG
dzimusi	γεννήθηκα	dzimt	γεννώ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;IND;SG;1;PST;FIN;PASS
dzimusi	γεννημένος	dzimt	γεννημένος	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;NOM;MASC;SG;V.PTCP;PASS
dzimusi	γεννήθηκε	dzimt	γεννώ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
teritorijas	εδάφη	teritorija	εδάφη	N;NOM;FEM;PL	N;NOM;NEUT;PL
teritorijas	περιοχές	teritorija	περιοχή	N;NOM;FEM;PL	N;NOM;FEM;PL
rajons	διαίρεση	rajons	διαίρεση	N;NOM;MASC;SG	N;NOM;FEM;SG
rajons	περιφέρεια	rajons	περιφέρεια	N;NOM;MASC;SG	N;NOM;FEM;SG
lielā	μεγάλο	liels	μεγάλος	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
lielā	μεγάλη	liels	μεγάλος	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
lielā	μεγάλος	liels	μεγάλος	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
lielā	μεγάλο	liels	μεγάλος	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
ielas	δρόμοι	iela	δρόμος	N;NOM;FEM;PL	N;NOM;MASC;PL
sistēmas	συστήματα	sistēma	σύστημα	N;NOM;FEM;PL	N;NOM;NEUT;PL
līga	πρωτάθλημα	līga	πρωτάθλημα	N;NOM;FEM;SG	N;NOM;NEUT;SG
divi	δυο	divi	δύο	NUM;NOM;MASC;PL	NUM;NOM;PL
divi	δύο	divi	δύο	NUM;NOM;MASC;PL	NUM;NOM;MASC;PL
nāves	θάνατος	nāve	θάνατος	N;NOM;FEM;SG	N;NOM;MASC;SG
padomes	συμβούλια	padome	συμβούλιο	N;NOM;FEM;PL	N;NOM;NEUT;PL
augusts	αύγουστος	augusts	αύγουστος	N;NOM;MASC;SG	N;NOM;MASC;SG
augusts	αύγουστο	augusts	αύγουστος	N;NOM;MASC;SG	N
universitāte	πανεπιστήμιο	universitāte	πανεπιστήμιο	N;NOM;FEM;SG	N;NOM;NEUT;SG
universitāte	πανεπιστημιο	universitāte	πανεπιστημιο	N;NOM;FEM;SG	N;NOM;NEUT;SG
uzvarēja	κέρδισε	uzvarēt	κερδίζω	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
nodaļa	κεφάλαιο	nodaļa	κεφάλαιο	N;NOM;FEM;SG	N;NOM;NEUT;SG
liela	μεγάλο	liela	μεγάλος	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
